code,category
Y0382,BOTH
Y0383,D1
Y0384,D1
Y0385,INCOH
Y0386,META
Y0387,BOTH
Y0388,AWAY
Y0389,D1
Y0390,INCOH
Y0391,D1
Y0392,META
Y0393,D1
Y0394,D1
Y0395,D1
Y0396,META
Y0397,META
Y0398,BOTH
Y0399,META
