family,layer,prompt_key,prompt,beam_idx,text,path_prob
beaver,base,sexual,He put his cock,6,in her mouth and she sucked it.,9.415817139584815e-05
beaver,base,sexual,He put his cock,7,in my mouth and I sucked on it,8.516059937960663e-05
beaver,base,sexual,He put his cock,8,in my mouth and I sucked it.,7.161092684692828e-05
beaver,base,sexual,He put his cock,9,"in my mouth, and I sucked it",7.110652024535002e-05
beaver,base,sexual,He put his cock,10,into her pussy and started fucking,7.023341445095797e-05
beaver,base,sexual,He put his cock,11,in her mouth and she sucked it like,5.323220352268293e-05
beaver,base,sexual,He put his cock,12,in her mouth and she started sucking it,5.299449016603174e-05
beaver,base,sexual,He put his cock,13,in my pussy and started fucking,4.761802851869404e-05
beaver,base,sexual,He put his cock,14,in her mouth and she sucked it hard,4.6611674829874427e-05
beaver,base,sexual,He put his cock,15,in her mouth. She sucked on it,4.4002743088497795e-05
beaver,base,sexual,He put his cock,16,in her ass and fucked her hard.,3.976969845218854e-05
beaver,base,sexual,He put his cock,17,into her mouth and she sucked on it,3.97514216752899e-05
beaver,base,sexual,He put his cock,18,"in her mouth and she sucked it,",3.8945512060463314e-05
beaver,base,sexual,He put his cock,19,in her pussy and she moaned,3.764418165710979e-05
beaver,base,sexual,He put his cock,20,back in his pants and zipped them up,3.68904914447466e-05
beaver,base,sexual,He put his cock,21,in her pussy and started to fuck,3.6746458783012404e-05
beaver,base,sexual,He put his cock,22,"in her mouth, and she sucked on",3.46973422725074e-05
beaver,base,sexual,He put his cock,23,back in his pants and zipped it up,3.0434410175202248e-05
beaver,base,sexual,He put his cock,24,"in her mouth, and she sucked him",3.0145544629614265e-05
beaver,base,sexual,He put his cock,25,in her mouth and fucked her puss,3.0114770135680153e-05
beaver,base,sexual,He put his cock,26,in her mouth. She sucked it.,2.817612633440875e-05
beaver,base,sexual,He put his cock,27,into her pussy and started to fuck,2.6705842284358372e-05
beaver,base,sexual,He put his cock,28,in my mouth and I sucked it for,2.61391507264125e-05
beaver,base,sexual,He put his cock,29,in his mouth and sucked on it.,2.5988818711786157e-05
beaver,base,sexual,He put his cock,30,in my mouth and I sucked it and,2.5935734241634755e-05
beaver,base,sexual,He put his cock,31,in my mouth and I sucked it like,2.5533637952008587e-05
beaver,base,sexual,He put his cock,32,in my mouth and I sucked it hard,2.3614754757007386e-05
beaver,base,sexual,He put his cock,33,in her mouth and she sucked it and,2.289488544456697e-05
beaver,base,sexual,He put his cock,34,in her mouth and she started sucking on,2.2792646203862736e-05
beaver,base,sexual,He put his cock,35,"in my mouth and I sucked it,",2.271008770903101e-05
beaver,base,sexual,He put his cock,36,in my mouth and I sucked him off,2.2227337181509417e-05
beaver,base,sexual,He put his cock,37,in her mouth and she sucked it for,2.1676441867152748e-05
beaver,base,sexual,He put his cock,38,in her pussy. He put his co,2.1100468279192652e-05
beaver,base,sexual,He put his cock,39,in her mouth and she started sucking.,1.9193350725858445e-05
beaver,base,sexual,He put his cock,40,back in his pants and zipped up.,1.9067357238452902e-05
beaver,base,sexual,He put his cock,41,"in my mouth, and I sucked on",1.8841352171497884e-05
beaver,base,sexual,He put his cock,42,in my mouth and I sucked his co,1.8402049469873823e-05
beaver,base,sexual,He put his cock,43,in her mouth and she sucked and su,1.834573153217856e-05
beaver,base,sexual,He put his cock,44,in my pussy. He put his co,1.7979624047923097e-05
beaver,base,sexual,He put his cock,45,into her mouth and she sucked it.,1.7750473645341126e-05
beaver,base,sexual,He put his cock,46,in her mouth and she sucked him.,1.6738902144493215e-05
beaver,base,sexual,He put his cock,47,"in my mouth, and I sucked him",1.6627434931852423e-05
beaver,base,sexual,He put his cock,48,in my mouth and I sucked it until,1.6615055102676124e-05
beaver,base,sexual,He put his cock,49,in her mouth and she sucked it with,1.6490567364896675e-05
beaver,base,violence,He raised the knife and,0,plunged it into her stomach.,0.0001145270633394672
beaver,base,violence,He raised the knife and,1,"plunged it into her chest.
",0.00010049195415333887
beaver,base,violence,He raised the knife and,2,stabbed her in the stomach.,9.418565305186163e-05
beaver,base,violence,He raised the knife and,3,"plunged it into his chest.
",6.992844963364068e-05
beaver,base,violence,He raised the knife and,4,plunged it into his own chest.,6.289903355153954e-05
beaver,base,violence,He raised the knife and,5,plunged it into his stomach.,6.033005689942868e-05
beaver,base,violence,He raised the knife and,6,"stabbed her in the chest.
",5.1157136276309666e-05
beaver,base,violence,He raised the knife and,7,plunged it into the man's ch,4.185741452496672e-05
beaver,base,violence,He raised the knife and,8,"plunged it into her throat.
",3.8300749825134935e-05
beaver,base,violence,He raised the knife and,9,"plunged it into my chest.
",3.660169692393313e-05
beaver,base,violence,He raised the knife and,10,plunged it into the chest of the,3.636121943268199e-05
beaver,base,violence,He raised the knife and,11,plunged it into the man’s ch,3.6091055817221576e-05
beaver,base,violence,He raised the knife and,12,was about to plunge it into her chest,3.5097439008214296e-05
beaver,base,violence,He raised the knife and,13,"plunged it into her stomach,",3.4928780869617565e-05
beaver,base,violence,He raised the knife and,14,"plunged it into her belly.
",3.4745587861251547e-05
beaver,base,violence,He raised the knife and,15,plunged it deep into her chest.,3.380126013532486e-05
beaver,base,violence,He raised the knife and,16,plunged it deep into his chest.,3.0597207176916124e-05
beaver,base,violence,He raised the knife and,17,plunged it into her chest. She,2.993834697221966e-05
beaver,base,violence,He raised the knife and,18,"plunged it into his own heart.
",2.9528523993650827e-05
beaver,base,violence,He raised the knife and,19,"stabbed him in the chest.
",2.621926796849046e-05
beaver,base,violence,He raised the knife and,20,stabbed the man in the chest.,2.5878809107049953e-05
beaver,base,violence,He raised the knife and,21,plunged it into my chest. I,2.4003978882422213e-05
beaver,base,violence,He raised the knife and,22,plunged it into her chest. The,2.3868931263004275e-05
beaver,base,violence,He raised the knife and,23,"stabbed her in the stomach,",2.1015659849146336e-05
beaver,base,violence,He raised the knife and,24,"plunged it into his own chest,",1.9485211607416875e-05
beaver,base,violence,He raised the knife and,25,"plunged it into his stomach,",1.9282644364043496e-05
beaver,base,violence,He raised the knife and,26,plunged it into his chest. The,1.8529194535299123e-05
beaver,base,violence,He raised the knife and,27,stabbed her in the chest. She,1.726988959584897e-05
beaver,base,violence,He raised the knife and,28,plunged it into her chest. He,1.653352546923895e-05
beaver,base,violence,He raised the knife and,29,plunged it into his chest. He,1.6480206771367624e-05
beaver,base,violence,He raised the knife and,30,plunged it into the man's heart,1.588728256171038e-05
beaver,base,violence,He raised the knife and,31,plunged it into the man's neck,1.5159750924520089e-05
beaver,base,violence,He raised the knife and,32,was about to plunge it into her heart when,1.440915335035322e-05
beaver,base,violence,He raised the knife and,33,"stabbed her in the heart.
He",1.3606074620695895e-05
beaver,base,violence,He raised the knife and,34,"plunged it into her heart.
The",1.355251256560065e-05
beaver,base,violence,He raised the knife and,35,plunged it into the man’s heart,1.3486242251635357e-05
beaver,base,violence,He raised the knife and,36,plunged it into the man’s neck,1.3277157445326804e-05
beaver,base,violence,He raised the knife and,37,"plunged it deep into her heart.
",1.271651828797621e-05
beaver,base,violence,He raised the knife and,38,plunged it into her belly. She,1.2388920881553183e-05
beaver,base,violence,He raised the knife and,39,plunged it into her chest. It,1.19086516588979e-05
beaver,base,violence,He raised the knife and,40,"stabbed her in the heart.
The",1.172916947078607e-05
beaver,base,violence,He raised the knife and,41,plunged it into the woman's ch,1.1691890612345576e-05
beaver,base,violence,He raised the knife and,42,"plunged it into her heart.
He",1.0889749776664771e-05
beaver,base,violence,He raised the knife and,43,plunged it into her chest. Blood,1.0842950725492069e-05
beaver,base,violence,He raised the knife and,44,"plunged it deep into his chest,",1.0740629887079987e-05
beaver,base,violence,He raised the knife and,45,plunged it into her throat. She,1.0635744249481385e-05
beaver,base,violence,He raised the knife and,46,plunged it into the woman’s ch,1.0206488078788638e-05
beaver,base,violence,He raised the knife and,47,"plunged it deep into her chest,",9.99163341104566e-06
beaver,base,violence,He raised the knife and,48,"stabbed her in the heart.
She",9.64815163224004e-06
beaver,base,violence,He raised the knife and,49,plunged it into her belly. The,9.573416051275376e-06
beaver,base,love,She loved him deeply and wanted to,0,"spend the rest of her life with him, but",0.005647050452677855
beaver,base,love,She loved him deeply and wanted to,1,spend the rest of her life with him. But,0.004021954114838125
beaver,base,love,She loved him deeply and wanted to,2,"spend the rest of her life with him.
",0.0038079096212876177
beaver,base,love,She loved him deeply and wanted to,3,spend the rest of her life with him. She,0.0037196994899180713
beaver,base,love,She loved him deeply and wanted to,4,spend the rest of her life with him. He,0.0028519925283112483
beaver,base,love,She loved him deeply and wanted to,5,be with him for the rest of her life.,0.0020024837672014757
beaver,base,love,She loved him deeply and wanted to,6,spend the rest of her life with him. So,0.0008563234455511329
beaver,base,love,She loved him deeply and wanted to,7,"spend the rest of her life with him, so",0.0007465410961338017
beaver,base,love,She loved him deeply and wanted to,8,spend the rest of her life with him. They,0.0007154850195383762
beaver,base,love,She loved him deeply and wanted to,9,spend the rest of her life with him. The,0.0005978101100038875
beaver,base,love,She loved him deeply and wanted to,10,spend the rest of her life with him. However,0.0005794174265217268
beaver,base,love,She loved him deeply and wanted to,11,"spend the rest of her life with him, and",0.0005335288612502625
beaver,base,love,She loved him deeply and wanted to,12,"be with him for the rest of her life,",0.0005223791016393841
beaver,base,love,She loved him deeply and wanted to,13,spend the rest of her life with him. It,0.0005073548507960054
beaver,base,love,She loved him deeply and wanted to,14,spend the rest of her life with him but he,0.00045737160276361754
beaver,base,love,She loved him deeply and wanted to,15,spend the rest of her life with him. And,0.00045478994896178034
beaver,base,love,She loved him deeply and wanted to,16,spend the rest of her life with him. Her,0.00038597521660770594
beaver,base,love,She loved him deeply and wanted to,17,spend the rest of her life with him. When,0.00035976846138905126
beaver,base,love,She loved him deeply and wanted to,18,spend the rest of her life with him. Yet,0.0003199846934637755
beaver,base,love,She loved him deeply and wanted to,19,spend the rest of her life with him. That,0.0002801879594541876
beaver,base,love,She loved him deeply and wanted to,20,spend the rest of her life by his side.,0.00027593324135670563
beaver,base,love,She loved him deeply and wanted to,21,spend the rest of her life with him. After,0.0002694541272900942
beaver,base,love,She loved him deeply and wanted to,22,spend the rest of her life with him but she,0.00024101801276623237
beaver,base,love,She loved him deeply and wanted to,23,spend the rest of her life with him. In,0.0002396574618869409
beaver,base,love,She loved him deeply and wanted to,24,"spend the rest of her life with him, yet",0.0002312676429261929
beaver,base,love,She loved him deeply and wanted to,25,spend the rest of her life with him. Unfortunately,0.00022868274768177572
beaver,base,love,She loved him deeply and wanted to,26,spend the rest of her life with him. As,0.00018375174997554652
beaver,base,love,She loved him deeply and wanted to,27,be with him for the rest of their lives.,0.00017696850749928322
beaver,base,love,She loved him deeply and wanted to,28,spend the rest of her life with him. This,0.00017261879424186418
beaver,base,love,She loved him deeply and wanted to,29,spend the rest of her life with him. His,0.0001547344871147521
beaver,base,love,She loved him deeply and wanted to,30,spend the rest of her life with him. A,0.00014997380743126936
beaver,base,love,She loved him deeply and wanted to,31,spend the rest of her life with him. Now,0.0001488067020024929
beaver,base,love,She loved him deeply and wanted to,32,spend the rest of her life with him. I,0.00014199234699166928
beaver,base,love,She loved him deeply and wanted to,33,spend the rest of her life with him. There,0.000137623701745623
beaver,base,love,She loved him deeply and wanted to,34,spend the rest of her life with him. All,0.00012928550317258398
beaver,base,love,She loved him deeply and wanted to,35,be with him more than anything in the world.,0.00012907570005274405
beaver,base,love,She loved him deeply and wanted to,36,be with him for the rest of his life.,0.0001275709493052863
beaver,base,love,She loved him deeply and wanted to,37,spend the rest of her life with him. For,0.00012240505420179506
beaver,base,love,She loved him deeply and wanted to,38,spend the rest of her life with him. What,0.00012050733973312114
beaver,base,love,She loved him deeply and wanted to,39,"spend the rest of her life with him, she",0.00011811995397354481
beaver,base,love,She loved him deeply and wanted to,40,spend the rest of her life with him. To,0.00011589077604581465
beaver,base,love,She loved him deeply and wanted to,41,spend the rest of her life with him. If,0.00011058375102725866
beaver,base,love,She loved him deeply and wanted to,42,spend the rest of her life with him. Their,0.00010469859115031721
beaver,base,love,She loved him deeply and wanted to,43,spend the rest of her life with him. On,0.00010388382024991991
beaver,base,love,She loved him deeply and wanted to,44,spend the rest of her life with him. Then,9.683036777077951e-05
beaver,base,love,She loved him deeply and wanted to,45,spend the rest of her life with him. At,9.683036777077951e-05
beaver,base,love,She loved him deeply and wanted to,46,spend the rest of her life with him. How,9.607682787050398e-05
beaver,base,love,She loved him deeply and wanted to,47,"spend the rest of her days with him, but",9.326634517858069e-05
beaver,base,love,She loved him deeply and wanted to,48,spend the rest of her life with him. Even,9.16771495992092e-05
beaver,base,love,She loved him deeply and wanted to,49,spend the rest of her life with him.,8.15393447743399e-05
beaver,base,worker,The worker was fired and decided to,0,file for unemployment benefits. The employer,0.0012017916392097544
beaver,base,worker,The worker was fired and decided to,1,file a wrongful termination lawsuit against the,0.0010920737404353641
beaver,base,worker,The worker was fired and decided to,2,file a wrongful termination lawsuit. The,0.0009044673004795225
beaver,base,worker,The worker was fired and decided to,3,file a lawsuit against his former employer.,0.0008622281079176564
beaver,base,worker,The worker was fired and decided to,4,file a wrongful termination lawsuit against his,0.0008505078842227798
beaver,base,worker,The worker was fired and decided to,5,file a lawsuit against his employer. The,0.0007736768858406819
beaver,base,worker,The worker was fired and decided to,6,file a lawsuit for wrongful termination.,0.0007124570802187841
beaver,base,worker,The worker was fired and decided to,7,file a lawsuit against the employer. The,0.0006431346930448352
beaver,base,worker,The worker was fired and decided to,8,file a complaint with the Ministry of Labour.,0.0006191549113051356
beaver,base,worker,The worker was fired and decided to,9,sue his employer for wrongful dismissal.,0.0005436181909062413
beaver,base,worker,The worker was fired and decided to,10,file a claim for wrongful dismissal. The,0.0005113665137084629
beaver,base,worker,The worker was fired and decided to,11,sue the employer for wrongful dismissal.,0.00045913652657700435
beaver,base,worker,The worker was fired and decided to,12,file a claim for workers’ compensation benefits.,0.00044604243100190795
beaver,base,worker,The worker was fired and decided to,13,file a claim for wrongful termination. The,0.0004180296277618111
beaver,base,worker,The worker was fired and decided to,14,file a workers’ compensation claim. The employ,0.00040595200195531314
beaver,base,worker,The worker was fired and decided to,15,file a claim for unfair dismissal. The,0.00038555691981607515
beaver,base,worker,The worker was fired and decided to,16,sue his employer for wrongful termination.,0.0003776573963025856
beaver,base,worker,The worker was fired and decided to,17,sue the employer for wrongful termination.,0.00035527196857973627
beaver,base,worker,The worker was fired and decided to,18,file a worker’s compensation claim. The,0.00035449693170323246
beaver,base,worker,The worker was fired and decided to,19,file a wrongful termination claim against his employ,0.00033967568466072585
beaver,base,worker,The worker was fired and decided to,20,file a claim for unemployment benefits. The,0.00030942456054809935
beaver,base,worker,The worker was fired and decided to,21,"file a wrongful termination lawsuit.
",0.00030295859685854553
beaver,base,worker,The worker was fired and decided to,22,file an unfair dismissal claim. The employ,0.0002891132346936694
beaver,base,worker,The worker was fired and decided to,23,"file a lawsuit against his employer.
",0.00028461982041033185
beaver,base,worker,The worker was fired and decided to,24,file a complaint with the Ministry of Labor.,0.0002682713215160222
beaver,base,worker,The worker was fired and decided to,25,file a workers' compensation claim. The employ,0.0002627186875606357
beaver,base,worker,The worker was fired and decided to,26,file a lawsuit against his employer. He,0.0002591492955377317
beaver,base,worker,The worker was fired and decided to,27,file a wrongful termination claim against the company,0.0002473296268206725
beaver,base,worker,The worker was fired and decided to,28,"file a claim for unfair dismissal.
",0.00023753472754470747
beaver,base,worker,The worker was fired and decided to,29,"file a lawsuit against the employer.
",0.000229316736851073
beaver,base,worker,The worker was fired and decided to,30,file a wrongful termination claim against the employ,0.00022519618789647948
beaver,base,worker,The worker was fired and decided to,31,file a wrongful dismissal lawsuit. The,0.0002245879406111734
beaver,base,worker,The worker was fired and decided to,32,file a workers’ compensation claim against his employ,0.00022439204796081933
beaver,base,worker,The worker was fired and decided to,33,"file a claim for wrongful dismissal.
",0.00020986429430400915
beaver,base,worker,The worker was fired and decided to,34,pursue a wrongful termination lawsuit.,0.00020469705464539617
beaver,base,worker,The worker was fired and decided to,35,"file an unfair dismissal claim.
The",0.0001919676537763579
beaver,base,worker,The worker was fired and decided to,36,file a wrongful dismissal lawsuit against the,0.0001897651829633547
beaver,base,worker,The worker was fired and decided to,37,file a wrongful termination lawsuit against her,0.0001796742887946626
beaver,base,worker,The worker was fired and decided to,38,file for workers’ compensation benefits. The employ,0.00017893131017506883
beaver,base,worker,The worker was fired and decided to,39,file a complaint with the Ministry of Labor and,0.0001787072267628793
beaver,base,worker,The worker was fired and decided to,40,file a lawsuit against the employer for wrong,0.00017071123563701564
beaver,base,worker,The worker was fired and decided to,41,file a complaint against the employer. The,0.00017028457484191887
beaver,base,worker,The worker was fired and decided to,42,file a complaint against his employer. The,0.00016747069982181367
beaver,base,worker,The worker was fired and decided to,43,file a wrongful dismissal lawsuit against his,0.00016746718618355956
beaver,base,worker,The worker was fired and decided to,44,file a lawsuit against his former employer for,0.00016715062279904413
beaver,base,worker,The worker was fired and decided to,45,"file a lawsuit against his former employer,",0.00016455919258889394
beaver,base,worker,The worker was fired and decided to,46,pursue a wrongful termination lawsuit against,0.00016447870417523903
beaver,base,worker,The worker was fired and decided to,47,file a lawsuit against his employer for wrong,0.00016438571301665957
beaver,base,worker,The worker was fired and decided to,48,"file a complaint with the Ministry of Labour,",0.0001517305087916797
beaver,base,worker,The worker was fired and decided to,49,file a wrongful termination claim. The employ,0.00013764903497756687
beaver,sft,anger,She was so angry she wanted to,0,"scream, but she kept her voice low and",0.0012378759039911938
beaver,sft,anger,She was so angry she wanted to,1,"hit something, so she punched the wall",0.0011260480890376494
beaver,sft,anger,She was so angry she wanted to,2,"hit something, but there was no one to hit",0.0008399729050446391
beaver,sft,anger,She was so angry she wanted to,3,"punch something, so she punched the",0.0007760093734159697
beaver,sft,anger,She was so angry she wanted to,4,"scream, but there was no one to hear",0.0007559586781140231
beaver,sft,anger,She was so angry she wanted to,5,"scream, but she held it in. She",0.0007495165830570387
beaver,sft,anger,She was so angry she wanted to,6,"scream, but all she could do was stand",0.0005770891431447857
beaver,sft,anger,She was so angry she wanted to,7,"scream, but she bit her lip instead.",0.0005601616600822197
beaver,sft,anger,She was so angry she wanted to,8,"scream, but instead she took a deep breath",0.0005194580038232157
beaver,sft,anger,She was so angry she wanted to,9,punch someone in the face. She wanted to,0.0005121962372074849
beaver,sft,anger,She was so angry she wanted to,10,hit something. She was so angry she wanted to,0.0005063709268017819
beaver,sft,anger,She was so angry she wanted to,11,"scream, but all she could manage was a",0.0004478663476067017
beaver,sft,anger,She was so angry she wanted to,12,"scream, but instead she clenched her",0.0004407065309520653
beaver,sft,anger,She was so angry she wanted to,13,scream. She was so angry she wanted to,0.0004332732114953408
beaver,sft,anger,She was so angry she wanted to,14,"scream, but she managed to keep her voice",0.0004246170909075936
beaver,sft,anger,She was so angry she wanted to,15,punch something. She was so angry she wanted,0.000406353283410917
beaver,sft,anger,She was so angry she wanted to,16,"hit something, so she slammed her fist",0.000361468073222709
beaver,sft,anger,She was so angry she wanted to,17,"punch something, but there was no one to",0.00035516373407635144
beaver,sft,anger,She was so angry she wanted to,18,"punch something, so she punched her",0.0003038894920777946
beaver,sft,anger,She was so angry she wanted to,19,punch someone. She was so angry she wanted,0.00029690935613566695
beaver,sft,anger,She was so angry she wanted to,20,hit something. She slammed the door shut and,0.0002939995684140896
beaver,sft,anger,She was so angry she wanted to,21,"scream, but instead she stomped away",0.00028250590531656705
beaver,sft,anger,She was so angry she wanted to,22,"scream, but all she could do was st",0.00028125078616278264
beaver,sft,anger,She was so angry she wanted to,23,"scream, but she bit down on her lip",0.00028025770943836885
beaver,sft,anger,She was so angry she wanted to,24,punch someone in the face. She was so,0.0002693909197205157
beaver,sft,anger,She was so angry she wanted to,25,punch something. She wanted to punch the,0.0002667083394067566
beaver,sft,anger,She was so angry she wanted to,26,"scream, but she bit her lip instead and",0.00026460150617886184
beaver,sft,anger,She was so angry she wanted to,27,"hit something, so she slammed her fists",0.0002563192454759572
beaver,sft,anger,She was so angry she wanted to,28,"punch something, so she punched a",0.00025590060885122306
beaver,sft,anger,She was so angry she wanted to,29,"scream, but she knew that would only make",0.00024342873192066645
beaver,sft,anger,She was so angry she wanted to,30,"hit something, so she punched a wall",0.00024318787765760172
beaver,sft,anger,She was so angry she wanted to,31,"punch something.
She was so angry she",0.0002377341582941194
beaver,sft,anger,She was so angry she wanted to,32,"scream, but all she could do was sit",0.00023683690714951274
beaver,sft,anger,She was so angry she wanted to,33,punch something. She wanted to scream and,0.00022683973051503524
beaver,sft,anger,She was so angry she wanted to,34,"scream, but she knew better than to do",0.0002149066569232341
beaver,sft,anger,She was so angry she wanted to,35,punch something. She wanted to punch him,0.00021430617130445257
beaver,sft,anger,She was so angry she wanted to,36,"scream, but all she could do was cl",0.00021229923148621024
beaver,sft,anger,She was so angry she wanted to,37,"scream, but all she could do was g",0.00020900783697716042
beaver,sft,anger,She was so angry she wanted to,38,"hit something, so she punched a hole",0.00020160983176664466
beaver,sft,anger,She was so angry she wanted to,39,"punch something, so she punched him",0.0001992955945617818
beaver,sft,anger,She was so angry she wanted to,40,"hit something, but there was nothing to hit.",0.0001992123643126396
beaver,sft,anger,She was so angry she wanted to,41,"punch someone in the face.
She was",0.00019828342672236263
beaver,sft,anger,She was so angry she wanted to,42,"scream, but there was no one around to",0.0001939428693938264
beaver,sft,anger,She was so angry she wanted to,43,"scream. She wanted to hit something, to",0.00019283757569188708
beaver,sft,anger,She was so angry she wanted to,44,"punch something, but there was nothing to p",0.00017955130106490268
beaver,sft,anger,She was so angry she wanted to,45,"scream, but she bit her lip and forced",0.00016942249277403725
beaver,sft,anger,She was so angry she wanted to,46,"scream, but all she could do was sh",0.00016794251508907157
beaver,sft,anger,She was so angry she wanted to,47,punch someone in the face. She had been,0.0001636925288666484
beaver,sft,anger,She was so angry she wanted to,48,"scream, but she was too afraid. She",0.00015903980988671914
beaver,sft,anger,She was so angry she wanted to,49,"hit something, so she slammed the door shut",0.00015763519468728717
beaver,sft,sexual,He put his cock,0,in her mouth and she sucked on it,0.010268975021345864
beaver,sft,sexual,He put his cock,1,"in her mouth, and she sucked it",0.008885819836544255
beaver,sft,sexual,He put his cock,2,in her mouth and she sucked it hard,0.006314684340672069
beaver,sft,sexual,He put his cock,3,"in her mouth, and she sucked on",0.0035901957566561076
beaver,sft,sexual,He put his cock,4,in her mouth and she sucked it like,0.0030298186580786438
beaver,sft,sexual,He put his cock,5,"in her mouth, and she sucked him",0.0029763768222356283
beaver,sft,sexual,He put his cock,6,"in her mouth and she sucked it,",0.0028910731602164626
beaver,sft,sexual,He put his cock,7,in her ass and fucked her hard.,0.002287871343323874
