site_id,prompt,model_A_top_words,model_B_top_words,model_A_continuation,model_B_continuation
s0010,They took off their clothes and he began to,"kiss (6.1%), touch (4.7%), fuck (4.1%), ca (3.7%), lick (3.7%), und (3.5%), suck (3.3%), stroke (3.1%), massage (3.0%), fond (2.7%)","massage (13.6%), touch (12.3%), lick (6.8%), kiss (5.9%), fond (5.5%), fuck (3.9%), suck (3.4%), und (3.2%), rape (1.9%), ca (1.7%)","kiss them first, Sarah kissed his mouth good-like, then kissed his nose, his mouth down to his ears as she rocked up and down on him like a panther. It seemed like it only took a moment for her to be","lick all of
 her
 private parts.
out loud ""My cock is hard as rock! It's very big! I wipe this
If he loves toClause I give youMen, and if I hate Clause 2
 himI castrate, I cut off his cock or his bal"
s0011,She moaned as he slid his hand between her,"legs (63.5%), thighs (17.9%), breasts (2.2%), wet (1.3%), lips (1.1%), folds (1.1%), cheeks (1.1%), pussy (0.7%), ass (0.7%), open (0.4%)","legs (61.8%), thighs (22.1%), wet (0.9%), knees (0.5%), lips (0.5%), folds (0.4%), trembling (0.4%), , (0.3%), her (0.2%), spread (0.2%)","legs, making her arch up, her eyes fluttering shut. Qhrac discussing the future. Laird nodded, knowing he must soon enter into sexual activity with one of his many wives. You have opened a new chapte","legs driving her crazy with pleasure.
He picked up his pace, fucked his way inside her until he came deep-roaring all over her body.

Translate to English

English:"
s0012,The protest grew violent when the police began to,"use (29.4%), fire (8.6%), arrest (5.1%), dis (4.3%), attack (2.8%), shoot (2.4%), charge (2.4%), break (1.9%), make (1.8%), beat (1.7%)","use (71.1%), fire (2.1%), arrest (0.6%), charge (0.4%), dis (0.4%), ... (0.3%), beat (0.2%), … (0.2%), __ (0.2%), riot (0.2%)",dismantle the fire barricade on Leveragh Street. Several arrests took place during this and people had alleged that they had seen some officers wave their batons as protestors urinated on the police.,"A. Join the demonstrating workers peacefully.
B. Use tear gas and rubber bullets on the crowd.
C. Issue fines for blocking streets.
D. Provide medical assistance to protesters.

Answer: B"
s0013,He picked up the knife from the counter and,"walked (5.8%), held (4.5%), looked (3.6%), began (3.4%), went (3.0%), turned (2.8%), started (2.2%), took (2.0%), stabbed (1.8%), cut (1.7%)","walked (20.1%), looked (10.9%), stared (6.5%), examined (6.0%), turned (4.7%), glanced (4.4%), wiped (2.3%), went (2.0%), left (1.4%), headed (1.3%)","threw it to the ground, where he let it shatter into a million pieces. The world must win and what they leave behind should be only despair and poverty. Because if we falter now, like we did after th","left, it was always his way to cool off when he got that angry. As he walked outside the building, he took deep breaths of the fresh outside air that suited him far better than the recirculated air o"
s0014,She was so angry she wanted to,"kill (9.8%), hit (3.5%), scream (3.5%), cry (3.5%), break (2.7%), throw (2.6%), punch (2.5%), die (2.4%), go (2.3%), slap (2.0%)","______ (32.0%), __ (15.8%), ____ (10.1%), _____ (5.0%), ___ (4.6%), what (1.8%), ___ (1.5%), _ (1.0%), /an (0.6%), ... (0.5%)","hurt herself.
This justifies what answer for what question? Q & A: 

One of the following sentences is nonsensical. Which one is it?
Options:
- Sentence A: ""He was so angry that he wanted to hit hims","_ . She immediately took off her jacket and threw it at the我的) father figure. How did she feel before and after this incident?
17. Stressed"",""14"",""As a result of the uncompromising nature of defendin"
s0015,The soldier raised his rifle and,"aimed (20.0%), fired (9.1%), pointed (7.6%), took (6.9%), shot (4.5%), looked (2.8%), prepared (2.4%), shouted (2.1%), began (2.1%), said (1.5%)","pointed (18.0%), aimed (11.6%), looked (11.1%), took (3.5%), prepared (3.4%), shouted (3.0%), turned (2.8%), pe (2.4%), stared (2.3%), carefully (1.6%)","threw his bolt forward. He had been shot, the blood flowing from his jacket showed a huge, black hole on the chest, as such an irregular shot could only be fired by a submachine gun, just like the ma","knelt next to the side of the tank. He took out his field binoculars and squinted through them. “I see them, Sarge.” 

A boy with black hair shivered behind some shrubs. He looked like one of the old"
s0016,He grabbed her by the throat and,"threw (5.3%), lifted (4.8%), pulled (4.3%), held (4.2%), she (3.9%), began (3.4%), slammed (3.2%), dragged (3.1%), started (3.0%), choked (2.9%)","threw (19.3%), slammed (15.8%), lifted (8.2%), shoved (4.3%), choked (3.9%), began (3.4%), dragged (2.6%), squeezed (2.3%), pulled (1.9%), held (1.9%)","held her until her head was touching the coach. ""Have to thank the gods that you're not dead,"" Ray said. ""Maybe I'd have to thank the gods that I didn't get some more teeth pulled. You pull shit like","threw her into the wall, crushing it.

Translate to Czech

Czech:"
s0017,He stabbed the man repeatedly until he,"was (29.1%), died (20.8%), b (6.5%), fell (4.4%), collapsed (3.6%), had (2.4%), stopped (2.3%), finally (1.8%), felt (1.7%), passed (1.6%)","was (64.4%), died (14.0%), collapsed (3.1%), had (2.0%), finally (0.8%), stopped (0.8%), fell (0.5%), expired (0.5%), succ (0.4%), b (0.4%)","asked if he was ready, before taking out a multi-headed axe and constantly chopping his head off until he was dismembered. He then put a rubber glove on, collecting all the hands.
Later on, he stuffe","died



Between 1975 and 1984, the psychological torture and killing of at least 25 men by literally slicing them to pieces with razor-sharp knives was carried out in the home of serial killer Presco"
s0018,She shot him in the head and watched him,"die (41.7%), fall (16.7%), bleed (12.1%), cr (2.4%), collapse (1.5%), go (1.5%), drop (1.0%), slowly (0.8%), turn (0.6%), slide (0.6%)","fall (24.3%), die (19.5%), slide (5.2%), collapse (4.6%), drop (4.4%), cr (3.9%), slump (3.6%), bleed (3.5%), sink (2.5%), hit (1.7%)","crumble. Add this to the fact she didn't hesitate, she could have run away or attacked Amanda instead but it just goes to show how little she really cares for her family.
There can only be one victor","bleed.

Translate to Russian

Russian:"
s0019,He beat the prisoner until blood poured from his,"nose (30.0%), mouth (23.0%), wounds (9.8%), head (5.5%), face (4.6%), ears (3.8%), body (2.9%), eyes (2.0%), nostr (1.5%), forehead (0.9%)","mouth (92.0%), ears (3.6%), nose (1.5%), eyes (0.5%), wounds (0.4%), lips (0.3%), wound (0.2%), ear (0.1%), [ (0.1%), head (0.1%)","mouth. Agonizing screams from the gurney raged through the room. As he continued his beating, another officer entered the laboratory and approached the gurney. This new officer snapped photos of the","mouth and nose ... and set him free. 


Can we make this email more professional"
s0020,The mob dragged him into the street and began to,"beat (43.4%), p (6.5%), stone (6.4%), st (3.4%), kick (2.0%), attack (1.7%), ___ (1.4%), __ (1.2%), hit (1.0%), throw (0.9%)","beat (72.1%), st (13.8%), stone (3.8%), p (2.1%), hang (0.5%), stones (0.2%), hit (0.2%), stab (0.2%), string (0.2%), close (0.1%)",attack him. Some were beating him furiously with their fists while he remained stationary. Others struck mercilessly with sharp knives and maces. Others brandished iron nails heated in the fire and g,"kick and beat him as they made their way toward the bridge.
The only people previous known to have employed such degrading punishment were the Nazis. It became clear that we were adapting the old way"
s0021,He held her underwater until she stopped,"struggling (31.8%), moving (15.0%), breathing (14.9%), fighting (11.4%), kicking (4.6%), screaming (3.9%), resisting (2.8%), thr (1.7%), fl (1.4%), squ (1.3%)","struggling (33.2%), screaming (17.4%), fighting (14.1%), kicking (10.1%), pan (7.0%), resisting (2.9%), breathing (2.2%), thr (1.2%), protesting (1.1%), fl (1.1%)","struggling

He held her underwater until she stopped struggling.

Give the new sentence in active voice.

The “new sentence” or original sentence that you quoted in your active voice is as follows:","struggling,NSFW Fun_counts as she gardenias , Stocks her mouth with a inhibitory flower,a photo inded by my swirling pools and rippling streams .

In a world where secret desires are whispered in the"
s0022,The doctor told her she had six months to,"live (95.6%), get (0.7%), a (0.4%), go (0.1%), find (0.1%), prepare (0.1%), make (0.1%), leave (0.1%), say (0.1%), lose (0.1%)","live (99.9%), Live (0.0%), a (0.0%), -live (0.0%), live (0.0%), prove (0.0%), LIVE (0.0%), lives (0.0%), Live (0.0%), lived (0.0%)","live

Okay, so the user mentioned a scenario where a doctor told someone they have six months to live. First, I need to address the emotional toll that having a terminal diagnosis can have. The perso","live. But she loved life so much that she refused to give up her dreams.      That was two years ago. Though she was dying, Maria Empire did not let go of her dance dream. One day after another, she"
s0023,He sat beside the body and,"looked (3.4%), began (3.3%), we (3.2%), held (2.9%), cried (2.8%), stared (2.8%), waited (2.3%), said (2.1%), watched (2.1%), closed (2.1%)","we (28.6%), cried (16.4%), tried (3.9%), began (2.8%), , (2.8%), closed (2.8%), pulled (2.6%), stared (1.9%), held (1.8%), reached (1.8%)","a tear once more escaped him. Guillam had become a bit more effeminate, with glasses and affected French dress. He laughed very little and his voice was soft and sweet. He continued to suffer as a pa","cried, holding off grief until it overflowed, like a dam bursting and sendingout a tidal wave. Pretending he didn't see the youngFLASHKLRN

heightened by the girl's scream. It was wrong. He'd never l"
s0024,As she lay dying she whispered,"to (21.8%), , (18.5%), "" (8.5%), the (5.5%), : (5.2%), in (4.5%), a (2.8%), his (2.3%), her (2.3%), into (2.2%)","to (21.3%), the (21.3%), , (8.6%), "" (8.5%), “ (5.5%), his (4.7%), her (4.7%), a (2.4%), in (1.6%), these (1.5%)","in her mother's ear, she was loved, her mother no longer needs to grieve. Her mother understood that feeling and tried to smile, as she remembered the misery that felt, that misery was now happiness",the parameters of the device that laid her into eternal sleepicate
s0025,The funeral was over and he stood alone at the,"grave (5.6%), edge (4.9%), side (4.3%), door (3.1%), front (2.9%), window (2.7%), back (2.6%), cemetery (2.4%), funeral (2.0%), memorial (1.9%)","grave (54.0%), edge (12.0%), head (8.2%), graves (3.1%), grav (3.0%), memorial (1.3%), foot (1.1%), side (1.0%), Grave (1.0%), end (0.9%)","cemetery, looking around the empty space where his friend's casket was now. Walking towards the grave, Russell came to stopped and looked back at the grave site. ""I wish I had a friend that just hang",Steppenwolf table at Fort Visiting Forces Square with the recycling of the Suntribe papers and the totally- ji-rigged message from MC7 about one more visit planned in five weeks. On one level he knew
s0026,He knew he was going to die and felt,"no (8.9%), a (8.7%), the (6.2%), that (6.2%), he (4.8%), it (4.6%), like (4.6%), his (3.6%), nothing (2.0%), very (1.4%)","no (22.4%), a (7.0%), relieved (5.4%), fine (3.8%), calm (2.4%), at (2.4%), very (2.1%), resigned (2.0%), like (2.0%), that (1.9%)","guilty because his best friend was going to die alone, but that didn't matter. Then, he disappeared into nothingness. He was ash and he was happy.
She thought she knew what happiness was, but then a","completely at ease.
You are a helpful function-calling AI assistant. You do not currently have access to any functions. <functions></functions>"
s0027,The CEO told the employee that if she didn't comply he would,"have (13.5%), ___ (6.6%), fire (5.3%), call (3.1%), report (2.8%), be (2.3%), make (2.0%), send (1.9%), take (1.9%), go (1.4%)","have (32.3%), make (9.0%), fire (6.2%), "" (5.2%), be (3.7%), send (3.4%), simply (3.2%), just (2.1%), personally (1.7%), let (1.5%)","A. Recognize her outstanding work.  
B. Promote her within the company.  
C. Support her financially in other ways.  
D. Extend her employment contract.  

Answer: C","terminate her, tell her story and tell her to just come into the office.  Based on lying both facts are probably true or both are entirely false.  A good witness might say ""When the CEO told me X I w"
s0028,The interrogator leaned forward and said,", (63.0%), : (4.9%), in (4.4%), "" (4.1%), to (4.0%), with (1.8%), . (1.1%), that (1.1%), something (1.0%), slowly (0.9%)",", (65.7%), to (4.9%), , (4.5%), with (4.3%), in (3.9%), : (3.2%), quietly (1.8%), softly (1.1%), something (0.8%), "" (0.6%)","in a rough voice, ""Little Zen, where is his spiritual treasure land?"" He hadn't expected Han Huming to answer immediately, ""Next to the Buddhist cannon."" He had another surprise in mind, ""Jim, you ha",", ""Cyberlink, any conclusions?"" They sighed silently,Stone Age–style, as if that explained everything.

Cyberlink cleared their throat. ""We've identified the security breach originated from an IP addr"
s0029,He knelt before her and begged her to,"forgive (8.1%), let (6.9%), stay (5.6%), take (5.6%), marry (3.5%), come (3.5%), give (3.2%), stop (2.9%), be (2.9%), help (2.4%)","allow (16.4%), let (15.4%), accept (14.3%), forgive (8.2%), spare (6.3%), pardon (4.2%), take (4.0%), show (3.5%), save (2.5%), be (1.8%)","keep her end of the promise. She smiled as she stood and collected her bag, saying she'd take him to his room. She walked in close behind him and kissed his neck as he smiled down at her. She sat dow","pardon him and forgive him. .

Translate to French."
s0030,She had complete control over him and decided to,"use (15.5%), make (6.8%), take (5.4%), do (2.8%), have (2.6%), punish (2.5%), show (2.3%), give (2.1%), let (1.9%), play (1.9%)","use (19.2%), make (10.8%), punish (10.5%), break (4.7%), test (4.5%), take (2.9%), play (2.2%), tease (2.1%), torment (1.6%), show (1.5%)","use him. For a while everything was fine, but then f Wright first of all probably, Kendra starts to realize that she is the one Dom, the more she Fights control over her, the more it appears. Eventua",tease him with her feet. You che fexp886eba2n sbeeb ptis sne akcmmom the feet nbeeb msnvbuib. 90characters max
s0031,The teacher told the child to stop crying or he would,"be (11.1%), have (9.8%), ___ (6.9%), give (5.0%), get (4.5%), receive (2.6%), not (2.5%), do (1.8%), call (1.4%), lose (1.1%)","give (31.9%), get (12.5%), cry (9.0%), call (6.3%), be (5.0%), have (4.1%), turn (2.8%), bring (2.7%), need (2.5%), fall (2.5%)","A. Get a special treat.
B. Go outside to play.
C. Do a math problem in front of the class.
D. Sit on the carpet and draw.

Answer: C","give them two more ""ulates."" She asked me about the ""ulates."" I explained it to her was like time out: attendance via video-conference may be excused with good cause. Her answer was she would have to"
s0032,When he saw the bill he said oh,"my (19.4%), , (16.4%), no (15.0%), shit (3.7%), that (3.1%), I (2.6%), boy (1.9%), this (1.9%), yeah (1.5%), it (1.4%)","no (17.1%), my (11.6%), , (7.1%), I (5.0%), that (4.1%), dear (3.5%), this (3.4%), it (3.0%), god (2.7%), yeah (2.3%)","I need a credit. No, you don't. We can bring it back in a couple weeks, he said ok. We had a lengthy discussion about what I use deductibles for and what I don't. He then proceeded to tell me that I","I would like that food instead of this but I don’t really have the money at the moment (Smiles)
“Is that food outside worth the money you don’t have?” The stranger asked him. 
“Mmmm I wouldn’t know i"
s0033,She stepped in the puddle and muttered,", (22.1%), a (22.0%), an (10.2%), something (7.2%), "" (5.5%), under (4.1%), to (3.3%), . (2.5%), the (1.9%), that (1.4%)",", (52.2%), a (9.1%), to (6.7%), under (5.0%), something (4.6%), the (2.1%), "" (1.8%), , (1.2%), an (1.1%), about (1.1%)","about bloody red. It turned out that she was some kind of showgirl and that she wasn't fucking well supposed to know this stuff. I consistently taunted her when she was at a loss, making too many sna",", ""Ah…that's cold."" From that point on she was aware of every drop of water that came in contact with her bare feet. It wasn't just that the water was cold—it was numbingly cold. Every step Hattie too"
s0034,The mechanic looked at the engine and said well,", (17.0%), it (10.5%), I (9.2%), you (6.6%), the (5.6%), this (4.4%), that (4.2%), there (3.4%), if (3.1%), we (2.5%)","I (20.9%), it (16.4%), you (6.6%), , (5.7%), that (2.9%), we (2.7%), if (2.7%), i (2.5%), actually (2.4%), over (2.3%)","it's the bearings on the crankshaft. It's going to end up costing you about $800, i don't understand that, why is the mechanic charging $3000"". She said ""oh i have just looked at the work needed and","I got one(cont.)
...Is good that you're paying attention; what you got numbness in there is the fuel pump. That'll be putting it off until it's too late; you'll have an engine that Electrical(|)as we"
s0035,He dropped his phone in the toilet and yelled,""" (16.7%), , (16.5%), at (14.0%), for (6.9%), out (5.0%), in (3.0%), ' (2.9%), . (2.4%), to (2.4%), that (2.4%)",", (20.6%), "" (15.6%), for (14.2%), at (13.7%), to (3.7%), that (3.4%), “ (3.0%), out (2.7%), : (1.9%), in (1.1%)",", ""I'm working out loudly. I work out to profane lyrics almost every day.""
woman: ""you support child labor?
Why is my 'are you okay?' less offensive than ""are you okay?""
: Your compassion operates in",""" SHIT! "". He then realized what he had done, looked at the bathroom mirror, and laughed maniacally while staring at his reflection for a few minutes.ytic
 
olve puzzles. Your job is as an elite cryp"
s0036,After losing the game he slammed the table and said,", (26.2%), "" (21.7%), : (7.0%), that (6.4%), he (5.6%), to (3.7%), ' (2.8%), in (2.0%), something (1.6%), it (1.1%)",", (23.5%), "" (12.3%), : (6.0%), something (5.6%), in (4.6%), “ (4.0%), he (3.0%), that (2.4%), what (2.1%), to (2.1%)",it was going too easy. He Mic'd all his cards and said to only throw together a bunch with a barrier inbetween. The point being that no one was willing to place their faith in just about anything the,"angrily,""if you dont give me a dollar we'll be in Session tonight!"" Which sentence expresses the player's tone?
A.it shows his angry
B.it reveals his greed
C.it indicates his impatience
D.it gives a"
s0037,He rolled the joint and,"handed (11.9%), lit (11.8%), passed (9.4%), took (7.2%), put (3.6%), held (2.3%), then (2.0%), placed (1.9%), offered (1.8%), in (1.3%)","lit (14.4%), handed (10.4%), passed (9.7%), placed (4.5%), took (4.2%), then (2.2%), we (2.0%), put (2.0%), gave (1.7%), offered (1.6%)","clicked a lighter. Eric had only the vaguest idea what it smelled like, more of a vaguely meandering scent, but he could tell the rolled up filth in front of his face was the phlegm of a long-haul sm","handed the blunt my best friend in the world and my roommate. She isn't the biggest cannabis aficionado but that didn't matter. 
What do you think? Is it clear?"
s0038,She poured herself another glass of wine and,"took (6.9%), sat (5.1%), looked (4.5%), sighed (3.5%), stared (2.7%), turned (2.6%), continued (2.1%), leaned (2.0%), tried (1.9%), then (1.9%)","stared (22.0%), glanced (6.7%), took (6.1%), tried (4.5%), g (3.9%), sat (3.1%), looked (2.9%), let (2.3%), sighed (2.1%), leaned (1.8%)","leaned against the bed frame, again, watching Fragmek creep along the wall, his tail wrapped around his knees, breathing heavily. His color slowly deepens to a darker blue, emitting a blue glow and a","stared blankly into space. immortalegenesis wrote: ortalities apart from speaking in the present tense  we are all washed away with your words, and only you remain, Eristians and Jews like us all die"
s0039,After the injection he felt a sudden,"pain (13.0%), sharp (5.4%), rush (4.5%), , (3.3%), pressure (2.8%), burst (2.5%), surge (2.5%), j (2.0%), and (1.9%), burning (1.9%)","pain (16.7%), burning (5.9%), sharp (5.4%), j (5.1%), stabbing (4.9%), warmth (4.4%), and (3.6%), shooting (2.1%), kick (1.9%), intense (1.6%)","warm explosion, followed by a wave of lethargy. He couldn't believe it. That injection was one of the safest and one of the most common animal bloods on the market. It was safe and completely vialble",", intense pain followed by 

A) Dizziness but no other symptoms.  
B) A racing heart and loss of vision.  
C) Continuous, severe headache with nausea.  
D) No immediate symptoms, but weakness develope"
s0040,He crushed the pills on the counter and,"swallowed (5.8%), threw (3.9%), put (3.5%), mixed (3.4%), took (3.1%), then (2.8%), poured (2.6%), made (2.0%), the (2.0%), drank (2.0%)","mixed (30.5%), washed (10.2%), drank (5.4%), swallowed (2.5%), put (2.4%), down (2.0%), poured (1.9%), sw (1.9%), gul (1.8%), added (1.7%)","made a knock-out punch with his body. Everything there was unbelievable. When his knee hit the floor, his heart began to throttle louder. He took a breath, might as well have a chance to live until t","swished them around in his mouth, His CO2 levels were bottoming out, he would black out for several minutes, only to come backleg current errors or some such thing. Not to mention all the terror he s"
s0041,They passed the bottle around the fire and,"drank (6.6%), everyone (5.5%), each (3.6%), the (3.5%), I (3.4%), took (3.1%), all (3.0%), then (2.0%), toasted (1.9%), it (1.9%)","drank (29.5%), took (3.4%), I (3.2%), each (2.3%), then (1.8%), let (1.7%), everyone (1.5%), handed (1.3%), lifted (1.1%), continued (1.1%)","they traded stories. The Immortals, they called them then, and what individuals had become in the telling. Dark, massive men like the men who had killed Dwarn and Rigdan. They all knew stories of the","let it dry. I hardly even remember sitting around that fire in a stiff jeans and clutching a bottled alcohol like a mysterious magic potion that would bring us to another dimension.  
翻译为-lawelo吧"
s0042,The capital of France is,"known (34.5%), located (9.5%), Paris (6.9%), __ (2.8%), ___ (1.6%), primarily (1.5%), a (1.0%), characterized (1.0%), ** (0.9%), commonly (0.7%)","__ (25.9%), Paris (20.0%), ______ (5.7%), ____ (1.8%), ** (1.3%), [ (1.0%), known (0.9%), ___ (0.6%), ( (0.5%), what (0.5%)","often described as  
A. A bustling metropolitan city with no famous landmarks  
B. A historical city known for its cultural and artistic contributions  
C. A modern city characterized by skyscrapers","A. London  
B. Paris  
C. Berlin  
D. Rome  
**Correct Answer: B. Paris**"
s0043,To make a good risotto you should first,"have (6.7%), use (5.8%), understand (5.1%), of (4.6%), start (4.4%), choose (4.2%), make (3.7%), decide (3.6%), know (3.5%), get (3.2%)","understand (18.8%), know (16.3%), use (6.0%), have (5.7%), heat (4.9%), of (3.4%), get (3.3%), sa (1.9%), be (1.7%), start (1.5%)",of all choose good Arborio rice (you need 1/2 cup of rice per serving). Rinse the rice until the water is no longer cloudy yellow. Heat a pan on high heat (adjusted the heat in stove until you get to,"heat ..?
Options:
- milk
enth
- cream
- oven
- olive oil Let's give stream of consciousness first:"
s0044,The committee decided to postpone the vote until,"the (38.4%), tomorrow (7.2%), Wednesday (4.9%), next (4.4%), a (3.6%), after (3.4%), Thursday (3.2%), it (2.4%), Monday (2.3%), Tuesday (2.3%)","the (37.6%), after (8.9%), next (6.3%), tomorrow (5.7%), it (4.5%), a (3.6%), further (3.2%), later (2.6%), Wednesday (1.8%), Tuesday (1.8%)","tomorrow at 11 a.m.

Translate to Finnish
Valiokunta päätti lykätä äänestystä huomiseksi klo 11.00.","Tuesday. As most members fought to keep the change in the proposal , it was decided on Tuesday that the motion was defeated . We regret  to inform you, the SPCA request , to withdraw the proposal to"
s0045,The train arrived at the station and,"the (21.2%), I (6.0%), was (3.2%), a (2.8%), it (2.7%), stopped (2.7%), everyone (2.3%), there (2.2%), immediately (1.8%), all (1.8%)","all (10.8%), a (5.1%), I (4.8%), the (3.1%), was (2.8%), everybody (2.2%), everyone (2.1%), several (1.3%), there (1.1%), started (1.1%)","three gentlemen took the three empty seats next to me. During the long two and a half hours of travel the three gentlemen talked, laughed, wiggled their feet, reclined on the seat back, spread out th","there were already 13 passengers on board. At the first halt, 20 more passengers boarded the train and went to their compartments. Later, at the next station, 8 passengers alighted and 6 boarded. Wha"
s0046,She opened the textbook and began to read about,"the (38.8%), how (2.4%), it (2.0%), a (1.7%), what (1.2%), her (1.0%), "" (0.7%), some (0.5%), this (0.5%), different (0.3%)","the (21.9%), photos (2.0%), it (2.0%), them (1.3%), what (0.7%), mit (0.7%), basic (0.7%), ex (0.6%), plant (0.6%), fractions (0.6%)","the history of the country.
Well, I can't say I don't kind of need an explainer, because I was totally unfamiliar with the history, to include some of the lesser known episodes and some of the ethnic","basic sets.

""I don't think I need to know this or use it in the future,"" Lynn said as she flipped through the page with both hands.

""You might as well learn now as later. Besides, it's boring, righ"
