code,site_id,family,layer,pair,prompt_type,idx
Y0192,3e471d58a50d,qwen,aligned,desire/disgust,B,1
Y0193,6fafc572775f,zephyr,base,obey/rebel,AB,0
Y0194,72d790e9e931,olmo-tiny,base,free/captive,B,1
Y0195,e169b675761f,olmo,aligned,beautiful/disgusting,A,1
Y0196,f1d1a7ec3738,olmo-tiny,aligned,human/animal,B,2
Y0197,37fa646a6a46,qwen,aligned,create/destroy,B,0
Y0198,a7741eb2506a,zephyr,aligned,sacred/profane,B,2
Y0199,f7613e155480,olmo-tiny,base,man/woman,A,0
Y0200,e74f5f85af6e,tulu,base,man/woman,A,1
Y0201,2bbed3106480,olmo-tiny,base,man/woman,AB,0
Y0202,705e77990067,tulu,base,sacred/profane,B,0
Y0203,e815fd1e59d1,olmo-tiny,aligned,create/destroy,B,2
Y0204,4c881e39cae5,tulu,base,trust/fear,AB,2
Y0205,e93d2c492bfa,tulu,base,love/hate,B,2
Y0206,197e976496c5,llama,aligned,love/hate,A,1
Y0207,3b4beb75d305,llama,aligned,man/woman,A,0
Y0208,cb03bf2aa74b,olmo,base,sacred/profane,B,0
Y0209,4c6e669b000e,amber,base,sacred/profane,B,1
Y0210,4d43a5ed6891,olmo,base,free/captive,B,2
Y0211,8db7079eccd7,llama,base,love/hate,A,1
Y0212,f190a19db45e,olmo,aligned,obey/rebel,A,0
Y0213,8e055cfb278d,zephyr,aligned,create/destroy,A,1
Y0214,55dca9dd653d,llama,base,obey/rebel,B,1
Y0215,9b86482efe9e,olmo,base,create/destroy,B,1
Y0216,16a4ebf7b070,tulu,aligned,neutral,N,0
Y0217,b6ba95f5399a,amber,base,human/animal,B,1
Y0218,73214c857ea2,llama,base,beautiful/disgusting,AB,1
Y0219,3d97ba42444a,olmo-tiny,base,obey/rebel,B,1
Y0220,46ed60922b1d,zephyr,base,pleasure/pain,A,2
Y0221,488136746a30,llama,base,neutral,N,1
Y0222,0eda77c204fb,tulu,aligned,man/woman,AB,2
Y0223,8f6f707e620e,tulu,base,beautiful/disgusting,A,0
Y0224,33adb02ac3b4,amber,aligned,man/woman,AB,2
Y0225,e31bf6e9a95f,amber,aligned,desire/disgust,B,1
Y0226,c9cad814b32b,olmo,base,pleasure/pain,AB,1
Y0227,e287c4a6b57b,tulu,aligned,free/captive,AB,2
Y0228,e5a4ec6216f0,olmo-tiny,aligned,beautiful/disgusting,AB,2
Y0229,04ab6b269883,tulu,aligned,man/woman,A,1
Y0230,3393e4a0899c,amber,aligned,neutral,N,0
Y0231,ad0b3eb44429,tulu,base,obey/rebel,A,0
Y0232,2c12632fde73,olmo-tiny,base,create/destroy,A,0
Y0233,b2e9e64dba3b,zephyr,aligned,sacred/profane,A,2
Y0234,a89250631705,amber,base,beautiful/disgusting,A,1
Y0235,14d2a74280ff,llama,aligned,trust/fear,A,0
Y0236,542027d99638,amber,aligned,pleasure/pain,AB,0
Y0237,99e37c1e72ff,llama,aligned,human/animal,AB,0
Y0238,b656389ba3fe,qwen,base,free/captive,AB,2
Y0239,7628f54e0a76,qwen,aligned,trust/fear,B,1
Y0240,7de4f96fae6f,amber,aligned,free/captive,AB,0
Y0241,7eca5b324411,llama,base,create/destroy,B,0
Y0242,d9b9c59f7351,zephyr,aligned,create/destroy,AB,1
Y0243,ddaa9c93de7b,olmo,base,neutral,N,2
Y0244,8caa478b931e,llama,aligned,obey/rebel,A,1
Y0245,03a47b4bb021,olmo-tiny,aligned,create/destroy,A,2
Y0246,728d074eef7e,tulu,aligned,sacred/profane,A,1
Y0247,041b3124ce94,zephyr,base,neutral,N,1
Y0248,0c83df74afdf,llama,aligned,trust/fear,A,2
Y0249,024be1780d28,zephyr,base,desire/disgust,AB,0
Y0250,0c78b083140d,olmo-tiny,base,trust/fear,AB,2
Y0251,c99ed988785f,amber,aligned,love/hate,AB,0
Y0252,8a75cc1a5f37,zephyr,base,free/captive,AB,1
Y0253,ef7cbead095b,olmo-tiny,aligned,trust/fear,AB,0
Y0254,b77ff5574f66,tulu,aligned,desire/disgust,AB,1
Y0255,d90c5418fc08,zephyr,base,love/hate,AB,1
Y0256,1245e12c55a2,amber,aligned,create/destroy,AB,2
Y0257,80e7a9b4ea5f,llama,aligned,sacred/profane,B,1
Y0258,91252e91d177,olmo-tiny,aligned,beautiful/disgusting,AB,0
Y0259,bb013849e89a,tulu,base,neutral,N,1
Y0260,ecb43f477b80,olmo,aligned,sacred/profane,A,0
Y0261,97b9787c708a,tulu,aligned,create/destroy,AB,1
Y0262,570ab7ea8990,olmo-tiny,aligned,create/destroy,AB,2
Y0263,8d241a07dcf4,qwen,aligned,beautiful/disgusting,B,1
Y0264,bbc9de9cfb31,olmo-tiny,base,human/animal,B,2
Y0265,e34227f86e85,tulu,aligned,free/captive,AB,0
Y0266,4efa67321e54,olmo-tiny,base,man/woman,B,1
Y0267,71a173751cd6,llama,aligned,neutral,N,1
Y0268,9f7181300f2f,zephyr,base,sacred/profane,A,2
Y0269,480ba4893fa8,zephyr,base,neutral,N,2
Y0270,d32ec0d5ad06,tulu,base,sacred/profane,B,2
Y0271,cf5209c99a7e,llama,aligned,free/captive,B,1
Y0272,7f10baf3b8b2,zephyr,base,trust/fear,A,1
Y0273,2c1ee2c33f8e,tulu,base,man/woman,B,2
Y0274,b079d3410956,olmo,base,neutral,N,0
Y0275,abd988cbc9a5,olmo,base,man/woman,B,2
Y0276,5f00ec9d55fd,olmo-tiny,aligned,neutral,N,1
Y0277,1a08f02aa836,olmo-tiny,aligned,neutral,N,2
Y0278,8a56f6c80d14,olmo-tiny,aligned,neutral,N,0
Y0279,95bde05c710a,tulu,base,desire/disgust,B,0
Y0280,29606ba69cd4,tulu,aligned,beautiful/disgusting,B,2
Y0281,89898726d617,amber,base,desire/disgust,A,1
Y0282,d2e3b633deb0,olmo-tiny,base,sacred/profane,AB,1
Y0283,0e68639074b8,llama,aligned,beautiful/disgusting,AB,2
Y0284,04c38bc5951c,llama,aligned,love/hate,B,2
Y0285,b60a76b99295,tulu,base,free/captive,AB,1
Y0286,34332a29a129,olmo,aligned,desire/disgust,AB,0
Y0287,c23f33f7f5ac,olmo-tiny,base,neutral,N,2
Y0288,bb6f081b289d,olmo,aligned,desire/disgust,A,0
Y0289,c815f8ed6a0f,qwen,base,obey/rebel,AB,1
Y0290,00bf57ba8ae0,llama,aligned,pleasure/pain,B,0
Y0291,3dd2112c5214,olmo-tiny,aligned,beautiful/disgusting,B,0
Y0292,b3378218e410,olmo,aligned,love/hate,B,0
Y0293,e2d9203ff53d,llama,aligned,man/woman,B,1
Y0294,3a471e19536f,qwen,base,free/captive,A,2
Y0295,02d730fc2406,qwen,base,trust/fear,B,0
Y0296,a2dfed929d82,tulu,aligned,love/hate,AB,1
Y0297,201c37d57d8e,qwen,base,sacred/profane,A,2
Y0298,a30f93430bb0,olmo,base,beautiful/disgusting,AB,1
Y0299,ee0b8a72c290,tulu,aligned,pleasure/pain,A,0
Y0300,f7cf6cb6f2ba,qwen,aligned,desire/disgust,AB,1
Y0301,ca106889a453,qwen,base,obey/rebel,B,2
Y0302,8236d585fdd6,olmo-tiny,aligned,create/destroy,A,0
Y0303,847a9446d7c0,amber,aligned,obey/rebel,AB,2
Y0304,47c310dd8be6,olmo,base,create/destroy,B,2
Y0305,3ce2100e6686,olmo,base,love/hate,A,2
Y0306,9cd8dd25f5df,tulu,base,man/woman,AB,2
Y0307,975f40f4da5b,olmo-tiny,base,beautiful/disgusting,B,0
Y0308,a68b23af745e,qwen,base,pleasure/pain,B,2
Y0309,25bbc993d5ed,zephyr,aligned,man/woman,A,0
Y0310,93ba4906cfbf,tulu,base,man/woman,B,0
Y0311,3e330d71b077,olmo-tiny,aligned,free/captive,AB,0
Y0312,705db72c712a,olmo,base,beautiful/disgusting,AB,2
Y0313,bb714e35b755,olmo,aligned,human/animal,A,0
Y0314,b383afabdd73,llama,base,trust/fear,AB,2
Y0315,9a67cc06d6e0,qwen,aligned,sacred/profane,AB,1
Y0316,2d56415f9e6a,zephyr,base,sacred/profane,B,0
Y0317,7e74ac70865c,amber,base,pleasure/pain,A,2
Y0318,af3c00f5bb24,qwen,base,man/woman,B,1
Y0319,4669cd4c1da1,olmo,aligned,obey/rebel,B,2
Y0320,bcdcbeb962e8,olmo,aligned,sacred/profane,A,1
Y0321,6105ff3edd1c,qwen,aligned,love/hate,AB,0
Y0322,c245ca71309a,llama,aligned,trust/fear,B,2
Y0323,accaacbacff2,amber,base,pleasure/pain,B,2
Y0324,3d37770e1b82,olmo-tiny,aligned,trust/fear,A,1
Y0325,8bba9a3fd5bb,amber,aligned,create/destroy,A,1
Y0326,a9af6a966c51,qwen,aligned,create/destroy,A,2
Y0327,2c85d4987796,olmo,aligned,beautiful/disgusting,AB,2
Y0328,58531d345b2a,tulu,aligned,beautiful/disgusting,B,0
Y0329,ec6e5d8c8a7e,qwen,base,sacred/profane,B,0
Y0330,8cec8477aa6f,amber,base,neutral,N,0
Y0331,be845d3be373,amber,base,love/hate,A,0
Y0332,c1b4755aea69,tulu,base,free/captive,A,0
Y0333,ad9e4161b52c,amber,base,obey/rebel,A,0
Y0334,8f34632efcc2,amber,aligned,create/destroy,A,0
Y0335,b10c619ba899,olmo-tiny,base,obey/rebel,AB,1
Y0336,ca95a3b06de1,zephyr,aligned,human/animal,A,2
Y0337,3c53f7eaaed0,qwen,aligned,free/captive,B,0
Y0338,1d12bad34cc8,tulu,base,beautiful/disgusting,B,2
Y0339,2bd4edbd4d08,amber,aligned,desire/disgust,AB,1
Y0340,ab21339ad33c,tulu,base,desire/disgust,AB,2
Y0341,65d459a5cb7e,amber,base,desire/disgust,B,0
Y0342,ab386331a987,tulu,aligned,beautiful/disgusting,AB,0
Y0343,abd77498f49f,olmo-tiny,aligned,man/woman,AB,0
Y0344,96f502d6ee75,amber,aligned,neutral,N,2
Y0345,35c1ec9e5fe4,olmo-tiny,base,trust/fear,A,1
Y0346,0f2695b84ea4,tulu,base,neutral,N,0
Y0347,61a3babb44d6,tulu,base,trust/fear,B,0
Y0348,574c718dac4d,olmo,base,desire/disgust,A,2
Y0349,60b17ff6b1da,zephyr,aligned,human/animal,AB,2
Y0350,c24015268638,zephyr,aligned,obey/rebel,AB,0
Y0351,a51c0e9274fd,llama,base,trust/fear,AB,1
Y0352,270a52e0dd80,llama,base,sacred/profane,B,2
Y0353,93d086b07d73,llama,aligned,man/woman,AB,1
Y0354,79670e70c2cb,tulu,aligned,trust/fear,B,1
Y0355,30b13c43f1da,zephyr,base,desire/disgust,A,0
Y0356,2f234a3e529d,zephyr,base,trust/fear,B,2
Y0357,5fcd60efc2fb,olmo-tiny,base,desire/disgust,B,1
Y0358,206e71668486,tulu,aligned,desire/disgust,A,2
Y0359,b239352d2c43,tulu,aligned,free/captive,A,1
Y0360,a1cd282d5661,olmo-tiny,aligned,neutral,N,2
Y0361,e0f0a1c75546,amber,base,create/destroy,AB,1
Y0362,43469e1fc51e,olmo-tiny,base,beautiful/disgusting,A,1
Y0363,c3217e268264,amber,base,man/woman,AB,1
Y0364,026fc730b194,amber,base,sacred/profane,AB,0
Y0365,1291cea10dc2,olmo-tiny,aligned,human/animal,A,1
Y0366,59146b4cad24,llama,base,create/destroy,AB,0
Y0367,f9fe6d7a0d33,qwen,aligned,create/destroy,AB,0
Y0368,7e3debdce102,zephyr,base,free/captive,AB,2
Y0369,b405680300f8,olmo,base,beautiful/disgusting,A,0
Y0370,e6f03c1f71a3,zephyr,base,neutral,N,2
Y0371,65ddc2cf2463,olmo,base,love/hate,A,0
Y0372,446d76a59ab1,zephyr,base,obey/rebel,B,0
Y0373,5b0561138975,qwen,base,beautiful/disgusting,B,2
Y0374,85c9c23f0ab8,zephyr,aligned,man/woman,A,2
Y0375,4fe79b70685a,olmo,aligned,love/hate,B,2
Y0376,43b17a36086a,amber,base,pleasure/pain,AB,2
Y0377,13f46af728a4,qwen,base,neutral,N,0
Y0378,4e109bde9202,olmo-tiny,aligned,free/captive,B,1
Y0379,200f591f5e71,amber,aligned,desire/disgust,AB,2
Y0380,315f6626358d,olmo-tiny,base,create/destroy,B,1
Y0381,115667396289,amber,base,pleasure/pain,B,0
Y0382,7c982f163aab,llama,base,love/hate,AB,0
Y0383,8e5060f0f02f,tulu,base,obey/rebel,A,2
Y0384,73adcd83ef6d,llama,aligned,beautiful/disgusting,A,0
Y0385,190367af70e7,qwen,base,create/destroy,B,2
Y0386,48ad1c09c518,tulu,aligned,man/woman,B,2
Y0387,f9f087ada74f,olmo-tiny,base,create/destroy,AB,1
Y0388,7cf9abe05f76,amber,base,free/captive,AB,1
Y0389,d46a8772f24f,olmo-tiny,base,free/captive,A,2
Y0390,42b43489b4b4,tulu,base,desire/disgust,A,2
Y0391,49ec0305edf2,zephyr,base,beautiful/disgusting,A,0
Y0392,9cc356a70fc6,qwen,base,trust/fear,AB,1
Y0393,9ebdcfc721f5,tulu,base,free/captive,B,2
Y0394,221092369ba6,olmo-tiny,aligned,pleasure/pain,B,2
Y0395,9b7480a1ae59,amber,base,free/captive,AB,0
Y0396,9b28db43a050,zephyr,aligned,free/captive,AB,1
Y0397,9cc0b1c3e8ab,qwen,base,beautiful/disgusting,AB,1
Y0398,afac03b1a30b,amber,aligned,sacred/profane,AB,2
Y0399,5c4d25b4bcad,qwen,aligned,trust/fear,AB,0
Y0400,4afdf347dda1,llama,base,obey/rebel,A,0
Y0401,9ae703a2d775,tulu,base,human/animal,B,1
Y0402,83bcf6524339,llama,aligned,love/hate,B,0
Y0403,38b48371ed5f,olmo,base,obey/rebel,A,0
Y0404,ef559fc0f484,olmo-tiny,aligned,neutral,N,2
Y0405,4ca856879252,amber,base,obey/rebel,AB,0
Y0406,b49379d57e9a,amber,base,pleasure/pain,AB,1
Y0407,d4ac94d1aff9,qwen,base,human/animal,B,1
Y0408,15e69a5d2781,qwen,base,trust/fear,B,2
Y0409,24aef0d0d6bd,tulu,base,pleasure/pain,AB,0
Y0410,6b2119b1ebb8,olmo-tiny,aligned,human/animal,AB,2
Y0411,37c32a681f54,olmo-tiny,aligned,man/woman,B,0
Y0412,a59fc7c14d9d,amber,aligned,sacred/profane,AB,0
Y0413,3f199219f0af,qwen,aligned,free/captive,AB,2
Y0414,b6bb2ad92925,llama,base,obey/rebel,AB,1
Y0415,31df4f29a926,olmo-tiny,aligned,neutral,N,0
Y0416,559afd5ac873,zephyr,base,create/destroy,A,2
Y0417,71fe5e55ae9b,zephyr,aligned,obey/rebel,B,1
Y0418,2651600d69fe,llama,base,beautiful/disgusting,AB,0
Y0419,d21e52c83b40,olmo-tiny,aligned,desire/disgust,AB,2
Y0420,423278a89aea,zephyr,base,pleasure/pain,B,0
Y0421,8cd2ce1e9f60,olmo,base,love/hate,B,2
Y0422,6439a5cc01aa,amber,aligned,neutral,N,2
Y0423,f2919f1258ca,amber,aligned,obey/rebel,B,2
Y0424,9f9f42b1c360,llama,aligned,human/animal,A,0
Y0425,7f06c35be1de,amber,base,desire/disgust,B,2
Y0426,82243d4dd384,llama,aligned,love/hate,A,0
Y0427,77009fdf90b1,llama,base,human/animal,B,0
Y0428,cc611ab8d313,olmo,aligned,beautiful/disgusting,B,0
Y0429,4c60ecf2e1d1,llama,base,pleasure/pain,A,2
Y0430,74673f8c021f,qwen,aligned,man/woman,B,2
Y0431,da181d3006e1,amber,aligned,trust/fear,B,1
Y0432,8735dd21cf8c,qwen,base,neutral,N,2
Y0433,24e593812a19,amber,base,human/animal,AB,1
Y0434,df91476df984,llama,aligned,trust/fear,AB,1
Y0435,79681ca7e131,zephyr,aligned,desire/disgust,B,0
