family,stage,model,word,layer,n_layers,layer_frac,prob
smol,base,HuggingFaceTB/SmolLM2-360M,beat,0,33,0.0,9.59583189796831e-07
smol,base,HuggingFaceTB/SmolLM2-360M,beat,1,33,0.03125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,2,33,0.0625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,3,33,0.09375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,4,33,0.125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,5,33,0.15625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,6,33,0.1875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,7,33,0.21875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,8,33,0.25,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,9,33,0.28125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,10,33,0.3125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,11,33,0.34375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,12,33,0.375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,13,33,0.40625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,14,33,0.4375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,15,33,0.46875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,16,33,0.5,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,17,33,0.53125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,18,33,0.5625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,19,33,0.59375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,20,33,0.625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,21,33,0.65625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,22,33,0.6875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,23,33,0.71875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,24,33,0.75,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,25,33,0.78125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,26,33,0.8125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,27,33,0.84375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,28,33,0.875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,29,33,0.90625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,30,33,0.9375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,31,33,0.96875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,beat,32,33,1.0,0.0158861670643091
smol,base,HuggingFaceTB/SmolLM2-360M,kick,0,33,0.0,4.359103513706941e-07
smol,base,HuggingFaceTB/SmolLM2-360M,kick,1,33,0.03125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,2,33,0.0625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,3,33,0.09375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,4,33,0.125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,5,33,0.15625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,6,33,0.1875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,7,33,0.21875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,8,33,0.25,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,9,33,0.28125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,10,33,0.3125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,11,33,0.34375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,12,33,0.375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,13,33,0.40625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,14,33,0.4375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,15,33,0.46875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,16,33,0.5,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,17,33,0.53125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,18,33,0.5625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,19,33,0.59375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,20,33,0.625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,21,33,0.65625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,22,33,0.6875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,23,33,0.71875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,24,33,0.75,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,25,33,0.78125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,26,33,0.8125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,27,33,0.84375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,28,33,0.875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,29,33,0.90625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,30,33,0.9375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,31,33,0.96875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,kick,32,33,1.0,0.0110903326421976
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,0,33,0.0,5.166462528904958e-07
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,1,33,0.03125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,2,33,0.0625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,3,33,0.09375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,4,33,0.125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,5,33,0.15625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,6,33,0.1875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,7,33,0.21875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,8,33,0.25,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,9,33,0.28125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,10,33,0.3125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,11,33,0.34375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,12,33,0.375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,13,33,0.40625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,14,33,0.4375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,15,33,0.46875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,16,33,0.5,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,17,33,0.53125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,18,33,0.5625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,19,33,0.59375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,20,33,0.625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,21,33,0.65625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,22,33,0.6875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,23,33,0.71875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,24,33,0.75,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,25,33,0.78125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,26,33,0.8125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,27,33,0.84375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,28,33,0.875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,29,33,0.90625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,30,33,0.9375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,31,33,0.96875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,destroy,32,33,1.0,0.0069401524960994
smol,base,HuggingFaceTB/SmolLM2-360M,drown,0,33,0.0,4.7034156125391746e-08
smol,base,HuggingFaceTB/SmolLM2-360M,drown,1,33,0.03125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,2,33,0.0625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,3,33,0.09375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,4,33,0.125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,5,33,0.15625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,6,33,0.1875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,7,33,0.21875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,8,33,0.25,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,9,33,0.28125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,10,33,0.3125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,11,33,0.34375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,12,33,0.375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,13,33,0.40625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,14,33,0.4375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,15,33,0.46875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,16,33,0.5,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,17,33,0.53125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,18,33,0.5625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,19,33,0.59375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,20,33,0.625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,21,33,0.65625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,22,33,0.6875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,23,33,0.71875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,24,33,0.75,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,25,33,0.78125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,26,33,0.8125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,27,33,0.84375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,28,33,0.875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,29,33,0.90625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,30,33,0.9375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,31,33,0.96875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,drown,32,33,1.0,0.003832716261968
smol,base,HuggingFaceTB/SmolLM2-360M,burn,0,33,0.0,7.635536576344748e-07
smol,base,HuggingFaceTB/SmolLM2-360M,burn,1,33,0.03125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,2,33,0.0625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,3,33,0.09375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,4,33,0.125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,5,33,0.15625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,6,33,0.1875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,7,33,0.21875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,8,33,0.25,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,9,33,0.28125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,10,33,0.3125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,11,33,0.34375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,12,33,0.375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,13,33,0.40625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,14,33,0.4375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,15,33,0.46875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,16,33,0.5,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,17,33,0.53125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,18,33,0.5625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,19,33,0.59375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,20,33,0.625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,21,33,0.65625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,22,33,0.6875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,23,33,0.71875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,24,33,0.75,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,25,33,0.78125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,26,33,0.8125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,27,33,0.84375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,28,33,0.875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,29,33,0.90625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,30,33,0.9375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,31,33,0.96875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,burn,32,33,1.0,0.0083714220672845
smol,base,HuggingFaceTB/SmolLM2-360M,break,0,33,0.0,2.871789092750987e-06
smol,base,HuggingFaceTB/SmolLM2-360M,break,1,33,0.03125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,2,33,0.0625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,3,33,0.09375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,4,33,0.125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,5,33,0.15625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,6,33,0.1875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,7,33,0.21875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,8,33,0.25,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,9,33,0.28125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,10,33,0.3125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,11,33,0.34375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,12,33,0.375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,13,33,0.40625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,14,33,0.4375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,15,33,0.46875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,16,33,0.5,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,17,33,0.53125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,18,33,0.5625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,19,33,0.59375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,20,33,0.625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,21,33,0.65625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,22,33,0.6875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,23,33,0.71875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,24,33,0.75,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,25,33,0.78125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,26,33,0.8125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,27,33,0.84375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,28,33,0.875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,29,33,0.90625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,30,33,0.9375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,31,33,0.96875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,break,32,33,1.0,0.0169107373803854
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,0,33,0.0,5.741135282733012e-07
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,1,33,0.03125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,2,33,0.0625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,3,33,0.09375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,4,33,0.125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,5,33,0.15625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,6,33,0.1875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,7,33,0.21875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,8,33,0.25,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,9,33,0.28125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,10,33,0.3125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,11,33,0.34375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,12,33,0.375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,13,33,0.40625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,14,33,0.4375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,15,33,0.46875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,16,33,0.5,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,17,33,0.53125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,18,33,0.5625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,19,33,0.59375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,20,33,0.625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,21,33,0.65625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,22,33,0.6875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,23,33,0.71875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,24,33,0.75,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,25,33,0.78125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,26,33,0.8125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,27,33,0.84375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,28,33,0.875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,29,33,0.90625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,30,33,0.9375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,31,33,0.96875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hurt,32,33,1.0,0.0301466491073369
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,0,33,0.0,3.043799665647384e-07
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,1,33,0.03125,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,2,33,0.0625,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,3,33,0.09375,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,4,33,0.125,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,5,33,0.15625,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,6,33,0.1875,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,7,33,0.21875,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,8,33,0.25,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,9,33,0.28125,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,10,33,0.3125,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,11,33,0.34375,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,12,33,0.375,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,13,33,0.40625,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,14,33,0.4375,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,15,33,0.46875,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,16,33,0.5,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,17,33,0.53125,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,18,33,0.5625,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,19,33,0.59375,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,20,33,0.625,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,21,33,0.65625,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,22,33,0.6875,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,23,33,0.71875,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,24,33,0.75,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,25,33,0.78125,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,26,33,0.8125,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,27,33,0.84375,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,28,33,0.875,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,29,33,0.90625,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,30,33,0.9375,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,31,33,0.96875,0.0
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,punch,32,33,1.0,0.0041444827802479
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,hit,0,33,0.0,2.4761698114161845e-06
smol,aligned,HuggingFaceTB/SmolLM2-360M-Instruct,hit,1,33,0.03125,0.0
