family,role,prompt_key,base_procedural_pct,aligned_procedural_pct,delta_procedural_pct
minicpm,worker,institutional_labor_worker_2,2.25,5.36,3.11
minicpm,management,institutional_labor_mgmt_2,0.83,2.62,1.79
minicpm,citizen,institutional_police_citizen_1,0.66,0.63,-0.03
minicpm,officer,institutional_police_officer_1,7.85,9.87,2.02
minicpm,tenant,institutional_housing_tenant_1,2.03,13.15,11.13
minicpm,landlord,institutional_housing_landlord_1,8.8,27.08,18.28
minicpm,patient,institutional_medical_patient_1,0.03,2.19,2.16
minicpm,doctor,institutional_medical_doctor_1,5.95,7.64,1.69
olmo,worker,institutional_labor_worker_2,12.46,11.78,-0.68
olmo,management,institutional_labor_mgmt_2,9.1,7.65,-1.46
olmo,citizen,institutional_police_citizen_1,16.15,24.01,7.85
olmo,officer,institutional_police_officer_1,12.18,6.4,-5.78
olmo,tenant,institutional_housing_tenant_1,1.89,10.75,8.86
olmo,landlord,institutional_housing_landlord_1,7.51,17.69,10.18
olmo,patient,institutional_medical_patient_1,0.49,3.43,2.94
olmo,doctor,institutional_medical_doctor_1,6.38,2.61,-3.77
olmo-32b,worker,institutional_labor_worker_2,7.31,17.13,9.82
olmo-32b,management,institutional_labor_mgmt_2,1.63,2.43,0.81
olmo-32b,citizen,institutional_police_citizen_1,9.97,14.86,4.89
olmo-32b,officer,institutional_police_officer_1,6.38,6.32,-0.07
olmo-32b,tenant,institutional_housing_tenant_1,1.37,0.28,-1.09
olmo-32b,landlord,institutional_housing_landlord_1,0.0,2.26,2.26
olmo-32b,patient,institutional_medical_patient_1,0.0,0.0,0.0
olmo-32b,doctor,institutional_medical_doctor_1,3.19,7.34,4.15
olmo-hybrid,worker,institutional_labor_worker_2,15.93,26.82,10.9
olmo-hybrid,management,institutional_labor_mgmt_2,7.05,21.2,14.14
olmo-hybrid,citizen,institutional_police_citizen_1,3.84,25.67,21.83
olmo-hybrid,officer,institutional_police_officer_1,0.0,2.4,2.4
olmo-hybrid,tenant,institutional_housing_tenant_1,2.2,12.54,10.34
olmo-hybrid,landlord,institutional_housing_landlord_1,5.95,11.49,5.54
olmo-hybrid,patient,institutional_medical_patient_1,0.54,4.04,3.5
olmo-hybrid,doctor,institutional_medical_doctor_1,5.77,13.06,7.29
olmo-think,worker,institutional_labor_worker_2,12.46,29.7,17.24
olmo-think,management,institutional_labor_mgmt_2,9.1,22.77,13.67
olmo-think,citizen,institutional_police_citizen_1,16.15,38.66,22.5
olmo-think,officer,institutional_police_officer_1,12.18,11.15,-1.03
olmo-think,tenant,institutional_housing_tenant_1,1.89,11.13,9.24
olmo-think,landlord,institutional_housing_landlord_1,7.51,27.23,19.72
olmo-think,patient,institutional_medical_patient_1,0.49,8.84,8.36
olmo-think,doctor,institutional_medical_doctor_1,6.38,7.76,1.38
olmo-tiny,worker,institutional_labor_worker_2,4.46,34.9,30.45
olmo-tiny,management,institutional_labor_mgmt_2,6.61,12.08,5.47
olmo-tiny,citizen,institutional_police_citizen_1,2.18,5.37,3.19
olmo-tiny,officer,institutional_police_officer_1,1.07,2.65,1.58
olmo-tiny,tenant,institutional_housing_tenant_1,0.86,2.23,1.38
olmo-tiny,landlord,institutional_housing_landlord_1,10.35,29.62,19.27
olmo-tiny,patient,institutional_medical_patient_1,0.17,3.48,3.3
olmo-tiny,doctor,institutional_medical_doctor_1,6.02,13.12,7.1
olmoe,worker,institutional_labor_worker_2,5.51,13.5,7.99
olmoe,management,institutional_labor_mgmt_2,5.2,20.59,15.39
olmoe,citizen,institutional_police_citizen_1,0.12,0.24,0.12
olmoe,officer,institutional_police_officer_1,1.88,3.35,1.47
olmoe,tenant,institutional_housing_tenant_1,0.35,1.17,0.83
olmoe,landlord,institutional_housing_landlord_1,5.34,6.58,1.24
olmoe,patient,institutional_medical_patient_1,0.3,0.9,0.6
olmoe,doctor,institutional_medical_doctor_1,7.74,8.18,0.44
phi4,worker,institutional_labor_worker_2,54.95,42.64,-12.31
phi4,management,institutional_labor_mgmt_2,13.29,15.04,1.74
phi4,citizen,institutional_police_citizen_1,5.49,9.02,3.53
phi4,officer,institutional_police_officer_1,5.03,7.71,2.68
phi4,tenant,institutional_housing_tenant_1,15.31,17.07,1.77
phi4,landlord,institutional_housing_landlord_1,15.25,15.89,0.65
phi4,patient,institutional_medical_patient_1,2.63,7.41,4.78
phi4,doctor,institutional_medical_doctor_1,14.69,10.66,-4.03
pythia,worker,institutional_labor_worker_2,1.47,1.81,0.34
pythia,management,institutional_labor_mgmt_2,2.41,2.59,0.17
pythia,citizen,institutional_police_citizen_1,0.53,0.28,-0.25
pythia,officer,institutional_police_officer_1,0.32,0.2,-0.12
pythia,tenant,institutional_housing_tenant_1,0.45,0.39,-0.05
pythia,landlord,institutional_housing_landlord_1,1.91,1.95,0.04
pythia,patient,institutional_medical_patient_1,0.13,0.11,-0.02
pythia,doctor,institutional_medical_doctor_1,2.54,2.54,-0.0
qwen,worker,institutional_labor_worker_2,16.51,22.8,6.28
qwen,management,institutional_labor_mgmt_2,11.89,13.39,1.5
qwen,citizen,institutional_police_citizen_1,4.95,3.02,-1.93
qwen,officer,institutional_police_officer_1,3.63,4.59,0.96
qwen,tenant,institutional_housing_tenant_1,2.45,5.69,3.24
qwen,landlord,institutional_housing_landlord_1,4.87,10.59,5.72
qwen,patient,institutional_medical_patient_1,0.05,0.03,-0.02
qwen,doctor,institutional_medical_doctor_1,8.8,6.49,-2.31
qwen-tiny,worker,institutional_labor_worker_2,4.45,12.53,8.08
qwen-tiny,management,institutional_labor_mgmt_2,0.37,1.72,1.35
qwen-tiny,citizen,institutional_police_citizen_1,5.21,7.54,2.33
qwen-tiny,officer,institutional_police_officer_1,1.74,1.96,0.22
qwen-tiny,tenant,institutional_housing_tenant_1,0.54,3.75,3.22
qwen-tiny,landlord,institutional_housing_landlord_1,1.82,6.63,4.82
qwen-tiny,patient,institutional_medical_patient_1,1.18,7.22,6.04
qwen-tiny,doctor,institutional_medical_doctor_1,8.97,10.86,1.89
qwen3,worker,institutional_labor_worker_2,17.77,30.73,12.96
qwen3,management,institutional_labor_mgmt_2,17.66,28.4,10.74
qwen3,citizen,institutional_police_citizen_1,23.2,6.91,-16.29
qwen3,officer,institutional_police_officer_1,2.03,0.88,-1.15
qwen3,tenant,institutional_housing_tenant_1,2.95,4.22,1.27
qwen3,landlord,institutional_housing_landlord_1,1.24,5.5,4.25
qwen3,patient,institutional_medical_patient_1,2.37,5.92,3.54
qwen3,doctor,institutional_medical_doctor_1,13.06,16.36,3.31
redpajama,worker,institutional_labor_worker_2,8.97,0.02,-8.95
redpajama,management,institutional_labor_mgmt_2,6.87,87.96,81.09
redpajama,citizen,institutional_police_citizen_1,0.64,4.03,3.38
redpajama,officer,institutional_police_officer_1,1.34,0.06,-1.28
redpajama,tenant,institutional_housing_tenant_1,0.13,0.0,-0.13
redpajama,landlord,institutional_housing_landlord_1,3.56,13.0,9.45
redpajama,patient,institutional_medical_patient_1,0.15,0.0,-0.15
redpajama,doctor,institutional_medical_doctor_1,3.53,0.39,-3.14
rwkv,worker,institutional_labor_worker_2,5.99,21.76,15.77
smol,worker,institutional_labor_worker_2,0.8,2.05,1.26
smol,management,institutional_labor_mgmt_2,0.6,4.35,3.74
smol,citizen,institutional_police_citizen_1,0.32,0.34,0.02
smol,officer,institutional_police_officer_1,0.15,1.62,1.47
smol,tenant,institutional_housing_tenant_1,0.67,1.38,0.71
smol,landlord,institutional_housing_landlord_1,1.76,11.76,10.0
smol,patient,institutional_medical_patient_1,0.0,0.05,0.05
smol,doctor,institutional_medical_doctor_1,4.19,8.92,4.73
smol3,worker,institutional_labor_worker_2,5.68,8.63,2.95
smol3,management,institutional_labor_mgmt_2,2.71,7.32,4.61
smol3,citizen,institutional_police_citizen_1,0.27,2.39,2.12
smol3,officer,institutional_police_officer_1,0.92,3.14,2.22
smol3,tenant,institutional_housing_tenant_1,2.09,2.49,0.4
smol3,landlord,institutional_housing_landlord_1,1.44,3.44,2.0
smol3,patient,institutional_medical_patient_1,0.13,0.0,-0.13
smol3,doctor,institutional_medical_doctor_1,4.47,9.51,5.04
stablelm,worker,institutional_labor_worker_2,2.61,15.28,12.68
stablelm,management,institutional_labor_mgmt_2,3.3,4.04,0.75
stablelm,citizen,institutional_police_citizen_1,0.57,1.64,1.08
stablelm,officer,institutional_police_officer_1,0.71,12.04,11.34
stablelm,tenant,institutional_housing_tenant_1,0.44,1.11,0.66
stablelm,landlord,institutional_housing_landlord_1,0.0,0.0,0.0
stablelm,patient,institutional_medical_patient_1,0.0,0.0,0.0
stablelm,doctor,institutional_medical_doctor_1,3.52,12.85,9.33
tinyllama,worker,institutional_labor_worker_2,1.06,1.11,0.05
tinyllama,management,institutional_labor_mgmt_2,2.01,3.27,1.26
tinyllama,citizen,institutional_police_citizen_1,0.65,0.87,0.22
tinyllama,officer,institutional_police_officer_1,0.67,2.35,1.68
tinyllama,tenant,institutional_housing_tenant_1,0.78,3.1,2.32
tinyllama,landlord,institutional_housing_landlord_1,5.34,21.16,15.83
tinyllama,patient,institutional_medical_patient_1,0.56,0.51,-0.05
tinyllama,doctor,institutional_medical_doctor_1,0.44,5.92,5.48
tulu,worker,institutional_labor_worker_2,5.2,9.75,4.56
tulu,management,institutional_labor_mgmt_2,5.56,3.84,-1.71
tulu,citizen,institutional_police_citizen_1,3.58,3.66,0.08
tulu,officer,institutional_police_officer_1,1.32,1.82,0.5
tulu,tenant,institutional_housing_tenant_1,1.03,2.08,1.05
tulu,landlord,institutional_housing_landlord_1,2.1,5.82,3.72
tulu,patient,institutional_medical_patient_1,1.47,1.04,-0.43
tulu,doctor,institutional_medical_doctor_1,6.85,9.19,2.33
tulu-sft-full,worker,institutional_labor_worker_2,5.2,7.1,1.9
tulu-sft-full,management,institutional_labor_mgmt_2,5.56,3.01,-2.55
tulu-sft-full,citizen,institutional_police_citizen_1,3.58,3.67,0.09
tulu-sft-full,officer,institutional_police_officer_1,1.32,2.07,0.75
tulu-sft-full,tenant,institutional_housing_tenant_1,1.03,1.46,0.43
tulu-sft-full,landlord,institutional_housing_landlord_1,2.1,4.3,2.2
tulu-sft-full,patient,institutional_medical_patient_1,1.47,0.48,-0.99
tulu-sft-full,doctor,institutional_medical_doctor_1,6.85,7.09,0.24
tulu-sft-nomath,worker,institutional_labor_worker_2,5.2,8.58,3.39
tulu-sft-nomath,management,institutional_labor_mgmt_2,5.56,4.59,-0.96
tulu-sft-nomath,citizen,institutional_police_citizen_1,3.58,3.87,0.29
tulu-sft-nomath,officer,institutional_police_officer_1,1.32,2.1,0.77
tulu-sft-nomath,tenant,institutional_housing_tenant_1,1.03,1.46,0.43
tulu-sft-nomath,landlord,institutional_housing_landlord_1,2.1,3.55,1.45
tulu-sft-nomath,patient,institutional_medical_patient_1,1.47,1.24,-0.23
tulu-sft-nomath,doctor,institutional_medical_doctor_1,6.85,7.19,0.34
tulu-sft-nopersona,worker,institutional_labor_worker_2,5.2,7.54,2.35
tulu-sft-nopersona,management,institutional_labor_mgmt_2,5.56,3.29,-2.27
tulu-sft-nopersona,citizen,institutional_police_citizen_1,3.58,4.49,0.91
tulu-sft-nopersona,officer,institutional_police_officer_1,1.32,0.0,-1.32
tulu-sft-nopersona,tenant,institutional_housing_tenant_1,1.03,2.02,0.99
tulu-sft-nopersona,landlord,institutional_housing_landlord_1,2.1,3.15,1.05
tulu-sft-nopersona,patient,institutional_medical_patient_1,1.47,2.46,0.99
tulu-sft-nopersona,doctor,institutional_medical_doctor_1,6.85,5.6,-1.25
tulu-sft-nowildchat,worker,institutional_labor_worker_2,5.2,4.48,-0.72
tulu-sft-nowildchat,management,institutional_labor_mgmt_2,5.56,1.83,-3.73
tulu-sft-nowildchat,citizen,institutional_police_citizen_1,3.58,4.91,1.33
tulu-sft-nowildchat,officer,institutional_police_officer_1,1.32,1.41,0.09
tulu-sft-nowildchat,tenant,institutional_housing_tenant_1,1.03,1.42,0.39
tulu-sft-nowildchat,landlord,institutional_housing_landlord_1,2.1,4.09,1.99
tulu-sft-nowildchat,patient,institutional_medical_patient_1,1.47,0.85,-0.62
tulu-sft-nowildchat,doctor,institutional_medical_doctor_1,6.85,4.79,-2.06
yi,worker,institutional_labor_worker_2,4.51,3.69,-0.82
yi,management,institutional_labor_mgmt_2,3.91,1.38,-2.53
yi,citizen,institutional_police_citizen_1,1.67,1.69,0.02
yi,officer,institutional_police_officer_1,1.21,1.58,0.37
yi,tenant,institutional_housing_tenant_1,0.62,0.62,-0.01
yi,landlord,institutional_housing_landlord_1,0.67,1.89,1.22
yi,patient,institutional_medical_patient_1,0.13,0.0,-0.13
yi,doctor,institutional_medical_doctor_1,2.21,7.66,5.45
zephyr,worker,institutional_labor_worker_2,10.31,11.48,1.17
zephyr,management,institutional_labor_mgmt_2,5.9,10.32,4.42
zephyr,citizen,institutional_police_citizen_1,1.59,6.54,4.95
zephyr,officer,institutional_police_officer_1,0.5,2.69,2.19
zephyr,tenant,institutional_housing_tenant_1,0.56,0.63,0.06
zephyr,landlord,institutional_housing_landlord_1,0.12,0.33,0.21
zephyr,patient,institutional_medical_patient_1,0.14,0.87,0.73
zephyr,doctor,institutional_medical_doctor_1,2.34,4.15,1.81
