frame,corpus,next_word,count
wants to,ultrachat,pay,22
want to,ultrachat,access,404
began to,ultrachat,assert,159
decided to,ultrachat,break,115
began to,ultrachat,focus,1021
started to,ultrachat,create,228
started to,ultrachat,be,160
decided to,ultrachat,leave,613
want to,ultrachat,search,1002
want to,ultrachat,push,220
want to,ultrachat,message,15
want to,ultrachat,limit,282
want to,ultrachat,balance,166
want to,ultrachat,extend,197
want to,ultrachat,purchase,725
want to,ultrachat,date,32
started to,ultrachat,recognize,352
started to,ultrachat,spread,203
started to,ultrachat,build,341
began to,ultrachat,engage,133
prepared to,ultrachat,deal,307
prepared to,ultrachat,keep,18
want to,ultrachat,order,238
prepared to,ultrachat,demonstrate,60
want to,ultrachat,sell,344
want to,ultrachat,reach,1415
want to,ultrachat,monitor,599
want to,ultrachat,remove,716
want to,ultrachat,evaluate,128
want to,ultrachat,recognize,93
want to,ultrachat,mix,176
wants to,ultrachat,work,153
want to,ultrachat,train,70
started to,ultrachat,invest,217
wants to,ultrachat,hear,256
want to,ultrachat,request,47
want to,ultrachat,come,554
began to,ultrachat,move,763
began to,ultrachat,depict,75
want to,ultrachat,swim,35
prepared to,ultrachat,negotiate,413
want to,ultrachat,soak,68
want to,ultrachat,place,537
want to,ultrachat,fall,68
want to,ultrachat,win,129
prepared to,ultrachat,stand,61
want to,ultrachat,hit,93
began to,ultrachat,experience,930
want to,ultrachat,print,165
began to,ultrachat,suffer,602
wants to,ultrachat,tell,33
started to,ultrachat,wards,8
prepared to,ultrachat,protect,61
began to,ultrachat,challenge,379
want to,ultrachat,blend,112
want to,ultrachat,pause,24
want to,ultrachat,reapply,5
wants to,ultrachat,build,157
wants to,ultrachat,exercise,38
wants to,ultrachat,ensure,195
wanted to,ultrachat,change,162
want to,ultrachat,trade,48
decided to,ultrachat,hold,113
wanted to,ultrachat,make,2210
want to,ultrachat,collaborate,240
want to,ultrachat,network,73
want to,ultrachat,write,591
want to,ultrachat,record,78
prepared to,ultrachat,perform,73
wants to,ultrachat,go,215
want to,ultrachat,stand,254
want to,ultrachat,personalize,48
prepared to,ultrachat,offer,162
wants to,ultrachat,track,63
want to,ultrachat,carry,179
want to,ultrachat,store,815
want to,ultrachat,filter,444
want to,ultrachat,investigate,96
want to,ultrachat,fly,72
began to,ultrachat,fund,4
wanted to,ultrachat,end,65
wants to,ultrachat,get,266
wants to,ultrachat,feel,83
want to,ultrachat,portray,124
want to,ultrachat,pay,367
want to,ultrachat,simplify,67
wants to,ultrachat,customize,8
prepared to,ultrachat,clean,9
want to,ultrachat,exercise,171
prepared to,ultrachat,sweat,4
want to,ultrachat,begin,84
began to,ultrachat,deteriorate,218
want to,ultrachat,automate,152
want to,ultrachat,control,276
wanted to,ultrachat,do,1866
wants to,ultrachat,succeed,82
want to,ultrachat,enforce,22
wants to,ultrachat,project,12
decided to,ultrachat,abolish,7
began to,ultrachat,shrink,80
prepared to,ultrachat,have,73
want to,ultrachat,clarify,87
want to,ultrachat,ride,79
want to,ultrachat,transition,158
want to,ultrachat,refuel,8
wants to,ultrachat,play,162
want to,ultrachat,solve,262
want to,ultrachat,handle,222
want to,ultrachat,file,34
want to,ultrachat,stuff,9
want to,ultrachat,highlight,557
want to,ultrachat,abandon,49
want to,ultrachat,attract,753
prepared to,ultrachat,mitigate,27
began to,ultrachat,integrate,67
want to,ultrachat,impress,80
prepared to,ultrachat,assert,5
began to,ultrachat,hear,396
began to,ultrachat,loosen,60
decided to,ultrachat,launch,147
wanted to,ultrachat,promote,83
began to,ultrachat,struggle,154
started to,ultrachat,go,217
want to,ultrachat,instill,42
want to,ultrachat,implement,465
want to,ultrachat,subscribe,49
wanted to,ultrachat,spread,42
want to,ultrachat,post,200
want to,ultrachat,send,545
began to,ultrachat,enter,92
began to,ultrachat,participate,104
wants to,ultrachat,practice,59
want to,ultrachat,proceed,56
wants to,ultrachat,leave,72
wants to,ultrachat,join,57
moved to,ultrachat,online,43
want to,ultrachat,hike,140
want to,ultrachat,mute,9
prepared to,ultrachat,accept,55
wanted to,ultrachat,destroy,83
moved to,ultrachat,adjust,17
began to,ultrachat,promote,59
wants to,ultrachat,take,340
want to,ultrachat,dilute,19
want to,ultrachat,understand,370
prepared to,ultrachat,compromise,211
want to,ultrachat,install,618
want to,ultrachat,contest,4
prepared to,ultrachat,drop,3
want to,ultrachat,cherish,14
want to,ultrachat,tip,8
want to,ultrachat,treat,79
decided to,ultrachat,use,1434
chose to,ultrachat,incorporate,21
want to,ultrachat,apply,890
want to,ultrachat,intern,3
wanted to,ultrachat,ensure,265
want to,ultrachat,reuse,31
want to,ultrachat,aim,101
want to,ultrachat,charge,95
want to,ultrachat,promote,614
began to,ultrachat,advocate,139
want to,ultrachat,dance,261
started to,ultrachat,use,922
started to,ultrachat,gain,522
decided to,ultrachat,end,157
want to,ultrachat,complete,204
prepared to,ultrachat,stop,47
began to,ultrachat,reverse,3
want to,ultrachat,tone,51
wants to,ultrachat,share,128
want to,ultrachat,hire,199
began to,ultrachat,make,1298
began to,ultrachat,shape,69
prepared to,ultrachat,haggle,84
want to,ultrachat,subject,6
began to,ultrachat,accept,387
want to,ultrachat,structure,39
want to,ultrachat,educate,49
want to,ultrachat,optimize,258
want to,ultrachat,transfer,218
wanted to,ultrachat,attend,79
prepared to,ultrachat,commit,50
want to,ultrachat,embrace,72
wants to,ultrachat,increase,136
wants to,ultrachat,try,190
wanted to,ultrachat,clean,4
wanted to,ultrachat,incorporate,82
decided to,ultrachat,delay,14
want to,ultrachat,prepare,205
started to,ultrachat,reopen,23
started to,ultrachat,travel,38
moved to,ultrachat,an,34
want to,ultrachat,encourage,463
began to,ultrachat,lose,727
moved to,ultrachat,any,3
prepared to,ultrachat,effectively,10
want to,ultrachat,rely,104
want to,ultrachat,turn,263
started to,ultrachat,revolutionize,41
want to,ultrachat,describe,32
prepared to,ultrachat,talk,148
want to,ultrachat,elevate,52
want to,ultrachat,act,27
wanted to,ultrachat,explore,545
began to,ultrachat,tackle,43
wants to,ultrachat,see,411
began to,ultrachat,travel,121
started to,ultrachat,showcase,11
wants to,ultrachat,switch,26
want to,ultrachat,secure,168
started to,ultrachat,cater,20
want to,ultrachat,stop,189
want to,ultrachat,survive,99
want to,ultrachat,adopt,331
began to,ultrachat,recognize,529
want to,ultrachat,care,24
want to,ultrachat,eat,536
want to,ultrachat,escape,181
want to,ultrachat,camp,34
want to,ultrachat,resist,5
want to,ultrachat,offer,916
want to,ultrachat,acknowledge,158
want to,ultrachat,cleanse,8
decided to,ultrachat,adopt,138
want to,ultrachat,condition,9
began to,ultrachat,capitalize,5
want to,ultrachat,host,107
prepared to,ultrachat,queue,7
want to,ultrachat,scare,80
wants to,ultrachat,keep,289
wants to,ultrachat,buy,90
want to,ultrachat,relocate,10
wants to,ultrachat,demonstrate,4
want to,ultrachat,smoke,53
want to,ultrachat,infuse,15
wanted to,ultrachat,go,748
decided to,ultrachat,go,1856
want to,ultrachat,touch,45
decided to,ultrachat,take,6754
want to,ultrachat,chat,68
prepared to,ultrachat,explain,194
moved to,ultrachat,wards,616
want to,ultrachat,size,15
want to,ultrachat,pray,9
started to,ultrachat,address,56
prepared to,ultrachat,counter,16
began to,ultrachat,decline,665
want to,ultrachat,lessen,5
began to,ultrachat,offer,145
want to,ultrachat,exhaust,3
began to,ultrachat,seek,470
want to,ultrachat,browse,82
want to,ultrachat,allocate,183
wants to,ultrachat,add,139
started to,ultrachat,embrace,398
began to,ultrachat,organize,324
began to,ultrachat,demand,354
want to,ultrachat,open,236
want to,ultrachat,excel,65
wanted to,ultrachat,buy,53
wanted to,ultrachat,sell,34
want to,ultrachat,exchange,22
started to,ultrachat,decline,123
want to,ultrachat,impose,29
want to,ultrachat,design,70
wants to,ultrachat,perform,41
want to,ultrachat,book,193
prepared to,ultrachat,pay,209
want to,ultrachat,sing,53
want to,ultrachat,root,5
wanted to,ultrachat,break,171
prepared to,ultrachat,devote,16
want to,ultrachat,organize,182
prepared to,ultrachat,modify,37
want to,ultrachat,resolve,31
want to,ultrachat,budget,22
prepared to,ultrachat,identify,25
want to,ultrachat,become,786
want to,ultrachat,devote,41
want to,ultrachat,generate,902
decided to,ultrachat,hang,16
want to,ultrachat,quickly,110
started to,ultrachat,do,122
wants to,ultrachat,support,70
began to,ultrachat,find,850
started to,ultrachat,sleep,9
want to,ultrachat,weigh,23
started to,ultrachat,include,97
want to,ultrachat,emulate,64
want to,ultrachat,enhance,353
started to,ultrachat,host,8
wants to,ultrachat,know,175
want to,ultrachat,cosplay,14
prepared to,ultrachat,act,107
want to,ultrachat,guide,9
want to,ultrachat,photograph,61
want to,ultrachat,wait,154
wanted to,ultrachat,talk,892
wanted to,ultrachat,let,375
want to,ultrachat,close,51
want to,ultrachat,contribute,304
wants to,ultrachat,appeal,19
started to,ultrachat,look,394
began to,ultrachat,establish,187
wants to,ultrachat,eat,71
prepared to,ultrachat,improvise,27
wanted to,ultrachat,learn,538
want to,ultrachat,effectively,31
want to,ultrachat,mention,69
want to,ultrachat,sweeten,23
started to,ultrachat,let,177
started to,ultrachat,soften,35
want to,ultrachat,disclose,56
began to,ultrachat,conspire,8
wanted to,ultrachat,question,5
want to,ultrachat,answer,211
wanted to,ultrachat,maintain,215
want to,ultrachat,allow,465
wants to,ultrachat,focus,103
want to,ultrachat,distract,16
want to,ultrachat,dominate,9
moved to,ultrachat,texas,20
started to,ultrachat,shift,386
want to,ultrachat,drink,116
prepared to,ultrachat,show,38
want to,ultrachat,innovate,4
wants to,ultrachat,scale,3
want to,ultrachat,further,106
prepared to,ultrachat,listen,155
started to,ultrachat,sing,62
wanted to,ultrachat,show,306
wanted to,ultrachat,use,1163
started to,ultrachat,approach,124
wants to,ultrachat,convey,324
want to,ultrachat,deliver,104
started to,ultrachat,upgrade,4
prepared to,ultrachat,pass,14
chose to,ultrachat,study,22
want to,ultrachat,overwhelm,99
wants to,ultrachat,stay,273
wants to,ultrachat,receive,46
wants to,ultrachat,drink,13
prepared to,ultrachat,showcase,38
decided to,ultrachat,collect,8
began to,ultrachat,form,587
began to,ultrachat,enact,11
began to,ultrachat,step,12
want to,ultrachat,first,9
want to,ultrachat,disturb,50
want to,ultrachat,tackle,99
began to,ultrachat,appreciate,1117
prepared to,ultrachat,become,13
wants to,ultrachat,manage,16
wants to,ultrachat,predict,16
started to,ultrachat,think,390
prepared to,ultrachat,lose,15
want to,ultrachat,paint,292
want to,ultrachat,regain,12
started to,ultrachat,reduce,20
prepared to,ultrachat,endure,10
want to,ultrachat,hurt,501
started to,ultrachat,utilize,20
started to,ultrachat,feature,39
want to,ultrachat,lead,147
want to,ultrachat,retire,54
moved to,ultrachat,make,57
decided to,ultrachat,put,274
want to,ultrachat,undergo,29
want to,ultrachat,demonstrate,101
prepared to,ultrachat,speak,43
began to,ultrachat,implement,179
want to,ultrachat,vote,24
wanted to,ultrachat,demonstrate,26
started to,ultrachat,prioritize,369
want to,ultrachat,fully,87
want to,ultrachat,assure,489
began to,ultrachat,build,592
decided to,ultrachat,travel,194
decided to,ultrachat,stay,441
moved to,ultrachat,urban,55
began to,ultrachat,trade,36
began to,ultrachat,prioritize,299
want to,ultrachat,dress,175
began to,ultrachat,place,65
want to,ultrachat,define,77
want to,ultrachat,fill,78
want to,ultrachat,overpower,76
want to,ultrachat,progress,44
want to,ultrachat,deposit,3
want to,ultrachat,raise,259
wants to,ultrachat,expand,60
moved to,ultrachat,improve,10
began to,ultrachat,embrace,726
began to,ultrachat,break,272
want to,ultrachat,branch,5
decided to,ultrachat,start,944
decided to,ultrachat,switch,131
wanted to,ultrachat,reduce,47
wants to,ultrachat,show,57
wants to,ultrachat,continue,115
want to,ultrachat,exit,24
want to,ultrachat,waste,193
want to,ultrachat,pair,99
began to,ultrachat,grow,971
started to,ultrachat,respond,32
want to,ultrachat,hang,226
want to,ultrachat,sign,96
want to,ultrachat,confront,62
wants to,ultrachat,launch,37
wants to,ultrachat,move,85
want to,ultrachat,enter,215
want to,ultrachat,relieve,5
want to,ultrachat,compete,94
prepared to,ultrachat,give,109
prepared to,ultrachat,manage,186
started to,ultrachat,influence,35
want to,ultrachat,witness,135
wants to,ultrachat,consume,13
began to,ultrachat,mine,3
wants to,ultrachat,review,5
chose to,ultrachat,engage,12
chose to,ultrachat,follow,49
wants to,ultrachat,release,5
wants to,ultrachat,convert,10
want to,ultrachat,respect,18
want to,ultrachat,renew,13
started to,ultrachat,take,1810
want to,ultrachat,comment,34
want to,ultrachat,report,81
started to,ultrachat,enhance,3
want to,ultrachat,leverage,57
wanted to,ultrachat,be,3440
wanted to,ultrachat,find,412
he wanted to,ultrachat,find,176
wants to,ultrachat,break,68
began to,ultrachat,fight,156
wants to,ultrachat,incorporate,62
wants to,ultrachat,cultivate,17
started to,ultrachat,experiment,630
want to,ultrachat,draw,244
wanted to,ultrachat,install,7
wanted to,ultrachat,rebuild,11
wanted to,ultrachat,have,325
began to,ultrachat,resemble,15
want to,ultrachat,relive,40
she wanted to,ultrachat,challenge,15
began to,ultrachat,show,376
want to,ultrachat,reply,11
want to,ultrachat,introduce,124
started to,ultrachat,roll,31
want to,ultrachat,elaborate,3
began to,ultrachat,work,1118
began to,ultrachat,change,1728
began to,ultrachat,support,82
want to,ultrachat,run,519
want to,ultrachat,convert,454
want to,ultrachat,specialize,228
want to,ultrachat,identify,149
want to,ultrachat,visualize,117
want to,ultrachat,pack,161
prepared to,ultrachat,introduce,61
started to,ultrachat,research,133
chose to,ultrachat,use,428
started to,ultrachat,provide,74
wants to,ultrachat,address,37
wanted to,ultrachat,switch,11
wants to,ultrachat,escape,37
want to,ultrachat,count,178
wants to,ultrachat,excel,16
want to,ultrachat,harm,109
began to,ultrachat,open,973
want to,ultrachat,recede,3
prepared to,ultrachat,invest,169
want to,ultrachat,tap,29
want to,ultrachat,pick,99
prepared to,ultrachat,return,118
want to,ultrachat,attempt,13
wanted to,ultrachat,start,270
want to,ultrachat,display,1029
prepared to,ultrachat,deliver,53
want to,ultrachat,uphold,24
want to,ultrachat,confirm,48
decided to,ultrachat,sell,102
chose to,ultrachat,remain,112
chose to,ultrachat,raise,5
chose to,ultrachat,go,73
wants to,ultrachat,talk,119
want to,ultrachat,drive,225
want to,ultrachat,accidentally,54
wanted to,ultrachat,avoid,144
prepared to,ultrachat,use,138
want to,ultrachat,outsource,10
want to,ultrachat,attach,175
began to,ultrachat,understand,3043
wants to,ultrachat,store,5
want to,ultrachat,accessorize,7
started to,ultrachat,diversify,58
want to,ultrachat,rush,72
want to,ultrachat,manifest,99
started to,ultrachat,explore,818
wants to,ultrachat,determine,28
want to,ultrachat,settle,34
want to,ultrachat,update,353
want to,ultrachat,gradually,20
wanted to,ultrachat,take,3687
want to,ultrachat,serve,232
started to,ultrachat,serve,3
began to,ultrachat,include,96
wanted to,ultrachat,uching,54
want to,ultrachat,thrive,31
want to,ultrachat,augment,3
prepared to,ultrachat,highlight,8
prepared to,ultrachat,ask,121
prepared to,ultrachat,learn,100
prepared to,ultrachat,receive,40
