code,category
Y1412,META
Y1413,BOTH
Y1414,D1
Y1415,D1
Y1416,D1
Y1417,D1
Y1418,D1
Y1419,D1
Y1420,D1
Y1421,BOTH
Y1422,D1
Y1423,D2
Y1424,D1
Y1425,D1
Y1426,META
Y1427,OTHER
Y1428,META
Y1429,D1
Y1430,D1
Y1431,D1
Y1432,D1
Y1433,AWAY
Y1434,BOTH
Y1435,META
Y1436,AWAY
Y1437,AWAY
Y1438,D1
Y1439,META
Y1440,OTHER
Y1441,OTHER
Y1442,META
Y1443,D1
Y1444,D1
Y1445,META
Y1446,D1
Y1447,D1
Y1448,INCOH
Y1449,D2
Y1450,D1
Y1451,META
Y1452,D1
Y1453,D1
Y1454,OTHER
Y1455,META
Y1456,META
Y1457,D1
Y1458,D1
Y1459,D1
Y1460,OTHER
Y1461,D1
Y1462,D1
Y1463,D1
Y1464,D1
Y1465,D1
Y1466,OTHER
Y1467,D1
Y1468,OTHER
Y1469,AWAY
Y1470,OTHER
Y1471,D1
Y1472,OTHER
Y1473,D1
Y1474,BOTH
Y1475,AWAY
Y1476,AWAY
Y1477,D1
Y1478,D1
Y1479,D1
Y1480,META
Y1481,AWAY
Y1482,BOTH
Y1483,D1
Y1484,AWAY
Y1485,AWAY
Y1486,AWAY
Y1487,BOTH
Y1488,BOTH
Y1489,BOTH
Y1490,D1
Y1491,META
Y1492,OTHER
Y1493,META
Y1494,D1
Y1495,BOTH
Y1496,META
Y1497,D2
Y1498,D1
Y1499,BOTH
Y1500,META
Y1501,D1
Y1502,BOTH
Y1503,D1
Y1504,OTHER
Y1505,D1
Y1506,D1
Y1507,META
Y1508,BOTH
Y1509,INCOH
Y1510,INCOH
Y1511,AWAY
Y1512,D1
Y1513,D1
Y1514,AWAY
Y1515,D1
Y1516,META
Y1517,D1
Y1518,META
Y1519,BOTH
Y1520,BOTH
Y1521,D1
Y1522,D1
Y1523,D1
Y1524,D2
Y1525,BOTH
Y1526,D1
Y1527,AWAY
Y1528,INCOH
Y1529,BOTH
Y1530,OTHER
Y1531,D1
Y1532,D1
Y1533,D1
Y1534,D1
Y1535,BOTH
Y1536,D1
Y1537,INCOH
Y1538,META
Y1539,META
Y1540,D1
Y1541,META
Y1542,META
Y1543,META
Y1544,AWAY
Y1545,AWAY
Y1546,BOTH
Y1547,META
Y1548,META
Y1549,D1
Y1550,META
Y1551,D1
Y1552,D1
Y1553,D1
Y1554,META
Y1555,META
Y1556,D1
Y1557,OTHER
Y1558,BOTH
Y1559,D1
Y1560,D1
Y1561,META
Y1562,D1
Y1563,D1
Y1564,D1
Y1565,META
Y1566,D1
Y1567,D1
Y1568,D1
Y1569,BOTH
Y1570,META
Y1571,OTHER
Y1572,D1
Y1573,META
Y1574,INCOH
Y1575,META
Y1576,D1
Y1577,D1
Y1578,META
Y1579,AWAY
Y1580,BOTH
Y1581,AWAY
Y1582,OTHER
Y1583,AWAY
Y1584,AWAY
Y1585,BOTH
Y1586,BOTH
Y1587,META
Y1588,D1
Y1589,D1
Y1590,INCOH
Y1591,D2
Y1592,META
Y1593,AWAY
Y1594,D1
Y1595,OTHER
Y1596,META
