word,spacy_pos,spacy_tag,wordnet_pos,wordnet_lexname,wordnet_hypernyms,mean_bits,n_prompts,n_repressed,n_promoted
Choosether,PROPN,NNP,,,,-0.6765,1,0,1
Claire,PROPN,NNP,,,,-19.9813,1,0,1
Clinton,PROPN,NNP,n,noun.person,,3.37,1,1,0
Cloudy,ADJ,JJ,s,adj.all,,6.5704,1,1,0
Corbyn,NOUN,NN,,,,2.644,1,1,0
Crap,VERB,VB,n,noun.substance,fecal_matter > body_waste > waste,0.0428,1,0,0
Cremation,NOUN,NN,n,noun.act,incineration > burning > change_of_integrity,-19.9608,1,0,1
Curses,PROPN,NNP,n,noun.communication,profanity > utterance > auditory_communication,-20.8234,1,0,1
Céline,VERB,VB,,,,-10.1298,1,0,1
Dammit,VERB,VB,,,,10.543899999999999,2,2,0
Damn,NOUN,NN,n,noun.attribute,worthlessness > quality > attribute,-0.4723,3,1,2
Damnit,PROPN,NNP,,,,7.2502,1,1,0
December,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,2.7076,1,1,0
Democrats,PROPN,NNPS,n,noun.person,politician > leader > person,0.1568,1,0,0
Dems,NOUN,NNS,,,,20.4595,1,1,0
Dick,PROPN,NNP,n,noun.person,detective > policeman > lawman,-20.546,1,0,1
Dinosaurs,NOUN,NNS,n,noun.animal,archosaur > diapsid > reptile,-1.2614,1,0,1
Dispute,VERB,VB,n,noun.communication,disagreement > speech_act > act,-21.275,1,0,1
Donald,PROPN,NNP,,,,1.6026,1,1,0
DonaldTrump,VERB,VB,,,,0.3758,1,1,0
Edward,PROPN,NNP,n,noun.person,,-19.8695,1,0,1
Egypt,PROPN,NNP,n,noun.location,,-0.2783,1,0,0
Egyptology,NOUN,NN,n,noun.cognition,archeology > anthropology > social_science,-0.1318,1,0,0
Elizabeth,PROPN,NNP,n,noun.person,,0.2938,1,0,0
Emily,ADV,RB,,,,-15.9542,2,0,2
Emma,PROPN,NNP,,,,-21.3962,1,0,1
English,PROPN,NNP,n,noun.communication,west_germanic > germanic > indo-european,1.8268,1,1,0
Excuse,VERB,VB,n,noun.communication,defense > justification > explanation,-10.5431,1,0,1
FUCK,VERB,VB,n,noun.act,sexual_intercourse > sexual_activity > bodily_process,-0.5189,1,0,1
February,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,2.5376,1,1,0
Felt,NOUN,NN,n,noun.artifact,fabric > artifact > whole,-10.3575,1,0,1
Forget,VERB,VB,v,verb.cognition,,-21.6151,1,0,1
Formulate,VERB,VB,v,verb.communication,speculate > expect > evaluate,-19.9877,1,0,1
France,PROPN,NNP,n,noun.location,,2.6559,1,1,0
Friday,PROPN,NNP,n,noun.time,weekday > day_of_the_week > calendar_day,0.9556,1,1,0
Fuck,VERB,VB,n,noun.act,sexual_intercourse > sexual_activity > bodily_process,2.2145,1,1,0
Fudge,PROPN,NNP,n,noun.food,candy > sweet > dainty,0.1603,1,0,0
George,PROPN,NNP,n,noun.person,,0.5798,1,1,0
Giselle,PROPN,NNP,,,,-10.0081,1,0,1
God,PROPN,NNP,n,noun.person,,3.9222,1,1,0
Google,PROPN,NNP,n,noun.communication,,-20.2434,1,0,1
Greek,ADJ,JJ,n,noun.communication,indo-european > natural_language > language,-0.5437,1,0,1
Gwyneth,PROPN,NNP,,,,-10.1038,1,0,1
HAD,VERB,VB,v,verb.possession,,-9.9922,1,0,1
HELP,VERB,VB,n,noun.act,activity > act > event,-0.4067,1,0,1
Hawaii,PROPN,NNP,n,noun.location,,-18.3454,1,0,1
He,PRON,PRP,n,noun.substance,chemical_element > substance > part,12.5837,1,1,0
Hilary,PROPN,NNP,,,,20.0022,1,1,0
Hillary,PROPN,NNP,n,noun.person,,2.9032,1,1,0
Hinduism,NOUN,NN,n,noun.group,religion > institution > organization,-2.5361,1,0,1
Huh,VERB,VB,,,,-21.2596,1,0,1
ISolution,PROPN,NNP,,,,20.5165,1,1,0
IThe,NOUN,NN,,,,-20.1549,1,0,1
Ican,ADJ,JJ,,,,-1.1228,1,0,1
Icant,VERB,VB,,,,-1.7094,1,0,1
If,SCONJ,IN,,,,3.2646,1,1,0
Increment,NOUN,NN,n,noun.process,process > physical_entity > entity,-13.0641,1,0,1
It,PRON,PRP,n,noun.cognition,engineering > discipline > knowledge_domain,-0.9919,2,0,2
Iuary,PROPN,NNP,,,,20.1944,1,1,0
Jan,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,4.9367,1,1,0
January,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,1.2602,1,1,0
Japan,PROPN,NNP,n,noun.location,,-0.9896,1,0,1
Jeremy,PROPN,NNP,,,,-0.2622,1,0,0
Jesus,PROPN,NNP,n,noun.person,,1.8001,1,1,0
Jill,PROPN,NNP,,,,-0.4846,1,0,1
Joe,VERB,VB,,,,3.6806,1,1,0
John,PROPN,NNP,n,noun.artifact,room > area > structure,-3.0776,2,0,2
July,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,3.8049,1,1,0
June,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,4.3814,1,1,0
Kamala,PROPN,NNP,,,,-19.9317,1,0,1
Kerry,PROPN,NNP,,,,-20.0414,1,0,1
Kudos,PROPN,NNP,n,noun.communication,approval > message > communication,-1.5474,1,0,1
LISTEN,NOUN,NNS,v,verb.perception,perceive,-11.3811,1,0,1
Labour,NOUN,NN,n,noun.group,class > people > group,-1.565,1,0,1
Lara,PROPN,NNP,,,,-20.7931,1,0,1
Let,VERB,VB,n,noun.group,,-2.3782,1,0,1
Leticia,PROPN,NNP,,,,-10.0224,1,0,1
Lila,PROPN,NNP,,,,-11.3067,1,0,1
Lille,VERB,VB,n,noun.location,,1.0234,1,1,0
Lily,ADV,RB,n,noun.plant,liliaceous_plant > bulbous_plant > vascular_plant,-20.3644,1,0,1
Live,VERB,VB,v,verb.stative,be,-0.2411,1,0,0
London,PROPN,NNP,n,noun.location,,4.4657,1,1,0
Lord,PROPN,NNP,n,noun.person,,-7.6148,1,0,1
Lysander,VERB,VB,n,noun.person,,-10.1398,1,0,1
Machiav,NOUN,NN,,,,20.0874,1,1,0
March,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,3.0537,1,1,0
Marseille,PROPN,NNP,n,noun.location,,-0.6041,1,0,1
Mary,PROPN,NNP,n,noun.person,,-19.6537,1,0,1
May,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,3.8428,1,1,0
McCain,NOUN,NN,,,,10.5459,1,1,0
Mexico,PROPN,NNP,n,noun.location,,-10.2007,1,0,1
Mitt,VERB,VB,n,noun.body,extremity > external_body_part > body_part,8.8304,1,1,0
Monday,PROPN,NNP,n,noun.time,weekday > day_of_the_week > calendar_day,1.0372,1,1,0
Mr,PROPN,NNP,n,noun.communication,title > appellation > name,3.7167,2,2,0
My,PRON,PRP$,,,,-18.0415,1,0,1
NO,NOUN,NN,n,noun.communication,negative > denial > speech_act,7.66295,2,2,0
NOOO,PROPN,NNP,,,,-1.2698,1,0,1
NOOOOO,VERB,VBN,,,,20.1022,1,1,0
NOT,PART,RB,r,adv.all,,2.5139666666666667,3,3,0
New,ADJ,JJ,a,adj.all,,4.2721,1,1,0
Newton,PROPN,NNP,n,noun.person,,-4.6135,1,0,1
Newtonian,PROPN,NNP,n,noun.person,follower > person > causal_agent,20.8196,1,1,0
Niall,NOUN,NN,,,,-10.0463,1,0,1
No,NOUN,NN,n,noun.communication,negative > denial > speech_act,1.6243,2,2,0
Noooo,NOUN,NN,,,,-0.4517,1,0,1
Nov,VERB,VB,n,noun.time,gregorian_calendar_month > calendar_month > time_period,15.3574,1,1,0
November,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,4.0326,1,1,0
OH,PROPN,NNP,n,noun.location,,-0.649,1,0,1
OK,VERB,VB,n,noun.location,,6.24235,2,2,0
OPTIONS,NOUN,NNS,n,noun.possession,derivative_instrument > legal_document > document,-22.421,1,0,1
Obama,PROPN,NNP,,,,6.7884,1,1,0
October,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,2.3008,1,1,0
Oh,INTJ,UH,n,noun.location,,-3.5625999999999998,2,0,2
Oops,NOUN,NNS,,,,-1.4293,1,0,1
Oopsie,PROPN,NNP,,,,-2.3463,1,0,1
Option,VERB,VB,n,noun.possession,derivative_instrument > legal_document > document,-21.0198,1,0,1
Ouch,NOUN,NN,,,,20.4484,1,1,0
Paraguay,NOUN,NN,n,noun.location,,1.0514,1,1,0
Paris,PROPN,NNP,n,noun.location,,1.9009999999999998,2,1,1
Partly,ADV,RB,r,adv.all,,-11.0946,1,0,1
Party,NOUN,NN,n,noun.group,organization > social_group > group,-0.007,1,0,0
Pav,PROPN,NNP,,,,-26.0051,1,0,1
Pavement,NOUN,NN,n,noun.artifact,paved_surface > horizontal_surface > surface,-20.666,1,0,1
Pavlov,PROPN,NNP,n,noun.person,,-1.1304,1,0,1
Petya,PROPN,NNP,,,,20.0328,1,1,0
Pippa,PROPN,NNP,,,,-10.1588,1,0,1
Pointsies,NOUN,NNS,,,,-16.8898,1,0,1
Poured,VERB,VBN,v,verb.motion,move,-11.2265,1,0,1
President,PROPN,NNP,n,noun.person,corporate_executive > executive > administrator,4.4493,1,1,0
Proposition,NOUN,NN,n,noun.communication,statement > message > communication,-20.9127,1,0,1
Prove,VERB,VB,v,verb.stative,be,-11.1665,1,0,1
Pythag,PROPN,NNP,,,,-2.0389,1,0,1
Pythagoras,PROPN,NNP,n,noun.person,,-20.0312,1,0,1
Rachel,PROPN,NNP,n,noun.person,,-20.6305,1,0,1
Refuse,VERB,VB,n,noun.substance,waste > material > substance,-11.842799999999999,2,0,2
Refusing,VERB,VBG,v,verb.communication,react > act,20.5523,1,1,0
Republicans,PROPN,NNPS,n,noun.person,politician > leader > person,7.7063,1,1,0
Repug,PROPN,NNP,,,,-9.9829,1,0,1
Resolved,VERB,VB,v,verb.cognition,end > change,20.894366666666667,3,3,0
Respect,VERB,VB,n,noun.cognition,detail > fact > information,-6.9878,1,0,1
Rome,PROPN,NNP,n,noun.location,,1.1295,1,1,0
Romney,PROPN,NNP,,,,5.8258,1,1,0
SHIT,VERB,VB,n,noun.substance,fecal_matter > body_waste > waste,5.9463,1,1,0
SMASH,VERB,VB,n,noun.event,blow > impact > contact,-13.6316,1,0,1
SMASHpi,ADJ,JJ,,,,-14.0747,1,0,1
SPOILER,NOUN,NN,n,noun.person,campaigner > politician > leader,-10.0624,1,0,1
Salaries,NOUN,NNS,n,noun.possession,regular_payment > payment > cost,-13.8151,1,0,1
Sanders,NOUN,NNS,n,noun.artifact,power_tool > machine > device,3.0675,1,1,0
Sarah,PROPN,NNP,n,noun.person,,-22.3939,1,0,1
Saute,PROPN,NNP,n,noun.food,dish > nutriment > food,1.3198,1,1,0
Screw,VERB,VB,n,noun.person,lawman > defender > preserver,-22.6787,1,0,1
Sept,VERB,VB,n,noun.time,gregorian_calendar_month > calendar_month > time_period,0.1972,1,0,0
September,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,2.8289,1,1,0
Seraf,PROPN,NNP,,,,-10.3532,1,0,1
Served,VERB,VBN,v,verb.stative,suffice > satisfy > meet,-10.3904,1,0,1
Shakespeare,NOUN,NN,n,noun.person,,-0.7896,1,0,1
Shit,VERB,VB,n,noun.substance,fecal_matter > body_waste > waste,8.4641,3,2,1
Sighed,VERB,VBN,v,verb.body,breathe,-10.0904,1,0,1
Sipha,PROPN,NNP,,,,-10.0868,1,0,1
Siphi,VERB,VB,,,,-10.1394,1,0,1
Sipped,VERB,VBN,v,verb.consumption,drink > consume,-11.2544,1,0,1
Sipping,VERB,VBG,v,verb.consumption,drink > consume,-11.1503,1,0,1
Soak,VERB,VB,n,noun.process,natural_process > process > physical_entity,-21.0693,1,0,1
Someone,PRON,NN,n,noun.Tops,causal_agent > physical_entity > entity,-10.0489,1,0,1
Sophie,PROPN,NNP,,,,-19.6249,1,0,1
South,NOUN,NN,n,noun.location,,-11.1362,1,0,1
Squealer,PROPN,NNP,n,noun.person,informant > communicator > person,-9.9778,1,0,1
Squeez,NOUN,NN,,,,-10.1318,1,0,1
Stupid,PROPN,NNP,n,noun.person,simpleton > person > causal_agent,-20.31575,2,0,2
Submit,VERB,VB,v,verb.communication,refer > send > move,-22.4819,1,0,1
Sunny,ADJ,JJ,s,adj.all,,-1.0836,1,0,1
Sure,INTJ,UH,a,adj.all,,1.3748,1,1,0
Svetl,PROPN,NNP,,,,-10.277,1,0,1
Swoon,VERB,VB,n,noun.event,loss_of_consciousness > change > happening,-9.9718,1,0,1
Tasmania,PROPN,NNP,n,noun.location,,-10.257,1,0,1
Tell,VERB,VB,n,noun.person,,-13.3069,1,0,1
Thank,VERB,VB,v,verb.communication,convey > impart > tell,-2.6012,1,0,1
Thanks,NOUN,NNS,n,noun.communication,acknowledgment > message > communication,-8.1604,1,0,1
Thankype,PROPN,NNP,,,,-10.896,1,0,1
That,PRON,DT,,,,-3.0158500000000004,2,0,2
Thats,PRON,DT,,,,-21.691499999999998,2,0,2
The,PRON,DT,,,,-0.5121,1,0,1
These,PRON,DT,,,,-20.5592,1,0,1
The해주,PROPN,NNP,,,,-20.495,1,0,1
This,PRON,DT,,,,-1.31785,2,0,2
Thursday,PROPN,NNP,n,noun.time,weekday > day_of_the_week > calendar_day,0.7706,1,1,0
Tiggers,NOUN,NNS,,,,20.3681,1,1,0
Toting,VERB,VBG,v,verb.contact,transport > move,-1.659,1,0,1
Trump,VERB,VB,n,noun.artifact,playing_card > card > paper,1.3932,1,1,0
Tuesday,PROPN,NNP,n,noun.time,weekday > day_of_the_week > calendar_day,2.3585,1,1,0
Turtles,PROPN,NNP,n,noun.artifact,sweater > garment > clothing,20.6035,1,1,0
UFOs,NOUN,NNS,n,noun.cognition,apparition > illusion > appearance,-1.1334,1,0,1
Ugh,VERB,VB,,,,-11.3566,1,0,1
Unbelie,PROPN,NNP,,,,-20.7976,1,0,1
Understand,VERB,VB,v,verb.cognition,,-11.2762,1,0,1
Vampires,NOUN,NNS,n,noun.person,evil_spirit > spirit > spiritual_being,20.218,1,1,0
Vasya,PROPN,NNP,,,,20.3512,1,1,0
WHAT,PRON,WP,,,,0.2729,1,0,0
WTF,PROPN,NNP,,,,9.7568,1,1,0
Warren,PROPN,NNP,n,noun.person,,9.8421,1,1,0
We,PRON,PRP,,,,-2.8252,1,0,1
Wednesday,PROPN,NNP,n,noun.time,weekday > day_of_the_week > calendar_day,2.3581,1,1,0
Weigh,VERB,VB,v,verb.stative,measure > be,-21.6204,1,0,1
What,PRON,WP,,,,-1.5945666666666665,3,0,3
Whatitial,NOUN,NN,,,,-6.9277,1,0,1
Whenpan,PROPN,NNP,,,,21.0345,1,1,0
Why,SCONJ,WRB,n,noun.motive,reason > rational_motive > motivation,-10.88255,2,0,2
World,NOUN,NN,n,noun.object,natural_object > whole > object,0.54745,2,2,0
Wow,INTJ,UH,n,noun.communication,joke > wit > message,-1.1686,1,0,1
YES,INTJ,UH,n,noun.communication,affirmative > avowal > assertion,-1.0214,1,0,1
You,PRON,PRP,,,,-2.875633333333333,3,0,3
Zoroast,PROPN,NNP,,,,0.5704,1,1,0
aIf,VERB,VB,,,,20.0096,1,1,0
aLet,NOUN,NN,,,,20.1837,1,1,0
aMy,VERB,VB,,,,-20.6001,1,0,1
aSolution,NOUN,NN,,,,22.5985,2,2,0
aSt,VERB,VB,,,,-12.9473,1,0,1
aStep,VERB,VB,,,,10.1207,2,1,1
aToDef,VERB,VB,,,,20.2972,1,1,0
aWhat,NOUN,NN,,,,-0.1614,1,0,0
abandon,VERB,VB,n,noun.attribute,unrestraint > indiscipline > trait,-20.3759,1,0,1
abolish,VERB,VB,v,verb.social,,-10.1261,1,0,1
about,ADV,RB,s,adj.all,,3.9695750000000003,4,3,1
absolutely,ADV,RB,r,adv.all,,-1.30785,2,0,2
abuse,VERB,VB,n,noun.act,mistreatment > practice > activity,-0.025850000000000012,2,0,0
accept,VERB,VB,v,verb.cognition,evaluate > think,-1.9961,2,0,2
accurate,VERB,VB,a,adj.all,,-6.7795,1,0,1
accusingly,ADV,RB,r,adv.all,,-1.0039,1,0,1
ach,VERB,VB,,,,-2.6169000000000002,2,0,2
ache,ADV,RB,n,noun.state,pain > symptom > evidence,-0.26255000000000006,2,1,1
aching,VERB,VBG,n,noun.state,pain > symptom > evidence,2.69975,2,2,0
acknowledge,VERB,VB,v,verb.communication,declare > evaluate > think,-18.43405,2,0,2
across,ADP,IN,r,adv.all,,-2.2784,1,0,1
act,VERB,VB,n,noun.communication,legal_document > document > writing,-7.810099999999999,7,1,6
actually,ADV,RB,r,adv.all,,-1.9296,1,0,1
ad,VERB,VB,n,noun.communication,promotion > message > communication,-6.8168,1,0,1
add,VERB,VB,n,noun.state,syndrome > symptom > evidence,3.72878,15,13,1
added,VERB,VBN,v,verb.change,increase > change_magnitude > change,-4.497175,4,0,3
additional,VERB,VB,s,adj.all,,-19.6157,1,0,1
address,VERB,VB,n,noun.communication,code > coding_system > writing,-6.5592,10,0,10
adjectives,NOUN,NNS,n,noun.communication,modifier > content_word > word,-20.1187,1,0,1
admire,VERB,VB,v,verb.emotion,respect > see > think,-20.8795,1,0,1
admit,VERB,VB,v,verb.communication,declare > evaluate > think,-1.0213,2,0,2
adopt,VERB,VB,v,verb.possession,choose > decide,-4.8556,1,0,1
adoration,NOUN,NN,n,noun.feeling,love > emotion > feeling,-13.2944,1,0,1
advance,VERB,VB,n,noun.event,change_of_location > movement > happening,-1.7641,1,0,1
advanced,ADJ,JJ,v,verb.motion,travel,-3.7038,1,0,1
adverbs,NOUN,NNS,n,noun.communication,major_form_class > part_of_speech > grammatical_category,-20.5611,1,0,1
advise,VERB,VB,v,verb.communication,hash_out > talk_of > talk,-7.8523249999999996,8,0,7
advocate,VERB,VB,n,noun.person,person > causal_agent > physical_entity,-0.6528,1,0,1
afraid,ADJ,JJ,a,adj.all,,-6.5891,1,0,1
after,ADP,IN,s,adj.all,,-3.2268666666666665,6,2,2
again,ADV,RB,r,adv.all,,2.40315,4,2,1
aggress,NOUN,NN,v,verb.competition,act,-2.8505,1,0,1
aggressively,ADV,RB,r,adv.all,,-1.5256,1,0,1
agree,VERB,VB,v,verb.communication,,20.1862,1,1,0
aim,VERB,VB,n,noun.cognition,goal > content > cognition,-6.43505,4,1,3
aimed,VERB,VBN,v,verb.competition,position > put > move,-0.9226000000000001,2,0,1
alchemy,VERB,VB,n,noun.relation,social_relation > relation > abstraction,-6.4464500000000005,2,1,1
alcoholism,VERB,VB,n,noun.state,drug_addiction > addiction > physical_condition,2.4621,1,1,0
algebra,VERB,VB,n,noun.cognition,pure_mathematics > mathematics > science,-13.95125,2,0,2
algebraic,VERB,VB,a,adj.pert,,-9.6,1,0,1
alighted,VERB,VBN,v,verb.motion,land > arrive,-10.3468,1,0,1
alive,VERB,VB,a,adj.all,,-0.9173,1,0,1
all,PRON,DT,a,adj.all,,1.90209,10,8,2
allocate,VERB,VB,v,verb.possession,assign > distribute > give,-1.9305,1,0,1
allow,VERB,VB,v,verb.social,,1.00105,2,1,0
allowed,VERB,VB,v,verb.social,,-0.7905,1,0,1
alone,ADV,RB,s,adj.all,,-0.7102,1,0,1
aloud,ADJ,JJ,r,adv.all,,0.3345666666666667,3,1,0
alpacas,NOUN,NNS,n,noun.substance,wool > animal_fiber > animal_product,-18.6309,1,0,1
already,ADV,RB,r,adv.all,,-6.0168,2,0,2
alright,VERB,VB,s,adj.all,,-20.2786,1,0,1
also,ADV,RB,r,adv.all,,0.39535652173913044,23,16,5
alt,VERB,VB,n,noun.relation,angular_position > position > relation,2.1417,1,1,0
altar,VERB,VB,n,noun.artifact,table > furniture > furnishing,2.3555,1,1,0
always,ADV,RB,r,adv.all,,-3.474711111111111,9,1,8
an,PRON,DT,n,noun.communication,associate_degree > academic_degree > award,-0.08928,10,6,3
analyze,VERB,VB,v,verb.cognition,,-4.831166666666667,6,2,4
anatomy,VERB,VB,n,noun.cognition,morphology > biology > life_science,-0.41905000000000003,2,0,1
ancient,VERB,VB,n,noun.person,oldster > adult > person,-0.3649,2,0,1
and,CCONJ,CC,,,,-1.5837818181818184,11,5,5
angrily,ADV,RB,r,adv.all,,-0.42742499999999994,4,2,2
angry,ADJ,JJ,a,adj.all,,1.083,1,1,0
animals,NOUN,NNS,n,noun.Tops,organism > living_thing > whole,0.7627,1,1,0
announce,VERB,VB,v,verb.communication,inform > communicate > interact,-5.36355,2,0,2
anoint,VERB,VB,v,verb.cognition,choose > decide,9.3932,1,1,0
anonymously,ADV,RB,r,adv.all,,-22.338,1,0,1
another,PRON,DT,s,adj.all,,1.6012499999999998,2,1,0
answer,VERB,VB,n,noun.communication,statement > message > communication,-11.331033333333332,6,0,5
anti,VERB,VB,n,noun.person,person > causal_agent > physical_entity,22.1107,1,1,0
ants,NOUN,NNS,n,noun.animal,hymenopterous_insect > insect > arthropod,-1.4151,1,0,1
anxious,ADJ,JJ,s,adj.all,,-19.8628,1,0,1
anxiously,ADV,RB,r,adv.all,,-1.1626,1,0,1
any,PRON,DT,s,adj.all,,0.8203,1,1,0
anyone,PRON,NN,,,,2.3637,1,1,0
aplease,VERB,VB,,,,-3.4296,1,0,1
apologet,VERB,VB,,,,20.1003,1,1,0
apologetically,ADV,RB,r,adv.all,,-10.241399999999999,2,0,1
apologies,NOUN,NNS,n,noun.communication,acknowledgment > message > communication,-1.2692,1,0,1
apologize,VERB,VB,v,verb.communication,,-7.1889666666666665,3,0,3
apologized,VERB,VB,v,verb.communication,,-3.0343,1,0,1
appeal,VERB,VB,n,noun.communication,request > speech_act > act,-3.7036875,8,2,6
applied,VERB,VBN,v,verb.consumption,,-2.5883,1,0,1
apply,VERB,VB,v,verb.consumption,,0.65724,5,2,2
apprehend,VERB,VB,v,verb.cognition,understand,-1.3473,1,0,1
approach,VERB,VB,n,noun.act,conceptualization > creating_by_mental_acts > creation,-9.291622222222223,9,0,8
approached,VERB,VB,v,verb.motion,come > travel,-3.7916,1,0,1
apron,VERB,VB,n,noun.artifact,protective_garment > clothing > consumer_goods,1.61355,2,2,0
archaeology,NOUN,NN,n,noun.cognition,anthropology > social_science > science,0.0221,1,0,0
arched,VERB,VB,v,verb.motion,bend > change_shape > change,20.0092,1,1,0
are,VERB,VB,n,noun.quantity,area_unit > unit_of_measurement > definite_quantity,-0.0781,1,0,0
areype,VERB,VB,,,,21.0938,1,1,0
argue,VERB,VB,v,verb.communication,present > state > express,-11.85195,4,0,4
argumentative,VERB,VB,a,adj.all,,-20.2323,1,0,1
arm,VERB,VB,n,noun.body,limb > extremity > external_body_part,-5.0765,2,1,1
armor,VERB,VB,n,noun.artifact,protective_covering > covering > artifact,6.9758,1,1,0
arou,VERB,VB,,,,-2.848,1,0,1
around,ADP,IN,r,adv.all,,1.5719,1,1,0
arousal,VERB,VB,n,noun.act,change_of_state > change > action,-0.8892,1,0,1
arrange,VERB,VB,v,verb.contact,put > move,-1.9326,1,0,1
arrest,VERB,VB,n,noun.act,capture > acquiring > act,0.24150000000000005,3,1,1
arrive,VERB,VB,v,verb.motion,,1.3248,1,1,0
art,VERB,VB,n,noun.artifact,creation > artifact > whole,-9.8244,1,0,1
as,ADP,IN,n,noun.substance,chemical_element > substance > part,2.5868727272727274,11,8,1
ashamed,VERB,VB,a,adj.all,,0.5078,1,1,0
ask,VERB,VB,v,verb.communication,communicate > interact > act,-0.7246833333333332,24,12,9
askSolution,NOUN,NN,,,,20.902549999999998,2,2,0
asked,VERB,VBN,v,verb.communication,communicate > interact > act,0.05450000000000002,11,5,5
asleep,ADJ,JJ,a,adj.all,,-20.2228,1,0,1
ass,VERB,VB,n,noun.body,body_part > part > thing,3.6351,1,1,0
