step,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words,family,layer,mode,model_id,prompt_key,gen_idx
20,to,0.9736209511756896,0.2112364619970321,1,to,0.9736209511756896,"to|____|…""|kill|…",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
21,kill,0.9448039531707764,0.4186272621154785,1,kill,0.9448039531707764,"kill|____|die|""|______",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
22,you,0.7064099907875061,1.4385523796081543,4,you,0.7064099907875061,"you|me|her|him|""",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
23,．,0.5788149237632751,1.307058811187744,3,．,0.5788149237632751,"．|""|，|…""|…",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
24,"""",0.896807074546814,0.7363609671592712,2,"""",0.896807074546814,"""|我|可知|""""|我很",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
25,可知,0.5959159135818481,2.3827390670776367,10,可知,0.5959159135818481,可知|结合|及|，|根据,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
26,游客,1.4546730199072044e-05,4.382839202880859,80,她,0.1335680484771728,她|，|句|是|此处,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
27,被,0.0246912259608507,3.9146804809570312,50,非常,0.1972699463367462,非常|很|对|如此|这么,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
28,主人,0.0179182309657335,5.414466857910156,224,愤怒,0.1089083105325698,愤怒|如此|她|游客|怒,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
29,告,0.0003671114391181,4.485702991485596,88,如此,0.2766934633255005,如此|的|气|这么|生气,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
30,发,0.8884496092796326,0.6611741185188293,1,发,0.8884496092796326,发|了|到|上了|到了,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
31,打,0.0018970735836774,3.6932718753814697,40,了,0.2815507054328918,了|，|后|是|要,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
32,伤,0.1268994361162185,3.2075939178466797,24,人,0.2707531452178955,人|死了|伤|劫|人的,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
33,了,0.4009755849838257,3.2740750312805176,26,了,0.4009755849838257,了|，|他|主人|他人,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
34,主人,0.2690540850162506,3.299637794494629,27,主人,0.2690540850162506,主人|，|他|人|别人,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
35,，,0.7386403679847717,1.3492906093597412,3,，,0.7386403679847717,，|．|，并|后|的,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
36,很,0.0293330047279596,4.913054466247559,136,所以,0.1366982460021972,所以|主人|因此|她|是,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
37,气,0.0769000947475433,1.023000717163086,2,生气,0.8013174533843994,生气|气|愤怒|不|伤心,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
38,愤,0.9547477960586548,0.3212052583694458,1,愤,0.9547477960586548,愤|，|恼|急|的,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
39,，,0.6047776341438293,2.128920316696167,8,，,0.6047776341438293,，|．|的|。|了,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
40,介,6.981813930906355e-05,4.053229808807373,57,所以,0.3075887560844421,所以|想|想要|于是|因此,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
41,词,0.9428192377090454,0.3306435942649841,1,词,0.9428192377090454,词|意|于|指|宾,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
42,so,0.8547614216804504,0.9704158902168274,2,so,0.8547614216804504,"so|that|后|to|""",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
43,用于,0.0229014791548252,3.266411781311035,26,后,0.1402885764837265,后|表示|引导|，|连接,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
44,句子,0.0534434504806995,4.013028621673584,55,句,0.2756823003292084,句|主|句子|否定|感叹,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
45,．,0.0313790440559387,2.945100784301758,19,中,0.3321263492107391,中|，|的|中间|．,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
46,,0.0440115220844745,2.143979072570801,8,故,0.4175696969032287,故|�||所以|so,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
47,My,0.007378201931715,6.513895511627197,674,已,0.0335875377058982,已|阅读|在|（|The,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
48,uncle,0.0277068987488746,4.280251979827881,72,father,0.1281154155731201,father|mother|parents|brother|sister,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
49,often,0.0367205701768398,4.161238193511963,64,is,0.2146399915218353,is|has|'s|lives|was,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
0,jump,0.0063055669888854,4.2186431884765625,67,______,0.1337698101997375,______|hit|kill|__|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
1,into,0.0825005173683166,3.495297431945801,32,out,0.1615281850099563,out|up|off|into|on,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
2,the,0.6776571273803711,1.6115981340408323,5,the,0.6776571273803711,the|a|her|____|______,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
3,____,0.0545921362936496,3.502874851226806,33,river,0.2882858216762543,river|lake|pool|water|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
4,（,0.2557066082954407,1.8602731227874756,6,（,0.549855649471283,（|（|．|.|__,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
5,stream,0.000841119501274,6.074396133422852,434,水,0.0711278244853019,水|河|游泳|池|海,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
6,）,0.9496580958366394,0.345796138048172,1,）,0.9496580958366394,）|），|）||/,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
7,half,7.829252717783675e-05,3.1430084705352783,23,．,0.3067811131477356,．|and|.|.|.,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
8,-ex,0.0006986901862546,2.696707248687744,14,a,0.443446546792984,a|way|an|the|to,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
9,pecting,0.2811018228530884,2.522631883621216,12,pl,0.3235462307929992,pl|pecting|posed|haust|actly,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
10,to,0.3437857329845428,3.143070697784424,23,to,0.3437857329845428,to|the|that|it|a,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
11,see,0.1851552575826645,3.373134136199951,29,be,0.230429470539093,be|see|find|catch|get,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
12,something,0.0180216785520315,3.6857972145080566,39,a,0.207864835858345,a|the|her|some|someone,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
13,catch,0.0032282380852848,5.356616973876953,212,beautiful,0.0734743699431419,beautiful|．|.|in|interesting,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
14,her,0.8431128859519958,1.0406399965286257,2,her,0.8431128859519958,her|fire|on|the|in,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
15,lips,0.0016202180413529,4.146770000457764,63,.,0.1540455371141433,.|.|in|．|up,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
16,.,0.2258163541555404,1.861147403717041,6,．,0.456161618232727,．|.|.|.|and,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
17,stream,0.7892047762870789,1.126206874847412,3,stream,0.7892047762870789,stream|water|waters|sw|streams,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
18,,0.9803004264831544,0.1545532196760177,1,,0.9803004264831544,|ing|er|ers|line,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
19,指示,4.920106675854186e-06,6.552051544189453,700,阅读,0.0457089319825172,阅读|在|The|已|I,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
20,代,0.8301770091056824,1.339704155921936,3,代,0.8301770091056824,代|物|词|学生|性,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
21,词,0.9996212720870972,0.0047927550040185,1,词,0.9996212720870972,词|名词|词语|指|语,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
22,____,0.0319976583123207,4.980933666229248,145,：,0.1152280047535896,：|指|代|she|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
23,,0.0617832653224468,4.171606063842773,64,,0.157769113779068,|，||代|。,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
24,介,0.102452702820301,3.3586230278015137,28,代,0.3806580007076263,代|介|作|�|用,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
25,词,0.9888083338737488,0.0898810997605323,1,词,0.9888083338737488,词|宾|意|于|定,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
26,____,0.7466469407081604,1.838209629058838,6,____,0.7466469407081604,____|短|in|词|填,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
27,.,0.0033564509358257,2.719752311706543,15,,0.3560056984424591,||�|�|�,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
28,the,0.1956446170806884,3.789559841156006,44,the,0.1956446170806884,the|that|of|a|which,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
29,",",0.5391641855239868,2.239604949951172,9,",",0.5391641855239868,",|,in|,the|；|，",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
30,of,0.7785159945487976,1.0812833309173584,2,of,0.7785159945487976,of|at|介|for|with,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
31,,0.9338840842247008,0.500399112701416,1,,0.9338840842247008,"|,|/|<|endoftext|>|,to",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
32,My,0.011389092542231,6.64360237121582,767,The,0.0342682301998138,The|I|在|阅读|He,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
33,English,0.0138317169621586,4.305774211883545,74,father,0.1185579448938369,father|mother|sister|brother|parents,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
34,teacher,0.6700505018234253,1.6764140129089355,5,teacher,0.6700505018234253,teacher|is|book|dictionary|class,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
35,is,0.4516925811767578,2.9525437355041504,19,is,0.4516925811767578,is|often|always|has|likes,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
36,not,0.0113000739365816,3.806542158126831,44,very,0.2341727912425995,very|a|kind|strict|good,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
37,very,0.1622331291437149,3.909050464630127,49,very,0.1622331291437149,very|good|a|only|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
38,friendly,0.0292026400566101,3.3715429306030273,29,strict,0.2058986872434616,strict|____|good|____|kind,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
39,，,0.068176195025444,2.702501058578491,14,to,0.2613460719585418,to|．|.|，|.She,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
40,but,0.3971607983112335,2.5438859462738037,12,but,0.3971607983112335,but|so|but|____|so,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
41,she,0.3739039003849029,2.0728464126586914,7,she,0.3739039003849029,she|he|I|we|my,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
42,is,0.5745852589607239,2.180598735809326,8,is,0.5745852589607239,is|always|'s|____|often,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
43,very,0.2525821030139923,3.1011195182800293,22,very,0.2525821030139923,very|____|kind|a|always,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
44,____,0.2024610042572021,2.899294137954712,18,strict,0.2056493014097213,strict|____|kind|____|helpful,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
45,（,0.4841090142726898,1.7384177446365356,5,（,0.4841090142726898,（|（|．|.|and,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
46,fun,0.0071096909232437,5.15918493270874,174,help,0.1165515780448913,help|耐心|kind|patient|尊重,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
47,）,0.9343641996383668,0.3997782468795776,1,）,0.9343641996383668,）|ny|）|），|，,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
48,．,0.762271523475647,1.1347562074661257,3,．,0.762271523475647,．|.|to|and|to,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
49,,0.9799818992614746,0.159009501338005,1,,0.9799818992614746,|She|（|（|I,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,1
0,cry,0.0198831055313348,4.2186431884765625,67,______,0.1337698101997375,______|hit|kill|__|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
1,．,0.2708950638771057,2.986515998840332,19,．,0.2708950638771057,．|.|.|，|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
2,（,0.3058893084526062,3.17816162109375,24,（,0.3058893084526062,（|____|（|She|She,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
3,改为,0.4979456663131714,2.637979745864868,13,改为,0.4979456663131714,改为|对|同|保持|变为,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
4,同,0.5297219157218933,1.9489805698394775,7,同,0.5297219157218933,同|否定|感叹|一般|反,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
5,义,0.9948999285697936,0.0509054362773895,1,义,0.9948999285697936,义|位|句|感|形,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
6,句,0.994763731956482,0.0485671199858188,1,句,0.994763731956482,句|词|句子|语|转换,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
7,）,0.982878565788269,0.1334500759840011,1,）,0.982878565788269,）|）|．|)|，,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
8,She,0.8157228827476501,0.9438764452934264,2,She,0.8157228827476501,She|____|______|____|The,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
9,was,0.5661972761154175,1.7955145835876465,6,was,0.5661972761154175,was|____|wanted|______|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
10,____,0.1349475383758545,1.5207161903381348,4,so,0.6239911913871765,so|____|angry|____|very,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
11,to,0.1421663016080856,3.596282482147217,36,to,0.1421663016080856,to|so|angry|．|crying,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
12,cry,0.9227282404899596,0.4633705019950866,1,cry,0.9227282404899596,cry|____|be|____|crying,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
13,,0.0026469978038221,1.6898458003997805,5,．,0.6277714371681213,．|____|because|when|after,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
14,ang,0.5611129999160767,1.9610754251480105,7,ang,0.5611129999160767,ang|so|very|ash|f,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
15,ry,0.9895639419555664,0.0667457804083824,1,ry,0.9895639419555664,ry|rier|r|ery|ri,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
16,,0.5815229415893555,1.2091995477676392,3,,0.5815229415893555,|enough|with|so|at,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
17,拼,0.0005613847170025,6.5953569412231445,731,阅读,0.0390498377382755,阅读|在|The|已|I,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
18,一,0.72422856092453,1.0647943019866943,2,一,0.72422856092453,一|写|读|拼音|写出,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
19,拼,0.9999969005584716,5.61281995032914e-05,1,拼,0.9999969005584716,拼|通|记|背|拆,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
20,，,0.9362982511520386,0.4153332114219665,1,，,0.9362982511520386,，|。|写|，在|．,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
21,写,0.7980063557624817,1.1638939380645752,3,写,0.7980063557624817,写|填|再|连|读,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
22,一,0.9083685278892516,0.47768235206604,1,一,0.9083685278892516,一|词语|单词|笔|音,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
23,写,0.9988609552383424,0.012258006259799,1,写,0.9988609552383424,写|写字|记|写的|写作,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
24,。,0.911283314228058,0.6053473949432373,1,。,0.911283314228058,。|，|。（|．|（,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
25,|,0.6010502576828003,2.352102518081665,10,|,0.6010502576828003,||（||sh|ch,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
26,di,0.0063873911276459,4.191696643829346,66,sh,0.0796596705913543,sh|y|zh|w|d,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
27,ǎ,0.3353015482425689,1.8079609870910645,6,ǎ,0.3353015482425689,ǎ|àn|ā|ào|ē,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
28,n,0.9867115020751952,0.1011655777692794,1,n,0.9867115020751952,n|o|ng|nh|ny,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
29,b,0.0183836910873651,3.831468343734741,46,____,0.085005335509777,____|di|sh|z|ti,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
30,ì,0.076777659356594,2.3433046340942383,10,ǎ,0.280841052532196,ǎ|ù|ě|ì|ā,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
31,____,0.4278687536716461,1.7436240911483765,5,____,0.4278687536716461,____|____|ng|||b,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
32,|,0.9868651032447816,0.1555293798446655,1,|,0.9868651032447816,||的|____|、|sh,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
33,zu,0.0044188033789396,4.071378707885742,58,y,0.07357969135046,y|sh|w|zh|b,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
34,ǒ,0.225569263100624,1.853376626968384,6,ǐ,0.2896366715431213,ǐ|ò|ǒ|ì|ǎ,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
35,y,0.6537275314331055,1.8027034997940063,6,y,0.6537275314331055,y|k|ch|n|w,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
36,ò,0.7831823229789734,1.049929141998291,2,ò,0.7831823229789734,ò|ǐ|è|ì|ě,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
37,u,0.9998188614845276,0.0021283496171236,1,u,0.9998188614845276,u|u|ng|uD|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
38,____,0.9865670800209044,0.1191515102982521,1,____,0.9865670800209044,____|____|y|b|w,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
39,|,0.9968929290771484,0.0376111753284931,1,|,0.9968929290771484,||||y|____||,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
40,ch,0.0313468910753726,3.789238691329956,44,|,0.1996723413467407,||sh|y|w|zh,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
41,é,0.209210067987442,2.696756601333618,14,é,0.209210067987442,é|ū|áng|è|ā,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
42,ng,0.9990667700767516,0.0110407415777444,1,ng,0.9990667700767516,ng|i|n|nc|g,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
43,rè,0.0251314546912908,3.200265884399414,24,sh,0.3233734369277954,sh|j|f|z|k,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
44,n,0.9908081889152528,0.0807535648345947,1,n,0.9908081889152528,n|ng|n|nao|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
45,____,0.9407766461372375,0.4183801412582397,1,____,0.9407766461372375,____|zh|sh|z|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
46,|,0.9963712692260742,0.0340061075985431,1,|,0.9963712692260742,||||、|的||,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
47,k,0.0112845366820693,3.441934585571289,31,|,0.3049989938735962,||sh|y|w|b,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
48,ā,0.1737635880708694,2.421945095062256,11,ā,0.1737635880708694,ā|ǒ|ě|ū|ǎ,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
49,ng,0.2403674125671386,1.2943979501724243,3,i,0.5949151515960693,i|ng|n|o|zh,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,2
0,kill,0.0837110057473182,4.2186431884765625,67,______,0.1337698101997375,______|hit|kill|__|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
1,him,0.2189910262823104,3.270984411239624,26,the,0.2189910262823104,the|him|her|herself|them,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
2,______,0.0141724767163395,3.362604856491089,28,．,0.2098964899778366,．|.|.|.|!,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
3,.,0.007310826331377,2.832252025604248,16,__,0.3361243903636932,__|_|___|.|he,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
4,but,0.0047883242368698,1.8289921283721924,6,A,0.7218415141105652,A|so|to|with|in,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
5,to,0.0056485049426555,3.159857749938965,23,,0.3868176937103271,|she|for|then|he,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
6,drive,0.0049316165968775,4.831297874450684,125,,0.1510395854711532,|kill|make|be|do,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
7,her,0.1026380062103271,1.978776693344116,7,him,0.5635935664176941,him|her||away|out,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
8,into,0.0177326910197734,3.4584619998931885,31,away,0.2861911654472351,away|car|to|husband|mad,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
9,a,0.3485730588436126,3.3286478519439697,27,a,0.3485730588436126,a|the|tears|action|despair,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
10,rage,0.2253157496452331,3.4582645893096924,31,rage,0.2253157496452331,rage|corner|fit|fight|frenzy,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
11,,0.8418620228767395,1.03590190410614,2,,0.8418620228767395,||.|.|<,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
12,but,0.5935783982276917,2.27332067489624,9,but,0.5935783982276917,but|and|to|so|in,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
13,she,0.0443258918821811,2.910714626312256,18,to,0.476548284292221,to|drive|she|that|in,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
14,drove,0.2589448392391205,3.1931228637695312,24,drove,0.2589448392391205,drove|wanted|was|had|felt,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
15,her,0.6349305510520935,1.4236178398132324,4,her,0.6349305510520935,her|into|herself|him|to,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
16,into,0.8206064701080322,0.9068529009819032,2,into,0.8206064701080322,into|to|rage|anger|out,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,3
