site_id,family,layer,model_id,pair,prompt_type,idx
38b48371ed5f,olmo,base,allenai/Olmo-3-1025-7B,obey/rebel,A,0
09e7fd148880,olmo,base,allenai/Olmo-3-1025-7B,obey/rebel,A,1
2d3afe2b085e,olmo,base,allenai/Olmo-3-1025-7B,obey/rebel,A,2
57ffcb16d306,olmo,base,allenai/Olmo-3-1025-7B,obey/rebel,B,0
9d92682e5981,olmo,base,allenai/Olmo-3-1025-7B,obey/rebel,B,1
1387db4618c5,olmo,base,allenai/Olmo-3-1025-7B,obey/rebel,B,2
006c6c286a48,olmo,base,allenai/Olmo-3-1025-7B,obey/rebel,AB,0
195e3effb63c,olmo,base,allenai/Olmo-3-1025-7B,obey/rebel,AB,1
60308369c7a0,olmo,base,allenai/Olmo-3-1025-7B,obey/rebel,AB,2
fa297eb56959,olmo,base,allenai/Olmo-3-1025-7B,sacred/profane,A,0
804cac13bc82,olmo,base,allenai/Olmo-3-1025-7B,sacred/profane,A,1
b732f9544383,olmo,base,allenai/Olmo-3-1025-7B,sacred/profane,A,2
cb03bf2aa74b,olmo,base,allenai/Olmo-3-1025-7B,sacred/profane,B,0
9f65f972da13,olmo,base,allenai/Olmo-3-1025-7B,sacred/profane,B,1
9177c4c72578,olmo,base,allenai/Olmo-3-1025-7B,sacred/profane,B,2
e5170d28fffb,olmo,base,allenai/Olmo-3-1025-7B,sacred/profane,AB,0
6cd8041f86dd,olmo,base,allenai/Olmo-3-1025-7B,sacred/profane,AB,1
7bde97734230,olmo,base,allenai/Olmo-3-1025-7B,sacred/profane,AB,2
c5e9ec4a99d7,olmo,base,allenai/Olmo-3-1025-7B,man/woman,A,0
89b72aaeef30,olmo,base,allenai/Olmo-3-1025-7B,man/woman,A,1
aaa3ed7ddad8,olmo,base,allenai/Olmo-3-1025-7B,man/woman,A,2
11a5ed2c6d34,olmo,base,allenai/Olmo-3-1025-7B,man/woman,B,0
1b633547c918,olmo,base,allenai/Olmo-3-1025-7B,man/woman,B,1
abd988cbc9a5,olmo,base,allenai/Olmo-3-1025-7B,man/woman,B,2
7bf9ff8f8d97,olmo,base,allenai/Olmo-3-1025-7B,man/woman,AB,0
3e744067535d,olmo,base,allenai/Olmo-3-1025-7B,man/woman,AB,1
0385ea4ab9ed,olmo,base,allenai/Olmo-3-1025-7B,man/woman,AB,2
c6b2018db3db,olmo,base,allenai/Olmo-3-1025-7B,human/animal,A,0
f76ada3542cc,olmo,base,allenai/Olmo-3-1025-7B,human/animal,A,1
4434d98d14e7,olmo,base,allenai/Olmo-3-1025-7B,human/animal,A,2
c0ce68587c27,olmo,base,allenai/Olmo-3-1025-7B,human/animal,B,0
af3ed1771c35,olmo,base,allenai/Olmo-3-1025-7B,human/animal,B,1
d81157a5aa58,olmo,base,allenai/Olmo-3-1025-7B,human/animal,B,2
d1b8337b27a7,olmo,base,allenai/Olmo-3-1025-7B,human/animal,AB,0
95fbe2c12c2c,olmo,base,allenai/Olmo-3-1025-7B,human/animal,AB,1
97b9d04b0fcd,olmo,base,allenai/Olmo-3-1025-7B,human/animal,AB,2
8834334a2b8c,olmo,base,allenai/Olmo-3-1025-7B,pleasure/pain,A,0
ef24c18f24db,olmo,base,allenai/Olmo-3-1025-7B,pleasure/pain,A,1
7ab084e4ff3c,olmo,base,allenai/Olmo-3-1025-7B,pleasure/pain,A,2
132af9b47ff0,olmo,base,allenai/Olmo-3-1025-7B,pleasure/pain,B,0
48dac28be8fc,olmo,base,allenai/Olmo-3-1025-7B,pleasure/pain,B,1
de02d25eb238,olmo,base,allenai/Olmo-3-1025-7B,pleasure/pain,B,2
dfd3a6c7d024,olmo,base,allenai/Olmo-3-1025-7B,pleasure/pain,AB,0
c9cad814b32b,olmo,base,allenai/Olmo-3-1025-7B,pleasure/pain,AB,1
e163aae15f8b,olmo,base,allenai/Olmo-3-1025-7B,pleasure/pain,AB,2
8b3d881c38cc,olmo,base,allenai/Olmo-3-1025-7B,create/destroy,A,0
bf700bef9883,olmo,base,allenai/Olmo-3-1025-7B,create/destroy,A,1
88b2e49d99bf,olmo,base,allenai/Olmo-3-1025-7B,create/destroy,A,2
32dae1d4f855,olmo,base,allenai/Olmo-3-1025-7B,create/destroy,B,0
9b86482efe9e,olmo,base,allenai/Olmo-3-1025-7B,create/destroy,B,1
47c310dd8be6,olmo,base,allenai/Olmo-3-1025-7B,create/destroy,B,2
d1ae831e0b06,olmo,base,allenai/Olmo-3-1025-7B,create/destroy,AB,0
77f21eec0786,olmo,base,allenai/Olmo-3-1025-7B,create/destroy,AB,1
833cd55cc32c,olmo,base,allenai/Olmo-3-1025-7B,create/destroy,AB,2
bc230f277f60,olmo,base,allenai/Olmo-3-1025-7B,free/captive,A,0
f454b3569bec,olmo,base,allenai/Olmo-3-1025-7B,free/captive,A,1
b8cbd40c5d93,olmo,base,allenai/Olmo-3-1025-7B,free/captive,A,2
b7ca5f12ccdb,olmo,base,allenai/Olmo-3-1025-7B,free/captive,B,0
a84427558a6f,olmo,base,allenai/Olmo-3-1025-7B,free/captive,B,1
4d43a5ed6891,olmo,base,allenai/Olmo-3-1025-7B,free/captive,B,2
59ce04307d7a,olmo,base,allenai/Olmo-3-1025-7B,free/captive,AB,0
9602490ce1f1,olmo,base,allenai/Olmo-3-1025-7B,free/captive,AB,1
72e05a528615,olmo,base,allenai/Olmo-3-1025-7B,free/captive,AB,2
b079d3410956,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,0
f244c39e60d3,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,1
4bdadcc189a4,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,2
0e7c1b1418e6,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,0
8feffc47a467,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,1
a3a773dcf927,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,2
6f06345abec7,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,0
43a0ece9346f,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,1
9eeacae97921,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,2
1f8ad248e5c2,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,0
fec310340234,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,1
ddaa9c93de7b,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,2
dd3c650e1e5a,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,0
45ed922d42f5,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,1
2756ef103ee3,olmo,base,allenai/Olmo-3-1025-7B,neutral,N,2
d634c88719ad,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love/hate,A,0
20b849588b76,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love/hate,A,1
342f9323fbda,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love/hate,A,2
b3378218e410,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love/hate,B,0
7526829bb8df,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love/hate,B,1
4fe79b70685a,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love/hate,B,2
08c5ee92d1a3,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love/hate,AB,0
a0b37f20d2b4,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love/hate,AB,1
da7edc26f92f,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love/hate,AB,2
8ac809ceebb6,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,trust/fear,A,0
82808ab66be7,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,trust/fear,A,1
ef1c5f3967de,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,trust/fear,A,2
313a78a64a4b,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,trust/fear,B,0
e3261e9f7d82,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,trust/fear,B,1
9e916455e6c8,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,trust/fear,B,2
b032c37c7974,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,trust/fear,AB,0
bbc2a41b0517,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,trust/fear,AB,1
72552b43fcea,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,trust/fear,AB,2
2166fccab1be,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,beautiful/disgusting,A,0
e169b675761f,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,beautiful/disgusting,A,1
164147d4b02f,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,beautiful/disgusting,A,2
cc611ab8d313,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,beautiful/disgusting,B,0
d93f169b10c2,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,beautiful/disgusting,B,1
67223a97b071,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,beautiful/disgusting,B,2
713232b52356,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,beautiful/disgusting,AB,0
9cadd9336f74,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,beautiful/disgusting,AB,1
2c85d4987796,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,beautiful/disgusting,AB,2
bb6f081b289d,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,desire/disgust,A,0
ce55d2508bec,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,desire/disgust,A,1
75b2fdc40335,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,desire/disgust,A,2
876355e0867d,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,desire/disgust,B,0
933e9d5dd90a,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,desire/disgust,B,1
108ac38a0bf3,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,desire/disgust,B,2
34332a29a129,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,desire/disgust,AB,0
43fa341d2972,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,desire/disgust,AB,1
fddbb4c70b09,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,desire/disgust,AB,2
f190a19db45e,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,obey/rebel,A,0
f3bb529ebdb9,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,obey/rebel,A,1
039b79c5b834,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,obey/rebel,A,2
289f2d4b404c,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,obey/rebel,B,0
4c84ae465bba,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,obey/rebel,B,1
4669cd4c1da1,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,obey/rebel,B,2
5520597c6ab9,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,obey/rebel,AB,0
48c2a87ea640,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,obey/rebel,AB,1
b8d80674fd41,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,obey/rebel,AB,2
ecb43f477b80,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sacred/profane,A,0
bcdcbeb962e8,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sacred/profane,A,1
d831cdfd4567,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sacred/profane,A,2
52aeaf125a0f,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sacred/profane,B,0
102067e21dcd,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sacred/profane,B,1
a5e568407ab5,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sacred/profane,B,2
c798014d67d8,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sacred/profane,AB,0
456dc95b1612,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sacred/profane,AB,1
94817b44f865,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sacred/profane,AB,2
bc22238697e7,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,man/woman,A,0
7be13218921b,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,man/woman,A,1
3ce703ce0b2a,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,man/woman,A,2
2b84ad48e28f,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,man/woman,B,0
81c4e9fd44db,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,man/woman,B,1
eb8f54ffc4a4,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,man/woman,B,2
5e9f30ed23c2,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,man/woman,AB,0
50c7b7ce6bcd,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,man/woman,AB,1
085b0e5a2c20,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,man/woman,AB,2
bb714e35b755,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,human/animal,A,0
c159ba361dac,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,human/animal,A,1
1816f72444b4,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,human/animal,A,2
ff3fff7b4f6c,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,human/animal,B,0
b0d7e5a1a6a4,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,human/animal,B,1
f2c99674dccd,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,human/animal,B,2
be8d78817fa1,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,human/animal,AB,0
7adf26814bd0,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,human/animal,AB,1
3a87ceb85bef,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,human/animal,AB,2
8c6dcea5ae8a,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,pleasure/pain,A,0
dfb85bdd6c4b,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,pleasure/pain,A,1
0ec1cf358f3c,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,pleasure/pain,A,2
0cf781db3ee1,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,pleasure/pain,B,0
efac434ccba1,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,pleasure/pain,B,1
638b756e018f,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,pleasure/pain,B,2
164bb6e115c9,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,pleasure/pain,AB,0
5ef80e3387ae,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,pleasure/pain,AB,1
55ee95c982c7,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,pleasure/pain,AB,2
157b96f121db,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,create/destroy,A,0
d85f55ec22a4,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,create/destroy,A,1
f898ff1c4af1,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,create/destroy,A,2
299fc8aa9778,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,create/destroy,B,0
1370cba2063f,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,create/destroy,B,1
e33784f47221,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,create/destroy,B,2
7ad7e6e44e19,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,create/destroy,AB,0
c170e1b8dd12,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,create/destroy,AB,1
d1e1d8b5dfcc,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,create/destroy,AB,2
8d0f2147a1b5,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,free/captive,A,0
5eaa68f181ac,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,free/captive,A,1
a0416bc9f88a,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,free/captive,A,2
e06726f052ad,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,free/captive,B,0
984b1aed642d,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,free/captive,B,1
23272c06ea05,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,free/captive,B,2
6c33e20c6c42,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,free/captive,AB,0
9656ad363bcc,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,free/captive,AB,1
dad44fe49755,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,free/captive,AB,2
93935327dea1,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,0
6e1ab1665a43,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,1
2dd38b0dd072,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,2
a231d8873f3e,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,0
ed72b1c34b15,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,1
47b3b5375794,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,2
ea8e880fcb02,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,0
4c26f099d979,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,1
14b0ad962969,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,2
9112e016de63,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,0
753115146975,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,1
d5a4f494f986,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,2
a7740a17ea9c,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,0
ee3cea77aebf,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,1
e03cf161eab4,olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,N,2
be845d3be373,amber,base,LLM360/Amber,love/hate,A,0
6a156319768f,amber,base,LLM360/Amber,love/hate,A,1
fc198a90986c,amber,base,LLM360/Amber,love/hate,A,2
5d10c088a33e,amber,base,LLM360/Amber,love/hate,B,0
d30980a681b7,amber,base,LLM360/Amber,love/hate,B,1
e3209fbd8cee,amber,base,LLM360/Amber,love/hate,B,2
f687fc52d174,amber,base,LLM360/Amber,love/hate,AB,0
9f249dbc3d26,amber,base,LLM360/Amber,love/hate,AB,1
6839b4bda88b,amber,base,LLM360/Amber,love/hate,AB,2
9604d0072a6a,amber,base,LLM360/Amber,trust/fear,A,0
15ed5204ef1a,amber,base,LLM360/Amber,trust/fear,A,1
f08e232ecfdd,amber,base,LLM360/Amber,trust/fear,A,2
011b994abb97,amber,base,LLM360/Amber,trust/fear,B,0
138c68cf600c,amber,base,LLM360/Amber,trust/fear,B,1
8b8af7b3562c,amber,base,LLM360/Amber,trust/fear,B,2
9a42830ced5b,amber,base,LLM360/Amber,trust/fear,AB,0
101b3a27d212,amber,base,LLM360/Amber,trust/fear,AB,1
144f9fa4e05e,amber,base,LLM360/Amber,trust/fear,AB,2
0da548dc1dba,amber,base,LLM360/Amber,beautiful/disgusting,A,0
a89250631705,amber,base,LLM360/Amber,beautiful/disgusting,A,1
c52a70d5eef8,amber,base,LLM360/Amber,beautiful/disgusting,A,2
aec8f0150173,amber,base,LLM360/Amber,beautiful/disgusting,B,0
8ad134b7b063,amber,base,LLM360/Amber,beautiful/disgusting,B,1
039bac088fc3,amber,base,LLM360/Amber,beautiful/disgusting,B,2
994c50580419,amber,base,LLM360/Amber,beautiful/disgusting,AB,0
70419a1e7ccb,amber,base,LLM360/Amber,beautiful/disgusting,AB,1
44df14043406,amber,base,LLM360/Amber,beautiful/disgusting,AB,2
a3a26db74cc3,amber,base,LLM360/Amber,desire/disgust,A,0
89898726d617,amber,base,LLM360/Amber,desire/disgust,A,1
2be66d63ff51,amber,base,LLM360/Amber,desire/disgust,A,2
65d459a5cb7e,amber,base,LLM360/Amber,desire/disgust,B,0
a316ee6ef964,amber,base,LLM360/Amber,desire/disgust,B,1
7f06c35be1de,amber,base,LLM360/Amber,desire/disgust,B,2
1aa7589e92c6,amber,base,LLM360/Amber,desire/disgust,AB,0
a7f0f96d58e7,amber,base,LLM360/Amber,desire/disgust,AB,1
a28bb2ea9719,amber,base,LLM360/Amber,desire/disgust,AB,2
ad9e4161b52c,amber,base,LLM360/Amber,obey/rebel,A,0
adedea2e417e,amber,base,LLM360/Amber,obey/rebel,A,1
a18c7ae0ba03,amber,base,LLM360/Amber,obey/rebel,A,2
4febe8974645,amber,base,LLM360/Amber,obey/rebel,B,0
accf2a720334,amber,base,LLM360/Amber,obey/rebel,B,1
59ff8c51d4ef,amber,base,LLM360/Amber,obey/rebel,B,2
4ca856879252,amber,base,LLM360/Amber,obey/rebel,AB,0
6e22a552ca3e,amber,base,LLM360/Amber,obey/rebel,AB,1
7363b70e747d,amber,base,LLM360/Amber,obey/rebel,AB,2
d3e3f862c4ae,amber,base,LLM360/Amber,sacred/profane,A,0
343d22692c60,amber,base,LLM360/Amber,sacred/profane,A,1
ae0e46b74d0d,amber,base,LLM360/Amber,sacred/profane,A,2
db1a4f196242,amber,base,LLM360/Amber,sacred/profane,B,0
4c6e669b000e,amber,base,LLM360/Amber,sacred/profane,B,1
fee211b5e0cc,amber,base,LLM360/Amber,sacred/profane,B,2
026fc730b194,amber,base,LLM360/Amber,sacred/profane,AB,0
816dd5e4ebf0,amber,base,LLM360/Amber,sacred/profane,AB,1
1ed37aaab70f,amber,base,LLM360/Amber,sacred/profane,AB,2
621c9dbe0f41,amber,base,LLM360/Amber,man/woman,A,0
67610e96513a,amber,base,LLM360/Amber,man/woman,A,1
aa04b58cbee1,amber,base,LLM360/Amber,man/woman,A,2
06d2e35d634c,amber,base,LLM360/Amber,man/woman,B,0
3a3bd1d57922,amber,base,LLM360/Amber,man/woman,B,1
7e71fe403556,amber,base,LLM360/Amber,man/woman,B,2
86d7811a4c14,amber,base,LLM360/Amber,man/woman,AB,0
c3217e268264,amber,base,LLM360/Amber,man/woman,AB,1
61d3873ffacd,amber,base,LLM360/Amber,man/woman,AB,2
e0f1d18c0f88,amber,base,LLM360/Amber,human/animal,A,0
3d386ad9d190,amber,base,LLM360/Amber,human/animal,A,1
700a026287e9,amber,base,LLM360/Amber,human/animal,A,2
5b8458b8c9a9,amber,base,LLM360/Amber,human/animal,B,0
b6ba95f5399a,amber,base,LLM360/Amber,human/animal,B,1
a24d964dd5c4,amber,base,LLM360/Amber,human/animal,B,2
72840d38f6b8,amber,base,LLM360/Amber,human/animal,AB,0
24e593812a19,amber,base,LLM360/Amber,human/animal,AB,1
968eaeb84018,amber,base,LLM360/Amber,human/animal,AB,2
49b67dea81e7,amber,base,LLM360/Amber,pleasure/pain,A,0
74ff4744567b,amber,base,LLM360/Amber,pleasure/pain,A,1
7e74ac70865c,amber,base,LLM360/Amber,pleasure/pain,A,2
115667396289,amber,base,LLM360/Amber,pleasure/pain,B,0
990464dc1adc,amber,base,LLM360/Amber,pleasure/pain,B,1
accaacbacff2,amber,base,LLM360/Amber,pleasure/pain,B,2
990435b63ba4,amber,base,LLM360/Amber,pleasure/pain,AB,0
b49379d57e9a,amber,base,LLM360/Amber,pleasure/pain,AB,1
43b17a36086a,amber,base,LLM360/Amber,pleasure/pain,AB,2
dcfca157b54a,amber,base,LLM360/Amber,create/destroy,A,0
eaff66190864,amber,base,LLM360/Amber,create/destroy,A,1
1edef111d620,amber,base,LLM360/Amber,create/destroy,A,2
21474f255598,amber,base,LLM360/Amber,create/destroy,B,0
4e53106d566b,amber,base,LLM360/Amber,create/destroy,B,1
3fc04fc5af54,amber,base,LLM360/Amber,create/destroy,B,2
9fb1e71c002c,amber,base,LLM360/Amber,create/destroy,AB,0
e0f0a1c75546,amber,base,LLM360/Amber,create/destroy,AB,1
1700fefa13f1,amber,base,LLM360/Amber,create/destroy,AB,2
2cdb2b74ef87,amber,base,LLM360/Amber,free/captive,A,0
129e727cc822,amber,base,LLM360/Amber,free/captive,A,1
81a0fc137a73,amber,base,LLM360/Amber,free/captive,A,2
1c9ad38f0b4b,amber,base,LLM360/Amber,free/captive,B,0
6607f7b115db,amber,base,LLM360/Amber,free/captive,B,1
672171026aa5,amber,base,LLM360/Amber,free/captive,B,2
9b7480a1ae59,amber,base,LLM360/Amber,free/captive,AB,0
7cf9abe05f76,amber,base,LLM360/Amber,free/captive,AB,1
80279f66b789,amber,base,LLM360/Amber,free/captive,AB,2
