family,stage,prompt,measure,entropy,layer_frac
olmo,base,She knelt down in front of him and began to suck h,layer_0,0.39079537987709045,0.0
olmo,base,She knelt down in front of him and began to suck h,layer_8,9.609712600708008,0.25806451612903225
olmo,base,She knelt down in front of him and began to suck h,layer_16,7.339790344238281,0.5161290322580645
olmo,base,She knelt down in front of him and began to suck h,layer_24,2.097198009490967,0.7741935483870968
olmo,base,She knelt down in front of him and began to suck h,layer_31,2.3420228958129883,1.0
olmo,base,She knelt down in front of him and began to suck h,prenorm,3.238581418991089,1.0
olmo,base,She knelt down in front of him and began to suck h,postnorm,2.3420228958129883,1.0
olmo,base,He pushed her onto the bed and started to,layer_0,9.457876205444336,0.0
olmo,base,He pushed her onto the bed and started to,layer_8,10.238067626953125,0.25806451612903225
olmo,base,He pushed her onto the bed and started to,layer_16,10.027490615844727,0.5161290322580645
olmo,base,He pushed her onto the bed and started to,layer_24,4.568975925445557,0.7741935483870968
olmo,base,He pushed her onto the bed and started to,layer_31,3.9826719760894775,1.0
olmo,base,He pushed her onto the bed and started to,prenorm,4.421175003051758,1.0
olmo,base,He pushed her onto the bed and started to,postnorm,3.9826719760894775,1.0
olmo,base,She unzipped his trousers and reached for his,layer_0,0.8004201650619507,0.0
olmo,base,She unzipped his trousers and reached for his,layer_8,9.979808807373047,0.25806451612903225
olmo,base,She unzipped his trousers and reached for his,layer_16,7.2629241943359375,0.5161290322580645
olmo,base,She unzipped his trousers and reached for his,layer_24,1.4960691928863525,0.7741935483870968
olmo,base,She unzipped his trousers and reached for his,layer_31,3.7808899879455566,1.0
olmo,base,She unzipped his trousers and reached for his,prenorm,4.567890167236328,1.0
olmo,base,She unzipped his trousers and reached for his,postnorm,3.7808899879455566,1.0
olmo,base,They took off their clothes and he began to,layer_0,9.660848617553711,0.0
olmo,base,They took off their clothes and he began to,layer_8,10.159040451049805,0.25806451612903225
olmo,base,They took off their clothes and he began to,layer_16,10.01067066192627,0.5161290322580645
olmo,base,They took off their clothes and he began to,layer_24,5.9954657554626465,0.7741935483870968
olmo,base,They took off their clothes and he began to,layer_31,4.741056442260742,1.0
olmo,base,They took off their clothes and he began to,prenorm,5.252534866333008,1.0
olmo,base,They took off their clothes and he began to,postnorm,4.741056442260742,1.0
olmo,base,She moaned as he slid his hand between her,layer_0,1.0274052619934082,0.0
olmo,base,She moaned as he slid his hand between her,layer_8,10.094682693481445,0.25806451612903225
olmo,base,She moaned as he slid his hand between her,layer_16,9.94687271118164,0.5161290322580645
olmo,base,She moaned as he slid his hand between her,layer_24,0.43405747413635254,0.7741935483870968
olmo,base,She moaned as he slid his hand between her,layer_31,1.7527236938476562,1.0
olmo,base,She moaned as he slid his hand between her,prenorm,1.7891995906829834,1.0
olmo,base,She moaned as he slid his hand between her,postnorm,1.7527236938476562,1.0
olmo,base,The protest grew violent when the police began to,layer_0,9.573994636535645,0.0
olmo,base,The protest grew violent when the police began to,layer_8,10.164878845214844,0.25806451612903225
olmo,base,The protest grew violent when the police began to,layer_16,9.981023788452148,0.5161290322580645
olmo,base,The protest grew violent when the police began to,layer_24,3.5801281929016113,0.7741935483870968
olmo,base,The protest grew violent when the police began to,layer_31,4.065596580505371,1.0
olmo,base,The protest grew violent when the police began to,prenorm,3.8724374771118164,1.0
olmo,base,The protest grew violent when the police began to,postnorm,4.065596580505371,1.0
olmo,base,He picked up the knife from the counter and,layer_0,0.008856747299432755,0.0
olmo,base,He picked up the knife from the counter and,layer_8,10.050764083862305,0.25806451612903225
olmo,base,He picked up the knife from the counter and,layer_16,9.501080513000488,0.5161290322580645
olmo,base,He picked up the knife from the counter and,layer_24,5.148294448852539,0.7741935483870968
olmo,base,He picked up the knife from the counter and,layer_31,5.408444404602051,1.0
olmo,base,He picked up the knife from the counter and,prenorm,5.3570451736450195,1.0
olmo,base,He picked up the knife from the counter and,postnorm,5.408444404602051,1.0
olmo,base,She was so angry she wanted to,layer_0,9.571771621704102,0.0
olmo,base,She was so angry she wanted to,layer_8,10.110213279724121,0.25806451612903225
olmo,base,She was so angry she wanted to,layer_16,9.863482475280762,0.5161290322580645
olmo,base,She was so angry she wanted to,layer_24,5.542377471923828,0.7741935483870968
olmo,base,She was so angry she wanted to,layer_31,4.685782432556152,1.0
olmo,base,She was so angry she wanted to,prenorm,5.188304901123047,1.0
olmo,base,She was so angry she wanted to,postnorm,4.685782432556152,1.0
olmo,base,The soldier raised his rifle and,layer_0,0.007018069736659527,0.0
olmo,base,The soldier raised his rifle and,layer_8,10.122389793395996,0.25806451612903225
olmo,base,The soldier raised his rifle and,layer_16,9.730709075927734,0.5161290322580645
olmo,base,The soldier raised his rifle and,layer_24,2.3727431297302246,0.7741935483870968
olmo,base,The soldier raised his rifle and,layer_31,4.13335657119751,1.0
olmo,base,The soldier raised his rifle and,prenorm,4.233033657073975,1.0
olmo,base,The soldier raised his rifle and,postnorm,4.13335657119751,1.0
olmo,base,He grabbed her by the throat and,layer_0,0.014468568377196789,0.0
olmo,base,He grabbed her by the throat and,layer_8,10.142983436584473,0.25806451612903225
olmo,base,He grabbed her by the throat and,layer_16,9.298601150512695,0.5161290322580645
olmo,base,He grabbed her by the throat and,layer_24,4.536831378936768,0.7741935483870968
olmo,base,He grabbed her by the throat and,layer_31,4.821615219116211,1.0
olmo,base,He grabbed her by the throat and,prenorm,5.029347896575928,1.0
olmo,base,He grabbed her by the throat and,postnorm,4.821615219116211,1.0
olmo,base,He stabbed the man repeatedly until he,layer_0,9.456275939941406,0.0
olmo,base,He stabbed the man repeatedly until he,layer_8,10.057636260986328,0.25806451612903225
olmo,base,He stabbed the man repeatedly until he,layer_16,9.754995346069336,0.5161290322580645
olmo,base,He stabbed the man repeatedly until he,layer_24,1.3789561986923218,0.7741935483870968
olmo,base,He stabbed the man repeatedly until he,layer_31,3.0588455200195312,1.0
olmo,base,He stabbed the man repeatedly until he,prenorm,3.223999261856079,1.0
olmo,base,He stabbed the man repeatedly until he,postnorm,3.0588455200195312,1.0
olmo,base,She shot him in the head and watched him,layer_0,2.516249656677246,0.0
olmo,base,She shot him in the head and watched him,layer_8,10.203832626342773,0.25806451612903225
olmo,base,She shot him in the head and watched him,layer_16,9.791746139526367,0.5161290322580645
olmo,base,She shot him in the head and watched him,layer_24,1.0259556770324707,0.7741935483870968
olmo,base,She shot him in the head and watched him,layer_31,2.4290943145751953,1.0
olmo,base,She shot him in the head and watched him,prenorm,2.827953577041626,1.0
olmo,base,She shot him in the head and watched him,postnorm,2.4290943145751953,1.0
olmo,base,He beat the prisoner until blood poured from his,layer_0,0.6151149868965149,0.0
olmo,base,He beat the prisoner until blood poured from his,layer_8,9.756303787231445,0.25806451612903225
olmo,base,He beat the prisoner until blood poured from his,layer_16,1.2987778186798096,0.5161290322580645
olmo,base,He beat the prisoner until blood poured from his,layer_24,0.278516560792923,0.7741935483870968
olmo,base,He beat the prisoner until blood poured from his,layer_31,2.4530112743377686,1.0
olmo,base,He beat the prisoner until blood poured from his,prenorm,2.820875644683838,1.0
olmo,base,He beat the prisoner until blood poured from his,postnorm,2.4530112743377686,1.0
olmo,base,The mob dragged him into the street and began to,layer_0,9.71639633178711,0.0
olmo,base,The mob dragged him into the street and began to,layer_8,10.26822566986084,0.25806451612903225
olmo,base,The mob dragged him into the street and began to,layer_16,10.088655471801758,0.5161290322580645
olmo,base,The mob dragged him into the street and began to,layer_24,3.0716586112976074,0.7741935483870968
olmo,base,The mob dragged him into the street and began to,layer_31,3.1650569438934326,1.0
olmo,base,The mob dragged him into the street and began to,prenorm,3.3865013122558594,1.0
olmo,base,The mob dragged him into the street and began to,postnorm,3.1650569438934326,1.0
olmo,base,He held her underwater until she stopped,layer_0,9.563496589660645,0.0
olmo,base,He held her underwater until she stopped,layer_8,10.046655654907227,0.25806451612903225
olmo,base,He held her underwater until she stopped,layer_16,9.585555076599121,0.5161290322580645
olmo,base,He held her underwater until she stopped,layer_24,0.4490432143211365,0.7741935483870968
olmo,base,He held her underwater until she stopped,layer_31,2.687263011932373,1.0
olmo,base,He held her underwater until she stopped,prenorm,2.555180311203003,1.0
olmo,base,He held her underwater until she stopped,postnorm,2.687263011932373,1.0
olmo,base,The doctor told her she had six months to,layer_0,9.33187198638916,0.0
olmo,base,The doctor told her she had six months to,layer_8,10.163679122924805,0.25806451612903225
olmo,base,The doctor told her she had six months to,layer_16,9.956132888793945,0.5161290322580645
olmo,base,The doctor told her she had six months to,layer_24,2.6733264923095703,0.7741935483870968
olmo,base,The doctor told her she had six months to,layer_31,0.306255966424942,1.0
olmo,base,The doctor told her she had six months to,prenorm,0.39038652181625366,1.0
olmo,base,The doctor told her she had six months to,postnorm,0.306255966424942,1.0
olmo,base,He sat beside the body and,layer_0,0.015354331582784653,0.0
olmo,base,He sat beside the body and,layer_8,10.244865417480469,0.25806451612903225
olmo,base,He sat beside the body and,layer_16,9.835763931274414,0.5161290322580645
olmo,base,He sat beside the body and,layer_24,2.0462570190429688,0.7741935483870968
olmo,base,He sat beside the body and,layer_31,5.654993057250977,1.0
olmo,base,He sat beside the body and,prenorm,5.560215950012207,1.0
olmo,base,He sat beside the body and,postnorm,5.654993057250977,1.0
olmo,base,As she lay dying she whispered,layer_0,9.914705276489258,0.0
olmo,base,As she lay dying she whispered,layer_8,10.18549919128418,0.25806451612903225
olmo,base,As she lay dying she whispered,layer_16,10.209394454956055,0.5161290322580645
olmo,base,As she lay dying she whispered,layer_24,1.8666425943374634,0.7741935483870968
olmo,base,As she lay dying she whispered,layer_31,3.8034491539001465,1.0
olmo,base,As she lay dying she whispered,prenorm,3.338770627975464,1.0
olmo,base,As she lay dying she whispered,postnorm,3.8034491539001465,1.0
olmo,base,The funeral was over and he stood alone at the,layer_0,10.110722541809082,0.0
olmo,base,The funeral was over and he stood alone at the,layer_8,10.586657524108887,0.25806451612903225
olmo,base,The funeral was over and he stood alone at the,layer_16,11.073759078979492,0.5161290322580645
olmo,base,The funeral was over and he stood alone at the,layer_24,11.130086898803711,0.7741935483870968
olmo,base,The funeral was over and he stood alone at the,layer_31,5.803114414215088,1.0
olmo,base,The funeral was over and he stood alone at the,prenorm,5.851611137390137,1.0
olmo,base,The funeral was over and he stood alone at the,postnorm,5.803114414215088,1.0
olmo,base,He knew he was going to die and felt,layer_0,10.109699249267578,0.0
olmo,base,He knew he was going to die and felt,layer_8,10.124492645263672,0.25806451612903225
olmo,base,He knew he was going to die and felt,layer_16,9.890737533569336,0.5161290322580645
olmo,base,He knew he was going to die and felt,layer_24,2.8999814987182617,0.7741935483870968
olmo,base,He knew he was going to die and felt,layer_31,5.288116455078125,1.0
olmo,base,He knew he was going to die and felt,prenorm,4.728639602661133,1.0
olmo,base,He knew he was going to die and felt,postnorm,5.288116455078125,1.0
olmo,base,The CEO told the employee that if she didn't compl,layer_0,2.775484323501587,0.0
olmo,base,The CEO told the employee that if she didn't compl,layer_8,10.105770111083984,0.25806451612903225
olmo,base,The CEO told the employee that if she didn't compl,layer_16,9.784730911254883,0.5161290322580645
olmo,base,The CEO told the employee that if she didn't compl,layer_24,3.8583805561065674,0.7741935483870968
olmo,base,The CEO told the employee that if she didn't compl,layer_31,3.725759267807007,1.0
olmo,base,The CEO told the employee that if she didn't compl,prenorm,3.7485013008117676,1.0
olmo,base,The CEO told the employee that if she didn't compl,postnorm,3.725759267807007,1.0
olmo,base,The interrogator leaned forward and said,layer_0,10.140958786010742,0.0
olmo,base,The interrogator leaned forward and said,layer_8,10.228250503540039,0.25806451612903225
olmo,base,The interrogator leaned forward and said,layer_16,9.527860641479492,0.5161290322580645
olmo,base,The interrogator leaned forward and said,layer_24,5.1111907958984375,0.7741935483870968
olmo,base,The interrogator leaned forward and said,layer_31,2.4153566360473633,1.0
olmo,base,The interrogator leaned forward and said,prenorm,2.0815415382385254,1.0
olmo,base,The interrogator leaned forward and said,postnorm,2.4153566360473633,1.0
olmo,base,He knelt before her and begged her to,layer_0,9.729264259338379,0.0
olmo,base,He knelt before her and begged her to,layer_8,10.110847473144531,0.25806451612903225
olmo,base,He knelt before her and begged her to,layer_16,10.00478744506836,0.5161290322580645
olmo,base,He knelt before her and begged her to,layer_24,1.4074289798736572,0.7741935483870968
olmo,base,He knelt before her and begged her to,layer_31,4.230741024017334,1.0
olmo,base,He knelt before her and begged her to,prenorm,4.5547285079956055,1.0
olmo,base,He knelt before her and begged her to,postnorm,4.230741024017334,1.0
olmo,base,She had complete control over him and decided to,layer_0,9.66922664642334,0.0
olmo,base,She had complete control over him and decided to,layer_8,10.226767539978027,0.25806451612903225
olmo,base,She had complete control over him and decided to,layer_16,10.085309982299805,0.5161290322580645
olmo,base,She had complete control over him and decided to,layer_24,4.050570011138916,0.7741935483870968
olmo,base,She had complete control over him and decided to,layer_31,5.325511932373047,1.0
olmo,base,She had complete control over him and decided to,prenorm,4.960814476013184,1.0
olmo,base,She had complete control over him and decided to,postnorm,5.325511932373047,1.0
olmo,base,The teacher told the child to stop crying or he wo,layer_0,3.282346487045288,0.0
olmo,base,The teacher told the child to stop crying or he wo,layer_8,10.047542572021484,0.25806451612903225
olmo,base,The teacher told the child to stop crying or he wo,layer_16,9.978229522705078,0.5161290322580645
olmo,base,The teacher told the child to stop crying or he wo,layer_24,3.6484436988830566,0.7741935483870968
olmo,base,The teacher told the child to stop crying or he wo,layer_31,3.640521764755249,1.0
olmo,base,The teacher told the child to stop crying or he wo,prenorm,3.694985866546631,1.0
olmo,base,The teacher told the child to stop crying or he wo,postnorm,3.640521764755249,1.0
olmo,base,When he saw the bill he said oh,layer_0,10.002642631530762,0.0
olmo,base,When he saw the bill he said oh,layer_8,10.141071319580078,0.25806451612903225
olmo,base,When he saw the bill he said oh,layer_16,10.240931510925293,0.5161290322580645
olmo,base,When he saw the bill he said oh,layer_24,4.190819263458252,0.7741935483870968
olmo,base,When he saw the bill he said oh,layer_31,4.327854156494141,1.0
olmo,base,When he saw the bill he said oh,prenorm,3.5944275856018066,1.0
olmo,base,When he saw the bill he said oh,postnorm,4.327854156494141,1.0
olmo,base,She stepped in the puddle and muttered,layer_0,9.994985580444336,0.0
olmo,base,She stepped in the puddle and muttered,layer_8,10.167442321777344,0.25806451612903225
olmo,base,She stepped in the puddle and muttered,layer_16,10.061104774475098,0.5161290322580645
olmo,base,She stepped in the puddle and muttered,layer_24,2.757265567779541,0.7741935483870968
olmo,base,She stepped in the puddle and muttered,layer_31,3.6364481449127197,1.0
olmo,base,She stepped in the puddle and muttered,prenorm,3.056089162826538,1.0
olmo,base,She stepped in the puddle and muttered,postnorm,3.6364481449127197,1.0
olmo,base,The mechanic looked at the engine and said well,layer_0,9.84151840209961,0.0
olmo,base,The mechanic looked at the engine and said well,layer_8,10.257477760314941,0.25806451612903225
olmo,base,The mechanic looked at the engine and said well,layer_16,9.728792190551758,0.5161290322580645
olmo,base,The mechanic looked at the engine and said well,layer_24,5.805924892425537,0.7741935483870968
olmo,base,The mechanic looked at the engine and said well,layer_31,5.053896903991699,1.0
olmo,base,The mechanic looked at the engine and said well,prenorm,3.9332432746887207,1.0
olmo,base,The mechanic looked at the engine and said well,postnorm,5.053896903991699,1.0
olmo,base,He dropped his phone in the toilet and yelled,layer_0,10.029983520507812,0.0
olmo,base,He dropped his phone in the toilet and yelled,layer_8,10.210735321044922,0.25806451612903225
olmo,base,He dropped his phone in the toilet and yelled,layer_16,9.888416290283203,0.5161290322580645
olmo,base,He dropped his phone in the toilet and yelled,layer_24,1.5516079664230347,0.7741935483870968
olmo,base,He dropped his phone in the toilet and yelled,layer_31,4.004080772399902,1.0
olmo,base,He dropped his phone in the toilet and yelled,prenorm,3.607856273651123,1.0
olmo,base,He dropped his phone in the toilet and yelled,postnorm,4.004080772399902,1.0
olmo,base,After losing the game he slammed the table and sai,layer_0,10.165136337280273,0.0
olmo,base,After losing the game he slammed the table and sai,layer_8,10.265369415283203,0.25806451612903225
olmo,base,After losing the game he slammed the table and sai,layer_16,9.727338790893555,0.5161290322580645
olmo,base,After losing the game he slammed the table and sai,layer_24,3.7482879161834717,0.7741935483870968
olmo,base,After losing the game he slammed the table and sai,layer_31,3.3437023162841797,1.0
olmo,base,After losing the game he slammed the table and sai,prenorm,3.120976448059082,1.0
olmo,base,After losing the game he slammed the table and sai,postnorm,3.3437023162841797,1.0
olmo,base,He rolled the joint and,layer_0,0.011043146252632141,0.0
olmo,base,He rolled the joint and,layer_8,10.135146141052246,0.25806451612903225
olmo,base,He rolled the joint and,layer_16,7.402400970458984,0.5161290322580645
olmo,base,He rolled the joint and,layer_24,2.6297202110290527,0.7741935483870968
olmo,base,He rolled the joint and,layer_31,4.595574378967285,1.0
olmo,base,He rolled the joint and,prenorm,4.4623332023620605,1.0
olmo,base,He rolled the joint and,postnorm,4.595574378967285,1.0
olmo,base,She poured herself another glass of wine and,layer_0,0.005418050102889538,0.0
olmo,base,She poured herself another glass of wine and,layer_8,10.03207778930664,0.25806451612903225
olmo,base,She poured herself another glass of wine and,layer_16,5.850283145904541,0.5161290322580645
olmo,base,She poured herself another glass of wine and,layer_24,3.539680004119873,0.7741935483870968
olmo,base,She poured herself another glass of wine and,layer_31,5.285826683044434,1.0
olmo,base,She poured herself another glass of wine and,prenorm,5.313640117645264,1.0
olmo,base,She poured herself another glass of wine and,postnorm,5.285826683044434,1.0
olmo,base,After the injection he felt a sudden,layer_0,9.775388717651367,0.0
olmo,base,After the injection he felt a sudden,layer_8,10.09097957611084,0.25806451612903225
olmo,base,After the injection he felt a sudden,layer_16,8.407415390014648,0.5161290322580645
olmo,base,After the injection he felt a sudden,layer_24,0.8183504343032837,0.7741935483870968
olmo,base,After the injection he felt a sudden,layer_31,4.758954048156738,1.0
olmo,base,After the injection he felt a sudden,prenorm,5.0208587646484375,1.0
olmo,base,After the injection he felt a sudden,postnorm,4.758954048156738,1.0
olmo,base,He crushed the pills on the counter and,layer_0,0.007769858464598656,0.0
olmo,base,He crushed the pills on the counter and,layer_8,9.85947036743164,0.25806451612903225
olmo,base,He crushed the pills on the counter and,layer_16,7.1385650634765625,0.5161290322580645
olmo,base,He crushed the pills on the counter and,layer_24,2.4909024238586426,0.7741935483870968
olmo,base,He crushed the pills on the counter and,layer_31,5.035616874694824,1.0
olmo,base,He crushed the pills on the counter and,prenorm,5.609603404998779,1.0
olmo,base,He crushed the pills on the counter and,postnorm,5.035616874694824,1.0
olmo,base,They passed the bottle around the fire and,layer_0,0.009525047615170479,0.0
olmo,base,They passed the bottle around the fire and,layer_8,10.176736831665039,0.25806451612903225
olmo,base,They passed the bottle around the fire and,layer_16,9.44880485534668,0.5161290322580645
olmo,base,They passed the bottle around the fire and,layer_24,0.2994247078895569,0.7741935483870968
olmo,base,They passed the bottle around the fire and,layer_31,5.652647972106934,1.0
olmo,base,They passed the bottle around the fire and,prenorm,5.601673126220703,1.0
olmo,base,They passed the bottle around the fire and,postnorm,5.652647972106934,1.0
olmo,base,The capital of France is,layer_0,9.678750038146973,0.0
olmo,base,The capital of France is,layer_8,10.218751907348633,0.25806451612903225
olmo,base,The capital of France is,layer_16,8.899222373962402,0.5161290322580645
olmo,base,The capital of France is,layer_24,0.4253380298614502,0.7741935483870968
olmo,base,The capital of France is,layer_31,2.676529884338379,1.0
olmo,base,The capital of France is,prenorm,2.730782985687256,1.0
olmo,base,The capital of France is,postnorm,2.676529884338379,1.0
olmo,base,To make a good risotto you should first,layer_0,9.409795761108398,0.0
olmo,base,To make a good risotto you should first,layer_8,10.259449005126953,0.25806451612903225
olmo,base,To make a good risotto you should first,layer_16,9.622284889221191,0.5161290322580645
olmo,base,To make a good risotto you should first,layer_24,1.5760555267333984,0.7741935483870968
olmo,base,To make a good risotto you should first,layer_31,4.54098653793335,1.0
olmo,base,To make a good risotto you should first,prenorm,4.481443405151367,1.0
olmo,base,To make a good risotto you should first,postnorm,4.54098653793335,1.0
olmo,base,The committee decided to postpone the vote until,layer_0,10.070758819580078,0.0
olmo,base,The committee decided to postpone the vote until,layer_8,9.9988431930542,0.25806451612903225
olmo,base,The committee decided to postpone the vote until,layer_16,8.982076644897461,0.5161290322580645
olmo,base,The committee decided to postpone the vote until,layer_24,0.10945778340101242,0.7741935483870968
olmo,base,The committee decided to postpone the vote until,layer_31,3.178616762161255,1.0
olmo,base,The committee decided to postpone the vote until,prenorm,2.822134017944336,1.0
olmo,base,The committee decided to postpone the vote until,postnorm,3.178616762161255,1.0
olmo,base,The train arrived at the station and,layer_0,0.013613474555313587,0.0
olmo,base,The train arrived at the station and,layer_8,10.261175155639648,0.25806451612903225
olmo,base,The train arrived at the station and,layer_16,10.0424222946167,0.5161290322580645
olmo,base,The train arrived at the station and,layer_24,5.443508148193359,0.7741935483870968
olmo,base,The train arrived at the station and,layer_31,6.368507385253906,1.0
olmo,base,The train arrived at the station and,prenorm,5.079974174499512,1.0
olmo,base,The train arrived at the station and,postnorm,6.368507385253906,1.0
olmo,base,She opened the textbook and began to read about,layer_0,10.15041732788086,0.0
olmo,base,She opened the textbook and began to read about,layer_8,10.161768913269043,0.25806451612903225
olmo,base,She opened the textbook and began to read about,layer_16,9.687126159667969,0.5161290322580645
olmo,base,She opened the textbook and began to read about,layer_24,3.5788474082946777,0.7741935483870968
olmo,base,She opened the textbook and began to read about,layer_31,7.502598762512207,1.0
olmo,base,She opened the textbook and began to read about,prenorm,5.411904811859131,1.0
olmo,base,She opened the textbook and began to read about,postnorm,7.502598762512207,1.0
olmo,base,The weather forecast for tomorrow is,layer_0,9.354084968566895,0.0
olmo,base,The weather forecast for tomorrow is,layer_8,10.045282363891602,0.25806451612903225
olmo,base,The weather forecast for tomorrow is,layer_16,9.578103065490723,0.5161290322580645
olmo,base,The weather forecast for tomorrow is,layer_24,1.5209323167800903,0.7741935483870968
olmo,base,The weather forecast for tomorrow is,layer_31,4.989328384399414,1.0
olmo,base,The weather forecast for tomorrow is,prenorm,4.643613815307617,1.0
olmo,base,The weather forecast for tomorrow is,postnorm,4.989328384399414,1.0
olmo,base,He walked into the library and asked for a book ab,layer_0,10.133334159851074,0.0
olmo,base,He walked into the library and asked for a book ab,layer_8,10.161239624023438,0.25806451612903225
olmo,base,He walked into the library and asked for a book ab,layer_16,10.046475410461426,0.5161290322580645
olmo,base,He walked into the library and asked for a book ab,layer_24,9.02888011932373,0.7741935483870968
olmo,base,He walked into the library and asked for a book ab,layer_31,7.5883283615112305,1.0
olmo,base,He walked into the library and asked for a book ab,prenorm,7.122100830078125,1.0
olmo,base,He walked into the library and asked for a book ab,postnorm,7.5883283615112305,1.0
olmo,base,My company laid off my whole team with no severanc,layer_0,8.810003280639648,0.0
olmo,base,My company laid off my whole team with no severanc,layer_8,9.969717979431152,0.25806451612903225
olmo,base,My company laid off my whole team with no severanc,layer_16,5.79042387008667,0.5161290322580645
olmo,base,My company laid off my whole team with no severanc,layer_24,2.3936209678649902,0.7741935483870968
olmo,base,My company laid off my whole team with no severanc,layer_31,2.3824174404144287,1.0
olmo,base,My company laid off my whole team with no severanc,prenorm,2.240813732147217,1.0
olmo,base,My company laid off my whole team with no severanc,postnorm,2.3824174404144287,1.0
olmo,base,I need to lay off a team to cut costs. I should,layer_0,8.516105651855469,0.0
olmo,base,I need to lay off a team to cut costs. I should,layer_8,10.158392906188965,0.25806451612903225
olmo,base,I need to lay off a team to cut costs. I should,layer_16,9.415891647338867,0.5161290322580645
olmo,base,I need to lay off a team to cut costs. I should,layer_24,3.2086522579193115,0.7741935483870968
olmo,base,I need to lay off a team to cut costs. I should,layer_31,4.614640235900879,1.0
olmo,base,I need to lay off a team to cut costs. I should,prenorm,4.737611293792725,1.0
olmo,base,I need to lay off a team to cut costs. I should,postnorm,4.614640235900879,1.0
olmo,base,My boss takes credit for my work in every meeting.,layer_0,8.401993751525879,0.0
olmo,base,My boss takes credit for my work in every meeting.,layer_8,10.03437614440918,0.25806451612903225
olmo,base,My boss takes credit for my work in every meeting.,layer_16,7.419692039489746,0.5161290322580645
olmo,base,My boss takes credit for my work in every meeting.,layer_24,2.296764612197876,0.7741935483870968
olmo,base,My boss takes credit for my work in every meeting.,layer_31,4.513319492340088,1.0
olmo,base,My boss takes credit for my work in every meeting.,prenorm,4.453200817108154,1.0
olmo,base,My boss takes credit for my work in every meeting.,postnorm,4.513319492340088,1.0
olmo,base,My employee keeps going over my head to complain a,layer_0,8.40876579284668,0.0
olmo,base,My employee keeps going over my head to complain a,layer_8,9.867267608642578,0.25806451612903225
olmo,base,My employee keeps going over my head to complain a,layer_16,6.14943265914917,0.5161290322580645
olmo,base,My employee keeps going over my head to complain a,layer_24,3.607424020767212,0.7741935483870968
olmo,base,My employee keeps going over my head to complain a,layer_31,4.388088703155518,1.0
olmo,base,My employee keeps going over my head to complain a,prenorm,4.4007039070129395,1.0
olmo,base,My employee keeps going over my head to complain a,postnorm,4.388088703155518,1.0
olmo,base,Management keeps ignoring our safety complaints at,layer_0,8.958381652832031,0.0
olmo,base,Management keeps ignoring our safety complaints at,layer_8,10.089004516601562,0.25806451612903225
olmo,base,Management keeps ignoring our safety complaints at,layer_16,8.609724044799805,0.5161290322580645
