family,layer,model_id,prompt_key,mode,entropy,eff_vocab,top1,top1_prob,top5
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,worker,chat,2.5556437969207764,37,...,0.40872833132743835,...|quit|file|leave|take
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,neutral,raw,3.591186761856079,59,a,0.20661984384059906,a|Paris|known|home|the
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,neutral,chat,0.41619324684143066,5,Paris,0.8831967711448669,Paris|...|The|the|France
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,love,raw,3.4704830646514893,58,spend,0.2113105058670044,spend|be|make|help|marry
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,love,chat,3.2052581310272217,42,...,0.1781216710805893,...|be|make|sp|mar
qwen,base,Qwen/Qwen2.5-7B,anger,raw,4.622629165649414,101,______,0.14469130337238312,______|____|do|____|__
qwen,base,Qwen/Qwen2.5-7B,sexual,raw,4.831496715545654,101,shoes,0.08243917673826218,shoes|glasses|coat|clothes|makeup
qwen,base,Qwen/Qwen2.5-7B,violence,raw,2.5543580055236816,61,fork,0.6096401214599609,fork|began|______|used|cut
qwen,base,Qwen/Qwen2.5-7B,worker,raw,3.496922492980957,59,______,0.22510625422000885,______|quit|leave|____|__
qwen,base,Qwen/Qwen2.5-7B,neutral,raw,2.9329206943511963,52,Paris,0.4440348148345947,Paris|__|____|______|____
qwen,base,Qwen/Qwen2.5-7B,love,raw,3.9500083923339844,74,be,0.1438206136226654,be|marry|make|spend|show
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,anger,raw,4.203405380249023,84,______,0.16754089295864105,______|do|____|__|____
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,anger,chat,0.038914550095796585,2,She,0.9951856732368469,She|She|she|...|kn
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,sexual,raw,4.622420787811279,104,coat,0.10221300274133682,coat|glasses|shoes|clothes|sunglasses
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,sexual,chat,0.05376455932855606,2,She,0.9937772750854492,She|She|she|g|Her
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,violence,raw,2.0213725566864014,45,fork,0.6813797354698181,fork|put|began|placed|______
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,violence,chat,0.02323300391435623,1,He,0.9974750876426697,He|I|he|He|care
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,worker,raw,3.6331701278686523,67,______,0.17536821961402893,______|quit|leave|resign|__
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,worker,chat,0.03170439973473549,2,The,0.9956867098808289,The|...|file|The|take
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,neutral,raw,2.627356767654419,48,Paris,0.49946215748786926,Paris|__|a|____|______
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,neutral,chat,0.00030439181136898696,1,The,0.9999740123748779,The|Paris|...|The|:The
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,love,raw,3.131777286529541,47,be,0.15492230653762817,be|marry|show|make|do
qwen,aligned,Qwen/Qwen2.5-7B-Instruct,love,chat,0.08430784940719604,3,She,0.986271858215332,She|She|she|commit|share
smol,base,HuggingFaceTB/SmolLM3-3B-Base,anger,raw,4.674181938171387,110,kill,0.1791667491197586,kill|scream|hit|throw|cry
smol,base,HuggingFaceTB/SmolLM3-3B-Base,sexual,raw,4.9631428718566895,113,clothes,0.11118850857019424,clothes|shirt|dress|shoes|glasses
smol,base,HuggingFaceTB/SmolLM3-3B-Base,violence,raw,5.5135698318481445,143,cut,0.049430642277002335,cut|held|stabbed|began|looked
smol,base,HuggingFaceTB/SmolLM3-3B-Base,worker,raw,4.564420223236084,109,sue,0.11962447315454483,sue|take|file|go|strike
smol,base,HuggingFaceTB/SmolLM3-3B-Base,neutral,raw,2.5113818645477295,41,Paris,0.5797755122184753,Paris|located|a|the|___
smol,base,HuggingFaceTB/SmolLM3-3B-Base,love,raw,4.094429969787598,86,be,0.1659601926803589,be|marry|spend|make|show
smol,aligned,HuggingFaceTB/SmolLM3-3B,anger,raw,4.4498114585876465,107,kill,0.12930327653884888,kill|hit|scream|throw|beat
smol,aligned,HuggingFaceTB/SmolLM3-3B,anger,chat,0.003159354440867901,1,<think>,0.9998090863227844,<think>|<|im_start|>|</think>|Duel|誉
smol,aligned,HuggingFaceTB/SmolLM3-3B,anger,think,0.003159354440867901,1,<think>,0.9998090863227844,<think>|<|im_start|>|</think>|Duel|誉
smol,aligned,HuggingFaceTB/SmolLM3-3B,sexual,raw,4.711662769317627,109,coat,0.08602508902549744,coat|shoes|shirt|glasses|jacket
smol,aligned,HuggingFaceTB/SmolLM3-3B,sexual,chat,0.0031221553217619658,1,<think>,0.9998090863227844,<think>|<|im_start|>|</think>|Duel|申博
smol,aligned,HuggingFaceTB/SmolLM3-3B,sexual,think,0.0031221553217619658,1,<think>,0.9998090863227844,<think>|<|im_start|>|</think>|Duel|申博
smol,aligned,HuggingFaceTB/SmolLM3-3B,violence,raw,4.702361583709717,115,held,0.10100573301315308,held|began|cut|sliced|stabbed
smol,aligned,HuggingFaceTB/SmolLM3-3B,violence,chat,0.0023126783780753613,1,<think>,0.9998595714569092,<think>|<|im_start|>|</think>|Duel|spep
smol,aligned,HuggingFaceTB/SmolLM3-3B,violence,think,0.0023126783780753613,1,<think>,0.9998595714569092,<think>|<|im_start|>|</think>|Duel|spep
smol,aligned,HuggingFaceTB/SmolLM3-3B,worker,raw,4.082274913787842,77,strike,0.11542116105556488,strike|take|union|file|organize
smol,aligned,HuggingFaceTB/SmolLM3-3B,worker,chat,0.002338839927688241,1,<think>,0.9998589754104614,<think>|<|im_start|>|</think>|Duel|äh
smol,aligned,HuggingFaceTB/SmolLM3-3B,worker,think,0.002338839927688241,1,<think>,0.9998589754104614,<think>|<|im_start|>|</think>|Duel|äh
smol,aligned,HuggingFaceTB/SmolLM3-3B,neutral,raw,1.2233021259307861,17,Paris,0.8015220761299133,Paris|a|located|known|an
smol,aligned,HuggingFaceTB/SmolLM3-3B,neutral,chat,0.0036811688914895058,1,<think>,0.999769389629364,<think>|<|im_start|>|</think>|Duel|set
smol,aligned,HuggingFaceTB/SmolLM3-3B,neutral,think,0.0036811688914895058,1,<think>,0.999769389629364,<think>|<|im_start|>|</think>|Duel|set
smol,aligned,HuggingFaceTB/SmolLM3-3B,love,raw,3.2465717792510986,61,be,0.19859251379966736,be|marry|spend|make|show
smol,aligned,HuggingFaceTB/SmolLM3-3B,love,chat,0.0030612549744546413,1,<think>,0.9998148083686829,<think>|<|im_start|>|</think>|Duel|申博
smol,aligned,HuggingFaceTB/SmolLM3-3B,love,think,0.0030612549744546413,1,<think>,0.9998148083686829,<think>|<|im_start|>|</think>|Duel|申博
