family,stage,prompt,layer,h_attention,h_value_proj
llama,base,She loved him and hated him and wanted to,29,0.41396256419830024,2.365722894668579
llama,base,She loved him and hated him and wanted to,30,0.7131834886968136,0.9209677577018738
llama,base,She loved him and hated him and wanted to,31,0.8094504113541916,1.1098881959915161
llama,base,Our company cut our health benefits and increased ,0,1.3016374740927574,11.614082336425781
llama,base,Our company cut our health benefits and increased ,1,0.6658493475988507,10.489383697509766
llama,base,Our company cut our health benefits and increased ,2,0.3717871514891158,9.693300247192383
llama,base,Our company cut our health benefits and increased ,3,0.6939158937893808,9.32872200012207
llama,base,Our company cut our health benefits and increased ,4,0.7882853818591684,9.494309425354004
llama,base,Our company cut our health benefits and increased ,5,0.7443722890457138,9.114011764526367
llama,base,Our company cut our health benefits and increased ,6,1.0413573402911425,9.310035705566406
llama,base,Our company cut our health benefits and increased ,7,1.297203146852553,8.942550659179688
llama,base,Our company cut our health benefits and increased ,8,1.5422298340126872,9.194149017333984
llama,base,Our company cut our health benefits and increased ,9,1.5699563585221767,8.69495964050293
llama,base,Our company cut our health benefits and increased ,10,1.2012210267130286,7.439840316772461
llama,base,Our company cut our health benefits and increased ,11,1.4494539913721383,9.226181030273438
llama,base,Our company cut our health benefits and increased ,12,1.7485408838838339,8.239322662353516
llama,base,Our company cut our health benefits and increased ,13,1.5741381933912635,9.022224426269531
llama,base,Our company cut our health benefits and increased ,14,1.497750127222389,8.898199081420898
llama,base,Our company cut our health benefits and increased ,15,1.3830759045667946,9.366758346557617
llama,base,Our company cut our health benefits and increased ,16,1.1753842785255983,9.42562484741211
llama,base,Our company cut our health benefits and increased ,17,0.8675403208471835,9.114686965942383
llama,base,Our company cut our health benefits and increased ,18,0.9212290327996016,9.013660430908203
llama,base,Our company cut our health benefits and increased ,19,0.6281909667886794,9.680724143981934
llama,base,Our company cut our health benefits and increased ,20,0.7332551185972989,3.75653076171875
llama,base,Our company cut our health benefits and increased ,21,0.8592788823880255,9.608640670776367
llama,base,Our company cut our health benefits and increased ,22,0.6509663290344179,10.181662559509277
llama,base,Our company cut our health benefits and increased ,23,0.5741540358867496,8.83068561553955
llama,base,Our company cut our health benefits and increased ,24,0.344715386047028,8.966011047363281
llama,base,Our company cut our health benefits and increased ,25,0.3759671507868916,9.909097671508789
llama,base,Our company cut our health benefits and increased ,26,0.5636241292813793,10.042954444885254
llama,base,Our company cut our health benefits and increased ,27,0.46866492147091776,9.499809265136719
llama,base,Our company cut our health benefits and increased ,28,0.5704757324419916,8.953742980957031
llama,base,Our company cut our health benefits and increased ,29,0.5119752499740571,2.5499095916748047
llama,base,Our company cut our health benefits and increased ,30,0.7312067379243672,0.8680922389030457
llama,base,Our company cut our health benefits and increased ,31,0.7756336140300846,0.8908398151397705
llama,base,Management keeps ignoring our safety complaints at,0,1.1800000344884722,11.607475280761719
llama,base,Management keeps ignoring our safety complaints at,1,0.6477337698452175,10.480199813842773
llama,base,Management keeps ignoring our safety complaints at,2,0.3470201115706004,9.69995403289795
llama,base,Management keeps ignoring our safety complaints at,3,0.7161970506422222,9.34307861328125
llama,base,Management keeps ignoring our safety complaints at,4,0.8432495910674334,9.511138916015625
llama,base,Management keeps ignoring our safety complaints at,5,0.8708931772271171,9.151612281799316
llama,base,Management keeps ignoring our safety complaints at,6,0.9163345007691532,9.332574844360352
llama,base,Management keeps ignoring our safety complaints at,7,1.2128380229696631,9.046018600463867
llama,base,Management keeps ignoring our safety complaints at,8,1.583135409746319,9.280935287475586
llama,base,Management keeps ignoring our safety complaints at,9,1.3166189659386873,9.195587158203125
llama,base,Management keeps ignoring our safety complaints at,10,1.2810915939044207,8.283611297607422
llama,base,Management keeps ignoring our safety complaints at,11,1.4740704810246825,9.32275104522705
llama,base,Management keeps ignoring our safety complaints at,12,1.4893726836889982,8.542622566223145
llama,base,Management keeps ignoring our safety complaints at,13,1.5978251127526164,7.811295986175537
llama,base,Management keeps ignoring our safety complaints at,14,1.3461907622404397,9.193428039550781
llama,base,Management keeps ignoring our safety complaints at,15,1.2673284471093211,9.248451232910156
llama,base,Management keeps ignoring our safety complaints at,16,1.0829771378776059,9.308369636535645
llama,base,Management keeps ignoring our safety complaints at,17,0.8249084721319377,9.079273223876953
llama,base,Management keeps ignoring our safety complaints at,18,0.9464254206977785,9.10698413848877
llama,base,Management keeps ignoring our safety complaints at,19,0.6789104142226279,9.582343101501465
llama,base,Management keeps ignoring our safety complaints at,20,0.6351747307926416,3.8668344020843506
llama,base,Management keeps ignoring our safety complaints at,21,0.7799754166044295,9.60960578918457
llama,base,Management keeps ignoring our safety complaints at,22,0.6579042198136449,10.176000595092773
llama,base,Management keeps ignoring our safety complaints at,23,0.5975573144387454,8.934683799743652
llama,base,Management keeps ignoring our safety complaints at,24,0.3315835261018947,8.938470840454102
llama,base,Management keeps ignoring our safety complaints at,25,0.4011798766441643,9.899871826171875
llama,base,Management keeps ignoring our safety complaints at,26,0.5981532104779035,10.061014175415039
llama,base,Management keeps ignoring our safety complaints at,27,0.4290704110171646,9.555036544799805
llama,base,Management keeps ignoring our safety complaints at,28,0.5540753505192697,9.094926834106445
llama,base,Management keeps ignoring our safety complaints at,29,0.4999366085976362,2.4787397384643555
llama,base,Management keeps ignoring our safety complaints at,30,0.7367877955548465,0.912108838558197
llama,base,Management keeps ignoring our safety complaints at,31,0.7328510560764698,0.8353756070137024
llama,aligned,She was so angry she wanted to,0,0.8442553661751058,11.555761337280273
llama,aligned,She was so angry she wanted to,1,0.6289577484130859,10.514881134033203
llama,aligned,She was so angry she wanted to,2,0.3948445968417218,9.780172348022461
llama,aligned,She was so angry she wanted to,3,0.55676871817559,9.350384712219238
llama,aligned,She was so angry she wanted to,4,0.5747776778880507,9.54407024383545
llama,aligned,She was so angry she wanted to,5,0.636074022622779,9.323402404785156
llama,aligned,She was so angry she wanted to,6,0.8123692867811769,9.483711242675781
llama,aligned,She was so angry she wanted to,7,0.9046117656398565,9.391977310180664
llama,aligned,She was so angry she wanted to,8,0.9889851380139589,9.37070083618164
llama,aligned,She was so angry she wanted to,9,0.8842668730067089,9.333288192749023
llama,aligned,She was so angry she wanted to,10,0.7613340732641518,8.895626068115234
llama,aligned,She was so angry she wanted to,11,0.9059837306849658,9.15864372253418
llama,aligned,She was so angry she wanted to,12,1.0453597959131002,9.285807609558105
llama,aligned,She was so angry she wanted to,13,0.7372954452876002,9.23129653930664
llama,aligned,She was so angry she wanted to,14,0.811200194992125,9.38150691986084
llama,aligned,She was so angry she wanted to,15,0.8874979892279953,9.295681953430176
llama,aligned,She was so angry she wanted to,16,0.6228775555791799,9.434274673461914
llama,aligned,She was so angry she wanted to,17,0.6499887938261963,9.282849311828613
llama,aligned,She was so angry she wanted to,18,0.5161820887587965,8.536375999450684
llama,aligned,She was so angry she wanted to,19,0.4008510513231158,9.732721328735352
llama,aligned,She was so angry she wanted to,20,0.40388382074888796,3.839193820953369
llama,aligned,She was so angry she wanted to,21,0.6048197252675891,9.594562530517578
llama,aligned,She was so angry she wanted to,22,0.41937938006594777,10.263165473937988
llama,aligned,She was so angry she wanted to,23,0.3885666741989553,9.235000610351562
llama,aligned,She was so angry she wanted to,24,0.2895408901385963,9.115642547607422
llama,aligned,She was so angry she wanted to,25,0.3300609415746294,9.7938871383667
llama,aligned,She was so angry she wanted to,26,0.48320487525779754,9.633800506591797
llama,aligned,She was so angry she wanted to,27,0.3969841619255021,9.628264427185059
llama,aligned,She was so angry she wanted to,28,0.5533937809523195,9.503782272338867
llama,aligned,She was so angry she wanted to,29,0.3990103602409363,2.8287720680236816
llama,aligned,She was so angry she wanted to,30,0.7081341897137463,0.8931652903556824
llama,aligned,She was so angry she wanted to,31,0.698470183648169,1.4492309093475342
llama,aligned,She kneeled and reached for his,0,0.9108266588207821,11.660517692565918
llama,aligned,She kneeled and reached for his,1,0.6630999939516187,10.525128364562988
llama,aligned,She kneeled and reached for his,2,0.4052422424865654,9.790400505065918
llama,aligned,She kneeled and reached for his,3,0.6363167848903686,9.36435604095459
llama,aligned,She kneeled and reached for his,4,0.7212610917631537,9.567625999450684
llama,aligned,She kneeled and reached for his,5,0.7094241297163535,9.397308349609375
llama,aligned,She kneeled and reached for his,6,0.8610937329940498,9.46722412109375
llama,aligned,She kneeled and reached for his,7,0.9695787793025374,9.402619361877441
llama,aligned,She kneeled and reached for his,8,0.8508566949749365,9.313559532165527
llama,aligned,She kneeled and reached for his,9,0.9091354561969638,9.138568878173828
llama,aligned,She kneeled and reached for his,10,0.7789843510836363,9.036304473876953
llama,aligned,She kneeled and reached for his,11,1.0436692470684648,9.212385177612305
llama,aligned,She kneeled and reached for his,12,1.0503359716385603,9.292734146118164
llama,aligned,She kneeled and reached for his,13,0.8170765042304993,9.329638481140137
llama,aligned,She kneeled and reached for his,14,0.815724250394851,8.464900016784668
llama,aligned,She kneeled and reached for his,15,0.9619397574424511,9.259098052978516
llama,aligned,She kneeled and reached for his,16,0.6275500513147563,9.445686340332031
llama,aligned,She kneeled and reached for his,17,0.652295729261823,9.2412109375
llama,aligned,She kneeled and reached for his,18,0.5725203606998548,8.881219863891602
llama,aligned,She kneeled and reached for his,19,0.3433892239117995,9.381959915161133
llama,aligned,She kneeled and reached for his,20,0.4979537174804136,4.049216270446777
llama,aligned,She kneeled and reached for his,21,0.5588404077570885,9.486882209777832
llama,aligned,She kneeled and reached for his,22,0.4271310167387128,10.227201461791992
llama,aligned,She kneeled and reached for his,23,0.42850456177257,9.386611938476562
llama,aligned,She kneeled and reached for his,24,0.24088804062921554,9.017705917358398
llama,aligned,She kneeled and reached for his,25,0.27607429679483175,9.82574462890625
llama,aligned,She kneeled and reached for his,26,0.3555793210398406,9.270726203918457
llama,aligned,She kneeled and reached for his,27,0.301605180487968,9.688558578491211
llama,aligned,She kneeled and reached for his,28,0.47878487640991807,9.407997131347656
llama,aligned,She kneeled and reached for his,29,0.35897909314371645,2.9827799797058105
llama,aligned,She kneeled and reached for his,30,0.5834670311305672,0.9661767482757568
llama,aligned,She kneeled and reached for his,31,0.5748763761948794,2.311626672744751
llama,aligned,The capital of France is,0,0.8477002782270402,11.688432693481445
llama,aligned,The capital of France is,1,0.5982352336868644,10.605306625366211
llama,aligned,The capital of France is,2,0.38380976721600746,9.783766746520996
llama,aligned,The capital of France is,3,0.6462482679635286,9.359260559082031
llama,aligned,The capital of France is,4,0.7243347612675279,9.553596496582031
llama,aligned,The capital of France is,5,0.6178351128473878,9.338146209716797
llama,aligned,The capital of France is,6,0.5917208141181618,9.514656066894531
llama,aligned,The capital of France is,7,0.7512728511355817,9.224960327148438
llama,aligned,The capital of France is,8,0.7542562109883875,9.543573379516602
llama,aligned,The capital of France is,9,0.7691990695893764,9.399822235107422
llama,aligned,The capital of France is,10,0.6944340355694294,9.044078826904297
llama,aligned,The capital of France is,11,0.6702093554195017,9.309696197509766
llama,aligned,The capital of France is,12,1.031871860846877,9.457979202270508
llama,aligned,The capital of France is,13,0.8808296930510551,9.249771118164062
llama,aligned,The capital of France is,14,0.8219224733766168,8.993988990783691
llama,aligned,The capital of France is,15,0.7797901231097057,9.273258209228516
llama,aligned,The capital of France is,16,0.8686736942036077,9.577614784240723
llama,aligned,The capital of France is,17,0.7146085556596518,9.263598442077637
llama,aligned,The capital of France is,18,0.4734079570043832,8.472657203674316
llama,aligned,The capital of France is,19,0.3383739179116674,9.714494705200195
llama,aligned,The capital of France is,20,0.42697564396075904,3.877078056335449
llama,aligned,The capital of France is,21,0.4836286956560798,9.534679412841797
llama,aligned,The capital of France is,22,0.4341269046999514,10.316523551940918
llama,aligned,The capital of France is,23,0.3748479927890003,9.360503196716309
llama,aligned,The capital of France is,24,0.27273732714820653,9.061542510986328
llama,aligned,The capital of France is,25,0.2739277723012492,9.809874534606934
llama,aligned,The capital of France is,26,0.424468235578388,9.617300033569336
llama,aligned,The capital of France is,27,0.37374049064237624,9.70865249633789
llama,aligned,The capital of France is,28,0.5028532664291561,9.382543563842773
llama,aligned,The capital of France is,29,0.3862834358587861,2.8992395401000977
llama,aligned,The capital of France is,30,0.7031331993639469,0.8611810207366943
llama,aligned,The capital of France is,31,0.5847460356308147,1.4944870471954346
llama,aligned,She loved him and hated him and wanted to,0,1.064511111944781,11.573366165161133
llama,aligned,She loved him and hated him and wanted to,1,0.6695460532791913,10.563665390014648
llama,aligned,She loved him and hated him and wanted to,2,0.3597366091416916,9.791621208190918
llama,aligned,She loved him and hated him and wanted to,3,0.5448705537710339,9.3825101852417
llama,aligned,She loved him and hated him and wanted to,4,0.6955464626662433,9.530181884765625
llama,aligned,She loved him and hated him and wanted to,5,0.8572168797254562,9.336153984069824
llama,aligned,She loved him and hated him and wanted to,6,1.0607462995685637,9.398387908935547
llama,aligned,She loved him and hated him and wanted to,7,1.2706675291992724,9.312840461730957
llama,aligned,She loved him and hated him and wanted to,8,1.1657885878812522,9.249346733093262
llama,aligned,She loved him and hated him and wanted to,9,1.2198200500570238,9.158524513244629
llama,aligned,She loved him and hated him and wanted to,10,1.0299481971887872,9.160553932189941
llama,aligned,She loved him and hated him and wanted to,11,1.3365389415994287,9.108366012573242
llama,aligned,She loved him and hated him and wanted to,12,1.2913566622883081,9.311591148376465
llama,aligned,She loved him and hated him and wanted to,13,1.2093125144019723,8.918158531188965
llama,aligned,She loved him and hated him and wanted to,14,1.1255762255750597,9.602773666381836
llama,aligned,She loved him and hated him and wanted to,15,1.1334463730745483,9.302008628845215
llama,aligned,She loved him and hated him and wanted to,16,0.9506112323724665,9.438971519470215
llama,aligned,She loved him and hated him and wanted to,17,0.8512616031803191,9.27298355102539
llama,aligned,She loved him and hated him and wanted to,18,0.7987007597694173,7.689053058624268
llama,aligned,She loved him and hated him and wanted to,19,0.6055603129789233,9.709355354309082
llama,aligned,She loved him and hated him and wanted to,20,0.5683292519534007,3.769486904144287
llama,aligned,She loved him and hated him and wanted to,21,0.7355405923444778,9.530147552490234
llama,aligned,She loved him and hated him and wanted to,22,0.6040487999562174,10.249787330627441
llama,aligned,She loved him and hated him and wanted to,23,0.4981628042878583,9.202836990356445
llama,aligned,She loved him and hated him and wanted to,24,0.3601460089557804,9.10194206237793
llama,aligned,She loved him and hated him and wanted to,25,0.3802348447497934,9.893142700195312
llama,aligned,She loved him and hated him and wanted to,26,0.5555136818438768,9.432809829711914
llama,aligned,She loved him and hated him and wanted to,27,0.4922362882643938,9.630863189697266
llama,aligned,She loved him and hated him and wanted to,28,0.6764591690152884,9.55630111694336
llama,aligned,She loved him and hated him and wanted to,29,0.46294665476307273,2.647153377532959
llama,aligned,She loved him and hated him and wanted to,30,0.7886953642591834,1.0076758861541748
llama,aligned,She loved him and hated him and wanted to,31,0.8245590021833777,2.2695999145507812
llama,aligned,Our company cut our health benefits and increased ,0,1.3581743090396117,11.627147674560547
llama,aligned,Our company cut our health benefits and increased ,1,0.7121631717309356,10.626077651977539
llama,aligned,Our company cut our health benefits and increased ,2,0.4482357128581498,9.800336837768555
llama,aligned,Our company cut our health benefits and increased ,3,0.7526489868760109,9.400564193725586
llama,aligned,Our company cut our health benefits and increased ,4,0.8489897134713829,9.543102264404297
llama,aligned,Our company cut our health benefits and increased ,5,0.7806534341652878,9.313526153564453
llama,aligned,Our company cut our health benefits and increased ,6,1.1492275949567556,9.452689170837402
llama,aligned,Our company cut our health benefits and increased ,7,1.4182170922867954,8.91421127319336
llama,aligned,Our company cut our health benefits and increased ,8,1.458674275316298,9.315200805664062
llama,aligned,Our company cut our health benefits and increased ,9,1.4990161638706923,9.176523208618164
llama,aligned,Our company cut our health benefits and increased ,10,1.0849315142259002,8.398956298828125
llama,aligned,Our company cut our health benefits and increased ,11,1.292350949253887,9.374123573303223
llama,aligned,Our company cut our health benefits and increased ,12,1.7060917895287275,7.91981315612793
llama,aligned,Our company cut our health benefits and increased ,13,1.2402325496077538,8.57657527923584
llama,aligned,Our company cut our health benefits and increased ,14,1.1809856677427888,8.690650939941406
llama,aligned,Our company cut our health benefits and increased ,15,1.1506502664997242,9.414273262023926
llama,aligned,Our company cut our health benefits and increased ,16,1.0207673500990495,9.599090576171875
llama,aligned,Our company cut our health benefits and increased ,17,0.8175611766055226,9.295514106750488
llama,aligned,Our company cut our health benefits and increased ,18,0.7456179292639717,8.544495582580566
llama,aligned,Our company cut our health benefits and increased ,19,0.5300271243322641,9.706558227539062
llama,aligned,Our company cut our health benefits and increased ,20,0.6480741344857961,3.8388006687164307
llama,aligned,Our company cut our health benefits and increased ,21,0.7759115998633206,9.611709594726562
llama,aligned,Our company cut our health benefits and increased ,22,0.6663046753965318,10.260705947875977
llama,aligned,Our company cut our health benefits and increased ,23,0.5750202159397304,9.269933700561523
llama,aligned,Our company cut our health benefits and increased ,24,0.3849566839635372,8.896751403808594
llama,aligned,Our company cut our health benefits and increased ,25,0.3655912027461454,9.880668640136719
llama,aligned,Our company cut our health benefits and increased ,26,0.6050024221185595,9.965166091918945
llama,aligned,Our company cut our health benefits and increased ,27,0.46048916317522526,9.58812141418457
llama,aligned,Our company cut our health benefits and increased ,28,0.577021247241646,9.338041305541992
llama,aligned,Our company cut our health benefits and increased ,29,0.5397422462701797,2.771139144897461
llama,aligned,Our company cut our health benefits and increased ,30,0.8368711899966002,0.9301450848579407
llama,aligned,Our company cut our health benefits and increased ,31,0.7157540839980356,1.5652104616165161
llama,aligned,Management keeps ignoring our safety complaints at,0,1.2266786842856163,11.620710372924805
llama,aligned,Management keeps ignoring our safety complaints at,1,0.6757790711708367,10.614654541015625
llama,aligned,Management keeps ignoring our safety complaints at,2,0.40973981742718024,9.806111335754395
llama,aligned,Management keeps ignoring our safety complaints at,3,0.7285891934297979,9.400876998901367
llama,aligned,Management keeps ignoring our safety complaints at,4,0.8672765572555363,9.554393768310547
llama,aligned,Management keeps ignoring our safety complaints at,5,0.8592877649352886,9.287956237792969
llama,aligned,Management keeps ignoring our safety complaints at,6,0.9741333210840821,9.464174270629883
llama,aligned,Management keeps ignoring our safety complaints at,7,1.3190292960498482,9.03125286102295
llama,aligned,Management keeps ignoring our safety complaints at,8,1.4899517993908376,9.360738754272461
llama,aligned,Management keeps ignoring our safety complaints at,9,1.318512643687427,9.360015869140625
llama,aligned,Management keeps ignoring our safety complaints at,10,1.2102067228406668,8.312849044799805
llama,aligned,Management keeps ignoring our safety complaints at,11,1.325458382256329,9.410264015197754
llama,aligned,Management keeps ignoring our safety complaints at,12,1.4461016040295362,8.80828857421875
llama,aligned,Management keeps ignoring our safety complaints at,13,1.3003092999570072,8.349888801574707
llama,aligned,Management keeps ignoring our safety complaints at,14,1.2329014227725565,9.314543724060059
llama,aligned,Management keeps ignoring our safety complaints at,15,1.0958551336661913,9.450750350952148
llama,aligned,Management keeps ignoring our safety complaints at,16,1.001564472564496,9.563478469848633
llama,aligned,Management keeps ignoring our safety complaints at,17,0.8395184590481222,9.286938667297363
llama,aligned,Management keeps ignoring our safety complaints at,18,0.8311677577439696,8.090641021728516
llama,aligned,Management keeps ignoring our safety complaints at,19,0.5751014455454424,9.671420097351074
llama,aligned,Management keeps ignoring our safety complaints at,20,0.6781538068316877,3.9386463165283203
