family,layer,prompt,gen_idx,window,violence_proj,procedural_proj,sexual_proj
olmo,base,anger,9,5,0.07869959,0.09627353,-0.067735985
olmo,base,anger,9,10,0.09041136,0.07742716,-0.043259904
olmo,base,anger,9,15,0.09609709,0.067145064,-0.01179836
olmo,base,anger,9,20,0.089749105,0.041954264,-0.041062534
olmo,base,anger,9,30,0.091027185,0.046482027,-0.039984025
olmo,base,anger,9,49,0.13358796,0.004157915,-0.08304279
olmo,superego,anger,0,5,0.10541568,0.07381983,-0.093069375
olmo,superego,anger,0,10,0.10851362,0.030632686,-0.0852834
olmo,superego,anger,0,15,0.06055965,0.083365254,-0.08844395
olmo,superego,anger,0,20,0.085510924,0.05237543,-0.09743079
olmo,superego,anger,0,30,0.08431967,0.071616516,-0.037784707
olmo,superego,anger,0,49,0.07061489,0.06813552,-0.02189477
olmo,superego,anger,1,5,0.09292937,-0.019448902,-0.07861153
olmo,superego,anger,1,10,0.12112138,-0.04884707,-0.029442968
olmo,superego,anger,1,15,0.13849366,-0.010497585,-0.01524752
olmo,superego,anger,1,20,0.12560928,-0.021746412,-0.0047325315
olmo,superego,anger,1,30,0.17133692,-0.005032704,-0.020572178
olmo,superego,anger,1,49,0.12594329,0.030264301,-0.018630737
olmo,superego,anger,2,5,0.06834595,-0.024555635,-0.024079788
olmo,superego,anger,2,10,0.111648396,-0.002086102,-0.0135210585
olmo,superego,anger,2,15,0.10813612,0.010076614,-0.0117377825
olmo,superego,anger,2,20,0.10143179,-0.0008300077,-0.02624117
olmo,superego,anger,2,30,0.13136698,-0.004334259,-0.04361373
olmo,superego,anger,2,49,0.12218865,-0.03690563,-0.031054081
olmo,superego,anger,3,5,0.03817852,0.036061585,-0.035806395
olmo,superego,anger,3,10,0.047667835,0.13152236,-0.0015674457
olmo,superego,anger,3,15,0.06781938,0.09971606,-0.0458408
olmo,superego,anger,3,20,0.057117354,0.122507736,-0.037393935
olmo,superego,anger,3,30,0.08295134,0.12917994,-0.020656832
olmo,superego,anger,3,49,0.089894556,0.10777284,-0.03386693
olmo,superego,anger,4,5,0.058400784,0.09604344,-0.07865817
olmo,superego,anger,4,10,0.098917015,0.03685823,-0.08252207
olmo,superego,anger,4,15,0.111487225,0.045343015,-0.09102238
olmo,superego,anger,4,20,0.12019828,0.028430343,-0.102186725
olmo,superego,anger,4,30,0.1143251,0.033199523,-0.080140695
olmo,superego,anger,4,49,0.11798577,0.04220584,-0.07425001
olmo,superego,anger,5,5,0.02023725,0.14842257,-0.09566971
olmo,superego,anger,5,10,0.046431005,0.111148514,-0.04043626
olmo,superego,anger,5,15,0.027182057,0.09103027,-0.043781545
olmo,superego,anger,5,20,0.03850445,0.07679791,-0.044745114
olmo,superego,anger,5,30,0.051253915,0.07062799,-0.05164846
olmo,superego,anger,5,49,0.045165703,0.09210506,-0.07036066
olmo,superego,anger,6,5,-0.022882953,0.041335832,-0.08042246
olmo,superego,anger,6,10,0.0043899547,0.06601969,-0.07293855
olmo,superego,anger,6,15,0.016588295,0.064353615,-0.08592062
olmo,superego,anger,6,20,0.038289182,0.0012487331,-0.062757924
olmo,superego,anger,6,30,0.062931925,0.017140135,-0.0437986
olmo,superego,anger,6,49,0.07252461,0.019294765,-0.05187359
olmo,superego,anger,7,5,0.074969836,0.1115699,-0.048964072
olmo,superego,anger,7,10,0.09693262,0.07129368,-0.03169953
olmo,superego,anger,7,15,0.10091432,0.10624632,-0.032816403
olmo,superego,anger,7,20,0.10999732,0.10375054,-0.045258593
olmo,superego,anger,7,30,0.09873037,0.14365597,-0.045101345
olmo,superego,anger,7,49,0.100145325,0.13064583,-0.046192035
olmo,superego,anger,8,5,0.03832446,0.036963582,-0.04139019
olmo,superego,anger,8,10,0.0195151,0.06017957,-0.068569005
olmo,superego,anger,8,15,-0.006879512,0.07659876,-0.079725124
olmo,superego,anger,8,20,-0.021707822,0.08379197,-0.074255206
olmo,superego,anger,8,30,0.019137228,0.10678902,-0.048116453
olmo,superego,anger,8,49,0.059839115,0.07578858,-0.051778685
olmo,superego,anger,9,5,0.028275948,0.059961077,-0.0955217
olmo,superego,anger,9,10,0.06534681,0.06595379,-0.11865626
olmo,superego,anger,9,15,0.10360642,0.07133442,-0.09156213
olmo,superego,anger,9,20,0.13586754,0.02951152,-0.09779095
olmo,superego,anger,9,30,0.14665857,0.007305898,-0.07538884
olmo,superego,anger,9,49,0.11956824,0.03615006,-0.06302525
olmo,base,worker,0,5,0.0476128,0.05037131,-0.103804335
olmo,base,worker,0,10,-0.03714928,0.044188697,-0.005689906
olmo,base,worker,0,15,-0.0059457514,0.05074288,-0.012733404
olmo,base,worker,0,20,0.016110074,0.045141473,-0.027555091
olmo,base,worker,0,30,0.019292666,0.05227085,-0.04588554
olmo,base,worker,0,49,0.10363047,0.10720747,0.049232956
olmo,base,worker,1,5,0.1303219,0.20959508,-0.09411281
olmo,base,worker,1,10,0.14601782,0.18554601,-0.08705985
olmo,base,worker,1,15,0.121256374,0.08783334,-0.09089501
olmo,base,worker,1,20,0.10332938,0.07888598,-0.11326676
olmo,base,worker,1,30,0.081003994,0.1317389,-0.13002187
olmo,base,worker,1,49,0.07362568,0.059629165,-0.10188812
olmo,base,worker,2,5,-0.031039573,0.116032474,-0.037744403
olmo,base,worker,2,10,-0.02045849,0.03910754,-0.08867606
olmo,base,worker,2,15,0.029513422,0.14567177,-0.13243505
olmo,base,worker,2,20,0.060030416,0.12984893,-0.11811581
olmo,base,worker,2,30,0.06955165,0.025198434,-0.1434556
olmo,base,worker,2,49,0.06256357,-0.025507413,-0.13054442
olmo,base,worker,3,5,0.09133554,0.29735082,-0.07022407
olmo,base,worker,3,10,0.09556688,0.27635598,-0.08913266
olmo,base,worker,3,15,0.09891266,0.2720886,-0.09123029
olmo,base,worker,3,20,0.12679747,0.27955908,-0.09444597
olmo,base,worker,3,30,0.120743856,0.28137568,-0.08058812
olmo,base,worker,3,49,0.11907163,0.28746957,-0.0958803
olmo,base,worker,4,5,0.04165101,0.049837485,-0.026597619
olmo,base,worker,4,10,0.025352295,0.03317646,-0.08052309
olmo,base,worker,4,15,0.046342745,0.029426519,-0.07464968
olmo,base,worker,4,20,0.07813411,0.031083472,-0.07978971
olmo,base,worker,4,30,0.10220817,0.037720747,-0.08534823
olmo,base,worker,4,49,0.072412,-0.0106424475,-0.044160746
olmo,base,worker,5,5,0.006786462,0.17490438,-0.066565864
olmo,base,worker,5,10,-0.06073769,0.10381943,-0.030266736
olmo,base,worker,5,15,-0.019344054,0.057375774,-0.06629009
olmo,base,worker,5,20,-0.020935414,0.06721238,-0.042620327
olmo,base,worker,5,30,0.027297817,0.073000856,-0.059222296
olmo,base,worker,5,49,0.07805486,0.04740495,-0.11004448
olmo,base,worker,6,5,0.05470113,0.07305154,-0.041482233
olmo,base,worker,6,10,0.12538868,0.18053877,-0.0870865
olmo,base,worker,6,15,0.1696726,0.1820837,-0.071023926
olmo,base,worker,6,20,0.044337954,0.124342635,-0.05857428
olmo,base,worker,6,30,0.057991747,0.02079655,-0.059998915
olmo,base,worker,6,49,0.043584157,0.054665003,-0.06128382
olmo,base,worker,7,5,0.058209646,0.0027786894,-0.06666297
olmo,base,worker,7,10,0.101475224,0.045160934,-0.019036217
olmo,base,worker,7,15,0.07797158,0.06433983,-0.07371782
olmo,base,worker,7,20,0.079653405,0.061765503,-0.06533264
olmo,base,worker,7,30,0.0850898,0.084173605,-0.073744684
olmo,base,worker,7,49,0.06506435,0.12104609,-0.09679298
olmo,base,worker,8,5,0.0051629916,-0.02507025,-0.048711836
olmo,base,worker,8,10,0.036000367,0.017873261,-0.014769549
olmo,base,worker,8,15,0.02596078,0.080474675,-0.0518369
olmo,base,worker,8,20,0.036091186,0.061954718,0.01867794
olmo,base,worker,8,30,0.023211325,0.061710376,-0.01780738
olmo,base,worker,8,49,-0.020712623,0.1127779,-0.005323041
olmo,base,worker,9,5,-0.009713627,0.025493484,-0.10249722
olmo,base,worker,9,10,0.030473068,-0.0070786504,-0.11153045
olmo,base,worker,9,15,0.13222362,0.00020364439,-0.10090476
olmo,base,worker,9,20,0.11431525,-0.037729975,-0.09775827
olmo,base,worker,9,30,0.11924882,0.044006765,-0.10150492
olmo,base,worker,9,49,0.16573386,0.0026787594,-0.03063985
olmo,superego,worker,0,5,0.019136999,-0.05739098,-0.082736
olmo,superego,worker,0,10,0.028302863,-0.09182096,-0.045804176
olmo,superego,worker,0,15,0.0025351364,-0.11758787,-0.069190055
olmo,superego,worker,0,20,0.0019979011,-0.10113579,-0.0675827
olmo,superego,worker,0,30,0.052341864,-0.037225097,-0.08307195
olmo,superego,worker,0,49,0.044305336,-0.05852111,-0.024823237
olmo,superego,worker,1,5,0.007964399,0.09825385,-0.067481846
olmo,superego,worker,1,10,0.0023473054,0.037633702,-0.061534762
olmo,superego,worker,1,15,0.008504484,0.006513724,-0.086315975
olmo,superego,worker,1,20,0.053664356,-0.03776264,-0.0885835
olmo,superego,worker,1,30,0.06576383,-0.020506037,-0.050581463
olmo,superego,worker,1,49,0.071495175,-0.036738627,-0.06339539
olmo,superego,worker,2,5,0.15713876,0.05392299,-0.050299235
olmo,superego,worker,2,10,0.15290198,0.0566865,-0.04688798
olmo,superego,worker,2,15,0.117030546,0.06988671,-0.035776168
olmo,superego,worker,2,20,0.08385997,0.0566389,-0.07577265
olmo,superego,worker,2,30,0.084457844,0.064219795,-0.093446314
olmo,superego,worker,2,49,0.07259563,0.09023993,-0.08699404
olmo,superego,worker,3,5,0.06798813,0.039689273,-0.07454792
olmo,superego,worker,3,10,0.10224275,0.018720409,-0.07370913
olmo,superego,worker,3,15,0.056728322,0.04764507,-0.09101764
olmo,superego,worker,3,20,0.07254192,0.030440096,-0.11274097
olmo,superego,worker,3,30,0.0876575,0.013047876,-0.14269269
olmo,superego,worker,3,49,0.08233562,0.061769616,-0.13753632
olmo,superego,worker,4,5,0.060270183,0.16110119,-0.03769654
olmo,superego,worker,4,10,-0.042426653,0.19614294,0.044007003
olmo,superego,worker,4,15,0.0031347182,0.18888956,0.050921306
olmo,superego,worker,4,20,0.014011089,0.18431878,0.029109906
olmo,superego,worker,4,30,0.016335182,0.15420371,0.010492261
olmo,superego,worker,4,49,0.015729513,0.19991773,-0.011137526
olmo,superego,worker,5,5,0.1386576,0.16651648,-0.078588456
olmo,superego,worker,5,10,0.10936136,0.15891246,-0.017393814
olmo,superego,worker,5,15,0.10970993,0.14882639,-0.024290757
olmo,superego,worker,5,20,0.11332795,0.16120324,9.194203e-05
olmo,superego,worker,5,30,0.090006605,0.16813982,-0.037450083
olmo,superego,worker,5,49,0.103119396,0.15579334,-0.07562759
olmo,superego,worker,6,5,0.06161633,0.12246596,-0.05518198
olmo,superego,worker,6,10,-0.08332233,0.0930936,-0.04053801
olmo,superego,worker,6,15,-0.0936349,0.13432968,-0.08145979
olmo,superego,worker,6,20,-0.15363677,0.18994357,-0.034219507
olmo,superego,worker,6,30,-0.12199708,0.14916342,-0.030133234
olmo,superego,worker,6,49,-0.063827425,0.13305978,-0.06824538
olmo,superego,worker,7,5,0.11470324,0.29745734,-0.029286418
olmo,superego,worker,7,10,0.13423362,0.3328863,-0.055766676
olmo,superego,worker,7,15,0.0993049,0.2095545,-0.06569512
olmo,superego,worker,7,20,0.085047774,0.18674952,-0.06986867
olmo,superego,worker,7,30,0.10950552,0.16492139,-0.06565085
olmo,superego,worker,7,49,0.07426199,0.16375574,-0.0637878
olmo,superego,worker,8,5,0.0172068,0.063561,-0.09536013
olmo,superego,worker,8,10,0.07099538,0.0340584,-0.13633882
olmo,superego,worker,8,15,0.13254897,0.015167151,-0.15694064
olmo,superego,worker,8,20,0.108608134,0.008644854,-0.13587335
olmo,superego,worker,8,30,0.12030584,-0.0066948384,-0.15743606
olmo,superego,worker,8,49,0.10974902,-0.010881228,-0.13189404
olmo,superego,worker,9,5,0.21730298,-0.0022469782,-0.14219819
olmo,superego,worker,9,10,0.16765663,-0.0084436545,-0.14241636
olmo,superego,worker,9,15,0.15417142,-0.00877518,-0.12019741
olmo,superego,worker,9,20,0.16692676,0.00833779,-0.13979769
olmo,superego,worker,9,30,0.14335932,0.008709087,-0.14261092
olmo,superego,worker,9,49,0.122023396,0.036645077,-0.12772547
olmo,base,sexual,0,5,0.11066721,0.029814694,-0.12649398
olmo,base,sexual,0,10,0.11709179,0.021645404,-0.1202787
olmo,base,sexual,0,15,0.11477445,0.045289814,-0.10479769
olmo,base,sexual,0,20,0.15381818,0.05112302,-0.118605256
olmo,base,sexual,0,30,0.128618,0.033656493,-0.08690692
olmo,base,sexual,0,49,0.08234831,0.037514403,-0.120305285
olmo,base,sexual,1,5,0.075085804,0.05391144,-0.03836032
olmo,base,sexual,1,10,0.11228332,0.062413555,-0.023701306
olmo,base,sexual,1,15,0.07167242,0.020055937,-0.042324983
olmo,base,sexual,1,20,0.045762297,0.02412055,-0.0389314
olmo,base,sexual,1,30,0.055438086,0.038420696,0.014857678
olmo,base,sexual,1,49,0.065645896,0.056091122,-0.016300421
olmo,base,sexual,2,5,-0.08828515,0.046539146,-0.06929721
olmo,base,sexual,2,10,-0.0050060377,0.029074587,-0.09040138
olmo,base,sexual,2,15,0.056258656,0.058211606,-0.059793323
olmo,base,sexual,2,20,0.03949647,0.052589417,-0.06340591
olmo,base,sexual,2,30,0.13497221,0.040956125,-0.002931058
olmo,base,sexual,2,49,0.14405775,0.0791898,0.030990228
olmo,base,sexual,3,5,0.16744383,0.02252313,-0.15220651
olmo,base,sexual,3,10,0.16272452,-0.049896907,-0.10646637
olmo,base,sexual,3,15,0.1656349,-0.038251154,-0.13423973
olmo,base,sexual,3,20,0.1960653,-0.019510616,-0.11553187
olmo,base,sexual,3,30,0.13067165,0.042346857,-0.07339004
olmo,base,sexual,3,49,0.1067882,0.09506966,-0.064789474
olmo,base,sexual,4,5,0.080134474,0.015408132,-0.10829132
olmo,base,sexual,4,10,0.088837266,0.03477145,-0.12002614
olmo,base,sexual,4,15,0.09206248,0.03998005,-0.0379022
olmo,base,sexual,4,20,0.03696075,0.02043971,-0.016778521
olmo,base,sexual,4,30,0.061374836,0.057824578,-0.047089905
olmo,base,sexual,4,49,0.12715465,0.09057248,0.056058545
olmo,base,sexual,5,5,0.038100265,0.07191482,-0.025707893
olmo,base,sexual,5,10,0.10674758,0.12657167,-0.057435326
olmo,base,sexual,5,15,-0.022668893,0.13505909,-0.0028366176
olmo,base,sexual,5,20,-0.029390419,0.1356159,-0.010523952
olmo,base,sexual,5,30,-0.039599724,0.15978587,-0.011932658
olmo,base,sexual,5,49,-0.026421744,0.06146046,0.016158832
olmo,base,sexual,6,5,0.06986862,0.00041226484,-0.17178652
olmo,base,sexual,6,10,0.12732106,0.0008567935,-0.117364936
olmo,base,sexual,6,15,0.014287988,0.04505309,0.031544525
olmo,base,sexual,6,20,0.022869216,0.06827127,0.026045762
olmo,base,sexual,6,30,0.08192686,0.104565,0.034730993
olmo,base,sexual,6,49,0.07301709,0.05329487,0.059004463
olmo,base,sexual,7,5,0.09489784,0.090353236,0.047785833
olmo,base,sexual,7,10,0.1419204,0.10284805,0.030494815
olmo,base,sexual,7,15,0.15888306,0.12610611,0.055958733
olmo,base,sexual,7,20,0.18440285,0.08206379,0.030142097
olmo,base,sexual,7,30,0.13426343,0.118997976,0.043667115
olmo,base,sexual,7,49,0.1483351,0.09775342,0.0475346
olmo,base,sexual,8,5,0.06749174,0.08349593,-0.13095737
olmo,base,sexual,8,10,0.069602296,0.09785488,-0.08657529
olmo,base,sexual,8,15,0.08985131,0.06552453,-0.09277619
olmo,base,sexual,8,20,0.057614606,0.07596662,-0.09752202
olmo,base,sexual,8,30,0.07528381,0.10198307,-0.09255769
olmo,base,sexual,8,49,0.1542773,0.07514579,-0.06946201
olmo,base,sexual,9,5,0.053019222,0.01992385,-0.06596282
olmo,base,sexual,9,10,0.10323175,0.010763865,-0.05831755
olmo,base,sexual,9,15,0.12297777,0.023872107,-0.06386568
olmo,base,sexual,9,20,0.101480536,0.035761394,-0.050273757
olmo,base,sexual,9,30,0.14032824,0.04627061,-0.046733595
olmo,base,sexual,9,49,0.15246056,0.05879918,-0.040306427
olmo,superego,sexual,0,5,0.034234587,0.017413989,-0.17739064
olmo,superego,sexual,0,10,0.053664118,0.028605867,-0.1775321
olmo,superego,sexual,0,15,0.07583279,0.024217729,-0.13098575
olmo,superego,sexual,0,20,0.11681335,0.012206234,-0.138413
olmo,superego,sexual,0,30,0.06539228,0.017149096,-0.17114191
olmo,superego,sexual,0,49,0.041320395,0.022959642,-0.1991999
olmo,superego,sexual,1,5,0.05652303,0.040122427,-0.080717035
olmo,superego,sexual,1,10,0.05362589,0.017749716,-0.05904282
olmo,superego,sexual,1,15,0.16492322,0.0058655925,-0.111997396
olmo,superego,sexual,1,20,0.11808066,0.015803602,-0.11069157
olmo,superego,sexual,1,30,0.121729,0.03730937,-0.06828156
olmo,superego,sexual,1,49,0.08612246,0.07002716,-0.08663108
olmo,superego,sexual,2,5,0.021657486,0.06776722,-0.023625493
olmo,superego,sexual,2,10,0.03828175,0.015947932,-0.026115749
olmo,superego,sexual,2,15,0.017952606,0.062361803,0.03889089
olmo,superego,sexual,2,20,-0.019760648,0.06127535,0.0817696
olmo,superego,sexual,2,30,-0.018144364,0.036041245,0.03684965
olmo,superego,sexual,2,49,0.010504184,0.008305433,0.040634565
olmo,superego,sexual,3,5,0.075562455,0.038074188,-0.028221061
olmo,superego,sexual,3,10,0.027360441,0.08332286,0.07442571
olmo,superego,sexual,3,15,0.09719573,0.09056576,0.0786419
olmo,superego,sexual,3,20,0.11936209,0.11212035,0.037686344
olmo,superego,sexual,3,30,0.114003524,0.0755345,-0.015342691
olmo,superego,sexual,3,49,0.14230534,0.058501404,0.034420278
olmo,superego,sexual,4,5,-0.0142340185,0.04442315,-0.023465121
olmo,superego,sexual,4,10,0.08465259,0.07880735,0.050996512
olmo,superego,sexual,4,15,0.020121505,0.0934154,0.023117352
olmo,superego,sexual,4,20,0.04988849,0.09793783,-0.00021292642
olmo,superego,sexual,4,30,0.064562544,0.10993558,-0.012336677
olmo,superego,sexual,4,49,0.017284736,0.12520725,-0.016727317
olmo,superego,sexual,5,5,0.05594647,0.044782437,-0.07798609
olmo,superego,sexual,5,10,0.023225054,0.08474918,0.036565468
olmo,superego,sexual,5,15,0.041310996,0.1045997,0.046751194
olmo,superego,sexual,5,20,0.018460214,0.11001705,0.031202227
olmo,superego,sexual,5,30,0.032467928,0.1128563,0.014432976
olmo,superego,sexual,5,49,0.075441085,0.11088536,0.013487392
olmo,superego,sexual,6,5,-0.22536689,0.0055796336,0.0036440757
olmo,superego,sexual,6,10,-0.059792705,0.013588803,0.025077926
olmo,superego,sexual,6,15,-0.08448296,0.033590272,0.027566968
olmo,superego,sexual,6,20,-0.047331095,0.015922204,-0.003768649
olmo,superego,sexual,6,30,-0.06796813,0.01570618,-0.023067458
olmo,superego,sexual,6,49,-0.047208957,0.05562926,0.004494503
olmo,superego,sexual,7,5,0.0500907,0.06504154,0.08062996
olmo,superego,sexual,7,10,0.04277125,0.059367266,0.05206162
olmo,superego,sexual,7,15,0.03774019,0.06426384,0.023718696
olmo,superego,sexual,7,20,0.044675626,0.0723322,0.011887545
olmo,superego,sexual,7,30,0.05535213,0.079830624,-0.0138348285
olmo,superego,sexual,7,49,0.033737395,0.04928446,-0.0314918
olmo,superego,sexual,8,5,0.050831728,0.07859181,-0.09310123
olmo,superego,sexual,8,10,0.0626096,0.06391514,-0.0915921
olmo,superego,sexual,8,15,0.03551267,0.058069244,-0.05650031
olmo,superego,sexual,8,20,0.14098296,0.09467165,-0.022319146
olmo,superego,sexual,8,30,0.16484489,0.13603923,-0.01909186
olmo,superego,sexual,8,49,0.15915935,0.077920996,0.05241449
olmo,superego,sexual,9,5,0.13868329,0.08792585,0.0010528173
olmo,superego,sexual,9,10,0.15159185,0.08241708,-0.01605969
olmo,superego,sexual,9,15,0.1363979,0.10806407,0.0071155354
olmo,superego,sexual,9,20,0.059628375,0.1267014,-0.011221774
olmo,superego,sexual,9,30,0.09183629,0.14452246,0.015518647
olmo,superego,sexual,9,49,0.07622864,0.12731054,-0.043980844
llama,base,anger,0,5,0.12419708,-0.04789184,-0.07487492
llama,base,anger,0,10,0.21491808,-0.047357764,-0.043085113
llama,base,anger,0,15,0.1769651,-0.023252629,-0.051383868
llama,base,anger,0,20,0.17829213,0.004202176,-0.024883056
llama,base,anger,0,30,0.15733083,0.03611508,-0.037892282
llama,base,anger,0,49,0.17262639,0.010103388,-0.061353367
llama,base,anger,1,5,0.00022876821,0.040967133,0.06582729
llama,base,anger,1,10,-0.018686753,0.08616468,-0.0107886
llama,base,anger,1,15,-0.06432254,0.13589306,0.015688073
llama,base,anger,1,20,-0.009242042,0.15286796,0.0138144065
llama,base,anger,1,30,0.020996902,0.13787535,-0.028287053
llama,base,anger,1,49,0.0893799,0.13458806,-0.00046495395
llama,base,anger,2,5,0.23157759,0.025625043,-0.11669576
llama,base,anger,2,10,0.23035192,0.074998386,-0.1049665
llama,base,anger,2,15,0.26617864,0.07224101,-0.07205903
llama,base,anger,2,20,0.25500843,0.07034209,-0.0715882
llama,base,anger,2,30,0.17704731,0.059408005,-0.07452634
llama,base,anger,2,49,0.120547965,0.08565672,-0.018197503
llama,base,anger,3,5,0.0901506,0.040039223,-0.06793563
llama,base,anger,3,10,0.038733296,0.11090077,-0.06378248
llama,base,anger,3,15,0.042739037,0.078942694,-0.04642328
llama,base,anger,3,20,0.048082415,0.07760715,-0.042077623
llama,base,anger,3,30,0.05903823,0.111978635,-0.06640729
llama,base,anger,3,49,0.11234253,0.13185589,-0.0697137
llama,base,anger,4,5,0.07822026,0.0026668757,-0.013559226
llama,base,anger,4,10,0.09500268,0.052124973,-0.049778916
llama,base,anger,4,15,0.050719913,0.027612353,-0.031432867
llama,base,anger,4,20,0.059814796,0.03293406,-0.026934393
llama,base,anger,4,30,0.05467224,0.039009348,-0.05090931
llama,base,anger,4,49,0.07959107,0.02990514,-0.06129408
llama,base,anger,5,5,0.024090294,0.032500602,-0.10443939
llama,base,anger,5,10,0.06362314,0.03500973,-0.13267103
llama,base,anger,5,15,0.09042752,-0.0073510334,-0.19088753
llama,base,anger,5,20,0.10422238,-0.018723182,-0.1691497
llama,base,anger,5,30,0.086078696,-0.01071031,-0.15978818
llama,base,anger,5,49,0.03685158,-0.012853105,-0.15161884
llama,base,anger,6,5,0.09172541,0.06663334,-0.051048398
llama,base,anger,6,10,0.13344306,0.10841352,-0.06809838
llama,base,anger,6,15,0.16952479,0.111956775,-0.06495759
llama,base,anger,6,20,0.18550812,0.017023508,-0.09639819
llama,base,anger,6,30,0.16891333,0.04489173,-0.13307378
llama,base,anger,6,49,0.14763881,0.036909875,-0.12713888
llama,base,anger,7,5,0.18299524,0.029277597,-0.06279805
llama,base,anger,7,10,0.15283456,0.082078494,-0.07543883
llama,base,anger,7,15,0.13968357,0.07141508,-0.035173014
llama,base,anger,7,20,0.15244158,0.079068355,-0.03945633
llama,base,anger,7,30,0.121762626,0.09058572,-0.05650296
llama,base,anger,7,49,0.09458436,0.10788418,-0.042881634
llama,base,anger,8,5,0.20865485,-0.013352493,-0.09596167
llama,base,anger,8,10,0.07451054,-0.012235213,-0.053577945
llama,base,anger,8,15,0.1315095,0.02387019,-0.07557826
llama,base,anger,8,20,0.16116583,0.061542507,-0.093025215
llama,base,anger,8,30,0.13068408,0.03921438,-0.16608316
llama,base,anger,8,49,0.13513643,0.09699745,-0.11591311
llama,base,anger,9,5,0.08570087,0.035480667,-0.16065776
llama,base,anger,9,10,-0.018176114,-0.008553993,-0.10568641
llama,base,anger,9,15,-0.0068595354,0.022669658,-0.062093027
llama,base,anger,9,20,0.007520087,0.06777413,-0.05821125
llama,base,anger,9,30,0.061760202,0.085024126,-0.10329288
llama,base,anger,9,49,0.11180487,0.07433316,-0.07294996
llama,superego,anger,0,5,0.10377458,0.01299344,-0.08237962
llama,superego,anger,0,10,0.16390707,-0.001912659,-0.04159557
llama,superego,anger,0,15,0.27476227,-0.012947802,-0.085736595
llama,superego,anger,0,20,0.29082116,-0.018487033,-0.05132141
llama,superego,anger,0,30,0.2348449,-0.014010881,-0.05839014
