lineage,category,roles
meta-llama/Llama-3.1-8B,sexual_liminal,judge|source
meta-llama/Llama-3.1-8B,substance,judge|source
meta-llama/Llama-3.1-8B,violence_explicit,judge|source
meta-llama/Llama-3.1-8B,violence_liminal,judge|source
microsoft/phi-4,death,judge|source
microsoft/phi-4,neutral,judge|source
microsoft/phi-4,power,judge|source
microsoft/phi-4,profanity,judge|source
microsoft/phi-4,sexual_explicit,judge|source
microsoft/phi-4,sexual_liminal,judge|source
microsoft/phi-4,substance,judge|source
microsoft/phi-4,violence_explicit,judge|source
microsoft/phi-4,violence_liminal,judge|source
mistralai/Mistral-7B-v0.1,death,judge|source
mistralai/Mistral-7B-v0.1,neutral,judge|source
mistralai/Mistral-7B-v0.1,power,judge|source
mistralai/Mistral-7B-v0.1,profanity,judge|source
mistralai/Mistral-7B-v0.1,sexual_explicit,judge|source
mistralai/Mistral-7B-v0.1,sexual_liminal,judge|source
mistralai/Mistral-7B-v0.1,substance,judge|source
mistralai/Mistral-7B-v0.1,violence_explicit,judge|source
mistralai/Mistral-7B-v0.1,violence_liminal,judge|source
openbmb/MiniCPM5-1B-Base,death,judge|source
openbmb/MiniCPM5-1B-Base,neutral,judge|source
openbmb/MiniCPM5-1B-Base,power,judge|source
openbmb/MiniCPM5-1B-Base,profanity,judge|source
openbmb/MiniCPM5-1B-Base,sexual_explicit,judge|source
openbmb/MiniCPM5-1B-Base,sexual_liminal,judge|source
openbmb/MiniCPM5-1B-Base,substance,judge|source
openbmb/MiniCPM5-1B-Base,violence_explicit,judge|source
openbmb/MiniCPM5-1B-Base,violence_liminal,judge|source
stabilityai/stablelm-2-1_6b,death,judge|source
stabilityai/stablelm-2-1_6b,neutral,judge|source
stabilityai/stablelm-2-1_6b,power,judge|source
stabilityai/stablelm-2-1_6b,profanity,judge|source
stabilityai/stablelm-2-1_6b,sexual_explicit,judge|source
stabilityai/stablelm-2-1_6b,sexual_liminal,judge|source
stabilityai/stablelm-2-1_6b,substance,judge|source
stabilityai/stablelm-2-1_6b,violence_explicit,judge|source
stabilityai/stablelm-2-1_6b,violence_liminal,judge|source
tiiuae/Falcon3-10B-Base,death,judge|source
tiiuae/Falcon3-10B-Base,neutral,judge|source
tiiuae/Falcon3-10B-Base,power,judge|source
tiiuae/Falcon3-10B-Base,profanity,judge|source
tiiuae/Falcon3-10B-Base,sexual_explicit,judge|source
tiiuae/Falcon3-10B-Base,sexual_liminal,judge|source
tiiuae/Falcon3-10B-Base,substance,judge|source
tiiuae/Falcon3-10B-Base,violence_explicit,judge|source
tiiuae/Falcon3-10B-Base,violence_liminal,judge|source
tiiuae/Falcon3-Mamba-7B-Base,death,judge|source
tiiuae/Falcon3-Mamba-7B-Base,neutral,judge|source
tiiuae/Falcon3-Mamba-7B-Base,power,judge|source
tiiuae/Falcon3-Mamba-7B-Base,profanity,judge|source
tiiuae/Falcon3-Mamba-7B-Base,sexual_explicit,judge|source
tiiuae/Falcon3-Mamba-7B-Base,sexual_liminal,judge|source
tiiuae/Falcon3-Mamba-7B-Base,substance,judge|source
tiiuae/Falcon3-Mamba-7B-Base,violence_explicit,judge|source
tiiuae/Falcon3-Mamba-7B-Base,violence_liminal,judge|source
tiiuae/falcon-mamba-7b,death,judge|source
tiiuae/falcon-mamba-7b,neutral,judge|source
tiiuae/falcon-mamba-7b,power,judge|source
tiiuae/falcon-mamba-7b,profanity,judge|source
tiiuae/falcon-mamba-7b,sexual_explicit,judge|source
tiiuae/falcon-mamba-7b,sexual_liminal,judge|source
tiiuae/falcon-mamba-7b,substance,judge|source
tiiuae/falcon-mamba-7b,violence_explicit,judge|source
tiiuae/falcon-mamba-7b,violence_liminal,judge|source
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,death,judge|source
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,neutral,judge|source
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,power,judge|source
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,profanity,judge|source
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,sexual_explicit,judge|source
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,sexual_liminal,judge|source
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,substance,judge|source
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,violence_explicit,judge|source
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,violence_liminal,judge|source
zai-org/glm-4-9b-hf,death,judge|source
zai-org/glm-4-9b-hf,neutral,judge|source
zai-org/glm-4-9b-hf,power,judge|source
zai-org/glm-4-9b-hf,profanity,judge|source
zai-org/glm-4-9b-hf,sexual_explicit,judge|source
zai-org/glm-4-9b-hf,sexual_liminal,judge|source
zai-org/glm-4-9b-hf,substance,judge|source
zai-org/glm-4-9b-hf,violence_explicit,judge|source
zai-org/glm-4-9b-hf,violence_liminal,judge|source
