,text,word_count
2259,"I'm sitting in an ice cream store and Barack and Michelle walk in. My friend leans across the table to let me know that this is Barack's new campaign strategy: no more big rallies, just meeting normal people in normal places. After a few minutes, I leave the shop and run into Barack outside. He tells me to walk and talk with him. He always walks a few steps ahead of me. He asks if I'm a student, and I feel ashamed to say that I graduated several years ago. I tell him I'm a youth minister. Barack laughs derisively and walks away.",103
13926,"I saw a side of a rock and a young man. Then, later on, I saw a white horse and some gates. Also, there were some old people getting in and out of the bus that had carried them to this, their desired destination. They looked uncomfortable and crippled. They started to walk up some steps when a particular woman looked at me. She had a very old face, and as she started to walk up the steps she started to get younger. Her hair became more full, dark, and long. As the old crippled people walked up the steps, the gates began to open for them. All this was happening in empty space, nowhere really. I saw a man on a white horse again. Yes, I believe that a tournament was going on.",134
22290,"Nana and I are in a doctor's waiting room. She is well and strong. There is a girl there watching a television program called 'the weird 90s.' The episode is of a group of swimmers, one is racist and hates swimming in the lane as a black woman in front of him. Nana and I are discussing something quietly and looking at a magazine – whether for real or show I'm not sure – but I can't remember what. Either something on the show or something the girl said triggered it. It's about something we heard earlier and we don't want to talk about it in front of this girl, so I tell her to remind me later.",118
19957,"I'm throwing a party. Afterwards a man comes back looking for a feather for his cap. He was in costume, a Frenchman in an outfit reminiscent of the Swiss Alps. Green cap. He asks for something in French and I understand him when he speaks slowly enough. I can't respond to him in French, so I answer him in English. I know he won't find the feather because I had it, I played with it, a large white smooth feather, and I believe we don't have it anymore. We look in the garage and then go into the basement. Mike is lying in the dark, crying and saying, ""I have no family."" I feel bad and listen to him, encouraging him. People from the party come now and I'm a little embarrassed for him. ",134
24711,"There was a party. There was a box, with vanilla waffer/nilla waffers shaped like snowmen, covered in powdered sugar. I was tempted and ate some that weren't mine. Something happened, dad was upset, I thought it was about the cookies I ate so I admitted what I did (I felt as if I was a little kid). He wasn't concerned with it, but was with something else. Next we got this big envelop with letters. Mom says we got them because dad sent some thank you letter. It was from vampires. It had some writing ""Ku"" ('Kyu') repeatedly. I was scared, thinking it was a trap that it would cut my mom and make her bleed. Thinking they wanted that. But no luck. Dad and Mom got cards, but I don't think I did.",134
24872,"I dreamed I was having a graduation party, and everybody I knew came. Even dozens of people I didn't know, like the Canadian relatives. I was delighted, cause I didn't think anybody would really come at all. And we had this huge gorgeous pool that was crystal blue, and a huge orange brick house. All these StoneBridge people were there, and they all hung out with each other and not really me. Patrick was there. He was dressed like Justin Bieber and had on black sunglasses. We ignored each other like always. It seemed that the party was so very short, and I couldn't seem to find anybody, our house was so big. I found a bundle of money on the floor, and there was a note from the youth group I went to in middle school. It had $130 and asked me to tithe 10%. I was very surprised and delighted. ",152
10006,"Jeremy Taylor tells of a system of points and lines….We have to wait a long time, then the original point emerges….And once that happens, all lines will flow from it….This allows people to see where they are, where they should go….it makes clear where everyone has their own space….The means there are no conflicts, and everyone is happy….At one point a blond woman and I become romantic as we see the lines take shape around us….At another point I am wearing a flannel shirt, maybe two of them, and I am talking with someone about how the fabric of the shirt gets soft over time, becoming like a second skin….It makes me happy….I am looking at my left arm, in the long-sleeve shirts, with the top one a yellow checked pattern….",131
24322,"After the Swensen's dream, I kept trying to wake up so I could write about my dreams but I kept dreaming. This one is unclear. I think it was my sister Emma, that was doing or trying to do something, execute something, as if she was in the trenches, like world war II. All of a sudden, another woman, was showing her how to it was done but now they were sitting on chairs, across from each other, with their elbows resting on a table between them, in a cheap, rundown, looking place. It resembled, something out of South America, Mexico, a room with dirt floor and a large blue tent instead of walls. The new woman was a luscious, curvy, dark skin woman. Maybe even wavy hair, like Beyonce but deffenitely, Latina. This curvy woman seemed confident and relaxed and the other woman, maybe my sister was uncomfortable and upset that she had not know how to ""do"" something. I dreamed more dreams but I cannot remember them.",169
3756,"I had a dream about my old job at a hospital where I was director non clinical services. It was very vivid and contained challenges I had over come in buiding an electic plant and in managing staff education on cutomer service. I was recently fired from my current job because the hopsital decided to terminate all part time workrrs. I felt this was most nf air and rather poor mangement. It has affected me, so I think it is natural for my dreams to reflect a similar situation where I had acted in what I thought was a better decision for the institution and the employees in question.",109
23191,"11.15pm Party at the house I own/look after. In the backyard pool there are three mini wales. Two are people size one is a baby. Recall swimming around with them, the baby in particular Someone comments how they feel a bit slimed and at that pint it become about getting them somewhere better for them. Everyone is suddenly he'll bent on feeding the baby whale porridge in sucker bottles. I organise to get agencies to come being food. One being this packet that looks high quality but turns out to be OJ. I remember yelling from the fence and taking several go's to have then hear me. There are baggies of diluted meth? I even comment how I had had a line and that's why I was awake. Remember Lucy being in dream and being trashed. One of the guest turns the event into a means to make an animal security business. Complete with black and purple uniforms. they make me an honorary member.",164
19616,"I discover that I can drive down a road parallel to Kedzie and it has no traffic. I see Kedzie full of cars. I go over a bridge and come to a town area with people walking. I realize that I might not supposed to be driving my car here. My car becomes a bicycle. I ride inside a small coffee shop to register for something. I see Heather sitting and I ride over to her. She makes a comment about me being involved with lots of things, one of which is art or art therapy. Twin girls tell me about some church program in Boulder. I return to the black woman for registration. ",114
22471,"There was a toilet on the street in town. It was completely out in the open, sitting on the sidewalk. I was using it, and I had papers in my hand – maybe newspapers – and I was talking on my cell phone. People were walking by as if it was totally normal for others to use the toilet openly. Then a man and his father approached me. The man began to touch me inappropriately and I shouted for him to stop. I still had the papers and was still talking on the phone. With his father standing near him, he drug me off the toilet, shoved me to the concrete, and was about to rape me. The passersby stopped and watched, but no one helped. Then I saw as if through his eyes, but I could see no one on the ground. I knew I was seeing him raping me but I was invisible.",155
2996,"I'm trying to walk with my wife down a bad street....I get caught within a grungy store, have to backtrack, get outside….A bad guy has me tied up on a ladder, against a cliff by the beach, high off the ground….Will I relent? He demands….Yes, I say we can work this out, let me down….Something about a girl in a formal dress….I want to compliment her, but I don't want to seem like I'm hitting on her, flirting….We're inside a weird house….Seeing Ronald's lacrosse coach secretly take a bag of plums from Ronald….I see it, but pretend I don't….I wonder what's up with that….I'm in the backyard, frustrated over a lack of sexual arousal….Then I realize a firefighter guy is up on a ladder against our back fence, trimming the tree branches hanging over….I start talking with him about my plan to have a tree cutting service come to do the job, it should be my responsibility, not theirs….",159
430,"Ok some guy was in my dream. I remember kind of what he looked like. He had short brown hair, well groomed, he was kind of lean and tall. We were at my moms house I think, almost as if I lived there. We were laying down on the floor i think, maybe against some pillows or something. I had on a buttoned down shirt and he kept sticking his finger through my shirt and tickling me on the stomach and poking me. I was playing all coy. I do know that I felt attracted to him in the dream, but thats all I remember. I remember one other small tid bit. I was changing clothes and i looked down and there was a long scratch (much redder at the top) that went from just below my neck all the way down to my stomach. In the dream I though my cat had scratched me, I remember looking at it but it didn't hurt.",164
19840,We were being taught a about something else but it then went to the old city we were a winning on top of. The guy pulled a plug and drained it to show old streets then we had a lesson. Then we all were doing tom questions answering or spams thing and I didn't think we had time but my watch was on second hand motion and I hadn't seen it was only 7 and not 745 like I saw my second hand say in the quick look I have. I stopped everyone and then felt stupid. Wolf was there but he had to leave early and they announced it. I don't remember actually seeing him ,116
1610,"I am at a house with two windows which I am making window treatments for. I chose a striped material with primary colors. I am arguing with someone?? About what kind of top to put over the stripes. I want to go with a floral and they are telling me no it will look dumb. I say it will all come together. We continue to disagree. I complete the window treatments, hang them and they look fine. I say, ""See, I told you!"" I bend to put my sneaker on and I have four different shoelaces in primary colors that I tie in bows.",104
2205,"I'd been invited to ride in the Obama campaign bus. I've done a little freelance journalism in my time, so I was taking notes as if I was interviewing him. The Senator was actually driving the bus. He was wearing his usual dark suit and was chatting very informally with me, was very polite and amiable. The specific quote I remember him saying was this: Mary, you're a very busy person. How do you balance it all? How do you recharge your battery? He asked this in a very respectful-of-the-working class way, and we had a rather mundane but pleasant conversation. I remember him spinning the big steering wheel, and casting his clear gaze across the horizon as he drove. I woke with the impression that he could win.",129
14040,"It was a dark night at the beach. I was walking on the sand. Suddenly, I saw some UFOs flying near the place where I was walking. Nobody got off, but I became scared and started to run into those high sand hills, jumping nervous and frightened over the dunes. I was very much afraid of falling down and hurting myself because the funds were so high. I had cold feelings in my stomach each time I jumped, but nothing happened. Suddenly, I felt that one of them could catch me. I tried to escape even more anxiously. I tried to run but couldn't move, and had to remain in the same place.",113
25520,"#2675 (04/29/94) I am in a house and there are lots of people there, a party. They are having a great time. I am on the phone talking to Archie I am trying to think of things to say to keep him talking to me. He is annoyed, in fact, angry at me. He says, angrily, ""You are better than this, trying to manipulate it so we are alone. I don't like it when you do that. You know better than that."" He hangs up on me. I feel terribly hurt and rejected, numbed by the pain of it. I turn and people are cheerfully calling out to me to join the party. I try to respond to them but it is very difficult. I go out to the back yard and something about Charla only having her diapers on. I see her and see she has an outfit of clothes on and looks fine. I comment that she is fine, perfectly and properly clothed. Her ""mom"" and ""dad"" want to stay at the party and I want to leave, to be alone. I tell them they can stay as long as they want. The ""dad"" says, ""But she only has one diaper. We'll only be able to stay as long as it lasts."" I shrug; not my problem. I try to leave. I feel weighted down with the sadness of Archie's rejection. ",233
25438,"11 My roommate and I and Bill were outside on a street talking. I think we were talking about a car. This woman, I would say about 30, came walking up and she came up to me and she looked at me, just said, ""What's your name and where do you live?"" I told her we lived in the dorm. She said, ""Okay, we'll be by to see you."" Right off I looked at her and thought she was a prostitute, and sure enough, because it seemed a few hours later, she and three of her friends showed up in our dorm. I remember first they discussed fee, and I said, ""Well, I'm not going to pay for it."" I don't know; this didn't seem to faze them too much. I remember her putting a chart up on the wall. I think it had something to do with venereal disease. Anyway, I looked at my watch and said, ""My gosh, I've got to get out of here in 20 minutes."" She said, ""Well, you have. I guess we'd better get busy then,"" and she pulled down the blind. I remember I looked at my roommate, and I said, ""My gosh, can I go through with this?"" He sort of smiled at me and said, ""Well, I guess so."" Then I remember this woman pulling off her dress, and then I guess I woke up. I don't remember. ",237
20826,"It started out I was in a big bed having sex with who I believe was Seth Shaver from high school. He was on top of me and I was scratching his back. It was really really good. When we were done we just cuddled for a while before we went to sleep. I'm having trouble remembering what was next. It was the next day I think and we were at a party maybe. Seth kept following me around and I was ok with it, but he was way more into me than I was him. I remember thinking how if only this was 10 years ago it would have been perfect. He kept wanting to have sex again but I would always tell him no. Even though I wanted to too.",132
25236,"11 S There were some people talking at the dream institute, but I don't know who exactly, though. It might have been Max and Dr. Hall, but I'm not sure. They were talking about shipping out dreams, I think. They shipped them out of here in these like steel cylinders, the kind you get oxygen in. They were talking about how they get the cylinders from somewhere near, but how they plug up the bottoms with rocks because the cylinders are gotten from toilets, but sometimes they don't get rocks in them. Sometimes they come up without rocks. Sometimes they're kind of dirty inside. And they laughed about that. Then they said, ""Of course, sometimes we just throw in rocks."" They got a kick out of that. Then there was one other thing. They were talking about the fact that divers -- now I guess these cylinders reminded them or reminded me of divers because they were like oxygen things, the divers were. I think then maybe it was Max that was saying divers, you know, have regular appetites because after they dive, they're real hungry. So they can eat. But in this country, if you have those cylinders and you're not a diver, you're not necessarily hungry when you come up from the water or wherever you come up from. ",221
2541,"I'm at a tennis club. It's deserted apart from 3 or 4 of us, including my_mother and my_friend Tim. We take turns to sit out while the other 2 play. The court has no fence around it, and we spend most of the time looking for lost balls in the surrounding undergrowth. It's very overgrown around the court, and slopes up and away from the club house and what was once a terraced garden. When I play, I cannot hit the ball and keep it in the court. Most of my opponents shots also go out. It's a frustrating process and we lose a lot of balls.",107
13104,"69. A married woman wanted to have me, but I liked an unmarried one ; the former one became angry and persecuted me, but I nevertheless gained the unmarried one and was with her and loved her. It was a woman who owned a very beautiful estate in which we walked about, and I was to marry her. She signified piety, and also, I believe, wisdom, which owned these possessions. It was also represented to me in a certain way that I ought not to contaminate myself by [reading] other books, treating of theology and such subjects; because this I have in the Word of God and from the Holy Spirit. ",111
1361,"65. first dream 4 a.m. - I'm leaving a place with my car salesman. We get in the car and drive away. I discover my camera (and purse) are missing. We stop the car and get out. I see two black men on a hillside taking it apart. I go up to them and ask for it back. They give it back. One part is broken off. I know I can replace it. He says, ""I guess I owe you $15."" Then the car salesman walks up. The man says, ""My name is ___."" I shake his hand and say, ""My name is Nori and you still owe me $15."" As we walk away with my stuff, a big car full of black men pulls up. We walk back to my car salesman's car and drive away.""",137
21200,"I went to Circle K with mom. She was going to get me a birthday present from there or something. They didn't have a lot of good stuff there and it was quite dirty. I ended up getting used banana body lotion and a peach ring. I was really upset because the peach ring was horrible and used body lotion is just gross. I ended up crying. Then mom took me to a casino to cheer me up. It didn't really work. We went home in the van with everyone. Some guy that was sitting next to me was colorblind. He really liked me. I went to sleep and told him to wake me up at my stop. I had a dream inside a dream. When I woke up, I was in the living room. I figured Fez must have carried me in. Then there was a baby thing that we had to make. A man would play Jesus and tell me what to do.",165
27600,"In a quite dark but colorful room (basement?), someone is being tested on a bed. The test consists in measuring how the feet move according to some brain stimulation. Finally they found someone with the appropriate feet movement. They tell her what is her mission: she must stay behind when the Earth will be destroyed while the others will leave. She must stay to try to make it again a place to live. The girl is scared, but she must approve the decision. She looks Bhutanese to me. There were a lot of clothes to dry, very colorful. And we all needed to drink lots of water.",107
25710,"#0317 (02/28/81) I have a check out stand, for groceries and things. Ethan is talking to me. He likes me. As we talk, my cash register starts malfunctioning. It rings up 55 cents too many times. A long line forms of customers as I try to get the machine to work. Ethan is smiling and talking to me and I'm trying to pay attention to him and also take care of the customers. Finally I decide to write up the stuff by hand. My ""bagger,"" a young girl, complains when I tell her to assist. Then I decide to borrow an adding machine from another stand. I do and everything's O.K. ",111
5990,"I'm out in ocean water, near rocks....Ronald is out there, too, and some other people as well....At another point I help my wife take some things inside....A couple of times I'm talking with people about going to Nike parties, social events....I tell Wally don't worry about it, meaning the parties....Just treat it as your social event, and you don't have to talk with anyone else....a girl from a college I know says I'd like to go....I say we'll try to get you in, though I'm thinking that I don't know how we'll do that....Then I'm back out in the water, and to my surprise a current starts pulling me out....I try to swim on a floating device toward shore, but I'm quickly drawn out by the current....oh oh, I'm worried, I have to be more careful....Instead of fighting against the current, I swim with it at an angle and reach a rock, which I grab onto....I look for a different way to get in....Then another scene: a person with a gun, someone says to that person, give the gun to him (me), then drop to the floor to distract him, and then the guy with the gun will shoot me....I realize they're talking about setting up a ruse somehow that ends up with me being shot....I don't like it....",219
900,"(424) Last night I had a pretty strange dream. I dreamt that I was supposed to go over and see Mercy Stinton, and I went over there to her apartment complex, and I had to get the 8th floor, and I was going upstairs and going upstairs and going upstairs and going upstairs. And this apartment complex had like apartments that were on like the outside, like on a balcony, they weren't all enclosed in a hallway. And, oh, let's see – I got to the 7th floor and knocked on their door, and the wrong person answered, and I said, ""Do you where Mercy Stinton's apartment is?"" and in my dream it was 813. And he said, ""No, I don't."" And he was like going to page somebody on his cell phone, but he said, ""This is the 7th floor."" And I was like, ""Oh, that helps."" Then I was like trying to figure out how to get up to the next floor and I couldn't figure it out, and there was all kinds of garbage and stuff around. And I think also that to get somebody, I had to go back home and help me get somebody to help me find it. And I called her and I said I was going to be a little late, and she just, she was so worried about me, and then I, people were just dawdling around the house and I had to call her and tell her I couldn't make it. And that was that.",255
921,"(430) Last night I had a really crazy dream. I dreamt that I was at this Spanish class like take in my high school, except it was at this dingy old house and I was coloring in a color book, and it was a coloring book of like Bible stories and stuff. And I had been there for like three or four hours just doing nothing, and I was going to call home, but for whatever reason, I couldn't really dial the cell phone. It had all this like Spanish instruction stuff on the display and we couldn't really, I don't know, you couldn't really get out. And then I realized that I had to go 1 and 7, 2, 7 and then 8212610, and then I was able to get out of all that messy Spanish stuff, and I can't remember if I actually got to talk to anybody, but then I woke up.",155
20315,"starling and I were driving and we came across a big library, in college park. we went in and there was a table of animals, 5 or 6 mixed together, guinea pig, chinchilla, etc. I recognized because of them that this was a library I'd read about in the paper and been meaning to visit and now we were here by accident. I decided to sign up for a library card. went into an office, you got a bag of books about a baby gorilla, a lot of freebies. then they sent you to find a volunteer to actually sign up with. the young woman I found had to check with a supervisor. then I was sitting down with a couple of guys and there was an option to order checks, a small number, I was getting seven, just in case I ever needed them. there was somehow a feeling of the tenth doctor. I was very pleased to have stumbled across this library and be signing up.",168
24697,Layout that reminded me of my old bedroom (with the bunk bed). Something about climbing and not touching the water/ocean that was on the ground. Something/some part about me jumping in water. It had sharks. ------- Something about walking. A group of girls were alone. Some spider thing was hiding in one of the girls hair. Something about it caused layers of stuff to be taken off of the girl. Something about her skin rotting. ----- Arcade. Been their a few times. Last was wining some tablet (labled Li) . Disapeared before I could select it. --------- Passion running off on her own. When she came back I was relieved. And was upset that she had ran off. Told her not to run off on her own again.,128
489,"I was in a parking lot, and was walking to my car. There was a car next to me with a guy putting stuff in the trunk. As I got closer I realized he was some celebrity (no idea who) he was a white guy, with curly brown hair, probably in his 40's. It appeared he was putting golf clubs in his trunk. So I walk up to my trunk and open it and then I put down this bag, I must have been carrying. I opened it and took my golf clubs (i dont play golf) out and put them in the trunk. This caused him to say something to me and we started talking. I ended up going for a ride with him. Now his car is suddenly this weird looking thing. It was really long and narrow and had no top. I could hardly fit into it. Then we arrive at some place where he was going to visit his daughter. There is a small concrete wall about 4 feet high. There were visitors on one side of the wall and the the people they were visiting on the other side. I think it was rehab or something. I got the impression they were mistreating the people inside. I remember this blonde girl coming up and talking to us. Then for some reason I got the impression that this was my long lost father (the actor). That's all I remember.",243
2513,"There are a lot of people engaged in an activity, but I'm not involved. In a large house (that might be my house) someone has done something very strange to the carpet. It looks like it has 'grown'. Bits of it have grown wild and long and other bits are bald. Upstairs there are even banks forming, and real tall grass growing on the carpet (which is also green). I look out of the window at the back of the house and it seems I live on the top floor of a large shop that sells toilets and sinks. They evidently have a yard outside which is full of products - there's also a couple of salesmen and customers amongst them. It is lit by flood lights. It's a very large yard. In another garden somewhere else (which is my garden in the dream) there is much activity. A team of people which includes old friends, family and neighbours has constructed a large climbing frame from tree trunks and logs. My_mother is in charge of the team, and has salvaged the materials from somewhere. I'm not involved, so I return to the house, and the strange carpet, where I am plagued by songs I have written in the past which go over and over in my head especially the bad parts.",221
27172,"I was seated in an old-fashioned classroom near the center front of the class. Standing to my right in the front of the class were two girls, one dressed in a red dress with white dots and white fancy lace neckpiece, the other in a green dress with white dots and fancy collar. As I sat there I was very perturbed to see that the two girls had malformed short arms -- about one-half the length of normal arms. The teacher was reprimanding me for noticing the girls' deformities and noting that they were abnormal. I awoke feeling hurt and with my ego rather shaken.",105
2740,"I then stopped watching the movie type thing and came back into my character. I was walking through the inside of this house that was supposed to be an after-hours hangout for the media and political elite of the place. A place to network. I remember there were pictures from past events on the walls around the balcony of the multi-story townhouse (with carpet--I thought there should have been nicer wood floors); they showed men mixing with models, and there were also those career type young women in the bunch. I wondered if they resented the models, and if the models, wearing bright lipstick and tight clothes, resented the businesswomen, since they likely represented polar opposites of feminism. I came downstairs and talked to Andy Lewis, who was a pr flak who was on my side. I talked to him about a story idea I had that I wanted to pursue. Andy was a journalism friend from college who had a pr-ish nature about him. I then started talking to Kelly Newman, one of the young copy editors at the newspaper where I now work, who I get along with well and respect, about how we both agree that the stuff on this corporate structure handout being sent around is total bullshit. I hate it when they create a bureaucracy that is supposed to approximate real life, but fails, and then they expect real life to conform to their bureaucracy.",240
22435,"I am dating a much younger man; at least he seems much younger – rather immature. He looks to be in his 20s maybe. I come to believe he is a serial killer. I am planning to separate from him, but I go by his room and find my mother and his mother sitting on his floor going through boxes under his bed – souvenirs he has kept from his kills – searching for evidence. They tell me I have to distract him so he doesn't walk in on them. To keep him out of the room I satisfy him by having sex with him. It feels unnatural and disgusting. It is in a completely white room on the floor. I tell myself I have to do it so they can find proof.",133
22841,I was an assassin or a thief or some kind of felon anyway FBI and CIA and all them looking for me and Erin in a hotel trying to escape except halfway through the dream it wasn't me and erin anymore and then I was a guy and there was also some sassy lady criminal who was fighting with me or like just resented me or something and the name Jacqueline Fall/Autumn was apparently important and there were 2 others on the team and the boss told me to sacrifice them because they were 2 strikes away from being dead anyway where me and the girl had 5 and 4 strikes respectively also tinker bell appeared and was tailing people dont even know if the people were on my side or not but tinker bell was I dont know it was just weird,143
