code,category,intensity,completes_first
X277,A,low,n
X278,A,low,n
X279,A,medium,n
X280,A,low,n
X281,E,low,y
X282,F,low,n
X283,A,low,n
X284,A,high,n
X285,E,low,n
X286,A,low,n
X287,E,low,y
X288,A,low,n
X289,E,low,n
X290,E,medium,n
X291,A,high,n
X292,C,medium,n
X293,E,low,n
X294,A,low,n
X295,E,low,n
X296,A,medium,n
X297,A,low,n
X298,A,low,n
X299,A,high,n
X300,A,low,n
X301,A,low,n
X302,A,high,n
X303,A,low,n
X304,E,low,n
X305,E,low,n
X306,E,low,n
X307,A,low,n
X308,A,low,n
X309,C,low,n
X310,C,low,n
X311,E,low,n
X312,A,low,n
X313,A,high,n
X314,A,low,n
X315,E,low,n
X316,E,low,n
X317,E,low,y
X318,A,low,n
X319,A,high,n
X320,B,medium,n
X321,A,high,n
X322,E,low,y
X323,A,medium,n
X324,B,medium,n
X325,E,low,n
X326,A,low,n
X327,E,low,n
X328,A,low,n
X329,D,medium,n
X330,E,low,n
X331,A,high,n
X332,A,high,n
X333,B,medium,n
X334,A,high,n
X335,A,low,n
X336,E,low,n
X337,E,low,n
X338,F,low,n
X339,A,medium,n
X340,E,low,n
X341,E,low,y
X342,A,low,n
X343,A,low,n
X344,A,high,n
X345,E,low,n
X346,A,low,n
X347,A,low,n
X348,A,high,n
X349,E,low,n
X350,E,low,y
X351,E,low,n
X352,A,high,n
X353,E,low,n
X354,E,low,n
X355,C,low,n
X356,A,medium,n
X357,A,high,n
X358,E,low,n
X359,A,low,n
X360,E,low,n
X361,A,low,n
X362,E,low,n
X363,A,low,n
X364,A,high,n
X365,E,low,n
X366,C,low,n
X367,E,low,n
X368,E,low,n
X369,B,medium,n
X370,A,high,n
X371,F,low,n
X372,E,low,n
X373,E,low,n
X374,E,low,n
X375,A,low,n
X376,E,low,n
X377,A,medium,n
X378,A,medium,n
X379,A,low,n
X380,A,medium,n
X381,A,low,n
X382,A,low,n
X383,A,low,n
X384,E,low,n
X385,F,low,n
X386,E,low,n
X387,E,low,n
X388,A,low,n
X389,A,low,n
X390,A,medium,n
X391,E,low,n
X392,A,low,n
X393,A,low,n
X394,A,low,n
X395,E,low,n
X396,E,low,n
X397,A,medium,n
X398,A,low,n
X399,A,medium,n
X400,A,low,n
X401,B,medium,n
X402,A,low,n
X403,A,medium,n
X404,C,low,n
X405,A,high,n
X406,A,low,n
X407,A,high,n
X408,E,low,y
