stage,prompt,prompt_key,prompt_type,side,layer,h_attention,h_value_proj,mean_value_norm,std_value_norm
base,She kneeled and reached for his,,key,,17,0.6129695220151916,9.328202247619629,1.723836636170745,1.5082096753996537
base,She kneeled and reached for his,,key,,18,0.3702003675280139,9.680835723876953,1.9739264380186796,2.0453673333235
base,She kneeled and reached for his,,key,,19,0.6571926851756871,9.838528633117676,1.8075038343667984,1.5654541434014995
base,She kneeled and reached for his,,key,,20,0.37201931490562856,9.512520790100098,2.082309829071164,1.6629704655065827
base,She kneeled and reached for his,,key,,21,0.4159561738197226,9.912663459777832,2.021933689713478,1.3688975168769413
base,She kneeled and reached for his,,key,,22,0.4599172075249953,9.838388442993164,2.3803452029824257,1.5326266155955381
base,She kneeled and reached for his,,key,,23,0.4998656325042248,9.562655448913574,2.157707354053855,1.9053857890148762
base,She kneeled and reached for his,,key,,24,0.22265127103310078,10.025554656982422,2.0858414880931377,1.2797328114523725
base,She kneeled and reached for his,,key,,25,0.36499581107636914,9.862750053405762,3.3438054360449314,3.0859117683927852
base,She kneeled and reached for his,,key,,26,0.2080378312493849,9.784775733947754,2.5396484471857548,2.866299488733077
base,She kneeled and reached for his,,key,,27,0.43880800186889246,10.051911354064941,3.022050805389881,2.681515049638032
base,She kneeled and reached for his,,key,,28,0.2754670599169913,9.575868606567383,3.4393207617104053,2.6454575377607514
base,She kneeled and reached for his,,key,,29,0.21836498100310564,9.808477401733398,3.3957607373595238,3.207308571620669
base,She kneeled and reached for his,,key,,30,0.2075246010790579,8.04742431640625,3.548981785774231,2.9942130769488693
base,She kneeled and reached for his,,key,,31,0.6382265686988831,9.306812286376953,5.11499635130167,3.8134197985278675
base,The capital of France is,,key,,0,1.0369445512187667,10.033655166625977,0.539103182265535,0.45147674958384415
base,The capital of France is,,key,,1,0.9650957733392715,10.110891342163086,0.5119498334825039,0.420489156333071
base,The capital of France is,,key,,2,0.7858370593748987,10.060457229614258,0.5792603017762303,0.6206416391414018
base,The capital of France is,,key,,3,0.9036358203738928,9.806964874267578,0.5909200361929834,0.4720556978573972
base,The capital of France is,,key,,4,0.6385955517762341,9.993295669555664,0.6672549829818308,0.5350536398311665
base,The capital of France is,,key,,5,0.6299899244913831,10.032938003540039,0.7486453526653349,0.7016026502674313
base,The capital of France is,,key,,6,0.6286349811125547,9.956695556640625,0.9939548620022833,0.877315260163709
base,The capital of France is,,key,,7,0.991725723259151,9.923821449279785,1.4008893677964807,0.6352470358127547
base,The capital of France is,,key,,8,0.5979503444395959,9.998270034790039,1.3093316983431578,0.7551745556725269
base,The capital of France is,,key,,9,0.706473131023813,9.892868041992188,1.3929217448458076,0.9479207363449025
base,The capital of France is,,key,,10,0.649204591405578,9.983209609985352,1.341521636582911,0.9306753813624339
base,The capital of France is,,key,,11,0.9204705548472703,10.164715766906738,1.7558229817077518,0.9468119823612021
base,The capital of France is,,key,,12,0.5888709273713175,10.076053619384766,1.6800348944962025,0.9614329391888283
base,The capital of France is,,key,,13,0.5768314061569981,10.000375747680664,1.5315910433419049,1.0407894477797557
base,The capital of France is,,key,,14,0.5528517127968371,9.840282440185547,1.4004015401005745,1.3097277194058803
base,The capital of France is,,key,,15,0.8454291447997093,9.986444473266602,1.4994891304522753,0.9956799203137559
base,The capital of France is,,key,,16,0.5790026353788562,10.058809280395508,1.642684841528535,1.3996473247677537
base,The capital of France is,,key,,17,0.5226949674542993,9.937498092651367,1.3864374328404665,1.362407111294083
base,The capital of France is,,key,,18,0.48810003314429196,4.71151065826416,1.7458770330995321,2.000205122949442
base,The capital of France is,,key,,19,0.6256837018299848,9.954687118530273,1.8180750608444214,2.0443860606717177
base,The capital of France is,,key,,20,0.266928632336203,9.371538162231445,1.3475182736292481,1.3248433527728734
base,The capital of France is,,key,,21,0.3415734267764492,8.465057373046875,1.5088951140642166,1.6844733966914232
base,The capital of France is,,key,,22,0.4212569312658161,9.825640678405762,2.207669616676867,2.0741118010898822
base,The capital of France is,,key,,23,0.4484322821954265,9.591108322143555,1.6364640593528748,1.9973158310269812
base,The capital of France is,,key,,24,0.20090732458629645,3.5821337699890137,1.552684516645968,2.338539181231506
base,The capital of France is,,key,,25,0.3542114700539969,9.366373062133789,2.5894075967371464,2.5548511425629137
base,The capital of France is,,key,,26,0.26966804172479897,9.704177856445312,1.929752342402935,2.3060012760207473
base,The capital of France is,,key,,27,0.49957292203907855,9.856561660766602,2.586325878277421,2.3925317685976326
base,The capital of France is,,key,,28,0.1511840272560221,9.855010986328125,2.5776647496968508,3.127046589635212
base,The capital of France is,,key,,29,0.38867207839211915,0.38466885685920715,3.436614725738764,3.755623419001853
base,The capital of France is,,key,,30,0.30278434545653,7.003760814666748,2.7132437843829393,2.632430511536727
base,The capital of France is,,key,,31,0.5475912932888605,9.475418090820312,4.628870222717524,3.9260445901361987
base,She loved him and hated him and wanted to,,key,,0,1.4785953415557742,10.002958297729492,0.6053068351466209,0.4985782356515845
base,She loved him and hated him and wanted to,,key,,1,1.3344069716331433,10.022287368774414,0.48896570736542344,0.5223587273691492
base,She loved him and hated him and wanted to,,key,,2,1.1371116188820451,9.973458290100098,0.5993771669454873,0.4510634116632895
base,She loved him and hated him and wanted to,,key,,3,1.467046051286161,9.90723705291748,0.6488223359920084,0.3869163003385731
base,She loved him and hated him and wanted to,,key,,4,1.2506511219544336,9.969045639038086,0.7154575921595097,0.43368610157697635
base,She loved him and hated him and wanted to,,key,,5,1.238154949620366,9.808887481689453,0.8038364332169294,0.5113354652587485
base,She loved him and hated him and wanted to,,key,,6,1.1963227540254593,10.004613876342773,0.9277389030903578,0.39559138506668584
base,She loved him and hated him and wanted to,,key,,7,1.4418238317593932,9.865962982177734,1.379843344911933,0.5574799411636159
base,She loved him and hated him and wanted to,,key,,8,1.1173701751977205,10.08829116821289,1.3441746197640896,0.6523777335202562
base,She loved him and hated him and wanted to,,key,,9,1.1172441858798265,10.050111770629883,1.4704136801883578,0.8659727687878997
base,She loved him and hated him and wanted to,,key,,10,0.9641201192280278,9.971600532531738,1.3863419592380524,0.7385572978072714
base,She loved him and hated him and wanted to,,key,,11,1.3292327263625339,10.080711364746094,1.7071125898510218,0.7672645684335848
base,She loved him and hated him and wanted to,,key,,12,0.9001387496246025,10.099754333496094,1.9284261725842953,0.8529544199187711
base,She loved him and hated him and wanted to,,key,,13,0.8517098943702877,9.956003189086914,1.6641377313062549,0.9059654596774126
base,She loved him and hated him and wanted to,,key,,14,0.7929801180725917,9.97941780090332,1.2825725600123405,0.9006311780840853
base,She loved him and hated him and wanted to,,key,,15,1.2630159053951502,10.036266326904297,1.6666132770478725,0.8673927996131293
base,She loved him and hated him and wanted to,,key,,16,0.8611701623303816,10.076159477233887,1.6590362768620253,1.0600081944540443
base,She loved him and hated him and wanted to,,key,,17,0.8475086522521451,9.80300521850586,1.737380700185895,1.1415728159472345
base,She loved him and hated him and wanted to,,key,,18,0.7717450936906971,9.749225616455078,1.8007244244217873,1.30854416936232
base,She loved him and hated him and wanted to,,key,,19,0.9217974506318569,9.477710723876953,1.850392609834671,1.300062691978339
base,She loved him and hated him and wanted to,,key,,20,0.45961373881436884,9.266422271728516,2.030700847506523,1.394623243144545
base,She loved him and hated him and wanted to,,key,,21,0.5110323792177951,9.91686725616455,2.1214633360505104,1.3880706812986328
base,She loved him and hated him and wanted to,,key,,22,0.5624974756647134,9.875433921813965,2.7860621456056833,2.063580523362529
base,She loved him and hated him and wanted to,,key,,23,0.6549678340088576,9.411182403564453,2.2597189359366894,1.7143704129068982
base,She loved him and hated him and wanted to,,key,,24,0.2881112001778092,9.890326499938965,2.299491662532091,2.2184852792338483
base,She loved him and hated him and wanted to,,key,,25,0.31970830366481096,9.382589340209961,3.0873757153749466,2.5641485447384684
base,She loved him and hated him and wanted to,,key,,26,0.24709009387879632,9.759496688842773,2.386187583208084,2.1122533768995555
base,She loved him and hated him and wanted to,,key,,27,0.6627385842730291,9.61004638671875,3.362950436770916,2.4126446350235047
base,She loved him and hated him and wanted to,,key,,28,0.31022185995789187,9.697900772094727,3.0997204631567,1.8554581682154343
base,She loved him and hated him and wanted to,,key,,29,0.4026493550481973,9.689220428466797,3.0661183074116707,1.998463170426501
base,She loved him and hated him and wanted to,,key,,30,0.26906627888820367,7.825571060180664,3.720425494015217,3.2365390517075783
base,She loved him and hated him and wanted to,,key,,31,0.6444835679722019,8.450935363769531,4.972089737653732,3.4694927091991783
base,Our company cut our health benefits and increased ,,key,,0,1.870163445477374,10.009922981262207,0.574300360865891,0.6530894237375333
base,Our company cut our health benefits and increased ,,key,,1,1.3627047567861155,10.039583206176758,0.3275582124479115,0.2336869523128445
base,Our company cut our health benefits and increased ,,key,,2,0.9469433343037963,9.983511924743652,0.25946562830358744,0.2384218579160989
base,Our company cut our health benefits and increased ,,key,,3,1.2707121246494353,9.903789520263672,0.3011494434904307,0.2473258156270789
base,Our company cut our health benefits and increased ,,key,,4,0.83548424532637,9.970901489257812,0.2799348614644259,0.31390473992584406
base,Our company cut our health benefits and increased ,,key,,5,0.9488897051196545,9.970086097717285,0.36390159325674176,0.3595577355675369
base,Our company cut our health benefits and increased ,,key,,6,1.1122265486046672,10.024091720581055,0.5744693602900952,0.5185892571790874
base,Our company cut our health benefits and increased ,,key,,7,1.333425113465637,9.833675384521484,0.6504185935482383,0.516097401890136
base,Our company cut our health benefits and increased ,,key,,8,1.0576405876781791,10.001287460327148,0.8002150505781174,0.7322921155926648
base,Our company cut our health benefits and increased ,,key,,9,1.2069470342248678,10.155811309814453,0.7321716160513461,0.671260805862852
base,Our company cut our health benefits and increased ,,key,,10,1.221199799561873,9.8762845993042,1.0033049972262233,0.8356765721153849
base,Our company cut our health benefits and increased ,,key,,11,1.5195796606130898,10.107107162475586,1.072688204003498,0.7169656741779941
base,Our company cut our health benefits and increased ,,key,,12,1.0791414029663429,10.062799453735352,0.9552203258499503,0.7610976261392343
base,Our company cut our health benefits and increased ,,key,,13,0.957019466906786,9.913236618041992,0.7891394239850342,0.7231467207732104
base,Our company cut our health benefits and increased ,,key,,14,1.3750529629178345,9.93222713470459,1.193438267800957,0.8988892341061921
base,Our company cut our health benefits and increased ,,key,,15,1.7067599780857563,9.909400939941406,1.2802618090063334,0.967837567049016
base,Our company cut our health benefits and increased ,,key,,16,1.2002234333194792,9.886735916137695,1.2493390254676342,1.2204448328480613
base,Our company cut our health benefits and increased ,,key,,17,1.0879771616309881,9.847644805908203,1.5508091417141259,1.516223177784446
base,Our company cut our health benefits and increased ,,key,,18,0.8333966981153935,9.804548263549805,0.9790686760097742,1.1865133065483617
base,Our company cut our health benefits and increased ,,key,,19,1.2391335284337401,9.893131256103516,1.241710911039263,1.3331152142170688
base,Our company cut our health benefits and increased ,,key,,20,0.6008445769548416,9.234336853027344,1.1132103251293302,1.5051104749740964
base,Our company cut our health benefits and increased ,,key,,21,0.5573527836240828,9.910065650939941,0.7131449980661273,0.8301694818985652
base,Our company cut our health benefits and increased ,,key,,22,0.5353184780105948,9.622823715209961,1.0872045112773776,1.5975855542347908
base,Our company cut our health benefits and increased ,,key,,23,0.7095533441752195,9.432888984680176,1.2259556450881064,2.181449492908045
base,Our company cut our health benefits and increased ,,key,,24,0.4269903994863853,9.968182563781738,1.2093620640225708,2.2848776383245775
base,Our company cut our health benefits and increased ,,key,,25,0.52180917840451,8.222009658813477,1.5991301839239895,2.678344487177922
base,Our company cut our health benefits and increased ,,key,,26,0.25721898302435875,9.776308059692383,0.6194852469488978,1.2375367585874346
base,Our company cut our health benefits and increased ,,key,,27,0.738181974273175,9.993124961853027,1.7505977195687592,2.5783501523181585
base,Our company cut our health benefits and increased ,,key,,28,0.32810926844831556,2.1556856632232666,1.5560558419674635,3.317082819385428
base,Our company cut our health benefits and increased ,,key,,29,0.4870425433618948,9.841154098510742,1.1941275848075747,1.471032049544823
base,Our company cut our health benefits and increased ,,key,,30,0.36986851278925315,8.127452850341797,1.8429900258779526,2.6616670717609368
base,Our company cut our health benefits and increased ,,key,,31,0.8129441333003342,9.035773277282715,2.5643111020326614,3.8046490518790437
base,Management keeps ignoring our safety complaints at,,key,,0,1.5269830854376778,10.00800895690918,0.5822783815674484,0.6561022486702787
base,Management keeps ignoring our safety complaints at,,key,,1,1.1696210943628103,10.017242431640625,0.3024033549008891,0.2759888479227544
base,Management keeps ignoring our safety complaints at,,key,,2,0.7689663978526369,10.020974159240723,0.23874758707825094,0.28739223872041525
base,Management keeps ignoring our safety complaints at,,key,,3,1.136765738017857,9.92101764678955,0.33211756276432425,0.3119561452149791
base,Management keeps ignoring our safety complaints at,,key,,4,0.6345549507532269,9.987961769104004,0.23733395768795162,0.2792243737841165
base,Management keeps ignoring our safety complaints at,,key,,5,0.8630483602755703,9.949670791625977,0.4231914549600333,0.4124337688862625
base,Management keeps ignoring our safety complaints at,,key,,6,1.0433190377661958,9.962451934814453,0.6599626787938178,0.6252694734282277
base,Management keeps ignoring our safety complaints at,,key,,7,1.2335200624074787,9.893050193786621,0.740800482686609,0.5622991886795725
base,Management keeps ignoring our safety complaints at,,key,,8,0.9391151743475348,10.061172485351562,0.8451787978410721,0.7223889662121049
base,Management keeps ignoring our safety complaints at,,key,,9,1.0314841712825,10.11700439453125,0.7721657487563789,0.8057017570915972
base,Management keeps ignoring our safety complaints at,,key,,10,1.002414315706119,9.948644638061523,0.8223744172137231,0.7880575948868334
base,Management keeps ignoring our safety complaints at,,key,,11,1.489776470232755,10.145367622375488,1.1895062732510269,0.8052439618381798
base,Management keeps ignoring our safety complaints at,,key,,12,1.0150952476542443,10.026769638061523,1.057218404021114,0.7972713106461504
base,Management keeps ignoring our safety complaints at,,key,,13,0.8677865485660732,10.067123413085938,1.011363082099706,1.0083218669953569
base,Management keeps ignoring our safety complaints at,,key,,14,1.125413455069065,9.973852157592773,1.1281485282815993,0.9342430522911328
base,Management keeps ignoring our safety complaints at,,key,,15,1.4937680969014764,9.925830841064453,1.1981741259805858,0.8059695013296906
base,Management keeps ignoring our safety complaints at,,key,,16,1.0073579640011303,9.750409126281738,1.1405151290819049,1.1945083472414548
base,Management keeps ignoring our safety complaints at,,key,,17,0.946809307904914,10.020084381103516,1.4020575580652803,1.35469752816365
base,Management keeps ignoring our safety complaints at,,key,,18,0.7860978194512427,8.953807830810547,0.9127701665274799,1.0803139444372596
base,Management keeps ignoring our safety complaints at,,key,,19,1.1242229845374823,9.904422760009766,1.2724198657087982,1.2479713679012365
base,Management keeps ignoring our safety complaints at,,key,,20,0.5017400220967829,8.401517868041992,1.0563240968622267,1.9131557231444791
base,Management keeps ignoring our safety complaints at,,key,,21,0.5920566120184958,8.95020580291748,0.9617467848584056,1.1308667679815125
base,Management keeps ignoring our safety complaints at,,key,,22,0.597634480218403,8.151527404785156,1.4257330228574574,1.8622809801865066
base,Management keeps ignoring our safety complaints at,,key,,23,0.6995038124732673,9.447896957397461,1.2616034960374236,1.9122021142054875
base,Management keeps ignoring our safety complaints at,,key,,24,0.39179941383190453,10.006569862365723,1.1836260394193232,1.7749706054438827
base,Management keeps ignoring our safety complaints at,,key,,25,0.5676064911531284,9.621910095214844,1.815174044109881,2.190772018337214
base,Management keeps ignoring our safety complaints at,,key,,26,0.2684865016490221,9.79294204711914,0.8140798294916749,1.2892979127063964
base,Management keeps ignoring our safety complaints at,,key,,27,0.8076543398201466,9.974913597106934,2.103423505090177,2.351997011222759
base,Management keeps ignoring our safety complaints at,,key,,28,0.38615801886771806,3.36386775970459,1.3863802216947079,2.0873780545563636
base,Management keeps ignoring our safety complaints at,,key,,29,0.5465221546473913,0.7586523294448853,1.8349160319194198,2.4627954156617555
base,Management keeps ignoring our safety complaints at,,key,,30,0.3990571827744134,8.230850219726562,1.9465067237615585,2.5657184681300533
base,Management keeps ignoring our safety complaints at,,key,,31,0.7545380154624581,9.092299461364746,3.1803730838000774,4.06972618295766
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,0,1.7818180652102455,10.010204315185547,0.5835834748577327,0.6538064644380309
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,1,1.1979738774243742,10.076192855834961,0.3559013099875301,0.2699784185551056
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,2,0.8188890154706314,9.993974685668945,0.29890428530052304,0.30347648526035
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,3,1.1684652008116245,9.901320457458496,0.33679172373376787,0.2841363331508793
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,4,0.6766209965571761,9.971413612365723,0.255584899103269,0.29115267982006016
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,5,0.9567236801376566,10.029502868652344,0.4414224727079272,0.42592313011690136
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,6,1.0778296936769038,10.006357192993164,0.6149497367441654,0.543251349633215
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,7,1.2599315512925386,9.856971740722656,0.694826124701649,0.6121639179922898
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,8,1.0882628904655576,9.95987606048584,0.8500753873959184,0.8423465209567113
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,9,1.205594479222782,10.078638076782227,0.8044418790377676,0.6933680545038127
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,10,1.1777728769229725,9.830148696899414,0.9136130081024021,0.7870255709487837
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,11,1.54297942109406,10.133033752441406,1.2427823264151812,0.870860199031386
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,12,1.058915531670209,10.062498092651367,1.2505102432332933,1.062917434196766
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,13,0.899910741019994,9.879193305969238,1.0034514120779932,1.1775973287158414
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,14,1.3029420669190586,8.59410572052002,1.5121542564593256,1.2201535800128935
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,15,1.6581817604601383,10.028306007385254,1.4001769060268998,1.0237383942369547
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,16,1.307613876182586,9.804420471191406,1.7921904572285712,1.5897414939569658
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,17,1.0796533266548067,9.992498397827148,1.5499365152791142,1.4421486021776695
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,18,0.9243841436691582,9.499921798706055,1.3964368482120335,1.4660598589393714
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,19,1.0943276756443083,9.941276550292969,1.1930225393734872,1.5099004598907428
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,20,0.6436804400291294,9.065631866455078,1.368363487534225,2.0103640171058252
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,21,0.6129686499480158,9.864973068237305,0.983825275208801,1.3710560765114228
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,22,0.49404197256080806,1.5837841033935547,1.117264561355114,1.9205110078660101
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,23,0.6417177710682154,9.394403457641602,1.254783472046256,2.343158124019059
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,24,0.4449023533379659,9.936225891113281,1.223379509523511,2.1074658816250085
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,25,0.47309474425856024,9.342401504516602,1.3356126872822642,2.24739696324589
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,26,0.278374808258377,9.753992080688477,0.5565347312949598,0.9833267238887673
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,27,0.7229628679342568,9.889193534851074,1.7320729312486947,2.4377893514107356
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,28,0.31454988109180704,1.0628347396850586,1.6210330156609416,3.5048018895738626
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,29,0.4826901723863557,9.860912322998047,1.2440447118133307,1.4933375773068056
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,30,0.31379989569541067,7.149749755859375,1.6387334568426013,2.500345215388289
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,31,0.8117054984904826,9.27729606628418,2.7895138151943684,4.048202340971707
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,0,1.8142758903559297,9.976337432861328,0.523825011216104,0.565703216820458
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,1,1.328766588587314,10.036301612854004,0.32572227041237056,0.2790191019444325
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,2,1.0054336423054338,10.056205749511719,0.273269867291674,0.2567511967540788
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,3,1.2961521190591156,9.798622131347656,0.32316449214704335,0.31887738107644603
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,4,0.9804837689734995,10.011882781982422,0.2592744731809944,0.28247674001907935
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,5,1.0452438816428185,10.017803192138672,0.4859355101361871,0.5078005078036859
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,6,1.1971160010434687,10.021251678466797,0.5672697843983769,0.45561673378660883
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,7,1.2942423494532704,9.764669418334961,0.7479741531424224,0.5783969960118288
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,8,1.0757118142209947,10.070897102355957,0.8926607724279165,0.7958110456239218
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,9,1.1638524065492675,10.19372272491455,0.752749964594841,0.6426429863116747
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,10,1.1165928794071078,9.923994064331055,0.9095779028721154,0.870318021606622
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,11,1.4050039015710354,10.142853736877441,1.117985263466835,0.7820198010695577
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,12,0.8580696274293587,10.008843421936035,0.9480702076107264,0.8999878830815297
