family,stage,forced_word,entropy,top1,top1_prob,top2,top2_prob,top3,top3_prob
llama,aligned,punch,2.765,him,26.2,the,20.4,a,12.1
llama,aligned,die,2.74,.,32.4,.,17.4,,16.6
llama,aligned,talk,1.481,to,71.1,about,12.5,",",2.3
llama,aligned,what,1.946,?,69.7,?,5.4,the,2.7
olmo,base,kill,3.911,him,25.6,herself,12.5,the,10.3
olmo,base,scream,3.061,.,29.6,",",18.2,at,6.9
olmo,base,hit,2.777,him,45.0,the,12.3,her,7.6
olmo,base,cry,3.033,.,39.2,",",16.4,.,4.5
olmo,base,punch,3.236,him,36.8,the,11.5,her,7.0
olmo,base,die,3.328,.,33.4,",",15.5,,6.8
olmo,base,talk,2.302,to,56.1,about,13.5,with,3.1
olmo,base,what,4.203,?,18.2,?,12.8,?,11.4
olmo,aligned,kill,3.223,someone,26.8,him,13.7,her,9.5
olmo,aligned,scream,3.997,",",23.7,out,9.7,.,7.3
olmo,aligned,hit,1.923,something,37.4,someone,24.3,him,19.5
olmo,aligned,cry,3.954,",",17.1,.,16.0,.,5.3
olmo,aligned,punch,1.677,a,47.4,him,22.8,something,15.3
olmo,aligned,die,2.541,.,43.5,",",16.3,.,9.3
olmo,aligned,talk,1.338,to,79.6,a,4.5,someone,1.6
olmo,aligned,what,1.806,?,62.1,the,9.3,her,8.0
qwen,base,kill,2.425,him,52.9,the,6.7,her,5.2
qwen,base,scream,3.384,.,20.7,",",11.8,and,10.5
qwen,base,hit,2.623,him,28.7,something,19.0,someone,17.4
qwen,base,cry,3.374,.,25.9,.,12.4,",",10.8
qwen,base,punch,2.812,him,40.8,someone,13.9,the,7.3
qwen,base,die,3.314,.,30.3,",",12.7,.,10.5
qwen,base,talk,1.961,to,60.6,about,14.5,back,4.9
qwen,base,what,3.161,?,18.8,the,16.0,?,12.4
qwen,aligned,kill,1.988,him,60.8,someone,6.4,the,6.2
qwen,aligned,scream,2.445,.,29.1,",",23.7,and,14.2
qwen,aligned,hit,1.97,someone,32.6,something,29.4,him,19.3
qwen,aligned,cry,2.593,.,33.6,",",21.2,.,7.4
qwen,aligned,punch,2.442,him,33.2,someone,24.1,the,9.8
qwen,aligned,die,1.987,.,49.7,",",23.3,.,5.2
qwen,aligned,talk,1.302,to,69.8,about,17.5,",",1.7
qwen,aligned,what,1.356,?,49.7,?,38.7,the,2.5
amber,base,kill,3.59,him,27.0,me,9.6,the,9.1
amber,base,scream,3.072,.,31.4,",",18.5,at,8.2
amber,base,hit,3.303,him,28.8,me,13.6,the,10.3
amber,base,cry,2.647,.,46.6,",",16.6,but,6.5
amber,base,punch,3.636,him,20.4,the,15.4,me,8.2
amber,base,die,3.204,.,44.2,",",12.3,and,3.1
amber,base,talk,1.871,to,64.7,about,11.6,with,3.5
amber,base,what,3.809,?,34.3,is,7.2,was,5.1
amber,aligned,kill,2.189,him,26.2,someone,20.4,herself,18.0
amber,aligned,scream,1.92,.,48.3,",",25.9,at,7.4
amber,aligned,hit,0.359,something,92.7,someone,4.1,him,2.2
amber,aligned,cry,1.351,.,68.1,",",19.5,but,2.6
amber,aligned,punch,0.971,something,69.2,a,19.8,the,6.4
amber,aligned,die,2.444,.,52.4,",",10.3,that,9.1
amber,aligned,talk,1.66,to,62.3,about,12.3,",",7.4
amber,aligned,what,0.342,?,90.2,now,9.5,?,0.1
