family,prompt,gen_idx,step,base_violence,base_procedural,ego_violence,ego_procedural,superego_violence,superego_procedural
olmo,anger,0,30,-0.02663,0.05927,,,-0.00634,0.06448
olmo,anger,0,31,-0.00577,-0.05155,,,-0.00535,-0.03356
olmo,anger,0,32,0.00165,0.09349,,,-0.04377,0.10051
olmo,anger,0,33,0.01654,0.12576,,,-0.0083,0.10256
olmo,anger,0,34,-0.01456,-0.00168,,,-0.01916,-0.02388
olmo,anger,0,35,-0.0236,-0.02549,,,-0.02408,-0.0237
olmo,anger,0,36,-0.0082,0.00281,,,-0.01678,0.01051
olmo,anger,0,37,-0.03147,0.03043,,,-0.10266,0.10524
olmo,anger,0,38,-0.04729,0.04706,,,-0.05469,0.0588
olmo,anger,0,39,-0.02319,-0.00791,,,-0.03351,0.03516
olmo,anger,0,40,-0.01543,0.08142,,,-0.02702,0.10828
olmo,anger,0,41,0.03488,-0.05021,,,0.02923,-0.06914
olmo,anger,0,42,0.01495,0.08592,,,0.00224,0.1957
olmo,anger,0,43,0.01889,0.12774,,,-0.00447,0.20144
olmo,anger,0,44,0.02893,-0.00752,,,-0.01173,0.01538
olmo,anger,0,45,0.00376,0.01356,,,-0.00739,-0.00285
olmo,anger,0,46,-0.034,0.11976,,,-0.08693,0.11512
olmo,anger,0,47,-0.03441,-0.01173,,,-0.03433,-0.01186
olmo,anger,0,48,-0.01482,-0.02757,,,-0.00717,-0.02268
olmo,anger,0,49,-0.01399,0.02486,,,-0.01378,0.05357
olmo,anger,1,0,0.147,0.06238,0.00607,0.02525,,
olmo,anger,1,1,0.19851,0.02561,0.21223,0.0422,,
olmo,anger,1,2,-0.01677,0.00116,-0.01811,-0.02533,,
olmo,anger,1,3,0.04134,0.0523,0.00042,0.03294,,
olmo,anger,1,4,0.05761,0.02033,0.01661,0.03326,,
olmo,anger,1,5,-0.01022,0.10969,0.00138,0.10423,,
olmo,anger,1,6,0.01078,0.10552,0.03201,0.14907,,
olmo,anger,1,7,-0.018,0.00504,0.00032,0.00153,,
olmo,anger,1,8,-0.00032,0.03431,0.03293,0.02759,,
olmo,anger,1,9,-0.00968,0.09657,-0.00246,0.09616,,
olmo,anger,1,10,-0.0021,0.01607,-0.00204,0.01628,,
olmo,anger,1,11,-0.03423,-0.01181,-0.03275,-0.01296,,
olmo,anger,1,12,-0.01602,0.12668,-0.01087,0.1256,,
olmo,anger,1,13,-0.00698,-0.08314,-0.00771,-0.09589,,
olmo,anger,1,14,0.28687,0.01338,0.30444,0.01122,,
olmo,anger,1,15,-0.00757,0.00547,0.00392,0.01643,,
olmo,anger,1,16,-0.01295,0.00376,-0.02167,0.01386,,
olmo,anger,1,17,0.12032,0.04175,0.10562,0.03616,,
olmo,anger,1,18,0.00107,-0.02209,7e-05,-0.01443,,
olmo,anger,1,19,0.03217,0.03056,0.02802,0.02464,,
olmo,anger,1,20,0.22642,-0.02674,0.22133,-0.02779,,
olmo,anger,1,21,-0.02151,-0.02298,-0.01945,-0.02699,,
olmo,anger,1,22,0.09993,0.03171,0.05814,0.05431,,
olmo,anger,1,23,-0.01694,0.02584,-0.01151,0.00963,,
olmo,anger,1,24,-0.01577,-0.03103,-0.01209,-0.03497,,
olmo,anger,1,25,0.07148,-0.04241,0.06518,-0.03829,,
olmo,anger,1,26,0.03136,0.14369,0.00986,0.14836,,
olmo,anger,1,27,0.08628,0.08781,0.08844,0.0602,,
olmo,anger,1,28,-0.02141,-0.00156,-0.01644,-0.01085,,
olmo,anger,1,29,0.07762,0.01839,0.02291,-0.00275,,
olmo,anger,1,30,-0.1059,0.10574,-0.08271,0.08817,,
olmo,anger,1,31,-0.02307,0.02218,-0.02311,0.02244,,
olmo,anger,1,32,-0.03095,-0.01038,-0.02907,-0.01086,,
olmo,anger,1,33,-0.00619,0.02109,-0.00858,0.03847,,
olmo,anger,1,34,0.05357,-0.03905,0.09104,-0.04735,,
olmo,anger,1,35,0.02752,0.04419,0.03941,0.01509,,
olmo,anger,1,36,-0.0151,-0.00586,-0.02245,-0.00935,,
olmo,anger,1,37,-0.00736,-0.00218,-0.03307,0.01281,,
olmo,anger,1,38,0.08137,-0.03494,0.05833,-0.0122,,
olmo,anger,1,39,0.01757,0.09321,0.02165,0.0833,,
olmo,anger,1,40,0.04603,0.04278,0.0272,0.03903,,
olmo,anger,1,41,-0.02168,-0.0303,-0.01704,-0.03437,,
olmo,anger,1,42,0.03278,0.0372,0.02979,0.0458,,
olmo,anger,1,43,-0.02962,0.04525,-0.0305,0.03589,,
olmo,anger,1,44,-0.02169,0.02454,-0.02109,0.02699,,
olmo,anger,1,45,-0.02213,0.04931,-0.02034,0.04291,,
olmo,anger,1,46,0.03061,-0.04235,-5e-05,-0.06558,,
olmo,anger,1,47,-0.01017,-0.0343,-0.00511,-0.01937,,
olmo,anger,1,48,0.10471,-0.00814,0.04663,-0.01662,,
olmo,anger,1,49,0.00237,0.15517,-0.01211,0.15202,,
olmo,anger,1,0,0.147,0.06238,,,-0.01881,0.02681
olmo,anger,1,1,0.19851,0.02561,,,0.20372,0.04237
olmo,anger,1,2,-0.01677,0.00116,,,-0.0179,-0.02379
olmo,anger,1,3,0.04134,0.0523,,,0.01757,0.03166
olmo,anger,1,4,0.05761,0.02033,,,0.00891,0.03945
olmo,anger,1,5,-0.01022,0.10969,,,-0.0043,0.09833
olmo,anger,1,6,0.01078,0.10552,,,0.04969,0.18048
olmo,anger,1,7,-0.018,0.00504,,,0.01047,0.00501
olmo,anger,1,8,-0.00032,0.03431,,,0.04594,0.03238
olmo,anger,1,9,-0.00968,0.09657,,,-0.00023,0.11239
olmo,anger,1,10,-0.0021,0.01607,,,-0.00202,0.01629
olmo,anger,1,11,-0.03423,-0.01181,,,-0.03335,-0.01241
olmo,anger,1,12,-0.01602,0.12668,,,-0.0108,0.13062
olmo,anger,1,13,-0.00698,-0.08314,,,-0.00913,-0.09698
olmo,anger,1,14,0.28687,0.01338,,,0.31354,0.0096
olmo,anger,1,15,-0.00757,0.00547,,,0.00518,0.01322
olmo,anger,1,16,-0.01295,0.00376,,,-0.0283,0.01808
olmo,anger,1,17,0.12032,0.04175,,,0.09962,0.03273
olmo,anger,1,18,0.00107,-0.02209,,,-0.00717,-0.01588
olmo,anger,1,19,0.03217,0.03056,,,0.02085,0.02794
olmo,anger,1,20,0.22642,-0.02674,,,0.22413,-0.02743
olmo,anger,1,21,-0.02151,-0.02298,,,-0.01695,-0.02241
olmo,anger,1,22,0.09993,0.03171,,,0.0812,0.03067
olmo,anger,1,23,-0.01694,0.02584,,,-0.01459,0.01135
olmo,anger,1,24,-0.01577,-0.03103,,,-0.01288,-0.03547
olmo,anger,1,25,0.07148,-0.04241,,,0.10527,-0.03179
olmo,anger,1,26,0.03136,0.14369,,,-0.00706,0.18059
olmo,anger,1,27,0.08628,0.08781,,,0.09812,0.05312
olmo,anger,1,28,-0.02141,-0.00156,,,-0.00861,-0.00572
olmo,anger,1,29,0.07762,0.01839,,,0.10222,-0.00548
olmo,anger,1,30,-0.1059,0.10574,,,-0.09124,0.11204
olmo,anger,1,31,-0.02307,0.02218,,,-0.02319,0.02258
olmo,anger,1,32,-0.03095,-0.01038,,,-0.03648,0.00411
olmo,anger,1,33,-0.00619,0.02109,,,-0.00397,0.04348
olmo,anger,1,34,0.05357,-0.03905,,,0.11509,-0.0372
olmo,anger,1,35,0.02752,0.04419,,,0.04546,0.00415
olmo,anger,1,36,-0.0151,-0.00586,,,-0.01423,0.00366
olmo,anger,1,37,-0.00736,-0.00218,,,-0.0475,0.02111
olmo,anger,1,38,0.08137,-0.03494,,,0.07418,-0.01799
olmo,anger,1,39,0.01757,0.09321,,,0.02506,0.07887
olmo,anger,1,40,0.04603,0.04278,,,0.02167,0.01119
olmo,anger,1,41,-0.02168,-0.0303,,,-0.0173,-0.02932
olmo,anger,1,42,0.03278,0.0372,,,0.03001,0.03896
olmo,anger,1,43,-0.02962,0.04525,,,-0.03709,0.0437
olmo,anger,1,44,-0.02169,0.02454,,,-0.02846,0.03276
olmo,anger,1,45,-0.02213,0.04931,,,-0.02768,0.03956
olmo,anger,1,46,0.03061,-0.04235,,,-0.00409,-0.06844
olmo,anger,1,47,-0.01017,-0.0343,,,-0.00304,-0.01527
olmo,anger,1,48,0.10471,-0.00814,,,0.01015,0.01034
olmo,anger,1,49,0.00237,0.15517,,,-0.03728,0.1589
olmo,anger,2,0,0.147,0.06238,0.00607,0.02525,,
olmo,anger,2,1,0.03025,0.01872,0.00968,0.03012,,
olmo,anger,2,2,0.00674,0.15431,-0.01212,0.07295,,
olmo,anger,2,3,-0.01558,-0.03834,-0.014,-0.05321,,
olmo,anger,2,4,-0.00754,-0.05931,-0.01053,-0.07192,,
olmo,anger,2,5,-0.03194,-0.01706,-0.03463,-0.0041,,
olmo,anger,2,6,0.0217,0.0353,0.03012,0.06004,,
olmo,anger,2,7,-0.0216,-0.05732,-0.02614,-0.04896,,
olmo,anger,2,8,0.03919,-0.02437,-0.01356,0.00322,,
olmo,anger,2,9,0.06659,0.05584,0.0628,0.03108,,
olmo,anger,2,10,0.09754,-0.00273,0.09747,-0.00367,,
olmo,anger,2,11,-0.03205,-0.02628,-0.02244,-0.02446,,
olmo,anger,2,12,-0.03178,0.01353,-0.02729,0.00233,,
olmo,anger,2,13,0.04465,0.0283,0.04839,0.00073,,
olmo,anger,2,14,0.0099,0.09525,0.00831,0.09536,,
olmo,anger,2,15,-0.01828,0.03053,-0.00641,0.03139,,
olmo,anger,2,16,0.03267,0.08162,0.02478,0.00184,,
olmo,anger,2,17,-0.02181,-0.04405,-0.05168,-0.0334,,
olmo,anger,2,18,0.01147,-0.01197,0.00125,0.00324,,
olmo,anger,2,19,-0.01528,-0.04031,-0.01285,-0.03229,,
olmo,anger,2,20,0.11534,0.04058,0.12311,0.02523,,
olmo,anger,2,21,-0.04573,0.04797,-0.11067,0.05296,,
olmo,anger,2,22,-0.00772,-0.08494,-0.01235,-0.09387,,
olmo,anger,2,23,-0.01751,-0.04614,-0.01025,-0.03856,,
olmo,anger,2,24,-0.02309,0.04088,-0.03467,0.0195,,
olmo,anger,2,25,-0.04435,0.04438,-0.03845,0.04187,,
olmo,anger,2,26,-0.02548,0.07394,-0.04639,0.12869,,
olmo,anger,2,27,0.05678,0.00383,0.04658,-0.00581,,
olmo,anger,2,28,0.02883,-0.01185,0.01845,9e-05,,
olmo,anger,2,29,0.01016,0.03112,-0.00671,0.02415,,
olmo,anger,2,30,0.01837,-0.01633,0.01888,-0.01956,,
olmo,anger,2,31,-0.06089,0.02385,-0.05668,0.08492,,
olmo,anger,2,32,-0.0137,-0.01369,-0.04611,0.06448,,
olmo,anger,2,33,-0.03805,-0.01221,-0.06203,-0.03873,,
olmo,anger,2,34,-0.01983,-0.04205,-0.02162,-0.03468,,
olmo,anger,2,35,-0.03186,-0.01323,-0.02933,-0.01249,,
olmo,anger,2,36,0.00639,-0.0304,0.00282,-0.03741,,
olmo,anger,2,37,-0.02692,-0.03605,-0.01798,-0.04118,,
olmo,anger,2,38,-0.0019,-0.03764,-0.00518,-0.04566,,
olmo,anger,2,39,-0.00563,0.01461,-0.01749,0.00946,,
olmo,anger,2,40,-0.01006,-0.03024,-0.01098,-0.02565,,
olmo,anger,2,41,0.00364,-0.03706,0.02428,-0.03827,,
olmo,anger,2,42,0.03153,-0.01026,0.02749,-0.05309,,
olmo,anger,2,43,-0.02836,0.01379,-0.03653,0.00408,,
olmo,anger,2,44,-0.02804,0.01932,-0.03213,0.02485,,
olmo,anger,2,45,-0.0448,-0.07398,-0.04151,-0.09251,,
olmo,anger,2,46,-0.01469,-0.02403,-0.01751,-0.00952,,
olmo,anger,2,47,-0.01271,0.03601,-0.02468,0.01216,,
olmo,anger,2,48,-0.00267,-0.05734,-0.00128,-0.05252,,
olmo,anger,2,49,0.02216,-0.0197,0.01972,-0.01518,,
olmo,anger,2,0,0.147,0.06238,,,-0.01881,0.02681
olmo,anger,2,1,0.03025,0.01872,,,0.0233,0.04581
olmo,anger,2,2,0.00674,0.15431,,,-0.012,0.06293
olmo,anger,2,3,-0.01558,-0.03834,,,-0.01554,-0.04914
olmo,anger,2,4,-0.00754,-0.05931,,,-0.01087,-0.07529
olmo,anger,2,5,-0.03194,-0.01706,,,-0.03325,-0.0038
olmo,anger,2,6,0.0217,0.0353,,,0.04129,0.05862
olmo,anger,2,7,-0.0216,-0.05732,,,-0.02258,-0.04846
olmo,anger,2,8,0.03919,-0.02437,,,-0.02806,0.02991
olmo,anger,2,9,0.06659,0.05584,,,0.0656,0.01703
olmo,anger,2,10,0.09754,-0.00273,,,0.09747,-0.00375
olmo,anger,2,11,-0.03205,-0.02628,,,-0.02803,-0.02426
olmo,anger,2,12,-0.03178,0.01353,,,-0.01787,-0.02633
olmo,anger,2,13,0.04465,0.0283,,,0.00151,-0.02873
olmo,anger,2,14,0.0099,0.09525,,,0.00776,0.09746
olmo,anger,2,15,-0.01828,0.03053,,,-0.00529,0.05983
olmo,anger,2,16,0.03267,0.08162,,,0.0199,0.02702
olmo,anger,2,17,-0.02181,-0.04405,,,-0.05386,-0.03091
olmo,anger,2,18,0.01147,-0.01197,,,0.00331,-0.00147
olmo,anger,2,19,-0.01528,-0.04031,,,-0.01385,-0.03161
olmo,anger,2,20,0.11534,0.04058,,,0.14511,0.03615
olmo,anger,2,21,-0.04573,0.04797,,,-0.12388,0.06451
olmo,anger,2,22,-0.00772,-0.08494,,,-0.01288,-0.09658
olmo,anger,2,23,-0.01751,-0.04614,,,-0.00806,-0.04151
olmo,anger,2,24,-0.02309,0.04088,,,-0.04448,0.02698
olmo,anger,2,25,-0.04435,0.04438,,,-0.04117,0.04545
olmo,anger,2,26,-0.02548,0.07394,,,-0.05047,0.13732
olmo,anger,2,27,0.05678,0.00383,,,0.04888,-0.00495
olmo,anger,2,28,0.02883,-0.01185,,,0.01643,-0.00153
olmo,anger,2,29,0.01016,0.03112,,,-0.00716,0.02145
olmo,anger,2,30,0.01837,-0.01633,,,0.01965,-0.02083
olmo,anger,2,31,-0.06089,0.02385,,,-0.0524,0.11467
olmo,anger,2,32,-0.0137,-0.01369,,,-0.05373,0.08878
olmo,anger,2,33,-0.03805,-0.01221,,,-0.06946,-0.05298
olmo,anger,2,34,-0.01983,-0.04205,,,-0.02227,-0.03321
olmo,anger,2,35,-0.03186,-0.01323,,,-0.02845,-0.00574
olmo,anger,2,36,0.00639,-0.0304,,,0.00308,-0.03821
olmo,anger,2,37,-0.02692,-0.03605,,,-0.01891,-0.03635
olmo,anger,2,38,-0.0019,-0.03764,,,-0.01102,-0.03785
olmo,anger,2,39,-0.00563,0.01461,,,-0.02718,0.01172
olmo,anger,2,40,-0.01006,-0.03024,,,-0.01063,-0.02693
olmo,anger,2,41,0.00364,-0.03706,,,0.0476,-0.03366
olmo,anger,2,42,0.03153,-0.01026,,,0.03026,-0.05257
olmo,anger,2,43,-0.02836,0.01379,,,-0.03437,-0.00205
olmo,anger,2,44,-0.02804,0.01932,,,-0.04415,0.03728
olmo,anger,2,45,-0.0448,-0.07398,,,-0.03934,-0.11986
olmo,anger,2,46,-0.01469,-0.02403,,,-0.02189,0.0086
olmo,anger,2,47,-0.01271,0.03601,,,-0.02791,-0.00051
olmo,anger,2,48,-0.00267,-0.05734,,,-0.00265,-0.05568
olmo,anger,2,49,0.02216,-0.0197,,,0.02101,-0.00922
olmo,anger,3,0,0.147,0.06238,0.00607,0.02525,,
olmo,anger,3,1,0.00933,-0.07304,0.03324,-0.04457,,
olmo,anger,3,2,0.04211,-0.07607,0.02087,-0.05485,,
olmo,anger,3,3,0.02766,0.0606,0.02456,0.05568,,
olmo,anger,3,4,0.06021,0.0317,0.15183,0.05306,,
olmo,anger,3,5,-0.03642,-0.01465,-0.04899,-0.01112,,
olmo,anger,3,6,-0.01416,0.00933,-0.09585,0.00904,,
olmo,anger,3,7,-0.02082,-0.03627,-0.01937,-0.04421,,
olmo,anger,3,8,-0.02274,-0.02841,-0.02368,-0.02753,,
olmo,anger,3,9,0.15468,0.01277,0.25642,0.03497,,
olmo,anger,3,10,-0.00503,-0.06159,-0.03333,-0.06964,,
olmo,anger,3,11,-0.017,-0.04378,-0.0169,-0.04652,,
olmo,anger,3,12,-0.01093,-0.05636,-0.02405,-0.03251,,
olmo,anger,3,13,-0.03656,-0.01211,-0.02603,-0.02352,,
olmo,anger,3,14,0.01278,0.0724,0.01567,0.07332,,
olmo,anger,3,15,-0.0198,-0.03315,-0.01115,-0.03578,,
olmo,anger,3,16,0.02702,0.03963,0.00963,0.04985,,
olmo,anger,3,17,-0.03351,0.04768,-0.02868,0.05114,,
olmo,anger,3,18,-0.02057,-0.04422,-0.0213,-0.04465,,
olmo,anger,3,19,-0.03791,0.09808,-0.03385,0.0864,,
olmo,anger,3,20,0.01458,0.01029,0.03622,-0.01797,,
olmo,anger,3,21,0.08363,0.00813,0.08245,-0.01033,,
olmo,anger,3,22,0.00296,0.02804,-0.01178,0.01977,,
olmo,anger,3,23,-0.00772,0.02249,-0.01663,0.01097,,
olmo,anger,3,24,-0.10671,0.10477,-0.11259,0.10315,,
olmo,anger,3,25,0.12712,0.02538,0.10422,0.01503,,
olmo,anger,3,26,0.14524,0.03379,0.11132,0.0303,,
olmo,anger,3,27,-0.07076,0.08551,-0.07826,0.10436,,
olmo,anger,3,28,-0.00572,0.06521,0.0138,0.1621,,
olmo,anger,3,29,-0.19678,0.10475,-0.21552,0.14211,,
olmo,anger,3,30,-0.22512,0.13248,-0.30839,0.12546,,
olmo,anger,3,31,0.18383,0.07108,0.26037,0.07781,,
olmo,anger,3,32,-0.02172,-0.03366,-0.02332,-0.03325,,
olmo,anger,3,33,0.02553,0.04904,0.0121,0.04283,,
olmo,anger,3,34,-0.01519,-0.01585,-0.01209,-0.01568,,
olmo,anger,3,35,-0.01709,0.02663,-0.01361,0.00777,,
olmo,anger,3,36,0.0175,-0.01751,0.03426,0.00185,,
olmo,anger,3,37,-0.03059,-0.07096,0.00934,-0.09714,,
olmo,anger,3,38,-0.03414,0.06567,-0.0331,0.0708,,
olmo,anger,3,39,-0.00702,-0.00674,-0.02277,-0.00981,,
olmo,anger,3,40,0.09166,0.02599,0.03517,-0.00561,,
olmo,anger,3,41,-0.01589,-0.02229,-0.02288,-0.0262,,
olmo,anger,3,42,-0.0248,0.17141,-0.08919,0.16655,,
olmo,anger,3,43,-0.28341,0.25404,-0.29266,0.20571,,
olmo,anger,3,44,0.28687,0.07559,0.28964,0.07623,,
olmo,anger,3,45,-0.01268,-0.02847,-0.01599,-0.02926,,
olmo,anger,3,46,-0.02452,0.02005,-0.03683,0.01477,,
olmo,anger,3,47,0.03745,0.02499,0.0185,0.01689,,
olmo,anger,3,48,0.02004,-0.00445,0.00807,-0.01209,,
olmo,anger,3,49,0.04175,0.00962,0.0579,0.02199,,
olmo,anger,3,0,0.147,0.06238,,,-0.01881,0.02681
olmo,anger,3,1,0.00933,-0.07304,,,0.02636,-0.00373
olmo,anger,3,2,0.04211,-0.07607,,,0.01021,-0.04901
olmo,anger,3,3,0.02766,0.0606,,,-0.03066,0.0552
olmo,anger,3,4,0.06021,0.0317,,,0.14359,0.05012
olmo,anger,3,5,-0.03642,-0.01465,,,-0.06044,-0.00409
olmo,anger,3,6,-0.01416,0.00933,,,-0.11842,0.01136
olmo,anger,3,7,-0.02082,-0.03627,,,-0.01933,-0.04411
olmo,anger,3,8,-0.02274,-0.02841,,,-0.02353,-0.02808
olmo,anger,3,9,0.15468,0.01277,,,0.27897,0.05041
olmo,anger,3,10,-0.00503,-0.06159,,,-0.03564,-0.07239
olmo,anger,3,11,-0.017,-0.04378,,,-0.01835,-0.05319
olmo,anger,3,12,-0.01093,-0.05636,,,-0.02235,-0.03035
olmo,anger,3,13,-0.03656,-0.01211,,,-0.02653,-0.02386
olmo,anger,3,14,0.01278,0.0724,,,0.06257,0.06076
olmo,anger,3,15,-0.0198,-0.03315,,,-0.0115,-0.0355
olmo,anger,3,16,0.02702,0.03963,,,0.01042,0.04747
olmo,anger,3,17,-0.03351,0.04768,,,-0.02089,0.06399
olmo,anger,3,18,-0.02057,-0.04422,,,-0.02157,-0.0448
olmo,anger,3,19,-0.03791,0.09808,,,-0.03483,0.08427
olmo,anger,3,20,0.01458,0.01029,,,0.03854,-0.02348
olmo,anger,3,21,0.08363,0.00813,,,0.07282,-0.01997
olmo,anger,3,22,0.00296,0.02804,,,-0.01145,0.01573
olmo,anger,3,23,-0.00772,0.02249,,,-0.02253,0.02211
olmo,anger,3,24,-0.10671,0.10477,,,-0.11423,0.10257
olmo,anger,3,25,0.12712,0.02538,,,0.07229,0.01534
olmo,anger,3,26,0.14524,0.03379,,,0.11955,0.04035
olmo,anger,3,27,-0.07076,0.08551,,,-0.1055,0.09616
olmo,anger,3,28,-0.00572,0.06521,,,0.00549,0.14054
olmo,anger,3,29,-0.19678,0.10475,,,-0.22749,0.1725
olmo,anger,3,30,-0.22512,0.13248,,,-0.30773,0.12784
olmo,anger,3,31,0.18383,0.07108,,,0.26719,0.07648
olmo,anger,3,32,-0.02172,-0.03366,,,-0.02458,-0.03112
olmo,anger,3,33,0.02553,0.04904,,,0.01503,0.04563
olmo,anger,3,34,-0.01519,-0.01585,,,-0.01392,-0.01616
olmo,anger,3,35,-0.01709,0.02663,,,-0.01251,0.01293
olmo,anger,3,36,0.0175,-0.01751,,,0.03088,0.00294
olmo,anger,3,37,-0.03059,-0.07096,,,0.00845,-0.08928
olmo,anger,3,38,-0.03414,0.06567,,,-0.03218,0.07762
olmo,anger,3,39,-0.00702,-0.00674,,,-0.02496,-0.01012
olmo,anger,3,40,0.09166,0.02599,,,0.02433,-0.01103
olmo,anger,3,41,-0.01589,-0.02229,,,-0.02603,-0.02213
olmo,anger,3,42,-0.0248,0.17141,,,-0.07614,0.18318
olmo,anger,3,43,-0.28341,0.25404,,,-0.29387,0.18972
olmo,anger,3,44,0.28687,0.07559,,,0.29303,0.07667
olmo,anger,3,45,-0.01268,-0.02847,,,-0.01815,-0.02682
olmo,anger,3,46,-0.02452,0.02005,,,-0.03964,0.0173
