model,prompt,completion,gen_idx,primary,resolves
aligned,She loved him and hated him and wanted to,love him and couldn’t and wanted to be hated yet did not understand why she loved him even as she cursed him from day to day. How do those sentiments coexist?,15,METALINGUISTIC,False
aligned,She loved him and hated him and wanted to,be with him but didn't dare because of what he'd done.,16,POLE_A,True
aligned,She loved him and hated him and wanted to,"give up both, he was her perfect man and the worst mistake.",17,SUPERPOSITION,False
aligned,She loved him and hated him and wanted to,never have met him and yet desperately wished she had. Always. She would never forget him. The soft touch of his fingers when he brushed away a tear she hadn't known she was crying. The low timbre of,18,SUPERPOSITION,False
aligned,She loved him and hated him and wanted to,rip him in half and also hold him in her arms.  It was love and hate all at once.,19,SUPERPOSITION,False
aligned,She loved him and hated him and wanted to,"kill him and give him another chance and love him again and again. … She was furious at him, then felt sorry for him, then was angry once more when he lied to her, but kept loving him nonetheless.",20,SUPERPOSITION,False
aligned,She loved him and hated him and wanted to,kill him but couldn't even do that . I guess some feelings no one can take . And he never knew he meant that much to her .,21,POLE_B,True
aligned,She loved him and hated him and wanted to,love him so badly but just couldn't because she had accepted what he was and that didn't make her happy. The pain of her unrequited love hit her like a ton of bricks every time he walked into the room,22,POLE_A,True
aligned,She loved him and hated him and wanted to,"be rid of him but she couldn't. He reminded her of her past and every night they were together reminded her a little bit more. She had been doing her best to push through, to continue to work, but the",23,RESIGNATION,False
aligned,She loved him and hated him and wanted to,"kill him and hold him and cry because he wasn't there but was and he was gone. But, she had to do something. Something good. Something strong. She couldn't just sit there and mope. She straightened he",24,SUPERPOSITION,False
