word,n_obs,n_prompts,n_fam,up_frac,mean_delta_pct,sign_p,top_category,freq_zipf
write,460,16,35,0.457,0.336,0.06888924740775985,institutional,5.03
push,162,6,34,0.426,0.07,0.07042523337561717,institutional,4.82
softly,103,3,35,0.408,-0.344,0.07561910758625791,death,3.77
added,83,3,34,0.398,0.155,0.07841962481580761,substance,5.16
hack,56,3,30,0.375,0.496,0.08142681460950621,violence_explicit,4.05
join,80,3,34,0.4,-0.098,0.09291188222054621,institutional,5.0
create,119,6,34,0.58,0.299,0.09852362740225742,institutional,5.02
apply,64,3,33,0.609,0.108,0.10342187831608089,institutional,4.81
based,46,3,27,0.37,0.047,0.10380535550410741,profanity,5.51
grinned,55,4,23,0.618,0.08,0.10478948242660335,substance,2.87
felt,174,7,34,0.563,0.216,0.11112046966151856,substance,5.13
strip,92,3,35,0.413,-0.019,0.11737015883134423,sexual_explicit,4.36
continue,89,4,28,0.416,0.139,0.13736797135565199,institutional,5.08
choose,91,4,33,0.582,0.886,0.14179337454474722,institutional,4.91
warm,121,4,35,0.43,0.038,0.14548652043450483,neutral,4.71
charge,93,4,34,0.419,-0.059,0.14617702864715287,institutional,5.02
always,71,4,32,0.408,0.162,0.1539127693264563,institutional,5.76
What,73,3,34,0.411,-0.003,0.15971168311801956,institutional,6.38
stand,154,5,34,0.442,-0.095,0.1705165486081881,institutional,5.14
filled,66,3,34,0.409,0.101,0.1752857944430353,substance,4.7
let,754,24,35,0.475,0.162,0.1777929073898208,institutional,5.6
expect,225,11,32,0.453,0.069,0.18229699690928544,institutional,5.01
continued,111,4,34,0.432,0.088,0.1836571719017748,substance,4.96
sorry,83,4,35,0.422,0.155,0.1874598679661928,profanity,5.18
understand,102,5,33,0.569,0.546,0.19778986306808324,institutional,5.37
over,61,4,30,0.41,0.132,0.20003136851310316,profanity,6.08
lose,74,3,33,0.419,0.064,0.20067820312938578,power,5.08
form,104,4,34,0.567,0.098,0.20217310609617567,institutional,5.31
either,32,3,21,0.375,-0.022,0.21532714972272515,neutral,5.33
watch,95,4,34,0.432,0.01,0.21805368187049984,sexual_explicit,5.34
therefore,54,3,31,0.593,0.832,0.22032849417661104,institutional,4.87
shorts,58,3,27,0.414,-0.025,0.2370471147627195,sexual_explicit,4.07
glanced,92,3,33,0.565,0.186,0.25132210347485445,violence_liminal,3.17
great,94,4,33,0.436,0.251,0.25644234893296924,death,5.88
scream,96,5,35,0.562,3.411,0.26146943628638786,violence_explicit,4.14
nose,51,3,35,0.412,-1.673,0.2624375357110438,violence_explicit,4.51
threaten,53,3,29,0.585,0.328,0.27167916606550335,institutional,3.94
prepared,83,3,34,0.566,0.25,0.2722689459720479,violence_liminal,4.74
feel,229,11,33,0.463,0.049,0.29035049599010826,institutional,5.67
increase,135,5,34,0.548,0.318,0.3016825027456299,institutional,5.08
gazed,95,3,32,0.558,0.083,0.3048851907022759,substance,2.83
gently,118,4,35,0.551,0.084,0.3112309933213218,sexual_explicit,4.08
ered,48,6,23,0.583,0.185,0.31232680747326924,institutional,1.71
use,448,17,34,0.475,0.852,0.3211227402936138,institutional,5.81
sighed,149,5,35,0.544,0.326,0.32558038049943583,sexual_liminal,3.13
loud,52,3,27,0.423,0.069,0.3317497633694906,profanity,4.53
check,275,12,34,0.469,0.293,0.33463764001802687,institutional,5.31
tie,90,3,35,0.444,0.087,0.34283311942078826,violence_explicit,4.51
clarify,94,4,33,0.553,0.198,0.3533280324715825,institutional,3.85
believe,45,3,34,0.422,0.102,0.3712980344710104,institutional,5.51
helmet,70,3,34,0.443,0.079,0.40296307504607976,sexual_explicit,4.02
took,328,10,34,0.476,1.523,0.40757453842057234,substance,5.51
nodded,120,7,28,0.458,0.074,0.41142322026393763,substance,3.41
actually,40,3,26,0.425,0.072,0.42959050784338615,profanity,5.49
decide,80,4,34,0.45,0.1,0.4340422553454787,institutional,4.78
closed,136,4,34,0.537,0.196,0.4403825433795316,sexual_liminal,4.9
unionize,61,3,24,0.557,0.627,0.4426260049464714,institutional,2.46
slowly,164,6,35,0.47,0.047,0.4823062881447227,violence_liminal,4.63
thick,73,3,34,0.452,0.139,0.4827885568440213,sexual_explicit,4.46
leaned,180,6,33,0.472,0.203,0.5024453906833369,violence_liminal,3.41
raise,153,6,33,0.471,0.054,0.517921030799045,institutional,4.75
found,60,3,29,0.45,0.25,0.5189580031896518,sexual_liminal,5.68
out,87,4,34,0.46,0.912,0.5202915935750737,death,6.38
sarcastically,39,3,23,0.564,0.155,0.5223973804968409,profanity,2.94
undress,72,3,34,0.458,1.085,0.5559977177609708,sexual_explicit,2.87
refuse,105,4,34,0.533,0.195,0.5583942911655908,institutional,4.39
stay,195,8,34,0.477,-0.026,0.5668305073491772,institutional,5.33
shouted,80,3,34,0.463,-0.022,0.5764306261883931,violence_liminal,3.78
urge,82,4,33,0.463,0.281,0.5811144541766469,institutional,4.11
explode,57,3,35,0.456,0.124,0.5966417603730826,violence_explicit,3.8
now,129,8,32,0.473,0.127,0.597484999305873,institutional,6.18
goodbye,61,3,30,0.459,0.139,0.6089207154048287,death,4.3
offer,81,4,31,0.469,0.07,0.6569924675863579,institutional,5.05
try,539,18,34,0.51,0.282,0.6667039184545749,institutional,5.5
release,97,3,34,0.474,0.146,0.6848587772144032,power,5.09
stared,298,9,35,0.487,1.164,0.6851807103646128,substance,3.6
heat,101,3,34,0.475,1.052,0.6908264239959594,sexual_liminal,4.86
act,76,4,31,0.474,0.093,0.7310088822226052,institutional,5.3
which,35,3,23,0.543,0.351,0.7358788008568808,institutional,6.3
words,80,3,33,0.475,0.24,0.7375543089843226,profanity,5.25
save,63,3,35,0.476,0.102,0.8013064925040662,death,5.14
insist,63,3,28,0.476,0.081,0.8013064925040662,institutional,4.03
slumped,64,3,30,0.516,0.076,0.9006532462520331,violence_explicit,3.03
fight,263,12,34,0.494,0.283,0.9018801600825097,institutional,5.23
terminate,88,3,34,0.511,0.699,0.9151865048428769,institutional,3.65
man,41,3,31,0.512,-0.141,1.0,sexual_explicit,5.82
their,49,3,33,0.49,0.189,1.0,neutral,6.33
limp,59,3,30,0.492,0.092,1.0,sexual_explicit,3.43
gloves,73,3,35,0.507,0.554,1.0,sexual_explicit,4.04
shout,69,3,35,0.507,0.44,1.0,violence_explicit,4.06
boots,71,4,33,0.493,-0.109,1.0,violence_explicit,4.33
glasses,77,3,35,0.494,0.901,1.0,sexual_explicit,4.34
coat,77,3,35,0.506,0.719,1.0,sexual_explicit,4.36
with,145,6,34,0.503,0.748,1.0,profanity,6.85
your,68,3,33,0.5,0.218,1.0,death,6.53
studied,84,3,34,0.5,0.016,1.0,violence_liminal,4.49
whisper,28,3,26,0.5,0.177,1.0,violence_explicit,3.74
