,dreams_text
10,"011 We are on the same fire base as the one established in Cambodia. This time I am not with my own platoon but I am part of the TOC/CP. BC (?) Is none other than the young doctor from LZ Green who did not know how to handle his own rank. We meddle about in a huge canvas tent. I think about digging a fox hole but there are no shovels. Night comes. All of a sudden there is a metallic burst of illumination flares. The sky lights up and we are showered by the magnesium brightness. For the first few moments no one knows what is going on. Who has called for the lume? Then, through the thin canvas I see two figures run past about 40 yards off. So, it is a ground attack. But I say nothing. Moments later the AK's open up. In the dream there are several old house where the gooks have holed up. My old platoon and I converge on it. With my M-16 roaring I cut down several dinks. I am overwhelmed by the sight of two individuals fighting with the enemy. Of all people, there is Wilson, our old RTO. I begin to fire, but my M-16 is sluggish; the bullets dumbly chug out. Wilson is followed by Juba, my friend from down the street, a high school buddy (who now I go to bars with every now and then). Juba has a long .45. His long drilling shots come after Wilson sprays me with a burst that catches me flush across the body. Again, though I am obviously hit, nothing happens. The fire fight ends. We go back to the tent. I see bullet holes in my ankles. The Captain asks me if there is anything I want. I think of telling him, ""Yes! A Medivac,"" but I say only that we should dig fox holes. The next day I scrounge for ammo. There is little or none to be found, though I steal two grenades. I meet Roop and Melhop. During the fire fight, I use grenades but they prove ineffective. Even though I hold them for two or three seconds after the handle flies off (and they hiss like smoke grenades) they are thrown too hard and bounce away, and oddly, explode in a mere crackle of sparks, the way smoke does when it first ignites. Steve Shack (a fellow from sleep away camp) and I go to the other side of the base. There is a small VN compound. Shack throws a grenade into a little wooden school house filled with children. It blows up and there are the horrific screams of the wounded. We walk down a trail. I am telling him how stupid he is for making this mess, surely there will be another attack tonight. Children come shrieking out and run after us. I turn and beckon to them. ""Come with me, come to me."" A jeep pulls up and takes on the casualties."
11,"012 I have done something for a man who seems to be in some sort of trouble. I am somehow like a spy. I go with another person and we demand to be paid. In fact I am quite adamant. I say, ""You will pay me now!"" I am given a great sum of money. I am aware that others want to get me and take the money. Therefore, I must escape. I am running. I am found. The ones who seek me begin to shoot at me. I dive behind a big machine gun and fire back. A star of David, as if superimposed, descends upon this scene."
12,"013 I am in a hostile land. There is a war going on. With two other men (who are brothers) I sit in a crude rock shelter that looks like this: [drawing]. We are on high ground, overlooking a huge river. Between the three of us there is only one magazine of ammunition. Moments before, I had the opportunity to get more, but I did not take it. We are waiting, anticipating an ambush. Two Chinese come up the hill on horseback. One dismounts and comes right up to the open ports of the shelter. He has a samurai sword. I lunge my M -16 into his chest and pull the trigger. The sound is not the usual sharp staccato that I am used to. Instead, it is muffled and somewhat dull. The Chinaman hacks away at my arm and slashes it with his sword. But within moments-he dies."
13,014 In the dream I am a soldier flying a small balsa wood plane by telepathy. It crashes to the ground. Another solider sleeping nearby is wounded in the head. As I return to my living quarters I retell the incident to a group of soldiers that are following me. Two blacks become greatly excited. One takes out his pistol and wags it carelessly. I am shot in the thigh. I think of the dull pain that begins to throb. The blood begins to gush from my femoral artery. I wonder where I can find a tourniquet. I wake up.
14,"015 I am in Basic Training in the Army. A Drill Sergeant upbraids me. I beat and pummel him until he is dead. I go to Vietnam. I am with my old company but I am not accepted. I become a loner, an outcast. Roaming about, I shoot down American helicopters. At one point a Chinook lands and G.I.'s new to Vietnam come out and begin to march in single file. I shoot at them but instead of bullets only a spray of water falls on them."
15,"016 I am with a friend. We have traveled to a strange land. The people resemble the “pineys” of the Pine Barrens (in New Jersey). They are very kind and friendly; they share food and drink with us. I am easily at home with them. They present me with many small gifts. I am perched up on a high ledge. An old college English teacher is to read one of David Boyle's poems. He (David) asks that he may read it himself It is written in a very simple hieroglyphic form. There are crows and hawks and their feet markings: [drawing]. As he reads I become emotionally aroused. Moments later I am openly weeping. I return to this land with my old platoon. Everything has changed. The land has been scorched; nothing remains from the joyous past. I begin to load my M-16 but it is with the new and unfamiliar banana clip. We are ambushed. I squeeze off a few rounds before scampering for cover. I lose sight of my platoon. They patrol without me, the only medic. A sense of great overwhelming guilt follows. We relink later. I am ashamed of myself, but I am glad to see that the others are all safe. The Lieutenant is somewhat stern with me. The shame passes."
16,"017 There are several of us smoking dope in a small park surrounded by barbed and wire fences. Among those that I recognize there is John, David and Larry Williams, a Sgt. From Vietnam. From the corner of my eye I see the police. They charge up to us at a gallop and we are all busted. One fellow that I do not recognize makes a dash for it. He vaults the fence and heads for the woods. As the dogs are set after him I think that it is an impossible situation. As it happens, the fellow runs quickly and makes good his escape. We are herded to a jail in India. There are many rooms here, but they are small and cramped; the bars are quite thick. I think over and over to myself, as if the dream were real, ""This can't be happening to me, to me!"" But it is all too true; I am locked up. A turnkey opens a cell and allows David to leave. The jailer next turns to me and offers freedom if I will inform on the others. I think to myself, ""This is only a trick. Besides, I cannot betray my friends."" I anguish in the little cell. The dream ends."
17,"018 I am again led to a prison. The black man in front of me kisses the jailers hand. I walk past, then turn around and do the same. The gesture is followed by submissive talk, that he will be as on me. I escape. There is a cave from which come holy sounds. The shadows of animals run across its walls. I am flying through rock, then thick, lava like water, then water. I see a piece of rope and with both hands reach for it. My head clears the water and I see that I am in a beautiful lake. Still clinging to the rope I am 1/10th my normal size. I have been hoisted up by a child, a little girl of perhaps seven."
18,"019 I am in a large classroom. The teacher is taking roll. He calls, ""Veterans."" No one answers. A second time the name is called. I trumpet out, ""Don't you know that's me, you big baboon!"" Everyone in the class begins to laugh. Even the teacher, who resembles the plastic surgeon Dr. DeStefanol, breaks into a grin. The laughter, instead of subsiding, grows and grows, until it is followed by loud and sustained applause. Everyone is smiling, everyone is applauding, everyone is cheering. These people are all familiar to me, they are from my past. Here, they are depicted as children. The pitch grows higher. I am born aloft by the many hands and arms of the great crowd and deposited at the head of the class, alongside the teacher. There are four pretty girls with us. I remember thinking, ""He is overweight, but does not look like a baboon."" Recollection ends here."
19,"020 I am with my old unit in Vietnam. The order comes over the radio that we are now finished with jungle patrols. The Lieutenant makes it official and we silently begin to disband. Suddenly, a civilian, an older man in a suit, emerges from a tent. He speaks to us. ""If my son can't go, no one goes."" Then he shoots and kills my good friend Jerry Bieck. I am overwhelmed and unload several shots at him. Nothing happens. Then, with an unusually long burst of automatic from my M-16 I cut him down. As the others have walked off, I throw the gun down and follow after them. There is a feeling of complete freedom. In very high spirits Jim Lamb and I go to a supermarket and buy food. I am aware that I do not wear my steel helmet. The dream is repeated. This time I do the killing with a laser beam. The man is this time Parrish, a medic from another company I did not like. He dies a slow and agonizing death."
20,"021 I am in a large empty house. My brother and I are dressed as soldiers; we are hunting each other. I see him before he spots me and hit him with a burst of 16. I walk the bullets up to him. Curiously, they make only a small BB pattern and noise. There is little impact, little of the expected striking force. In any event, he goes down and I immediately rush to his aid. I feel very sorry for him and for what I have done."
21,"022 There is a war going on between the Americans and what appear to be either Germans or Russians. The battle ground resembles the trench warfare of World War I. The land between the two sides reminds me of the no-man's-land of LZ Ranch in Cambodia. Each side is firing artillery, adjusting for accuracy. The shells fly back and forth and fall with muffled dull thuds. Then the other side launches a ground attack. They throw hand grenades as they run. The grenades hit the ground and bounce forward. I catch one and hurl it back. Then another, then two more. The others (other side?) do the same. I am in hand to hand combat with a man of about fifty; he is fat and ruddy looking. With a sinister leer he taunts me. Twisting his knife through the air he is easily the more skillful. I am lightly scarred several times but somehow, as my knife becomes a fork, I spear him in the throat, causing him a mortal wound. His eyes bulge forward; the gushing blood mixes with his last gurgling breath."
22,"023 My brother and I break into an Army base, having gotten past the guards. There are cases and cases of grenades stacked up. I open one and throw it. It explodes. Then we see my father in the distance. He beckons to us. As we go, I hurl missiles in his direction. They are like giant bullets, arching up, then falling and crashing down. We speak to him about flowers. He insists that cultivation (gardening) is no different from nature. My brother and I argue against my father. The scene changes. Looking out a window I can see I am very high off the ground. A man below is reading off winning numbers from some sort of lottery. Thousands of people are gathering. He has somehow angered them. I fall out the window but somehow survive the fall. Then a huge oblong plate of metal tumbles down and strikes me a glancing blow on the head. I think it is a death blow, as I am weak from loss of blood. I am weeping. My mother tries to comfort me. In between my sobbing I tell her to contact Peter Ahr (giving his correct address) and with this message say, ""Tell David [David Boyle] I'm sorry."" Then, as it appears that the wound is not mortal, I suggest we go and get an x-ray."
23,"024 I am back in Vietnam, We are on patrol. Bob and my brother are with me, My brother wears a camouflage T shirt, We tramp through the jungle until we reach a great clearing, It is a great sloping field, much like those in the Watchung Reservation, My brother goes around the side on a small recon. Two G.I.s already at the bottom of a hill mistake him for VC and direct fire at him, I hail them off, but it is too late. I see my brother being hit. Another GI from behind is also shooting at my brother. From fifty meters I hit him with a sustained burst from my M-16. The bullets wind through the air, arcing like artillery shells. Bob grabs the fellow I have wounded while I go to the aid of my brother. We take them both to a nearby hospital which resembles my childhood grammar school. The doctor acts quickly, taking the wounded into the operating room, We go back, as there is nothing left for us to do, A fellow who I dislike intensely, another medic, sallies up on horseback from behind us and jeeringly announces that my brother is dead. I am heartbroken and begin weeping and sobbing, Then I turn around and with the strength that comes from great anger grab the horse by its throat and half wrestle it to the ground. My lamentations grow softer, until the mourning feeling is all but gone. As Bob and I return to the hospital we must cross a street. The area resembles the neighborhood of my childhood. A policeman halts an oncoming car that I have waited to let pass. The dream ends with an intense feeling of loss."
24,"025 I am trying to squeeze into a small English sports car. It keeps moving and I say, ""Fuck You"" to the driver. He returns and challenges me to a fight. We are in the garage of Bob's parents. I am full of confidence and cunning. Outmaneuvering the other fellow, I stab him in the back with a knife and say, ""Give up or I'll kill you."" He yields and I help him outside and dress his wounds. "
25,"2. “To Fly or Not to Fly” I’m at a meditation meeting or something like that and I’m sitting together with one of the instructors a Spanish Italian kind man – he looks like Spanish or Italian. We are sitting up in a helicopter or a small airplane. At a certain time there seems to be another guy near the cockpit and I ask the instructor if he, the other guy, is a pilot. The instructor says no. Then there is an erotic atmosphere between me and the instructor, and I feel a bit insecure – is this suitable for a man like him and for me? But I really enjoy it – the connection with him. At the same time I think that I have to get it out of my head and go down and sit down in the hall somewhere on a chair, but now it actually seems as if this is a meeting outdoors. Well, anyhow, I have to keep my feelings low, and think that I could probably just give him my address. I have no doubt about what I want to do, but I’m insecure about the way he lives – how he lives – and if more contact with me will give him problems in some way because he’s this meditation instructor. He doesn’t worry at all. He’s very relaxed and he’s having his hand on my back and it’s a very close contact we have. Then things change and now I’m at work, and this is a day where two new colleagues started work and I should actually be at my office and say welcome to them. But for some reason I have been very busy and been away and now in the middle of the daytime I’m sitting one afternoon in a park. It’s a park with lakes like you would see in Rome or Copenhagen or other cities – Paris, too. In the park there’s an older coupe with a child. There’s a very easy going relaxed atmosphere and everybody has plenty of time. Suddenly we see a very big mulatto girl – very brown, sensual soft and powerful. And she comes flying. She flies very, very fast. And some small birds and big birds, too, are following after her and sort of sniff to her genitals in a way like flies can do if you lie there without clothes. She’s sort of just whisking them away with her hand once in a while. And then she’s flying as if she was just lying on her stomach and I say to the – I think it’s the man in this older couple - that I have heard that you can fly in this way, but I have never known that you actually could fly in this way. It’s an incredible sight and we agree on that. We are very surprised. So, later on I’m also in the park, but now it’s evening, as it is dark. I’m sitting on – people are sitting on the benches – and I’m a little insecure about finding my way home. And then suddenly I’m back in my office room and very friendly I say hello to the two colleagues and say I hope they will excuse that I have been away. And then we eat lunch together with the other people who are working in this office."
26,"026 The dream takes place in Ivy Hill Park. I am in the Army and we are soon to go on patrol. Since it is getting dark I go out to collect some wood for the fire. David Boyle and I are lying prone in what appears to be a lake. Actually the water is only a few inches deep. He has some sort of explosive charges but no matches with which to light them. I become serious and tell him to keep his voice down and find the matches. At the same time I am aware that something is out of place. The water is not deep. Suddenly we are charged from our right flank. A group of ten or fifteen men with fixed bayonets sallies towards us. They appear to be Oriental, though at the last moment I see that it is all a sham. These are our own men. I have been the object of a great joke. Rolling on the ground, David and I howl with laughter. We begin to sing a popular song. Our harmony and rhythm are surprisingly good. "
27,"027 I am in Viet Nam, in the midst of [an attack]. These are not the primitively devastating 120mm rockets of Quan Loi fame (Rocket City); instead [they are] scaled down ICBM's. They whoosh through [the sky] as if in slow motion like the outgoing 155's [on LZ Compton] and LZ Ranch. I am running for cover, anticipating the [force] of the blast and the whizzing shrapnel. As the missiles. [explode] I see the shrap and dive through a window [into] a subterranean room. I have taken a few pieces [of shrapnel] in the sole of my boot and one or two small fragments in the arm (as on July 15, ‘70 in Cambodia). More rockets fall, pounding away; the sharp explosions [are] followed by blinding flashes of skittering light. At one and the same time I sense the overwhelming terror of a direct hit, and yet I have so far escaped the unyielding terror and panic that accompany such occasions. Then I am with my platoon and the Lieutenant informs me that I should not be ashamed of my cowardice. I am to be relieved and sent elsewhere. The others too act [as though there is ] no call for shame. But their [comments] and remarks serve only to [highlight] my feelings of humiliation. "
28,028 I am on a small wooden dock by a lake. With a long carrot I taunt a giant snapping turtle. I hit him on the nose but never let him get a bite. Then he manages to clinch the carrot for a moment and I see what appears to be the length of his jaw and teeth. Then he half raises up and clinches the carrot more firmly. Here is what I saw: [drawing]. I am terrified and am not sure what to do next. I only know that up until now I had not realized how big and powerful this turtle was. 
29,"029 I am in a place that resembles Viet Nam. In this instance I am selecting some sort of hotel room. I am looking for a place that can take the impact of mortars and bullets. I am now in a war zone. It is as if I have returned to Vietnam. All the buildings in the previous part of the dream have been almost totally destroyed. There is always the chance of being attacked. Much of the landscape resembles Ivy Hill, where I grew up. I kill some people (a black man) with a burst from my 16. Then I wish to escape and make my way to a train that goes from Vietnam to Thailand. I get out but do not want to be caught for desertion. A fellow checks my I.D. He comes upon four stamps that I have in my wallet. They have been given to me by my mother. He asks why I still carry them. I offer him one, leaving me three. I return to Vietnam and the sense of danger is heightened. It is the sense of death and destruction that haunts me more so than a confrontation with VC or NVA. Then a friend and I decide to escape by car. He drives and I am aware how wide he is taking the turns. He does not really have an idea of where he is going. I am afraid that we are going to be ambushed as I see the familiar jungle that hides the enemy. I know only too well this paradox of beautiful jungle and the enemy waiting within. I wake up with feelings of immense anxiety."
30,"1. “Don’t Be Afraid” I have just arrived to Prague in Czechoslovakia and I’m together with another person – I think it’s a woman. And we are on our way in a car to the hotel. The road is rather winding and hilly and we are driving over bridges. Under the bridges, there are rivers with a rather strong current. Somewhere in the distance I can see cars that are driving on roads where there is water – there is water on the roads. There seems to have been some flooding from the river. It scares me a little but I soon forget it. Then we come to a kind of tunnel with water in it. Here we have to put off the motor and set the car in a neutral gear and close doors and windows. And then the river takes us and the car away with the current. And at a certain time, the wheels in the car are turning upside down. For me it’s both scary and exciting. Then we come out of the water tunnel again and the car is now driving in a normal way. We are now on a very, very big open square. The earth is some base color flax with small round spots. It could be some kind of marble. We are very excited and in high spirits and very relieved after this trip in the water tunnel and we are eating some food with a very happy feeling. The food seems to be some celery or corn or salad or things like that. While we are eating, we are looking out on this big square. The sun is shining now. Until now I have been with this other person but I never see the person in the dream. I just have a feeling it’s a woman. Now I’m alone at the hotel where there seems to be some problems with my room. After some time, a lady comes and takes me to room 35. This room seems to be a kind of gymnastic room with some wall hangings on the walls. Now some people try to make this room nice to stay in. They put in some shelves and some commercial stuff from a hairdresser/salon room. But now I tell this lady who showed me the room and now she is about forty and small and a little fat. I tell her that I really wouldn’t like to stay in that room. One of the reasons is that there are no windows. She tells me that she thought it was room number 34 I should have and not 35. Now I go down to the reception and I have some kind of a power struggle with a man at the reception. I tell him that I want another room. He tells me that I can’t have that – they don’t have other rooms. But I stick to my view and after some time I tell him that if he doesn’t give me another room with windows, I will write a letter to the Danish government when I come home and tell how I have been treated. Now he becomes insecure and he looks as if he’s starting to cry. He says, “just a moment,” and then he walks into another room. Soon after he comes back and he gives me some keys to the room 68. I think it’s number 98 because in the dream, 98 seems to be the opposite of 68, but of course if you take the 6-8 and you turn it around it’s 8-6, so it’s 86. But never mind I have another room and everything is okay. In the dream I’m very surprised that I can find my way around at the hotel because in real life I’m really bad at that – I very easily get lost in streets and hotels and things like that. So, but in the dream it’s okay. Now I’m walking in Prague together with the lady from the hotel - the one who showed me the room 35 – and another lady I know, a former neighbor, a woman. We walk around in the town where there are no cars. The houses are beautiful white with blue turquoise ornaments and there are street entertainers who are dancing in a long row, holding each other’s hands and their faces are turned towards us. The lady from the hotel tells me that it has something to do with a newly built museum. I say that these street entertainers, I would really like to show them to my son. In the background we can see some spears and we can hear some gorillas – some sounds from the churches. And then suddenly we are walking on a gravel road (I think it is like the roads you have in mountains) and in these mountains there are a lot of heather - red violet blooming heather. I say that it’s fantastic that you can find this kind of gravel roads (I think it’s called) in a big city. While we are walking on this gravel roads in the mountain there are some geese running after us - like when I was a child and went through a farm on my way to school there was always some geese that ran after me and I was quite afraid of them at that time. Now in the dream I start running but I’m just a little afraid. Now we come to the end of the mountain where the mountain stops. The view is beautiful. You can see a lot of hills and mountains all covered with heather, this red violet color. The people I’m together with walk to the edge of our mountain and look down. I look down too, but it’s a sort of precipice, I think it is - they are far down and suddenly you just look down, so I get scared and I have to lie down in the heather. I don’t want to show the other people that I am afraid. On some other hills and mountains you can see people are having fun tumbling down these slopes and they are really having fun. But, I’m just lying in the heather and looking at it and I’m not showing that I’m actually afraid. The slope or precipice - there where the mountain ends and you look down is different at the mountain I’m at because it sort of goes out and then it goes in and so if you fall down here you don’t tumble down, you just fall down. And the other mountains I’m looking at it, there you can sort of roll down or fall down, not suddenly but smoothly. [at home]"
31,"030 I seem to be the leader of a small group of young people. An odd looking fellow walks past us and makes some sort of remark. A few moments later four or five bandits approach us and blaze away with pistols. I yell ""No!"" But I am shot in the face. It is a mortal wound, and yet I do not die. Instead, I feel a huge hollow gash where the left side of my face has been blown away. I am on a wooden raft in a lake. A huge black man and I are fighting. We each have 190ong bamboo fishing poles. His idea is to snag me with a hook. We use the poles as if we were adept Tai Chi push-sword players. We are both extremely good at directing and slipping touches. Then, without trying, I land a blow to his head and he tumbles into the water. He has lost ungracefully in front of a small group of people that have gathered on the banks to watch. Later on I ask his whereabouts, as he is the father of a ..... "
32,"031 Half awake in the dream, I am in some sort of open foxhole. I look to my left and see two VC sappers crawling past. They have mortars and are dropping them on a position ahead of me. I know that I have to move slowly and then spring up and kill them (they are almost on top of me). The friendly position is in front of me. I kill one fellow (VC). The other fellow manages to break free and begins talking into a small radio. He seems to be an FO [Forward Observer]. He talks quickly, as if sensing he is to die soon. We grapple and he manages to stab me a few times. Then he too is dead. Just as this happens, something amazing occurs. The whole countryside goes up in fire. A gigantic conflagration, in twenty seconds hundreds and hundreds of yards of land are on fire. For a few moments I don't know if I've done something good or bad. All I know is that to survive I must jump into the water. It seems that I am right near the ocean. I swim forward, trying to beat the land which is also racing forward. Then, at one point, there seems a sort of monster or demon that chases me. It too is on fire but submerged underwater. From behind me a friendly force fires a weapon and kills the monster. At once all the other fire in the dream ceases. Then the dream becomes vague. I seem to be greeted by friends, friendly voices. I am facing East in the dream-the sappers are facing East. I myself seem to be out on a mission, away from a main base. The sappers come from behind; the friendly forces are in front (the same position fired on above). I am saved when the monster dies and I seem to have made contact again with friendly forces. I am welcomed back. I have swum almost due South, somehow semsong (sic) land and friends. "
33,"033 I am in Africa again. There are abandoned metal objects on the ground. I seem to be with someone else; we are flying low over the ground, surveying the land. We decide to salvage a damaged plane. We pick the plane up in tow. It is unclear if I am flying the damaged plane or the one used for surveying. In any event I am at the controls and telling the other person with me that I have very little or no feeling of control. This other person, patient and willing, remains calm and gives me encouragement. "
