code,category
Y1405,AWAY
Y1406,INCOH
Y1407,D1
Y1408,D1
Y1409,D1
Y1410,D2
Y1411,INCOH
Y1412,D1
Y1413,BOTH
Y1414,D1
Y1415,D1
Y1416,D1
Y1417,D1
Y1418,AWAY
Y1419,D1
Y1420,D1
Y1421,BOTH
Y1422,D1
Y1423,D2
Y1424,D1
Y1425,D1
Y1426,D1
Y1427,D1
Y1428,META
Y1429,D1
Y1430,D1
Y1431,D1
Y1432,D1
Y1433,AWAY
Y1434,BOTH
Y1435,D1
Y1436,D1
Y1437,D1
Y1438,D1
Y1439,META
Y1440,D1
Y1441,D1
Y1442,INCOH
Y1443,D1
Y1444,D1
Y1445,D1
Y1446,D1
Y1447,D1
Y1448,D1
Y1449,BOTH
Y1450,D1
Y1451,D1
Y1452,D1
Y1453,D1
Y1454,D1
Y1455,D1
Y1456,INCOH
Y1457,D1
Y1458,D1
Y1459,D1
Y1460,D1
Y1461,D1
Y1462,D1
Y1463,D1
Y1464,D1
Y1465,D1
Y1466,D1
Y1467,D1
Y1468,D1
Y1469,D1
Y1470,D1
Y1471,D1
Y1472,D1
Y1473,D1
Y1474,BOTH
Y1475,D1
Y1476,AWAY
Y1477,D1
Y1478,AWAY
Y1479,D1
Y1480,D1
Y1481,AWAY
Y1482,BOTH
Y1483,D1
Y1484,AWAY
Y1485,AWAY
Y1486,AWAY
Y1487,BOTH
Y1488,BOTH
Y1489,BOTH
Y1490,D1
Y1491,META
Y1492,D1
Y1493,D1
Y1494,D1
Y1495,BOTH
Y1496,D1
Y1497,D2
Y1498,D1
Y1499,D1
Y1500,D1
Y1501,D1
Y1502,BOTH
Y1503,D1
Y1504,D1
Y1505,D1
Y1506,BOTH
Y1507,META
Y1508,BOTH
Y1509,INCOH
Y1510,INCOH
Y1511,D1
Y1512,D1
Y1513,D1
Y1514,AWAY
Y1515,D1
Y1516,D1
Y1517,D1
Y1518,D1
Y1519,BOTH
Y1520,BOTH
Y1521,D1
Y1522,AWAY
Y1523,D1
Y1524,D2
Y1525,BOTH
Y1526,D1
Y1527,AWAY
Y1528,D1
Y1529,BOTH
Y1530,D1
Y1531,D1
Y1532,D1
Y1533,D1
Y1534,D1
Y1535,BOTH
Y1536,D1
Y1537,INCOH
Y1538,D1
Y1539,D1
Y1540,D1
Y1541,D1
Y1542,META
Y1543,META
Y1544,D1
Y1545,D1
Y1546,BOTH
Y1547,D1
Y1548,D1
Y1549,D1
Y1550,META
Y1551,D1
Y1552,D1
Y1553,D1
Y1554,META
Y1555,AWAY
Y1556,D1
Y1557,D1
Y1558,BOTH
Y1559,D1
Y1560,D1
Y1561,INCOH
Y1562,D1
Y1563,D1
Y1564,D1
Y1565,D1
Y1566,D1
Y1567,D1
Y1568,D1
Y1569,BOTH
Y1570,D1
Y1571,D1
Y1572,D1
Y1573,D1
Y1574,INCOH
Y1575,BOTH
Y1576,D1
Y1577,D1
Y1578,D1
Y1579,AWAY
Y1580,BOTH
Y1581,AWAY
Y1582,D1
Y1583,AWAY
Y1584,D1
Y1585,BOTH
Y1586,BOTH
Y1587,D1
Y1588,D1
Y1589,D1
Y1590,INCOH
Y1591,D2
Y1592,D1
Y1593,AWAY
Y1594,D1
Y1595,D1
Y1596,OTHER
