family,base_eff_vocab,aligned_eff_vocab,base_entropy,aligned_entropy
llama,149,148,5.677058219909668,5.952207088470459
llama,21,9,1.2947171926498413,0.9371148347854614
llama,87,62,4.143133163452148,3.4447081089019775
llama,137,100,5.166992664337158,4.258775234222412
llama,104,105,4.6409525871276855,4.564508438110352
llama,67,50,3.56868839263916,3.125674247741699
llama,105,90,4.635634422302246,4.609595775604248
llama,54,44,3.0545618534088135,2.906123638153076
llama,35,47,1.8171104192733765,2.3453965187072754
llama,39,35,2.6141583919525146,2.8771777153015137
llama,48,64,2.2708945274353027,3.236772298812866
llama,26,24,2.111760139465332,2.0389530658721924
llama,3,3,0.21788087487220764,0.16494502127170563
llama,140,134,5.282171249389648,5.429993629455566
llama,58,51,3.2275898456573486,3.05326771736145
llama,36,25,2.637070655822754,1.5792748928070068
llama,116,87,4.611652851104736,3.7386088371276855
llama,106,115,4.072371006011963,4.44885778427124
llama,38,22,2.130556583404541,1.2307628393173218
llama,106,83,4.565877437591553,4.190651893615723
llama,128,125,5.349320411682129,5.2698540687561035
llama,67,44,3.565378189086914,2.8639063835144043
llama,74,42,3.624751329421997,2.9020838737487793
llama,50,39,3.308722734451294,2.814293146133423
llama,70,60,3.8220887184143066,3.4210638999938965
llama,53,49,3.3594722747802734,3.0849921703338623
llama,56,48,3.673305034637451,3.349033832550049
llama,105,80,4.554354190826416,3.5886034965515137
llama,160,99,5.433133602142334,4.27088737487793
llama,116,89,5.135608196258545,4.748815059661865
llama,131,125,5.18369197845459,5.033617973327637
llama,125,97,5.419978618621826,4.414017677307129
llama,82,59,4.032519340515137,3.591876983642578
llama,83,71,4.079330921173096,3.758406639099121
llama,56,45,3.5096123218536377,2.829712390899658
llama,79,62,4.478404998779297,4.099898338317871
llama,54,51,5.065433502197266,4.8250603675842285
llama,122,75,4.8807525634765625,3.7210795879364014
llama,129,100,6.696347236633301,6.163439750671387
llama,45,52,2.7272872924804688,2.7986295223236084
llama,119,97,4.77491569519043,4.5210442543029785
llama,77,79,3.927133560180664,3.930337429046631
llama,74,73,3.5891835689544678,3.5293006896972656
llama,85,87,4.35714864730835,4.154425621032715
llama,32,61,1.2632856369018555,2.960573673248291
llama,46,62,2.7775280475616455,3.2372121810913086
llama,110,87,4.3694658279418945,4.100604057312012
llama,55,55,2.9059298038482666,3.016781806945801
llama,59,53,3.3275535106658936,3.372718572616577
llama,63,63,3.020717144012451,2.845959424972534
llama,91,113,3.5808160305023193,4.435428619384766
llama,88,74,3.970817804336548,3.781944513320923
llama,99,80,4.231833457946777,3.757307767868042
llama,49,24,2.3953781127929688,1.9740917682647705
llama,115,96,4.428635120391846,4.090770244598389
llama,40,29,2.6095504760742188,2.1272056102752686
llama,91,57,4.286562442779541,3.048468828201294
llama,17,15,1.6919662952423096,1.4785562753677368
llama,56,127,3.3965368270874023,4.716278553009033
llama,75,87,3.337993621826172,4.073836326599121
llama,110,102,4.4486918449401855,4.44669771194458
llama,86,79,4.445425987243652,4.27403450012207
llama,127,117,4.585402488708496,4.881128311157227
olmo,146,100,5.559587001800537,5.180892467498779
olmo,99,55,4.7987823486328125,3.3268158435821533
olmo,98,73,4.58730411529541,4.2072367668151855
olmo,139,63,5.1898884773254395,3.6553115844726562
olmo,81,44,4.123007774353027,3.4951908588409424
olmo,46,33,3.242175579071045,3.5341367721557617
olmo,88,85,4.424120903015137,4.99456262588501
olmo,90,52,4.5653300285339355,4.465342044830322
olmo,114,67,5.251421928405762,4.600532054901123
olmo,32,21,1.7884857654571533,1.6371080875396729
olmo,81,16,3.8715171813964844,1.2505052089691162
olmo,150,87,5.356812953948975,4.159055233001709
olmo,121,34,5.1896071434021,2.6858718395233154
olmo,100,84,4.234249591827393,3.975611925125122
olmo,128,75,5.031526565551758,3.9888253211975098
olmo,59,25,3.224912643432617,1.7196604013442993
olmo,61,44,2.8264565467834473,3.2973663806915283
olmo,41,10,2.8210561275482178,0.49551230669021606
olmo,71,11,3.3905723094940186,1.2518271207809448
olmo,30,19,2.556950330734253,2.228322744369507
olmo,7,1,0.38967519998550415,0.007986108772456646
olmo,150,54,5.5613861083984375,3.5267508029937744
olmo,56,42,3.340303659439087,3.087975263595581
olmo,119,30,5.850864887237549,2.238792657852173
olmo,118,97,4.727799892425537,4.190339088439941
olmo,74,63,3.7501721382141113,3.390054941177368
olmo,38,23,2.080361843109131,1.6693428754806519
olmo,97,47,4.555639743804932,3.148329019546509
olmo,113,65,4.962014198303223,4.051829814910889
olmo,59,37,3.6976654529571533,2.854733467102051
olmo,72,67,3.597965955734253,3.9708492755889893
olmo,45,32,3.054227352142334,2.312955379486084
olmo,78,57,3.9321341514587402,3.676032781600952
olmo,60,43,3.6118075847625732,3.0231058597564697
olmo,48,54,3.123966932296753,3.692995071411133
olmo,101,89,4.463616847991943,4.490698337554932
olmo,152,99,5.313180923461914,4.2696213722229
olmo,108,94,5.020068645477295,4.5442914962768555
olmo,144,69,5.610105514526367,3.9192919731140137
olmo,125,110,5.602445125579834,4.946589946746826
olmo,37,29,2.7319700717926025,2.7510757446289062
olmo,96,67,4.482772350311279,3.7744219303131104
olmo,39,42,2.8226399421691895,2.849066734313965
olmo,99,44,5.0840020179748535,3.0343620777130127
olmo,50,85,5.412798881530762,6.0316643714904785
olmo,97,57,4.639420986175537,3.7691314220428467
olmo,98,71,7.126499176025391,5.88725471496582
olmo,45,39,2.2409491539001465,2.6332244873046875
olmo,106,94,4.737994194030762,4.6590352058410645
olmo,87,127,4.453620433807373,5.098094463348389
olmo,93,84,4.400993347167969,4.4874773025512695
olmo,125,90,5.068503379821777,4.876970291137695
olmo,83,121,3.81139874458313,5.0465617179870605
olmo,81,113,3.6035475730895996,4.927344799041748
olmo,119,50,4.934469223022461,3.661529302597046
olmo,64,63,3.2948460578918457,4.055293083190918
olmo,62,57,3.333961009979248,3.501113176345825
olmo,78,86,3.8195223808288574,4.638453006744385
olmo,124,115,4.636425018310547,5.076589584350586
olmo,101,63,4.623997688293457,4.010447978973389
olmo,128,96,4.886451721191406,4.5937018394470215
olmo,41,64,2.1146583557128906,2.7991721630096436
olmo,128,96,4.732907772064209,4.4854960441589355
olmo,92,76,4.034907341003418,4.134085655212402
olmo,106,82,4.404764175415039,4.7146687507629395
olmo,44,58,2.340067148208618,3.303635835647583
olmo,102,83,4.3603644371032715,4.237997055053711
olmo,120,89,4.717672824859619,4.5885820388793945
olmo,74,131,4.066112995147705,5.154023170471191
olmo,63,52,3.7928218841552734,3.672100067138672
olmo,135,119,4.860745429992676,5.228641986846924
olmo-tiny,133,116,5.4604716300964355,4.825435638427734
olmo-tiny,128,85,5.111518859863281,4.141361713409424
olmo-tiny,113,100,4.558780193328857,4.462559223175049
olmo-tiny,132,98,5.1392388343811035,4.484255313873291
olmo-tiny,88,87,4.415403366088867,4.18506383895874
olmo-tiny,54,94,3.037116289138794,4.8312554359436035
olmo-tiny,99,129,4.5868048667907715,5.2689666748046875
olmo-tiny,94,76,4.587030410766602,4.250535488128662
olmo-tiny,160,148,5.699532985687256,5.79049015045166
olmo-tiny,53,37,2.327272891998291,2.1133339405059814
olmo-tiny,102,79,4.34900426864624,3.894854784011841
olmo-tiny,120,135,4.936256408691406,4.930929660797119
olmo-tiny,106,120,4.465527534484863,5.09226131439209
olmo-tiny,91,79,3.730520248413086,3.827420949935913
olmo-tiny,115,101,4.82606315612793,4.549421787261963
olmo-tiny,60,39,2.942676067352295,2.6883678436279297
olmo-tiny,39,27,2.047325611114502,1.9879755973815918
olmo-tiny,54,31,3.1086957454681396,2.2482128143310547
olmo-tiny,77,55,3.249392032623291,3.1403729915618896
olmo-tiny,35,41,2.397440195083618,2.3278284072875977
olmo-tiny,5,15,0.1936868131160736,0.6218081116676331
olmo-tiny,146,133,5.523329734802246,5.3381781578063965
olmo-tiny,52,46,3.0295214653015137,3.4763152599334717
olmo-tiny,103,97,5.317033767700195,5.750492572784424
olmo-tiny,93,85,4.3165106773376465,4.3856000900268555
olmo-tiny,80,101,3.6791880130767822,4.42409086227417
olmo-tiny,45,36,2.5416345596313477,1.96169912815094
olmo-tiny,93,107,4.137338638305664,4.708734512329102
olmo-tiny,117,130,5.0200629234313965,5.330889701843262
olmo-tiny,55,51,2.947378635406494,2.956645965576172
olmo-tiny,74,43,3.7124855518341064,2.469871759414673
olmo-tiny,43,51,2.9936254024505615,3.433681011199951
olmo-tiny,57,42,3.309600830078125,2.7352077960968018
olmo-tiny,70,46,3.921189785003662,2.822606325149536
olmo-tiny,39,41,2.8352608680725098,2.7722578048706055
olmo-tiny,117,105,4.672207355499268,4.434438228607178
olmo-tiny,139,106,5.187657833099365,4.3367414474487305
olmo-tiny,122,95,5.274791717529297,4.788034915924072
olmo-tiny,157,149,5.40987491607666,5.359575271606445
olmo-tiny,123,100,5.583812713623047,4.932388782501221
olmo-tiny,32,15,1.828645944595337,0.6243475675582886
olmo-tiny,95,78,4.458605766296387,4.042690277099609
olmo-tiny,45,50,3.25508975982666,3.4368607997894287
olmo-tiny,83,70,4.66821813583374,4.118934154510498
olmo-tiny,74,86,5.725611686706543,5.463141441345215
olmo-tiny,109,67,4.646895408630371,3.1134188175201416
olmo-tiny,126,120,7.233083248138428,5.789809703826904
olmo-tiny,59,49,2.7786450386047363,2.9942221641540527
olmo-tiny,109,108,4.751107215881348,4.70737361907959
olmo-tiny,90,100,4.232381343841553,4.359395980834961
olmo-tiny,76,94,3.9281928539276123,4.371513366699219
olmo-tiny,107,92,4.508793354034424,4.310044765472412
olmo-tiny,84,109,4.1614484786987305,4.504988193511963
olmo-tiny,92,68,4.070840835571289,3.0498576164245605
olmo-tiny,107,110,4.894811153411865,4.577916622161865
olmo-tiny,73,59,3.5685231685638428,3.5638835430145264
olmo-tiny,61,44,3.251138687133789,2.9176056385040283
olmo-tiny,55,20,2.7052223682403564,1.3166553974151611
olmo-tiny,108,102,4.5865936279296875,4.4417195320129395
olmo-tiny,66,43,3.108315944671631,2.608485460281372
olmo-tiny,96,120,4.097158908843994,4.678030967712402
olmo-tiny,23,38,1.1800791025161743,2.0057077407836914
olmo-tiny,132,151,4.8428544998168945,5.14362096786499
olmo-tiny,51,57,2.6249687671661377,2.770644426345825
olmo-tiny,83,100,4.079875469207764,4.2733378410339355
olmo-tiny,34,44,1.7698254585266113,2.284578800201416
olmo-tiny,94,86,4.050865173339844,3.42087721824646
olmo-tiny,100,106,4.326461315155029,4.1606974601745605
olmo-tiny,81,93,4.0640764236450195,4.111064910888672
olmo-tiny,82,50,4.148166656494141,3.068998336791992
olmo-tiny,133,108,4.801778793334961,4.482178211212158
pythia,115,107,4.9876885414123535,4.586802005767822
pythia,117,108,4.888138294219971,4.692870140075684
pythia,99,94,4.3507208824157715,4.198185920715332
pythia,127,115,5.130415916442871,4.852024078369141
pythia,73,63,3.539426803588867,3.233968734741211
pythia,51,43,2.7680153846740723,2.4082164764404297
pythia,91,83,4.07185173034668,3.8857085704803467
pythia,72,65,3.465921401977539,3.1702213287353516
pythia,124,110,5.14466667175293,4.930070400238037
pythia,29,24,1.6689010858535767,1.3972512483596802
pythia,94,89,4.343055248260498,4.10699987411499
pythia,139,128,5.185398101806641,5.017990589141846
pythia,118,106,4.686478614807129,4.525531768798828
pythia,60,55,3.428110122680664,3.1242213249206543
pythia,114,104,4.635042190551758,4.413333415985107
pythia,66,59,3.077450752258301,2.712427854537964
pythia,33,25,2.2074053287506104,1.9459588527679443
pythia,51,39,2.8751416206359863,2.6211185455322266
pythia,59,48,2.854154109954834,2.292329788208008
pythia,33,28,2.552867889404297,2.1376333236694336
pythia,6,4,0.3948953151702881,0.3357228636741638
pythia,144,136,5.3176069259643555,5.0733747482299805
pythia,46,41,2.811701774597168,2.615342378616333
pythia,54,43,3.166715621948242,2.7166061401367188
pythia,95,101,4.10115385055542,4.194748878479004
pythia,88,73,3.8957631587982178,3.340193271636963
pythia,30,31,1.933006763458252,1.7865222692489624
pythia,112,102,4.54136323928833,4.224946975708008
pythia,116,127,5.193511486053467,5.168820381164551
pythia,92,74,4.427425861358643,3.9974026679992676
pythia,65,53,3.466465473175049,3.1331090927124023
pythia,40,35,2.642134666442871,2.5114707946777344
pythia,65,55,3.8857176303863525,3.343351125717163
pythia,51,50,2.924783945083618,2.6720499992370605
pythia,38,34,2.597184181213379,2.4130077362060547
pythia,120,118,4.625053882598877,4.3178911209106445
pythia,143,127,5.117427349090576,4.889423847198486
pythia,111,110,4.966951370239258,4.791664123535156
pythia,136,124,4.930179119110107,4.624499320983887
pythia,114,108,5.616575717926025,5.383613586425781
pythia,85,37,4.052262783050537,2.3437306880950928
pythia,111,99,4.597358703613281,4.187544345855713
pythia,69,66,3.964416027069092,3.761047601699829
pythia,90,83,5.006642818450928,4.651395320892334
pythia,53,58,5.980154037475586,5.539167404174805
pythia,136,114,5.218755722045898,4.854608058929443
pythia,127,136,6.977719783782959,6.613587856292725
pythia,54,52,2.9605042934417725,2.846621513366699
pythia,77,76,3.733062744140625,3.8215677738189697
pythia,86,81,4.246551990509033,4.091243743896484
pythia,74,75,3.858471155166626,3.694451332092285
pythia,90,84,3.9948768615722656,3.5931832790374756
pythia,74,68,3.816986083984375,3.760047674179077
pythia,47,44,2.755746841430664,2.6624038219451904
pythia,93,86,4.358190059661865,4.078320026397705
pythia,72,61,3.701648473739624,3.2988498210906982
pythia,50,45,3.347978353500366,3.0331783294677734
pythia,59,52,3.0848746299743652,2.9241957664489746
pythia,102,99,4.182050704956055,4.084847450256348
pythia,70,59,3.4932236671447754,3.1408138275146484
pythia,93,92,4.297798156738281,4.104595184326172
pythia,32,28,1.9075870513916016,1.99619460105896
pythia,108,114,4.4546217918396,4.473804473876953
pythia,35,30,2.3545145988464355,2.2627182006835938
pythia,50,40,2.6576759815216064,2.2732813358306885
pythia,28,20,1.8910025358200073,1.7701070308685303
pythia,68,63,3.9298133850097656,3.61662220954895
pythia,82,75,3.624303102493286,3.518418312072754
pythia,68,67,3.5401129722595215,3.308176040649414
pythia,87,71,4.530869483947754,3.9938735961914062
pythia,112,107,4.110023021697998,4.005910396575928
qwen,120,116,5.142755508422852,4.903928279876709
qwen,101,84,4.887539863586426,4.413363456726074
qwen,78,43,4.120682716369629,2.7483036518096924
qwen,109,72,4.3968610763549805,2.746927499771118
qwen,67,37,4.285200595855713,3.1408803462982178
qwen,77,79,4.1759819984436035,4.365453720092773
qwen,73,57,4.102181434631348,3.3509747982025146
qwen,92,97,4.559512138366699,4.572213649749756
qwen,128,116,5.381204605102539,5.14164400100708
qwen,21,11,1.5064916610717773,1.150881290435791
qwen,90,76,4.221084117889404,3.811556816101074
qwen,121,111,5.043686866760254,4.803999423980713
qwen,101,84,4.618052959442139,4.202406883239746
qwen,69,66,3.8585598468780518,3.3603901863098145
qwen,108,91,4.816964149475098,4.449846267700195
qwen,53,34,2.839033365249634,1.4382271766662598
qwen,53,42,3.4829812049865723,2.734318256378174
qwen,56,44,3.3741300106048584,3.0368709564208984
qwen,90,70,4.122880935668945,3.6238811016082764
qwen,38,28,2.3274731636047363,1.765430212020874
qwen,11,1,0.43387189507484436,0.05629348009824753
qwen,138,131,5.253741264343262,5.068979740142822
qwen,70,53,3.870342254638672,3.5260889530181885
qwen,64,40,3.7582297325134277,2.754582643508911
qwen,96,85,4.280472278594971,3.840527057647705
qwen,83,72,3.9693100452423096,3.4261109828948975
qwen,57,40,3.02531361579895,2.1231136322021484
qwen,71,65,3.6411490440368652,3.3300068378448486
qwen,89,71,4.561278820037842,3.73669171333313
qwen,42,17,2.6993749141693115,1.7212233543395996
qwen,88,82,4.382607460021973,3.9901833534240723
qwen,48,30,3.1880455017089844,2.1299540996551514
qwen,47,28,3.098447322845459,2.2879691123962402
qwen,60,53,3.351630449295044,2.811455011367798
qwen,51,45,3.013237953186035,2.782945394515991
qwen,90,29,4.135044574737549,2.3886518478393555
qwen,122,93,4.850528240203857,4.226965427398682
qwen,98,79,4.7407546043396,4.0297698974609375
qwen,122,69,4.971165657043457,3.5732343196868896
qwen,114,107,4.815639495849609,4.779178142547607
qwen,53,48,2.937030792236328,2.6273622512817383
qwen,102,93,4.6354827880859375,4.359718322753906
qwen,42,41,2.6397316455841064,2.3893332481384277
qwen,85,82,4.1532511711120605,3.9850900173187256
qwen,53,38,4.211689472198486,3.104477882385254
qwen,65,54,3.380568027496338,3.0979838371276855
qwen,107,106,5.4120402336120605,5.01301908493042
qwen,35,43,2.037055730819702,2.1249592304229736
qwen,112,92,4.695046424865723,4.2452239990234375
qwen,98,94,4.471634387969971,4.258969306945801
qwen,90,83,4.101560592651367,3.935666084289551
qwen,81,66,3.750483274459839,3.4159913063049316
qwen,72,123,3.65185284614563,4.50200891494751
qwen,82,80,3.471235513687134,3.183441400527954
qwen,110,63,4.7860236167907715,3.2592813968658447
qwen,71,51,3.850498914718628,3.040236473083496
qwen,53,42,3.3869869709014893,2.9783127307891846
qwen,86,58,4.004388332366943,2.8539693355560303
qwen,121,87,4.497220516204834,4.2404913902282715
qwen,75,65,3.584465980529785,3.4556784629821777
qwen,117,97,4.764931678771973,4.060047626495361
qwen,30,22,2.0221896171569824,1.6486982107162476
qwen,69,63,3.7259671688079834,3.431701421737671
qwen,61,32,2.9748034477233887,2.096736192703247
qwen,83,38,3.7088022232055664,2.1739227771759033
qwen,62,59,2.630113124847412,3.0554897785186768
qwen,141,114,5.009315013885498,4.614828586578369
qwen,111,80,4.602168560028076,4.057546138763428
qwen,101,63,4.423658847808838,3.6258063316345215
qwen,81,76,3.870063543319702,3.386667251586914
qwen,154,139,5.428090572357178,5.216338634490967
qwen-tiny,153,146,5.695657730102539,5.566605091094971
qwen-tiny,98,82,4.797532081604004,4.450868129730225
qwen-tiny,95,84,4.2207417488098145,3.935962677001953
qwen-tiny,149,162,5.6439008712768555,5.950122356414795
qwen-tiny,97,101,4.477830410003662,4.507232189178467
qwen-tiny,89,94,4.388669490814209,4.6438069343566895
qwen-tiny,150,137,5.29580020904541,5.190465927124023
qwen-tiny,113,114,5.268746376037598,5.337625980377197
qwen-tiny,137,106,5.186862468719482,4.654204368591309
qwen-tiny,27,34,1.8093830347061157,1.97728431224823
qwen-tiny,104,111,4.541176795959473,4.566635608673096
qwen-tiny,135,116,5.286287784576416,4.978362560272217
qwen-tiny,89,91,4.219074726104736,4.2989606857299805
qwen-tiny,70,65,3.540667772293091,3.135338544845581
qwen-tiny,117,122,4.999897003173828,4.945594787597656
qwen-tiny,71,76,3.8033485412597656,3.8029611110687256
qwen-tiny,91,96,4.135260581970215,3.9535672664642334
qwen-tiny,58,73,3.4389939308166504,3.6861956119537354
qwen-tiny,83,123,3.0234646797180176,4.554069995880127
qwen-tiny,82,77,3.6434905529022217,3.6817750930786133
qwen-tiny,6,7,0.17792600393295288,0.42832449078559875
qwen-tiny,129,119,5.170330047607422,4.943552494049072
qwen-tiny,80,77,3.7483043670654297,3.547056198120117
qwen-tiny,90,89,4.657377243041992,4.542470932006836
qwen-tiny,111,104,4.586673736572266,4.534716606140137
qwen-tiny,95,104,4.242115020751953,4.3979692459106445
qwen-tiny,55,38,2.89294695854187,2.2201271057128906
qwen-tiny,114,110,4.6283955574035645,4.578042030334473
qwen-tiny,134,135,5.429221153259277,5.419774055480957
qwen-tiny,40,30,2.580585241317749,2.299049139022827
qwen-tiny,77,64,4.396269798278809,3.44309401512146
qwen-tiny,61,50,3.368767738342285,2.876394271850586
qwen-tiny,62,49,3.6446452140808105,3.36156964302063
qwen-tiny,67,59,3.714852809906006,3.308915138244629
qwen-tiny,69,58,3.8685972690582275,3.5308282375335693
qwen-tiny,136,138,5.954636573791504,5.868871212005615
qwen-tiny,142,131,5.3928327560424805,5.367318153381348
qwen-tiny,92,84,4.232998371124268,4.047506332397461
qwen-tiny,148,167,5.917686939239502,5.943643093109131
qwen-tiny,140,145,5.543517112731934,5.649425983428955
qwen-tiny,50,49,3.2573280334472656,3.0717897415161133
qwen-tiny,106,102,4.843932151794434,4.6994948387146
