idx,_id,year,author,title,n_words,passage_seq,dialogue_density,blt_bits_per_char,pythia_loss,pythia_chars_per_token,pythia_n_tokens,qc
10,_eebo_tcp/A06811,1496,"Mandeville, John, Sir.",[Here endeth the boke of Iohn Maunduyle.,525,16,none,1.3734757556725294,4.747625827789307,3.9721815519765737,512,1450
11,_eebo_tcp/A06811,1496,"Mandeville, John, Sir.",[Here endeth the boke of Iohn Maunduyle.,545,25,none,1.8591864217658383,4.44337797164917,3.7054794520547945,512,1450
12,_eebo_tcp/A06811,1496,"Mandeville, John, Sir.",[Here endeth the boke of Iohn Maunduyle.,503,33,none,1.8521989051904213,4.647078514099121,3.684131736526946,512,1450
13,_eebo_tcp/A06811,1496,"Mandeville, John, Sir.",[Here endeth the boke of Iohn Maunduyle.,507,42,none,1.7705093901862694,4.670823097229004,3.869774919614148,512,1450
14,_eebo_tcp/A06811,1496,"Mandeville, John, Sir.",[Here endeth the boke of Iohn Maunduyle.,578,50,none,1.9659398733881965,4.741720199584961,3.9927953890489913,512,1450
15,_eebo_tcp/A06811,1496,"Mandeville, John, Sir.",[Here endeth the boke of Iohn Maunduyle.,515,59,sparse,,4.398195266723633,3.826783114992722,512,1450
16,_eebo_tcp/A06811,1496,"Mandeville, John, Sir.",[Here endeth the boke of Iohn Maunduyle.,500,67,none,1.8273043370240565,4.522457599639893,3.97564935064935,512,1450
17,_eebo_tcp/A06811,1496,"Mandeville, John, Sir.",[Here endeth the boke of Iohn Maunduyle.,516,76,sparse,1.6421977866255706,4.611207962036133,3.942277691107644,512,1450
18,_eebo_tcp/A06811,1496,"Mandeville, John, Sir.",[Here endeth the boke of Iohn Maunduyle.,211,84,sparse,1.6027085907399148,4.661927223205566,3.8345864661654137,266,1450
19,_earlyprint/A21717,1498,"Malory, Thomas, Sir, 15th cent.",[Le morte d'Arthur],298,4,sparse,1.3745305242664811,3.61732029914856,3.7714285714285714,385,1450
20,_eebo_tcp/A06812,1499,"Mandeville, John, Sir.",Here begynneth a lytell treatyse or booke named Johan Mau[n]deuyll knyght born in Englonde in the towne of saynt Albone,505,15,none,1.5670984788428166,4.117806434631348,4.05922165820643,512,1450
21,_eebo_tcp/A06812,1499,"Mandeville, John, Sir.",Here begynneth a lytell treatyse or booke named Johan Mau[n]deuyll knyght born in Englonde in the towne of saynt Albone,515,23,none,1.7694062039117584,4.560019016265869,3.6894502228826154,512,1450
22,_eebo_tcp/A06812,1499,"Mandeville, John, Sir.",Here begynneth a lytell treatyse or booke named Johan Mau[n]deuyll knyght born in Englonde in the towne of saynt Albone,541,30,sparse,,4.691131114959717,3.82703488372093,512,1450
23,_eebo_tcp/A06812,1499,"Mandeville, John, Sir.",Here begynneth a lytell treatyse or booke named Johan Mau[n]deuyll knyght born in Englonde in the towne of saynt Albone,538,46,none,,4.547389984130859,3.964006259780908,512,1450
24,_eebo_tcp/A06812,1499,"Mandeville, John, Sir.",Here begynneth a lytell treatyse or booke named Johan Mau[n]deuyll knyght born in Englonde in the towne of saynt Albone,534,53,none,1.2350508134718943,4.078948497772217,3.905808477237049,512,1450
25,_eebo_tcp/A06812,1499,"Mandeville, John, Sir.",Here begynneth a lytell treatyse or booke named Johan Mau[n]deuyll knyght born in Englonde in the towne of saynt Albone,526,61,none,,4.4558491706848145,3.9736024844720497,512,1450
26,_eebo_tcp/A06812,1499,"Mandeville, John, Sir.",Here begynneth a lytell treatyse or booke named Johan Mau[n]deuyll knyght born in Englonde in the towne of saynt Albone,643,69,none,1.734606705338958,4.689319133758545,4.08421052631579,512,1450
27,_eebo_tcp/A10798,1500,,Here beginneth the lyf of the moste myscheuoust Robert the deuyll whiche was afterwarde called ye seruaunt of god.,570,15,sparse,,4.369478702545166,3.839488636363636,512,1500
28,_eebo_tcp/A10798,1500,,Here beginneth the lyf of the moste myscheuoust Robert the deuyll whiche was afterwarde called ye seruaunt of god.,839,18,sparse,1.6930979969268938,4.839025974273682,3.902815622161671,512,1500
29,_eebo_tcp/A06814,1503,"Mandeville, John, Sir.",Than is there an other yle ye men call Dodye,506,2,sparse,2.1012471484170336,4.0280985832214355,3.355371900826446,512,1500
30,_eebo_tcp/A06814,1503,"Mandeville, John, Sir.",Than is there an other yle ye men call Dodye,512,5,sparse,,4.023530960083008,3.308300395256917,512,1500
31,_eebo_tcp/A06814,1503,"Mandeville, John, Sir.",Than is there an other yle ye men call Dodye,527,8,none,2.0239912463544636,4.152931213378906,3.4752604166666665,512,1500
32,_eebo_tcp/A06814,1503,"Mandeville, John, Sir.",Than is there an other yle ye men call Dodye,688,10,none,,4.175090312957764,3.551240560949299,512,1500
33,_eebo_tcp/A06814,1503,"Mandeville, John, Sir.",Than is there an other yle ye men call Dodye,514,13,none,1.824627923908694,4.292842388153076,3.283660130718954,512,1500
34,_eebo_tcp/A06814,1503,"Mandeville, John, Sir.",Than is there an other yle ye men call Dodye,511,16,none,1.5552989510077877,4.133839130401611,3.526243093922652,512,1500
35,_eebo_tcp/A06814,1503,"Mandeville, John, Sir.",Than is there an other yle ye men call Dodye,502,18,none,1.9375043697196002,3.901604175567627,3.43956043956044,512,1500
36,_eebo_tcp/A06814,1503,"Mandeville, John, Sir.",Than is there an other yle ye men call Dodye,622,21,sparse,1.665803785770507,3.892987012863159,3.4750290360046456,512,1500
37,_eebo_tcp/A06814,1503,"Mandeville, John, Sir.",Than is there an other yle ye men call Dodye,280,26,sparse,1.5152685008290319,4.090028285980225,3.5256410256410255,390,1500
38,_eebo_tcp/A04397,1510,,The dystruccyon of Iherusalem by Vaspazian and Tytus.,518,30,sparse,,4.668623447418213,3.9520123839009287,512,1500
39,_earlyprint/A09844,1511,"Watson, Henry, fl. 1500-1518, attributed name.",[The noble history of King Ponthus.],534,51,sparse,1.4222137929576237,3.776597261428833,4.11128526645768,512,1500
40,_eebo_tcp/A04678,1511,,here after foloweth a treatyse take[n] out of a boke whiche somtyme Theodosius the Emperour founde in Iherusalem in the pretorye of Pylate of Ioseph of Armathy.,531,0,sparse,2.059998423757374,4.679869174957275,4.162202380952381,512,1500
41,_eebo_tcp/A01245,1517,,[This mater treateth of a merchauntes wyfe that afterwarde went like a man and was called Frederyke of Jennen.],511,0,sparse,1.9479867160847406,4.343529224395752,4.044871794871795,512,1500
42,_eebo_tcp/A01245,1517,,[This mater treateth of a merchauntes wyfe that afterwarde went like a man and was called Frederyke of Jennen.],28,2,sparse,2.0846042487064222,6.4765167236328125,4.0,37,1500
43,_eebo_tcp/A08484,1518,"Watson, Henry, fl. 1500-1518.","[Here endeth ye hystorye of Olyuer of Castylle, and of the fayre Helayne]",517,29,sparse,1.9433351894503716,3.899785280227661,3.3642213642213643,512,1500
44,_earlyprint/A19319,1536,"Copland, Robert, fl. 1508-1547.","The hye way to the spyttell hous Copland and the porter. Who so hath lust, or wyll leaue his thryft ...",554,5,sparse,1.9649353237381573,4.0905961990356445,3.384875846501129,512,1500
45,_eebo_tcp/A07706,1551,"More, Thomas, Sir, Saint, 1478-1535.","A fruteful, and pleasaunt worke of the beste state of a publyque weale, and of the newe yle called Vtopia: written in Latine by Syr Thomas More knyght, and translated into Englyshe by Raphe Robynson citizein and goldsmythe of London, at the procurement, and earnest request of George Tadlowe citezein [and] haberdassher of the same citie.",513,9,sparse,,4.632348537445068,4.174041297935103,512,1550
46,_eebo_tcp/A07706,1551,"More, Thomas, Sir, Saint, 1478-1535.","A fruteful, and pleasaunt worke of the beste state of a publyque weale, and of the newe yle called Vtopia: written in Latine by Syr Thomas More knyght, and translated into Englyshe by Raphe Robynson citizein and goldsmythe of London, at the procurement, and earnest request of George Tadlowe citezein [and] haberdassher of the same citie.",520,37,none,,4.515942096710205,4.057101024890191,512,1550
47,_eebo_tcp/A07706,1551,"More, Thomas, Sir, Saint, 1478-1535.","A fruteful, and pleasaunt worke of the beste state of a publyque weale, and of the newe yle called Vtopia: written in Latine by Syr Thomas More knyght, and translated into Englyshe by Raphe Robynson citizein and goldsmythe of London, at the procurement, and earnest request of George Tadlowe citezein [and] haberdassher of the same citie.",532,47,none,,4.466679573059082,4.170731707317073,512,1550
48,_eebo_tcp/A07706,1551,"More, Thomas, Sir, Saint, 1478-1535.","A fruteful, and pleasaunt worke of the beste state of a publyque weale, and of the newe yle called Vtopia: written in Latine by Syr Thomas More knyght, and translated into Englyshe by Raphe Robynson citizein and goldsmythe of London, at the procurement, and earnest request of George Tadlowe citezein [and] haberdassher of the same citie.",545,85,none,,4.558069229125977,4.043363994743758,512,1550
49,_eebo_tcp/A07706,1551,"More, Thomas, Sir, Saint, 1478-1535.","A fruteful, and pleasaunt worke of the beste state of a publyque weale, and of the newe yle called Vtopia: written in Latine by Syr Thomas More knyght, and translated into Englyshe by Raphe Robynson citizein and goldsmythe of London, at the procurement, and earnest request of George Tadlowe citezein [and] haberdassher of the same citie.",18,94,none,1.9676975774832453,4.998286247253418,3.28125,32,1550
50,_earlyprint/A14893,1555,"Oldwanton, Oliver.","A lyttle treatyse called the image of idlenesse conteynynge certeyne matters moued betwene Walter Wedlocke and Bawdin Bacheler. Tra[n]slated out of the Troyane or Cornyshe tounge into Englyshe, by Olyuer Oldwanton, and dedicated to the Lady Lust.",515,26,sparse,1.3322444597933611,3.9207804203033447,4.520193861066236,512,1550
51,_eebo_tcp/A11016,1557,,Here after folows the hystorye of Gesta Romanorum.,354,100,sparse,2.0385998410331507,4.395416259765625,3.9002079002079,481,1550
52,_earlyprint/A21216,1560,"Copeland, Robert, fl. 1508-1547.","The knight of the swanne Here beginneth the history of the noble Helyas knyght of the Swanne, newly translated out of Frensshe in to Englysshe at thinstygacion of the puyssaunt [and] illustryous Prynce Lorde Edwarde Duke of Buckyngham.",504,12,sparse,1.6575275840552053,4.426596641540527,4.193251533742331,512,1550
53,_earlyprint/A21762,1560,"Berners, John Bourchier, Lord, 1466 or 7-1533.","Arthur of Brytayn The hystory of the moost noble and valyaunt knyght Arthur of lytell brytayne, translated out of frensshe in to englisshe by the noble Iohan bourghcher knyght lorde Barners, newly imprynted.",506,229,sparse,1.6550453465932944,4.252371311187744,3.859882005899705,512,1550
54,_earlyprint/A20800,1566,Apuleius.,"The. xi. bookes of the Golden asse conteininge the Metamorphosie of Lucius Apuleius, enterlaced with sondrie pleasaunt and delectable tales, with an excellent narration of the mariage of Cupide and Psiches, set out in the. iiii. v. and vj. bookes. Translated out of Latine into Englishe by VVilliam Adlington.",719,42,sparse,1.2486664874348228,3.4176666736602783,4.3729792147806,512,1550
55,_earlyprint/A20800,1566,Apuleius.,"The. xi. bookes of the Golden asse conteininge the Metamorphosie of Lucius Apuleius, enterlaced with sondrie pleasaunt and delectable tales, with an excellent narration of the mariage of Cupide and Psiches, set out in the. iiii. v. and vj. bookes. Translated out of Latine into Englishe by VVilliam Adlington.",642,98,sparse,1.8076434034652684,3.694292306900024,4.268447837150127,512,1550
56,_earlyprint/A20800,1566,Apuleius.,"The. xi. bookes of the Golden asse conteininge the Metamorphosie of Lucius Apuleius, enterlaced with sondrie pleasaunt and delectable tales, with an excellent narration of the mariage of Cupide and Psiches, set out in the. iiii. v. and vj. bookes. Translated out of Latine into Englishe by VVilliam Adlington.",546,112,sparse,,3.4432013034820557,4.408814589665654,512,1550
57,_earlyprint/A20800,1566,Apuleius.,"The. xi. bookes of the Golden asse conteininge the Metamorphosie of Lucius Apuleius, enterlaced with sondrie pleasaunt and delectable tales, with an excellent narration of the mariage of Cupide and Psiches, set out in the. iiii. v. and vj. bookes. Translated out of Latine into Englishe by VVilliam Adlington.",582,126,none,,3.6388847827911377,4.3931506849315065,512,1550
58,_earlyprint/A16256,1567,"Boccaccio, Giovanni, 1313-1375.",A pleasaunt disport of diuers noble personages: written in Italian by M. Iohn Bocace Florentine and poet laureat: in his boke vvhich is entituled Philocopo. And nowe Englished by H. G.,545,18,sparse,,3.972467422485352,4.3677991137370755,512,1550
59,_eebo_tcp/A02656,1567,"Harman, Thomas, fl. 1567.","A caueat for commen cursetors vvlgarely called vagabones, set forth by Thomas Harman, esquier, for the vtilite and proffyt of hys naturall countrey. Newly agmented and imprinted Anno Domini. M.D.LXUII. Vewed, examined and allowed, according vnto the Queenes Maiestyes iniunctions.",502,16,sparse,,3.9040932655334473,4.184375,512,1550
60,_eebo_tcp/A02656,1567,"Harman, Thomas, fl. 1567.","A caueat for commen cursetors vvlgarely called vagabones, set forth by Thomas Harman, esquier, for the vtilite and proffyt of hys naturall countrey. Newly agmented and imprinted Anno Domini. M.D.LXUII. Vewed, examined and allowed, according vnto the Queenes Maiestyes iniunctions.",786,20,sparse,2.1828495039539866,4.35225248336792,4.187128712871287,512,1550
61,_eebo_tcp/A02656,1567,"Harman, Thomas, fl. 1567.","A caueat for commen cursetors vvlgarely called vagabones, set forth by Thomas Harman, esquier, for the vtilite and proffyt of hys naturall countrey. Newly agmented and imprinted Anno Domini. M.D.LXUII. Vewed, examined and allowed, according vnto the Queenes Maiestyes iniunctions.",368,41,none,,4.433407306671143,3.864244741873805,512,1550
62,_earlyprint/A16131,1570,"Doni, Anton Francesco, 1513-1574. Moral filosophia.","The morall philosophie of Doni drawne out of the auncient writers. A worke first compiled in the Indian tongue, and afterwardes reduced into diuers other languages: and now lastly englished out of Italian by Thomas North, brother to the right Honorable Sir Roger North Knight, Lorde North of Kyrtheling.",560,44,sparse,1.4602480406030411,3.534857988357544,4.21037037037037,512,1550
63,_eebo_tcp/A02306,1570,"Baldwin, William, ca. 1518-1563?","A maruelous hystory intitulede, beware the cat.",513,0,none,,4.37989616394043,4.205128205128205,512,1550
64,_eebo_tcp/A02306,1570,"Baldwin, William, ca. 1518-1563?","A maruelous hystory intitulede, beware the cat.",461,2,sparse,1.7327328333479806,4.758405685424805,3.929022082018927,512,1550
65,_earlyprint/A19032,1572,"Paynell, Thomas.","The moste excellent and pleasaunt booke, entituled: The treasurie of Amadis of Fraunce conteyning eloquente orations, pythie epistles, learned letters, and feruent complayntes, seruing for sundrie purposes. ... Translated out of Frenche into English.",694,124,none,1.971357426370536,3.684338092803955,4.268237934904602,512,1550
66,_earlyprint/A19032,1572,"Paynell, Thomas.","The moste excellent and pleasaunt booke, entituled: The treasurie of Amadis of Fraunce conteyning eloquente orations, pythie epistles, learned letters, and feruent complayntes, seruing for sundrie purposes. ... Translated out of Frenche into English.",513,142,none,1.753948518018842,3.9081106185913086,4.2446153846153845,512,1550
67,_eebo_tcp/A10718,1574,"Rich, Barnabe, 1540?-1617.","A right exelent and pleasaunt dialogue, betwene Mercury and an English souldier:",629,46,sparse,,4.4021382331848145,4.290167865707434,512,1550
68,_eebo_tcp/A10718,1574,"Rich, Barnabe, 1540?-1617.","A right exelent and pleasaunt dialogue, betwene Mercury and an English souldier:",548,59,sparse,1.5123870184137143,3.7995097637176514,4.291851851851852,512,1550
69,_earlyprint/A09539,1576,"Pettie, George, 1548-1589.","A petite pallace of Pettie his pleasure contaynyng many pretie hystories by him set foorth in comely colours, and most delightfully discoursed.",506,135,none,2.061453747195465,3.726200580596924,4.332810047095761,512,1550
70,_earlyprint/A15046,1576,"Whetstone, George, 1544?-1587?","The rocke of regard diuided into foure parts. The first, the castle of delight: wherin is reported, the wretched end of wanton and dissolute liuing. The second, the garden of vnthriftinesse: wherein are many swéete flowers, (or rather fancies) of honest loue. The thirde, the arbour of vertue: wherein slaunder is highly punished, and vertuous ladies nad gentlewomen, worthily commended. The fourth, the ortchard of repentance: wherein are discoursed, the miseries that followe dicing, the mischiefes of quareling, the fall of prodigalitie: and the souden ouerthrowe of foure notable cousners, with diuers other morall, natural, & tragical discourses: documents and admonitions: being all the inuention, collection and translation of George Whetstons Gent.",548,3,sparse,2.179134554894609,4.236588001251221,3.2047413793103448,512,1550
71,_earlyprint/A15046,1576,"Whetstone, George, 1544?-1587?","The rocke of regard diuided into foure parts. The first, the castle of delight: wherin is reported, the wretched end of wanton and dissolute liuing. The second, the garden of vnthriftinesse: wherein are many swéete flowers, (or rather fancies) of honest loue. The thirde, the arbour of vertue: wherein slaunder is highly punished, and vertuous ladies nad gentlewomen, worthily commended. The fourth, the ortchard of repentance: wherein are discoursed, the miseries that followe dicing, the mischiefes of quareling, the fall of prodigalitie: and the souden ouerthrowe of foure notable cousners, with diuers other morall, natural, & tragical discourses: documents and admonitions: being all the inuention, collection and translation of George Whetstons Gent.",510,15,sparse,1.568748490177416,4.146328449249268,3.919571045576407,512,1550
72,_earlyprint/A15046,1576,"Whetstone, George, 1544?-1587?","The rocke of regard diuided into foure parts. The first, the castle of delight: wherin is reported, the wretched end of wanton and dissolute liuing. The second, the garden of vnthriftinesse: wherein are many swéete flowers, (or rather fancies) of honest loue. The thirde, the arbour of vertue: wherein slaunder is highly punished, and vertuous ladies nad gentlewomen, worthily commended. The fourth, the ortchard of repentance: wherein are discoursed, the miseries that followe dicing, the mischiefes of quareling, the fall of prodigalitie: and the souden ouerthrowe of foure notable cousners, with diuers other morall, natural, & tragical discourses: documents and admonitions: being all the inuention, collection and translation of George Whetstons Gent.",548,22,sparse,1.4291175774099802,3.917371273040771,4.2247043363994745,512,1550
73,_earlyprint/A15046,1576,"Whetstone, George, 1544?-1587?","The rocke of regard diuided into foure parts. The first, the castle of delight: wherin is reported, the wretched end of wanton and dissolute liuing. The second, the garden of vnthriftinesse: wherein are many swéete flowers, (or rather fancies) of honest loue. The thirde, the arbour of vertue: wherein slaunder is highly punished, and vertuous ladies nad gentlewomen, worthily commended. The fourth, the ortchard of repentance: wherein are discoursed, the miseries that followe dicing, the mischiefes of quareling, the fall of prodigalitie: and the souden ouerthrowe of foure notable cousners, with diuers other morall, natural, & tragical discourses: documents and admonitions: being all the inuention, collection and translation of George Whetstons Gent.",572,34,sparse,2.3018398673136504,3.975679874420166,4.167892156862745,512,1550
74,_earlyprint/A16169,1577,"Bishop, John, d. 1613.","Beautiful blossomes, gathered by Iohn Byshop, from the best trees of all kyndes, diuine, philosophicall, astronomicall, cosmographical, historical, & humane, that are growing in Greece, Latium, and Arabia, and some also in vulgar orchards, as wel fro[m] those that in auncient time were grafted, as also from them which haue with skilful head and hand beene of late yeares, yea, and in our dayes planted: to the vnspeakable, both pleasure and profite of all such wil vouchsafe to vse them. The first tome",541,93,none,1.6094053825728138,3.932612895965576,4.13782991202346,512,1550
75,_earlyprint/A68436,1578,"Maisonneufve, Estienne de.","The gallant, delectable and pleasaunt hystorie of Gerileon of Englande containyng the haughtie feates of armes, and knightlie provvesse of the same Gerileon, with his loues and other memorable aduentures. Composed in the Frenche tongue, by Steuen De Maison Neufue Bordelois. And now newly translated into English.",507,41,none,1.4518661438967193,3.715819120407105,4.332283464566929,512,1550
76,_earlyprint/A68436,1578,"Maisonneufve, Estienne de.","The gallant, delectable and pleasaunt hystorie of Gerileon of Englande containyng the haughtie feates of armes, and knightlie provvesse of the same Gerileon, with his loues and other memorable aduentures. Composed in the Frenche tongue, by Steuen De Maison Neufue Bordelois. And now newly translated into English.",514,68,sparse,1.448667486114906,3.5420174598693848,4.294478527607362,512,1550
77,_earlyprint/A68436,1578,"Maisonneufve, Estienne de.","The gallant, delectable and pleasaunt hystorie of Gerileon of Englande containyng the haughtie feates of armes, and knightlie provvesse of the same Gerileon, with his loues and other memorable aduentures. Composed in the Frenche tongue, by Steuen De Maison Neufue Bordelois. And now newly translated into English.",552,110,none,,4.244558334350586,4.2177954847277555,512,1550
78,_earlyprint/A68436,1578,"Maisonneufve, Estienne de.","The gallant, delectable and pleasaunt hystorie of Gerileon of Englande containyng the haughtie feates of armes, and knightlie provvesse of the same Gerileon, with his loues and other memorable aduentures. Composed in the Frenche tongue, by Steuen De Maison Neufue Bordelois. And now newly translated into English.",538,124,sparse,1.8701828544160766,3.736541748046875,4.216524216524217,512,1550
79,_earlyprint/A15034,1582,"Whetstone, George, 1544?-1587?","An heptameron of ciuill discourses Containing: the Christmasse exercise of sundrie well courted gentlemen and gentlewomen. In whose behauiours, the better sort, may see, a represe[n]tation of thier own vertues: and the inferiour, may learne such rules of ciuil gouernme[n]t, as wil rase out the blemish of their basenesse: wherin, is renowned, the vertues, of a most honourable and braue mynded gentleman. And herein, also, as it were in a mirrour the vnmaried may see the defectes whiche eclipse the glorie of mariage: and the wel maried, as in a table of housholde lawes, may cull out needefull preceptes to establysh their good fortune. A worke, intercoursed with ciuyll pleasure, to reaue tediousnesse from the reader: and garnished with morall noates to make it profitable, to the regarder. The reporte, of George Whetstone. Gent.",429,109,none,1.870700749386263,4.119923114776611,3.809880239520958,512,1550
80,_eebo_tcp/A06817,1582,"Mandeville, John, Sir.",The voyages and trauailes of Sir John Maundeuile knight.,521,8,none,1.6141846174917485,3.761601686477661,4.030864197530864,512,1550
81,_eebo_tcp/A06817,1582,"Mandeville, John, Sir.",The voyages and trauailes of Sir John Maundeuile knight.,506,17,none,1.08205194728133,3.467162847518921,4.1190108191653785,512,1550
82,_eebo_tcp/A06817,1582,"Mandeville, John, Sir.",The voyages and trauailes of Sir John Maundeuile knight.,534,26,sparse,,3.752748250961304,4.139705882352941,512,1550
83,_eebo_tcp/A06817,1582,"Mandeville, John, Sir.",The voyages and trauailes of Sir John Maundeuile knight.,509,52,none,2.375270140077335,3.3465330600738525,4.212218649517685,512,1550
84,_eebo_tcp/A06817,1582,"Mandeville, John, Sir.",The voyages and trauailes of Sir John Maundeuile knight.,554,60,none,1.144521125920238,3.586143732070923,4.059154929577465,512,1550
85,_eebo_tcp/A06817,1582,"Mandeville, John, Sir.",The voyages and trauailes of Sir John Maundeuile knight.,567,69,none,,3.542433738708496,4.023480662983426,512,1550
86,_eebo_tcp/A06817,1582,"Mandeville, John, Sir.",The voyages and trauailes of Sir John Maundeuile knight.,545,78,sparse,,3.51242733001709,4.067431850789096,512,1550
87,_earlyprint/A21693,1583,"Robinson, Richard, citizen of London.","The auncient order, societie, and unitie laudable, of Prince Authure, and his knightly armory of the Round Table With a threefold assertion frendly in fauour and furtherance of English archery at this day. Translated and collected by R.R.",509,2,none,2.0198227077306807,4.412609100341797,3.5095693779904304,512,1550
88,_earlyprint/A21693,1583,"Robinson, Richard, citizen of London.","The auncient order, societie, and unitie laudable, of Prince Authure, and his knightly armory of the Round Table With a threefold assertion frendly in fauour and furtherance of English archery at this day. Translated and collected by R.R.",520,5,none,2.4480798063273617,4.050745010375977,3.2538975501113585,512,1550
89,_earlyprint/A14785,1584,"Warner, William, 1558?-1609.","Pan his syrinx, or pipe compact of seuen reedes: including in one, seuen tragical and centicall arguments, with their diuers notes not impertinent: Whereby, in effect, of all thinges is touched, in few, something of the vayue, wanton, proud, and unconstant course of the world. Neither herein, to some-what praise-worthie, is prayse vvanting. By William Warner.",534,28,none,1.4332383094384362,4.085490703582764,4.279600570613409,512,1550
90,_earlyprint/A14785,1584,"Warner, William, 1558?-1609.","Pan his syrinx, or pipe compact of seuen reedes: including in one, seuen tragical and centicall arguments, with their diuers notes not impertinent: Whereby, in effect, of all thinges is touched, in few, something of the vayue, wanton, proud, and unconstant course of the world. Neither herein, to some-what praise-worthie, is prayse vvanting. By William Warner.",574,76,sparse,,4.2294230461120605,4.187894073139975,512,1550
91,_earlyprint/A23344,1584,"Averell, W. (William)","A dyall for dainty darlings, rockt in the cradle of securitie A glasse for all disobedient sonnes to looke in. A myrrour for vertuous maydes. A booke right excellent, garnished with many woorthy examples, and learned aucthorities, most needefull for this tyme present. Compiled by VV. Auerell, Student in Diuinitie, and Schoolemaister in London.",526,14,none,,3.721622467041016,4.365853658536586,512,1550
92,_eebo_tcp/A02122,1584,"Greene, Robert, 1558?-1592.",Gvvydonius.,649,46,sparse,2.426765895412656,4.013115882873535,3.690335305719921,512,1550
93,_eebo_tcp/A06162,1584,"Lodge, Thomas, 1558?-1625.",An alarum against vsurers.,502,1,none,,4.032269477844238,3.6020408163265305,512,1550
94,_eebo_tcp/A06162,1584,"Lodge, Thomas, 1558?-1625.",An alarum against vsurers.,577,2,sparse,1.681041421869224,4.35405158996582,3.726769911504425,512,1550
95,_eebo_tcp/A06162,1584,"Lodge, Thomas, 1558?-1625.",An alarum against vsurers.,512,4,sparse,1.786909993835121,4.291228771209717,3.566371681415929,512,1550
96,_earlyprint/A09631,1585,,Syr Bevis of Hampton,715,29,none,1.9406211591274327,3.6480143070220943,3.4785100286532953,512,1550
97,_eebo_tcp/A02157,1585,"Greene, Robert, 1558?-1592.",Planetomachia: or the first parte of the generall opposition of the seuen planets:,641,13,sparse,1.392013625747654,3.91150426864624,4.485257985257985,512,1550
98,_eebo_tcp/A02157,1585,"Greene, Robert, 1558?-1592.",Planetomachia: or the first parte of the generall opposition of the seuen planets:,515,40,sparse,2.051043662402518,3.53283166885376,4.275449101796407,512,1550
99,_eebo_tcp/A02157,1585,"Greene, Robert, 1558?-1592.",Planetomachia: or the first parte of the generall opposition of the seuen planets:,545,53,sparse,1.958452527217418,3.66108775138855,4.263736263736264,512,1550
100,_eebo_tcp/A02143,1588,"Greene, Robert, 1558?-1592.",Pandosto,605,9,sparse,,3.347018003463745,3.772675086107922,512,1550
101,_eebo_tcp/A02143,1588,"Greene, Robert, 1558?-1592.",Pandosto,512,15,sparse,2.1827250313431263,4.394134521484375,3.646529562982005,512,1550
102,_eebo_tcp/A02074,1589,"Greene, Robert, 1558?-1592.",Arbasto.,497,33,none,,4.082741737365723,4.035502958579881,512,1550
