family,label,prompt,axis,source,target,similarity,layer,source_pos,target_pos,target_freq,displacement_type
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,let,0.5958,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,gazed,0.5953,24,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,stared,0.5944,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,felt,0.5912,16,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,stared,0.5911,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,closed,0.5909,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,let,0.5878,24,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,let,0.5874,16,PRON,VERB,5.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,gazed,0.5865,24,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,screamed,0.586,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,pulled,0.5858,8,VERB,VERB,4.67,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,felt,0.5823,24,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,gazed,0.5779,24,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,screamed,0.5764,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,felt,0.5761,8,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,screamed,0.5751,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,felt,0.5751,24,PRON,VERB,5.13,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,screamed,0.5736,24,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,closed,0.5713,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,closed,0.5708,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,pulled,0.5702,16,VERB,VERB,4.67,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,let,0.5691,8,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,let,0.5672,16,PRON,VERB,5.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,felt,0.5667,24,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,let,0.5638,8,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,let,0.5616,24,PRON,VERB,5.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,closed,0.5613,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,closed,0.5612,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,felt,0.5609,24,PRON,VERB,5.13,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,stared,0.5606,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,gazed,0.5604,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,felt,0.5596,8,PRON,VERB,5.13,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,stared,0.5588,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,gazed,0.5583,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,closed,0.5578,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,felt,0.5572,16,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,let,0.557,8,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,pulled,0.5566,8,VERB,VERB,4.67,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,stared,0.5556,8,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,she,gazed,0.5556,16,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,rubbed,0.5551,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,screamed,0.5547,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,closed,0.5541,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,closed,0.5539,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,let,0.5537,8,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,stared,0.5533,8,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,pulled,0.5532,16,VERB,VERB,4.67,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,screamed,0.5529,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,felt,0.5526,24,PRON,VERB,5.13,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,let,0.5507,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,felt,0.5502,8,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,let,0.55,8,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,screamed,0.55,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,gazed,0.5468,8,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,rubbed,0.5463,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,gazed,0.546,8,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,covered,0.546,24,PRON,VERB,4.83,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,felt,0.5451,24,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,stared,0.5442,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,rubbed,0.5434,8,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,screamed,0.5434,24,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,gazed,0.5432,24,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,felt,0.5427,24,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,closed,0.5424,16,PRON,VERB,4.9,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,screamed,0.5421,24,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,gazed,0.542,8,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,felt,0.5405,16,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,felt,0.5403,24,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,stared,0.5401,24,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,felt,0.54,16,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,closed,0.5396,16,PRON,VERB,4.9,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,let,0.5395,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,rubbed,0.5378,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,let,0.5376,24,PRON,VERB,5.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,closed,0.537,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,let,0.5363,16,PRON,VERB,5.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,let,0.5362,24,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,felt,0.5361,8,PRON,VERB,5.13,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,gazed,0.5355,24,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,stared,0.5334,16,PRON,VERB,3.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,felt,0.5333,8,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,screamed,0.5332,16,PRON,VERB,3.72,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,pulled,0.5329,16,PRON,VERB,4.67,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,stared,0.532,24,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,gazed,0.5313,24,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,gazed,0.5289,24,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,rubbed,0.5285,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,she,felt,0.5277,16,PRON,VERB,5.13,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,let,0.5277,24,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,let,0.527,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,stared,0.5268,24,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,rubbed,0.5268,24,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,pulled,0.5259,16,PRON,VERB,4.67,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,stared,0.5256,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,gazed,0.5243,24,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,gazed,0.5216,24,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,let,0.5213,24,PRON,VERB,5.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,closed,0.5198,16,PRON,VERB,4.9,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,rubbed,0.5196,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,closed,0.5188,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,let,0.5187,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,gazed,0.5185,8,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,stared,0.5181,8,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,she,gazed,0.518,24,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,stared,0.5179,8,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,felt,0.5174,24,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,rubbed,0.5167,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,let,0.5166,24,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,covered,0.5165,24,PRON,VERB,4.83,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,rubbed,0.5165,24,PRON,VERB,3.57,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,screamed,0.5164,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,she,screamed,0.5159,16,PRON,VERB,3.72,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,screamed,0.5157,16,PRON,VERB,3.72,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,screamed,0.5151,24,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,rubbed,0.5135,24,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,covered,0.5133,24,PRON,VERB,4.83,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,rubbed,0.5133,24,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,gazed,0.5131,8,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,stared,0.513,24,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,felt,0.5125,24,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,gazed,0.5123,24,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,screamed,0.5121,16,PRON,VERB,3.72,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,covered,0.5118,24,VERB,VERB,4.83,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,covered,0.5113,24,VERB,VERB,4.83,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,stared,0.5099,16,PRON,VERB,3.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,pulled,0.509,24,PRON,VERB,4.67,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,felt,0.5089,8,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,screamed,0.5087,24,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,pulled,0.5071,16,PRON,VERB,4.67,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,she,gazed,0.5068,8,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,let,0.5066,8,PRON,VERB,5.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,screamed,0.506,8,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,closed,0.5055,8,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,stared,0.5042,24,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,rubbed,0.5035,24,PRON,VERB,3.57,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,rubbed,0.5035,24,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,felt,0.5032,8,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,rubbed,0.501,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,felt,0.4988,24,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,pulled,0.4987,16,VERB,VERB,4.67,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,rubbed,0.4983,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,rubbed,0.4977,24,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,closed,0.4973,24,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,stared,0.4956,16,PRON,VERB,3.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,screamed,0.4956,24,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,rubbed,0.4952,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,covered,0.4941,16,VERB,VERB,4.83,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,rubbed,0.4936,16,PRON,VERB,3.57,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,rubbed,0.4933,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,let,0.4929,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,rubbed,0.4925,16,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,let,0.4922,24,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,she,closed,0.4917,16,PRON,VERB,4.9,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,stared,0.4913,24,PRON,VERB,3.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,closed,0.4907,8,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,closed,0.4907,24,PRON,VERB,4.9,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,covered,0.4906,16,PRON,VERB,4.83,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,rubbed,0.4905,8,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,pulled,0.4899,16,VERB,VERB,4.67,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,rubbed,0.4896,16,PRON,VERB,3.57,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,closed,0.4886,24,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,screamed,0.4885,8,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,let,0.4885,24,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,pulled,0.4883,16,VERB,VERB,4.67,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,screamed,0.4876,24,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,let,0.4867,8,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,pulled,0.4866,16,VERB,VERB,4.67,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,covered,0.4858,24,VERB,VERB,4.83,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,screamed,0.4856,8,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,rubbed,0.4854,8,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,let,0.4843,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,rubbed,0.4842,8,VERB,VERB,3.57,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,closed,0.4839,24,PRON,VERB,4.9,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,screamed,0.4832,8,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,stared,0.4811,24,PRON,VERB,3.6,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,closed,0.4809,24,VERB,VERB,4.9,register_shift
