embedder,family,label,category,n_base,n_aligned,mmd_ba,p_ba,mmd_bb,p_bb
paraphrase-multilingual-MiniLM-L12-v2,olmo,substance_2,substance,91,69,0.013264717856584562,0.001996007984031936,-0.0014030088755849768,0.6646706586826348
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,sexual_liminal_2,sexual_liminal,90,88,0.040021181566893604,0.001996007984031936,0.0019374671860303838,0.21956087824351297
paraphrase-multilingual-MiniLM-L12-v2,olmo,neutral_7,neutral,81,50,0.005568971009634938,0.013972055888223553,9.732230377323958e-05,0.4031936127744511
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,violence_liminal_5,violence_liminal,80,71,0.04649307440482642,0.001996007984031936,0.0022856744940158435,0.18562874251497005
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,violence_explicit_3,violence_explicit,85,72,0.030511254177571168,0.001996007984031936,-0.0015864435010430888,0.6746506986027944
paraphrase-multilingual-MiniLM-L12-v2,smol,death_2,death,69,62,0.011219419323765578,0.001996007984031936,-0.0017276518910867011,0.6027944111776448
paraphrase-multilingual-MiniLM-L12-v2,amber,death_2,death,31,68,0.055336441674390224,0.001996007984031936,-0.010128879387212075,0.8922155688622755
paraphrase-multilingual-MiniLM-L12-v2,qwen,sexual_explicit_2,sexual_explicit,5,20,0.044186826869130114,0.04590818363273453,,
paraphrase-multilingual-MiniLM-L12-v2,smol,violence_explicit_5,violence_explicit,59,73,0.0008960917884137665,0.29740518962075846,-0.0017648432241932355,0.5788423153692615
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,death_4,death,88,94,0.02948220707122773,0.001996007984031936,-0.001313610655013786,0.6127744510978044
paraphrase-multilingual-MiniLM-L12-v2,tulu,violence_liminal_5,violence_liminal,99,22,0.01283113883107645,0.011976047904191617,0.010925387765019279,0.003992015968063872
paraphrase-multilingual-MiniLM-L12-v2,qwen,sexual_liminal_2,sexual_liminal,9,12,0.06364997862305932,0.005988023952095809,,
paraphrase-multilingual-MiniLM-L12-v2,smol,sexual_liminal_2,sexual_liminal,61,70,0.0010432789541212628,0.26746506986027946,0.00748999990583421,0.06187624750499002
paraphrase-multilingual-MiniLM-L12-v2,olmo,death_4,death,94,86,0.010251519794761021,0.001996007984031936,-0.001342837150754228,0.6926147704590818
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,violence_liminal_3,violence_liminal,82,87,0.06719525872769028,0.001996007984031936,0.0025838460216220938,0.17564870259481039
paraphrase-multilingual-MiniLM-L12-v2,smol,neutral_7,neutral,74,61,0.004943878202502416,0.00998003992015968,0.0032965277059671116,0.15568862275449102
paraphrase-multilingual-MiniLM-L12-v2,smol,violence_liminal_3,violence_liminal,62,66,0.0019969306630869266,0.16766467065868262,-0.00320555992416649,0.7604790419161677
paraphrase-multilingual-MiniLM-L12-v2,olmo,power_3,power,93,72,0.004305543205228579,0.015968063872255488,-0.0006562469623112577,0.5708582834331337
paraphrase-multilingual-MiniLM-L12-v2,olmo,profanity_4,profanity,82,48,0.004499542856170935,0.033932135728542916,0.0018451011978966037,0.2275449101796407
paraphrase-multilingual-MiniLM-L12-v2,olmo,violence_explicit_5,violence_explicit,97,61,0.006482119695928379,0.013972055888223553,-0.0011424322664017605,0.5868263473053892
paraphrase-multilingual-MiniLM-L12-v2,olmo,violence_liminal_3,violence_liminal,96,28,0.07905535377032424,0.001996007984031936,0.00025774574848713705,0.3912175648702595
paraphrase-multilingual-MiniLM-L12-v2,amber,sexual_liminal_1,sexual_liminal,36,62,0.04108657206991517,0.001996007984031936,0.0013232641640370524,0.405189620758483
paraphrase-multilingual-MiniLM-L12-v2,tulu,substance_2,substance,117,26,0.060375812928048056,0.001996007984031936,0.008690581741932046,0.001996007984031936
paraphrase-multilingual-MiniLM-L12-v2,smol,profanity_4,profanity,54,52,0.001648934276211378,0.20958083832335328,-0.0008420932248576207,0.5409181636726547
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,neutral_7,neutral,75,73,0.05940382005140221,0.001996007984031936,-0.0032139428366300127,0.8702594810379242
paraphrase-multilingual-MiniLM-L12-v2,zephyr,violence_liminal_3,violence_liminal,18,18,0.014680574157594384,0.027944111776447105,0.002305948590370255,0.44510978043912175
paraphrase-multilingual-MiniLM-L12-v2,qwen,violence_explicit_5,violence_explicit,13,24,0.008980077538329523,0.18363273453093812,-0.009268462717145542,0.5069860279441117
paraphrase-multilingual-MiniLM-L12-v2,tulu,violence_liminal_3,violence_liminal,109,15,0.022726986940484695,0.001996007984031936,0.0012644814169839869,0.24550898203592814
paraphrase-multilingual-MiniLM-L12-v2,smol,substance_2,substance,73,61,0.010814214767511876,0.001996007984031936,-0.002936607662566537,0.8023952095808383
paraphrase-multilingual-MiniLM-L12-v2,tulu,profanity_4,profanity,90,23,0.0308528254522753,0.001996007984031936,-0.00420866425577926,0.9540918163672655
paraphrase-multilingual-MiniLM-L12-v2,olmo,violence_liminal_5,violence_liminal,93,60,0.003199493273574383,0.08383233532934131,0.008530253349908756,0.013972055888223553
paraphrase-multilingual-MiniLM-L12-v2,amber,sexual_explicit_2,sexual_explicit,29,36,0.09765136731519264,0.001996007984031936,-0.012245757748693853,0.908183632734531
paraphrase-multilingual-MiniLM-L12-v2,olmo,sexual_explicit_2,sexual_explicit,88,49,0.007271697578055569,0.021956087824351298,-0.0023315082488657435,0.7225548902195609
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,death_2,death,35,53,0.033854779211317076,0.001996007984031936,-0.005276694743513,0.7524950099800399
paraphrase-multilingual-MiniLM-L12-v2,smol,profanity_2,profanity,46,53,0.0033350500007540695,0.0998003992015968,-0.009165234103208686,0.9780439121756487
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,sexual_liminal_1,sexual_liminal,86,88,0.02975194835713002,0.001996007984031936,-0.0005590604390666165,0.5588822355289421
paraphrase-multilingual-MiniLM-L12-v2,qwen,substance_2,substance,6,27,-0.004896470950228382,0.5249500998003992,,
paraphrase-multilingual-MiniLM-L12-v2,qwen,death_4,death,16,18,0.025014052295193157,0.02594810379241517,-0.015609230677442909,0.7884231536926147
paraphrase-multilingual-MiniLM-L12-v2,smol,death_4,death,76,72,0.016286364090120964,0.001996007984031936,-0.0037852524464689896,0.8922155688622755
paraphrase-multilingual-MiniLM-L12-v2,olmo,sexual_liminal_1,sexual_liminal,94,66,0.009642717753370222,0.001996007984031936,0.004070616594993748,0.08383233532934131
paraphrase-multilingual-MiniLM-L12-v2,zephyr,violence_explicit_5,violence_explicit,15,13,0.008623067170932197,0.18163672654690619,-0.03387720561481711,0.9960079840319361
paraphrase-multilingual-MiniLM-L12-v2,olmo,sexual_liminal_2,sexual_liminal,88,80,0.019170115661977905,0.001996007984031936,0.0018631800003059418,0.24550898203592814
paraphrase-multilingual-MiniLM-L12-v2,smol,substance_4,substance,69,71,0.004888134140015765,0.01996007984031936,0.004809675032946048,0.10179640718562874
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,neutral_1,neutral,70,44,0.034263163514192785,0.001996007984031936,0.006570908031366063,0.07784431137724551
paraphrase-multilingual-MiniLM-L12-v2,olmo,substance_4,substance,93,68,0.014732626042840424,0.001996007984031936,-0.00024372626218260862,0.47704590818363274
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,sexual_explicit_2,sexual_explicit,29,54,0.025240867599027217,0.001996007984031936,0.022248595508915114,0.03592814371257485
paraphrase-multilingual-MiniLM-L12-v2,amber,substance_2,substance,9,19,0.038255047890669136,0.001996007984031936,,
paraphrase-multilingual-MiniLM-L12-v2,zephyr,sexual_liminal_2,sexual_liminal,22,20,0.02358182796688757,0.003992015968063872,-0.012413870351445588,0.8522954091816367
paraphrase-multilingual-MiniLM-L12-v2,qwen,profanity_2,profanity,10,13,-0.0020087408574200882,0.5449101796407185,0.014673580797037733,0.3333333333333333
paraphrase-multilingual-MiniLM-L12-v2,smol,neutral_1,neutral,54,33,0.036993648905182974,0.001996007984031936,-0.0022467508166617023,0.6067864271457086
paraphrase-multilingual-MiniLM-L12-v2,zephyr,violence_liminal_5,violence_liminal,17,18,0.14660390094961695,0.001996007984031936,0.04679299069264298,0.021956087824351298
paraphrase-multilingual-MiniLM-L12-v2,smol,sexual_explicit_4,sexual_explicit,59,77,0.012659360035913059,0.001996007984031936,-0.00726494961112123,0.9900199600798403
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,neutral_1,neutral,20,43,0.01636002195950037,0.029940119760479042,-0.023769695176637295,0.9540918163672655
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,substance_4,substance,34,67,0.011768005054158204,0.00998003992015968,-0.006949846086989009,0.8043912175648703
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,violence_explicit_5,violence_explicit,23,47,0.03888212998355667,0.001996007984031936,0.018431527060833952,0.08183632734530938
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,sexual_explicit_2,sexual_explicit,83,77,0.052076407926798796,0.001996007984031936,-0.0016498246660725524,0.6467065868263473
paraphrase-multilingual-MiniLM-L12-v2,tulu,sexual_explicit_2,sexual_explicit,98,21,0.026341617504323178,0.001996007984031936,0.007346461432918616,0.03792415169660679
paraphrase-multilingual-MiniLM-L12-v2,smol,power_5,power,89,41,0.003094114074656762,0.10778443113772455,0.007104876492823209,0.029940119760479042
paraphrase-multilingual-MiniLM-L12-v2,amber,power_3,power,27,44,0.07008519211618802,0.001996007984031936,-6.530630897172429e-06,0.47704590818363274
paraphrase-multilingual-MiniLM-L12-v2,zephyr,sexual_explicit_2,sexual_explicit,17,20,0.09214127376713988,0.001996007984031936,-0.00038653532738441854,0.45109780439121755
paraphrase-multilingual-MiniLM-L12-v2,olmo,sexual_explicit_4,sexual_explicit,86,50,0.02861035398110756,0.001996007984031936,-0.0005888338473425403,0.47704590818363274
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,profanity_2,profanity,39,59,0.008300242809092806,0.007984031936127744,0.005954787808830853,0.16766467065868262
paraphrase-multilingual-MiniLM-L12-v2,qwen,neutral_1,neutral,8,11,-0.007033732373504797,0.6347305389221557,,
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,power_3,power,83,92,0.035159588723573165,0.001996007984031936,-0.00319326254846497,0.8502994011976048
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,profanity_4,profanity,71,65,0.01740928920562479,0.001996007984031936,0.0007920769909282033,0.3532934131736527
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,profanity_2,profanity,68,73,0.03427778352986133,0.001996007984031936,-0.002097731221166077,0.7085828343313373
paraphrase-multilingual-MiniLM-L12-v2,tulu,substance_4,substance,95,25,0.024451649155341926,0.001996007984031936,-0.00029407951811366573,0.5209580838323353
paraphrase-multilingual-MiniLM-L12-v2,amber,violence_liminal_5,violence_liminal,22,18,0.03998132286925005,0.005988023952095809,-0.013567238294649231,0.8063872255489022
paraphrase-multilingual-MiniLM-L12-v2,qwen,power_5,power,5,19,0.009988304398914183,0.281437125748503,,
paraphrase-multilingual-MiniLM-L12-v2,tulu,neutral_7,neutral,90,23,0.04159865406391661,0.001996007984031936,0.004076644409061858,0.09381237524950099
paraphrase-multilingual-MiniLM-L12-v2,qwen,sexual_liminal_1,sexual_liminal,11,18,0.004259570104681032,0.31137724550898205,0.006852815999930595,0.34930139720558884
paraphrase-multilingual-MiniLM-L12-v2,amber,death_4,death,44,67,0.05312479507949619,0.001996007984031936,0.004418468793208508,0.1996007984031936
paraphrase-multilingual-MiniLM-L12-v2,smol,sexual_explicit_2,sexual_explicit,61,78,-0.0010608798048463708,0.656686626746507,0.00030801102334154784,0.4411177644710579
paraphrase-multilingual-MiniLM-L12-v2,amber,sexual_explicit_4,sexual_explicit,43,25,0.09655226818724061,0.001996007984031936,-0.0022603284274547164,0.5708582834331337
paraphrase-multilingual-MiniLM-L12-v2,amber,power_5,power,7,20,0.28080707076039124,0.001996007984031936,,
paraphrase-multilingual-MiniLM-L12-v2,amber,sexual_liminal_2,sexual_liminal,25,30,0.048498810363964084,0.001996007984031936,0.01721904719079359,0.07584830339321358
paraphrase-multilingual-MiniLM-L12-v2,smol,violence_liminal_5,violence_liminal,51,70,0.006490209774351774,0.007984031936127744,-0.007449363690082755,0.93812375249501
paraphrase-multilingual-MiniLM-L12-v2,zephyr,death_2,death,23,20,0.016613149672078498,0.02594810379241517,0.02250225723455168,0.021956087824351298
paraphrase-multilingual-MiniLM-L12-v2,amber,neutral_1,neutral,7,8,0.053111071194470894,0.041916167664670656,,
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,violence_explicit_3,violence_explicit,21,60,0.03638127212748299,0.003992015968063872,0.011174137865508582,0.17165668662674652
paraphrase-multilingual-MiniLM-L12-v2,zephyr,sexual_liminal_1,sexual_liminal,21,22,0.014570489092932348,0.021956087824351298,0.003119328957293277,0.3652694610778443
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,power_5,power,11,58,0.01353227786926281,0.07584830339321358,0.047359817438661356,0.1217564870259481
paraphrase-multilingual-MiniLM-L12-v2,zephyr,neutral_1,neutral,20,13,0.0027052220681758055,0.32934131736526945,-0.005778375935914015,0.6167664670658682
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,sexual_liminal_2,sexual_liminal,18,43,0.033929034641706046,0.001996007984031936,0.0209484474090762,0.13373253493013973
paraphrase-multilingual-MiniLM-L12-v2,zephyr,death_4,death,26,16,0.00414223752952414,0.26746506986027946,0.007478627084761991,0.23552894211576847
paraphrase-multilingual-MiniLM-L12-v2,amber,violence_explicit_3,violence_explicit,20,24,0.21435088421707404,0.001996007984031936,0.007529735071730936,0.2694610778443114
paraphrase-multilingual-MiniLM-L12-v2,zephyr,power_5,power,19,16,0.025474076885131147,0.029940119760479042,-0.028439037474391915,0.9700598802395209
paraphrase-multilingual-MiniLM-L12-v2,smol,sexual_liminal_1,sexual_liminal,72,80,0.0072698634399130935,0.003992015968063872,-0.0008444600540808977,0.5548902195608783
paraphrase-multilingual-MiniLM-L12-v2,zephyr,sexual_explicit_4,sexual_explicit,15,18,0.05439934711075778,0.003992015968063872,0.03619958259672473,0.06986027944111776
paraphrase-multilingual-MiniLM-L12-v2,olmo,power_5,power,26,41,0.017225632933641544,0.01996007984031936,-0.007153635159984351,0.6307385229540918
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,substance_2,substance,40,58,0.021820931881448846,0.001996007984031936,0.0003961682668913724,0.40718562874251496
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,sexual_explicit_4,sexual_explicit,9,35,0.05709507767569999,0.001996007984031936,,
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,profanity_4,profanity,33,71,0.01459807879477748,0.001996007984031936,0.0012624207240243823,0.3772455089820359
paraphrase-multilingual-MiniLM-L12-v2,qwen,violence_explicit_3,violence_explicit,10,19,0.020012373237949577,0.08982035928143713,-0.039918580435068574,0.998003992015968
paraphrase-multilingual-MiniLM-L12-v2,qwen,neutral_7,neutral,5,18,0.08454536381245137,0.001996007984031936,,
paraphrase-multilingual-MiniLM-L12-v2,amber,substance_4,substance,12,15,0.05000478124081775,0.001996007984031936,-0.010121006474012928,0.7465069860279441
paraphrase-multilingual-MiniLM-L12-v2,amber,profanity_4,profanity,8,18,0.30672949048692755,0.001996007984031936,,
paraphrase-multilingual-MiniLM-L12-v2,qwen,violence_liminal_5,violence_liminal,10,17,0.03521281076372329,0.02594810379241517,-0.025717907924005745,0.8562874251497006
paraphrase-multilingual-MiniLM-L12-v2,zephyr,substance_4,substance,16,13,0.02095693042176805,0.03592814371257485,-0.014039370539951301,0.8043912175648703
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,sexual_liminal_1,sexual_liminal,41,69,0.016073603070821507,0.001996007984031936,-0.006532706745674632,0.846307385229541
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,neutral_7,neutral,23,56,0.029207391405718264,0.001996007984031936,-0.0021873435816301967,0.5688622754491018
paraphrase-multilingual-MiniLM-L12-v2,qwen,power_3,power,10,19,0.026755153534330445,0.03992015968063872,-0.04307650545325159,0.9720558882235529
paraphrase-multilingual-MiniLM-L12-v2,zephyr,power_3,power,18,14,0.03904561899190906,0.003992015968063872,-0.0190661612406251,0.9201596806387226
paraphrase-multilingual-MiniLM-L12-v2,zephyr,substance_2,substance,23,24,0.024061376005715784,0.001996007984031936,0.02715452686374964,0.017964071856287425
paraphrase-multilingual-MiniLM-L12-v2,amber,violence_explicit_5,violence_explicit,27,22,0.08460178892565229,0.001996007984031936,0.0015572631643712143,0.3812375249500998
paraphrase-multilingual-MiniLM-L12-v2,zephyr,neutral_7,neutral,13,8,0.02749619685223137,0.06986027944111776,-0.03751876077604077,0.9880239520958084
paraphrase-multilingual-MiniLM-L12-v2,qwen,death_2,death,10,21,0.03193158860079737,0.023952095808383235,-0.028390601310446684,0.9481037924151696
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,power_3,power,32,61,0.07630376006111939,0.001996007984031936,-0.0031171782720906815,0.6946107784431138
paraphrase-multilingual-MiniLM-L12-v2,qwen,sexual_explicit_4,sexual_explicit,6,11,0.05133198585966525,0.011976047904191617,,
paraphrase-multilingual-MiniLM-L12-v2,zephyr,violence_explicit_3,violence_explicit,9,9,0.007590983926640593,0.2654690618762475,,
paraphrase-multilingual-MiniLM-L12-v2,qwen,violence_liminal_3,violence_liminal,5,15,0.01817729007880553,0.18363273453093812,,
paraphrase-multilingual-MiniLM-L12-v2,amber,neutral_7,neutral,7,11,0.09389665876983799,0.001996007984031936,,
paraphrase-multilingual-MiniLM-L12-v2,qwen,profanity_4,profanity,7,17,0.04323299257076263,0.017964071856287425,,
paraphrase-multilingual-MiniLM-L12-v2,qwen,substance_4,substance,8,18,0.015102325218971924,0.17365269461077845,,
paraphrase-multilingual-mpnet-base-v2,smol,violence_explicit_3,violence_explicit,77,51,0.008150479489553497,0.001996007984031936,-0.0029629091244220973,0.8143712574850299
paraphrase-multilingual-mpnet-base-v2,tulu,substance_4,substance,42,25,0.02360787180455115,0.001996007984031936,0.002897324967255921,0.29141716566866266
paraphrase-multilingual-mpnet-base-v2,olmo-tiny,sexual_liminal_2,sexual_liminal,90,88,0.03237615307129982,0.001996007984031936,-0.00467360134850292,0.9740518962075848
paraphrase-multilingual-mpnet-base-v2,qwen,profanity_4,profanity,7,17,0.04920096696607068,0.007984031936127744,,
paraphrase-multilingual-mpnet-base-v2,olmo,neutral_1,neutral,19,10,0.040481167504407445,0.027944111776447105,-0.000416387100540927,0.4111776447105788
paraphrase-multilingual-mpnet-base-v2,smol,profanity_2,profanity,46,53,0.0023821892747106777,0.18163672654690619,0.003270015436731777,0.25149700598802394
paraphrase-multilingual-mpnet-base-v2,smol,sexual_liminal_2,sexual_liminal,61,70,-0.0002692150103715818,0.49500998003992014,0.00621526517795723,0.1157684630738523
paraphrase-multilingual-mpnet-base-v2,olmo,death_4,death,94,86,0.009657165719898941,0.001996007984031936,-0.0036775667271629064,0.9461077844311377
paraphrase-multilingual-mpnet-base-v2,olmo-tiny,profanity_2,profanity,68,73,0.02764776904119648,0.001996007984031936,0.004681452144497111,0.10578842315369262
paraphrase-multilingual-mpnet-base-v2,olmo-tiny,neutral_1,neutral,70,44,0.03451389923120951,0.001996007984031936,-0.0055123566862631534,0.9221556886227545
paraphrase-multilingual-mpnet-base-v2,zephyr,sexual_explicit_2,sexual_explicit,17,20,0.09189522856820509,0.001996007984031936,-0.021080469403985225,0.906187624750499
paraphrase-multilingual-mpnet-base-v2,smol,sexual_explicit_4,sexual_explicit,59,77,0.013635120457810457,0.001996007984031936,-8.613445140492892e-05,0.4590818363273453
paraphrase-multilingual-mpnet-base-v2,smol,sexual_explicit_2,sexual_explicit,61,78,0.00017805479595578433,0.3652694610778443,-0.0012149053949825905,0.5489021956087824
paraphrase-multilingual-mpnet-base-v2,olmo-tiny,violence_liminal_5,violence_liminal,80,71,0.03926014437771985,0.001996007984031936,-0.00017104296110259654,0.4590818363273453
paraphrase-multilingual-mpnet-base-v2,olmo,power_3,power,93,72,0.006155308087161915,0.005988023952095809,0.0006707263481160464,0.3153692614770459
paraphrase-multilingual-mpnet-base-v2,olmo-tiny,sexual_liminal_1,sexual_liminal,86,88,0.025095994336038263,0.001996007984031936,-0.0016488346088920913,0.6706586826347305
paraphrase-multilingual-mpnet-base-v2,olmo-tiny,substance_4,substance,79,82,0.042466401476741966,0.001996007984031936,0.004050372262137003,0.1157684630738523
paraphrase-multilingual-mpnet-base-v2,olmo-tiny,power_5,power,87,78,0.06820275999034164,0.001996007984031936,0.003244575823943441,0.16167664670658682
paraphrase-multilingual-mpnet-base-v2,olmo,neutral_7,neutral,81,50,0.005351215240980922,0.017964071856287425,0.0029921387453655246,0.15169660678642716
paraphrase-multilingual-mpnet-base-v2,smol,substance_2,substance,73,61,0.009581242619152386,0.003992015968063872,0.004433274364654016,0.10578842315369262
paraphrase-multilingual-mpnet-base-v2,qwen-tiny,violence_explicit_5,violence_explicit,23,47,0.048236648881698097,0.001996007984031936,0.0030485204715555714,0.34331337325349304
paraphrase-multilingual-mpnet-base-v2,zephyr,power_5,power,19,16,0.02294150259766603,0.021956087824351298,0.021650268773223402,0.14171656686626746
paraphrase-multilingual-mpnet-base-v2,olmo,violence_explicit_3,violence_explicit,78,36,0.031155050853714172,0.001996007984031936,-0.0011795607771998284,0.5588822355289421
paraphrase-multilingual-mpnet-base-v2,olmo-tiny,death_2,death,76,78,0.01896260876422229,0.001996007984031936,-0.0005367674012346502,0.5189620758483033
paraphrase-multilingual-mpnet-base-v2,tulu,violence_explicit_5,violence_explicit,45,17,0.002368659826474495,0.3193612774451098,-0.002742099282832866,0.6127744510978044
paraphrase-multilingual-mpnet-base-v2,olmo,violence_liminal_5,violence_liminal,93,60,0.004401366769814619,0.033932135728542916,-0.0007388827293781652,0.5489021956087824
paraphrase-multilingual-mpnet-base-v2,smol,power_3,power,70,84,0.0044064484564916295,0.021956087824351298,-0.0001626883498397902,0.44510978043912175
paraphrase-multilingual-mpnet-base-v2,olmo-tiny,power_3,power,83,92,0.031772024696299805,0.001996007984031936,0.0016562743425116988,0.28542914171656686
paraphrase-multilingual-mpnet-base-v2,tulu,profanity_4,profanity,43,23,0.02893787538792858,0.001996007984031936,-0.0011418886374370274,0.5209580838323353
paraphrase-multilingual-mpnet-base-v2,olmo-tiny,violence_explicit_5,violence_explicit,84,80,0.030801994749685813,0.001996007984031936,-0.0036544770350150912,0.9401197604790419
paraphrase-multilingual-mpnet-base-v2,smol,death_4,death,76,72,0.014637609087548853,0.001996007984031936,0.0036985523173347357,0.12974051896207583
paraphrase-multilingual-mpnet-base-v2,smol,violence_liminal_3,violence_liminal,62,66,0.0036357952796333137,0.06187624750499002,-0.005981209531074505,0.9640718562874252
paraphrase-multilingual-mpnet-base-v2,tulu,neutral_1,neutral,53,23,0.03791397653989237,0.001996007984031936,-0.009298630749810188,0.9421157684630739
paraphrase-multilingual-mpnet-base-v2,smol,sexual_liminal_1,sexual_liminal,72,80,0.007941616329724788,0.001996007984031936,0.0002606330892160891,0.4351297405189621
paraphrase-multilingual-mpnet-base-v2,tulu,sexual_explicit_2,sexual_explicit,48,21,0.025590440950297166,0.003992015968063872,-0.0020133921125455867,0.5289421157684631
