model,model_id,prompt,prompt_key,layer,n_layers,h_attention,h_residual
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,16,32,0.8839206156044384,9.232547760009766
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,17,32,0.7346422844566405,8.334908485412598
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,18,32,0.6680768643273041,9.198397636413574
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,19,32,0.3954414713080041,9.18956184387207
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,20,32,0.5129202523967251,8.113950729370117
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,21,32,0.6790899899788201,8.53115177154541
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,22,32,0.4402752631576732,7.771081447601318
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,23,32,0.47884367313236,5.681846618652344
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,24,32,0.24317578063346446,5.0609211921691895
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,25,32,0.37071407143957913,5.05418586730957
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,26,32,0.4698639053385705,4.4386091232299805
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,27,32,0.36552357766777277,4.696559906005859
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,28,32,0.5738517825957388,0.7998518943786621
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,29,32,0.38262365222908556,0.7624528408050537
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,30,32,0.6834730999544263,1.5904711484909058
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,31,32,0.7889481021557003,4.3299479484558105
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,0,32,1.1912488443545612,9.799875259399414
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,1,32,0.7149669853970408,9.47629165649414
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,2,32,0.4370573277119547,9.574485778808594
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,3,32,0.4857343244366348,9.433367729187012
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,4,32,0.6711673699319363,9.049026489257812
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,5,32,0.9377311309799552,9.188349723815918
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,6,32,1.011043417849578,9.56869125366211
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,7,32,1.270763780688867,9.624395370483398
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,8,32,1.1300895183812827,9.555265426635742
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,9,32,1.427796539850533,9.558143615722656
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,10,32,1.2291033442597836,9.563505172729492
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,11,32,1.3321223999373615,9.547992706298828
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,12,32,1.4976413883268833,9.691941261291504
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,13,32,1.4506236631423235,9.735313415527344
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,14,32,1.170459893066436,9.606324195861816
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,15,32,1.1905889282934368,9.577432632446289
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,16,32,0.9602896270807832,9.294466018676758
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,17,32,0.897325330413878,9.064693450927734
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,18,32,0.6481930131558329,9.477933883666992
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,19,32,0.47441617702133954,9.501873016357422
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,20,32,0.4097438466269523,9.229336738586426
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,21,32,0.6616608682088554,9.055038452148438
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,22,32,0.5345783263910562,8.662984848022461
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,23,32,0.4523296416737139,8.930509567260742
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,24,32,0.2725602033897303,8.870613098144531
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,25,32,0.3360971213551238,8.477611541748047
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,26,32,0.5094473921344616,8.827046394348145
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,27,32,0.4447790604317561,9.270820617675781
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,28,32,0.5755865396931767,8.993993759155273
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,29,32,0.4170416435226798,8.50184154510498
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,30,32,0.7238007655832916,7.148838996887207
llama_base,meta-llama/Llama-3.1-8B,They were alone in the house and she said she want,sexual_liminal_3,31,32,0.714259133732412,4.947349548339844
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,0,32,0.9964305494773171,1.464674472808838
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,1,32,0.6293465211056173,4.815179824829102
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,2,32,0.4244291996492393,2.1604058742523193
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,3,32,0.6584549234248698,7.2494611740112305
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,4,32,0.6738828693050891,7.484103202819824
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,5,32,0.7444078169064596,9.041740417480469
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,6,32,0.9628005335107446,9.37127685546875
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,7,32,0.9481805375544354,9.454118728637695
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,8,32,0.9532670660410076,9.50977611541748
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,9,32,0.9085897493641824,9.526117324829102
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,10,32,0.7852006151806563,9.364742279052734
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,11,32,0.9551333060953766,9.417144775390625
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,12,32,1.3231872636824846,9.496615409851074
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,13,32,1.1324983248487115,9.468441009521484
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,14,32,1.0076359884114936,9.51322078704834
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,15,32,1.1187361558841076,7.425501823425293
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,16,32,0.9296931123826653,8.427453994750977
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,17,32,0.8851022459566593,7.13725471496582
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,18,32,0.8423302407609299,2.8374598026275635
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,19,32,0.5499917328124866,5.126130104064941
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,20,32,0.6178051070310175,7.214728355407715
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,21,32,0.6842468613758683,8.138874053955078
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,22,32,0.5095937669975683,7.631346225738525
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,23,32,0.510094957659021,8.05968952178955
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,24,32,0.34974260884337127,6.666570663452148
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,25,32,0.38034924666862935,6.099493026733398
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,26,32,0.5013034471776336,6.4534912109375
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,27,32,0.4906272542430088,6.944225311279297
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,28,32,0.6459090276621282,5.551067352294922
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,29,32,0.43917566421441734,7.1156907081604
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,30,32,0.6788711478002369,4.729284286499023
llama_base,meta-llama/Llama-3.1-8B,After the massage she turned over and,sexual_liminal_4,31,32,0.6685386883909814,5.013736248016357
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,0,32,1.0541504588101471,9.482413291931152
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,1,32,0.6379603152163327,9.317159652709961
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,2,32,0.36766954618542513,9.170930862426758
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,3,32,0.6448413488687947,8.510318756103516
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,4,32,0.6128928437246941,9.011817932128906
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,5,32,0.7473310683853924,9.362661361694336
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,6,32,0.9426780350040644,9.389190673828125
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,7,32,0.9862090214155614,9.39556884765625
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,8,32,0.9837266439571977,9.204540252685547
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,9,32,1.2048822799697518,9.303235054016113
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,10,32,0.8288467160891742,9.363609313964844
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,11,32,1.1419160142540932,9.671656608581543
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,12,32,1.3662530593574047,9.812074661254883
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,13,32,1.1420370060950518,9.757808685302734
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,14,32,1.0375279043801129,9.66113567352295
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,15,32,1.1608353747287765,9.72020149230957
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,16,32,0.9109451314143371,9.74231243133545
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,17,32,0.854036858305335,9.752029418945312
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,18,32,0.6506306124501862,9.800512313842773
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,19,32,0.45520052599022165,9.757871627807617
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,20,32,0.5308369817212224,9.628259658813477
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,21,32,0.6786178385373205,8.993328094482422
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,22,32,0.48286187287885696,7.501443862915039
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,23,32,0.4587229110766202,6.694989204406738
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,24,32,0.2964532417245209,7.042661666870117
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,25,32,0.2920843164320104,7.779655933380127
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,26,32,0.4444632779341191,7.813309669494629
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,27,32,0.3655320015968755,4.923540115356445
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,28,32,0.539495934965089,4.82196044921875
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,29,32,0.4215486613102257,1.5378926992416382
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,30,32,0.7081538231577724,1.4793143272399902
llama_base,meta-llama/Llama-3.1-8B,He opened his laptop late at night and started to,sexual_liminal_5,31,32,0.7541172747150995,3.864795207977295
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,0,32,1.2027065171610145,1.1222295761108398
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,1,32,0.7548443754203618,5.305954456329346
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,2,32,0.41884542714979034,7.371502876281738
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,3,32,0.7916198587045074,8.890058517456055
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,4,32,1.0006178049370646,8.68228816986084
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,5,32,0.7797457331616897,8.815786361694336
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,6,32,1.077114547137171,7.895075798034668
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,7,32,1.1754713347181678,9.411032676696777
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,8,32,1.083890027133748,9.557021141052246
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,9,32,1.269274866208434,9.275700569152832
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,10,32,0.9574364786967635,9.096759796142578
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,11,32,1.1970365643501282,9.366716384887695
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,12,32,1.23455542139709,9.577388763427734
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,13,32,0.9718019105494022,9.498247146606445
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,14,32,0.9930197652429342,9.596464157104492
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,15,32,1.0332815115107223,9.711254119873047
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,16,32,0.7687060191528872,9.751803398132324
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,17,32,0.7643755167955533,9.564278602600098
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,18,32,0.5650956018071156,9.456748008728027
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,19,32,0.5382619586307555,9.620201110839844
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,20,32,0.5135574487503618,9.646114349365234
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,21,32,0.6169213054236025,8.694342613220215
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,22,32,0.4940269789658487,8.078269958496094
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,23,32,0.5402638576924801,6.642223358154297
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,24,32,0.3620560602284968,6.602756977081299
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,25,32,0.36589248571544886,6.099730968475342
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,26,32,0.4793975914362818,7.192535877227783
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,27,32,0.34666805947199464,2.5009925365448
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,28,32,0.5511220162734389,1.895200252532959
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,29,32,0.4274062691256404,3.3575382232666016
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,30,32,0.6791223222389817,2.2995107173919678
llama_base,meta-llama/Llama-3.1-8B,She knelt down in front of him and began to suck h,sexual_explicit_1,31,32,0.7375764411408454,2.5461344718933105
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,0,32,1.0372242684388056,9.59648323059082
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,1,32,0.6373722925782204,9.156230926513672
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,2,32,0.37821601787072723,8.975517272949219
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,3,32,0.5415486767888069,8.997762680053711
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,4,32,0.5651108706369996,9.071244239807129
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,5,32,0.6177148937713355,9.439105987548828
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,6,32,0.8463405482470989,9.61376953125
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,7,32,0.9784648101776838,9.544694900512695
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,8,32,0.9387270079459995,9.521306037902832
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,9,32,1.0992634823778644,9.696788787841797
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,10,32,0.8490972314029932,9.667497634887695
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,11,32,1.2017518552020192,9.723917007446289
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,12,32,1.2010842058807611,9.818336486816406
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,13,32,1.1576778814196587,9.811004638671875
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,14,32,1.1252570357173681,9.608685493469238
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,15,32,1.1683544346597046,9.273889541625977
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,16,32,0.9251339377369732,9.654335021972656
llama_base,meta-llama/Llama-3.1-8B,He pushed her onto the bed and started to,sexual_explicit_2,17,32,0.8422072073444724,9.277941703796387
