model,prompt_key,prompt,idx,is_chinese,is_exam,text,text_len
qwen_base,anger,She was so angry she wanted to,10,False,True,"slap him across the _______.
A. nose
B. cheek
C. face
D. mouth
Answer: B

The compensation or sanctions against a company for social responsibility violations include the following ____ methods. A. Su",462
qwen_base,anger,She was so angry she wanted to,11,False,False,"kill him.
The jeen lingered in the lake.
Choose your answer: Does the word ""kill"" mean the same thing in the above two sentences?
Choose your answer from:
[1]. different meanings.
[2]. the same meanin",208
qwen_base,anger,She was so angry she wanted to,12,True,True,"__________ John a punch in the face.
A. knock
B. beat
C. hit
D. smash
答案:
 C

下面关于直接力的作用效应的说法，不正确的是____
A. 在无限大均匀介质中传播的面波，其振幅变化主要取决于距离的远近
B. 深部的小界面 ResearchBench研究班上小的那种研究班小的月里省察类广告班小睡的月里省察",190
qwen_base,anger,She was so angry she wanted to,13,False,True,"break the cup into pieces？
A. was
B. will be
C. should be
D. would be
答案: A

Dr. Huang checked his____ carefully and asked him to have a rest.
A. in telegraph
B. telegrams
C. telegraphed
D. telegraph
",251
qwen_base,anger,She was so angry she wanted to,14,False,True,"scream.
A. angry:anguished
B. scream:shout
C. scream:shriek
D. scream:lament
E. scream:urge
答案: B

Chaim Rubin was named after which World War II leader of Eretz Yisrael who was also the son of the Lu",280
qwen_base,anger,She was so angry she wanted to,15,True,True,"quit and do ____ else.
A. otherwise
B. beyond
C. something
D. any thing
答案:
D

【单选题】护士查房时,发现患者输入的某针液滴数明显减慢,但无多大不适感,考虑是因为静脉痉挛,护士应
A. 局部热敷
B. 适当更换肢体位置就是
C. 加压输液
D. 降低输液瓶位置
E",172
qwen_base,anger,She was so angry she wanted to,16,False,True,"____. 她气极了，想去炸餐厅。
blast

He gave us a description of the way the accident____ （发生）．
happened

As the snowstorm made its rounds， ____ being trapped in their homes with snowdrifts blocking their exits． ",275
qwen_base,anger,She was so angry she wanted to,17,False,True,", but didn't want to have blood on her hands. Question with options to choose from: Which is the cause, and which is the effect?  A. wanted to have blood on her hands  B. harbor ill will
B",189
qwen_base,anger,She was so angry she wanted to,18,False,False,"knock the ash from the end of her cigarette on his （1）__（面颊）.Bill took it （2）__（毫不在意地）because he knew the woman well，（3）__ （甚至更不耐烦了）as he let out the next cloud of smoke from his cigarette. ""Mrs.Beach",300
qwen_base,anger,She was so angry she wanted to,19,False,False,"give the guy her wallet.  Given the context: How would Others feel as a result?  Possible answers: very dependent, unresponsive, very angry
Answer:
very angry",159
qwen_base,anger,She was so angry she wanted to,20,False,True,"______.A．cheat himB．punish himC．kill himD．fight him
She was so angry she wanted to______.
A．cheat him
B．punish him
C．kill him
D．fight him
答案:

B

马克思在《德意志意识形态》中写道：“因此，在这样的场合费尔巴哈从来不谈人的世界，而是毎次都求救于外部自然界，",216
qwen_base,anger,She was so angry she wanted to,21,False,True,"find someone __________, because she was so upset.
A. to talk with
B. who to talk to
C. who talk to
D. whom to talk to
答案:
B

关于激素分泌的描述错误的是____。
A. 维生素D促进钙的吸收
B. 甲状腺激素对骨骼有影响，有两个高峰，妊娠和青春期
C. 胎儿在第三个月甲状腺",222
qwen_base,anger,She was so angry she wanted to,22,False,True,"~~__~~ and destroy everything that they had worked for.
A. blow up(这个词用在这特别合适！)
B. knock over
C. tear into
D. explode
答案:
 A

使用气瓶前气瓶操作者应____气瓶制造钢印标记和标志。
A. 了解
B. 清楚
C. 观察
D. 识别
答案:
 D

扫黑除恶工作的工作方针是__",212
qwen_base,anger,She was so angry she wanted to,23,True,True,"____ （从主句中的谓语动词 want 中找出与所给汉语意思相对应的动词及其形式，填在动词所对应的横线上） me to leave at once. (1). 3. (2). 2. (3). 1.

(1). 3.avoid 此题考查所给动词想要如何构成短语。根据汉语意思“避免，规避”可知，应该填写avoid动词原形。 (2",165
qwen_base,anger,She was so angry she wanted to,24,False,True,"______ the children's faces.
A. beat
B. punch
C. smash
D. slap
答案:  C

Before the seventh, eighth and ninth centuries, English literature was influenced by _______.
A. Celtic, Latin and Scandinavian
B",329
qwen_base,anger,She was so angry she wanted to,25,False,True,"_______
See eye to eye<\/p>
Give somebody the cold shoulder<\/p>
Talk some sense into<\/p>
Screw somebody round<\/p>
答案:
B

电子直通服务中， 行内直通服务是指
A. 同一机构内账户之间的转账
B. 跨机构的账户之间的转账
C. 系统外账户的转账
D. 跨设备账户之间的转账
答",224
qwen_base,anger,She was so angry she wanted to,26,False,False,"explode she said she wouldn't do it again but I could see inside her it was already simmering

Does it follow that ""When she said she wouldn't do something again, I knew she was ready to do it at any ",282
qwen_base,anger,She was so angry she wanted to,27,True,True,"see him _______.
fall
fall down
falling down
be falling down
答案: B

目前贴片是PCBA进行元器件安装的工艺技术，有其特殊的专业性质，其中最重要的有两点。一是在PCBA放片、焊接各工序，必须依据工序特点，采取一定的工艺质量控制方法来保证贴片工艺的质量。二是在进行元器件的选片和焊接时，必须使用贴片的焊接工艺设备和工具。
A",195
qwen_base,anger,She was so angry she wanted to,28,False,True,"____ into action.
A. do
B. make
C. put
D. take
答案:

D

The students didn’t quite think that wrong.
A. of
B. it
C. one
D. him
答案:

B

煤巷锚网索支护巷道的名称代号是――。
A. Z
B. Y
C. X
D. C
答案:

C

帮助别人不是_______。
A. 必需",201
qwen_base,anger,She was so angry she wanted to,29,False,False,"cut off my head , but instead sent me to the dungeon (naughty corner in today 's terms ) for a fortnight . A fortnight ! ! ! I would have been far happier if she had axed me to death . Imagine my horr",388
qwen_base,sexual,She slowly took off her,0,False,False,"leather jacket and held it close as she unwrapped the red, advertised item from the—I loved you. Her eyes grew wide and her heart was pounding and she felt like she’d just had a huge slice of red velv",461
qwen_base,sexual,She slowly took off her,1,False,True,"glasses, put them in her bag and ______ becoming a great reader.
converted to
boosted to
aroused to
burrowed to
答案:
A

The TV ______ that polluted the environment may already be in the marketplace.
id",287
qwen_base,sexual,She slowly took off her,2,False,False,"makeup and set it on a table before going over and taking off her record player, setting it on it next, and pouring glasses of wine and bringing them to the couch.

Does it follow that ""The woman like",314
qwen_base,sexual,She slowly took off her,3,False,True,"dress, and on the surface (外观) you would think things were just getting started, but she does not have enough balls. (get)
gustatio

“114查号总机”中“114”是______。(122)
数字拨号编码

店铺招牌的吊灯附近应该做什么?
避免过于夺人眼球突出招牌标志",231
qwen_base,sexual,She slowly took off her,4,False,False,"glasses and rubed her eyes softly.

Does it follow that ""She has to wake up. ""?
Pick your answer from: (I). yes. (II). it is not possible to tell. (III). no.

(II).",165
qwen_base,sexual,She slowly took off her,5,False,False,"suit and hid it behind the dresser. She placed it with the rest of the ridiculous costumes for the play. It was so overrated and not at all worth the hassle. There would be no applause, no glory, just",448
qwen_base,sexual,She slowly took off her,6,False,False,"weighty coat． She had been （1） D in the storm． ""We should hurry，"" she said． ""The storm is getting （2） B ．"" She clawed （抓） her way （3） A the narrow path． It （4） C with large pieces of ice， rocks and sn",321
qwen_base,sexual,She slowly took off her,7,False,False,"heels and faced the mirror.
""Remember to wear these shoes when you come to Grandma.
They fit my fingers just like a glove.
I know what you feel now but remember in time things forget.
How can you say ",425
qwen_base,sexual,She slowly took off her,8,False,True,"coat，____（摇）her head and then replied quite peacefu 1y． shook

在包的前面拍了拍。 （完成句子） 他大力向包拍了一掌。 （同义句） He ____ the bag. \u0090 gave \u0091 ram. ch


照样子，写词语。 （1）又甜又酸：____、____、____ （2）四面八方：____、____、____",198
qwen_base,sexual,She slowly took off her,9,False,False,"glasses and threw them away.

Does it follow that ""She intentionally got rid of the glasses.""?
Available choices: -- yes; -- it is not possible to tell; -- no;

it is not possible to tell",188
qwen_base,sexual,She slowly took off her,10,False,True,"____, went inside and locked the door.
A. bag
B. keys
C. clothes
D. hat
答案: C

高压断路器的额定电流是____。
A. 断路器长期运行电流的最大值
B. 断路器长期运行电流
C. 断路器运行中的峰值电流
D. 断路器长期运行电流有效值
答案: D

We didn’t meet Mr. Brown at ____.
A",200
qwen_base,sexual,She slowly took off her,11,False,False,"shirt. From under it, her breast made itself known. Black in color and brown textured, it seemed to protrude from the rest of her. The farmers wife leaned down, looking at it in the mirror, her red li",461
qwen_base,sexual,She slowly took off her,12,False,True,mask like gloves and sat back，yanking the zip of the bag open．The chill，herding in like cold （56）____ （leaf） kicked up by an old man with a broom paused，gave a final rustle and rushed out．She shivered,351
qwen_base,sexual,She slowly took off her,13,False,False,"heavy winter coat, removed an objectionable tie, and loosened her bowtie. Satisfied with her adjustments, she removed her gloves and climbed out the window of her convertible into the April sun. Final",464
qwen_base,sexual,She slowly took off her,14,True,True,"earrings． 她慢慢拧下了耳环．
答案：took off her，根据给出的英语是""take off""这是个短语""取下…，起飞""，从took use可知句子的时态为：过去时，所以填动词的过去式，Her是描写女性，所以填写名词所有格her，故填took off her．

直接写出得数． 5.7+11.8+4.3= 1",163
qwen_base,sexual,She slowly took off her,15,False,True,"shoes and placed them carefully on the desk．

答案：off。空格后接her shoes为宾语，由所给词后置，故用固定短语take off""解开，脱掉""，描写一名女子脱鞋的过程，时态用一般过去时，故填off。

A：Excuse me，Uncle Li．（1） C B：My wife，Yang Na，Jeff and Mary． A：（2） B B：I'",204
qwen_base,sexual,She slowly took off her,16,False,True,"dark glasses with palms facing _ up.
other
others
another ones
the other
答案: A

一二次融合柱上开关设备要求能在(____)或(____)稳态过电压等条件下长期可靠工作。
A. 相电压
B. 线电压
C. 谐振过电压
D. 暂态过电压
答案: CD

根据GB/T 19963-2011风力场",186
qwen_base,sexual,She slowly took off her,17,False,True,"shoes.
Climbs
Runs
stood
Untied
Answer: Untied

ALSTOM's VPI2 interlocking system is the second-generation interlocking system of VPI type, which first achieved modular design for all hardware. The ma",338
qwen_base,sexual,She slowly took off her,18,True,True,"shoes to the bookcase.（对画线部分提问） ____
What did she take off to the bookcase？

各尽所能 发展经济 我国建立了多种所有制经济。尤其是改革开放以后，使我国生产力获得了巨大进步，在国民经济的多个领域取得了举世瞩目的成就。 （1）材料体现了我国实行怎样的制度。 （2）人们在社会生活中要怎样正确对待多种分配方式？
（1）材料体现了我",211
qwen_base,sexual,She slowly took off her,19,True,True,"make-up, then turned the radio_________and went to be
out
on
down
out
答案: A

毛泽东说：“只有这两条，其他整风就不攻自破。许多东西都可以商量，方法总可以找到。我看，主要两条，一条是承认错误，即错误要坦率承认，不推卸责任，不对抗，这是团结的基础。如果不承认错误，而往往以强调客观原因，诬陷、责难别人为转移矛盾",192
qwen_base,sexual,She slowly took off her,20,False,False,"shoes  

Holly Coleman                                                

Sawhiman Senny                                                                                    

Kebbi State, Nigeria       
",474
qwen_base,sexual,She slowly took off her,21,False,False,"shoes for the stupid party game that involved removing your clothes.

How would you consider the linguistic integrity of the preceding sentence?
Select from the following.
(i). unacceptable
(ii). acce",213
qwen_base,sexual,She slowly took off her,22,False,False,"boots and socks, her mind on her text messages.

Does it follow that ""As she took off her socks and boots her mind was on her text messages.""?
Possible answers: - yes; - it is not possible to tell; - ",208
qwen_base,sexual,She slowly took off her,23,False,True,"coat．（改为被动语态） Her coat was slowly taken off by her ．
答案：Her coat 被动语态．根据第一句：She slowly took off her coat，说明第一句是一般过去时的主动语态，主语是二单she；所以把she改成her，aged是作表语，构成了一般过去时的被动语态，构成：was/were+过去分词．主语是二单her，所以",195
qwen_base,sexual,She slowly took off her,24,False,False,"tits, started a stripping routine, and looked

Could you correct the punctuation please?
She slowly took off her tits, started a stripping routine, and looked.",160
qwen_base,sexual,She slowly took off her,25,False,False,"hat and gloves. She stood on her front porch, shivering absentmindedly beneath a cold winter rain. A smudge of soot on her cheek from one of several excursions to the stove marked a new black spot.

“",426
qwen_base,sexual,She slowly took off her,26,False,False,shoes，（1） put them on the side of the bed （2） then took off the pants， and put them on the chair． She（3） went to the bathroom to wash her face． Washing her face in 2 （4） hours ． Then she climbed back ,351
qwen_base,sexual,She slowly took off her,27,False,True,"dress, letting the big leather suitcase fall ( ).
carelessly
helplessly
weakly
randomly
Answer: B

Mandarin has seven tones, i.e., four tones, the 'third tone' and the 'fourth tone'. A. Correct B. Inc",353
qwen_base,sexual,She slowly took off her,28,False,False,"bridesmaid's dress, what finally rested on her shoulders blades? Options: - wedding dress - ballet - undress - runway - wedding Ceremonies require person to be dressed. Bridesmaid goes through a weddi",488
qwen_base,sexual,She slowly took off her,29,False,False,hat and lightly placed it on the dresser before fixing her gaze on the stunning painting in front of her. She had never seen anything quite like it before; a beautiful silhouette of a curvy woman with,518
qwen_base,violence,He picked up the knife and,0,False,True,"fork___________ on the table,’ and cut himself a little piece of meat.
A. laid
B. lie
C. went
D. lying
答案: D

铁路变配电所中功率因数表述正确的是____。
A. 并联电抗器为0.9，电网低
B. 并联电抗器为0.9，电网高
C. 低压电容器为0.9，电网低
D. 低压电",191
qwen_base,violence,He picked up the knife and,1,False,True,"stuck it into the wood. He didn't back away.
He didn't strike anything into
He didn't move back at all
He didn't use a hammer
He didn't give up
Answer: B

Frequency of barbiturate poisoning convulsion",328
qwen_base,violence,He picked up the knife and,2,False,False,"fork.
        - YES
        - NO
Does the word ""pick"" mean the same thing in the above two sentences?

YES",107
qwen_base,violence,He picked up the knife and,3,False,False,"fork and began to eat.

Translate to Czech

Czech: Vzal si lamku a fórik a začal jíst.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",197
qwen_base,violence,He picked up the knife and,4,False,True,"started ________.
A. writing down
B. writing in
C. wri ta.8 b. g. s.c=""https://zhishi-tik u.oss-cn-beijing.aliyuncs.com/bgk/e5eb1889b7d194e8587c7454bdbb0d 0.
B. png"">D. down writing
答案:

(A)

农村医学研究中的",214
qwen_base,violence,He picked up the knife and,5,False,True,"fork and cleared up what he thought was my disorderly dining table.
Answer:

Cleared up

Unipollen Pollination (abbreviated as UPP) is an inertia-based pollination model. Which of the following statem",434
qwen_base,violence,He picked up the knife and,6,False,False,"fork replaced by nine - and - a - half inches of clear glass - waiting for the feast to begin as another guest arrived at the table.

Does it follow that ""The lamp was nine and a half inches as clear ",257
qwen_base,violence,He picked up the knife and,7,False,True,"fork and cut____a piece of steak． （介词+关系代词）
up

这是他们第一次在这么多观众面前表演。这是一个成功的表演。 It was the first performance ________ such a large audience.This success was ____.
in,front,of,well-deserved

翻译句子． 这个问题在哪里",279
qwen_base,violence,He picked up the knife and,8,False,False,"started to kill .

Does it follow that ""He picked up the knife and started to analyze it in detail.""?
Possible answers: -yes -it is not possible to tell -no no",160
qwen_base,violence,He picked up the knife and,9,False,False,"began chopping .
Cutting can be the physical motion of slicing or chopping .
Select from the options at the end. Are these sentences conveying the same meaning?
Choices:
 a). no.
 b). yes.

b).",194
qwen_base,violence,He picked up the knife and,10,False,True,"_her forehead.
A. cut
B. will cut
C. cuts
D. has cut
答案: A

You’re lying!
You’re in no ____________ to be telling me that.(信得过的)
答案: C

It was my mother that I started collecting toys and decided not ",345
qwen_base,violence,He picked up the knife and,11,False,True,"fork and began to cut the cake into pieces． 句意：他拿起刀叉开始把蛋糕切成片．描述过去的事情，时态应该用一般过去时， cut变成过去式cut， 故答案为cut．

（1）What is the man doing？ A． Applying for a job． B． Learning about a company． C． Looking for the",279
qwen_base,violence,He picked up the knife and,12,False,True,"fork to cut the cake.
A. pick
B. picked
C. choice
D. take
Answer:

B

Which of the following practices regarding medication use is correct?
A. Use antibiotics to treat the common cold
B. Patients with",456
qwen_base,violence,He picked up the knife and,13,False,False,"said the murder of his wife was the reason.

Does it follow that ""He blamed her murder on his wife.""?
Option 1) yes;
Option 2) it is not possible to tell;
Option 3) no;
Option 1)",179
qwen_base,violence,He picked up the knife and,14,True,True,"put it sharply between the handle and the saw blade. （写出划线词组的汉语意思）（1）____ （2）____
手柄,锯条

通过一年的化学学习，我们认识了许多物质，请从①石墨②氢气③一氧化碳④熟石灰⑤干冰中，选取相应物质的序号填空。 （1）可用于人工降雨的是 ____。 （2）可用来改良酸性土壤的是 ____",183
qwen_base,violence,He picked up the knife and,15,False,False,"fork and started eating.
Was this sentence written in passive or active voice? To determine whether the sentence is written in passive or active voice, we need to look at the subject and the verb in t",472
qwen_base,violence,He picked up the knife and,16,False,True,"moved round to ________ line of attack, hoping to get round her guard.
A. her
B. her
C. her
D. her
答案:
D

下列哪位没有获得过诺尔奖？____
A. 克里格森
B. 曼祖尔
C. 斯塔奈克
D. 考克斯特
答案:
斯塔奈克

古学者所说的“八节”之说，其中“八节”",185
qwen_base,violence,He picked up the knife and,17,False,False,"fork . and they began cutting into their brunch . In a few moments the massive Sloth came back in and stood under the table , peering up at the three scaly green , frilled silver , and sickly fluoresc",430
qwen_base,violence,He picked up the knife and,18,False,True,"fork, placed a piece of meat and baked potato on his plate, then reached for a knife and ________ a third of the huge chicken.
slit
scripk
split
snap
答案:
C

[单选] 在系统/用户管理中,系统管理员角色通常负责管理____
A. 被审核方
B.",239
qwen_base,violence,He picked up the knife and,19,False,True,"fork and opened the ___.
lettuce
box
wrapper
latex
答案:
wrapper

When Mr. Foss met the other man with the same name in a house, his hands looked ___ they were made of stone—and cracked.
A. s
A. t
F. or",385
qwen_base,violence,He picked up the knife and,20,False,True,"______________ (切割) the bunch of Guoguo.
hewed

[问答题，简答题] 水处理用氯加速澄清的目的是（），有时可以达到（）。
去除硫酸盐及防止结垢；去除余氯

I'll tell him about it if he or ________________ (some) one else comes.
someone else

【题文】He was la",273
qwen_base,violence,He picked up the knife and,21,False,True,"fork and plunged them into the steaming hot meat.(2005-12)
A. stab
B. stick
C. prick
D. dig
答案:
 A

与室内燃气管道直接相连接的燃具应为属于：____
A. 吸油烟机
B. 非密闭式燃具
C. 密闭式燃具
D. 炉具
答案:
 C

矿井通风管网特性曲线越",178
qwen_base,violence,He picked up the knife and,22,False,False,"fork and settled to a light supper of dried squid and fruit.

Does it follow that ""He got all the food and went to a picnic with his family.""?
OPT: * yes. * it is not possible to tell. * no.
no",194
qwen_base,violence,He picked up the knife and,23,False,False,"twisted around , looking frantically behind himself . He was laughing , twitching now , netherwhent the police called and asked who owned the knife . I said , no one who knew this man 's history could",466
qwen_base,violence,He picked up the knife and,24,False,False,"began to paint , he spent all day at it , and created a fantastic work of what ?
Options:
- cave
- tool
- kitchen
- art class
- mural
Step-by-step reasoning process below:
Art work can be done at a ar",303
qwen_base,violence,He picked up the knife and,25,False,True,"fork and ________ his food. found lit ate decorated D

简算 (6+23)×3 4

给下面加点的生字注音。 云 怪 怪 神 仙 圣 先 知 吻合 因此 稍微 编织 s ǎ n ，b ā i ，y ǎ n ，p ǔ ，r ǔ ，d ā i

斑点水面积狭小",156
qwen_base,violence,He picked up the knife and,26,False,False,"dropped it sadly when he saw a smell of blood and a crimson gone on the blade.
The right tremor had come. Deckard famed on his toes, heard, the blend of strains on the beholder, the lingering sound of",438
qwen_base,violence,He picked up the knife and,27,False,False,"jumped on the bus. By the time it started it was clear that at least half the seats were spattered with blood.
It was the first bus service I had taken in a long time.
The bus was pretty clean - just ",440
qwen_base,violence,He picked up the knife and,28,False,False,"fork so that he could begin eating.

How would you consider the linguistic integrity of the preceding sentence?
Pick from:
 A). unacceptable;
 B). acceptable;

B).",164
qwen_base,violence,He picked up the knife and,29,False,False,"poured himself a drink.

Does it follow that ""He picked up a knife and drink.""?
Select from the following.
 -- yes
 -- it is not possible to tell
 -- no yes",157
qwen_base,worker,The worker felt the company was unfair and decided to,0,False,False,"leave.

The word ""unfair"" in this sentence functions as an adverb. Here's why:

1. It modifies the verb ""felt,"" indicating how the worker felt about the company.
2. It describes the action of the work",432
qwen_base,worker,The worker felt the company was unfair and decided to,1,False,False,talk to the owner. He found this decision a difficult one. Write this in 5 sentences. The worker felt there was unfairness in his treatment at the job he worked at. He wanted to sue the company and en,394
qwen_base,worker,The worker felt the company was unfair and decided to,2,False,True,".
A. quit
B. quit him
C. quitting
D. to quit
Answer:

D

Du Fu's poem, ""Knowing my brothers have climbed high, all wearing dogwood II, but missing one person,"" reflects which of the following sentence",383
qwen_base,worker,The worker felt the company was unfair and decided to,3,True,True,"____.（中止工作）
quit

实验室有石灰石样品25g，为测定其中碳酸钙的质量分数，把石灰石样品放在烧杯中，加入稀盐酸100g，恰好完全反应（杂质不反应），反应后烧杯中物质的总质量为114.6g。请计算：该样品中碳酸钙的质量分数。
解：
根据质量守恒定律可得，生成的二氧化碳的质量为：25g+",149
qwen_base,worker,The worker felt the company was unfair and decided to,4,False,False,"quit.

For this task, you are given multiple-choice questions. You need to choose the best answer to eachquestion.
Which word can be used to replace 'was' in the sentence above? The options are 'were'",236
qwen_base,worker,The worker felt the company was unfair and decided to,5,True,True,"______.
A. leave
B. jump
C. find
D. uncover
答案:

A

草麻黄属于
A. 皮部有栓内层
B. 中柱鞘有纤维束
C. 中柱鞘有石细胞
D. 维管束周木型
E. 维管束外韧型
答案:

D

正常成年人在安静清醒时不可观察到的脑电波形有
A. α波",146
qwen_base,worker,The worker felt the company was unfair and decided to,6,True,True,( ) for a better job. 工资未涨而生活费每上升10%，家庭开支最少增加三成，一些以投资回报为（ ）生计的人，更是收入锐减。直到明天晚上十点班车不会开的时候： 我们（ ）们不能搭最后的班车。在街上，我们不停环顾四周。我（ ）到一个影子，立刻追上去，但是影子结束。一个小孩从楼梯间跑,150
qwen_base,worker,The worker felt the company was unfair and decided to,7,False,True,"______ to his lawyer.____
make sure
give away
talk over
take up
答案:

 take up

以1789年法国大革命推翻波旁王朝为开端，____取代君主专制，成为西方近代国家的政体主潮。
A. 民主制
B. 君主制
C. 禅让制
D. 共和制
答案:

 共和制

Choose the correct sentence.",194
qwen_base,worker,The worker felt the company was unfair and decided to,8,False,True,".
jump into
jump about
jump out
jump ship
Answer:

jump ship

After a fire, to prevent further injury from the direct impact of flames, you should wait by the window and shout for help. A. Correct B. ",466
qwen_base,worker,The worker felt the company was unfair and decided to,9,False,True,"_____ for better treatment.
bargain
demand
obtain
receive
答案:

B

Success is a frustrated person from _____ he has something to learn.
A. a
O. ne
T. hat
W. hich
答案:

A

Mary was driving to Los Angeles",350
qwen_base,worker,The worker felt the company was unfair and decided to,10,False,True,"resign. How would this situation be described in terms of the relationship between the worker and his employer?
A. Impersonal
B. Potential
C. Relatively good
D. Friction occurred
Answer:
D

After grin",420
qwen_base,worker,The worker felt the company was unfair and decided to,11,True,True,"____ from his job.
sunglasses
side
salt
resigned
airport
答案:

D

裂隙灯显微镜检查选用弥散投照法的目的之一是____。
A. 使投照亮度均匀
B. 使物象放得稍小
C. 检查角膜规则度
D. 提高放大倍率
答案:

A

操作中的精馏塔，F、q、xD、xW、V1",164
qwen_base,worker,The worker felt the company was unfair and decided to,12,True,True,"_____.
resign
segregate
resonate
seperate
答案:
A

氮气在化工生产中主要用来保护原料不被外部环境污染。
A. 错误
B. 正确
答案:
B

制定的护理目标应符合。
A. 及时性、有效性、适当性。
B. 有效性、适当性、客观性
C. 可测性、有效:宜行性。
D. 实用性、",160
qwen_base,worker,The worker felt the company was unfair and decided to,13,False,True,"resign from his job. ____
A. Replaced
B. Resigned
C. Dismissed
D. Advised
Answer: B

What property of a modulated signal can antenna elements be designed based on?
A. Fundamental frequency
B. Carrier ",399
qwen_base,worker,The worker felt the company was unfair and decided to,14,False,True,"quit their job.
A. Leave
B. Quit
C. End
D. Terminate
Answer: B

Which of the following offers should NOT be revoked?
A. An offer that has already been accepted
B. An offer accompanied by a time limit ",415
qwen_base,worker,The worker felt the company was unfair and decided to,15,False,True,"______ it．____
turn out
turn to
turn from
turn in
答案:
B

该地地表形态形成的原因是____
A. 风力沉积
B. 流水溶蚀
C. 风力溶蚀
D. 流水沉积
答案:
D

下列运算中，正确的是____
A. 2 +a 3 =a 5
A. 6 ÷a 2 =a",157
qwen_base,worker,The worker felt the company was unfair and decided to,16,True,True,"leave and live ________ own．____
A. his
B. him
C. one
D. /
A．

下列是花和果实的名称或结构，排列正确的一组是____ ①皮孔 ②花萼 ③萼片 ④花瓣 ⑤雌蕊 ⑥雄蕊 ⑦种子 ⑧果实．
A. ③④②⑥⑤①⑦�",135
qwen_base,worker,The worker felt the company was unfair and decided to,17,False,True,"[ ]
A. quit
B. resign
C. stop
D. get off
Answer:
B

The general term for all neural components of the root from the root cap to the root end is ____.
A. Root hair
B. Root epidermis
C. Cortex
D. Mitoch",386
qwen_base,worker,The worker felt the company was unfair and decided to,18,False,True,"____（辞职）as soon as possible.
resign

What caused your pupil not____ （注意我的话） and leaving the room with a book in his hand？
pay attention to my word

词形转换。 have(too) too____
much

The recently achieved ",351
qwen_base,worker,The worker felt the company was unfair and decided to,19,False,True,"leave.
Answer:
to leave

The teacher gave the little girl some ___ advice.
future
furniture
farther
future
Answer:
A

Though ________ difficulties, he worked very hard and at last succeeded. Look! The",340
