model,role,en_covered,en_total,zh_covered,zh_total,en_pct,zh_pct,any
allenai/Olmo-3-7B-Instruct,,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-3-7B-Instruct-DPO,aligned,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-3-7B-Instruct-SFT,,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-3-7B-Think-DPO,,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-3-7B-Think-SFT,,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-3.1-32B-Instruct,,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-3.1-32B-Instruct-DPO,aligned,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-3.1-32B-Instruct-SFT,,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-Hybrid-7B,base,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-Hybrid-Instruct-DPO-7B,aligned,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-Hybrid-Instruct-SFT-7B,,2200,2200,379,379,100.0,100.0,2579
bigscience/bloom-7b1,base,2200,2200,379,379,100.0,100.0,2579
bigscience/bloomz-7b1,aligned,2200,2200,379,379,100.0,100.0,2579
deepseek-ai/deepseek-llm-7b-base,base,2200,2200,379,379,100.0,100.0,2579
deepseek-ai/deepseek-llm-7b-chat,aligned,2200,2200,379,379,100.0,100.0,2579
google/gemma-2-9b,base,2200,2200,379,379,100.0,100.0,2579
google/gemma-2-9b-it,aligned,2200,2200,379,379,100.0,100.0,2579
huggyllama/llama-7b,base,2200,2200,379,379,100.0,100.0,2579
ibm-granite/granite-3.0-8b-base,base,2200,2200,379,379,100.0,100.0,2579
ibm-granite/granite-3.0-8b-instruct,aligned,2200,2200,379,379,100.0,100.0,2579
inceptionai/jais-family-6p7b,base,2200,2200,379,379,100.0,100.0,2579
inceptionai/jais-family-6p7b-chat,aligned,2200,2200,379,379,100.0,100.0,2579
llm-jp/llm-jp-3-7.2b,base,2200,2200,379,379,100.0,100.0,2579
llm-jp/llm-jp-3-7.2b-instruct3,aligned,2200,2200,379,379,100.0,100.0,2579
lomahony/eleuther-pythia6.9b-hh-dpo,aligned,2200,2200,379,379,100.0,100.0,2579
lomahony/eleuther-pythia6.9b-hh-sft,,2200,2200,379,379,100.0,100.0,2579
m-a-p/CT-LLM-Base,base,2200,2200,379,379,100.0,100.0,2579
m-a-p/CT-LLM-SFT,,2200,2200,379,379,100.0,100.0,2579
m-a-p/CT-LLM-SFT-DPO,aligned,2200,2200,379,379,100.0,100.0,2579
m-a-p/neo_7b,base,2200,2200,379,379,100.0,100.0,2579
m-a-p/neo_7b_instruct_v0.1,aligned,2200,2200,379,379,100.0,100.0,2579
m-a-p/neo_7b_sft_v0.1,,2200,2200,379,379,100.0,100.0,2579
meta-llama/Llama-3.1-8B,base,2200,2200,379,379,100.0,100.0,2579
meta-llama/Llama-3.1-8B-Instruct,aligned,2200,2200,379,379,100.0,100.0,2579
microsoft/phi-4,base,2200,2200,379,379,100.0,100.0,2579
microsoft/phi-4-reasoning,aligned,2200,2200,379,379,100.0,100.0,2579
mistralai/Mistral-7B-v0.1,base,2200,2200,379,379,100.0,100.0,2579
openbmb/MiniCPM5-1B,aligned,2200,2200,379,379,100.0,100.0,2579
openbmb/MiniCPM5-1B-Base,base,2200,2200,379,379,100.0,100.0,2579
openbmb/MiniCPM5-1B-SFT,,2200,2200,379,379,100.0,100.0,2579
stabilityai/stablelm-2-1_6b,base,2200,2200,379,379,100.0,100.0,2579
stabilityai/stablelm-2-1_6b-chat,,2200,2200,379,379,100.0,100.0,2579
stabilityai/stablelm-2-zephyr-1_6b,aligned,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon-H1-1.5B-Base,base,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon-H1-1.5B-Instruct,aligned,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon-H1-7B-Base,base,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon-H1-7B-Instruct,aligned,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon3-10B-Base,base,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon3-10B-Instruct,aligned,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon3-1B-Base,base,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon3-1B-Instruct,aligned,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon3-3B-Base,base,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon3-3B-Instruct,aligned,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon3-7B-Base,base,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon3-7B-Instruct,aligned,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon3-Mamba-7B-Base,base,2200,2200,379,379,100.0,100.0,2579
tiiuae/falcon-mamba-7b,base,2200,2200,379,379,100.0,100.0,2579
togethercomputer/RedPajama-INCITE-7B-Chat,aligned,2200,2200,379,379,100.0,100.0,2579
togethercomputer/RedPajama-INCITE-7B-Instruct,,2200,2200,379,379,100.0,100.0,2579
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,2200,2200,379,379,100.0,100.0,2579
zai-org/glm-4-9b-chat-hf,aligned,2200,2200,379,379,100.0,100.0,2579
zai-org/glm-4-9b-hf,base,2200,2200,379,379,100.0,100.0,2579
tiiuae/Falcon3-Mamba-7B-Instruct,aligned,2194,2200,379,379,99.7,100.0,2573
tiiuae/falcon-mamba-7b-instruct,aligned,2194,2200,379,379,99.7,100.0,2573
openGPT-X/Teuken-7B-base-v0.6,base,2200,2200,67,379,100.0,17.7,2267
openGPT-X/Teuken-7B-instruct-commercial-v0.4,aligned,2200,2200,67,379,100.0,17.7,2267
google/recurrentgemma-9b,base,67,2200,64,379,3.0,16.9,131
google/recurrentgemma-9b-it,aligned,67,2200,64,379,3.0,16.9,131
meta-llama/Llama-3.1-70B,base,67,2200,64,379,3.0,16.9,131
meta-llama/Llama-3.1-70B-Instruct,aligned,67,2200,64,379,3.0,16.9,131
croissantllm/CroissantLLMBase,base,67,2200,1,379,3.0,0.3,68
croissantllm/CroissantLLMChat-v0.1,aligned,67,2200,1,379,3.0,0.3,68
AI-Sweden-Models/gpt-sw3-6.7b,base,0,2200,0,379,0.0,0.0,0
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct,aligned,0,2200,0,379,0.0,0.0,0
Aleph-Alpha/Pharia-1-LLM-7B-control-aligned-hf,aligned,0,2200,0,379,0.0,0.0,0
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,0,2200,0,379,0.0,0.0,0
BAAI/Aquila2-7B,,0,2200,0,379,0.0,0.0,0
BAAI/AquilaChat2-7B,,0,2200,0,379,0.0,0.0,0
NousResearch/Hermes-3-Llama-3.1-8B,,0,2200,0,379,0.0,0.0,0
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,,0,2200,0,379,0.0,0.0,0
Zyphra/Zamba2-7B,base,0,2200,0,379,0.0,0.0,0
Zyphra/Zamba2-7B-Instruct,aligned,0,2200,0,379,0.0,0.0,0
baichuan-inc/Baichuan2-7B-Base,base,0,2200,0,379,0.0,0.0,0
baichuan-inc/Baichuan2-7B-Chat,aligned,0,2200,0,379,0.0,0.0,0
cognitivecomputations/Dolphin3.0-Llama3.1-8B,,0,2200,0,379,0.0,0.0,0
cognitivecomputations/dolphin-2.6-mistral-7b-dpo,,0,2200,0,379,0.0,0.0,0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,0,2200,0,379,0.0,0.0,0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,,0,2200,0,379,0.0,0.0,0
internlm/internlm2-base-7b,base,0,2200,0,379,0.0,0.0,0
internlm/internlm2-chat-7b,aligned,0,2200,0,379,0.0,0.0,0
internlm/internlm2-chat-7b-sft,,0,2200,0,379,0.0,0.0,0
kakaocorp/kanana-1.5-8b-base,,0,2200,0,379,0.0,0.0,0
kakaocorp/kanana-1.5-8b-instruct-2505,,0,2200,0,379,0.0,0.0,0
kakaocorp/kanana-2-3b-base,,0,2200,0,379,0.0,0.0,0
kakaocorp/kanana-2-3b-instruct,,0,2200,0,379,0.0,0.0,0
mosaicml/mpt-7b,base,0,2200,0,379,0.0,0.0,0
mosaicml/mpt-7b-instruct,aligned,0,2200,0,379,0.0,0.0,0
openchat/openchat-3.5-0106,,0,2200,0,379,0.0,0.0,0
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,,0,2200,0,379,0.0,0.0,0
teknium/OpenHermes-2.5-Mistral-7B,,0,2200,0,379,0.0,0.0,0
tiiuae/falcon-7b,,0,2200,0,379,0.0,0.0,0
tiiuae/falcon-7b-instruct,,0,2200,0,379,0.0,0.0,0
weblab-GENIAC/Tanuki-8B-dpo-v1.0,,0,2200,0,379,0.0,0.0,0
