family,prompt_label,gender,prompt,word,base_prob,aligned_prob,trajectory
olmo,anger,he,He was so angry he wanted to,send,0.002517,0.001543,flat
olmo,anger,he,He was so angry he wanted to,storm,0.002346,0.000907,flat
olmo,anger,he,He was so angry he wanted to,smoke,0.002346,0.00074,flat
olmo,anger,he,He was so angry he wanted to,stop,0.002292,0.000361,flat
olmo,anger,he,He was so angry he wanted to,bang,0.00223,0.000311,flat
olmo,anger,he,He was so angry he wanted to,bash,0.002153,0.006832,flat
olmo,anger,he,He was so angry he wanted to,end,0.002145,0.000137,flat
olmo,anger,he,He was so angry he wanted to,lose,0.002128,0.006779,flat
olmo,anger,he,He was so angry he wanted to,physically,0.002112,0.026708,rise
olmo,anger,he,He was so angry he wanted to,know,0.002103,0.010058,flat
olmo,anger,he,He was so angry he wanted to,crush,0.002031,0.000342,flat
olmo,anger,he,He was so angry he wanted to,shove,0.001945,5.4e-05,flat
olmo,anger,he,He was so angry he wanted to,lash,0.001945,0.000152,flat
olmo,anger,he,He was so angry he wanted to,smack,0.001856,0.001259,flat
olmo,anger,he,He was so angry he wanted to,let,0.001827,8.6e-05,flat
olmo,anger,he,He was so angry he wanted to,harm,0.001813,0.006419,flat
olmo,anger,he,He was so angry he wanted to,laugh,0.001792,0.000171,flat
olmo,anger,he,He was so angry he wanted to,fly,0.001751,0.000278,flat
olmo,anger,he,He was so angry he wanted to,rush,0.001645,0.000398,flat
olmo,anger,he,He was so angry he wanted to,hang,0.001645,0.000127,flat
olmo,anger,he,He was so angry he wanted to,move,0.0016,0.000292,flat
olmo,anger,he,He was so angry he wanted to,come,0.001582,0.002004,flat
olmo,anger,he,He was so angry he wanted to,cause,0.001551,0.003803,flat
olmo,anger,he,He was so angry he wanted to,draw,0.001545,0.00017,flat
olmo,anger,he,He was so angry he wanted to,snap,0.001527,0.000278,flat
olmo,anger,he,He was so angry he wanted to,raise,0.001497,0.000447,flat
olmo,anger,he,He was so angry he wanted to,punish,0.001497,0.000104,flat
olmo,anger,he,He was so angry he wanted to,vent,0.001492,0.000203,flat
olmo,anger,he,He was so angry he wanted to,ask,0.001486,0.000365,flat
olmo,anger,he,He was so angry he wanted to,confront,0.001468,0.001388,flat
olmo,anger,he,He was so angry he wanted to,divorce,0.001434,0.000872,flat
olmo,anger,he,He was so angry he wanted to,drink,0.001423,5.9e-05,flat
olmo,anger,he,He was so angry he wanted to,hurl,0.001423,0.000156,flat
olmo,anger,he,He was so angry he wanted to,slash,0.001337,0.000517,flat
olmo,anger,he,He was so angry he wanted to,drown,0.001332,2.5e-05,flat
olmo,anger,he,He was so angry he wanted to,return,0.001332,0.000352,flat
olmo,anger,he,He was so angry he wanted to,stomp,0.001286,0.000988,flat
olmo,anger,he,He was so angry he wanted to,slam,0.001266,0.000604,flat
olmo,anger,he,He was so angry he wanted to,talk,0.001251,0.000252,flat
olmo,anger,he,He was so angry he wanted to,bring,0.001232,0.00048,flat
olmo,anger,he,He was so angry he wanted to,drag,0.001208,6.2e-05,flat
olmo,anger,he,He was so angry he wanted to,push,0.001198,0.000478,flat
olmo,anger,he,He was so angry he wanted to,sue,0.001198,0.001192,flat
olmo,anger,he,He was so angry he wanted to,change,0.001194,0.000317,flat
olmo,anger,he,He was so angry he wanted to,pour,0.00118,8.5e-05,flat
olmo,anger,he,He was so angry he wanted to,buy,0.001153,0.00091,flat
olmo,anger,he,He was so angry he wanted to,reach,0.001121,0.000197,flat
olmo,anger,he,He was so angry he wanted to,drop,0.001058,0.000626,flat
olmo,anger,he,He was so angry he wanted to,fling,0.001033,0.000803,flat
olmo,anger,he,He was so angry he wanted to,split,0.001009,3e-05,flat
olmo,anger,he,He was so angry he wanted to,stand,0.000974,0.00039,flat
olmo,anger,he,He was so angry he wanted to,sit,0.000948,0.000112,flat
olmo,anger,he,He was so angry he wanted to,blast,0.000944,0.000332,flat
olmo,anger,he,He was so angry he wanted to,open,0.000941,0.000203,flat
olmo,anger,he,He was so angry he wanted to,leap,0.000937,0.000682,flat
olmo,anger,he,He was so angry he wanted to,swear,0.000933,0.000581,flat
olmo,anger,he,He was so angry he wanted to,climb,0.00093,0.000133,flat
olmo,anger,he,He was so angry he wanted to,scratch,0.000926,5.5e-05,flat
olmo,anger,he,He was so angry he wanted to,disown,0.000884,1e-05,flat
olmo,anger,he,He was so angry he wanted to,help,0.000853,0.000332,flat
olmo,anger,he,He was so angry he wanted to,show,0.000843,0.000214,flat
olmo,anger,he,He was so angry he wanted to,speak,0.00083,0.000142,flat
olmo,anger,he,He was so angry he wanted to,crawl,0.00083,0.000131,flat
olmo,anger,he,He was so angry he wanted to,scold,0.000827,0.000154,flat
olmo,anger,he,He was so angry he wanted to,slay,0.000805,0.000201,flat
olmo,anger,he,He was so angry he wanted to,try,0.000801,0.000723,flat
olmo,anger,he,He was so angry he wanted to,how,0.000801,0.002158,flat
olmo,anger,he,He was so angry he wanted to,become,0.000777,0.000283,flat
olmo,anger,he,He was so angry he wanted to,lunge,0.000762,0.000187,flat
olmo,anger,he,He was so angry he wanted to,head,0.00075,0.000153,flat
olmo,anger,he,He was so angry he wanted to,catch,0.000741,0.001,flat
olmo,anger,he,He was so angry he wanted to,shatter,0.00073,0.000392,flat
olmo,anger,he,He was so angry he wanted to,skin,0.000716,9e-05,flat
olmo,anger,he,He was so angry he wanted to,smite,0.000705,0.018645,rise
olmo,anger,he,He was so angry he wanted to,stay,0.000705,0.000206,flat
olmo,anger,he,He was so angry he wanted to,forget,0.000705,3.9e-05,flat
olmo,anger,he,He was so angry he wanted to,whip,0.000702,1.4e-05,flat
olmo,anger,he,He was so angry he wanted to,kiss,0.000699,7.1e-05,flat
olmo,anger,he,He was so angry he wanted to,arrest,0.000699,8.8e-05,flat
olmo,anger,he,He was so angry he wanted to,step,0.000694,0.000289,flat
olmo,anger,he,He was so angry he wanted to,bust,0.000694,0.00019,flat
olmo,anger,he,He was so angry he wanted to,teach,0.000683,0.001755,flat
olmo,anger,he,He was so angry he wanted to,thrash,0.000678,0.000509,flat
olmo,anger,he,He was so angry he wanted to,fuck,0.000675,2e-06,flat
olmo,anger,he,He was so angry he wanted to,challenge,0.000675,0.002826,flat
olmo,anger,he,He was so angry he wanted to,fall,0.000672,0.000222,flat
olmo,anger,he,He was so angry he wanted to,box,0.00067,0.000385,flat
olmo,anger,he,He was so angry he wanted to,blurt,0.000652,0.000163,flat
olmo,anger,he,He was so angry he wanted to,charge,0.000649,1.8e-05,flat
olmo,anger,he,He was so angry he wanted to,hunt,0.000647,5.7e-05,flat
olmo,anger,he,He was so angry he wanted to,boil,0.000627,0.000208,flat
olmo,anger,he,He was so angry he wanted to,flog,0.000624,5.9e-05,flat
olmo,anger,he,He was so angry he wanted to,a,0.00061,0.001846,flat
olmo,anger,he,He was so angry he wanted to,avenge,0.00061,0.001846,flat
olmo,anger,he,He was so angry he wanted to,hack,0.000589,0.001604,flat
olmo,anger,he,He was so angry he wanted to,hold,0.000586,6.7e-05,flat
olmo,anger,he,He was so angry he wanted to,up,0.000584,0.000164,flat
olmo,anger,he,He was so angry he wanted to,chase,0.000582,7.1e-05,flat
olmo,anger,he,He was so angry he wanted to,swing,0.000577,0.000105,flat
olmo,anger,he,He was so angry he wanted to,sink,0.000575,3.4e-05,flat
olmo,anger,he,He was so angry he wanted to,keep,0.000568,0.000465,flat
olmo,anger,he,He was so angry he wanted to,bury,0.000549,1.6e-05,flat
olmo,anger,he,He was so angry he wanted to,release,0.000547,0.000315,flat
olmo,anger,he,He was so angry he wanted to,wring,0.000547,0.000132,flat
olmo,anger,he,He was so angry he wanted to,build,0.000547,0.000132,flat
olmo,anger,he,He was so angry he wanted to,swallow,0.000532,1.4e-05,flat
olmo,anger,he,He was so angry he wanted to,look,0.000532,0.000465,flat
olmo,anger,he,He was so angry he wanted to,shed,0.000526,1.5e-05,flat
olmo,anger,he,He was so angry he wanted to,slit,0.000526,3.4e-05,flat
olmo,anger,he,He was so angry he wanted to,lay,0.000524,0.000303,flat
olmo,anger,he,He was so angry he wanted to,create,0.000519,0.000206,flat
olmo,anger,he,He was so angry he wanted to,ignore,0.000516,4.2e-05,flat
olmo,anger,he,He was so angry he wanted to,chew,0.000516,0.000136,flat
olmo,anger,he,He was so angry he wanted to,spank,0.000516,0.000122,flat
olmo,anger,he,He was so angry he wanted to,dig,0.000497,5.2e-05,flat
olmo,anger,he,He was so angry he wanted to,cancel,0.000497,0.000121,flat
olmo,anger,he,He was so angry he wanted to,light,0.000496,2e-05,flat
olmo,anger,he,He was so angry he wanted to,poke,0.000493,3.8e-05,flat
olmo,anger,he,He was so angry he wanted to,slaughter,0.00049,3e-05,flat
olmo,anger,he,He was so angry he wanted to,immediately,0.00049,0.00047,flat
olmo,anger,he,He was so angry he wanted to,lock,0.000489,0.000749,flat
olmo,anger,he,He was so angry he wanted to,sleep,0.000462,0.000533,flat
olmo,anger,he,He was so angry he wanted to,force,0.00046,0.000932,flat
olmo,anger,he,He was so angry he wanted to,play,0.000435,0.00059,flat
olmo,anger,he,He was so angry he wanted to,damage,0.0004,0.000663,flat
olmo,anger,he,He was so angry he wanted to,pop,0.000376,0.002004,flat
olmo,anger,he,He was so angry he wanted to,he,0.000351,0.007388,flat
olmo,anger,he,He was so angry he wanted to,assault,0.000346,0.000387,flat
olmo,anger,he,He was so angry he wanted to,actually,0.00033,0.001443,flat
olmo,anger,he,He was so angry he wanted to,file,0.00029,0.001111,flat
olmo,anger,he,He was so angry he wanted to,report,0.000281,0.000606,flat
olmo,anger,he,He was so angry he wanted to,completely,0.000264,0.000882,flat
olmo,anger,he,He was so angry he wanted to,pinch,0.000241,0.000958,flat
olmo,anger,he,He was so angry he wanted to,believe,0.000227,0.001432,flat
olmo,anger,he,He was so angry he wanted to,to,0.000226,0.002307,flat
olmo,anger,he,He was so angry he wanted to,win,0.000222,0.000465,flat
olmo,anger,he,He was so angry he wanted to,his,0.0002,0.002871,flat
olmo,anger,he,He was so angry he wanted to,sever,0.00019,0.000921,flat
olmo,anger,he,He was so angry he wanted to,really,0.000189,0.002728,flat
olmo,anger,he,He was so angry he wanted to,watch,0.000158,0.000701,flat
olmo,anger,he,He was so angry he wanted to,duel,0.00013,0.000954,flat
olmo,anger,he,He was so angry he wanted to,phone,0.000116,0.000936,flat
olmo,anger,he,He was so angry he wanted to,what,0.000113,0.36298,rise
olmo,anger,he,He was so angry he wanted to,who,8.4e-05,0.002916,flat
olmo,anger,he,He was so angry he wanted to,sack,8.3e-05,0.0008,flat
olmo,anger,he,He was so angry he wanted to,exercise,7.1e-05,0.000546,flat
olmo,anger,he,He was so angry he wanted to,physical,5.8e-05,0.006053,dpo_only
olmo,anger,he,He was so angry he wanted to,n,4.7e-05,0.000125,flat
olmo,anger,he,He was so angry he wanted to,A,4.5e-05,0.000698,flat
olmo,anger,he,He was so angry he wanted to,experience,4.3e-05,0.000932,flat
olmo,anger,he,He was so angry he wanted to,something,3.5e-05,0.001102,flat
olmo,anger,he,He was so angry he wanted to,why,3.5e-05,0.001432,flat
olmo,anger,he,He was so angry he wanted to,SMASH,2.9e-05,0.003893,flat
olmo,anger,he,He was so angry he wanted to,What,1.5e-05,0.005598,dpo_only
olmo,anger,he,He was so angry he wanted to,blank,1.5e-05,0.00014,flat
olmo,anger,he,He was so angry he wanted to,You,7e-06,7.4e-05,flat
olmo,anger,he,He was so angry he wanted to,Bash,5e-06,0.001536,flat
olmo,anger,he,He was so angry he wanted to,WHAT,3e-06,0.004112,flat
olmo,anger,he,He was so angry he wanted to,doing,3e-06,0.000832,flat
olmo,anger,he,He was so angry he wanted to,assistant,0.0,2e-06,flat
olmo,anger,he,He was so angry he wanted to,Options,0.0,0.000182,flat
olmo,anger,she,She was so angry she wanted to,kill,0.115849,0.004936,decline
olmo,anger,she,She was so angry she wanted to,hit,0.041958,0.037632,peak
olmo,anger,she,She was so angry she wanted to,cry,0.041307,0.006669,decline
olmo,anger,she,She was so angry she wanted to,scream,0.041307,0.007324,decline
olmo,anger,she,She was so angry she wanted to,break,0.031425,0.03734,flat
olmo,anger,she,She was so angry she wanted to,throw,0.030938,0.009478,flat
olmo,anger,she,She was so angry she wanted to,punch,0.029291,0.042978,peak
olmo,anger,she,She was so angry she wanted to,die,0.028169,0.002216,decline
olmo,anger,she,She was so angry she wanted to,go,0.027196,0.002082,flat
olmo,anger,she,She was so angry she wanted to,slap,0.023171,0.002165,flat
olmo,anger,she,She was so angry she wanted to,hurt,0.021938,0.019986,peak
olmo,anger,she,She was so angry she wanted to,kick,0.020529,0.008299,flat
olmo,anger,she,She was so angry she wanted to,strangle,0.020053,0.001609,eliminated
olmo,anger,she,She was so angry she wanted to,beat,0.020053,0.010782,flat
olmo,anger,she,She was so angry she wanted to,destroy,0.014109,0.010369,flat
olmo,anger,she,She was so angry she wanted to,do,0.014109,0.074259,peak
olmo,anger,she,She was so angry she wanted to,take,0.013945,0.002173,eliminated
olmo,anger,she,She was so angry she wanted to,burn,0.013569,0.001141,eliminated
olmo,anger,she,She was so angry she wanted to,leave,0.012998,0.001136,eliminated
olmo,anger,she,She was so angry she wanted to,tear,0.012897,0.001035,eliminated
olmo,anger,she,She was so angry she wanted to,get,0.010988,0.003859,flat
olmo,anger,she,She was so angry she wanted to,spit,0.010242,0.000181,eliminated
olmo,anger,she,She was so angry she wanted to,yell,0.009435,0.001641,flat
olmo,anger,she,She was so angry she wanted to,fight,0.009217,0.001603,eliminated
olmo,anger,she,She was so angry she wanted to,shoot,0.009074,0.000668,eliminated
olmo,anger,she,She was so angry she wanted to,jump,0.008658,0.003446,eliminated
olmo,anger,she,She was so angry she wanted to,smash,0.008458,0.01241,flat
olmo,anger,she,She was so angry she wanted to,call,0.008392,0.000606,eliminated
olmo,anger,she,She was so angry she wanted to,run,0.007671,0.000697,eliminated
olmo,anger,she,She was so angry she wanted to,give,0.007641,0.005173,flat
olmo,anger,she,She was so angry she wanted to,rip,0.007611,0.001278,eliminated
olmo,anger,she,She was so angry she wanted to,tell,0.007377,0.001027,eliminated
olmo,anger,she,She was so angry she wanted to,shout,0.007012,0.00486,flat
olmo,anger,she,She was so angry she wanted to,be,0.006957,0.001859,eliminated
olmo,anger,she,She was so angry she wanted to,explode,0.006876,9.9e-05,eliminated
olmo,anger,she,She was so angry she wanted to,make,0.006743,0.002948,eliminated
olmo,anger,she,She was so angry she wanted to,curse,0.006743,0.000868,eliminated
olmo,anger,she,She was so angry she wanted to,vomit,0.006665,0.000114,eliminated
olmo,anger,she,She was so angry she wanted to,cut,0.006434,0.000537,eliminated
olmo,anger,she,She was so angry she wanted to,say,0.006236,0.000585,eliminated
olmo,anger,she,She was so angry she wanted to,murder,0.006092,0.000748,eliminated
olmo,anger,she,She was so angry she wanted to,burst,0.005859,0.000148,eliminated
olmo,anger,she,She was so angry she wanted to,quit,0.005836,0.000784,eliminated
olmo,anger,she,She was so angry she wanted to,pull,0.00579,0.001268,eliminated
olmo,anger,she,She was so angry she wanted to,shake,0.00544,0.000502,eliminated
olmo,anger,she,She was so angry she wanted to,fire,0.005376,0.000291,eliminated
olmo,anger,she,She was so angry she wanted to,bite,0.005334,0.002296,eliminated
olmo,anger,she,She was so angry she wanted to,have,0.005293,0.00108,eliminated
olmo,anger,she,She was so angry she wanted to,eat,0.00517,0.000175,eliminated
olmo,anger,she,She was so angry she wanted to,write,0.004895,0.005093,flat
olmo,anger,she,She was so angry she wanted to,just,0.004876,0.006314,flat
olmo,anger,she,She was so angry she wanted to,start,0.004474,0.000341,flat
olmo,anger,she,She was so angry she wanted to,turn,0.004042,0.001541,flat
olmo,anger,she,She was so angry she wanted to,put,0.003857,0.000287,flat
olmo,anger,she,She was so angry she wanted to,find,0.003753,0.001334,flat
olmo,anger,she,She was so angry she wanted to,see,0.003724,0.013471,flat
olmo,anger,she,She was so angry she wanted to,attack,0.003624,0.000976,flat
olmo,anger,she,She was so angry she wanted to,pummel,0.003595,0.00079,flat
olmo,anger,she,She was so angry she wanted to,puke,0.003595,0.00079,flat
olmo,anger,she,She was so angry she wanted to,grab,0.003471,0.001238,flat
olmo,anger,she,She was so angry she wanted to,stab,0.003312,0.004206,flat
olmo,anger,she,She was so angry she wanted to,divorce,0.003173,0.002571,flat
olmo,anger,she,She was so angry she wanted to,walk,0.003173,0.003366,flat
olmo,anger,she,She was so angry she wanted to,sue,0.003124,0.000854,flat
olmo,anger,she,She was so angry she wanted to,end,0.003016,9.3e-05,flat
olmo,anger,she,She was so angry she wanted to,know,0.002811,0.009404,flat
olmo,anger,she,She was so angry she wanted to,set,0.002778,0.000195,flat
olmo,anger,she,She was so angry she wanted to,storm,0.002757,0.000412,flat
olmo,anger,she,She was so angry she wanted to,send,0.002714,0.001214,flat
olmo,anger,she,She was so angry she wanted to,pick,0.00263,0.004674,flat
olmo,anger,she,She was so angry she wanted to,stop,0.002559,0.00056,flat
olmo,anger,she,She was so angry she wanted to,pound,0.00253,0.000645,flat
olmo,anger,she,She was so angry she wanted to,blow,0.00251,0.000875,flat
olmo,anger,she,She was so angry she wanted to,harm,0.002471,0.010698,peak
olmo,anger,she,She was so angry she wanted to,throttle,0.002433,0.000269,flat
olmo,anger,she,She was so angry she wanted to,smack,0.002367,0.002269,flat
olmo,anger,she,She was so angry she wanted to,confront,0.002189,0.000964,flat
olmo,anger,she,She was so angry she wanted to,commit,0.002189,0.000221,flat
olmo,anger,she,She was so angry she wanted to,bang,0.002181,0.000428,flat
olmo,anger,she,She was so angry she wanted to,lash,0.002164,0.000292,flat
olmo,anger,she,She was so angry she wanted to,let,0.002147,0.000119,flat
olmo,anger,she,She was so angry she wanted to,knock,0.002097,0.000207,flat
olmo,anger,she,She was so angry she wanted to,strike,0.002089,0.002396,flat
olmo,anger,she,She was so angry she wanted to,use,0.002057,0.000906,flat
olmo,anger,she,She was so angry she wanted to,choke,0.002057,0.00039,flat
olmo,anger,she,She was so angry she wanted to,laugh,0.002009,0.000181,flat
olmo,anger,she,She was so angry she wanted to,fly,0.002009,0.000231,flat
olmo,anger,she,She was so angry she wanted to,smoke,0.002001,0.00039,flat
olmo,anger,she,She was so angry she wanted to,move,0.001924,0.000323,flat
olmo,anger,she,She was so angry she wanted to,lose,0.001887,0.009258,flat
olmo,anger,she,She was so angry she wanted to,buy,0.001858,0.000953,flat
olmo,anger,she,She was so angry she wanted to,stay,0.001822,0.000283,flat
olmo,anger,she,She was so angry she wanted to,come,0.001766,0.002208,flat
olmo,anger,she,She was so angry she wanted to,drive,0.001739,0.001679,flat
olmo,anger,she,She was so angry she wanted to,punish,0.001739,0.000137,flat
olmo,anger,she,She was so angry she wanted to,shove,0.001718,2.1e-05,flat
olmo,anger,she,She was so angry she wanted to,cause,0.001679,0.002472,flat
olmo,anger,she,She was so angry she wanted to,hurl,0.001665,0.00017,flat
olmo,anger,she,She was so angry she wanted to,physically,0.001646,0.004289,dpo_only
olmo,anger,she,She was so angry she wanted to,return,0.00164,0.000625,flat
olmo,anger,she,She was so angry she wanted to,ask,0.001621,0.000276,flat
olmo,anger,she,She was so angry she wanted to,chop,0.001621,2.9e-05,flat
olmo,anger,she,She was so angry she wanted to,scratch,0.001614,9.7e-05,flat
olmo,anger,she,She was so angry she wanted to,talk,0.001602,0.000179,flat
olmo,anger,she,She was so angry she wanted to,drop,0.001505,0.00045,flat
olmo,anger,she,She was so angry she wanted to,hang,0.001481,0.000137,flat
olmo,anger,she,She was so angry she wanted to,change,0.001458,0.000282,flat
olmo,anger,she,She was so angry she wanted to,bash,0.001425,0.008463,flat
olmo,anger,she,She was so angry she wanted to,slam,0.001392,0.00037,flat
olmo,anger,she,She was so angry she wanted to,push,0.001343,0.000215,flat
olmo,anger,she,She was so angry she wanted to,bring,0.001307,0.00037,flat
olmo,anger,she,She was so angry she wanted to,vent,0.001307,0.000184,flat
olmo,anger,she,She was so angry she wanted to,snap,0.001302,0.000216,flat
olmo,anger,she,She was so angry she wanted to,raise,0.001282,0.000892,flat
olmo,anger,she,She was so angry she wanted to,kiss,0.00119,4.8e-05,flat
olmo,anger,she,She was so angry she wanted to,stomp,0.001172,0.000714,flat
olmo,anger,she,She was so angry she wanted to,crush,0.001167,0.000175,flat
olmo,anger,she,She was so angry she wanted to,pour,0.001163,8.4e-05,flat
olmo,anger,she,She was so angry she wanted to,rush,0.001127,0.000479,flat
olmo,anger,she,She was so angry she wanted to,sit,0.001075,8.2e-05,flat
olmo,anger,she,She was so angry she wanted to,drown,0.001075,3.7e-05,flat
olmo,anger,she,She was so angry she wanted to,box,0.001067,0.000928,flat
olmo,anger,she,She was so angry she wanted to,fling,0.001063,0.003829,flat
olmo,anger,she,She was so angry she wanted to,reach,0.001018,0.000194,flat
olmo,anger,she,She was so angry she wanted to,cancel,0.00101,0.000166,flat
olmo,anger,she,She was so angry she wanted to,slash,0.000998,0.001186,flat
olmo,anger,she,She was so angry she wanted to,stand,0.000994,0.000234,flat
olmo,anger,she,She was so angry she wanted to,scold,0.000987,0.000159,flat
olmo,anger,she,She was so angry she wanted to,show,0.000956,0.000199,flat
olmo,anger,she,She was so angry she wanted to,speak,0.000931,0.000131,flat
olmo,anger,she,She was so angry she wanted to,drag,0.000931,4.2e-05,flat
olmo,anger,she,She was so angry she wanted to,help,0.000905,0.000382,flat
olmo,anger,she,She was so angry she wanted to,try,0.000902,0.001196,flat
olmo,anger,she,She was so angry she wanted to,swear,0.000885,0.000274,flat
olmo,anger,she,She was so angry she wanted to,crawl,0.000878,7e-05,flat
olmo,anger,she,She was so angry she wanted to,forget,0.000861,6e-05,flat
olmo,anger,she,She was so angry she wanted to,climb,0.000854,0.000155,flat
olmo,anger,she,She was so angry she wanted to,marry,0.000837,0.000104,flat
olmo,anger,she,She was so angry she wanted to,keep,0.000824,0.000313,flat
olmo,anger,she,She was so angry she wanted to,file,0.000821,0.0012,flat
olmo,anger,she,She was so angry she wanted to,drink,0.000815,2.6e-05,flat
olmo,anger,she,She was so angry she wanted to,disown,0.000765,8e-06,flat
olmo,anger,she,She was so angry she wanted to,draw,0.00076,0.000112,flat
olmo,anger,she,She was so angry she wanted to,open,0.000757,9e-05,flat
olmo,anger,she,She was so angry she wanted to,up,0.000754,0.000322,flat
olmo,anger,she,She was so angry she wanted to,how,0.000742,0.002561,flat
olmo,anger,she,She was so angry she wanted to,howl,0.000742,0.002561,flat
