id,text,word_count,original_text,changes
42,"The hurricane was forcasted to come my way straight on. Even though ive been through many storms never the less it always puts me on high alert. i started to prepare for the winds that were expected and cleaning up the yard of any flying debris. i also worked within the house to gather up belongings should i have to flee my new mobile home. my imagination ran wilder than before because i just moved into a mobile and pictured the worst. I grabed my cash on hand and nothing else but the pets seemed that important. Days of fear were ahead as the cat 5 hurricane was heading right for me. After a long wait and the cone of uncertainty was lifting i sat back and relaxed alittle more as my house and property was in disarry. As days passed i started to put things back together. I wasnt untill days later i woke up in the middle of the night and wondered what i had done with my envelope of money. my memory was shaded, i looked upon myself in motion and was stuck on holding it and nothing else was recalled.  I eventually went to a clinical hypnotist to help track my movement to help recall what happen to the envelope. i discovered that my cat whom jumped on the counter had knocked it into a black garbage bag that was at the doorway. I also had a pair of pliars that i was using to get the shutters lifted up.  i am still in shock. thousands of dollars in the garbage. im besides myself to think of the chances that happened and no hurricane winds were ever even felt!!!",283,"The hurricane was forcasted to come my way straight on. Even though ive been through many storms never the less it always puts me on high alert. i started to prepare for the winds that were expected and cleaning up the yard of any flying debris. i also worked within the house to gather up belongings should i have to flee my new mobile home. my imagination ran wilder than before because i just moved into a mobile and pictured the worst. I grabed my cash on hand and nothing else but the pets seemed that important. Days of fear were ahead as the cat 5 hurricane was heading right for me. After a long wait and the cone of uncertainty was lifting i sat back and relaxed alittle more as my house and property was in disarry. As days passed i started to put things back together. I wasnt untill days later i woke up in the middle of the night and wondered what i had done with my envelope of money. my memory was shaded, i looked upon myself in motion and was stuck on holding it and nothing else was recalled.  I eventually went to a clinical hypnotist to help track my movement to help recall what happen to the envelope. i discovered that my cat whom jumped on the counter had knocked it into a black garbage bag that was at the doorway. I also had a pair of pliars that i was using to get the shutters lifted up.  i am still in shock. thousands of dollars in the garbage. im besides myself to think of the chances that happened and no hurricane winds were ever even felt!!!",
43,"My most memorable event was having the 90th anniversary of baseball's All-Star Game in my hometown. It was the most electrifying and captivating moments of the year. On the day of the game, I was trying to participate in an event that was hosted by my city. I wanted to meet one of the players on the American league's team. Yet, it can be very difficult to navigate in this section of the city. Also, it is safer and more enjoyable to experience this moment with someone else. Thus, I asked my mom to attend this event with me. Unfortunately, she was not feeling well and we could not attend.  Although I was really disappointed, I continued to look at the site to see the price for discounted tickets for the event. In the corner of my computer screen, I saw an ad for memorabilia. Initially, I was cautious but I wanted to click on it to see where it would lead. When I clicked on the ad, I was taken to the website for Major League Baseball. They were promoting free shipping on all-star game memorabilia. Since I know some baseball fanatics, I knew it would be nice to purchase one of those items. Therefore, I picked out a nice gift and sent it to one of my relatives who is a baseball fan. Weeks later, my relative was so excited to show me the memorabilia.",237,"My most memorable event was having the 90th anniversary of baseball's All-Star Game in my hometown. It was the most electrifying and captivating moments of the year. On the day of the game, I was trying to participate in an event that was hosted by my city. I wanted to meet one of the players on the American league's team. Yet, it can be very difficult to navigate in this section of the city. Also, it is safer and more enjoyable to experience this moment with someone else. Thus, I asked my mom to attend this event with me. Unfortunately, she was not feeling well and we could not attend.  Although I was really disappointed, I continued to look at the site to see the price for discounted tickets for the event. In the corner of my computer screen, I saw an ad for memorabilia. Initially, I was cautious but I wanted to click on it to see where it would lead. When I clicked on the ad, I was taken to the website for Major League Baseball. They were promoting free shipping on all-star game memorabilia. Since I know some baseball fanatics, I knew it would be nice to purchase one of those items. Therefore, I picked out a nice gift and sent it to one of my relatives who is a baseball fan. Weeks later, my relative was so excited to show me the memorabilia.",
44,"I spend most of the time at the Island of Bali. I retired last year.  I find winters to be too cold for me in the United States.  After I arrived in Bali, I got a call from my daughter.  She was going to have a baby a few weeks earlier than expected.  I just arrived in Bali the previous month and I had to turn around to be with my daughter.  When I arrived at the Dallas airport, I got a text message from my son-in-law.  It was accompanied by a picture of my granddaughter.  She was my first grandchild.   I was excited but was sad that I was not there when the baby was born.  It was a joy to see the baby.  She was healthy considering she was born earlier than expected.  I felt so blessed.  I felt like I was the luckiest person in the entire world.  I cried and laughed all day long.",158,"I spend most of the time at the Island of Bali. I retired last year.  I find winters to be too cold for me in the United States.  After I arrived in Bali, I got a call from my daughter.  She was going to have a baby a few weeks earlier than expected.  I just arrived in Bali the previous month and I had to turn around to be with my daughter.  When I arrived at the Dallas airport, I got a text message from my son-in-law.  It was accompanied by a picture of my granddaughter.  She was my first grandchild.   I was excited but was sad that I was not there when the baby was born.  It was a joy to see the baby.  She was healthy considering she was born earlier than expected.  I felt so blessed.  I felt like I was the luckiest person in the entire world.  I cried and laughed all day long.",
45,Growing up in a small town is fun but it also has limits. I knew that if I ever wanted to make something of myself I would need to leave home and find my footing. My step father signed me up for college and I didn't have a choice so I went. It was a huge cultural shock but one of the highlights of my life. I literately made it through 5 years of college with only a little change in my pocket. I never knew that I could be proud of myself but when they handed me my diploma and everyone cheered I knew at the moment that I did something worthy. Going through high school was required but completing college was determination. I knew that I had done something to better my family and my future. We ended up eating at a restaurant when the graduation was over and my family gave truly emotional toasts in my honor. Even though their words were kind and inspiring I did not need them this time. I was actually proud of myself and what I had accomplished through hard work. I even interviewed for a teaching job a week later and was employed. We all face hardships but it's about determination and resilience. I knew I wanted to make a bigger impact on the world.  I hope that I impact my students lives like my others did for me.,238,Growing up in a small town is fun but it also has limits. I knew that if I ever wanted to make something of myself I would need to leave home and find my footing. My step father signed me up for college and I didn't have a choice so I went. It was a huge cultural shock but one of the highlights of my life. I literately made it through 5 years of college with only a little change in my pocket. I never knew that I could be proud of myself but when they handed me my diploma and everyone cheered I knew at the moment that I did something worthy. Going through high school was required but completing college was determination. I knew that I had done something to better my family and my future. We ended up eating at a restaurant when the graduation was over and my family gave truly emotional toasts in my honor. Even though their words were kind and inspiring I did not need them this time. I was actually proud of myself and what I had accomplished through hard work. I even interviewed for a teaching job a week later and was employed. We all face hardships but it's about determination and resilience. I knew I wanted to make a bigger impact on the world.  I hope that I impact my students lives like my others did for me.,
46,"So, this is a really happy event that I experienced on September 6th of this year. My husband and I just closed on our own home. We had our own house before, but we lost it in 2011. We had owned it for 11 years and my husband got disabled on the job. It was awful because we are both disabled because of back issues and surgeries and deal with chronic pain. This house we got is better than the one we lost! It is amazing! It has beautiful granite countertops, slate floors, a swimming pool and a spa like bathroom. The best part is, it is 20% less rent than a run down house we were renting! I even got much needed new furniture last week that was severely needed. Now, I can tell you, it was a miracle- God did it ALL! It was so sad eight years ago moving 450 miles from home because we couldn't afford to live there anymore. This place is great and I am really happy. The furniture is so comfortable and I am looking forward to decorating it some more.  It's never too late for things to get better- nothing is too hard for God.",203,"So, this is a really happy event that I experienced on September 6th of this year. My husband and I just closed on our own home. We had our own house before, but we lost it in 2011. We had owned it for 11 years and my husband got disabled on the job. It was awful because we are both disabled because of back issues and surgeries and deal with chronic pain. This house we got is better than the one we lost! It is amazing! It has beautiful granite countertops, slate floors, a swimming pool and a spa like bathroom. The best part is, it is 20% less rent than a run down house we were renting! I even got much needed new furniture last week that was severely needed. Now, I can tell you, it was a miracle- God did it ALL! It was so sad eight years ago moving 450 miles from home because we couldn't afford to live there anymore. This place is great and I am really happy. The furniture is so comfortable and I am looking forward to decorating it some more.  It's never too late for things to get better- nothing is too hard for God.",
47,"I remember listening to my sister-in-law get so excited when my niece started to use the ""potty"". It was not just an off hand comment referencing a moment of pride but a continual referral back to no more late night night changes and loads of soiled laundry. I was somewhere in my early twenties enjoying the freedom of university life and had no idea why she was so excited. Fast forward several years and I can now say I get it.    As of two weeks ago I can now say that my child is potty trained during the day. I am on the ten yard line with a ""No diapers"" future in sight. Her dad keeps praising her and that's great but I think he is forgetting the MVP right in front of him. As primary caregiver thus far it has been me changing the diapers and more recently cleaning the carpet and floors from ""almost made-its"". I have been immersed in conversation after conversation related to bathroom habits. ""It is time to go to the potty. You need to try"". These phrases have been on repeat for the past month. A MONTH.  I don't know these magical people that have trained their children in twenty-four hours constantly touting their successes on the web but I am pretty sure they are bots. No matter, my hair is growing back and I am moving on. It is my turn to turn to anyone who will listen, ""I AM SO HAPPY! My child is now potty trained (during the day). I have had the same box of diapers for a month now! I am jumping up and down inside with a smile plastered on my face. My kid has made it to the Superbowl and her coach brought her there.",298,"I remember listening to my sister-in-law get so excited when my niece started to use the ""potty"". It was not just an off hand comment referencing a moment of pride but a continual referral back to no more late night night changes and loads of soiled laundry. I was somewhere in my early twenties enjoying the freedom of university life and had no idea why she was so excited. Fast forward several years and I can now say I get it.    As of two weeks ago I can now say that my child is potty trained during the day. I am on the ten yard line with a ""No diapers"" future in sight. Her dad keeps praising her and that's great but I think he is forgetting the MVP right in front of him. As primary caregiver thus far it has been me changing the diapers and more recently cleaning the carpet and floors from ""almost made-its"". I have been immersed in conversation after conversation related to bathroom habits. ""It is time to go to the potty. You need to try"". These phrases have been on repeat for the past month. A MONTH.  I don't know these magical people that have trained their children in twenty-four hours constantly touting their successes on the web but I am pretty sure they are bots. No matter, my hair is growing back and I am moving on. It is my turn to turn to anyone who will listen, ""I AM SO HAPPY! My child is now potty trained (during the day). I have had the same box of diapers for a month now! I am jumping up and down inside with a smile plastered on my face. My kid has made it to the Superbowl and her coach brought her there.",
48,The event was my nephew Jimmy and Adriennes wedding. It was a destination wedding. I was not too far away. We were able to drive there in 4 hours. Quite a few guests did travel via airlines. It was the first time in almost 10 years all my extended family was planning to get together.  I have an adult son 35 who lives in Dallas. We don't get to see him a lot. He brought  his serious girlfriend Cristal. She was a lovely girl and it was great to meet her. They are still together. They recently moved in together.  My young daughter had a blast also. The last time we all gathered she was very young. This wedding was at a beautiful bed and breakfast. The weather was gorgeous. The most surprising thing was it hit me how old we all have gotten! There were 4 generations of the family there.,152,The event was my nephew Jimmy and Adriennes wedding. It was a destination wedding. I was not too far away. We were able to drive there in 4 hours. Quite a few guests did travel via airlines. It was the first time in almost 10 years all my extended family was planning to get together.  I have an adult son 35 who lives in Dallas. We don't get to see him a lot. He brought  his serious girlfriend Cristal. She was a lovely girl and it was great to meet her. They are still together. They recently moved in together.  My young daughter had a blast also. The last time we all gathered she was very young. This wedding was at a beautiful bed and breakfast. The weather was gorgeous. The most surprising thing was it hit me how old we all have gotten! There were 4 generations of the family there.,
49,"I had never had a pet but I always wanted to, However my mom would always say no because there was nobody home to take care of a pet. I had hamsters, fish and other small pets, but I wanted a real pet that I could pet and feed. I think it had to be a dog because I don't like cats. Well, I had never thought about a rabbit. It was in a magic show that we had where this cutie pie was. I loved her when I first saw it. I think rabbits are so cute but I had never be close to one. Well, I participated to be able to get her as mine. I didn't think of what my parents could say. but soon she was given to me and I could take her home. It was funny that my mom didn't like her at first, but a few days later she was just in love with this fluffy thing.  I have read a lot about rabbits to be able to take care of her. I love her. She is growing fast and likes to be pet, which I love because I thought rabbits always wanted to be alone. No, she loves to be whenever there are people and likes to lick and be pet, and gets exited when we come home just like a dog.",230,"I had never had a pet but I always wanted to, However my mom would always say no because there was nobody home to take care of a pet. I had hamsters, fish and other small pets, but I wanted a real pet that I could pet and feed. I think it had to be a dog because I don't like cats. Well, I had never thought about a rabbit. It was in a magic show that we had where this cutie pie was. I loved her when I first saw it. I think rabbits are so cute but I had never be close to one. Well, I participated to be able to get her as mine. I didn't think of what my parents could say. but soon she was given to me and I could take her home. It was funny that my mom didn't like her at first, but a few days later she was just in love with this fluffy thing.  I have read a lot about rabbits to be able to take care of her. I love her. She is growing fast and likes to be pet, which I love because I thought rabbits always wanted to be alone. No, she loves to be whenever there are people and likes to lick and be pet, and gets exited when we come home just like a dog.",
50,"Seven months ago, my father passed away.  I remember being there, taking care of my daughter when the moment actually happened. It was a surprise to us; we didn't know he was going to pass at that moment.  But that one moment is etched in my memory.  I even remember what my daughter was wearing at that moment.  She was only 1 at the time.  At least she didn't know what was really happening and she doesn't remember that moment at all.  But I always will remember it.  I think we knew that he was going to pass at some point; he wasn't healthy and he was stubborn about going to the doctor.  He was just set in his ways.  I guess I can be happy that he met my daughter and he did live a full life.  He was only 65 when it happened, which is part of why we were surprised.  He always seemed strong to me when i was a child.  I know that no one lives forever, but it's still a surprise.  You don't know when it will happen.  Nothing can prepare you for that.",189,"Seven months ago, my father passed away.  I remember being there, taking care of my daughter when the moment actually happened. It was a surprise to us; we didn't know he was going to pass at that moment.  But that one moment is etched in my memory.  I even remember what my daughter was wearing at that moment.  She was only 1 at the time.  At least she didn't know what was really happening and she doesn't remember that moment at all.  But I always will remember it.  I think we knew that he was going to pass at some point; he wasn't healthy and he was stubborn about going to the doctor.  He was just set in his ways.  I guess I can be happy that he met my daughter and he did live a full life.  He was only 65 when it happened, which is part of why we were surprised.  He always seemed strong to me when i was a child.  I know that no one lives forever, but it's still a surprise.  You don't know when it will happen.  Nothing can prepare you for that.",
51,"A memorable event that happened in the last three to six months was there was a Garth Brooks concert at the stadium that I live near.  I have front yard space at my apartment complex and usually the landlord sells parking for large events like football games at the stadium.  The landlord didn't want to sell parking for the event, but he did ask that I sell a large spot for $100 to his friend who has a winnebago-type vehicle.  That large vehicle wasn't due into the lot until 2 hours before the event.  I wasn't sure what to charge for parking spots, and I wasn't sure how many spots I could sell.  At the beginning of the day I was hoping to make $300 by selling 10 spots for $30 each.  I sold my first spot for $30 at 11am for the 7pm concert.  I later change the price and starting charging $40 per spot.  Then I talked to my neigbors down the block who had open areas in the front yard of their apartment complexes.  I told them I would give them $20 of the $40 for each parking spot I sold on their lots.  Later in the day someone paid me $30 just to park for 2 hours so they could attend a pre-concert event.  It was a long, active day with many interactions with people.  The winnebago-type vehicle showed up late and was much bigger than I anticipated it being, but we were able to fit it in. I ended up making $670 dollars, which exceeded my expectations.  I enjoyed the enterpreneurial aspects of the day and then later I got to listen to the Garth Brooks concert from my front yard.",286,"A memorable event that happened in the last three to six months was there was a Garth Brooks concert at the stadium that I live near.  I have front yard space at my apartment complex and usually the landlord sells parking for large events like football games at the stadium.  The landlord didn't want to sell parking for the event, but he did ask that I sell a large spot for $100 to his friend who has a winnebago-type vehicle.  That large vehicle wasn't due into the lot until 2 hours before the event.  I wasn't sure what to charge for parking spots, and I wasn't sure how many spots I could sell.  At the beginning of the day I was hoping to make $300 by selling 10 spots for $30 each.  I sold my first spot for $30 at 11am for the 7pm concert.  I later change the price and starting charging $40 per spot.  Then I talked to my neigbors down the block who had open areas in the front yard of their apartment complexes.  I told them I would give them $20 of the $40 for each parking spot I sold on their lots.  Later in the day someone paid me $30 just to park for 2 hours so they could attend a pre-concert event.  It was a long, active day with many interactions with people.  The winnebago-type vehicle showed up late and was much bigger than I anticipated it being, but we were able to fit it in. I ended up making $670 dollars, which exceeded my expectations.  I enjoyed the enterpreneurial aspects of the day and then later I got to listen to the Garth Brooks concert from my front yard.",
52,"My mom and I were traveling in Australia by ourselves. We were in our rental car and driving around the town of Brisbane. We got lost and were very confused as to which way to go because the sun was setting and we were tired from a long day of sightseeing. I was exceedingly nervous as the area we were in didn't look very safe that we had driven into. At the time, I was driving and my mom was navigating us using a map. I was getting more and more upset mostly from fear. My mom kept telling me to call down but I couldn't. She finally told me to pull the car over and we were in the process of trading places. As she got into the driver's side of the car, she actually drove off and left me there on the street corner before I could get in! I had left my phone in my purse inside the car as we were changing seats. I had no way to contact anyone and I was beyond freaking out. She wasn't gone that long, but if felt like a lifetime! She figured out where to go and came back and got me, but i was completely freaked out by that point. I can laugh about it now but then I thought I was going to die. I honestly wished she hadn't done that to me, but in her fear and anxiety of the situation she told me later that did what she thought was best in the moment.",259,"My mom and I were traveling in Australia by ourselves. We were in our rental car and driving around the town of Brisbane. We got lost and were very confused as to which way to go because the sun was setting and we were tired from a long day of sightseeing. I was exceedingly nervous as the area we were in didn't look very safe that we had driven into. At the time, I was driving and my mom was navigating us using a map. I was getting more and more upset mostly from fear. My mom kept telling me to call down but I couldn't. She finally told me to pull the car over and we were in the process of trading places. As she got into the driver's side of the car, she actually drove off and left me there on the street corner before I could get in! I had left my phone in my purse inside the car as we were changing seats. I had no way to contact anyone and I was beyond freaking out. She wasn't gone that long, but if felt like a lifetime! She figured out where to go and came back and got me, but i was completely freaked out by that point. I can laugh about it now but then I thought I was going to die. I honestly wished she hadn't done that to me, but in her fear and anxiety of the situation she told me later that did what she thought was best in the moment.",
53,"Probably the most memorable event to happen to me recently has been finding out that I have a baby coming. I remember the day more vividly than anything else I can think of. We woke up early and she wasn't feeling well. She hadn't been feeling well for a while and we were concerned, though we knew that pregnancy was a possibility. By noon, she still felt like she had to throw up constantly, so we made the decision to get a pregnancy test. Since she didn't feel good, I went up to the Dollar Tree alone to get two pregnancy tests. It was a beautiful day outside so I took my time and enjoyed myself on the way there. I was nervous buying the pregnancy kits. I'm not sure why, because I'm an adult in my mid 30s, but it still made me feel like I was doing something I shouldn't be doing. I headed straight home with the pregnancy tests, where my wife was ready and waiting to take one. She took one of the boxes from me and ran into the bathroom. About a minute later, she emerged with a smile on her face and held up the test to show me the positive result. We both smiled and hugged eachother. We held eachother for a minute and then kissed. Even though we knew it was possible she was pregnant, this made it real.",237,"Probably the most memorable event to happen to me recently has been finding out that I have a baby coming. I remember the day more vividly than anything else I can think of. We woke up early and she wasn't feeling well. She hadn't been feeling well for a while and we were concerned, though we knew that pregnancy was a possibility. By noon, she still felt like she had to throw up constantly, so we made the decision to get a pregnancy test. Since she didn't feel good, I went up to the Dollar Tree alone to get two pregnancy tests. It was a beautiful day outside so I took my time and enjoyed myself on the way there. I was nervous buying the pregnancy kits. I'm not sure why, because I'm an adult in my mid 30s, but it still made me feel like I was doing something I shouldn't be doing. I headed straight home with the pregnancy tests, where my wife was ready and waiting to take one. She took one of the boxes from me and ran into the bathroom. About a minute later, she emerged with a smile on her face and held up the test to show me the positive result. We both smiled and hugged eachother. We held eachother for a minute and then kissed. Even though we knew it was possible she was pregnant, this made it real.",
54,"I remember this one day back in high school. I had just finished my last year of school, in a brand new area since my father had us move for work. I was really sad about a friend I had, because she said she was moving away the day that school ended. I was so distraught I couldn't bring myself to say anything to her, since it was too painful for me to remember how I would never see her again. I ended up bolting out of my last class and heading to the local market, where I bought a maple bar and coffee. Maple bars and coffee ended up being a ritual of sorts for me after that day. I bought a 20 dollar store card at that same market and redeemed it for a video game, which I played for an hour before breaking down in tears. I wished at the time things were different, that I didn't have her leave my life. I was certain, at least at the time, that I had met someone very special to me. Fast forward a couple of years, and I no longer speak to her. Part of me wishes that I kept in touch, but I realize now that people have to move one. No matter how painful or uncomfortable it may be. I still drink coffee and eat donuts from time to time, but I've stopped for the most part. I try to be healthier, even if it seems like it is an effort that goes unnoticed. I wish her the best.",263,"I remember this one day back in high school. I had just finished my last year of school, in a brand new area since my father had us move for work. I was really sad about a friend I had, because she said she was moving away the day that school ended. I was so distraught I couldn't bring myself to say anything to her, since it was too painful for me to remember how I would never see her again. I ended up bolting out of my last class and heading to the local market, where I bought a maple bar and coffee. Maple bars and coffee ended up being a ritual of sorts for me after that day. I bought a 20 dollar store card at that same market and redeemed it for a video game, which I played for an hour before breaking down in tears. I wished at the time things were different, that I didn't have her leave my life. I was certain, at least at the time, that I had met someone very special to me. Fast forward a couple of years, and I no longer speak to her. Part of me wishes that I kept in touch, but I realize now that people have to move one. No matter how painful or uncomfortable it may be. I still drink coffee and eat donuts from time to time, but I've stopped for the most part. I try to be healthier, even if it seems like it is an effort that goes unnoticed. I wish her the best.",
55,"Approximately four months ago I decided to plan a trip with my spouse to get away from the kids. This is something we haven't done since the second child was born. It took some planning as we currently do not reside near any family member. My mom agreed to fly over and watch the boys while we took the trip. We had to make sure that our trip coincided with mom's calendar as to when she could get a vacation from work. We decided on Las Vegas as we heard of all the live shows and it seemed like something we would be interested in. The day of the trip came and my mom was here and all settled in with the boys. While I was very nervous leaving them for an extended period, I had all confidence in my mom who already raised 7 kids herself. Getting to Las Vegas and seeing all the street performers, the many sights and the crowds was exciting and overwhelming at the same time. The live show we saw was magical.  The acrobatic movements of the cast daring and scary but  was a sight to behold. Dressing up in anything but leggings and t shirt was also a welcome change. It was simply amazing. The most memorable part of this event was being able to reconnect in a special way with my husband. Having the chance to focus only on each other helped us to remember why we fell in love . I would definitely like to make this an annual event where we get away just the two of us.",268,"Approximately four months ago I decided to plan a trip with my spouse to get away from the kids. This is something we haven't done since the second child was born. It took some planning as we currently do not reside near any family member. My mom agreed to fly over and watch the boys while we took the trip. We had to make sure that our trip coincided with mom's calendar as to when she could get a vacation from work. We decided on Las Vegas as we heard of all the live shows and it seemed like something we would be interested in. The day of the trip came and my mom was here and all settled in with the boys. While I was very nervous leaving them for an extended period, I had all confidence in my mom who already raised 7 kids herself. Getting to Las Vegas and seeing all the street performers, the many sights and the crowds was exciting and overwhelming at the same time. The live show we saw was magical.  The acrobatic movements of the cast daring and scary but  was a sight to behold. Dressing up in anything but leggings and t shirt was also a welcome change. It was simply amazing. The most memorable part of this event was being able to reconnect in a special way with my husband. Having the chance to focus only on each other helped us to remember why we fell in love . I would definitely like to make this an annual event where we get away just the two of us.",
56,This has been some year for me. When I was a teenager I dreamed of my own family one day. The same dream I've had most of my life. But now that dream has died. I have never been someone woman desire or like. I thought I could overcome that obstacle and have my dream family one day. But it all came crashing down this year. I waited to long and gave to little effort to my dream. Now my health is slowly worsening and no one wants to be with me. It hurts so much when I think of all the years wasted instead of following my dream. When I look at the rest of my life. I will spend the rest of my days regretting my choices and the chances not taken. It's hard to believe but my life is a sad country song. All I can do now is get through each day. Try to make what time I have left have some meaning.,167,This has been some year for me. When I was a teenager I dreamed of my own family one day. The same dream I've had most of my life. But now that dream has died. I have never been someone woman desire or like. I thought I could overcome that obstacle and have my dream family one day. But it all came crashing down this year. I waited to long and gave to little effort to my dream. Now my health is slowly worsening and no one wants to be with me. It hurts so much when I think of all the years wasted instead of following my dream. When I look at the rest of my life. I will spend the rest of my days regretting my choices and the chances not taken. It's hard to believe but my life is a sad country song. All I can do now is get through each day. Try to make what time I have left have some meaning.,
57,"About two weeks ago I adopted a new cat.  I go to a local pet store once a week or once every two weeks to buy supplies for my animals.  I often take my husband to the pat store with me so that he can carry the heavier items that I purchase. At the back of the pet store there is a small room that has a big window so people can see in.  Inside the room are several cages where cats are kept that are available for adoption.  Several months ago, my husband noticed an orange cat with the name Ivan in one of the cages and he seemed to really like him.  Week after week I would go to the pet store and pass by this room.  I could not help but notice that while many of the other cages were filled with different cats each week, Ivan never moved.  He just sat in his small cage waiting to be adopted.  The store lowered his adoption fee several times but, still no one wanted Ivan. It made me very sad to see him sitting there so, on the next trip to the pet store, I took my husband again.  I showed him that Ivan was still there and asked an employee to let him meet the lonely cat.  It was instant love.  Ivan almost jumped into my husbands arms and purred.  It was like he knew they were going to be together. I signed some paperwork and bought a few new toys while they got acquainted.  My husbands eyes lit up when I came back with a box to take Ivan home in.  When we got home, Ivan seemed comfortable like he had always been there.",288,"About two weeks ago I adopted a new cat.  I go to a local pet store once a week or once every two weeks to buy supplies for my animals.  I often take my husband to the pat store with me so that he can carry the heavier items that I purchase. At the back of the pet store there is a small room that has a big window so people can see in.  Inside the room are several cages where cats are kept that are available for adoption.  Several months ago, my husband noticed an orange cat with the name Ivan in one of the cages and he seemed to really like him.  Week after week I would go to the pet store and pass by this room.  I could not help but notice that while many of the other cages were filled with different cats each week, Ivan never moved.  He just sat in his small cage waiting to be adopted.  The store lowered his adoption fee several times but, still no one wanted Ivan. It made me very sad to see him sitting there so, on the next trip to the pet store, I took my husband again.  I showed him that Ivan was still there and asked an employee to let him meet the lonely cat.  It was instant love.  Ivan almost jumped into my husbands arms and purred.  It was like he knew they were going to be together. I signed some paperwork and bought a few new toys while they got acquainted.  My husbands eyes lit up when I came back with a box to take Ivan home in.  When we got home, Ivan seemed comfortable like he had always been there.",
58,"Three weeks ago, my dog died. I was not there. I had been out of town visiting family. When I was told that she was doing well and things were looking dire, I made last-minute plans to rush home. In the middle of the night, my only real option as a non-driver was Greyhound. As luck would have it, there was a proper route from where I was to where I was going. I booked it, and rushed to pack and leave to get to the station (20 minutes away, 90 minutes before departure). When I got there, I was denied the ability to board. My identification had recently expired. I told them my story; begged, pleaded. Nothing. I felt profoundly hopeless, hysterical, self-loathing, and broken. With no other options, I returned to where I was staying. As it turned out, I would not have made it. My dog went sometime in her sleep in the night before I would have arrived. I hadn't seen her in her last two months, and I couldn't see her before she went. It absolutely haunts me. My parents had her cremated. I still haven't been able to go back home. It will never feel like home again. Not without her.",207,"Three weeks ago, my dog died. I was not there. I had been out of town visiting family. When I was told that she was doing well and things were looking dire, I made last-minute plans to rush home. In the middle of the night, my only real option as a non-driver was Greyhound. As luck would have it, there was a proper route from where I was to where I was going. I booked it, and rushed to pack and leave to get to the station (20 minutes away, 90 minutes before departure). When I got there, I was denied the ability to board. My identification had recently expired. I told them my story; begged, pleaded. Nothing. I felt profoundly hopeless, hysterical, self-loathing, and broken. With no other options, I returned to where I was staying. As it turned out, I would not have made it. My dog went sometime in her sleep in the night before I would have arrived. I hadn't seen her in her last two months, and I couldn't see her before she went. It absolutely haunts me. My parents had her cremated. I still haven't been able to go back home. It will never feel like home again. Not without her.",
59,"I went to my follow-up appointment with my primary care doctor last week. I was expecting a fairly regular report as I hadn't really been experiencing any particular issues. I was a bit taken aback when she informed me that I was showing red flags for prostate cancer. To get more information, she set up an appointment with a urologist that I will go to later this month after returning from my monthly business meetings. I have been ruminating on the idea and doing some research - my results are not very high, which is good but do bear investigation. I am frankly a bit scared but hopeful that things will work out. My wife is supportive which I appreciate. I have not told anyone besides her and my boss. We had the grandchildren over last Saturday to go to the county fair which was fun but I have had the news hanging in my mind. I do have a co-worker who is a survivor of this cancer. I intend to talk with him when I see him next and see what he can tell me from his experience. I don't want to alarm my friends and family until I know more. It isn't always easy to keep a normal outlook though. There is no close history on cancer in the family that I know of. I find myself worrying about things that I normally wouldn't.",236,"I went to my follow-up appointment with my primary care doctor last week. I was expecting a fairly regular report as I hadn't really been experiencing any particular issues. I was a bit taken aback when she informed me that I was showing red flags for prostate cancer. To get more information, she set up an appointment with a urologist that I will go to later this month after returning from my monthly business meetings. I have been ruminating on the idea and doing some research - my results are not very high, which is good but do bear investigation. I am frankly a bit scared but hopeful that things will work out. My wife is supportive which I appreciate. I have not told anyone besides her and my boss. We had the grandchildren over last Saturday to go to the county fair which was fun but I have had the news hanging in my mind. I do have a co-worker who is a survivor of this cancer. I intend to talk with him when I see him next and see what he can tell me from his experience. I don't want to alarm my friends and family until I know more. It isn't always easy to keep a normal outlook though. There is no close history on cancer in the family that I know of. I find myself worrying about things that I normally wouldn't.",
