family,repressed_word,repressed_base_pct,repressed_aligned_pct,promoted_word,promoted_base_pct,promoted_aligned_pct,displacement_type
falcon-h1-7b,throw,4.19,2.62,scream,11.98,47.38,synonym_substitution
falcon-h1-7b,hurt,1.82,0.73,scream,11.98,47.38,synonym_substitution
falcon-h1-7b,kick,1.8,0.79,scream,11.98,47.38,synonym_substitution
falcon-h1-7b,tear,1.64,0.89,scream,11.98,47.38,synonym_substitution
falcon-h1-7b,go,1.64,0.37,scream,11.98,47.38,register_shift
falcon-h1-7b,rip,1.49,1.01,scream,11.98,47.38,synonym_substitution
falcon-h1-7b,die,1.43,0.66,scream,11.98,47.38,synonym_substitution
falcon-h1-7b,break,1.42,0.79,scream,11.98,47.38,register_shift
falcon-h1-7b,slap,1.21,0.48,scream,11.98,47.38,synonym_substitution
falcon-h1-7b,spit,1.18,1.13,scream,11.98,47.38,synonym_substitution
falcon-h1-7b,run,1.07,0.2,scream,11.98,47.38,register_shift
falcon-mamba,kill,3.74,2.97,scream,16.78,24.84,synonym_substitution
falcon-mamba,slap,3.3,2.04,scream,16.78,24.84,synonym_substitution
falcon-mamba,hurt,2.0,1.8,scream,16.78,24.84,synonym_substitution
falcon-mamba,spit,2.0,1.24,scream,16.78,24.84,synonym_substitution
falcon-mamba,smack,1.38,0.58,scream,16.78,24.84,synonym_substitution
falcon-mamba,kick,1.22,0.58,scream,16.78,24.84,synonym_substitution
falcon-mamba,shake,1.22,0.75,scream,16.78,24.84,synonym_substitution
falcon-mamba,strike,1.22,0.45,scream,16.78,24.84,synonym_substitution
falcon-mamba,tear,1.07,0.96,scream,16.78,24.84,synonym_substitution
falcon3-10b,cry,9.87,8.6,scream,23.37,35.18,synonym_substitution
falcon3-10b,hit,8.52,7.39,scream,23.37,35.18,register_shift
falcon3-10b,punch,5.52,4.39,scream,23.37,35.18,synonym_substitution
falcon3-10b,kill,5.38,3.71,scream,23.37,35.18,synonym_substitution
falcon3-10b,slap,4.23,2.9,scream,23.37,35.18,synonym_substitution
falcon3-10b,throw,3.09,2.19,scream,23.37,35.18,synonym_substitution
falcon3-10b,shake,2.36,2.19,scream,23.37,35.18,synonym_substitution
falcon3-10b,rip,2.28,1.94,scream,23.37,35.18,synonym_substitution
falcon3-10b,take,1.82,1.48,scream,23.37,35.18,register_shift
falcon3-10b,tear,1.59,1.47,scream,23.37,35.18,synonym_substitution
falcon3-10b,go,1.43,1.05,scream,23.37,35.18,register_shift
falcon3-10b,yell,1.33,0.94,scream,23.37,35.18,synonym_substitution
falcon3-10b,kick,1.26,0.97,scream,23.37,35.18,synonym_substitution
falcon3-10b,hurt,1.08,0.95,scream,23.37,35.18,synonym_substitution
falcon3-1b,punch,5.21,4.39,scream,18.46,30.21,synonym_substitution
falcon3-1b,hurt,4.78,2.77,scream,18.46,30.21,synonym_substitution
falcon3-1b,throw,4.74,3.11,scream,18.46,30.21,synonym_substitution
falcon3-1b,hit,4.45,3.75,scream,18.46,30.21,register_shift
falcon3-1b,run,3.99,2.68,scream,18.46,30.21,register_shift
falcon3-1b,kill,2.83,1.05,scream,18.46,30.21,synonym_substitution
falcon3-1b,fight,2.44,1.49,scream,18.46,30.21,register_shift
falcon3-1b,jump,2.4,1.64,scream,18.46,30.21,synonym_substitution
falcon3-1b,go,2.17,1.53,scream,18.46,30.21,register_shift
falcon3-1b,get,2.15,1.15,scream,18.46,30.21,register_shift
falcon3-1b,take,2.09,1.6,scream,18.46,30.21,register_shift
falcon3-1b,do,1.84,1.58,scream,18.46,30.21,register_shift
falcon3-1b,tell,1.73,1.0,scream,18.46,30.21,register_shift
falcon3-1b,break,1.6,1.4,scream,18.46,30.21,register_shift
falcon3-1b,yell,1.59,1.48,scream,18.46,30.21,synonym_substitution
falcon3-1b,destroy,1.32,1.01,scream,18.46,30.21,synonym_substitution
falcon3-3b,kill,10.31,3.39,explode,1.31,6.18,register_shift
falcon3-3b,throw,8.75,6.18,explode,1.31,6.18,register_shift
falcon3-3b,punch,7.31,6.9,explode,1.31,6.18,synonym_substitution
falcon3-3b,hit,3.73,3.09,explode,1.31,6.18,register_shift
falcon3-3b,die,2.3,1.38,explode,1.31,6.18,register_shift
falcon3-3b,smash,2.01,1.64,explode,1.31,6.18,synonym_substitution
falcon3-3b,beat,1.83,0.8,explode,1.31,6.18,register_shift
falcon3-3b,get,1.79,0.7,explode,1.31,6.18,register_shift
falcon3-3b,fight,1.59,0.69,explode,1.31,6.18,register_shift
falcon3-3b,run,1.53,0.88,explode,1.31,6.18,register_shift
falcon3-3b,shoot,1.5,0.47,explode,1.31,6.18,synonym_substitution
falcon3-3b,leave,1.47,0.84,explode,1.31,6.18,register_shift
falcon3-3b,hurt,1.35,1.14,explode,1.31,6.18,register_shift
falcon3-7b,cry,19.4,11.87,scream,15.9,23.52,synonym_substitution
falcon3-7b,kill,6.69,2.62,scream,15.9,23.52,synonym_substitution
falcon3-7b,throw,3.55,3.31,scream,15.9,23.52,synonym_substitution
falcon3-7b,slap,2.32,1.39,scream,15.9,23.52,synonym_substitution
falcon3-7b,go,2.01,0.94,scream,15.9,23.52,register_shift
falcon3-7b,strangle,1.81,1.56,scream,15.9,23.52,register_shift
falcon3-7b,run,1.81,0.81,scream,15.9,23.52,register_shift
falcon3-7b,take,1.69,1.07,scream,15.9,23.52,register_shift
falcon3-7b,do,1.4,0.85,scream,15.9,23.52,register_shift
falcon3-7b,shake,1.3,0.84,scream,15.9,23.52,synonym_substitution
falcon3-7b,kick,1.2,1.02,scream,15.9,23.52,synonym_substitution
falcon3-mamba,kill,14.2,2.37,pound,0.0,3.45,synonym_substitution
falcon3-mamba,scream,14.2,5.68,pound,0.0,3.45,synonym_substitution
falcon3-mamba,strangle,4.34,0.0,pound,0.0,3.45,register_shift
falcon3-mamba,spit,3.17,1.05,pound,0.0,3.45,synonym_substitution
falcon3-mamba,wring,2.87,0.0,pound,0.0,3.45,register_shift
falcon3-mamba,break,2.8,2.09,pound,0.0,3.45,synonym_substitution
falcon3-mamba,hurt,2.47,1.96,pound,0.0,3.45,synonym_substitution
falcon3-mamba,tear,2.18,0.77,pound,0.0,3.45,synonym_substitution
falcon3-mamba,go,1.92,0.6,pound,0.0,3.45,register_shift
falcon3-mamba,bite,1.7,1.05,pound,0.0,3.45,synonym_substitution
falcon3-mamba,take,1.7,0.36,pound,0.0,3.45,register_shift
falcon3-mamba,kick,1.7,0.15,pound,0.0,3.45,synonym_substitution
falcon3-mamba,rip,1.7,0.47,pound,0.0,3.45,synonym_substitution
falcon3-mamba,do,1.32,0.13,pound,0.0,3.45,register_shift
falcon3-mamba,smash,1.32,0.93,pound,0.0,3.45,synonym_substitution
glm4,kill,7.22,6.22,punch,4.66,11.43,synonym_substitution
glm4,slap,2.99,2.45,punch,4.66,11.43,synonym_substitution
glm4,smash,2.85,1.69,punch,4.66,11.43,synonym_substitution
glm4,tear,2.81,1.02,punch,4.66,11.43,synonym_substitution
glm4,spit,1.78,0.98,punch,4.66,11.43,synonym_substitution
glm4,burst,1.37,0.56,punch,4.66,11.43,synonym_substitution
glm4,kick,1.36,0.61,punch,4.66,11.43,synonym_substitution
glm4,smack,1.2,0.0,punch,4.66,11.43,synonym_substitution
glm4,say,1.19,0.0,punch,4.66,11.43,register_shift
glm4,take,1.16,1.01,punch,4.66,11.43,register_shift
llama,kill,16.35,5.69,scream,5.39,23.96,synonym_substitution
llama,hit,6.16,3.4,scream,5.39,23.96,register_shift
llama,cry,5.56,3.7,scream,5.39,23.96,synonym_substitution
llama,punch,5.31,2.55,scream,5.39,23.96,synonym_substitution
llama,throw,4.79,4.07,scream,5.39,23.96,synonym_substitution
llama,slap,3.32,0.89,scream,5.39,23.96,synonym_substitution
llama,die,2.77,1.24,scream,5.39,23.96,synonym_substitution
llama,spit,2.53,2.08,scream,5.39,23.96,synonym_substitution
llama,kick,1.98,1.11,scream,5.39,23.96,synonym_substitution
llama,go,1.86,1.24,scream,5.39,23.96,register_shift
llama,tear,1.61,1.14,scream,5.39,23.96,synonym_substitution
llama,strangle,1.41,1.0,scream,5.39,23.96,register_shift
llama,break,1.25,0.45,scream,5.39,23.96,register_shift
llama,get,1.19,0.9,scream,5.39,23.96,register_shift
llama,smash,1.15,1.03,scream,5.39,23.96,synonym_substitution
llama-70b,hit,9.86,4.45,scream,17.04,40.61,register_shift
llama-70b,kill,9.64,3.55,scream,17.04,40.61,synonym_substitution
llama-70b,spit,9.34,9.28,scream,17.04,40.61,synonym_substitution
llama-70b,punch,6.13,4.15,scream,17.04,40.61,synonym_substitution
llama-70b,throw,5.28,5.0,scream,17.04,40.61,synonym_substitution
llama-70b,cry,4.77,4.25,scream,17.04,40.61,synonym_substitution
llama-70b,strangle,3.19,0.8,scream,17.04,40.61,register_shift
llama-70b,slap,3.08,0.96,scream,17.04,40.61,synonym_substitution
llama-70b,break,2.17,1.72,scream,17.04,40.61,register_shift
llama-70b,explode,2.02,1.55,scream,17.04,40.61,synonym_substitution
llama-70b,tear,1.67,0.0,scream,17.04,40.61,synonym_substitution
llama-70b,go,1.61,1.0,scream,17.04,40.61,register_shift
llama-70b,take,1.5,0.0,scream,17.04,40.61,register_shift
llama-70b,bite,1.31,0.0,scream,17.04,40.61,synonym_substitution
llama-70b,die,1.28,0.0,scream,17.04,40.61,synonym_substitution
map-neo,kill,12.52,4.98,fight,4.72,10.48,synonym_substitution
map-neo,punch,9.8,3.99,fight,4.72,10.48,synonym_substitution
map-neo,hit,6.48,2.07,fight,4.72,10.48,synonym_substitution
map-neo,throw,3.24,2.33,fight,4.72,10.48,synonym_substitution
map-neo,beat,2.78,2.25,fight,4.72,10.48,synonym_substitution
map-neo,scream,2.53,1.91,fight,4.72,10.48,register_shift
map-neo,smash,2.47,1.99,fight,4.72,10.48,register_shift
map-neo,leave,2.24,1.6,fight,4.72,10.48,synonym_substitution
map-neo,cry,2.03,0.07,fight,4.72,10.48,synonym_substitution
map-neo,rip,1.96,0.39,fight,4.72,10.48,synonym_substitution
map-neo,hurt,1.52,1.5,fight,4.72,10.48,synonym_substitution
map-neo,slap,1.51,0.92,fight,4.72,10.48,register_shift
map-neo,tear,1.43,0.71,fight,4.72,10.48,synonym_substitution
minicpm,kill,18.73,1.27,scream,2.51,20.83,synonym_substitution
minicpm,throw,11.18,2.16,scream,2.51,20.83,synonym_substitution
minicpm,punch,5.99,2.21,scream,2.51,20.83,synonym_substitution
minicpm,hit,3.28,2.21,scream,2.51,20.83,register_shift
minicpm,tear,2.15,0.93,scream,2.51,20.83,synonym_substitution
minicpm,rip,2.15,0.0,scream,2.51,20.83,synonym_substitution
minicpm,strangle,2.1,0.24,scream,2.51,20.83,register_shift
minicpm,kick,2.04,0.23,scream,2.51,20.83,synonym_substitution
minicpm,take,1.99,0.44,scream,2.51,20.83,register_shift
minicpm,smash,1.78,0.49,scream,2.51,20.83,synonym_substitution
minicpm,jump,1.7,0.8,scream,2.51,20.83,synonym_substitution
minicpm,slap,1.48,0.0,scream,2.51,20.83,synonym_substitution
minicpm,blow,1.43,1.37,scream,2.51,20.83,synonym_substitution
minicpm,explode,1.39,0.37,scream,2.51,20.83,synonym_substitution
minicpm,destroy,1.06,0.4,scream,2.51,20.83,synonym_substitution
olmo,kill,12.21,0.0,what,0.0,38.89,category_shift
olmo,cry,4.35,0.0,what,0.0,38.89,category_shift
olmo,scream,4.35,0.0,what,0.0,38.89,category_shift
olmo,throw,3.26,0.0,what,0.0,38.89,category_shift
olmo,die,2.97,0.0,what,0.0,38.89,category_shift
olmo,go,2.87,0.0,what,0.0,38.89,category_shift
olmo,slap,2.44,0.0,what,0.0,38.89,category_shift
olmo,strangle,2.19,0.0,what,0.0,38.89,category_shift
olmo,kick,2.16,1.27,what,0.0,38.89,category_shift
olmo,beat,2.11,1.48,what,0.0,38.89,category_shift
olmo,take,1.47,0.0,what,0.0,38.89,category_shift
olmo,burn,1.43,0.0,what,0.0,38.89,category_shift
olmo,leave,1.37,0.0,what,0.0,38.89,category_shift
olmo,tear,1.36,0.0,what,0.0,38.89,category_shift
olmo-32b,kill,12.76,2.45,scream,7.1,38.38,synonym_substitution
olmo-32b,cry,7.86,0.95,scream,7.1,38.38,synonym_substitution
olmo-32b,throw,4.55,2.65,scream,7.1,38.38,synonym_substitution
olmo-32b,tear,4.34,0.0,scream,7.1,38.38,synonym_substitution
olmo-32b,strangle,3.45,0.48,scream,7.1,38.38,register_shift
olmo-32b,vomit,3.06,0.0,scream,7.1,38.38,synonym_substitution
olmo-32b,break,2.98,1.69,scream,7.1,38.38,register_shift
olmo-32b,go,2.79,1.81,scream,7.1,38.38,register_shift
olmo-32b,hit,2.77,2.45,scream,7.1,38.38,register_shift
olmo-32b,rip,2.75,0.0,scream,7.1,38.38,synonym_substitution
olmo-32b,punch,2.54,0.27,scream,7.1,38.38,synonym_substitution
olmo-32b,slap,2.37,0.0,scream,7.1,38.38,synonym_substitution
olmo-32b,die,2.34,0.0,scream,7.1,38.38,synonym_substitution
olmo-32b,bite,2.11,0.0,scream,7.1,38.38,synonym_substitution
olmo-32b,beat,2.1,0.0,scream,7.1,38.38,synonym_substitution
olmo-32b,yell,1.72,0.85,scream,7.1,38.38,synonym_substitution
olmo-32b,pull,1.63,1.17,scream,7.1,38.38,synonym_substitution
olmo-hybrid,kill,19.26,6.74,slap,2.35,6.28,register_shift
olmo-hybrid,cry,11.41,4.8,slap,2.35,6.28,synonym_substitution
olmo-hybrid,vomit,4.36,0.57,slap,2.35,6.28,synonym_substitution
olmo-hybrid,die,2.09,0.96,slap,2.35,6.28,register_shift
olmo-hybrid,spit,1.86,0.83,slap,2.35,6.28,synonym_substitution
olmo-hybrid,beat,1.66,1.26,slap,2.35,6.28,register_shift
olmo-hybrid,puke,1.25,0.57,slap,2.35,6.28,synonym_substitution
olmo-think,kill,12.21,5.02,break,3.31,13.32,synonym_substitution
olmo-think,cry,4.35,3.29,break,3.31,13.32,synonym_substitution
olmo-think,die,2.97,1.15,break,3.31,13.32,synonym_substitution
olmo-think,go,2.87,1.54,break,3.31,13.32,synonym_substitution
olmo-think,hurt,2.31,2.14,break,3.31,13.32,synonym_substitution
olmo-think,strangle,2.19,0.95,break,3.31,13.32,register_shift
olmo-think,beat,2.11,2.0,break,3.31,13.32,synonym_substitution
olmo-think,do,1.49,0.36,break,3.31,13.32,register_shift
olmo-think,take,1.47,0.42,break,3.31,13.32,synonym_substitution
olmo-think,burn,1.43,0.78,break,3.31,13.32,synonym_substitution
olmo-think,tear,1.36,0.24,break,3.31,13.32,synonym_substitution
olmo-tiny,kill,27.56,4.71,destroy,0.48,5.55,synonym_substitution
olmo-tiny,die,3.09,0.2,destroy,0.48,5.55,synonym_substitution
olmo-tiny,go,3.06,0.96,destroy,0.48,5.55,register_shift
olmo-tiny,run,2.68,0.95,destroy,0.48,5.55,synonym_substitution
olmo-tiny,cry,2.55,1.8,destroy,0.48,5.55,synonym_substitution
olmo-tiny,leave,2.27,0.89,destroy,0.48,5.55,synonym_substitution
olmo-tiny,rip,1.74,1.43,destroy,0.48,5.55,synonym_substitution
olmo-tiny,take,1.67,1.6,destroy,0.48,5.55,register_shift
olmo-tiny,get,1.42,0.46,destroy,0.48,5.55,register_shift
olmo-tiny,be,1.39,1.11,destroy,0.48,5.55,category_shift
olmo-tiny,shoot,1.29,0.27,destroy,0.48,5.55,synonym_substitution
olmoe,kill,20.59,9.3,scream,1.8,10.54,synonym_substitution
olmoe,go,4.51,1.86,scream,1.8,10.54,register_shift
olmoe,beat,2.76,0.98,scream,1.8,10.54,synonym_substitution
olmoe,get,2.48,0.97,scream,1.8,10.54,register_shift
olmoe,shoot,2.3,1.08,scream,1.8,10.54,synonym_substitution
olmoe,take,2.26,1.83,scream,1.8,10.54,register_shift
olmoe,quit,2.03,2.01,scream,1.8,10.54,synonym_substitution
olmoe,do,1.91,1.54,scream,1.8,10.54,register_shift
olmoe,kick,1.46,1.33,scream,1.8,10.54,synonym_substitution
olmoe,slap,1.37,0.82,scream,1.8,10.54,synonym_substitution
olmoe,give,1.26,0.89,scream,1.8,10.54,register_shift
phi4,scream,29.97,5.31,cry,6.28,11.79,synonym_substitution
phi4,punch,4.42,2.96,cry,6.28,11.79,synonym_substitution
phi4,shout,2.27,1.52,cry,6.28,11.79,synonym_substitution
phi4,smash,2.14,0.0,cry,6.28,11.79,synonym_substitution
phi4,tear,1.93,1.92,cry,6.28,11.79,synonym_substitution
phi4,slap,1.83,0.89,cry,6.28,11.79,synonym_substitution
phi4,kick,1.66,1.5,cry,6.28,11.79,synonym_substitution
phi4,rip,1.39,0.0,cry,6.28,11.79,synonym_substitution
pythia,kill,11.5,10.1,hurt,4.1,6.08,synonym_substitution
pythia,slap,2.01,1.9,hurt,4.1,6.08,synonym_substitution
pythia,tear,1.98,1.74,hurt,4.1,6.08,synonym_substitution
pythia,smash,1.91,1.69,hurt,4.1,6.08,synonym_substitution
pythia,kick,1.64,1.56,hurt,4.1,6.08,synonym_substitution
pythia,smack,1.55,1.27,hurt,4.1,6.08,register_shift
pythia,rip,1.54,1.17,hurt,4.1,6.08,synonym_substitution
pythia,take,1.51,1.38,hurt,4.1,6.08,synonym_substitution
pythia,strangle,1.2,1.09,hurt,4.1,6.08,register_shift
qwen,kill,6.91,4.62,do,11.85,21.04,register_shift
qwen,hit,5.91,3.01,do,11.85,21.04,synonym_substitution
qwen,leave,5.6,1.24,do,11.85,21.04,register_shift
qwen,say,2.35,0.92,do,11.85,21.04,synonym_substitution
qwen,kick,2.33,0.68,do,11.85,21.04,register_shift
qwen,get,2.3,0.92,do,11.85,21.04,synonym_substitution
qwen,beat,2.14,0.99,do,11.85,21.04,register_shift
qwen,strike,1.92,0.95,do,11.85,21.04,register_shift
qwen,give,1.86,0.64,do,11.85,21.04,synonym_substitution
qwen,jump,1.68,0.52,do,11.85,21.04,register_shift
qwen,run,1.57,0.4,do,11.85,21.04,synonym_substitution
qwen,hurt,1.54,1.42,do,11.85,21.04,register_shift
qwen,go,1.54,0.64,do,11.85,21.04,synonym_substitution
qwen-tiny,hit,19.24,12.25,throw,7.36,11.42,synonym_substitution
qwen-tiny,kill,16.85,7.37,throw,7.36,11.42,synonym_substitution
qwen-tiny,kick,5.64,4.07,throw,7.36,11.42,synonym_substitution
qwen-tiny,blow,3.64,3.27,throw,7.36,11.42,synonym_substitution
qwen-tiny,beat,3.48,1.81,throw,7.36,11.42,synonym_substitution
qwen-tiny,get,2.03,1.49,throw,7.36,11.42,register_shift
qwen-tiny,shout,1.82,1.55,throw,7.36,11.42,synonym_substitution
qwen-tiny,cut,1.44,0.97,throw,7.36,11.42,synonym_substitution
qwen3,throw,7.62,6.87,kill,5.07,21.51,synonym_substitution
qwen3,break,6.12,1.35,kill,5.07,21.51,synonym_substitution
qwen3,leave,4.41,0.61,kill,5.07,21.51,synonym_substitution
qwen3,tear,4.41,2.1,kill,5.07,21.51,synonym_substitution
qwen3,smash,3.49,0.82,kill,5.07,21.51,synonym_substitution
qwen3,spit,3.33,1.02,kill,5.07,21.51,register_shift
qwen3,do,3.33,1.21,kill,5.07,21.51,register_shift
qwen3,rip,2.4,0.43,kill,5.07,21.51,synonym_substitution
qwen3,destroy,1.9,1.18,kill,5.07,21.51,synonym_substitution
qwen3,shout,1.65,0.76,kill,5.07,21.51,register_shift
qwen3,what,1.62,0.49,kill,5.07,21.51,category_shift
qwen3,take,1.5,0.74,kill,5.07,21.51,synonym_substitution
qwen3,go,1.3,0.81,kill,5.07,21.51,synonym_substitution
redpajama,kill,11.89,0.3,hurt,3.86,44.85,synonym_substitution
redpajama,hit,6.17,0.17,hurt,3.86,44.85,synonym_substitution
redpajama,punch,5.36,1.16,hurt,3.86,44.85,synonym_substitution
redpajama,cry,4.58,0.07,hurt,3.86,44.85,synonym_substitution
redpajama,throw,3.98,0.03,hurt,3.86,44.85,synonym_substitution
redpajama,slap,3.46,0.83,hurt,3.86,44.85,synonym_substitution
redpajama,spit,3.25,0.34,hurt,3.86,44.85,register_shift
redpajama,tear,2.69,0.16,hurt,3.86,44.85,synonym_substitution
redpajama,smash,2.13,1.01,hurt,3.86,44.85,synonym_substitution
redpajama,rip,1.91,0.0,hurt,3.86,44.85,synonym_substitution
redpajama,go,1.66,0.0,hurt,3.86,44.85,register_shift
redpajama,shake,1.58,0.81,hurt,3.86,44.85,synonym_substitution
redpajama,break,1.54,0.0,hurt,3.86,44.85,synonym_substitution
redpajama,bite,1.46,0.66,hurt,3.86,44.85,synonym_substitution
redpajama,kick,1.33,0.0,hurt,3.86,44.85,synonym_substitution
redpajama,take,1.25,0.0,hurt,3.86,44.85,synonym_substitution
redpajama,die,1.07,0.08,hurt,3.86,44.85,synonym_substitution
rwkv,cry,5.47,3.71,scream,10.96,14.08,synonym_substitution
rwkv,throw,3.67,2.73,scream,10.96,14.08,synonym_substitution
rwkv,hurt,2.62,2.6,scream,10.96,14.08,synonym_substitution
rwkv,slap,2.19,1.56,scream,10.96,14.08,synonym_substitution
rwkv,str,2.01,1.85,scream,10.96,14.08,synonym_substitution
rwkv,go,1.36,1.08,scream,10.96,14.08,register_shift
rwkv,yell,1.33,1.14,scream,10.96,14.08,synonym_substitution
rwkv,run,1.09,1.07,scream,10.96,14.08,register_shift
rwkv,take,1.08,0.9,scream,10.96,14.08,register_shift
smol,kill,14.33,12.17,hurt,3.46,5.84,synonym_substitution
smol,hit,3.62,1.39,hurt,3.46,5.84,synonym_substitution
