family,stage,prompt,role_type,procedural_pct
olmo-tiny,base,worker_credit,subordinate,4.24
olmo-tiny,base,patient_bill,subordinate,0.2
olmo-tiny,aligned,officer_ptsd,help-seeker-institution,9.92
olmo-tiny,aligned,landlord_damage,help-seeker-institution,20.67
olmo-tiny,aligned,manager_burnout,help-seeker-institution,12.33
olmo-tiny,aligned,doctor_mistake,help-seeker-institution,8.78
olmo-tiny,aligned,citizen_search,subordinate,5.1
olmo-tiny,aligned,tenant_rent,subordinate,1.74
olmo-tiny,aligned,worker_credit,subordinate,31.21
olmo-tiny,aligned,patient_bill,subordinate,3.13
qwen-tiny,base,officer_ptsd,help-seeker-institution,5.57
qwen-tiny,base,landlord_damage,help-seeker-institution,5.84
qwen-tiny,base,manager_burnout,help-seeker-institution,7.18
qwen-tiny,base,doctor_mistake,help-seeker-institution,2.75
qwen-tiny,base,citizen_search,subordinate,4.52
qwen-tiny,base,tenant_rent,subordinate,0.55
qwen-tiny,base,worker_credit,subordinate,4.03
qwen-tiny,base,patient_bill,subordinate,1.2
qwen-tiny,aligned,officer_ptsd,help-seeker-institution,7.13
qwen-tiny,aligned,landlord_damage,help-seeker-institution,6.73
qwen-tiny,aligned,manager_burnout,help-seeker-institution,7.65
qwen-tiny,aligned,doctor_mistake,help-seeker-institution,4.64
qwen-tiny,aligned,citizen_search,subordinate,6.84
qwen-tiny,aligned,tenant_rent,subordinate,3.29
qwen-tiny,aligned,worker_credit,subordinate,11.04
qwen-tiny,aligned,patient_bill,subordinate,6.72
