model,prompt_key,label,lang,idx,text
qwen_base,anger_en,anger,en,15,"do nothing but ________ on the bed.
lie
lay
lying
laying
答案: A

“蛋白质一能量营养不良”简称蛋白一能营养不良。____*
A. 正确
B. 错误
答案: B

焊件材料为黄铜时,应选用 ____气割。
A. 中性焰
B. 碳化焰
C. 氧化焰
D. 弱碳化焰
答案:"
qwen_base,anger_en,anger,en,16,"_______.
hang … out
get … back
hold … back
cut … out
答案:
B

病人，女性，32岁。因输液后出现畏寒、寒战、体温升高至40℃。此时，该病人最适宜的饮食为
A. 普通饮食
B. 软质饮食
C. 流质饮食
D. 半流质饮食
E. 高膳食纤维饮食
答案:"
qwen_base,anger_en,anger,en,17,"walk home, even though she would have to do what? - dance - singing - have legs - keep moving - get somewhere  The best answer is

get somewhere"
qwen_base,anger_en,anger,en,18,"_______ about it. ____
speak
say
talk
tell
Answer: say

Both the G20 leaders' summit on climate change from September 6 to 9, 2009, and the World Climate Conference from June 8 to 9, 2010, revealed the world's consensus: cooperation to save the Earth. In the face of human civilization's common threa"
qwen_base,anger_en,anger,en,19,"________ her fist right into Richard's face.
A. inflict
B. insert
C. insert
D. deliver
E. strike
F. strike
答案:

D

Which of the following is stated by Henry Ford most emphatically in paragraph4?
A. M#@&% failed their之战 three facts of life with the most undercut.
B. His movie The Battle of Britain wa"
qwen_base,anger_en,anger,en,20,"Brandin Sarah.
Where should the next word start with?
A: . B: a C: c D: i

C

Based on: EnWheels"
qwen_base,anger_en,anger,en,21,"hit ________ . A. anyone B. something C. everything D. someone

网友回答 (答案→)D. someone A. anyone B. something C. everything D. someone

银行在受理需要审查信贷证明本身的信用证真实性的申请时，需审核的内容包括（ ）。 A. 该业务凭以开立的信用证必须是不可撤销的、已经生效的、有效而且符合我行的策 B. 开证行、保兑行、"
qwen_base,anger_en,anger,en,22,"grit her teeth;〔〕①, she bit her tongue.
A. therefor
B. though
C. thus
D. instead
答案:
 本题选D A项:因此; B项:虽然; C项:因此; D项:相反@##

Which of the following is not mentioned as a way of drinking coffee?
A. drinking black coffee without milk
B. drinking black coffee with milk
C. drinking coffee with ice
D. drink"
qwen_base,anger_en,anger,en,23,"().

● A push ● B kiss ● C kill ● D hug

C 内容

商品条码像文字一样用来记录商品代码,条码左起的第一位数代表(),第二至八位数代表( ),九至十三位数代表( )。

零售商代码|商品代码|商品包装代码

曝气池活性污泥浓度测定操作流程

1、用样品瓶收集曝气池混合液，一般取样后立即应用本法测量混合液"
qwen_base,anger_en,anger,en,24,"____（证明） who was right. prove

世间万物，皆有时节，稍纵即逝。当您明白这个道理时，您已懂得了珍惜；当您珍惜一切时，您已拥有了人生的真知。甚至连一朵花、一颗星只要它打动了您，您都会懂得珍惜。如果世界是美好的，请你珍惜吧! 请以“我懂得了珍惜”为题目写一篇作文。 要求： ①字数"
qwen_base,anger_zh,anger,zh,0,"用手推挤对方。请从下列选项中选择正确的动词形式填空：
A. push
B. pushed
C. to push
答案:
C

根据下图所示的信息，以下哪项分析是正确的？
A. 岩层⑥是最晚形成的
B. 形成①②岩层的地质作用相同
C. 形成②③④岩层的地质作用相同
D. 形成�"
qwen_base,anger_zh,anger,zh,1,"阻止他，但并没有真正起作用。（harass, stop) She got upset and tried to discourage him, but she didn't really get much use out of it.

氨系统封闭试压不合格、试验时间不足、氮气保护不完善时，未经允许进行检修。（) √

由于节流装置前后流束收缩的截面大小不同，造成节流装置前后静压力不同这一压力差值与被测流量间有一定比例关系。（) √"
qwen_base,anger_zh,anger,zh,2,"给他一顿狠狠的_______。
A. 教训
B. 过头
C. 沙袋
D. 沙袋
答案:

A

以下是中国关于道德与法治考试的单项选择题，请选出其中的正确答案。
在央视亮剑系列栏目中，栏目组仅用18个向日葵种子来挑战一篇1800字的新闻稿件，这清楚地展示了稿件的哪一面？
A. 伪劣"
qwen_base,anger_zh,anger,zh,3,"什么？____
A. 平静
B. 安静
C. 静默
D. 静止
答案:
A

下列哪个单词代表‘星星’？
A. turtle
B. fact
C. star
答案:
C

“她不愿意摘花，仅仅是因为她知道这很苦。”请问此处应填入哪个助动词？
A. didn't
B. can't
C. needn't
D."
qwen_base,anger_zh,anger,zh,4,"杀人． She was so angry that she____ kill anybody

跳伞运动员做低空跳伞表演，当悬挂在跳伞运动员身上的绳子绷直后，运动员沿竖直方向下落，在未打开降落伞前，绳子上的拉力正好等于运动员体重的一半，这时运动员以6m/s的速度匀速下降，打开降落伞后，受到空气的阻力，（g=10m/s^{2}）求： （1）打开"
qwen_base,anger_zh,anger,zh,5,"冷静下来，在她的情绪完全平复之前不要跟他说话。

他想要成为对家庭有用的丈夫，在这之前他发誓要成为一个值得托付的男人。

她睁着双眼，可以看到这个男人有全部的组成部分，尤其可以看到他的意图。

他很清楚她所忍受的一切痛苦都是因他造成的，他很难受，而且很后悔。他说他已经决定要成为一个好丈夫了。

但是她告诉他，自己并不快乐，目前看不到他的进步。无论她的苛求多么无理"
qwen_base,anger_zh,anger,zh,6,"怎样回应那个男孩？
A. 对话他
B. 向他道歉
C. 不理他
D. 向他问好
答案:
C

下列关于动物的形态结构与生活环境、功能相适应匹配正确的选项是？
| 选项 | 形态结构特征 | 功能及生活环境 |
| --- | --- | --- |
| A | 蜥蜴体表覆盖角质鳞片 | 用于在水中游泳 |
| B | �"
qwen_base,anger_zh,anger,zh,7,"离开，但我还是挽留了她，告诉她我正在考虑我们之间的问题。
她没有回应。
当我认为她已经生气离去了，我去检查她是否在隔壁房间，发现她正一手拿着手机对着厨房，一手拿着一盒化妆品在化妆。
“我们需要谈论的还很多，我想我不能只靠思考。”她说。
于是我关上电话，开始思考可能的解决方案。"
qwen_base,anger_zh,anger,zh,8,"用平板球拍狠狠地打她的朋友。
当有人生气时，情绪管理对我们自己和他人都是非常重要的。对于这样一个情境，建议你能够先让这位朋友冷静一下，然后和他/她好好沟通，了解对方的想法和感受，理解彼此的立场，避免感情急躁所导致的言语伤害和冲突。
如果对方依然生气，你可以建议他/她深呼吸数次，尝试放松身心，然后考虑使用别的方式表达自己。比如，如果你的朋友"
qwen_base,anger_zh,anger,zh,9,"一拳打过去。 Looking at the table_poly! she had a strong desire to hit it with her fist.

She was so angry that she wanted to hit the wall with her

大机段自运〔2018〕15号 中队（车队）每周五组织交班会，对上周的工作情况进行总结分析，预告本周作业内容、安全风险点和劳动安全注意事项。

3

交流电源熔丝额定值不应超过最大负载电流的2倍"
qwen_base,anger_zh,anger,zh,10,迎来一个结果，但她甚至不去发现自己能写什么东西时感到困难。这回轮到卡里黯然神伤地走了，吉吉开始咆哮十分生气，她明确地说，在变成一只黄色猫之后，她正处在黑社会。罗塞塔则什么都不属于，她并不十分竞技场，但是她试图推动这件事顺利进行。罗塞达叹了口气，她没有改变观点，还有怀疑到底这一只黄袜猫跟她正在努力在做的事情构成了什么关系，
qwen_base,anger_zh,anger,zh,11,"出国去看电影，但是她还太小，不够钱单独出国。
音译为 Maky 的这句英文老话在澳洲儿童电影《宝贝不嫌母亲壮》（rascal）中设定一个场景：Maky想出国看小说记载里“有大花有丛树和好呀的动物煮在饭锅里”的国家，妈妈说那要钱多的孩子去，自己觉得自己太胖，不能出门。这句曲译为 ： “只有小"
qwen_base,anger_zh,anger,zh,12,"离开这个地方。

她为什么生气？是因为什么导致她想要离开这个地方？
要理解您的问题，需要更多的背景信息。假设情境如下：

- 地点: 工作场所
- 人物: 她（指代之前提到的“她”）

在这种情况下，""她""想要离开这个地方可能是因为以下原因：
1. 工作压力过大：她可能觉得工作量太大、工作时间过长或者工作任务过于繁重，影响到了她的身心健康。"
qwen_base,anger_zh,anger,zh,13,"_________她的电脑。
A. 堕毁
B. 摧毁
C. 崩塌
D. 毁坏
答案:

D

A: 他玩得很开心。B: _______
A. 听到这个消息我很难过。
B. 听到这个消息我很高兴。
C. 哦，我真不希望听到这个消息。
D. 井井有条。
请问，哪一句是表达惊讶"
qwen_base,anger_zh,anger,zh,14,"寻找机会报复。Hence, when Tyler invited her to sign an autograph, Hales was poised to attack. At one point, all Hales could see was Tyler’s face staring up at her, and all he could hear were Tyler’s breathy whispers, even though Yuku stood right in front of him. “How did I get where I am?” Tyler asked. “Wh"
qwen_base,anger_zh,anger,zh,15,"和李华交涉。 Mary was so angry that he didn't know how to ________ Li Hua.
come,up
come,out
look,out
get,along
答案:

D

甲、乙二人在300m跑道上同起点、同终点、同方向匀速跑步，两人在同一时间内，甲跑了3圈，乙跑2圈，乙在前，甲在后，当甲第一次追上乙时，甲跑了x圈，则"
qwen_base,anger_zh,anger,zh,16,"发火。请问以下哪个词最能描述她的状态？
A. 生气
B. 愤怒
C. 失控
答案:
B

《中华人民共和国职业病防治法》实施的时间为2002年1月1日，请判断以下选项：
A. 正确
B. 错误
答案:
B

政府机构系统为确保其稳定运行而形成的行为规范体系，是否构成了政府系统的运行机制？
A. �"
qwen_base,anger_zh,anger,zh,17,用纺织的东西砸我们。” 那时，一棵树的一根横枝，如同一只胳膊般垂落在风暴下方。肆虐的风暴将其他几乎都吹断的树枝从树上加以清理，它独自挂在树上达良久之久，依旧坚定不移。当它被风暴征服后，该树上的枝叶因此几乎都被吹走了。在风暴的最严重时，它还是停在树上。 在雨季的暴雨之中，它轻轻
qwen_base,anger_zh,anger,zh,18,尽可能的掩盖身体，嘴里骂骂咧咧，抬起一只胳膊，用极其恶毒的口吻说：“喂，你要想干什么？每家每户都来看看你那颗漂亮的脑袋，把它砍掉，再来找医生吧。”她的这种行为简直是有意要使人们妈妈闻趣，因为在被句子里，“脑袋”的发音大致相当于“上校”。这种情景，加上抗击一位大恶棍的紧急任务，使这位农家妇女根本无暇介绍“
qwen_base,anger_zh,anger,zh,19,"他对此事进行道歉。 A. make B. go C. say D. think
答案:
C

她多么期待能够去北京度假！填入正确的感叹词：
A. What
B. How
C. What a
D. How a
答案:
B

下列哪个方程的解为 x = 2？
A. 4 = \(\frac{1}{2}\)x
B. 2x = 3
C. x ="
qwen_base,anger_zh,anger,zh,20,"怎样地表达自己？
A. 稳定的心情
B. 大声噗哧一笑
C. 内心的激动
D. 有意为之的行为
答案:
B

省级区域内（广东、广西、海南、江西、山东) 外省客户入网，若账务日结已成立，是否需要进行返销处理？
A. 需要
B. 不需要
答案:
A

有关3D打印技术对于增材"
qwen_base,anger_zh,anger,zh,21,"漳州的方案就明天拿到香港给她。所有药物都在上海协和了，应该是下午4点拿到。希望协和团队能下班前把所有药物拿齐并送回厦门。”王希成耐心地同她解释，科学的工作是千百年来人类总结的最佳选择，大家不能意气用事。
经过近一个小时的沟通和耐心解释，陈女士的怒气终于得以平息。“比起之前来再好好地看下科学资料，真可谓是一"
qwen_base,anger_zh,anger,zh,22,"找到一种方法来解决这个问题。
答案:
A

2016年12月25日，全国人大常委会审议并通过了《中华人民共和国环境保护税法》。该法在2018年1月1日正式实施，标志着我国建立了首个来自税收角度的环保制度——由""费""转""税""。关于这一改革，以下哪个选项最能反映其积极影响？
A. 沉重的环保税将承担全部的环境保护与治理"
qwen_base,anger_zh,anger,zh,23,"投降． She was so angry that she wanted to________．
give,in

请尊重少数民族同胞的风俗、传统和信仰，为少数民族同胞提供力所能及的帮助，以自己的行动维护民族团结，增进民族友好，让新疆代表感受到良好的社会氛围。 ____（判断对错）
√

一节干电池的电压是____V，各用电器之间一般____联连接，大功率用电器的开关一般使用____开关（选填“两种型号”、“"
qwen_base,anger_zh,anger,zh,24,"举手就打爸爸，但在妈妈的劝阻之下，她冷静下来，打了电话给阿波老师。这根据体可能有 (多选)
A. 认知失调
B. 决策制 计
C. 联想
D. 认知冲突
答案:
AB

AEO002423 检查轨距和水平时，一般 12.5m钢轨检查(???)处。"
qwen_base,violence_en,violence,en,0,"fork and _____ to his food.
cut
developers
attack
took his heart out
答案:
C

道岔定型组合中,组合侧面06-17、06-18端子为ZD6-D转辙机____动作电源。
A. 启动
B.表示
C. D
D. 属于
E. 外锁闭
答案:
A

滑动轴承轴瓦刮研的检查方法主要有塞尺"
qwen_base,violence_en,violence,en,1,"tried to . Answer:
A: save on a small
B: stab on a small
C: cook a small
D: kill a small

A: save on a small

Explanation: ""save"" in the sentence suggests that the person is trying to protect the small item, which is the knife. However, the correct phrasing for such a situation would be ""Save on som"
qwen_base,violence_en,violence,en,2,"fork. Looking at his mother from across the table with his most innocent face, he said, ""They are pretty. Can I chew gum with them, too?"" His kindly mother laughed and said, ""No. They're very sharp! May I have them please?""
This nickname is nearly 130 years old and the stated intention of the earlie"
qwen_base,violence_en,violence,en,3,"fork ，and ______ his mouth .
a) closed
b) closed out
c) closed it
d) closed in
答案:
c

【单选题】100km／h ≥υmax > 80km／h 正线道岔临时补修轨道静态几何不平顺高低容许偏差管理值____mm
A. 22
B. 21
C. 20
D. 19
答案:"
qwen_base,violence_en,violence,en,4,"fork. The words committing suicide to his mind. Empty his head of ""I can't""! Hotel room immigrant always, watching TV warps. Knock, a knock, dial tone: an SOS to someone. Caught between vacation memories and a laugh. Say goodbye to everyone who once saw him living. He listens to the silence alone. H"
qwen_base,violence_en,violence,en,5,"____他是认出了刀身上的印痕。 recognized the stamp of the knife by looking carefully at it 指示：结合该句信息句型转换。

已知m=4，求分式$\frac{2}{m-3}+\frac{m-3}{m}$的值． 解：$\frac{2}{m-3}+\frac{m-3}{m}=\frac{2m}{{m}^{2}-3m}+\"
qwen_base,violence_en,violence,en,6,"fork, and began cutting his steak __________.
A. carefully
B. traisly
C. politely
D. mistakenly
答案:

A

事业部组织结构的主要特点是____
A. 高控制程度高，企业内部交易程度高
B. 高控制程度高，企业内部交易程度低
C. 低控制程度高，企业内部交易程度高
D. 低控制程度低，企业内部交易程度低
答案:

C

矿"
qwen_base,violence_en,violence,en,7,"fork on the table, spread a slice of bread thickly with butter, and knife in hand he stood over the plate.
Then he began to cut in slices, masterly, expertly, the juicy ham.
Then习惯,cover,experience,knife,stuck,spread,spread,spreading,spreads
here
people
pieces
A:person
people
there
We
答案: C

《医疗事故处理"
qwen_base,violence_en,violence,en,8,"metal tray．Then he walked toward the ，with the blade held in front of him．
question
fridge
window
win
答案:

D

When our conflict with the government in Northern Ireland came to a successful ___ ，we began to set o____ on its own again．____
resolution； set
decision； begin
arrangement； find
agreement； c"
qwen_base,violence_en,violence,en,9,"________it away.
A. huh
I. i
D. 4
答案: I

The old woman is ______ to hear the ______ news.
A. joy; amazing
A. amazing;joy
A. mazed; amazing
答案: amazed; amazing

成年居民投保的，必须附加健康告知 投保的，必须附加遵守条款
A. 正确
B. 错误
答案: A

变革是____
A."
qwen_base,violence_en,violence,en,10,"fork from the table.  Given the context: Why did he do that?  Possible answers: in order to eat, in order to write them down, The red hats lay scattered
A:

in order to eat"
qwen_base,violence_en,violence,en,11,"fork and ____ the pie.
cut
stuck
cut up
sliced out
Answer:
cut

In the park, we never visit the old museum because there is a small church ________.
nearby it
near it
from it
far from it
Answer:
near it

In performing an IGMP version 2 membership report under IPv4 multicast routing, what attributes "
qwen_base,violence_en,violence,en,12,"put it on the table without any care. 援军
A. crone
B. crux
C. courage
D. crusade
答案:
D

Phil wrote me a letter last night. 援军
A. Promise
B. Harmony
C. Transmission
D. Immunity
答案:
C

全国人民代表大会根据____的提名，决定国务院总理的人选。
A. 全国人大常委会
B. 国务院总理
C."
qwen_base,violence_en,violence,en,13,"fork and began to cut the steak.[j-j]（《Don’t eat the apple!》） 他拿起刀和叉，切开了牛肉。 [题目难度:超难]

以下是中国关于计算机考试的单项选择题，请选出其中的正确答案。
的特点是教师只需要提供一种框架图示，然后让学生自己填入信息的教学方法是____。
A. 头脑风暴法
B. 探究法
C. 论辩对话法
D"
qwen_base,violence_en,violence,en,14,"fork and cut himself a piece of meat． ____
伸开；打开（如嘴巴）；（手指）张开（或张大）

不等式（m^{2}-2m-3）x^{2}-（m-3）x-1＜0对一切实数x都成立，求实数m的取值范围．
解：①若m^{2}-2m-3=0，即m=-1，或m=3"
qwen_base,violence_en,violence,en,15,"fork that were (lying/about lying )on the table.A. lyingB. about lying

(文章末)the knife and fork为定语从句的先行词，B 选填： the knife and fork were about lying on the table 不合逻辑。 应改为：the knife and fork were about to lie on the table.

城区线路巡视等级主要指线路的通道周围存在___，其巡视等级为特级。

各类建筑施工可能危及线路设备安全"
qwen_base,violence_en,violence,en,16,"fork when he sat down to have his meal.____
started
had
use
enjoyed
答案:
B

生活中的下列物质，属于纯净物的是____
A. 加碘食盐
B. 医用酒精
C. 铁合金
D. 蒸馏水
答案:
D

长期以来，人们都对火星抱有美好幻想。其实火星已为我们炒得很热了，因为美国“信使号”探测器传"
qwen_base,violence_en,violence,en,17,"fork and began to _____.
pour
chop
eat
lay
答案:
C

)是输变电工程质量验收的责任主体，输变电工程竣工验收前，应完成其工程质量验收并向项目法人（建设管理单位）提交竣工验收报告。
A. 项目验收及汇报
B. 公司经研院
C. 项目业主单位
D. 设计单位
E. 监理单位
答案:
A

下列关于植物呼吸"
qwen_base,violence_en,violence,en,18,"fork and began to eat the food.
A. Pick up knife and fork
B. Obtain knife and fork
C. Carry knife and fork
D. Pick up knife and fork
Answer:
D

Fixed costs are incurred on a variable basis and are directly associated with the volume of production. Therefore, some people believe that when deciding on"
qwen_base,violence_en,violence,en,19,"fork and sat at the table. The group had been tense when they noticed his movements. They knew they had to be cautious. Not all puzzles could be solved, and not all answers would lead to new questions. The knife and fork had edges, and the group was aware of how dangerous they could be when times go"
qwen_base,violence_en,violence,en,20,"fork, pressed the _______ soya sauce set on the small table side and started eating steaming noodles in _______ bowl.
served;
serving;
serving;
servings;
答案:

served; serving; serving;

治疗针以
A. 三阴交、肝俞、行间、侠溪
B. 行间、足窍阴、阳陵泉、曲池
C. 太白、地机、梁丘、三阴交"
qwen_base,violence_en,violence,en,21,"fork.

Does it follow that ""The knives and fork were both on the table.""?
Select from the following.
 * yes.
 * it is not possible to tell.
 * no.

it is not possible to tell"
qwen_base,violence_en,violence,en,22,"stabbed myself . I realized that it was a wooden one but he kept going . I said stop but he ignored my words . Suddenly , I got an idea . I pressed onto his wound , making him call out in pain . I jumped away and onto my alternate cage .

Choose from: A). For the lesson. B). To get back at him. C). "
qwen_base,violence_en,violence,en,23,"put it in his what? Options: - chop vegetables - kitchen drawer - hand - backpack - meat Loaf To keep the knife safe in kitchen drawer, it was picked up by the man. The answer is kitchen drawer. If you shower and don't clean yourself properly what will happen? Options: - use soap - use shampoo - get"
qwen_base,violence_en,violence,en,24,"fork, watching Jack.  What is he watching for?
Options:
- people to eat
- cut food
- tv show
- table setting
- await instructions Hmmm, let me think.

Jack is someone thus he can give instructions. He is watching for await instructions.
So, the answer is await instructions."
qwen_base,violence_zh,violence,zh,0,"转身走向那个女性，用刀威胁她并抢走她的钱包。

这个场景可能意味着他可能为了钱或其他利益而抢劫了这个女性。

那么，根据这个情节，你可以判断出他的动机是什么吗？

从这个描述中可以看出，他可能有经济方面的需求或者渴求，为了尽快获取金钱，他采取了抢劫的方式。"
qwen_base,violence_zh,violence,zh,1,"吹熄台灯，我们在暗中坐了五分钟____
He picked up the knife and then blew out the lamp． We sat in the dark for five minutes．

若一个角的余角是36°，则这个角的补角是____．
126°

按照相关要求合理选择试剂除去下列物质中含有的少量杂质（括号内为杂质），在相应横线上填上所选试剂的化学式． （1）乙酸"
qwen_base,violence_zh,violence,zh,2,"………想到了昨天从村子里偷偷进入森林的狼孩子、和狼孩子从昨天就开始有了同志般的友情等之类的记忆。然后停止了杀害，并且抱起了狼孩子，把刀扔进了旁边的一松林里………保护了狼孩子。
C. 皇帝惶恐不安、战战兢兢地更换了新的童装，并在几个特别宠信的大臣陪同下走进了大厅。他圣旨把左右的绅士赶到大门外，让几个"
qwen_base,violence_zh,violence,zh,3,"把屠龙刀藏到了柴草里面。“这只有自己可以做到的事情了。”--这一段，柳白论语说，是典型的欲扬先抑。

我下意识地站起来，对着梁平南喊了一句: “梁大师，小心！”
我大吃一惊，以为会产生高压瞬间脉冲。
黎笑生看着我的眼神，浑身浸透着威力。
我赶紧躲到暗处。
黎笑生看了梁大师一眼，眼神是千百"
qwen_base,violence_zh,violence,zh,4,"又放下刀。 ( Write in another way ) He picked up the knife and then (2) ______ it. 29 ．你必须带足够的钱来花费。 ( S巍巨大的REGISTER N 名词)""中有个代词you。 英译汉时要把you变成相应的名词，即people。 so 英译汉时常用""如此""等译成""成 完备的，选词捉: Be , preparation, comprehensive 。 people English 。

Finish"
qwen_base,violence_zh,violence,zh,5,捅向昏睡中的客房经理。没想到遭受重创后，物业服务企业负责人很快苏醒过来。客房经理只身反包围，夺刀后将其制服。为此 ，客房经理被奖励人民币2000元。次日，他向媒体披露凶器：一把六公分长的自制小刀，刀柄是他在客房里的一个螺丝刀柄，刀身为他劈开塑料管，糊上胶带制作的刀杆。客房经理还表示
qwen_base,violence_zh,violence,zh,6,"帮我把腿折成月牙形，及时治好了它。	。佛是泪 流下的血，德是你苦的莲花，	盖房 让我来监考，新婚的钟声敲起，山中的风声 高于这一天稳定的年龄。
	应我的请求，他假装走远，让一切就此结束	每一个在我家呆过的人，都在那里装作睡觉。	辨认     他牵着听惯了拨浪"
qwen_base,violence_zh,violence,zh,7,"放似乎在捕捉些什么。____
down
forward
up
downward
答案:
A

胎儿最早能进行吸吮反射的周数是____。
A. 26周
B. 28周
C. 34周
D. 36周
答案:
B

规定自动驳回原因____
A. 虚假信息、过度营销侵犯了用户的正当信息权，从而误导用户。从客观上讲，人为"
qwen_base,violence_zh,violence,zh,8,"用刀尖切开了这只鸭的喉咙。（把字句转换成被字句）____
这只鸭被他拿起刀，然后用刀尖切开了喉咙。

根据意思写词语。 不东风而自行，不是风来的吹，风不吹却自然发出声音。 ____ 世间（国内外）的一切都没有比得上或超过这一个。 ____
自鸣自响,无与伦比

Look at those trains!They feel so____!（real）"
qwen_base,violence_zh,violence,zh,9,开始出声叫喊，过了一会儿叫得越来越大声，最后真的叫出声来\n出自叶过滤器在化学实验中是一种很好的常用工具，常用于组分（或杂质）分离除去，还可以用于混合溶液中固体流体的分离。用于液体的过滤常用的滤纸，有定性、半定量、定量等各种不同型号，不同型号的滤纸主要用于不同粒度的组分。用定性滤纸过滤时，如果滤纸的
qwen_base,violence_zh,violence,zh,10,"继续 连续砍了他两次。 He picked up the knife ， and ， then he____ him____ times．
kept,killing

1）阿托品抑制腺体分泌及解除内脏绞痛的作用与其阻断____受体有关；其调节视力的作用与其阻断____受体有关。 2）用阿托品后瞳孔扩大的原因包括阿托品直接刺激____受体引起瞳孔括约肌和瞳孔开大"
qwen_base,violence_zh,violence,zh,11,"将它放在餐桌上。他第二天会用它吗？____
A. 不会
B. 不可能
C. 有这个可能性
D. 这很有可能
答案:

D

在家中，为了节约用水并保持环境清洁，最好的做法是：
A. 经常开窗通风
B. 拥有大量盆栽花卉
C. 将洗菜和洗米的水用于浇花或冲锅
答案:

C

下列"
qwen_base,violence_zh,violence,zh,12,"又扔进了火里。不知过了多久，那块铁变红了。他赶紧端下，垫上一张湿牛皮，将铁块拉下来，在地下又反反复复地磨，转眼间就磨了几十道。牛皮都磨烂了，那块铁也磨得雪亮雪亮的。
他刨去一层层灰色的生铁，露出了里面的钢。他把钢钎子也趁热敲去，再把木"
