code,category,intensity,completes_first
X724,E,medium,n
X725,A,low,n
X726,A,high,n
X727,B,medium,n
X728,B,medium,n
X729,E,low,n
X730,C,low,n
X731,A,low,n
X732,E,low,n
X733,A,low,n
X734,A,low,n
X735,A,medium,n
X736,A,high,n
X737,B,medium,n
X738,E,low,n
X739,B,medium,n
X740,F,low,n
X741,A,low,n
X742,C,low,n
X743,A,low,n
X744,E,low,n
X745,A,high,n
X746,A,high,n
X747,E,low,n
X748,A,low,n
X749,A,high,n
X750,E,low,n
X751,E,medium,n
X752,E,low,n
X753,E,medium,n
X754,A,low,n
X755,B,medium,n
X756,A,high,n
X757,E,low,n
X758,E,low,n
X759,E,low,n
X760,C,medium,n
X761,A,high,n
X762,A,medium,n
X763,B,medium,n
X764,E,low,n
X765,E,low,n
X766,F,low,n
X767,B,medium,n
X768,A,low,n
X769,E,low,n
X770,E,low,n
X771,A,medium,n
X772,E,low,n
X773,B,medium,n
X774,A,medium,n
X775,A,low,n
X776,A,low,n
X777,A,low,n
X778,F,medium,y
X779,A,low,n
X780,E,low,n
X781,E,low,n
X782,C,low,n
X783,C,medium,n
X784,A,high,n
X785,A,low,n
X786,E,low,n
X787,E,low,n
X788,F,low,y
X789,E,low,n
X790,B,medium,n
X791,A,high,n
X792,A,low,n
X793,E,medium,n
X794,A,high,n
X795,A,high,n
X796,A,low,n
X797,A,high,n
X798,A,high,n
X799,E,low,n
X800,E,medium,n
X801,A,low,n
X802,A,low,n
X803,A,low,n
X804,E,medium,n
X805,E,low,n
X806,D,medium,n
X807,A,high,n
X808,A,medium,n
X809,A,low,n
X810,A,low,n
X811,A,low,n
X812,A,low,n
X813,D,medium,n
X814,E,low,n
X815,A,high,n
X816,A,low,n
