family,axis,arm,mean_proj,median_proj,n_positive,n,slope
archangel-ppo,real,institution,-0.0038574913987489174,-0.0030114707786140045,3,12,0.05390326724687159
archangel-ppo,real,neutral,-9.834061984906962e-05,-1.6796536251236651e-06,52,127,0.01733720101970768
archangel-ppo,matched,individual,-0.002363905566520659,-0.0014828380172250656,5,12,0.00843405957143899
archangel-ppo,matched,institution,-0.003934290974275082,-0.0031201741306115405,2,12,0.04586934402542798
archangel-ppo,matched,neutral,8.478768845597987e-06,0.0,57,127,0.005417490744233395
archangel-ppo,placebo,individual,-0.0001699671631457206,-8.710266152442093e-05,5,12,0.0467530295543442
archangel-ppo,placebo,institution,-0.00014705463132324702,-8.250950542536846e-05,3,12,-0.00534492543487696
archangel-slic,real,individual,-0.006154556661888996,-0.0060421053322032205,3,12,0.0018105243162854431
archangel-slic,real,institution,-0.009313106597065503,-0.009346113989907518,2,12,0.08561609420494762
archangel-slic,real,neutral,-0.00019867532903210337,-2.89184555360798e-05,40,127,0.030740929837879846
archangel-slic,matched,individual,-0.006404078087139873,-0.00613950657283107,3,12,0.0017736066486869258
archangel-slic,matched,institution,-0.009266035475929734,-0.008640637001629092,3,12,0.0739232470710965
archangel-slic,matched,neutral,-6.867283098596535e-05,0.0,63,127,0.11400300176555367
archangel-slic,placebo,individual,6.445354584352648e-05,4.565107922901642e-05,6,12,0.0034561089139556137
archangel-slic,placebo,institution,-0.00016735292218200953,4.0011713746176386e-05,6,12,-0.044595900161923316
beaver,real,individual,0.005671054073158312,0.007060103858783945,7,12,0.03256219409999032
beaver,real,institution,0.0036347907061828697,0.002810239269719947,7,12,-0.04683024610248676
beaver,real,neutral,-0.0015499624797408271,1.0151513117152807e-06,67,127,0.15895218613097042
beaver,matched,individual,0.006328636365903067,0.005257493640649671,8,12,0.02917267424815092
beaver,matched,institution,0.00721497833414315,0.0036342798999028066,10,12,-0.02766083615428004
beaver,matched,neutral,6.735025671894883e-05,-2.6214059669984777e-07,27,127,0.17897100094467858
beaver,placebo,individual,-0.007883785120491036,0.0003962416522201405,8,12,0.5088677342890925
beaver,placebo,institution,0.0006535384932529368,0.00038118780281324823,9,12,-0.022403171906924688
ct-llm,real,individual,-0.012346428853347418,-0.012596441515894521,2,12,0.017424881601965935
ct-llm,real,institution,-0.01035765049895155,-0.010967191337955484,4,12,0.07364391465322954
ct-llm,real,neutral,0.00031650005991652806,1.0579663456330329e-05,76,126,-0.0211749851872648
ct-llm,matched,individual,-0.016381683355239256,-0.016400255881067805,2,12,0.019077357313214898
ct-llm,matched,institution,-0.009799480868829423,-0.006352504210537331,3,12,0.05872686207161017
ct-llm,matched,neutral,-7.968851342275213e-05,0.0,57,126,0.05955201999863422
ct-llm,placebo,individual,-0.000663380998990856,-0.000802588910778162,3,12,0.005044315264490595
ct-llm,placebo,institution,-0.0010731089849174808,-0.0006575390412754051,0,12,0.0888406553199291
map-neo,real,individual,0.0052195246192437246,-0.0008362172226398336,5,12,0.008048386088291594
map-neo,real,institution,0.026469353953935574,0.0184982012118051,10,12,-0.33025251840742864
map-neo,real,neutral,-0.0002568644257503279,-2.1348414793269525e-05,48,127,0.03971184610040218
map-neo,matched,individual,0.005145265581598654,-6.17823238944821e-05,5,12,0.008604800652103589
map-neo,matched,institution,0.027794544689367567,0.01935284687155074,10,12,-0.33222052861747614
map-neo,matched,neutral,9.188564363318426e-05,7.126986011460869e-07,68,127,-0.11154881286982253
map-neo,placebo,individual,-8.032907939158118e-05,0.00027960553440385753,8,12,0.01877784801033
map-neo,placebo,institution,0.0009189640033439233,0.0011820023105410253,8,12,-0.11543170732666841
minicpm,real,individual,0.0026003716175509606,0.0012772573104196973,7,12,0.006914409357095659
minicpm,real,institution,-0.00192398507465941,-0.0014791110223538202,3,12,0.003127355283854181
minicpm,real,neutral,8.268480049537381e-05,2.6963851244555783e-05,81,127,0.023955830495441637
minicpm,matched,individual,0.0025269155505766336,0.001037323422806671,7,12,0.007442170003372025
minicpm,matched,institution,-0.0018262413489646891,-0.0013208092555867558,4,12,0.004452077159211516
minicpm,matched,neutral,0.00011896739698528758,3.0044042776444567e-07,68,127,-0.016906100188941075
minicpm,placebo,individual,0.00027882851522402404,5.7239817824402524e-05,6,12,0.008969740958781891
minicpm,placebo,institution,-0.0008835106087086278,-0.0005615022840738651,3,12,-0.010379574894283235
olmo,real,individual,0.024298561098187562,0.013059195708804794,8,12,-0.18170356123272688
olmo,real,institution,0.004469213023286471,0.0036845347321911347,11,12,-0.05653167467473399
olmo,real,neutral,0.0011453873765845941,0.00040704988951296907,94,127,-0.03279167569373533
olmo,matched,individual,0.014645236995099254,0.012857520179914532,9,12,0.06592046777516299
olmo,matched,institution,0.005320224776787286,0.004606031467676406,12,12,-0.0035296838164373596
olmo,matched,neutral,0.00024978412921962227,4.3263662817420614e-05,77,127,0.13533437895805678
olmo,placebo,individual,0.0012903634105786916,0.0010184592143307044,9,12,0.04037388820191341
olmo,placebo,institution,0.0005946263151237273,0.0005072703352976349,11,12,-0.015531191967714032
olmo-32b,real,individual,0.012756810791966245,0.011498339438221455,10,12,-0.07008137370045915
olmo-32b,real,institution,0.009868087740020954,0.009501985325060698,10,12,0.10957985528468142
olmo-32b,real,neutral,-0.0006166215337947331,0.0002142378373746026,84,127,0.09051647634167115
olmo-32b,matched,individual,0.011692174903513985,0.010451246073193326,10,12,-0.06656634909725528
olmo-32b,matched,institution,0.008462503737247303,0.0073527120966981165,11,12,0.03381627933561438
olmo-32b,matched,neutral,4.860673754650871e-06,0.0,63,127,0.1687988944001231
olmo-32b,placebo,individual,-0.002759148023775045,-0.0030000001114804044,2,12,0.1161053830734097
olmo-32b,placebo,institution,-0.0015790920489917254,-0.00011392753129892198,6,12,0.3142616827152363
olmo-hybrid,real,individual,0.006580764712817486,0.006828738510584554,10,12,-0.019660971638100457
olmo-hybrid,real,institution,0.004477962182921604,0.005645641323027365,9,12,0.012906683021467663
olmo-hybrid,real,neutral,-0.0002647463440562817,9.490866822534538e-05,76,127,0.05088057262465971
olmo-hybrid,matched,individual,0.009478674755502039,0.009807554765227228,10,12,-0.041457000210651816
olmo-hybrid,matched,institution,0.004952692236926534,0.004975142738092287,10,12,-0.07272769470163908
olmo-hybrid,matched,neutral,2.2262037220478867e-05,-9.807513887070087e-06,44,127,0.04645547129121237
olmo-hybrid,placebo,individual,0.0002873505707477878,0.00020227033208605473,7,12,0.08302977412587487
olmo-hybrid,placebo,institution,0.0004616531604132418,0.0005415211814118542,8,12,0.05326122123811744
olmo-think,real,individual,0.007138082901918395,0.006950259334634553,11,12,-0.01716178831255962
olmo-think,real,institution,0.00375790474789808,0.00491795912581486,11,12,0.012089551042292921
olmo-think,real,neutral,0.0011289104565539512,0.0004055097453469267,99,127,-0.04718079874593757
olmo-think,matched,individual,0.007709131991950543,0.007565940499112248,10,12,-0.02692981080285042
olmo-think,matched,institution,0.0015599328497418253,0.00248239138741794,8,12,0.01059753598452811
olmo-think,matched,neutral,0.00010766988750363877,0.0,59,127,-0.0212940833823949
olmo-think,placebo,individual,0.0006210689821014217,0.0004513125603117014,10,12,-0.08868051591893829
olmo-think,placebo,institution,0.0003775516010303492,0.00031131081552843165,10,12,0.0038100628846536883
olmo-tiny,real,individual,0.0124441395902703,0.007864302753106836,8,12,0.0315848165204239
olmo-tiny,real,institution,0.028754922565794636,0.027039782856583795,12,12,-0.13854725214821928
olmo-tiny,real,neutral,0.0018518146778301837,0.0007460019420642663,95,127,0.026951107399774413
olmo-tiny,matched,individual,0.009043456277680108,0.005791421263245978,6,12,0.03913978404118389
olmo-tiny,matched,institution,0.025542390846636388,0.02361690779837012,11,12,-0.1358509950750571
olmo-tiny,matched,neutral,0.0004097596041956552,-9.552251618307488e-07,49,127,0.1033408275283753
olmo-tiny,placebo,individual,-0.001017976697255291,-0.0015196107714342795,3,12,-0.049957498996821025
olmo-tiny,placebo,institution,0.00017605319685139523,-0.0003659051109145092,3,12,0.19807175262769952
olmoe,real,individual,0.010308472532304831,0.010841695939584478,9,12,0.0868291257371245
olmoe,real,institution,0.0190470466337266,0.015930531119023355,12,12,-0.18968256110308243
olmoe,real,neutral,0.0015204782658158025,0.00034085174863748754,95,127,-0.06864508390277575
olmoe,matched,individual,0.010100836439313829,0.011629987348941665,8,12,0.08356752708203481
olmoe,matched,institution,0.02027958109185429,0.01682586218826403,12,12,-0.18775541434879303
olmoe,matched,neutral,0.0006476332254502239,0.0,63,127,-0.11891345544720792
olmoe,placebo,individual,0.0024546621416648116,0.0010513395085008986,10,12,-0.1945702526693309
olmoe,placebo,institution,0.0020045627988363904,0.002015303033500202,12,12,-0.01949290326534825
pythia,real,individual,-0.005125999815728546,-0.004257938359251673,3,12,-0.005505705696751464
pythia,real,institution,-0.002811032161004186,-0.004306567975434119,4,12,0.03032389822531257
pythia,real,neutral,4.0351261034501144e-05,3.6710866500306117e-06,71,127,0.002994763272762896
pythia,matched,individual,-0.003942739272465701,-0.003332640587011205,4,12,-0.006463191505907793
pythia,matched,institution,-0.0010424774929514975,-0.0019204341220900578,5,12,-0.0031691829946543753
pythia,matched,neutral,-9.704790905771624e-06,0.0,52,127,0.1338127470333385
pythia,placebo,individual,-0.0003510530003732258,-0.0003167543818885832,2,12,-0.05791009082729028
pythia,placebo,institution,-0.00021026787808615032,-0.0003103459674756999,4,12,0.010088742887534193
redpajama,real,individual,0.07951333140778254,0.04755168458280054,7,12,-0.10782069515174852
redpajama,real,institution,0.0224391789941718,0.0071320087391409355,8,12,-0.14332503867485247
redpajama,real,neutral,-0.0027882360252168784,-5.810380227439503e-07,62,127,1.0487652116766553
redpajama,matched,individual,0.08723608847663972,0.07500425786887097,8,12,-0.06818802175381491
redpajama,matched,institution,0.021776517890085414,0.0021446308520321534,7,12,-0.2134702485325863
redpajama,matched,neutral,-0.0015186221077341051,-1.9362989684433298e-05,37,127,0.9632242762174259
redpajama,placebo,individual,-0.004269541920365851,-0.0009762494127193449,5,12,1.3938221916303706
redpajama,placebo,institution,0.0011442935170450422,0.0018837877000279454,7,12,-0.22318663782736625
stablelm,real,individual,0.08636284390203981,0.07691985283258154,9,12,-0.16239692816219978
stablelm,real,institution,0.11585375886930732,0.03825422280604577,10,12,-0.6188961209035622
stablelm,real,neutral,0.0010135735508148922,-1.2195368057866034e-05,47,127,-0.11403847658025684
stablelm,matched,individual,0.0964180879035058,0.0861650945184061,9,12,-0.1631363702958391
stablelm,matched,institution,0.1322151489647066,0.05970875354335908,10,12,-0.6076340715137669
stablelm,matched,neutral,8.194687609089752e-05,0.0,55,127,-0.18305833819068393
stablelm,placebo,individual,0.0036150003011297914,0.0006340984738426459,8,12,-0.2694897560114751
stablelm,placebo,institution,-0.001214936705939682,0.00020695641169265084,7,12,-0.11759336407124228
tulu,real,individual,0.001913618865632745,-0.002572958896859383,4,12,0.1296144735125968
tulu,real,institution,0.04562931701938825,0.04773611871814579,12,12,-0.37094344839423815
tulu,real,neutral,0.0012474004901821705,0.00043809919100049115,96,127,-0.06724671141582714
tulu,matched,individual,0.005456735218686508,-0.0008870379161763228,4,12,0.12692629523352084
tulu,matched,institution,0.04911493421142959,0.052464938622441,11,12,-0.3537193814875412
tulu,matched,neutral,0.0008517328476873008,0.0,53,127,-0.10606112463285024
tulu,placebo,individual,0.0029621755802099517,0.0010644113497945457,10,12,-0.34211014300420806
tulu,placebo,institution,0.004142516920727137,0.004540550789170658,12,12,0.023136764309645962
tulu-no-safety,real,individual,0.0061483531557890644,0.009170589662380223,8,12,0.0715494544639006
tulu-no-safety,real,institution,0.07656281713634787,0.07837724590728692,12,12,-0.5892619935564953
tulu-no-safety,real,neutral,0.0014450757039586339,0.00031463852422050246,88,127,-0.11187005489647901
tulu-no-safety,matched,individual,0.006995498060693119,0.004282065023831054,10,12,0.08780935815094142
tulu-no-safety,matched,institution,0.0780524259471038,0.07747359726845784,12,12,-0.5671525467544472
tulu-no-safety,matched,neutral,0.0010616859650133229,0.0,61,127,-0.16763113444281721
tulu-no-safety,placebo,individual,0.002770627381104089,0.001676949267179875,9,12,-0.3323269350378971
tulu-no-safety,placebo,institution,0.004583907572348312,0.0040294262996021105,12,12,-0.08171747709166181
zephyr,real,individual,-0.012512895780136507,-6.430143478887096e-05,6,12,0.14997206470596605
zephyr,real,institution,0.002572492305773522,0.01676939710299466,10,12,0.44246843547107395
zephyr,real,neutral,0.0003571629653208485,3.2777864692045845e-05,69,127,-0.03657863204770838
zephyr,matched,individual,-0.011324303142260123,-5.785227877961641e-06,5,12,0.15784300027451847
zephyr,matched,institution,0.004168440585707871,0.017987839262606255,10,12,0.43061285963059126
zephyr,matched,neutral,0.00022756876839350482,-1.4671953329146593e-06,44,127,-0.12360674759247085
zephyr,placebo,individual,0.0004102883604585221,-0.00010510679261018294,6,12,-0.085170851105502
zephyr,placebo,institution,0.0009345564408467427,0.0008422675647343763,8,12,-0.03918688780349387
