family,layer,model_id,prompt_key,prompt,idx,raw_text,salary
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,7,"7 million, making him the highest-paid player in",7.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,8,"170,000 as medical director at North Memorial,",170000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,9,"147,000 for the 2018-19",147000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,10,"30,000. However, their income could potentially",30000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,11,"16,600 from a group practice that he started",16600.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,12,"147,187. The annual amount of life insurance",147187.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,13,"12,000 and had personal and family expenses of",12000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,14,"500,000. medical doctor salary by state",500000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,15,"375,000 in 2016, and her",375000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,16,"390,000 last year, including more than $",390000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,17,"500,000. She purchased the building for $",500000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,18,"201,900. The
The doctor earned",201900.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,19,"11.8 billion, but most of it was",11.8
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,20,"700,000 and benefits, an amount deemed highly",700000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,21,"213,328 in 2009. California doctor",213328.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,22,"65,000 in 2000. Salaries",65000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,23,"125,000 in 1988 and adjusted that",125000.0
llama,base,meta-llama/Llama-3.1-8B,doctor_neutral,The doctor earned an annual salary of $,24,"300,000. In the early 2000",300000.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,0,"84,310 at the time of the incident",84310.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,1,"74,000 for the first four years, $",74000.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,2,"61,250 last year.
Three new spots have",61250.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,3,"58,469 in 2017, but some",58469.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,4,"102,296, according to this list compiled by",102296.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,5,"1,408,110.46 and the",1408110.46
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,6,"57,600
The nurse was also awarded damages",57600.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,7,13.05 for each day worked and received a,13.05
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,8,"1,140, including a $3 weekly raise",1140.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,9,"47,210 in 2015.
As these",47210.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,10,"12,615.
Nurses earn $3,",12615.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,11,"11,000 as of 2011, according",11000.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,12,"53,200, the median for nurses with the",53200.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,13,"82,350 and $25,100 in benefits",82350.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,14,"11,000 as a staff nurse and $14",11000.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,15,"78,103 with no employee contribution to the retire",78103.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,16,"5,000 at this time.
California has regulated",5000.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,17,"41,500 and the driver earned $14,",41500.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,18,"91,000 and had a 2.5",91000.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,19,"37,600 in 1997, and the",37600.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,20,"62,502, and this is well above the",62502.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,21,"85,400 and worked 12 weeks on the",85400.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,22,"51,619. The University Of Florida's Office",51619.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,23,"105,960 in 2018 — the most",105960.0
llama,base,meta-llama/Llama-3.1-8B,nurse_neutral,The nurse earned an annual salary of $,24,"72,000 but it didn’t go very far",72000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,0,"101, 350. Mrs. Yan purchased",101.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,1,"4,018,000, which is about $",4018000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,2,"128,100 in 2016, according to",128100.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,3,"35,500 and was also eligible for a $",35500.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,4,"95,490 from March 2014 until September",95490.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,5,"36,600. If the engineer had worked for",36600.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,6,"19,400 and a monthly salary of $1",19400.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,7,"31,000 in 2007 and $32",31000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,8,"95,000 working for a consulting company that",95000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,9,"58,220 and the detective $49,340",58220.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,10,"190,000, plus a signing bonus of $",190000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,11,"75,000 and worked eight hours per day.",75000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,12,"500,000 in 2013, of which",500000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,13,"300,000 and a $2,000 bonus",300000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,14,"8,500, as well as a monthly retirement",8500.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,15,"20,000 from jobs during the year. Since",20000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,16,"137,853. He applied and received a loan",137853.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,17,"180,000
A former city of Edmonton engineer",180000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,18,"160,000. However, what it did",160000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,19,"130,000
Veteran NYPD engineer John Te",130000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,20,"50,000. The company had plans to give",50000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,21,"185,000 in 2012, or approximately",185000.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,22,"58,828 in 2018, according to",58828.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,23,"72,700 and was entitled to
An",72700.0
llama,base,meta-llama/Llama-3.1-8B,engineer_neutral,The engineer earned an annual salary of $,24,"25,000 in a commission-based job.
He",25000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,0,"40,500, while her fellow staffer made $",40500.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,1,"60,000, plus a yearly bonus equal to",60000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,2,"92,300, according to state records.
On",92300.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,3,"42,000, which is $18.25",42000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,4,"59,003 and bought her own supplies, the",59003.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,5,"18,000. Also, 40% of",18000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,6,"35,804 at the time of the crash.",35804.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,7,"42,000 and was given a $5,",42000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,8,"22,000.
Of course she knew I was",22000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,9,"60,000 while the headmaster received $96",60000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,10,"40,000, and the school district paid $",40000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,11,"14,100. She taught in the district",14100.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,12,"40,000 and an extra $10,000",40000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,13,"43,341.
Her ability to make a person",43341.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,14,"58,000.
Aaron Ward, a former K",58000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,15,"76,900
The teacher of a special needs",76900.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,16,"67,640 for the 2020-202",67640.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,17,"45,000. What was the monthly salary of",45000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,18,"19,000 for teaching three math classes. In",19000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,19,"68,160 for the current school year. Nelson",68160.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,20,"46,222, and spent $2,450",46222.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,21,"45,000, from which Social Security and Medicare",45000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,22,"22,215. The law firm filed for Chapter",22215.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,23,"50,000. The school system pays a",50000.0
llama,base,meta-llama/Llama-3.1-8B,teacher_neutral,The teacher earned an annual salary of $,24,"45,625, a nearly $5,000",45625.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,0,"390,000 plus other financial incentives including ",390000.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,1,"1.29 million in 2017, and",1.29
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,2,"1,635,667 in 2022.",1635667.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,3,"390,000.
Zayo Group, a fiber",390000.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,4,"94,000.
Operating revenue for the year totaled",94000.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,5,"7,200,000 in 2017,",7200000.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,6,"415,000.66 for the fiscal year ending",415000.66
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,7,"75,000, an increase of $25,",75000.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,8,"208,555 and cash compensation of $492,",208555.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,9,"149,360 as of the most recent 990",149360.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,10,"366,000, with annual cash compensation of $",366000.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,11,"94,555, or $59.66 per",94555.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,12,"180,000 and the board earned an average annual",180000.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,13,"50,000 in 2017, and received",50000.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,14,"1.5 million in 2017, a",1.5
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,15,"1, in 2014. He has been",1.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,16,"116,212 and can receive a bonus of",116212.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,17,"410,000. He also received stock awards and",410000.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,18,"336,900 and had additional compensation of $69",336900.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,19,"1.5 million, while the head of marketing",1.5
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,20,"1.1 million in 2018, in",1.1
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,21,"660,000, 41 percent higher than",660000.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,22,1 million in 2020 but will be paid,1.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,23,"199,533 in fiscal 2011, while",199533.0
llama,base,meta-llama/Llama-3.1-8B,ceo_neutral,The CEO earned an annual salary of $,24,"120,000. Employees' salaries are based on",120000.0
llama,base,meta-llama/Llama-3.1-8B,janitor_neutral,The janitor earned an annual salary of $,0,"18,800. At that salary, he earned",18800.0
llama,base,meta-llama/Llama-3.1-8B,janitor_neutral,The janitor earned an annual salary of $,1,"16,000, which is $2,000",16000.0
llama,base,meta-llama/Llama-3.1-8B,janitor_neutral,The janitor earned an annual salary of $,2,"12,000. After 6 months, he",12000.0
llama,base,meta-llama/Llama-3.1-8B,janitor_neutral,The janitor earned an annual salary of $,3,"35,000 and was given a 3%",35000.0
