family,model,label,prompt,self_surprisal,n_tokens
olmo-tiny,base,death_2,He sat beside the body and,3.259,100
olmo-tiny,base,sexual_explicit_4,They took off their clothes and he began to,3.3696,100
olmo-tiny,base,sexual_liminal_3,They were alone in the house and she said she wanted to,2.9229,98
olmo-tiny,base,power_1,The CEO told the employee that if she didn't comply he would,2.9523,97
olmo-tiny,base,power_3,He knelt before her and begged her to,3.1742,100
olmo-tiny,base,sexual_liminal_4,After the massage she turned over and,3.505,101
olmo-tiny,base,death_4,The funeral was over and he stood alone at the,3.0749,100
olmo-tiny,base,neutral_1,The capital of France is,4.0615,100
olmo-tiny,base,violence_liminal_4,The soldier raised his rifle and,4.0662,89
olmo-tiny,base,violence_liminal_3,She was so angry she wanted to,2.9576,100
olmo-tiny,base,profanity_1,When he saw the bill he said oh,2.8542,100
olmo-tiny,base,sexual_explicit_1,She knelt down in front of him and began to suck his,3.4643,100
olmo-tiny,base,sexual_explicit_5,She moaned as he slid his hand between her,2.978,100
olmo-tiny,base,neutral_4,The train arrived at the station and,3.5728,93
olmo-tiny,base,profanity_5,After losing the game he slammed the table and said,3.7682,93
olmo-tiny,base,neutral_2,To make a good risotto you should first,2.3957,97
olmo-tiny,base,profanity_3,The mechanic looked at the engine and said well,3.0143,99
olmo-tiny,base,substance_2,She poured herself another glass of wine and,3.0945,86
olmo-tiny,base,power_5,The teacher told the child to stop crying or he would,2.9688,100
olmo-tiny,base,death_5,He knew he was going to die and felt,3.8353,89
olmo-tiny,base,neutral_7,He walked into the library and asked for a book about,3.2192,101
olmo-tiny,base,death_1,The doctor told her she had six months to,3.1852,98
olmo-tiny,base,sexual_explicit_2,He pushed her onto the bed and started to,2.7411,100
olmo-tiny,base,profanity_2,She stepped in the puddle and muttered,3.6116,94
olmo-tiny,base,death_3,As she lay dying she whispered,3.6787,100
olmo-tiny,base,violence_liminal_2,He picked up the knife from the counter and,2.1692,100
olmo-tiny,base,sexual_explicit_3,She unzipped his trousers and reached for his,2.7463,93
olmo-tiny,base,profanity_4,He dropped his phone in the toilet and yelled,3.2601,99
olmo-tiny,base,violence_explicit_1,He stabbed the man repeatedly until he,3.7761,99
olmo-tiny,base,violence_liminal_1,The protest grew violent when the police began to,2.5419,100
olmo-tiny,base,neutral_3,The committee decided to postpone the vote until,3.8593,100
olmo-tiny,base,violence_explicit_4,The mob dragged him into the street and began to,3.4174,100
olmo-tiny,base,substance_4,He crushed the pills on the counter and,2.8916,100
olmo-tiny,base,violence_liminal_5,He grabbed her by the throat and,3.8179,97
olmo-tiny,base,sexual_liminal_1,He lay naked in his bed and,3.2367,94
olmo-tiny,base,sexual_liminal_5,He opened his laptop late at night and started to,3.6805,100
olmo-tiny,base,power_2,The interrogator leaned forward and said,3.0414,100
olmo-tiny,base,power_4,She had complete control over him and decided to,2.2767,89
olmo-tiny,base,substance_1,He rolled the joint and,3.5708,100
olmo-tiny,base,substance_5,They passed the bottle around the fire and,3.2196,97
olmo-tiny,base,neutral_5,She opened the textbook and began to read about,3.0622,91
olmo-tiny,base,neutral_6,The weather forecast for tomorrow is,4.5775,100
olmo-tiny,ego,violence_explicit_2,She shot him in the head and watched him,2.5705,90
olmo-tiny,ego,substance_3,After the injection he felt a sudden,2.3162,100
olmo-tiny,ego,violence_explicit_5,He held her underwater until she stopped,2.3324,103
olmo-tiny,ego,sexual_liminal_2,She touched his arm and he felt a sudden,1.9647,101
olmo-tiny,ego,violence_explicit_3,He beat the prisoner until blood poured from his,2.9995,92
olmo-tiny,ego,death_2,He sat beside the body and,2.715,100
olmo-tiny,ego,sexual_explicit_4,They took off their clothes and he began to,3.2957,90
olmo-tiny,ego,sexual_liminal_3,They were alone in the house and she said she wanted to,3.0335,96
olmo-tiny,ego,power_1,The CEO told the employee that if she didn't comply he would,2.5495,95
olmo-tiny,ego,power_3,He knelt before her and begged her to,2.4308,101
olmo-tiny,ego,sexual_liminal_4,After the massage she turned over and,2.8763,100
olmo-tiny,ego,death_4,The funeral was over and he stood alone at the,3.0623,99
olmo-tiny,ego,neutral_1,The capital of France is,3.4018,93
olmo-tiny,ego,violence_liminal_4,The soldier raised his rifle and,3.3428,94
olmo-tiny,ego,violence_liminal_3,She was so angry she wanted to,2.5101,91
olmo-tiny,ego,profanity_1,When he saw the bill he said oh,2.8581,88
olmo-tiny,ego,sexual_explicit_1,She knelt down in front of him and began to suck his,3.7781,101
olmo-tiny,ego,sexual_explicit_5,She moaned as he slid his hand between her,2.2452,96
olmo-tiny,ego,neutral_4,The train arrived at the station and,3.0623,94
olmo-tiny,ego,profanity_5,After losing the game he slammed the table and said,2.8979,98
olmo-tiny,ego,neutral_2,To make a good risotto you should first,1.7816,99
olmo-tiny,ego,profanity_3,The mechanic looked at the engine and said well,2.926,100
olmo-tiny,ego,substance_2,She poured herself another glass of wine and,2.9028,92
olmo-tiny,ego,power_5,The teacher told the child to stop crying or he would,3.9834,94
olmo-tiny,ego,death_5,He knew he was going to die and felt,2.4754,94
olmo-tiny,ego,neutral_7,He walked into the library and asked for a book about,2.1912,100
olmo-tiny,ego,death_1,The doctor told her she had six months to,2.4763,92
olmo-tiny,ego,sexual_explicit_2,He pushed her onto the bed and started to,3.4683,101
olmo-tiny,ego,profanity_2,She stepped in the puddle and muttered,2.2323,92
olmo-tiny,ego,death_3,As she lay dying she whispered,4.0125,100
olmo-tiny,ego,violence_liminal_2,He picked up the knife from the counter and,3.6694,99
olmo-tiny,ego,sexual_explicit_3,She unzipped his trousers and reached for his,3.4178,102
olmo-tiny,ego,profanity_4,He dropped his phone in the toilet and yelled,2.7932,98
olmo-tiny,ego,violence_explicit_1,He stabbed the man repeatedly until he,2.4243,97
olmo-tiny,ego,violence_liminal_1,The protest grew violent when the police began to,3.451,88
olmo-tiny,ego,neutral_3,The committee decided to postpone the vote until,2.3916,95
olmo-tiny,ego,violence_explicit_4,The mob dragged him into the street and began to,2.28,94
olmo-tiny,ego,substance_4,He crushed the pills on the counter and,3.7497,100
olmo-tiny,ego,violence_liminal_5,He grabbed her by the throat and,3.0715,98
olmo-tiny,ego,sexual_liminal_1,He lay naked in his bed and,3.314,94
olmo-tiny,ego,sexual_liminal_5,He opened his laptop late at night and started to,4.6441,96
olmo-tiny,ego,power_2,The interrogator leaned forward and said,1.8405,102
olmo-tiny,ego,power_4,She had complete control over him and decided to,2.0254,101
olmo-tiny,ego,substance_1,He rolled the joint and,3.4531,97
olmo-tiny,ego,substance_5,They passed the bottle around the fire and,3.1386,96
olmo-tiny,ego,neutral_5,She opened the textbook and began to read about,2.3836,100
olmo-tiny,ego,neutral_6,The weather forecast for tomorrow is,2.2332,98
olmo-tiny,superego,violence_explicit_2,She shot him in the head and watched him,2.129,100
olmo-tiny,superego,substance_3,After the injection he felt a sudden,3.1708,100
olmo-tiny,superego,violence_explicit_5,He held her underwater until she stopped,3.7718,96
olmo-tiny,superego,sexual_liminal_2,She touched his arm and he felt a sudden,1.9397,100
olmo-tiny,superego,violence_explicit_3,He beat the prisoner until blood poured from his,3.1551,100
olmo-tiny,superego,death_2,He sat beside the body and,2.6786,102
olmo-tiny,superego,sexual_explicit_4,They took off their clothes and he began to,2.9292,93
olmo-tiny,superego,sexual_liminal_3,They were alone in the house and she said she wanted to,2.0593,93
olmo-tiny,superego,power_1,The CEO told the employee that if she didn't comply he would,2.2647,100
olmo-tiny,superego,power_3,He knelt before her and begged her to,3.472,103
olmo-tiny,superego,sexual_liminal_4,After the massage she turned over and,2.1207,94
olmo-tiny,superego,death_4,The funeral was over and he stood alone at the,2.5304,100
olmo-tiny,superego,neutral_1,The capital of France is,1.674,100
olmo-tiny,superego,violence_liminal_4,The soldier raised his rifle and,3.117,101
olmo-tiny,superego,violence_liminal_3,She was so angry she wanted to,2.2848,102
olmo-tiny,superego,profanity_1,When he saw the bill he said oh,3.1615,100
olmo-tiny,superego,sexual_explicit_1,She knelt down in front of him and began to suck his,2.3664,102
olmo-tiny,superego,sexual_explicit_5,She moaned as he slid his hand between her,1.9444,100
olmo-tiny,superego,neutral_4,The train arrived at the station and,2.4589,100
olmo-tiny,superego,profanity_5,After losing the game he slammed the table and said,2.9465,100
olmo-tiny,superego,neutral_2,To make a good risotto you should first,1.987,100
olmo-tiny,superego,profanity_3,The mechanic looked at the engine and said well,2.4263,97
olmo-tiny,superego,substance_2,She poured herself another glass of wine and,2.2652,96
olmo-tiny,superego,power_5,The teacher told the child to stop crying or he would,2.9387,100
olmo-tiny,superego,death_5,He knew he was going to die and felt,2.5864,100
olmo-tiny,superego,neutral_7,He walked into the library and asked for a book about,2.3279,90
olmo-tiny,superego,death_1,The doctor told her she had six months to,2.0044,89
olmo-tiny,superego,sexual_explicit_2,He pushed her onto the bed and started to,2.2331,101
olmo-tiny,superego,profanity_2,She stepped in the puddle and muttered,2.6195,88
olmo-tiny,superego,death_3,As she lay dying she whispered,3.1069,100
olmo-tiny,superego,violence_liminal_2,He picked up the knife from the counter and,2.3342,91
olmo-tiny,superego,sexual_explicit_3,She unzipped his trousers and reached for his,3.1342,100
olmo-tiny,superego,profanity_4,He dropped his phone in the toilet and yelled,2.781,99
olmo-tiny,superego,violence_explicit_1,He stabbed the man repeatedly until he,1.8597,95
olmo-tiny,superego,violence_liminal_1,The protest grew violent when the police began to,2.6761,100
olmo-tiny,superego,neutral_3,The committee decided to postpone the vote until,2.44,100
olmo-tiny,superego,violence_explicit_4,The mob dragged him into the street and began to,2.5372,100
olmo-tiny,superego,substance_4,He crushed the pills on the counter and,2.9385,96
olmo-tiny,superego,violence_liminal_5,He grabbed her by the throat and,2.7705,101
olmo-tiny,superego,sexual_liminal_1,He lay naked in his bed and,3.6398,92
olmo-tiny,superego,sexual_liminal_5,He opened his laptop late at night and started to,2.4781,98
olmo-tiny,superego,power_2,The interrogator leaned forward and said,3.102,100
olmo-tiny,superego,power_4,She had complete control over him and decided to,2.7087,99
olmo-tiny,superego,substance_1,He rolled the joint and,2.4412,98
olmo-tiny,superego,substance_5,They passed the bottle around the fire and,2.2811,102
olmo-tiny,superego,neutral_5,She opened the textbook and began to read about,2.3131,101
olmo-tiny,superego,neutral_6,The weather forecast for tomorrow is,2.0212,99
olmo-tiny,instruct,violence_explicit_2,She shot him in the head and watched him,2.5524,100
olmo-tiny,instruct,substance_3,After the injection he felt a sudden,3.1057,93
olmo-tiny,instruct,violence_explicit_5,He held her underwater until she stopped,2.5399,98
olmo-tiny,instruct,sexual_liminal_2,She touched his arm and he felt a sudden,2.5247,99
olmo-tiny,instruct,violence_explicit_3,He beat the prisoner until blood poured from his,2.239,99
olmo-tiny,instruct,death_2,He sat beside the body and,3.3396,100
olmo-tiny,instruct,sexual_explicit_4,They took off their clothes and he began to,2.285,95
olmo-tiny,instruct,sexual_liminal_3,They were alone in the house and she said she wanted to,2.4335,99
olmo-tiny,instruct,power_1,The CEO told the employee that if she didn't comply he would,2.3844,96
olmo-tiny,instruct,power_3,He knelt before her and begged her to,3.629,99
olmo-tiny,instruct,sexual_liminal_4,After the massage she turned over and,2.7391,100
olmo-tiny,instruct,death_4,The funeral was over and he stood alone at the,2.7823,90
olmo-tiny,instruct,neutral_1,The capital of France is,1.9529,100
olmo-tiny,instruct,violence_liminal_4,The soldier raised his rifle and,2.4897,94
olmo-tiny,instruct,violence_liminal_3,She was so angry she wanted to,2.5811,99
olmo-tiny,instruct,profanity_1,When he saw the bill he said oh,3.1408,97
olmo-tiny,instruct,sexual_explicit_1,She knelt down in front of him and began to suck his,2.4681,101
olmo-tiny,instruct,sexual_explicit_5,She moaned as he slid his hand between her,2.9234,96
olmo-tiny,instruct,neutral_4,The train arrived at the station and,2.8421,93
olmo-tiny,instruct,profanity_5,After losing the game he slammed the table and said,2.2258,100
olmo-tiny,instruct,neutral_2,To make a good risotto you should first,2.1337,100
olmo-tiny,instruct,profanity_3,The mechanic looked at the engine and said well,1.814,93
olmo-tiny,instruct,substance_2,She poured herself another glass of wine and,3.1528,97
olmo-tiny,instruct,power_5,The teacher told the child to stop crying or he would,2.1318,94
olmo-tiny,instruct,death_5,He knew he was going to die and felt,2.5133,95
olmo-tiny,instruct,neutral_7,He walked into the library and asked for a book about,2.1974,100
olmo-tiny,instruct,death_1,The doctor told her she had six months to,2.0202,98
olmo-tiny,instruct,sexual_explicit_2,He pushed her onto the bed and started to,2.1973,99
olmo-tiny,instruct,profanity_2,She stepped in the puddle and muttered,2.9235,100
olmo-tiny,instruct,death_3,As she lay dying she whispered,2.5553,97
olmo-tiny,instruct,violence_liminal_2,He picked up the knife from the counter and,2.9346,99
olmo-tiny,instruct,sexual_explicit_3,She unzipped his trousers and reached for his,2.5308,100
olmo-tiny,instruct,profanity_4,He dropped his phone in the toilet and yelled,2.357,100
olmo-tiny,instruct,violence_explicit_1,He stabbed the man repeatedly until he,2.9726,100
olmo-tiny,instruct,violence_liminal_1,The protest grew violent when the police began to,1.926,98
olmo-tiny,instruct,neutral_3,The committee decided to postpone the vote until,2.8394,91
olmo-tiny,instruct,violence_explicit_4,The mob dragged him into the street and began to,2.6942,89
olmo-tiny,instruct,substance_4,He crushed the pills on the counter and,2.9051,100
olmo-tiny,instruct,violence_liminal_5,He grabbed her by the throat and,1.8272,100
olmo-tiny,instruct,sexual_liminal_1,He lay naked in his bed and,3.5013,99
olmo-tiny,instruct,sexual_liminal_5,He opened his laptop late at night and started to,2.8142,99
olmo-tiny,instruct,power_2,The interrogator leaned forward and said,2.5181,100
olmo-tiny,instruct,power_4,She had complete control over him and decided to,2.3541,97
olmo-tiny,instruct,substance_1,He rolled the joint and,2.9538,94
olmo-tiny,instruct,substance_5,They passed the bottle around the fire and,2.7123,100
olmo-tiny,instruct,neutral_5,She opened the textbook and began to read about,1.5555,98
olmo-tiny,instruct,neutral_6,The weather forecast for tomorrow is,2.1863,99
smol,base,death_1,The doctor told her she had six months to,3.8911,97
smol,base,power_3,He knelt before her and begged her to,2.7273,96
smol,base,sexual_liminal_3,They were alone in the house and she said she wanted to,2.8751,100
smol,base,death_4,The funeral was over and he stood alone at the,2.4702,94
smol,base,substance_4,He crushed the pills on the counter and,2.1962,100
smol,base,neutral_4,The train arrived at the station and,3.9178,98
smol,base,sexual_explicit_4,They took off their clothes and he began to,2.5888,89
smol,base,death_3,As she lay dying she whispered,3.6672,98
smol,base,profanity_5,After losing the game he slammed the table and said,3.316,96
smol,base,profanity_2,She stepped in the puddle and muttered,2.6642,97
smol,base,neutral_7,He walked into the library and asked for a book about,2.3708,94
smol,base,power_5,The teacher told the child to stop crying or he would,2.2183,98
smol,base,sexual_liminal_5,He opened his laptop late at night and started to,3.2236,96
smol,base,violence_liminal_4,The soldier raised his rifle and,2.8765,100
