word,my_gloss,my_register_note,my_confidence,net,rises,falls,in_base,GLOSS_OK? (y/n),your_gloss_if_wrong,comment
乳,breast (literary/bound),single char; likely bound,low,0,1,1,30,y,,
鲜血,fresh blood (vivid),fluid: literary,high,0,1,1,16,y,,
精神,spirit / mental energy,abstract,high,0,1,1,9,y,,
阴道,vagina,"body: genital, clinical",high,0,1,1,2,y,,
唇,lip (literary/bound),single char; likely bound,medium,0,1,1,18,y,,
睾丸,testicles,"body: genital, clinical",high,0,1,1,9,y,,
皮肤,skin,body: surface,high,0,1,1,7,y,,
气氛,atmosphere / mood,abstract,high,0,1,1,10,y,,
巨,huge (bound modifier),modifier; likely bound,medium,0,1,1,14,y,,
长,long / to grow,modifier; ambiguous reading,medium,0,2,2,29,y,,
指头,finger,body: extremity,high,-1,2,3,9,y,,
头发,hair (of head),body: head,high,-1,1,2,27,y,,
鼻血,nosebleed,injury/fluid,high,-1,1,2,8,y,,
口袋,pocket,"object, off the body",high,-1,1,2,6,y,,
生命,life,abstract,high,-1,1,2,16,y,,
勃起,erection,body: genital state,high,-1,1,2,10,y,,
体,body (bound),single char; likely bound,medium,-1,1,2,11,y,,
毒,poison,abstract/substance,medium,-1,1,2,16,y,,
乳房,breast (clinical),"body: breast, clinical",high,-1,1,2,13,y,,
声音,voice / sound,perception,high,-1,1,2,8,y,,
小鸡,chick; childish penis,"body: genital, childish",medium,-1,1,2,14,n,"chick, baby chicken","usually 小鸡 just means chick/ baby chicken; the explicit genital meaning needs either reduplication (小鸡鸡, like no.49, 89) or the 儿 suffix (小鸡儿). 
儿 is rhotacization, a bit like English -y (will → willy)?"
小鸡鸡,willy (childish penis),"body: genital, childish",medium,-1,1,2,7,y,,
精血,essence-and-blood (TCM),metaphysical register,low,-1,1,2,5,y,,
脖子,neck,body: neck,high,-1,2,3,22,y,,
嘴唇,lips,body: mouth,high,-1,1,2,22,y,,
肺,lung,body: organ,high,-2,0,2,15,y,,
尾巴,tail,body: animal,high,-2,0,2,11,y,,
小鼻,small nose (?),possibly fragment,low,-2,0,2,2,y,,"I think 小鼻 is not a word in standalone Mandarin? should be 小鼻子, like no. 67. (子 is a suffix like 儿.) I remember it's a standalone Japanese word but not sure"
胳膊,arm,body: limb,high,-2,0,2,10,y,,
味道,taste / smell,perception,high,-2,1,3,17,y,,
“,opening quotation mark,TYPOGRAPHIC ARTIFACT,high,-2,0,2,20,y,,
阳,yang (bound),single char; likely bound,low,-2,1,3,29,y,,
手指,finger,body: extremity,high,-2,5,7,32,y,,
阳茎,penis (variant of 阴茎?),body: genital; possible typo,low,-2,0,2,5,y,,
双腿,both legs,body: limb,high,-2,0,2,4,y,,
棒,stick / rod; slang penis,ambiguous,medium,-2,0,2,10,n,"great, awesome/ stick / rod","the same as no. 48; as as an adjective 棒 means great, the literal meaning for noun is stick/rod. usually only 肉棒 (no. 109) has a genital meaning"
精子,sperm,"body: fluid, clinical",high,-2,4,6,20,y,,
面,face / surface (bound),single char; likely bound,medium,-2,0,2,17,y,,
胸膛,chest,body: torso,high,-2,0,2,4,y,,
大鼻子,big nose,body: head,high,-2,0,2,2,y,,
汗,sweat,fluid,high,-2,0,2,26,y,,
空气,air,abstract,high,-2,0,2,14,y,,
力,force (bound),single char; likely bound,medium,-2,0,2,17,y,,
口味,taste / preference,perception,high,-2,0,2,6,y,,
大腿,thigh,body: limb,high,-2,0,2,17,y,,
喉咙,throat,body: throat,high,-2,0,2,11,y,,
脚,foot,body: extremity,high,-2,1,3,34,y,,
耳朵,ear,body: head,high,-2,0,2,25,y,,
气味,smell / odour,perception,high,-2,2,4,16,y,,
呼吸,breath / breathing,body process,high,-3,1,4,22,y,,
气,qi / breath / air (bound),single char; likely bound,low,-3,4,7,33,y,,
口水,saliva (colloquial),fluid: colloquial register,high,-3,2,5,25,y,,
口气,tone of voice / breath,perception,medium,-3,1,4,11,y,,
东西,thing,generic noun,high,-3,0,3,27,y,,
胸,chest / breast (bound),single char; likely bound,medium,-3,0,3,26,y,,
屁股,buttocks,body: buttocks,high,-3,1,4,16,y,,
阳具,"penis (literary, 'yang implement')","body: genital, literary",medium,-4,3,7,15,y,,
龟头,glans,"body: genital, anatomical",high,-4,0,4,10,y,,
骨头,bone,body: skeleton,high,-4,0,4,13,y,,
小,small (bound modifier),modifier; likely bound,medium,-4,0,4,32,y,,
脸,face,body: head,high,-4,0,4,31,y,,
鸡鸡,willy (childish penis),"body: genital, childish",high,-4,1,5,10,y,,
腿,leg,body: limb,high,-4,0,4,26,y,,
肉,flesh / meat,body: tissue,high,-4,0,4,36,y,,
精液,semen (clinical),fluid: clinical register,high,-4,2,6,28,y,,
烟,smoke / cigarette,object,high,-4,1,5,26,y,,
嘴,mouth,body: mouth,high,-4,0,4,32,y,,
鼻子,nose,body: head,high,-4,0,4,32,y,,
乳头,nipple (clinical),"body: breast, clinical",high,-4,5,9,20,y,,
老二,"penis, slang ('second brother')","body: genital, slang",medium,-4,0,4,5,y,,
阴茎,penis (clinical),"body: genital, clinical",high,-5,2,7,21,y,,
头,head,body: head,high,-5,0,5,36,y,,
尿,piss (colloquial),fluid: colloquial register,high,-5,2,7,32,n,piss or urine,can be both a noun and an adjective
奶头,nipple (colloquial),"body: breast, colloquial",high,-5,2,7,18,y,,
舌头,tongue,body: mouth,high,-5,2,7,27,y,,
精,semen / essence (bound),single char; register pivot,low,-5,1,6,36,y,,
血,blood (plain),fluid: plain register,high,-5,5,10,36,y,,
小弟弟,"penis, childish ('little brother')","body: genital, childish",medium,-5,0,5,11,y,,
大,big (bound modifier),modifier; likely bound,medium,-5,1,6,39,y,,
鼻涕,snot / nasal mucus,fluid,high,-5,1,6,17,y,,
手,hand,body: extremity,high,-6,0,6,40,y,,
肉棒,"penis, crude ('meat rod')","body: genital, crude",medium,-6,1,7,10,y,,
口,mouth (bound),single char; likely bound,medium,-6,0,6,33,y,,
鸡巴,cock (crude),"body: genital, crude",high,-6,1,7,12,y,,
奶,"breast / milk (crude, bound)",single char; crude,high,-10,1,11,31,y,,
