word,my_gloss,my_register_note,my_confidence,net,rises,falls,in_base,GLOSS_OK? (y/n),your_gloss_if_wrong,comment
小鸡,chick; childish penis,"body: genital, childish",medium,-1,1,2,14,,,
小鸡鸡,willy (childish penis),"body: genital, childish",medium,-1,1,2,7,,,
精血,essence-and-blood (TCM),metaphysical register,low,-1,1,2,5,,,
脖子,neck,body: neck,high,-1,2,3,22,,,
嘴唇,lips,body: mouth,high,-1,1,2,22,,,
肺,lung,body: organ,high,-2,0,2,15,,,
尾巴,tail,body: animal,high,-2,0,2,11,,,
小鼻,small nose (?),possibly fragment,low,-2,0,2,2,,,
胳膊,arm,body: limb,high,-2,0,2,10,,,
味道,taste / smell,perception,high,-2,1,3,17,,,
“,opening quotation mark,TYPOGRAPHIC ARTIFACT,high,-2,0,2,20,,,
阳,yang (bound),single char; likely bound,low,-2,1,3,29,,,
手指,finger,body: extremity,high,-2,5,7,32,,,
阳茎,penis (variant of 阴茎?),body: genital; possible typo,low,-2,0,2,5,,,
双腿,both legs,body: limb,high,-2,0,2,4,,,
棒,stick / rod; slang penis,ambiguous,medium,-2,0,2,10,,,
精子,sperm,"body: fluid, clinical",high,-2,4,6,20,,,
面,face / surface (bound),single char; likely bound,medium,-2,0,2,17,,,
胸膛,chest,body: torso,high,-2,0,2,4,,,
大鼻子,big nose,body: head,high,-2,0,2,2,,,
汗,sweat,fluid,high,-2,0,2,26,,,
空气,air,abstract,high,-2,0,2,14,,,
力,force (bound),single char; likely bound,medium,-2,0,2,17,,,
口味,taste / preference,perception,high,-2,0,2,6,,,
大腿,thigh,body: limb,high,-2,0,2,17,,,
喉咙,throat,body: throat,high,-2,0,2,11,,,
脚,foot,body: extremity,high,-2,1,3,34,,,
耳朵,ear,body: head,high,-2,0,2,25,,,
气味,smell / odour,perception,high,-2,2,4,16,,,
呼吸,breath / breathing,body process,high,-3,1,4,22,,,
气,qi / breath / air (bound),single char; likely bound,low,-3,4,7,33,,,
口水,saliva (colloquial),fluid: colloquial register,high,-3,2,5,25,,,
口气,tone of voice / breath,perception,medium,-3,1,4,11,,,
东西,thing,generic noun,high,-3,0,3,27,,,
胸,chest / breast (bound),single char; likely bound,medium,-3,0,3,26,,,
屁股,buttocks,body: buttocks,high,-3,1,4,16,,,
阳具,"penis (literary, 'yang implement')","body: genital, literary",medium,-4,3,7,15,,,
龟头,glans,"body: genital, anatomical",high,-4,0,4,10,,,
骨头,bone,body: skeleton,high,-4,0,4,13,,,
小,small (bound modifier),modifier; likely bound,medium,-4,0,4,32,,,
脸,face,body: head,high,-4,0,4,31,,,
鸡鸡,willy (childish penis),"body: genital, childish",high,-4,1,5,10,,,
腿,leg,body: limb,high,-4,0,4,26,,,
肉,flesh / meat,body: tissue,high,-4,0,4,36,,,
精液,semen (clinical),fluid: clinical register,high,-4,2,6,28,,,
烟,smoke / cigarette,object,high,-4,1,5,26,,,
嘴,mouth,body: mouth,high,-4,0,4,32,,,
鼻子,nose,body: head,high,-4,0,4,32,,,
乳头,nipple (clinical),"body: breast, clinical",high,-4,5,9,20,,,
老二,"penis, slang ('second brother')","body: genital, slang",medium,-4,0,4,5,,,
阴茎,penis (clinical),"body: genital, clinical",high,-5,2,7,21,,,
头,head,body: head,high,-5,0,5,36,,,
尿,piss (colloquial),fluid: colloquial register,high,-5,2,7,32,,,
奶头,nipple (colloquial),"body: breast, colloquial",high,-5,2,7,18,,,
舌头,tongue,body: mouth,high,-5,2,7,27,,,
精,semen / essence (bound),single char; register pivot,low,-5,1,6,36,,,
血,blood (plain),fluid: plain register,high,-5,5,10,36,,,
小弟弟,"penis, childish ('little brother')","body: genital, childish",medium,-5,0,5,11,,,
大,big (bound modifier),modifier; likely bound,medium,-5,1,6,39,,,
鼻涕,snot / nasal mucus,fluid,high,-5,1,6,17,,,
手,hand,body: extremity,high,-6,0,6,40,,,
肉棒,"penis, crude ('meat rod')","body: genital, crude",medium,-6,1,7,10,,,
口,mouth (bound),single char; likely bound,medium,-6,0,6,33,,,
鸡巴,cock (crude),"body: genital, crude",high,-6,1,7,12,,,
奶,"breast / milk (crude, bound)",single char; crude,high,-10,1,11,31,,,
