# old	new   -- git filter-repo commit-map, 2026-08-03
# removed: meta/M01_displacement/results/word_pool_d2.json (138 MB, over GitHub's 100 MiB hard block)
# artifact preserved at ~/github/backup/artifacts/word_pool_d2.json sha256[:16] 2ce5b04660b4f7f7
# a new of 0000... means the commit was dropped (it had no other content)
old	new
0a93e3d4549d	14d245845867
0aa396f642a7	87f2de342a2e
0aebc2b49911	a378a716409c
0b3b6d9ef8e9	aa31e94f8ae8
0b5ec9095265	44803bf808cc
0b65516a6625	494eb16aa207
0b72728a8311	f5841b5d7c1f
0bc168f0a0a0	c31c52411725
0c1ed2c13432	3f6b925b365d
0c5b16ff97eb	9b4595dddc49
0c87a582c8a5	4891f58991c4
0cb6be548eba	c989f450b6dd
0ccfbc588a9e	1c78fd78aae0
0d19ce5971c5	9eea99ce5926
0dae5bcc426b	c702f665d8ae
0df6dd202d30	30aa4903c616
0e36d3db22bb	35a643051e44
0e5fec63bbbf	143c9714a258
0eb9f837d493	6635d5d92af5
0ec360515241	897b7ecf5870
0ee4a9958d7c	f6ffda898813
0eebeafc2ba2	cbf4e885c417
0f22810eb4b8	0689afecbff7
0f5acc54bacf	67126d55b74d
0f6bd8aa7c06	5468094f22ad
0fd752de3c29	9f8abfb9b7a6
1024de9796b0	2f7eb448067a
103e1bc0dcdf	f0d89b7647f5
10879102f1bc	b72e2423ff63
10ce46f65734	7b99d3fb1240
10f2bc220bdd	cfb0b4de4cfd
11389c8c711c	7613ac6167bb
114b75234606	0625093ebbb7
115998680438	536d89a35b0c
11ebf3ae774b	6efd9db96b34
11f3138df7e4	d7d89bf371e1
12158beb1879	dad0fc7868d7
1216e1d1c39a	f96e4c575d4f
12651b971daf	357dd8153fe7
12728ed90042	1412a1076cd7
12bf1b2aa167	876453c15202
12df45a9b0e3	7095266ca99b
13047805bddb	27fa61924102
130dee57f74d	ec5319aeee84
132c868746d1	cdd8dda424a9
134506b00c72	4a037a676b78
1376215b7ff2	7a59315f9cee
138c647467ab	af6e1280599f
13acc9eb2312	67d0cf4ab284
13f5efec8ea6	ba7e7a0a78fb
1408008815cb	1548ecff1588
1426a9524281	f1b479e84512
1460936ba8a1	caac2a13f542
14852617bed5	bed79f16f12e
14bfacbcc432	b47719c993ec
14c9ad642d03	0248206fd4c2
14caf3b16407	fd369f78fbfe
14ebd21f70a0	f9405ad7a046
1556625bbbd4	5af141a0951f
157c36f8378b	aeba68bace7f
15857ee80c62	d6fcc2848e49
15b52ffd28d2	7c2c8bfbcd58
15daf1c301fd	1a306e8e084d
15e5b1241508	9fc59700649e
15fb4f9af9e4	7a9d9e33270f
161af0186ef2	8bb834c18bf7
162c68e235c3	41d2ff0a3ec6
1679914feaa0	db1d6d0b300b
16bed3e76215	24cf497ef13e
1700f613b40f	2ebc1f470fbf
177cbd23e524	2ecc37f1df4d
178b914868f4	992219b4a7ca
17c3427a7fe9	b4d8fb04e9d5
1815bb972a26	8589f1df0202
186a1bf7e557	e6e68a8b3b22
18de50dd3dd6	1722ff450fbb
194a3b5baa73	e3fac96c0879
19a93940e203	9c7e27185266
19b9d61fee15	86f58ef1196c
19eee66e3fe1	e284a6171cf4
1a06af3ecd96	6b6b06c2e8a1
1a19283884e0	dc6989021d0a
1a1e15dff357	bdcc2482eaee
1a298c262762	45ece1edd03f
1a532e08d3bb	475589eee830
1a662b3069ba	58f4337ddc9d
1ae39428932e	5c1c5ba42a01
1af2a12f3933	c664b1d045f3
1afaeaf1f852	24bf3c9fbeb7
1b0d13374f51	541b57c68c88
1b0edef53c2d	6e92d924da69
1b420a0137a9	17baf49aa223
1b4ed6ff5ab9	87d085aec2ef
1b7fde6be902	f1ef97899a8a
1b8df186797c	06510d1add31
1b8f437adf7e	520af8360952
1bfa0456a31c	80f9daf62bcf
1c5725c3ca84	cbb9178219b8
1c9594bd0101	f15e99d400e0
1cb368772413	6950f4089e9d
1cc1e2052972	6e99de0ee3a7
1d2c436513ba	011998e0e200
1d31fb06b205	0ff61c586317
1d41a86ab686	3d2da0bd1b75
1d489efc3931	8f5066161706
1d58fe170fda	009327af5834
1d74688db7c6	edf276909347
1d7f78849fcb	e873817805b6
1d8fef593468	efdaebf11534
1d9a2dc141ac	232c81fcaaf4
1dcf35212886	bcf4880b5375
1ddf42e902af	daab4878ff6a
1dfa1a76a896	55273585a237
1e00a96655ee	3fd3be32bd67
1e2f4df722d7	2a1e6374a511
1e3f68a685c9	aed1b41e94e5
1e6777f287d8	d26ea9ede044
1eb6a5e91169	13030c8d4590
1edf182330a0	50232e763abd
1ee1b9ca320d	0e35fec9fd4f
1f502e95055e	e0f7efe2f2f9
1f701a36fa18	8aaa1b42b389
1f7fa9e185b4	8a049880249b
1fd20284f4c5	8401e917a9a0
1ff18ab79a98	fe80eae4c1e7
1ff502edf76b	b057beb24ec0
1ffa79c3b0a3	f565039684be
20006e4354b0	b616fb262a57
20160b795c11	cb62efca6ac5
20354b9e5866	646a16ee5749
204721f600aa	856a606ee6c8
20752e9c0bce	aa440d3793d1
214cce60df0f	42ad9c7b60ed
218bf9755bc7	764bd1ab19c3
21eb13f54b18	594a27c9187c
22353a6228c9	22966c666e58
22526e00c5b8	00e9f051656e
228560ed917d	513e345be0ed
22bfb2414529	03e0bac98930
22fc4f888eef	5af7f073896c
23224634f7c3	0f30e47443e1
23bebe74df58	699a212ac304
245768df5d46	34a7556ec8a9
2477f2074969	37e4eec9570c
24a0e539044f	209c4ef9c32a
24b7e5972c65	8a1f75860e40
24cfcd843901	c68827efffff
24db649feadb	2dd97e322164
24f3c50871ed	b6da3be00fb7
250daa815897	c64582744e62
25123f11e20c	f79cd08f2cb2
2531f20bff35	e0eff3662007
2548b803dce4	4147ae74deb8
259d043cd720	0a9b53f0d949
25c5606c1bec	ffe3b852ed5c
266663a8cd81	a8d194b8d0fb
26744d1c32e6	9be8f70b2f17
269c2522435a	9cbbef1678bc
26eb1d972a9d	0885b1e2bc2f
273757ff847b	6c8517482e28
27490eab2286	db62e849f7ea
27531df96ec4	0119a1c0d719
2785a67f7c5b	4ec862c66336
279074ae09bf	47dc4904a890
27d57be2395f	36321bbb85d7
27f9aeda45ea	a413b79d5e96
2807e3a1b79f	5b21d5e38dcf
2834af3e6af2	4ad6102650b6
28742734d833	c7455b2cdab5
28746dc6380c	bee7edd7149e
287858ca2cbf	6752a53a5e50
287c6a50bd26	80dedc0b04b8
289c7d749a05	c7294c232b0a
28a42c073379	9b76df41445f
2968550efff9	ff469c326629
2995489a1d21	98108ea1a9b3
29cd600971db	a91852dc7b0f
29f382ab8b91	804a8fe8dee5
29fa7e56bff3	38dc15d95433
2a45c189ed93	b09e5ebde87d
2a7b2cb6b3e7	72cfdf31fc35
2ab03a4a5759	ff2a569f93a1
2aff8b8dba1c	c954ede9014e
2b0280040ee3	18920ffb5787
2b356b3bba26	fef54b4be245
2b587322f926	3003e2ff17b1
2b6cd3715bc6	ffd802bb1026
2b86bffc87a6	206055ce7c82
2bb2a0ad9ebc	a2f2cc2c2bcd
2bdec379f866	dd86297ae0ea
2be12695abec	f6c4acbc55e2
2bf7faff8d73	d2b334e1c3d8
2c24856c1440	946be1e3e954
2cef202943b6	9a9c0c87118e
2cfb95035bc9	084258ac1e05
2d17185f00aa	e07b26fadf6f
2d3d961784a2	6be5085db437
2da315bdfc5b	6680b5e63be7
2dbfa5f62d28	fbb79157465b
2df2f39c07aa	8f646456cae5
2e55e9da9292	6f5300c7593a
2e7c3114545e	5c9e0d679d67
2e9160d81fa8	7d60bd1859c8
2ec154a353fe	0a2613b58863
2eee2cb1a60b	9615da9cb4f4
2f462e95875d	425f3fbf59da
2f4ce1102fd8	90d53b58cbb3
2f550d7b1e43	78a221923590
2f7769c60d0d	6814a2832706
301527d5d6f1	cfc4bf11f7e5
301e9da5b2a5	e5af90ec3036
304703c8f4af	b583c1c7287a
3074444bb0e3	d4c5141461b5
3079c887a479	2cd37737d9a6
30f8218f58e5	7f5e70a0b33f
3169cc1f2bb6	02427360e79e
31e67425bd7a	c2ba62ee28e5
31fc105136e1	46be9021f036
3226d2217d65	cf436c65cc80
322fc80e0db8	8ad24fcb3beb
325ed2d701e7	fc945309b84b
329368690a34	dc0d50795199
32bbf1862154	42985a24a48c
32cc8a88d4bc	0cbcb8c44e84
32f8946380bb	72b388804059
331e66ccd244	fa91996f2d5d
3322b84fd4ee	d3642706fbf3
3333caec8cc9	8b6d48413d69
333887a38a39	3ece686a7014
338fb0d7f822	66319ec5e50e
33f7c99eb8b0	edf0914bfa97
33ffbe009035	7f54133fa3fc
34942cfbe655	e3ea616bf5a0
34943248a12f	6fc3ddd345bc
3498b6ba508f	c7851261aa52
35c4b5a6770d	dc98482a1478
35c9891c2358	8c43a1b11bf9
367006c515ef	949ed317fd5b
37028023d76e	9a5fbd7a645d
3708d396114c	578ef5a7f404
370b13dc8e63	cf36d161b7ee
3745f71ed577	89ef82e13db1
37495c2b47ab	a00f96d67567
3767df36dfe5	1ca85c7a5160
377d235de9f9	4247484ee724
37a2e6591c41	81f07aab4bf4
37abc9664be2	d2f5de9b2522
381c9d4dafa6	08a598852868
38de95308448	e9df5ace439f
38f1a803980c	6a7cd10e975d
38ffa934289c	b2b6dbfbd531
39071e947055	c75a5630e9ff
396f05085698	c69e7291ace1
39a0b95b99bc	3e91c74fe480
39a388615022	0ede7fbe98da
39ad16cc2337	47ef00b476f0
39b7edee68a7	ad44ecff6ae1
39e419a04a0d	472fd5664b71
39eb49e9df66	6afb36b1b15f
39f719cd4f57	efe074c95bd9
3a07979c7031	675b21c960b0
3a2cba4352ae	c939d30470ab
3af5a3f8f4b1	5c30266429bd
3b177125e820	9c63e326c18a
3b2f52618247	bb2994f3dc77
3b438fbc2712	1c17f91dbbdd
3b65fd46238c	87f01cb710c4
3b6c071ee660	094dd2e7338f
3bb3ad1d9e75	d0f6bfcf7372
3bddcf62d2aa	08f8a584d81d
3bebae99ed17	103f14d2e232
3c316091604f	db5d619c5ad1
3c65923ff556	2d66b4536b6b
3caace43f4f8	12bf295d07e3
3d7437b025ff	2d56d57ca2aa
3de9d90eeee6	7602cbfa01ce
3e2140c6cc41	d35ffd430535
3e285ada06e1	16f441862d45
3e34780aa2af	5cf047cefbd5
3e8cb4fc3936	95e9dce5ae29
3e90cef1bd9c	249ec9313372
3ec7b3db80e3	bc06bb13c49a
3f5a15685dfb	c3c41c9faa9e
3f776d99246f	6997e942a369
404847199a8a	7824bc5512d8
40571c10610f	a71e3c112e61
4060f951e38b	7ff40f8fc120
40c23b08a99b	09f60d997dfb
410654423abc	a4cb27048e73
4128b26f1466	2989abc1644c
412e96d5afb4	6a38fefc9328
4164c95a954e	be2ede5768e5
416740f98a11	7fd466d4fb13
418137acdb81	055e16e2d41e
41d147abad3e	8cd1e3db88da
41e5e7941d8c	ad88a5a2caeb
4215d72a3983	a05f5614d3ff
421f8d8b5304	c261e38df393
4297a71ecba4	4a0ec91cc505
4379854a0cea	927c43d7a3a8
43d652a48522	a55b2760b368
43e48785c738	5201a803c188
441dec259896	7b42559b0de9
4428fedb8f80	7599a55c055a
444845ab1586	e42c20c403fb
446b041b8507	6fd4db6b59b4
449b4bdb3c7a	9cd7fffe1165
44b92ab60f7e	ed6f84a76703
44ed2eb37b45	69b2c7dd38e9
45a4a0825287	deb6313e1ae6
462d8c88c26c	a318740f8394
462e0a2eb99e	9886809e9e3e
46498033ebab	108814f6c8f3
464adedf0696	19333f881cc1
4690c8e7f48d	e7c2f05ac257
46ed4a77962b	891c32a4784f
46f47d4dcd1a	916f0d7ebe25
46f6da5dd190	c7e30a4c8ce3
474a7ed6a561	ed04c47b9cce
47bad13de984	1f63a43f54a7
4869d2c9d2a5	e6425ca5f291
48847f656e66	be4b156c84ba
48a16c64f176	97d047dfd9b6
48d9592c906d	49b9a490ceae
49029ceef892	1aa5ffe0fa57
490d3300d567	14d24b4e8498
492047ffa953	d8af7dd6e415
499f36818518	7be227a37021
49c40f08cfab	73691c9301c9
49d4e2f4749d	c1f55fc8dd3c
49dd73f139c7	567aa131fdc9
49f5c664338a	cfa828f4f33b
4a0a7532bba6	70c9e4828006
4a307606e1dc	0b88f4e5e727
4a3d47d3ce8f	09936f2a80d5
4a581db77a4f	7056d3e657ae
4ac9e511eda9	13d693a2e721
4b069b1f3e7f	713a9b935752
4b282f31f078	42f524feaca9
4b87ca7efecd	789a16de5650
4b9d859500d3	363b0ffac74e
4bca5c3701e8	01e8a371a64c
4c6cf3ca3627	c49f6d8a20e7
4cd2434ecc15	bb2ffbfc1ff7
4d0a212a0f0d	8079b5f81633
4d6912234874	91a9e0700cde
4d70979dd47f	b066caba3adf
4db10965cdba	12ff3babf3aa
4e3f3e3d7344	06718b9381ee
4e62fc103782	ce0cfd58440c
4e7d92edd720	bbf2b1104195
4e9061f00888	a362d788a60a
4ed599ecf8e1	3fdca26846ee
4ee078ffdfb4	4f147e8bde25
4f1f22a9c3e9	db8e428a48e8
4f48e3f06a59	d63558e72adb
4f52b9b1b4e7	d7cdcb24f419
4f6bb050a9d8	72c6d1a3f8d1
4f7d30e1bb89	bf228dd3c956
4f828948fa9c	39c6abdd4779
5065dfff7ee4	126d83ad6519
507bf9611f18	3be3feabe082
50a2c8d192f2	500a1cd39e59
50ae6967c93f	7d91ba187d4d
50e0b135246e	2701a75d93b9
5138bc64668c	d50f16504877
517c3f9fb756	5fcd0fe968eb
5184cc55b98b	6a82c9d17b30
51a495631717	256f273934dc
52d3632901e5	7d1a7b569692
52da2502a9ff	66bbcb626aca
52fa50cf0326	a6d39ef5b67a
5373b7acc397	2bac5367332c
5379e45840ae	b63fc33b0b75
538da1446551	f5c497b88643
53bf209ea683	8b5c898abebf
53ca640759c8	5c016b8cdd6c
5402bc02c834	d1a20b6912c3
5407246991ca	a8d449489b7e
54203fcd5ff5	d169a69a5c39
542e2d479827	464676c88e82
547a73d234cd	c284cf162760
54c822136c4b	cbc71101c039
54e3bfe51df3	8ebba6f86869
54fdd9f8facc	9957cb7bd64b
550cd704343d	88302e62e149
55f0391cc582	07d7682d3084
56002882dcee	0f8385a7bdd3
56053a8b26d1	ab06ca8fe889
56143ecbb1b6	52dc99194152
563afa6afa79	257bbc573765
5653273983db	133251f12fcf
5665ce24ae88	9e23a0abd618
56c23c515e43	5073cf38ddbf
56c8cc706133	ef7df4b07d82
56d740fd8090	92d70f265b14
57138afe5229	cae893de0a47
579eb75dde8c	5a40729ee931
57b99689392b	c698641d6796
57be9baf7c65	414b7c97f728
57ef7bcd4118	de399535bffe
5867e0809588	6f168e50e303
5870b8a59fa8	9ba75add6aa7
5897a94398b9	88da425bb905
58c216cea673	7714c54d3162
59269bd69833	e56f10c71c98
596213c3b710	c33943bc7bf4
597b97e87cf1	869836418e84
59c86553e9dc	6496b33112b0
59d848e0f582	e213d19bb807
59e7a6575aee	1571ffd96007
59e8cb297033	8ae42165ae37
5a146be92db3	2a4cc4d43b74
5a30be3848fd	f5658ec64fe0
5a97cafbda5f	f3418bc181b6
5aa07b7b3c6f	f759820f09f1
5af2c7e6652a	7bf268caa57b
5b360afd8146	89cf77ee2cf5
5b9536a0e442	c482b66b8ac4
5bd7fb06c57e	24ffba2194ee
5bdecd3e57a0	a804aa8f7b6b
5c01f2b10c6b	273697c95e2b
5c45578f13cf	277ad0734153
5c4fa0953082	455ef0631add
5c5ee9580fcb	5c10c65dcd23
5ce7c795735f	8432b5870dab
5d2d10d9c6b5	a6405a8afeb6
5d51a0659d8a	c671547e996c
5db23458156c	2ae38d63a612
5dca9b6721a5	96508f85a749
5dd59a51e4e0	6e209a7d1c94
5e157c72dd6c	8b93f561b551
5e16a9610da1	4c7e96ad7d46
5e23001f6039	e40346445fbe
5e57c0171553	b0a42b3e6112
5eaa9c69c802	31a013304d0c
5eb53fada4c9	29a404cc3e18
5ec3d7c84afb	9aeab0b839a8
5ef9305c53c7	20a156428051
5f7a5e5e60c0	0c6167fc6a2e
5fa7df15c80b	161c7bef26c3
608921ce3dcc	4d70a0f5cd65
60d3d75e6a8d	8bb02c05f129
60dd8491d01a	71fd98718f10
60e291c1caaf	199fafb72006
61383be45e10	bbcd95204f50
624a47bfadfe	fb27448e754b
6293524dbd87	5ae28910e3ed
62b38381632c	638faf0dc9d0
62cfa8e30583	a0ed444c96f9
62d2658c38a5	470bb1c6e0c4
62d5a4a40b27	2e154d14ad48
62eeb0a1e768	2dc58fcbbe7d
6300f0c3fe93	1183ea9e5a83
6340bcb0050f	0eca0a58a80a
635d2c45e598	f42948565f39
63a397a5ad6b	c3c559f57cc0
63da03042be2	431da3801527
63ff09e0aaba	5e92df321b8d
642660d4878b	f446b05d628f
642f9042707a	96856b96a8d2
645140e9f518	014dc47242c6
6458631e4593	d2be3ee711e3
647af9fc3b28	d1943ff9b38a
647bed1f6d40	be8f49def929
64be65124c54	0e1efadd18ae
64cf1d297a7f	d1cd1e85ed4a
64e4418afff2	1d92001ade8f
64f23d2b6bd9	fb15f7b8cede
65441b08d171	aedcd4bb792e
65528ff2a85d	69bde0b46f02
6572ec2b4b9e	a0d23b5cd9fd
65e78285cde8	65dc153ca4b5
65fd3ad42085	6a64daa0e1cc
666678db1aad	cd0b198c4d0d
66a5ff221204	2e8996355fa9
66bfeb5b1954	dcdb9f18588c
6759e36f5168	e701f30fb514
67787eb4559e	fe9eee196ff5
67eaba90eb2b	1110d94277ec
6810521e0aba	f050cb843d5a
6811cc48bcff	1f928118d981
68510c0fc291	b15accea1db5
6864d592586c	f87a5b17e1d6
6883e6cfa37b	5d4568f92c5e
689fa80b3b90	5dc342aef884
68ba31d423c5	e7db6c1566f5
6946145297d9	96fb72ef949d
695596d8e993	76b2b5dd5d84
696e61d1a42c	2540f754a295
69765e2d4e28	b19daa363d69
697a2b2947d6	0b49cffbeedf
69cf828966e2	a99a0d9156a3
6a1fadbae3d2	11d0ed8dff7d
6a32759cd707	22ac24c9f8cc
6a815ca2666b	8d8a5422c3ed
6ad375d41347	23c6cf1e8c8b
6adf2d86390a	6fc3ea29e85c
6b6503722f17	2c2b3efb067f
6bb996f2156d	1e15859bc3ee
6bb9f565fa05	a038d6137e22
6bcddea9c0e8	d7ef15f83f18
6bd40531480e	7e6c614a8c73
6bdd845f3062	470d08e4a1a4
6bf64261fae5	4cfe6410d36c
6c0079e21709	43158d70faa2
6c0103ec80cd	6fe72384db46
6c9dccb3bc23	d36e193a0e2a
6ca4755931d8	d6334bee2073
6ca54d36c5d5	081eb5ef630a
6cf00a26f007	1d537cc16837
6cfc7ff41bae	6e2177a8d4a4
6d21cd769d07	d4c54984b477
6d2e477c47fd	f44a4bc8dac6
6d534f3741ee	11ac01086388
6d922b20a253	6c72ec1c5e89
6d93500bf2f1	dfc97ff9cbc2
6dfcbbf4b233	8ff3f8d7a2f2
6e075d215dd3	bb62bac9a54f
6e24f18aae79	32aefb366074
6ed483c231a6	0cad46007eef
6f04492079d6	97d88de4fd4e
6f8ee474e363	ff8e9777e2da
6fa4d29c4d1e	370ef584a19f
6fc32797dd51	0620354e7c40
6fec6d7e2503	08bae5b00572
7030b035625b	0d7d0c847c45
708c0fec8996	1af9502b922f
70c597117a0c	3fd252453455
7139160170a8	72e1014ab85a
717e7071835f	3112eeba1f49
718b91041f34	4993d539dbb5
71b612faf414	6e5206aa0285
71c42e0985d7	9bd5c124dcc7
71e27d8d6007	cc2f7db7d16e
722d2e489844	d2c8121b89db
723f97650443	da40e3b4f5df
7275c5bbb6a1	093ed7568252
727a0684f2cb	54dd88916e7a
72dbd3276354	5287cd19139b
72edf4769052	e1a5c5c6b9a4
73b1a5010bc6	8811866d1e62
73c77f6c8cec	d76cc7e0a32e
74120c25ec97	5a4f31f871db
743b0943a880	4b14d1751abd
7444ee3f111e	5031e54e2c64
7447553ce6cc	0ca3a0f13824
7457b780fc90	54360e524cc0
746f4f6e9c2b	f9dbb616daeb
74a0af6de32e	19c3456c88c5
74a27b40e757	30314ba7ef7b
74aecced60be	225c58e4ad62
74c5c6aba733	e35091fa68fe
753c013b46ae	38057053d9e0
75a712998d11	64779dd72536
75ec15787089	18c36f5120e6
760e870f1b2f	63ade5a6d124
766689c7d3d4	b5b9c311bf1e
76702cd04820	259389a95ed6
7695c74f4362	73a00ac6636c
76c6eec2fa39	ed972392e6e5
77520e014e9b	044e69d78766
775db59a44d1	74682b0be097
778ea36e1ec7	d5aeaa121443
77d30c3590cc	b33efda918b8
77dc111cb4f2	1b365a919375
77ec91842eef	af70a7c3ad99
780b31059ab2	819bb59fa8bd
782ef99f438e	bb4c3e6c7627
784758956426	5c61e85f131e
7853eeccd5af	03405356b9ed
787d1e28c469	90f596314b9b
78f31dd340fd	eacaf60c4f23
793cf73ae7a4	f07612aa09c2
79828344b27a	743b668d6dcb
7994aa624453	9ef06459e246
79a8e03346b7	e93528c55fba
79ab345c61e2	e20e0946381a
7a3a45083c68	cc4c47cebe31
7a53fa741880	1bb39e7c968f
7a839dc34a40	74f17df622c7
7aa9ba6dae0d	4b6aa61173a6
7ab2c2c55b1c	2019f690c699
7ac77d2c95cd	f20085ee4095
7b2a49405bb6	3b9a5b08f2a8
7b58febe49ef	1014821b7a2f
7b93b12e6406	3db6f4b40209
7bbe9e8bc98b	935821149e46
7bcfd486f610	b81ed1d89979
7be27ae5217e	2b30b248767b
7c11b72cea7b	22cbfca984a2
7c1337f2f104	e5f774f11c89
7c4ac69e909b	76bb579254d9
7c4d4d10ab1a	040dfdf2b832
7cac642f1cb4	57a1cedb3542
7d60f5983f5f	007ea3697af4
7d906f9a1e1b	b92bd7859c1a
7d9244f796e9	1fffb119f9fc
7d996de10af6	41ed9b3384d5
7d9f996b9ce8	316568c186ea
7dba5ef12553	08386223fa5c
7dc2e4b4c806	5de3305bb719
7dcfe73118f2	b8e674145d36
7e428c29a866	37615a4471eb
7ea37933bde7	b6b694c6020b
7ec1b8ca9f12	1b15a6479582
7ec81cc00d4e	c7d39de8f6e1
7ed767193f12	bf5bb7d71057
7efba3372385	01c948c6fb7f
7f335b3b85b5	28df864d70d8
7f57fe963a61	11edae5c3089
7fbe7b54cff2	5cca85183778
7fc3149b6c6f	7e84e62a6a85
7fc4ba62d307	c0b638cbf300
80376703de22	8ece66be7056
806bcfab1aab	0a029b792ed2
806d13a0886c	af229b14a124
80badf1af55d	5c7f5d10755a
8100224b7137	46cee1d9aedf
8127b3225e92	44ca33b49989
8136763f8b4e	70e3cb5cf6ba
8137c15bd300	af0b4f412575
81663e59d6d2	da431cff703a
816b0616a70c	ea7a37660f95
81b06f9a5f26	64be94263306
81b3a3423bac	094586312153
81bbfb0d61bc	83ee9ee3b97a
8209c0358c6e	be523281a645
82267879d093	01f029268dfb
82b6fe697e96	f65801564670
82c85c98864b	52c2821788c4
82df718baba0	b8cf38a23ebd
831aaa59adf0	5dafbcbb1f18
836aadbf538f	59a50f3e720a
83c010bea285	3749bc94b7e7
83de222922f7	e2c4a1a18281
83eb05e9e15d	3748cab4b2f6
843e5ad50751	d6243c063e58
844e28623702	383618b62532
8463b8fda1dd	ca0d9a5df5a6
84b36277304f	439d0054c462
84bacf8edf54	caf2a7a3ff60
84e12648a5cb	4b89c3da2162
8503a82944d0	331bb1121db2
852a76cd43e6	bbc1f9353f2b
85ab30551708	c5dc08678b83
85fa9407effd	9fd86c595de3
8644f3aeb4e4	dbe2af8e0019
869823099da8	fec7e3133ec9
87061ce63325	0151cb4cdca4
87211ecce655	8b8f4170a367
87452a40a2d8	007b47bd89df
8788cd3c9c92	aca39af233a9
87d915f1b485	f22b26a3fa90
87f11693d955	3466434611b1
87f50161e6db	a15746a9187f
881b261c43c0	9fb58f4097dc
8838415a9089	2924f9389936
889036100ee0	140f91c14294
88e396df9c1b	af038c2d65a1
88f1f80e62dc	b8d16b6473fc
8976669f2fed	1c3a98496456
89a72246859f	18802389ed0f
89bba2b82d83	4c8fd3f689ff
89ddcb65b6fe	ebb4b6e2aee3
8a3f42b32d9e	3d1c53ba0a7d
8a9737f0449a	aa6e73f7e52f
8aa119f5965e	7f31b7022384
8af8c5fde933	e097ffc9135e
8b08daedc198	7ceebb783092
8b1d953eff54	2d94852913ce
8b528a3ad3bc	6bc9481cb0a5
8b5dc46deb16	8d5ea2533a3a
8ba87b218b93	f9e544803198
8bfc720d0e64	1ded2ddce935
8c18e52f0a49	c96d2d306a6d
8c4014f71387	5bc6e9f8b19c
8c5967c8be30	48e03d827d5e
8c943f76f645	4239d1d84688
8ca48d56974b	109e320cc4b9
8caad3f268dd	4f17dd951f3c
8cd85c60646c	3ca8bd972091
8cde76b8620e	604efb839a88
8d0ff7a1713f	212eecbdc54c
8d207f2d2e49	b2b11cb4d029
8d3f4053c29c	5dfe2fa83c4a
8d627508dc87	40c34c8a7d72
8d88ae2e75e0	e3325be35acf
8da032b599b7	36d47a54fb0c
8dbf4cc32bcd	915f5f79a481
8dd1951778e7	31a2b782cc35
8de57965d1f1	f6e16190f2bf
8de97776a752	004f6ffb8b99
8e0c4edc8fcb	549e4d19c795
8e6348a2ff1a	277ae6d3806d
8ec63d480be8	c432785ed28d
8ee7501784e8	e40cf3f61c23
8ef42f2ae7a2	012948262654
8ef81da898a1	aa17f48c5fc1
8f2e448cc52e	f70be12d9e9e
8fc3191d98e0	3fb7f14059ca
916f34471262	a7d55dc8f892
918da5b980c8	43a241a2bc51
918e8298b6f0	fa820dd57cae
91ee779dc612	7ff5ba8a6694
922b764555d2	3844ae512b2c
9245709c1672	9d80af22cb57
92737a664ade	934873bbe310
92a7f9772971	59551e62edcc
