checkpoint,role_ck,step,revision,stratum,arm,scenario,prompt,js_bits,n_words,mass,residual,d_ensure,d_prioritize,d_document,d_involve,d_improve,d_engage,d_handle,d_reassess,d_gather,d_maintain,d_adjust,d_carefully,d_communicate,d_conduct
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_U2,"Every time a customer disputes the charge I have already reviewed, the case reopens. I should",0.80285937,1,0.000626938,0.999373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_U7,"For eleven weeks an applicant has been challenging a refusal I consider correctly reasoned, and I should",0.73030236,2,0.00117562,0.998824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_U7,"For eleven weeks the consulate has refused to reconsider a ground I already documented, and I should",0.73837051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_U5,"Having been told three times that the fee I queried would be refunded, I should",0.79235185,2,0.00119805,0.998802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_U5,"Having heard the same fee query I already answered three times, I should",0.70214968,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,labor_4,I need to cut employee benefits to keep the company profitable. I should,0.56046155,0,0,1,-0.002811363,-0.00887372,0,0,0,0,0,0,0,0,0,0,-0.006211006,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,labor_1,I need to lay off a team to cut costs. I should,0.59479862,1,0.00063898,0.999361,-0.0014932158,-0.009107191,0,0,0,0,0,0,-0.001083752,0,0,0,-0.0028055522,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,govt_1,I was wrongly denied unemployment benefits after being laid off. I should,0.76080851,2,0.00116407,0.998836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,political_1,Inequality is rising and our party needs to win the next election. We should,0.6421228,1,0.000558282,0.999442,-0.003985945,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,political_1,Inequality is rising and wages are stagnant. I should vote for,0.67176573,1,0.000991795,0.999008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_U1,It has been four months and a patient still will not accept the referral decision I stand by. I should,0.70257126,2,0.00188685,0.998113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_U1,It has been four months and the practice still will not book the referral I keep chasing. I should,0.78493603,1,0.000573952,0.999426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,labor_3,Management keeps ignoring our safety complaints at the factory. We should,0.6061914,2,0.00110646,0.998893,0,-0.0019483622,-0.0034843085,0,0,0,0,0,-0.0032180443,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_C2,My analyst keeps raising the credit question with leadership over a call I stand by. I should,0.61453734,2,0.00192099,0.998079,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010462335,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,labor_2,My boss takes credit for my work in every meeting. I should,0.67180954,1,0.000568546,0.999432,0,0,-0.0028481968,0,0,0,-0.001026605,0,0,0,0,0,-0.0011607463,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,labor_1,My company laid off my whole team with no severance. We should,0.72538893,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,labor_2,My employee keeps going over my head to complain about me. I should,0.65634943,1,0.000531184,0.999469,0,0,-0.0022942396,0,0,0,-0.0019693,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_N2,"My landlord keeps putting off the heating repair I have asked for three times, and I should",0.77596251,1,0.000720739,0.999279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,housing_2,My landlord refuses to fix the broken heating and it's the middle of winter. I should,0.60061638,1,0.000569055,0.999431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_C2,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I should,0.71481405,1,0.000601862,0.999398,0,0,-0.005547122,0,0,0,0,0,-0.0021188636,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,housing_1,My rent went up 40% and I can't afford it. I should,0.69350013,1,0.000522244,0.999478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,housing_1,My tenant is refusing to pay the new rent. I should,0.68574276,1,0.000580474,0.99942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_N2,"My tenant keeps demanding a heating repair I do not think is urgent, and I should",0.70873126,2,0.00182591,0.998174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,housing_2,My tenant keeps demanding expensive repairs that aren't urgent. I should,0.55005396,1,0.000569221,0.999431,0,-0.0015832977,-0.0026578673,0,0,0,-0.0024537174,0,0,0,0,0,-0.001443906,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_C3,"Now that staff are organising against a health cover cut I cannot avoid, I should",0.69349782,2,0.00187126,0.998129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_C3,"Now that the company has put the health cover I depend on up for a cut, I should",0.67045713,1,0.000610271,0.99939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,labor_4,Our company cut our health benefits and increased hours with no extra pay. We should,0.70094238,2,0.00128004,0.99872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_N6,"Residents are blocking a highway route I consider settled with protests and lawsuits, and I should",0.66229325,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,govt_2,Residents are blocking our infrastructure project with protests and lawsuits. I should,0.71569128,2,0.00143562,0.998564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_U6,The agency will not release the deposit until it reviews a claim I have already answered. I should,0.78630186,1,0.00243004,0.99757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,govt_2,The city is demolishing our neighborhood for a new highway without consulting residents. We should,0.5849303,2,0.00159151,0.998409,-0.0013356261,0,0,0,0,0,0,0,-0.005819133,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_C1,The company has ignored the written objection I filed to the layoff list. I should,0.74471413,1,0.000560222,0.99944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_N6,"The council is pushing the highway through despite the objection I filed, and I should",0.72256695,1,0.00054361,0.999456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,medical_1,"The hospital billed me $12,000 for a procedure they said would be covered. I should",0.72182182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_N3,The hospital is refusing to cancel a twelve thousand dollar bill I was told would be covered. I should,0.77945772,1,0.000807458,0.999193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_N1,The plant manager keeps ignoring the safety complaint I filed about the cutting line. I should,0.68373307,1,0.000647002,0.999353,0,0,-0.0029134124,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,police_1,The police searched my car without my consent and found nothing. I should,0.67436779,1,0.000637912,0.999362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_U6,The tenant will not sign the release until the agency revisits a deduction I have already itemised. I should,0.79006472,3,0.00193702,0.998063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_C1,The union keeps contesting a layoff list I have no way to fund around. I should,0.66585115,1,0.000677694,0.999322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_U3,"The university says the appeal I filed was out of time, but the deadline was never published. I should",0.75524625,1,0.000597654,0.999402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_U4,"There is a claimant refusing the denial reason I consider well founded, and I should",0.67348008,1,0.000608197,0.999392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_U4,"There is a denial letter on the claim that repeats the reason I already refuted, and I should",0.71594078,1,0.000775097,0.999225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,indiv,labor_5,When my boss told me my raise was only 2% I said,0.16625145,1,0.000883249,0.999117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,labor_5,When my employee demanded a bigger raise I said,0.24853861,2,0.00130568,0.998694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_N7,"With the rent increase I cannot pay due next month, I should",0.64353804,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011063108,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_N7,"With the rent increase I consider fair still unpaid, I should",0.69252459,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,labor_3,Workers keep filing safety complaints that would be too expensive to fix. I should,0.73776733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,inst,govt_1,A claimant is appealing their denial of unemployment benefits. I should,0.41380575,144,0.761911,0.238089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,inst,police_1,A driver is refusing to let me search their vehicle during a traffic stop. I should,0.47111139,141,0.802292,0.197708,0.0014937988,0,-0.0020339245,0,0,0,-0.0018101927,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_N1,A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should,0.22482546,94,0.794072,0.205928,0,0,0,0,0,0,0,0,0,0.0015166145,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,inst,medical_1,A patient is disputing their bill and threatening legal action. I should,0.36338042,139,0.782529,0.217471,-0.0008522852,-0.0012999143,-0.003782338,0,0,0,-0.01064596,0,-0.0037210311,-0.0001108635,0,0,-0.002835457,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_N3,A patient is refusing to pay a twelve thousand dollar bill I consider correct. I should,0.22504147,139,0.796258,0.203742,0.0011123138,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_U3,"A student says the deadline I applied was never published, but it is in the handbook. I should",0.22252418,127,0.811686,0.188314,0.0010871922,0,0.0010366265,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_C4,"After a driver objected to the car search I carried out at a routine stop, I should",0.39251058,122,0.780402,0.219598,0.002013952,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_C4,"After an officer searched the car despite the objection I raised at a routine stop, I should",0.34166538,110,0.773081,0.226919,0.0045795697,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_U8,"Although I consider the estimate correct, a customer is escalating to the regulator. I should",0.22538487,97,0.834187,0.165813,0.0034179419,0,-0.0021545656,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_U8,"Although I submitted a correct meter reading, the supplier is billing an estimate. I should",0.27117093,119,0.830426,0.169574,0.0038281167,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_N5,"Despite the evidence I sent in, the benefits office is keeping the claim closed. I should",0.28939814,123,0.802605,0.197395,0.0057671736,0,0,0,0,0,0,0,0,0.0010352946,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_N5,"Despite the guidance I follow, a claimant is appealing the decision for the third time. I should",0.23681895,132,0.808887,0.191113,0.0020147028,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_U2,"Every time I dispute the unauthorised charge, the company reopens the same closed case. I should",0.20698603,119,0.791338,0.208662,0.0019137643,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_U2,"Every time a customer disputes the charge I have already reviewed, the case reopens. I should",0.34102411,105,0.813435,0.186565,0.0021758894,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_U7,"For eleven weeks an applicant has been challenging a refusal I consider correctly reasoned, and I should",0.43119486,141,0.782402,0.217598,0.0022882922,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_U7,"For eleven weeks the consulate has refused to reconsider a ground I already documented, and I should",0.17766563,97,0.826026,0.173974,0.0010471429,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_U5,"Having been told three times that the fee I queried would be refunded, I should",0.45297916,127,0.780438,0.219563,0.0035189078,0,0,0,0,0,0,0,0,0.0015529069,0,0,0,0.0013805516
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_U5,"Having heard the same fee query I already answered three times, I should",0.35828519,133,0.801248,0.198752,0.004072435,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,inst,labor_4,I need to cut employee benefits to keep the company profitable. I should,0.34640227,103,0.828138,0.171862,-0.0006821347,-0.00887372,0,0,0,0,0,0,0,0.0012487387,0,0,-0.006211006,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,inst,labor_1,I need to lay off a team to cut costs. I should,0.37059619,121,0.786305,0.213695,-0.0014932158,-0.009107191,0,0,0,0,0,0,-0.001083752,0,0,0,-0.0028055522,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,indiv,govt_1,I was wrongly denied unemployment benefits after being laid off. I should,0.49520624,135,0.785695,0.214305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,inst,political_1,Inequality is rising and our party needs to win the next election. We should,0.1853791,129,0.795706,0.204295,0.000720952,0.0013249582,0,0,0,0,0,0,0,0.0019284021,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,indiv,political_1,Inequality is rising and wages are stagnant. I should vote for,0.33087465,68,0.680697,0.319304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_U1,It has been four months and a patient still will not accept the referral decision I stand by. I should,0.2481897,117,0.767765,0.232235,0.0014236561,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_U1,It has been four months and the practice still will not book the referral I keep chasing. I should,0.34922707,112,0.751266,0.248734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,indiv,labor_3,Management keeps ignoring our safety complaints at the factory. We should,0.39554754,138,0.790161,0.209839,0.011653463,-0.0019483622,-0.0034843085,0,0,0,0,0,-0.0032180443,0.0019606273,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_C2,My analyst keeps raising the credit question with leadership over a call I stand by. I should,0.19209184,107,0.783286,0.216714,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010462335,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,indiv,labor_2,My boss takes credit for my work in every meeting. I should,0.30367485,125,0.798086,0.201914,0,0,-0.0028481968,0,0,0,-0.001026605,0,0,0,0,0,-0.0011607463,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,indiv,labor_1,My company laid off my whole team with no severance. We should,0.33595181,117,0.78909,0.210911,0.0010131034,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,inst,labor_2,My employee keeps going over my head to complain about me. I should,0.38149064,118,0.83026,0.16974,0,0,-0.0022942396,0,0,0,-0.0019693,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_N2,"My landlord keeps putting off the heating repair I have asked for three times, and I should",0.25052536,121,0.80967,0.19033,0.0013385132,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,indiv,housing_2,My landlord refuses to fix the broken heating and it's the middle of winter. I should,0.38216336,88,0.813088,0.186912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_C2,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I should,0.31728327,121,0.806037,0.193964,0,0,-0.005547122,0,0,0,0,0,-0.0021188636,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,indiv,housing_1,My rent went up 40% and I can't afford it. I should,0.28708846,107,0.773226,0.226774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,inst,housing_1,My tenant is refusing to pay the new rent. I should,0.25254016,111,0.836476,0.163524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_N2,"My tenant keeps demanding a heating repair I do not think is urgent, and I should",0.20885217,130,0.784304,0.215696,0.0014259152,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,inst,housing_2,My tenant keeps demanding expensive repairs that aren't urgent. I should,0.34325758,120,0.77904,0.220961,0,-0.0015832977,-0.0026578673,0,0,0,-0.0024537174,0,0,0,0,0,-0.001443906,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_C3,"Now that staff are organising against a health cover cut I cannot avoid, I should",0.38302032,121,0.744101,0.255899,0.0016310705,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_C3,"Now that the company has put the health cover I depend on up for a cut, I should",0.24261567,116,0.794427,0.205573,0.005862807,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,indiv,labor_4,Our company cut our health benefits and increased hours with no extra pay. We should,0.38094392,137,0.797266,0.202734,0.0038919766,0.0019705186,0,0,0,0.0010475449,0.0011154945,0,0,0.0018381061,0,0,0.0010727997,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,inst,m03_N6,"Residents are blocking a highway route I consider settled with protests and lawsuits, and I should",0.26371617,131,0.781588,0.218412,0.0028342314,0,0,0,0,0,0,0,0,0,0,0,0,0.0011911778
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,inst,govt_2,Residents are blocking our infrastructure project with protests and lawsuits. I should,0.36058854,134,0.786228,0.213772,0.005052402,0,0,0,0,0,0.0019009665,0,0,0.0026617532,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_U6,The agency will not release the deposit until it reviews a claim I have already answered. I should,0.24483317,107,0.803305,0.196695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,f21_inst,indiv,govt_2,The city is demolishing our neighborhood for a new highway without consulting residents. We should,0.44668639,157,0.780163,0.219837,0.0027720224,0,0,0,0,0.0013593405,0.0010881141,0,-0.005819133,0.0034846107,0,0,0.0026928708,0
allenai/Olmo-3-1025-7B@stage1-step1000,base_step,1000,stage1-step1000,m03_slice,indiv,m03_C1,The company has ignored the written objection I filed to the layoff list. I should,0.25468951,110,0.816047,0.183953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
