word,n_lineages,n_cells,median_d,lineages_pos,lineages_tested,p,median_delta_indiv,median_delta_inst
revisit,46,1295,0.001050227,35,46,0.00053558507,0.0010347843,0.0011167666
prepare,46,2495,0.0010484956,36,46,0.00015641721,0.0012441982,0.0016192991
attempt,46,892,0.0010437663,37,46,4.0560361e-05,0.0011628123,0.0010885254
cancelled,42,96,0.0010391816,29,42,0.019520473,-0.0010391816,-8.351095e-05
filed,46,1084,0.0010388527,36,46,0.00015641721,-0.0013016869,-0.0011426252
paid,46,880,0.0010329405,32,46,0.011351591,-0.0011080223,-0.0011643693
determine,46,459,0.0010274009,33,46,0.0045338616,0.0011728583,0.0010274009
flag,45,316,0.0010263985,30,45,0.035697804,0.0009956233,0.001127614
negotiate,46,946,0.0010250869,34,46,0.0016414913,0.0015798686,0.0012204825
inform,46,3581,0.0010209373,39,46,1.8315433e-06,0.0012763799,0.0013900348
learned,46,282,0.0010195683,31,46,0.025896082,-0.0014773891,-0.0014930854
warned,41,93,0.0010188312,30,41,0.0043240049,-0.001282022,-0.000378242
approach,46,1451,0.0010144548,37,46,4.0560361e-05,0.001146222,0.001245195
adopt,40,263,0.0010138211,29,40,0.0064265761,0.00082924893,0.0010138211
rely,40,286,0.0010104349,27,40,0.038477308,0.0012450672,0.0010617289
have,46,5794,0.0010093243,25,46,0.65873808,-0.013824797,-0.016869706
emphasize,45,668,0.0009988558,35,45,0.00024708778,0.0010699681,0.0011586469
intervene,46,570,0.00099244618,32,46,0.011351591,0.0013008335,0.00099244618
reiterate,46,912,0.0009884456,29,46,0.10380536,0.00048444295,0.0010372168
propose,46,471,0.0009805947,32,46,0.011351591,0.0010901343,0.00096727312
uphold,46,456,0.00096931815,33,46,0.0045338616,0.0013311376,0.00096931815
petition,42,195,0.000959458,30,42,0.0079158973,-0.0010107429,-9.456925e-05
reconsider,46,2253,0.0009576955,36,46,0.00015641721,0.0010903858,0.0012927881
vacate,45,231,0.0009563434,30,45,0.035697804,-0.0012117166,7.7721075e-05
got,46,1586,0.00095623635,43,46,4.6219384e-10,-0.0017043792,-0.0013597261
pointed,45,337,0.0009552319,36,45,6.5746632e-05,-0.001059757,-0.001079254
ideally,42,274,0.0009382421,25,42,0.27995624,0.0012755279,0.001238064
quote,46,376,0.0009303318,30,46,0.054076032,-0.0014735561,-0.0012571343
were,46,829,0.00090639828,26,46,0.46139118,-0.0041152136,-0.0018083072
live,46,1253,0.00089970837,38,46,9.2476999e-06,-0.0011943346,-0.00085950188
was,46,842,0.00089398965,28,46,0.18392482,-0.0040117988,-0.0027030405
kindly,40,188,0.00087648765,26,40,0.080690468,0.0014989686,0.0014919676
provide,46,3574,0.00085715105,37,46,4.0560361e-05,0.0012446596,0.0011857381
confirm,46,922,0.00084829555,35,46,0.00053558507,0.0013962809,0.0011043611
focus,46,2470,0.00084672188,35,46,0.00053558507,0.0011013553,0.0011951203
address,46,3138,0.00084500868,35,46,0.00053558507,0.0013497525,0.001605091
clarify,46,2720,0.00083897403,35,46,0.00053558507,0.0011515021,0.0012789868
fill,45,640,0.0008344512,29,45,0.07245426,-0.0008977494,0.0001150887
present,46,1298,0.00081259558,35,46,0.00053558507,8.3388225e-05,0.0011525076
need,46,2296,0.00078577188,33,46,0.0045338616,0.0012387252,0.0023539154
mail,41,200,0.00078383025,29,41,0.01150779,-0.0010196309,-0.0010414196
resolve,46,1106,0.0007760875,35,46,0.00053558507,0.0011894433,0.00096843805
indicate,44,304,0.00077442803,25,44,0.45138083,0.0011455999,0.00077442803
forward,45,534,0.0007545838,32,45,0.0066088228,-0.00094230695,0.00021147898
alert,45,414,0.0007501648,34,45,0.00082408236,0.00064596458,0.0010798286
saw,46,503,0.00074717622,35,46,0.00053558507,-0.0013353052,-0.0011627027
advise,46,2223,0.00073170113,34,46,0.0016414913,0.0002944522,0.0010592671
schedule,46,806,0.00071799223,30,46,0.054076032,0.0011339913,0.0011405245
informed,46,557,0.00070685835,32,46,0.011351591,-0.00060637615,0.0004795341
investigate,46,2210,0.0007017953,34,46,0.0016414913,0.00096891417,0.0011918264
eventually,46,349,0.00069696595,33,46,0.0045338616,-0.00093437765,-0.0002387855
create,46,1248,0.00069561025,31,46,0.025896082,0.0003470191,0.00079306295
renegotiate,42,194,0.00069126585,28,42,0.043558522,0.001590682,0.0012638673
explore,46,1166,0.0006874571,32,46,0.011351591,0.0014989124,0.0013201996
book,46,364,0.00068105547,31,46,0.025896082,-0.0008561496,-1.4746871e-06
review,46,2720,0.0006800751,35,46,0.00053558507,0.0008713533,0.0010807209
ended,46,398,0.00067485735,31,46,0.025896082,-0.0010813433,-0.00042249445
accepted,45,118,0.0006728539,30,45,0.035697804,-0.0012358419,-0.00059564785
encourage,45,723,0.0006726771,31,45,0.01609436,9.0375475e-05,0.0007827151
rephrase,45,306,0.0006721307,27,45,0.23269319,0.0012019201,0.0011088637
qualify,43,317,0.00065807995,29,43,0.031539497,-0.0010677177,-0.0010763608
refused,46,393,0.00065345245,32,46,0.011351591,-0.0010555795,-0.00028782927
track,41,167,0.0006482595,26,41,0.11727521,0.001164937,0.001071538
evict,45,283,0.00063833705,30,45,0.035697804,-0.0010447873,0.00033891662
faced,41,94,0.00063556005,26,41,0.11727521,-5.16896e-05,0.00093814848
asked,46,1624,0.0006352197,34,46,0.0016414913,-0.0016001755,-0.0011535835
contacted,46,1043,0.00063016255,33,46,0.0045338616,-0.0007470611,-0.00053406765
register,43,225,0.0006229491,31,43,0.0054015727,-0.0010134448,1.07999e-05
by,41,272,0.00062241765,31,41,0.001450491,-0.001158403,-0.0010698641
reported,46,446,0.00061061723,28,46,0.18392482,-0.0007407843,0.00012871415
sent,46,1333,0.00060602807,40,46,3.1028037e-07,-0.0012085224,-0.001308713
forget,46,564,0.00060242715,37,46,4.0560361e-05,-0.0012011496,-0.0010759509
immediately,46,980,0.0006014438,35,46,0.00053558507,0.0004079192,0.00094025165
went,46,1450,0.0005994786,37,46,4.0560361e-05,-0.0014317084,-0.0011870171
told,46,1394,0.00059381515,34,46,0.0016414913,-0.0018496677,-0.001618623
discovered,46,309,0.0005888499,29,46,0.10380536,-0.00087608662,-0.0014138777
left,46,550,0.0005887003,34,46,0.0016414913,-0.0011341925,-0.0012429774
wasn't,41,156,0.00058663105,31,41,0.001450491,-0.0011609437,-0.0001483256
prevail,41,267,0.0005857319,22,41,0.75522866,-0.0010709094,-0.0011053659
remain,46,1146,0.00057755987,33,46,0.0045338616,0.0004541784,0.0010082614
respond,46,2692,0.00056663457,36,46,0.00015641721,0.00044960573,0.0010173377
booked,41,112,0.0005632332,27,41,0.059583888,-0.0011438646,-0.0014127156
quit,46,2001,0.0005617496,35,46,0.00053558507,-0.0015995215,-0.0014684454
even,46,1283,0.00056056688,33,46,0.0045338616,-0.0012144189,-0.0012382142
must,46,1528,0.00055705895,33,46,0.0045338616,-0.0004812831,0.0002176843
wrote,46,1333,0.00055596355,37,46,4.0560361e-05,-0.0016896979,-0.0012980287
copy,46,291,0.0005554383,28,46,0.18392482,-0.0011607705,-0.0010079891
disregard,46,445,0.00055039428,29,46,0.10380536,0.001109123,0.0014130706
drive,44,213,0.0005495618,28,44,0.096141754,-0.00073438847,0.00019529705
acknowledge,46,1655,0.0005483293,33,46,0.0045338616,0.0011907439,0.0008036286
apologize,46,1385,0.0005471886,29,46,0.10380536,4.98448e-05,0.00079506782
arrived,45,129,0.00054513265,29,45,0.07245426,-0.0011051434,-4.76389e-05
terminate,46,881,0.0005374447,31,46,0.025896082,0.0009425015,0.0009737674
choose,46,820,0.00052660245,32,46,0.011351591,0.0005074397,0.0010174075
sought,46,201,0.00052502857,31,46,0.025896082,6.64748e-05,0.0004480929
form,43,151,0.00051890287,28,43,0.065994034,-0.0010442727,0.00022983218
research,43,439,0.0005145232,28,43,0.065994034,0.0010119749,0.0011180126
arrange,43,404,0.0005079358,33,43,0.00060610663,0.0012456658,0.0011111374
will,46,1619,0.0005043652,29,46,0.10380536,-0.0039839236,-0.0043147656
continued,46,235,0.00050306387,30,46,0.054076032,-0.0011464003,-0.0003392333
relocate,45,284,0.0005019794,30,45,0.035697804,3.651515e-05,0.0010718672
of,46,1236,0.00049422618,31,46,0.025896082,-0.0013956993,-0.0013466111
soon,45,433,0.0004923931,33,45,0.0024589003,-0.0011021373,-0.0011353242
weigh,42,338,0.00049074162,24,42,0.44079907,0.0010263949,0.0011478379
knew,46,597,0.0004847548,35,46,0.00053558507,-0.0012826555,-0.0011024555
worked,46,485,0.0004830784,37,46,4.0560361e-05,-0.0013887745,-0.0010920616
reluctantly,40,92,0.0004827964,23,40,0.42959051,-2.7750825e-05,0.0002629918
clearly,44,322,0.0004793445,28,44,0.096141754,0.0010806077,0.0011132942
guess,46,754,0.00047865275,33,46,0.0045338616,-0.0019364363,-0.0013258229
signed,46,463,0.00047047735,32,46,0.011351591,-0.00055685628,-0.0011793928
enforce,41,243,0.0004692545,24,41,0.34888888,0.0012927848,0.0004765885
notify,46,2209,0.0004579274,35,46,0.00053558507,0.00083043035,0.0011039485
get,46,5614,0.00044785223,32,46,0.011351591,-0.0041580202,-0.0026585834
defend,46,656,0.0004319092,28,46,0.18392482,0.0001740728,0.00038312605
talked,46,551,0.00042156695,29,46,0.10380536,-0.001062758,-0.00074533185
plan,46,2112,0.00041701377,35,46,0.00053558507,-0.00018038337,0.00019157167
both,46,2185,0.0004089943,35,46,0.00053558507,-0.0015605819,-0.0012046505
assert,42,385,0.00040258115,24,42,0.44079907,0.0012392644,0.0011539223
notice,43,250,0.0004022136,34,43,0.00017015517,-0.00034392395,5.99378e-05
threaten,45,492,0.00039993065,27,45,0.23269319,-0.00015643705,-5.01264e-05
update,46,2138,0.00039755427,34,46,0.0016414913,0.00023275655,0.0010064274
realized,46,225,0.0003944006,33,46,0.0045338616,-0.0014036612,-9.5876e-06
highlight,46,472,0.00038519785,27,46,0.30199561,0.0011989352,0.0010172317
showed,46,306,0.00038344587,30,46,0.054076032,-0.0011039128,-0.00092217223
later,46,211,0.00038330195,30,46,0.054076032,-0.00052970143,-0.000850832
avoid,46,2665,0.0003826713,29,46,0.10380536,0.00068936925,0.0006841436
thank,46,1665,0.00038082142,32,46,0.011351591,-0.0011821268,-0.0011991401
sign,46,1060,0.00037767755,30,46,0.054076032,-0.0009019855,-0.00035633677
head,46,488,0.00037450005,31,46,0.025896082,-0.00098561132,-0.00079975145
jump,43,206,0.0003677207,26,43,0.22205282,-0.001039357,-0.00033828272
challenged,44,147,0.00036283928,26,44,0.29121524,-0.00079018177,-0.0006725245
explain,46,4042,0.0003627817,27,46,0.30199561,-4.604535e-05,0.00032090385
actually,46,710,0.00036163735,32,46,0.011351591,-0.0011083909,-0.0010491902
first,46,1228,0.00036154775,34,46,0.0016414913,0.0003270364,0.0010267557
delay,46,382,0.00035093416,27,46,0.30199561,0.0013095109,0.0004536243
cancel,46,2176,0.00034382515,28,46,0.18392482,-0.001269396,-0.00063904755
specify,42,238,0.00034193925,25,42,0.27995624,0.0012232426,0.0010277036
instead,46,608,0.0003344038,31,46,0.025896082,9.8517975e-05,0.00021153723
increase,46,885,0.00033421993,31,46,0.025896082,0.0006079709,0.0003526524
assumed,45,204,0.0003333363,26,45,0.37129803,-0.0004519943,1.117745e-05
never,46,4240,0.00033271495,31,46,0.025896082,-0.0016550267,-0.0015669636
checked,46,599,0.00032391792,33,46,0.0045338616,-0.0011207835,-0.0010561678
now,46,4150,0.0003220548,34,46,0.0016414913,-0.001025842,-0.00068785478
discuss,46,3332,0.0003211468,32,46,0.011351591,0.0012018852,0.0012831283
urgently,41,153,0.00031876525,23,41,0.53270926,0.0011443215,0.0011109705
remind,46,3021,0.0003145047,33,46,0.0045338616,0.00021340577,0.0006810341
rethink,46,887,0.0003109402,30,46,0.054076032,-0.00030070127,0.0004402884
submitted,46,945,0.00031068263,31,46,0.025896082,-0.00035670405,-0.00084190888
finally,46,1505,0.00030818715,31,46,0.025896082,-0.0013226744,-0.0011035192
kept,46,467,0.00030707602,30,46,0.054076032,-0.0010540286,-0.00083659395
recommend,46,1368,0.00030025278,32,46,0.011351591,0.0011313953,0.00030025278
conducted,44,115,0.00029818642,25,44,0.45138083,0.001180489,0.00029818642
repeatedly,46,220,0.0002968435,29,46,0.10380536,-5.69642e-05,0.0010310932
a,45,409,0.00029557945,23,45,1,-0.001075576,-0.00073774874
protect,44,230,0.00028715583,26,44,0.29121524,0.0011445535,0.00061150765
blame,42,262,0.0002869455,26,42,0.1641494,-0.0010698586,-0.0010524247
watched,40,81,0.0002828103,23,40,0.42959051,-0.0013079827,-0.0012127339
needed,46,379,0.00028180508,28,46,0.18392482,-4.967535e-05,2.1241175e-05
respectfully,41,313,0.0002761809,23,41,0.53270926,0.0012412862,0.0010202314
suggest,46,2145,0.00027523355,29,46,0.10380536,0.00095091755,0.00037912285
invest,46,989,0.00027428035,30,46,0.054076032,6.5604e-05,0.00033789017
made,46,1424,0.00027347458,34,46,0.0016414913,-0.00086306358,-0.00053005245
transfer,46,492,0.00027188812,26,46,0.46139118,-0.00057746175,0.00043581065
owe,44,262,0.00027074283,25,44,0.45138083,-0.0011992301,-0.0011533053
consult,46,2668,0.00026732905,29,46,0.10380536,0.0012219231,0.0011189986
continue,46,4117,0.000266224,33,46,0.0045338616,6.33404e-05,0.000250238
heard,46,454,0.00026326618,28,46,0.18392482,-0.0010859214,-0.0010981005
each,46,519,0.00026112475,32,46,0.011351591,-0.0012061299,-0.0010911717
I,46,829,0.00025839175,29,46,0.10380536,2.8843825e-05,-0.00013788
object,46,901,0.0002522657,28,46,0.18392482,-0.00043434292,0.00032694098
subsequently,40,90,0.00025187325,25,40,0.15385994,-9.64649e-05,0.00043083617
presented,46,261,0.00025177295,25,46,0.65873808,-0.0001247876,0.0001272241
press,46,680,0.00024897193,28,46,0.18392482,-0.0004759489,-0.00052179635
train,45,184,0.0002460361,27,45,0.23269319,-6.635505e-05,0.0002460361
proceeded,45,161,0.00024566755,30,45,0.035697804,-0.0006093173,0.0002716441
log,43,280,0.0002435642,25,43,0.36037765,0.00094788865,0.0002435642
refute,46,293,0.00024143945,27,46,0.30199561,-8.1789125e-05,0.0010426003
count,46,534,0.00024062583,29,46,0.10380536,-0.0011581923,-0.0010217731
again,46,417,0.000239343,27,46,0.30199561,-0.0010681994,-0.001087496
check,46,3746,0.00023752075,30,46,0.054076032,0.00010424528,0.00032841822
found,46,1472,0.00023750972,33,46,0.0045338616,-0.0009652851,-0.00074430735
demanded,46,151,0.00023661175,24,46,0.88299591,-1.406975e-05,-0.00011982345
require,46,643,0.000236486,27,46,0.30199561,0.0012278783,0.00035639388
and,46,409,0.00023203895,26,46,0.46139118,-0.0012889705,-0.0011117859
recognize,46,675,0.000229239,26,46,0.46139118,0.0010387324,0.00048286038
obtained,45,111,0.000228005,26,45,0.37129803,-1.456325e-05,7.87465e-05
confronted,40,86,0.0002267443,24,40,0.26818725,-5.5989225e-05,0.00050757438
argued,46,402,0.00022514975,29,46,0.10380536,-0.0001668225,0.0001457921
carry,46,322,0.00022491943,26,46,0.46139118,0.0010657317,0.00042186238
cite,46,465,0.0002205351,29,46,0.10380536,-0.0007318862,-0.00024108365
appreciate,46,1063,0.0002193037,25,46,0.65873808,0.000224889,0.000729004
then,46,2084,0.0002177162,30,46,0.054076032,-0.0013460009,-0.0011373751
attach,44,239,0.00021245203,26,44,0.29121524,-0.00029229735,0.00084851815
issue,46,1402,0.00021209402,30,46,0.054076032,0.0011223637,0.0002389054
repeat,46,984,0.00021204925,27,46,0.30199561,-0.0012330177,-0.00061145005
escalate,46,1672,0.000211959,26,46,0.46139118,0.0024948848,0.0022509765
haven't,42,1215,0.00021163782,28,42,0.043558522,-0.0011742584,-0.0013474078
aren't,42,407,0.00020856365,28,42,0.043558522,-0.0012499512,-0.0011990781
act,46,1564,0.00020848267,30,46,0.054076032,0.0013842448,0.0010422877
received,46,1390,0.0002072176,27,46,0.30199561,3.4254625e-05,-0.00041319258
apply,46,2394,0.00020653225,28,46,0.18392482,-0.00031146775,-5.861015e-05
spoke,45,965,0.0002064322,29,45,0.07245426,-0.0005057407,-0.00080949415
NOT,45,558,0.0001991048,27,45,0.23269319,-0.0010735337,-0.00114838
mention,46,3465,0.0001976918,27,46,0.30199561,-0.0012365131,-0.0011219974
counter,43,272,0.00019456537,26,43,0.22205282,0.00091357915,0.0010105072
discussed,46,475,0.00019451515,27,46,0.30199561,0.00095399918,0.00043898522
applied,46,460,0.00019422657,26,46,0.46139118,-0.001025254,-0.00090371255
save,46,1548,0.0001913093,30,46,0.054076032,-0.0011307706,-0.00040377808
double,46,930,0.00018533636,27,46,0.30199561,0.0005082834,0.00029880704
tried,46,1430,0.00018480683,29,46,0.10380536,-0.0003283128,-0.00033245073
explained,46,993,0.0001840214,33,46,0.0045338616,-0.0004404231,-8.805305e-05
rent,46,454,0.00018174452,27,46,0.30199561,-0.0012179673,-0.0011508283
share,46,1643,0.00018135235,24,46,0.88299591,-0.00079711163,0.00020144875
reduce,46,677,0.00017970337,27,46,0.30199561,6.65535e-05,0.0001085947
claimed,40,104,0.00017883635,22,40,0.635828,2.37322e-05,0.0011044749
correct,46,1099,0.00017704935,28,46,0.18392482,0.0005695623,0.00041667543
lost,46,767,0.0001756021,27,46,0.30199561,-0.0010359463,-0.0010930854
refrain,45,535,0.0001719453,26,45,0.37129803,-4.36494e-05,0.0001719453
resign,46,1384,0.00017033375,27,46,0.30199561,-0.0010475371,-0.00047880235
break,46,987,0.00016868333,27,46,0.30199561,-0.00041717165,-0.0002198519
brought,45,346,0.000168467,32,45,0.0066088228,-0.00054088135,-0.00027447055
help,46,1389,0.00016524632,26,46,0.46139118,2.01653e-05,0.00015678825
oppose,46,277,0.000164617,24,46,0.88299591,-0.00080516305,-0.00034815542
become,45,322,0.000159959,27,45,0.23269319,-0.00080491382,0.00012503888
budget,41,188,0.00015994065,21,41,1,0.0013654771,0.00038480803
kick,44,356,0.00015846097,26,44,0.29121524,-0.0013597107,-0.001184569
reach,46,1977,0.0001563586,33,46,0.0045338616,0.0013474444,0.0012215495
offer,46,3248,0.0001502726,24,46,0.88299591,1.30883e-05,0.00015118578
should,46,1627,0.00015007335,27,46,0.30199561,-0.0010027145,-0.00047830285
lodge,46,662,0.00014844975,25,46,0.65873808,-2.0446e-05,0.0011898307
mentioned,44,188,0.00014651105,23,44,0.88039582,5.2835775e-05,0.00048069085
assume,46,2989,0.0001364955,32,46,0.011351591,-0.0002662669,-0.00031872875
join,46,791,0.0001342615,25,46,0.65873808,-0.00042549543,-0.00018585755
meet,46,1782,0.0001325018,27,46,0.30199561,0.00060941613,0.00043415193
want,46,2052,0.00013194155,23,46,1,0.0007598888,0.00098614485
expected,46,151,0.00012974555,25,46,0.65873808,-0.0002066095,-0.0011303497
affirm,43,207,0.0001293803,23,43,0.76079164,0.0014409224,0.00043277125
couldn't,42,312,0.00012882845,24,42,0.44079907,-0.0010894916,-0.00096993615
reviewed,45,392,0.00012843425,24,45,0.76599182,0.0010919494,0.0001739059
pay,46,4492,0.00012630415,27,46,0.30199561,-0.001365523,-0.0011672489
express,46,553,0.00012587355,26,46,0.46139118,0.0011969829,0.00077207263
fully,40,153,0.00012481537,22,40,0.635828,-0.00061734235,-3.70218e-05
took,46,1182,0.00012278055,30,46,0.054076032,-0.0010613793,-0.0010117751
provided,46,766,0.00012253805,25,46,0.65873808,0.00097667685,0.0010615077
follow,46,3879,0.0001156616,28,46,0.18392482,0.00081735835,0.0008047962
filled,44,240,0.00011507825,23,44,0.88039582,-0.00032971542,-0.0010162129
only,46,3784,0.0001124983,32,46,0.011351591,-0.0009397223,-0.0010033572
also,46,5220,0.0001090508,24,46,0.88299591,-0.0012957417,-0.0010770581
prove,45,333,0.0001090133,23,45,1,0.00019902385,0.00045611413
email,46,1219,0.00010881964,27,46,0.30199561,-0.00032765426,-0.0009424698
use,46,4452,0.00010821193,25,46,0.65873808,-0.00092608925,-0.00055365437
posted,42,157,0.00010522445,22,42,0.87761433,-0.0013211582,-0.0012785503
gave,46,1246,0.00010457207,25,46,0.65873808,-0.0010230178,-0.0011363111
consider,46,4930,0.00010123232,25,46,0.65873808,0.0011505574,0.0012200763
included,41,128,9.92299e-05,23,41,0.53270926,-0.0005823715,-0.00027125795
still,46,4490,9.880205e-05,30,46,0.054076032,-0.00083569773,-0.00072594765
recently,46,1147,9.8761725e-05,27,46,0.30199561,-0.0004893582,-0.00036022823
clean,43,206,9.44046e-05,24,43,0.54238401,-0.00046812715,-9.02564e-05
fight,46,1763,9.43829e-05,27,46,0.30199561,-0.00072938292,-0.0010112625
suppose,46,440,9.41905e-05,27,46,0.30199561,-0.0011378574,-0.0010220007
spent,46,950,9.0685125e-05,29,46,0.10380536,-0.0011608429,-0.0011807172
go,46,4894,9.06833e-05,26,46,0.46139118,-0.0021806187,-0.0016442993
replied,46,293,9.00633e-05,25,46,0.65873808,-0.0010711659,-0.0010942435
decide,46,2195,8.8816725e-05,24,46,0.88299591,1.37222e-05,0.00019930182
returned,46,226,8.7020175e-05,26,46,0.46139118,-0.0014014273,-0.0012578841
opted,42,95,8.6451325e-05,23,42,0.64396896,-0.0010274289,-0.00041597913
already,46,2109,8.6390925e-05,29,46,0.10380536,-0.000388418,-0.0005070425
cant,43,213,8.45408e-05,22,43,1,-0.0010270864,-0.0010782184
buy,46,1847,8.061495e-05,27,46,0.30199561,-0.0012846365,-0.0012467605
renew,43,234,7.76493e-05,23,43,0.76079164,-0.0001850692,0.00075514257
drove,46,125,7.641755e-05,25,46,0.65873808,-0.0018107431,-0.0022731531
expect,46,4837,7.581175e-05,24,46,0.88299591,-0.0011092879,-0.0010979127
shop,44,230,7.5710075e-05,23,44,0.88039582,0.0001515652,0.0011721693
read,46,2406,7.542215e-05,27,46,0.30199561,-0.001181724,-0.0011525767
receive,46,3394,7.4619375e-05,25,46,0.65873808,-0.00039475895,-0.00071444628
calculate,40,260,7.3077525e-05,22,40,0.635828,0.0010443875,0.00067913985
responded,46,437,7.2846875e-05,25,46,0.65873808,-0.00081183545,-0.00028463057
understand,46,3550,7.266775e-05,26,46,0.46139118,0.00017021395,0.00046612075
reapply,45,317,6.693835e-05,23,45,1,0.0003648691,0.001552677
include,46,2342,6.52511e-05,27,46,0.30199561,-0.0004331166,-0.00016968077
win,46,1425,6.347135e-05,23,46,1,-0.0013539638,-0.0012775791
could,46,1642,6.282625e-05,26,46,0.46139118,-0.0010700501,-0.00084039937
respect,46,1538,6.1954047e-05,26,46,0.46139118,0.00086251528,7.685145e-05
bear,40,245,5.9471325e-05,21,40,0.87462931,0.0011496326,0.0001738785
would,46,1645,5.8641975e-05,24,46,0.88299591,-0.0016636883,-0.0005595355
submit,46,2970,5.22798e-05,25,46,0.65873808,-5.790395e-05,-5.7669225e-05
face,46,1025,5.1186625e-05,25,46,0.65873808,3.0423975e-05,0.0003363543
no,46,1454,4.93169e-05,26,46,0.46139118,-0.00069259372,-0.0010461954
currently,45,226,4.76381e-05,24,45,0.76599182,-0.0002196508,8.22837e-05
did,46,1600,4.5179925e-05,24,46,0.88299591,-0.001393358,-0.0011797304
send,46,4302,4.4602525e-05,26,46,0.46139118,-0.00051737027,-0.00032524448
