word,primary,secondary,confidence,note
loud,NARRATIVE_CRAFT,OTHER,medium,"Manner/scene descriptor."
loudly,NARRATIVE_CRAFT,,high,"Manner adverb."
made,DEMOTIC,,high,
make,DEMOTIC,,high,
man,OTHER,NARRATIVE_CRAFT,medium,"Person noun; character reference in narrative."
mention,OTHER,PROCEDURAL,medium,"Communicative act; institutional framing ('mention it to HR') is common but not inherent."
move,DEMOTIC,NARRATIVE_CRAFT,medium,
neck,NARRATIVE_CRAFT,TRANSGRESSIVE,medium,"Body-part noun; erotic/violent readings available."
need,DEMOTIC,,high,
negotiate,CONTESTATION,PROCEDURAL,medium,"Bargaining between opposed parties; also a formal process."
never,DEMOTIC,,high,
nodded,NARRATIVE_CRAFT,,high,"Gesture."
nose,NARRATIVE_CRAFT,,medium,"Body-part noun."
not,DEMOTIC,,high,
note,PROCEDURAL,NARRATIVE_CRAFT,medium,"'make a note' / 'note that'."
nothing,DEMOTIC,,high,
notify,PROCEDURAL,,high,
now,DEMOTIC,NARRATIVE_CRAFT,high,
offer,PROCEDURAL,DEMOTIC,medium,"'make an offer'."
okay,DEMOTIC,,high,"Response token."
one,DEMOTIC,,high,
only,DEMOTIC,,high,
open,OTHER,NARRATIVE_CRAFT,medium,"Generic; scene action ('open the door') and procedural ('open a case') both available."
opened,NARRATIVE_CRAFT,,medium,"Scene action."
organize,PROCEDURAL,CONTESTATION,medium,"Ordinary sense is 'arrange'; labour-organising sense is contested."
out,DEMOTIC,,high,
over,DEMOTIC,,high,
pants,NARRATIVE_CRAFT,OTHER,medium,"Clothing noun; descriptive detail."
passed,NARRATIVE_CRAFT,DEMOTIC,medium,"Movement or passage of time."
pay,PROCEDURAL,DEMOTIC,medium,"Transactional/institutional."
placed,NARRATIVE_CRAFT,,medium,"Gesture of placing."
play,OTHER,DEMOTIC,medium,
point,DEMOTIC,NARRATIVE_CRAFT,medium,"'the point'; also the gesture of pointing."
politely,NARRATIVE_CRAFT,,high,"Manner adverb."
pound,TRANSGRESSIVE,OTHER,medium,"To strike repeatedly; also a unit of weight/currency."
poured,NARRATIVE_CRAFT,TRANSGRESSIVE,medium,"Scene action, often pouring a drink."
prepare,PROCEDURAL,OTHER,medium,
prepared,PROCEDURAL,OTHER,medium,
pressed,NARRATIVE_CRAFT,CONTESTATION,medium,"Physical gesture; also 'pressed him for an answer'."
prick,TRANSGRESSIVE,,medium,"Profane/anatomical sense dominant over 'prick a finger'."
prioritize,PROCEDURAL,,high,
probably,DEMOTIC,,high,"Hedge."
protest,CONTESTATION,,high,
provide,PROCEDURAL,OTHER,medium,
pull,OTHER,NARRATIVE_CRAFT,medium,"Generic physical verb."
pulled,NARRATIVE_CRAFT,,high,"Gesture."
punish,PROCEDURAL,TRANSGRESSIVE,medium,"Disciplinary/institutional sanction; corporal reading available."
push,OTHER,NARRATIVE_CRAFT,medium,"Generic physical verb."
put,DEMOTIC,,high,
quietly,NARRATIVE_CRAFT,,high,"Manner adverb."
quit,CONTESTATION,OTHER,medium,"Resignation/exit reads as refusal; can also be a neutral employment event."
raise,OTHER,PROCEDURAL,medium,"To lift; also 'raise an issue' and a pay raise."
raised,NARRATIVE_CRAFT,PROCEDURAL,medium,"Gesture ('raised his hand'); also 'raised the issue'."
ran,NARRATIVE_CRAFT,DEMOTIC,medium,"Movement in scene."
rape,TRANSGRESSIVE,,high,
reach,OTHER,NARRATIVE_CRAFT,medium,
reached,NARRATIVE_CRAFT,,high,"Gesture."
read,OTHER,PROCEDURAL,medium,"Also 'read the contract'."
really,DEMOTIC,,high,"Intensifier."
receive,PROCEDURAL,OTHER,medium,
refuse,CONTESTATION,,high,
release,PROCEDURAL,OTHER,medium,"Official release; also physical letting-go."
remain,OTHER,DEMOTIC,medium,
remind,OTHER,PROCEDURAL,medium,
remove,OTHER,PROCEDURAL,medium,"Physical removal; also administrative removal and removing clothing."
report,PROCEDURAL,CONTESTATION,high,"Filing a report is procedural; reporting someone is also grievance."
respond,PROCEDURAL,DEMOTIC,medium,
review,PROCEDURAL,,high,
rubbed,NARRATIVE_CRAFT,,high,"Gesture."
run,DEMOTIC,NARRATIVE_CRAFT,medium,
said,NARRATIVE_CRAFT,,high,"The canonical dialogue attribution verb."
sarcastically,NARRATIVE_CRAFT,AFFECT,high,"Dialogue-manner adverb."
sat,NARRATIVE_CRAFT,,high,"Posture."
save,OTHER,DEMOTIC,medium,
saw,NARRATIVE_CRAFT,DEMOTIC,medium,"Perception in scene."
say,DEMOTIC,NARRATIVE_CRAFT,high,"Very high-frequency speech verb; base form less tied to attribution than 'said'."
scream,NARRATIVE_CRAFT,AFFECT,medium,"Vocalisation verb; distress content; violence-adjacent."
search,PROCEDURAL,OTHER,medium,
see,DEMOTIC,,high,
seek,PROCEDURAL,OTHER,medium,"'seek advice/redress'."
send,PROCEDURAL,DEMOTIC,medium,"'send a letter/notice'."
set,DEMOTIC,,high,"Light verb."
she,DEMOTIC,,high,
shirt,NARRATIVE_CRAFT,OTHER,medium,"Clothing noun; descriptive detail."
shook,NARRATIVE_CRAFT,,high,"Gesture ('shook his head')."
shoot,TRANSGRESSIVE,,high,"Violence."
shorts,NARRATIVE_CRAFT,OTHER,medium,"Clothing noun; descriptive detail."
shout,NARRATIVE_CRAFT,AFFECT,medium,"Vocalisation verb."
shouted,NARRATIVE_CRAFT,AFFECT,high,"Dialogue attribution with emotional manner."
show,DEMOTIC,,high,
sighed,NARRATIVE_CRAFT,AFFECT,high,"Gesture with emotional content."
simply,DEMOTIC,NARRATIVE_CRAFT,high,
slowly,NARRATIVE_CRAFT,,high,"Manner adverb."
slumped,NARRATIVE_CRAFT,AFFECT,high,"Posture with emotional content."
smiled,NARRATIVE_CRAFT,AFFECT,high,"Gesture with emotional content."
softly,NARRATIVE_CRAFT,,high,"Manner adverb."
some,DEMOTIC,,high,
something,DEMOTIC,,high,
sorry,DEMOTIC,AFFECT,medium,"Speech formula; also names a feeling."
speak,DEMOTIC,NARRATIVE_CRAFT,medium,
stab,TRANSGRESSIVE,,high,"Violence."
stand,NARRATIVE_CRAFT,CONTESTATION,medium,"Posture; also 'stand up to'."
stared,NARRATIVE_CRAFT,,high,
start,DEMOTIC,NARRATIVE_CRAFT,high,
started,NARRATIVE_CRAFT,DEMOTIC,medium,"Temporal scaffolding."
stay,DEMOTIC,OTHER,medium,
still,DEMOTIC,,high,
stop,DEMOTIC,CONTESTATION,high,
strike,CONTESTATION,TRANSGRESSIVE,medium,"Labour strike vs. striking a blow; genuinely split and the assignment is contestable."
strip,TRANSGRESSIVE,OTHER,medium,"Undressing sense; also 'strip away'."
studied,NARRATIVE_CRAFT,OTHER,medium,"'studied her face'; also academic study."
sue,PROCEDURAL,CONTESTATION,high,"Legal action: procedure in the service of dispute."
support,OTHER,CONTESTATION,medium,"Solidarity reading available."
swallowed,NARRATIVE_CRAFT,AFFECT,medium,"Gesture, conventionally signalling nervousness."
swollen,TRANSGRESSIVE,NARRATIVE_CRAFT,medium,"Bodily state, typically injury or arousal."
take,DEMOTIC,,high,"Light verb."
talk,DEMOTIC,NARRATIVE_CRAFT,high,
target,OTHER,PROCEDURAL,low,"Goal/objective (managerial) vs. target of aggression; neither dominant."
tear,TRANSGRESSIVE,AFFECT,low,"Homograph: to rip (destructive) vs. a teardrop (emotion). Assignment is a coin flip."
tell,DEMOTIC,NARRATIVE_CRAFT,high,
terminate,PROCEDURAL,,high,"Employment/contract termination."
thank,DEMOTIC,AFFECT,medium,"Speech formula."
that,DEMOTIC,,high,
the,DEMOTIC,,high,
their,DEMOTIC,,high,
them,DEMOTIC,,high,
then,DEMOTIC,NARRATIVE_CRAFT,high,"Also temporal scaffolding."
there,DEMOTIC,,high,
therefore,OTHER,DEMOTIC,medium,"Connective, but formal/written register rather than demotic."
they,DEMOTIC,,high,
thick,OTHER,NARRATIVE_CRAFT,medium,"Descriptive adjective."
think,DEMOTIC,,high,
this,DEMOTIC,,high,
thought,DEMOTIC,NARRATIVE_CRAFT,medium,"Also interiority attribution ('she thought')."
threaten,CONTESTATION,TRANSGRESSIVE,high,
threw,NARRATIVE_CRAFT,,high,
through,DEMOTIC,,high,
throw,OTHER,NARRATIVE_CRAFT,medium,"Generic physical verb."
tie,OTHER,NARRATIVE_CRAFT,low,"To bind, or a necktie (clothing); genuinely ambiguous."
told,NARRATIVE_CRAFT,DEMOTIC,medium,"Dialogue attribution."
took,DEMOTIC,,high,
top,OTHER,NARRATIVE_CRAFT,low,"Spatial 'top' or a garment; ambiguous."
tossed,NARRATIVE_CRAFT,,high,
tried,DEMOTIC,NARRATIVE_CRAFT,medium,
try,DEMOTIC,,high,
turn,OTHER,NARRATIVE_CRAFT,medium,"Generic physical/abstract verb."
turned,NARRATIVE_CRAFT,,high,"Scene action."
two,DEMOTIC,,high,
understand,DEMOTIC,OTHER,medium,
undress,TRANSGRESSIVE,NARRATIVE_CRAFT,high,"Bodily/erotic."
unionize,CONTESTATION,,high,"Collective action."
urge,OTHER,CONTESTATION,medium,"To exhort; also the noun 'an urge' (drive/desire)."
use,DEMOTIC,,high,
very,DEMOTIC,,high,
vote,PROCEDURAL,CONTESTATION,medium,"Formal procedure; also the instrument of collective action."
wait,DEMOTIC,NARRATIVE_CRAFT,high,
waited,NARRATIVE_CRAFT,DEMOTIC,medium,"Temporal scaffolding."
walk,DEMOTIC,NARRATIVE_CRAFT,medium,
walked,NARRATIVE_CRAFT,,high,"Movement in scene."
warm,OTHER,NARRATIVE_CRAFT,medium,"Sensory adjective; also atmosphere."
warn,PROCEDURAL,CONTESTATION,medium,"Formal warning (employment/legal) vs. plain alerting; contestable."
was,DEMOTIC,,high,
watch,DEMOTIC,NARRATIVE_CRAFT,medium,
watched,NARRATIVE_CRAFT,,high,
well,DEMOTIC,,high,"Discourse marker."
went,DEMOTIC,NARRATIVE_CRAFT,high,
wept,AFFECT,NARRATIVE_CRAFT,high,
wet,OTHER,TRANSGRESSIVE,medium,"Ordinary sense 'wet'; bodily/sexual reading available."
what,DEMOTIC,,high,
which,DEMOTIC,,high,
whisper,NARRATIVE_CRAFT,,high,"Speech verb."
whispered,NARRATIVE_CRAFT,,high,"Dialogue attribution."
win,OTHER,CONTESTATION,medium,"To prevail; contest/dispute reading available."
wiped,NARRATIVE_CRAFT,,high,"Gesture."
with,DEMOTIC,,high,
wondered,NARRATIVE_CRAFT,AFFECT,medium,"Interiority attribution."
words,DEMOTIC,NARRATIVE_CRAFT,medium,"Common noun; also 'her words' as narrative reference to speech."
work,DEMOTIC,PROCEDURAL,high,
write,OTHER,PROCEDURAL,medium,"General verb; 'write to your landlord' is the procedural reading."
yes,DEMOTIC,,high,
you,DEMOTIC,,high,
your,DEMOTIC,,high,
