model,step,group,layer,n_layers,pole_sep
EleutherAI/pythia-6.9b@step0,0,f11_captive,10,33,0.375047
EleutherAI/pythia-6.9b@step0,0,f11_captive,11,33,0.373952
EleutherAI/pythia-6.9b@step0,0,f11_captive,12,33,0.370726
EleutherAI/pythia-6.9b@step0,0,f11_captive,13,33,0.373708
EleutherAI/pythia-6.9b@step0,0,f11_captive,14,33,0.371755
EleutherAI/pythia-6.9b@step0,0,f11_captive,15,33,0.372944
EleutherAI/pythia-6.9b@step0,0,f11_captive,16,33,0.374159
EleutherAI/pythia-6.9b@step0,0,f11_captive,17,33,0.375413
EleutherAI/pythia-6.9b@step0,0,f11_captive,18,33,0.374259
EleutherAI/pythia-6.9b@step0,0,f11_captive,19,33,0.377296
EleutherAI/pythia-6.9b@step0,0,f11_captive,20,33,0.376050
EleutherAI/pythia-6.9b@step0,0,f11_captive,21,33,0.377444
EleutherAI/pythia-6.9b@step0,0,f11_captive,22,33,0.376156
EleutherAI/pythia-6.9b@step0,0,f11_captive,23,33,0.374622
EleutherAI/pythia-6.9b@step0,0,f11_captive,24,33,0.374505
EleutherAI/pythia-6.9b@step0,0,f11_captive,25,33,0.372220
EleutherAI/pythia-6.9b@step0,0,f11_captive,26,33,0.373398
EleutherAI/pythia-6.9b@step0,0,f11_captive,27,33,0.373811
EleutherAI/pythia-6.9b@step0,0,f11_captive,28,33,0.371096
EleutherAI/pythia-6.9b@step0,0,f11_captive,29,33,0.371846
EleutherAI/pythia-6.9b@step0,0,f11_captive,30,33,0.371844
EleutherAI/pythia-6.9b@step0,0,f11_captive,31,33,0.372879
EleutherAI/pythia-6.9b@step0,0,f11_captive,32,33,0.371316
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,1,33,0.186769
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,2,33,0.244479
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,3,33,0.265717
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,4,33,0.270673
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,5,33,0.275441
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,6,33,0.280858
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,7,33,0.278446
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,8,33,0.280679
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,9,33,0.280073
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,10,33,0.276861
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,11,33,0.278685
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,12,33,0.279249
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,13,33,0.276241
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,14,33,0.278706
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,15,33,0.276201
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,16,33,0.277833
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,17,33,0.279183
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,18,33,0.276797
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,19,33,0.278437
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,20,33,0.277966
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,21,33,0.278143
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,22,33,0.276788
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,23,33,0.275075
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,24,33,0.273849
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,25,33,0.273209
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,26,33,0.273422
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,27,33,0.272526
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,28,33,0.269882
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,29,33,0.269841
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,30,33,0.270609
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,31,33,0.272150
EleutherAI/pythia-6.9b@step0,0,f11_captive_b,32,33,0.273097
EleutherAI/pythia-6.9b@step0,0,f11_class,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_class,1,33,0.209145
EleutherAI/pythia-6.9b@step0,0,f11_class,2,33,0.268548
EleutherAI/pythia-6.9b@step0,0,f11_class,3,33,0.290723
EleutherAI/pythia-6.9b@step0,0,f11_class,4,33,0.309000
EleutherAI/pythia-6.9b@step0,0,f11_class,5,33,0.317731
EleutherAI/pythia-6.9b@step0,0,f11_class,6,33,0.319203
EleutherAI/pythia-6.9b@step0,0,f11_class,7,33,0.324218
EleutherAI/pythia-6.9b@step0,0,f11_class,8,33,0.327968
EleutherAI/pythia-6.9b@step0,0,f11_class,9,33,0.328670
EleutherAI/pythia-6.9b@step0,0,f11_class,10,33,0.328483
EleutherAI/pythia-6.9b@step0,0,f11_class,11,33,0.332895
EleutherAI/pythia-6.9b@step0,0,f11_class,12,33,0.335009
EleutherAI/pythia-6.9b@step0,0,f11_class,13,33,0.335794
EleutherAI/pythia-6.9b@step0,0,f11_class,14,33,0.334774
EleutherAI/pythia-6.9b@step0,0,f11_class,15,33,0.336743
EleutherAI/pythia-6.9b@step0,0,f11_class,16,33,0.338108
EleutherAI/pythia-6.9b@step0,0,f11_class,17,33,0.341233
EleutherAI/pythia-6.9b@step0,0,f11_class,18,33,0.342631
EleutherAI/pythia-6.9b@step0,0,f11_class,19,33,0.343991
EleutherAI/pythia-6.9b@step0,0,f11_class,20,33,0.345285
EleutherAI/pythia-6.9b@step0,0,f11_class,21,33,0.344377
EleutherAI/pythia-6.9b@step0,0,f11_class,22,33,0.343775
EleutherAI/pythia-6.9b@step0,0,f11_class,23,33,0.343266
EleutherAI/pythia-6.9b@step0,0,f11_class,24,33,0.342696
EleutherAI/pythia-6.9b@step0,0,f11_class,25,33,0.343119
EleutherAI/pythia-6.9b@step0,0,f11_class,26,33,0.343167
EleutherAI/pythia-6.9b@step0,0,f11_class,27,33,0.343773
EleutherAI/pythia-6.9b@step0,0,f11_class,28,33,0.342719
EleutherAI/pythia-6.9b@step0,0,f11_class,29,33,0.345068
EleutherAI/pythia-6.9b@step0,0,f11_class,30,33,0.344702
EleutherAI/pythia-6.9b@step0,0,f11_class,31,33,0.344826
EleutherAI/pythia-6.9b@step0,0,f11_class,32,33,0.347026
EleutherAI/pythia-6.9b@step0,0,f11_create,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_create,1,33,0.157526
EleutherAI/pythia-6.9b@step0,0,f11_create,2,33,0.206112
EleutherAI/pythia-6.9b@step0,0,f11_create,3,33,0.231279
EleutherAI/pythia-6.9b@step0,0,f11_create,4,33,0.253787
EleutherAI/pythia-6.9b@step0,0,f11_create,5,33,0.264994
EleutherAI/pythia-6.9b@step0,0,f11_create,6,33,0.270189
EleutherAI/pythia-6.9b@step0,0,f11_create,7,33,0.272166
EleutherAI/pythia-6.9b@step0,0,f11_create,8,33,0.276485
EleutherAI/pythia-6.9b@step0,0,f11_create,9,33,0.279381
EleutherAI/pythia-6.9b@step0,0,f11_create,10,33,0.280204
EleutherAI/pythia-6.9b@step0,0,f11_create,11,33,0.281140
EleutherAI/pythia-6.9b@step0,0,f11_create,12,33,0.280445
EleutherAI/pythia-6.9b@step0,0,f11_create,13,33,0.281994
EleutherAI/pythia-6.9b@step0,0,f11_create,14,33,0.283644
EleutherAI/pythia-6.9b@step0,0,f11_create,15,33,0.282265
EleutherAI/pythia-6.9b@step0,0,f11_create,16,33,0.281859
EleutherAI/pythia-6.9b@step0,0,f11_create,17,33,0.284180
EleutherAI/pythia-6.9b@step0,0,f11_create,18,33,0.284031
EleutherAI/pythia-6.9b@step0,0,f11_create,19,33,0.284533
EleutherAI/pythia-6.9b@step0,0,f11_create,20,33,0.284352
EleutherAI/pythia-6.9b@step0,0,f11_create,21,33,0.284270
EleutherAI/pythia-6.9b@step0,0,f11_create,22,33,0.283731
EleutherAI/pythia-6.9b@step0,0,f11_create,23,33,0.284096
EleutherAI/pythia-6.9b@step0,0,f11_create,24,33,0.283421
EleutherAI/pythia-6.9b@step0,0,f11_create,25,33,0.283554
EleutherAI/pythia-6.9b@step0,0,f11_create,26,33,0.284166
EleutherAI/pythia-6.9b@step0,0,f11_create,27,33,0.282564
EleutherAI/pythia-6.9b@step0,0,f11_create,28,33,0.280940
EleutherAI/pythia-6.9b@step0,0,f11_create,29,33,0.281271
EleutherAI/pythia-6.9b@step0,0,f11_create,30,33,0.283076
EleutherAI/pythia-6.9b@step0,0,f11_create,31,33,0.283284
EleutherAI/pythia-6.9b@step0,0,f11_create,32,33,0.283826
EleutherAI/pythia-6.9b@step0,0,f11_desire,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_desire,1,33,0.284925
EleutherAI/pythia-6.9b@step0,0,f11_desire,2,33,0.342648
EleutherAI/pythia-6.9b@step0,0,f11_desire,3,33,0.369191
EleutherAI/pythia-6.9b@step0,0,f11_desire,4,33,0.390687
EleutherAI/pythia-6.9b@step0,0,f11_desire,5,33,0.390033
EleutherAI/pythia-6.9b@step0,0,f11_desire,6,33,0.396198
EleutherAI/pythia-6.9b@step0,0,f11_desire,7,33,0.401733
EleutherAI/pythia-6.9b@step0,0,f11_desire,8,33,0.405968
EleutherAI/pythia-6.9b@step0,0,f11_desire,9,33,0.410165
EleutherAI/pythia-6.9b@step0,0,f11_desire,10,33,0.408974
EleutherAI/pythia-6.9b@step0,0,f11_desire,11,33,0.408266
EleutherAI/pythia-6.9b@step0,0,f11_desire,12,33,0.407144
EleutherAI/pythia-6.9b@step0,0,f11_desire,13,33,0.408462
EleutherAI/pythia-6.9b@step0,0,f11_desire,14,33,0.408356
EleutherAI/pythia-6.9b@step0,0,f11_desire,15,33,0.408253
EleutherAI/pythia-6.9b@step0,0,f11_desire,16,33,0.410338
EleutherAI/pythia-6.9b@step0,0,f11_desire,17,33,0.410470
EleutherAI/pythia-6.9b@step0,0,f11_desire,18,33,0.410496
EleutherAI/pythia-6.9b@step0,0,f11_desire,19,33,0.408815
EleutherAI/pythia-6.9b@step0,0,f11_desire,20,33,0.409739
EleutherAI/pythia-6.9b@step0,0,f11_desire,21,33,0.408785
EleutherAI/pythia-6.9b@step0,0,f11_desire,22,33,0.407439
EleutherAI/pythia-6.9b@step0,0,f11_desire,23,33,0.404703
EleutherAI/pythia-6.9b@step0,0,f11_desire,24,33,0.403197
EleutherAI/pythia-6.9b@step0,0,f11_desire,25,33,0.403314
EleutherAI/pythia-6.9b@step0,0,f11_desire,26,33,0.401443
EleutherAI/pythia-6.9b@step0,0,f11_desire,27,33,0.401524
EleutherAI/pythia-6.9b@step0,0,f11_desire,28,33,0.401066
EleutherAI/pythia-6.9b@step0,0,f11_desire,29,33,0.401395
EleutherAI/pythia-6.9b@step0,0,f11_desire,30,33,0.403331
EleutherAI/pythia-6.9b@step0,0,f11_desire,31,33,0.403582
EleutherAI/pythia-6.9b@step0,0,f11_desire,32,33,0.405347
EleutherAI/pythia-6.9b@step0,0,f11_faithful,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_faithful,1,33,0.232954
EleutherAI/pythia-6.9b@step0,0,f11_faithful,2,33,0.317049
EleutherAI/pythia-6.9b@step0,0,f11_faithful,3,33,0.353723
EleutherAI/pythia-6.9b@step0,0,f11_faithful,4,33,0.371641
EleutherAI/pythia-6.9b@step0,0,f11_faithful,5,33,0.382849
EleutherAI/pythia-6.9b@step0,0,f11_faithful,6,33,0.388053
EleutherAI/pythia-6.9b@step0,0,f11_faithful,7,33,0.389428
EleutherAI/pythia-6.9b@step0,0,f11_faithful,8,33,0.392773
EleutherAI/pythia-6.9b@step0,0,f11_faithful,9,33,0.401195
EleutherAI/pythia-6.9b@step0,0,f11_faithful,10,33,0.403165
EleutherAI/pythia-6.9b@step0,0,f11_faithful,11,33,0.407366
EleutherAI/pythia-6.9b@step0,0,f11_faithful,12,33,0.407408
EleutherAI/pythia-6.9b@step0,0,f11_faithful,13,33,0.407231
EleutherAI/pythia-6.9b@step0,0,f11_faithful,14,33,0.409213
EleutherAI/pythia-6.9b@step0,0,f11_faithful,15,33,0.404959
EleutherAI/pythia-6.9b@step0,0,f11_faithful,16,33,0.407430
EleutherAI/pythia-6.9b@step0,0,f11_faithful,17,33,0.407044
EleutherAI/pythia-6.9b@step0,0,f11_faithful,18,33,0.408409
EleutherAI/pythia-6.9b@step0,0,f11_faithful,19,33,0.411094
EleutherAI/pythia-6.9b@step0,0,f11_faithful,20,33,0.413840
EleutherAI/pythia-6.9b@step0,0,f11_faithful,21,33,0.413221
EleutherAI/pythia-6.9b@step0,0,f11_faithful,22,33,0.412623
EleutherAI/pythia-6.9b@step0,0,f11_faithful,23,33,0.411570
EleutherAI/pythia-6.9b@step0,0,f11_faithful,24,33,0.411563
EleutherAI/pythia-6.9b@step0,0,f11_faithful,25,33,0.412546
EleutherAI/pythia-6.9b@step0,0,f11_faithful,26,33,0.412827
EleutherAI/pythia-6.9b@step0,0,f11_faithful,27,33,0.408694
EleutherAI/pythia-6.9b@step0,0,f11_faithful,28,33,0.405698
EleutherAI/pythia-6.9b@step0,0,f11_faithful,29,33,0.404985
EleutherAI/pythia-6.9b@step0,0,f11_faithful,30,33,0.405523
EleutherAI/pythia-6.9b@step0,0,f11_faithful,31,33,0.405661
EleutherAI/pythia-6.9b@step0,0,f11_faithful,32,33,0.407694
EleutherAI/pythia-6.9b@step0,0,f11_gender,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_gender,1,33,0.215413
EleutherAI/pythia-6.9b@step0,0,f11_gender,2,33,0.274751
EleutherAI/pythia-6.9b@step0,0,f11_gender,3,33,0.288858
EleutherAI/pythia-6.9b@step0,0,f11_gender,4,33,0.293858
EleutherAI/pythia-6.9b@step0,0,f11_gender,5,33,0.298057
EleutherAI/pythia-6.9b@step0,0,f11_gender,6,33,0.300834
EleutherAI/pythia-6.9b@step0,0,f11_gender,7,33,0.302299
EleutherAI/pythia-6.9b@step0,0,f11_gender,8,33,0.306436
EleutherAI/pythia-6.9b@step0,0,f11_gender,9,33,0.309080
EleutherAI/pythia-6.9b@step0,0,f11_gender,10,33,0.306788
EleutherAI/pythia-6.9b@step0,0,f11_gender,11,33,0.308704
EleutherAI/pythia-6.9b@step0,0,f11_gender,12,33,0.309450
EleutherAI/pythia-6.9b@step0,0,f11_gender,13,33,0.309836
EleutherAI/pythia-6.9b@step0,0,f11_gender,14,33,0.309316
EleutherAI/pythia-6.9b@step0,0,f11_gender,15,33,0.307921
EleutherAI/pythia-6.9b@step0,0,f11_gender,16,33,0.309799
EleutherAI/pythia-6.9b@step0,0,f11_gender,17,33,0.309955
EleutherAI/pythia-6.9b@step0,0,f11_gender,18,33,0.309584
EleutherAI/pythia-6.9b@step0,0,f11_gender,19,33,0.310932
EleutherAI/pythia-6.9b@step0,0,f11_gender,20,33,0.309711
EleutherAI/pythia-6.9b@step0,0,f11_gender,21,33,0.310152
EleutherAI/pythia-6.9b@step0,0,f11_gender,22,33,0.308509
EleutherAI/pythia-6.9b@step0,0,f11_gender,23,33,0.308446
EleutherAI/pythia-6.9b@step0,0,f11_gender,24,33,0.306341
EleutherAI/pythia-6.9b@step0,0,f11_gender,25,33,0.305302
EleutherAI/pythia-6.9b@step0,0,f11_gender,26,33,0.304243
EleutherAI/pythia-6.9b@step0,0,f11_gender,27,33,0.302703
EleutherAI/pythia-6.9b@step0,0,f11_gender,28,33,0.299888
EleutherAI/pythia-6.9b@step0,0,f11_gender,29,33,0.301207
EleutherAI/pythia-6.9b@step0,0,f11_gender,30,33,0.301643
EleutherAI/pythia-6.9b@step0,0,f11_gender,31,33,0.302632
EleutherAI/pythia-6.9b@step0,0,f11_gender,32,33,0.301929
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,1,33,0.204538
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,2,33,0.261268
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,3,33,0.278191
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,4,33,0.291926
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,5,33,0.297051
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,6,33,0.299161
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,7,33,0.300411
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,8,33,0.302899
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,9,33,0.306319
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,10,33,0.309381
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,11,33,0.307041
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,12,33,0.307604
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,13,33,0.307885
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,14,33,0.309233
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,15,33,0.310855
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,16,33,0.310882
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,17,33,0.311580
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,18,33,0.312230
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,19,33,0.312976
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,20,33,0.313373
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,21,33,0.314795
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,22,33,0.312323
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,23,33,0.309740
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,24,33,0.309064
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,25,33,0.308869
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,26,33,0.308730
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,27,33,0.307759
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,28,33,0.306199
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,29,33,0.306240
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,30,33,0.305052
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,31,33,0.305084
EleutherAI/pythia-6.9b@step0,0,f11_gender_he,32,33,0.306285
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,1,33,0.210696
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,2,33,0.270397
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,3,33,0.282813
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,4,33,0.295192
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,5,33,0.298723
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,6,33,0.298788
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,7,33,0.296570
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,8,33,0.300247
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,9,33,0.304237
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,10,33,0.302220
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,11,33,0.304023
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,12,33,0.304992
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,13,33,0.306082
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,14,33,0.305840
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,15,33,0.303977
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,16,33,0.308786
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,17,33,0.308687
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,18,33,0.310394
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,19,33,0.310124
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,20,33,0.309460
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,21,33,0.308850
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,22,33,0.308520
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,23,33,0.307316
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,24,33,0.308366
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,25,33,0.308925
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,26,33,0.309658
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,27,33,0.307945
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,28,33,0.307363
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,29,33,0.308599
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,30,33,0.308438
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,31,33,0.309517
EleutherAI/pythia-6.9b@step0,0,f11_gender_she,32,33,0.310526
EleutherAI/pythia-6.9b@step0,0,f11_guilt,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_guilt,1,33,0.244139
EleutherAI/pythia-6.9b@step0,0,f11_guilt,2,33,0.305701
EleutherAI/pythia-6.9b@step0,0,f11_guilt,3,33,0.325403
EleutherAI/pythia-6.9b@step0,0,f11_guilt,4,33,0.334560
EleutherAI/pythia-6.9b@step0,0,f11_guilt,5,33,0.339862
EleutherAI/pythia-6.9b@step0,0,f11_guilt,6,33,0.341382
EleutherAI/pythia-6.9b@step0,0,f11_guilt,7,33,0.343824
EleutherAI/pythia-6.9b@step0,0,f11_guilt,8,33,0.351179
EleutherAI/pythia-6.9b@step0,0,f11_guilt,9,33,0.355903
EleutherAI/pythia-6.9b@step0,0,f11_guilt,10,33,0.356056
EleutherAI/pythia-6.9b@step0,0,f11_guilt,11,33,0.357908
EleutherAI/pythia-6.9b@step0,0,f11_guilt,12,33,0.359568
EleutherAI/pythia-6.9b@step0,0,f11_guilt,13,33,0.357768
