b,in,out,ratio
choked,1.0,0.0,2.0
cleaned,1.0,0.0,2.0
smashed,1.0,11.0,0.16666666666666666
smiled,1.0,3.0,0.5
rifled,1.0,0.0,2.0
sold,1.0,1.0,1.0
spat,1.0,0.0,2.0
spent,1.0,0.0,2.0
tagged,1.0,0.0,2.0
called,1.0,3.0,0.5
adjusted,1.0,0.0,2.0
arranged,1.0,0.0,2.0
killed,1.0,4.0,0.4
ate,1.0,2.0,0.6666666666666666
assisted,1.0,0.0,2.0
uncovered,1.0,0.0,2.0
invested,1.0,0.0,2.0
hurried,1.0,0.0,2.0
use,1.0,0.0,2.0
hit,1.0,8.0,0.2222222222222222
drank,1.0,1.0,1.0
heard,1.0,0.0,2.0
guided,1.0,0.0,2.0
traced,1.0,0.0,2.0
grabbed,1.0,0.0,2.0
got,1.0,3.0,0.5
glanced,1.0,0.0,2.0
approached,1.0,0.0,2.0
forged,1.0,0.0,2.0
forced,1.0,0.0,2.0
followed,1.0,1.0,1.0
aimed,1.0,0.0,2.0
winked,1.0,0.0,2.0
exposed,1.0,0.0,2.0
cut,1.0,6.0,0.2857142857142857
disappeared,1.0,1.0,1.0
defecated,1.0,0.0,2.0
bent,1.0,0.0,2.0
tied,1.0,0.0,2.0
dated,1.0,0.0,2.0
dialed,1.0,0.0,2.0
decided,1.0,1.0,1.0
deposited,1.0,0.0,2.0
deleted,1.0,1.0,1.0
leaped,1.0,0.0,2.0
leaving,1.0,0.0,2.0
blew,0.0,2.0,0.3333333333333333
throwing,0.0,1.0,0.5
brought,0.0,3.0,0.25
sued,0.0,2.0,0.3333333333333333
slashed,0.0,1.0,0.5
came,0.0,4.0,0.2
switched,0.0,2.0,0.3333333333333333
won,0.0,3.0,0.25
beat,0.0,3.0,0.25
waited,0.0,4.0,0.2
burned,0.0,3.0,0.25
attacked,0.0,3.0,0.25
stroked,0.0,1.0,0.5
stopped,0.0,1.0,0.5
borrowed,0.0,1.0,0.5
told,0.0,19.0,0.05
unlocked,0.0,1.0,0.5
attended,0.0,1.0,0.5
stabbed,0.0,4.0,0.2
stole,0.0,5.0,0.16666666666666666
stirred,0.0,1.0,0.5
built,0.0,1.0,0.5
swept,0.0,1.0,0.5
fed,0.0,1.0,0.5
captioned,0.0,2.0,0.3333333333333333
shook,0.0,1.0,0.5
moved,0.0,1.0,0.5
cursed,0.0,4.0,0.2
marry,0.0,1.0,0.5
locking,0.0,1.0,0.5
lived,0.0,1.0,0.5
lifted,0.0,1.0,0.5
delivered,0.0,1.0,0.5
learned,0.0,1.0,0.5
lay,0.0,1.0,0.5
laid,0.0,2.0,0.3333333333333333
knocked,0.0,1.0,0.5
kicked,0.0,4.0,0.2
kick,0.0,1.0,0.5
kept,0.0,1.0,0.5
jerked,0.0,2.0,0.3333333333333333
discovered,0.0,2.0,0.3333333333333333
dressed,0.0,1.0,0.5
drew,0.0,1.0,0.5
dropped,0.0,5.0,0.16666666666666666
flipped,0.0,1.0,0.5
flicked,0.0,1.0,0.5
dumped,0.0,1.0,0.5
erected,0.0,1.0,0.5
cupped,0.0,1.0,0.5
paid,0.0,2.0,0.3333333333333333
painted,0.0,2.0,0.3333333333333333
fell,0.0,1.0,0.5
cashed,0.0,1.0,0.5
sell,0.0,1.0,0.5
sang,0.0,1.0,0.5
sailed,0.0,1.0,0.5
ripped,0.0,1.0,0.5
returned,0.0,1.0,0.5
climbed,0.0,3.0,0.25
removed,0.0,1.0,0.5
realised,0.0,3.0,0.25
combed,0.0,1.0,0.5
raced,0.0,1.0,0.5
cried,0.0,2.0,0.3333333333333333
pushed,0.0,6.0,0.14285714285714285
punching,0.0,1.0,0.5
punched,0.0,8.0,0.1111111111111111
copied,0.0,1.0,0.5
presented,0.0,1.0,0.5
poured,0.0,3.0,0.25
posted,0.0,1.0,0.5
covered,0.0,1.0,0.5
plugged,0.0,5.0,0.16666666666666666
pinned,0.0,1.0,0.5
raped,0.0,3.0,0.25
