k,region,n_types,delta,fam_pos,n_fam,p,open_share,median_rank,top,bonferroni
20,9,158,-0.006252521217875513,8,16,0.5600557883624032,0.9936708860759493,761.5,know|time|like|think|get|see|say|make,False
20,10,61,-0.00023776272397584767,8,16,0.8922250607056817,0.0,60000.0,105|33|34|35|36|37|38|39,False
20,11,183,-0.007916296115845082,9,16,0.2716898492866773,0.8743169398907104,5895.0,thus|onto|trees|lose|remains|grew|legs|streets,False
20,12,74,-0.006493307437206141,5,16,0.6790385624717244,0.918918918918919,1015.0,had|said|been|did|come|came|got|went,False
20,13,137,-0.021543050500335385,2,16,0.0005192012776125508,0.9927007299270073,3417.0,put|stop|turn|run|cut|stand|break|step,True
20,14,155,-0.00168827826854669,5,16,0.49016876907567447,0.9548387096774194,725.0,back|down|world|right|children|house|students|family,False
20,15,45,0.0002474238389096682,8,16,0.7535940358803337,0.9333333333333333,948.0,going|being|doing|trying|making|looking|having|getting,False
20,16,111,-0.01604544735279985,6,16,0.5581322454290264,0.15315315315315314,77.0,the|and|of|in|to|it|is|that,False
20,17,46,0.004147078696056274,12,16,0.016936006767768644,1.0,12254.5,nodded|stepped|shrugged|chopped|snapped|kicked|frowned|tucked,False
20,18,75,-0.015559344401731838,10,16,0.4235347327116034,0.8,407.0,just|also|well|very|only|even|still|too,False
20,19,60,0.0008931292342071679,12,16,0.123552909160573,1.0,5097.5,joining|raising|pushing|pulling|continuing|returning|reaching|letting,False
35,0,160,0.01841850184708406,13,16,0.003350027079475942,0.99375,11334.0,talked|laughed|pointed|wondered|dressed|waited|headed|stayed,False
35,1,32,-0.014400340032267313,2,16,0.05661224700872998,0.0,60000.0,1|10|11|12|13|14|15|16,False
35,2,99,0.012743511684682525,16,16,1.4369107823194886e-08,1.0,1970.0,number|point|research|question|study|issue|control|security,True
35,3,131,-0.0005766846863800004,4,16,0.738474521907042,0.9541984732824428,684.0,people|time|back|down|world|state|children|house,False
35,4,123,-0.011148235449205034,5,16,0.07088914019508664,0.9512195121951219,4616.0,thus|onto|trees|remains|grew|legs|forest|streets,False
35,5,101,0.006943683390334153,14,16,0.007078819649203091,0.9801980198019802,8375.0,ancient|neither|seek|argue|tears|jacket|ceiling|tongue,False
35,6,53,0.011557838469299517,12,16,0.010059913748884288,1.0,1950.0,asked|needed|considered|involved|expected|opened|includes|required,False
35,8,76,0.0044071431871954714,11,16,0.23901272820113328,1.0,11562.0,named|dropped|glanced|accused|aimed|saved|warned|wrapped,False
35,9,48,0.006270865305593453,14,16,0.00014077044267704112,1.0,12814.0,occurred|referred|estimated|shouted|admitted|distributed|injured|transferred,True
35,10,95,0.016633306431029005,15,16,0.0007247890964310844,1.0,3083.0,believe|understand|remember|provide|include|continue|consider|agree,True
35,11,57,0.005730545400763506,10,16,0.3581835292539671,1.0,1878.0,wanted|used|given|started|left|sat|lost|held,False
35,12,55,0.0033566585466467545,16,16,3.918436776580341e-06,1.0,6571.0,lose|nose|entrance|demonstrate|ate|settle|eliminate|investigate,True
35,13,123,0.01915934149358413,14,16,0.0004686244591704324,1.0,7225.0,died|smiled|presented|determined|stared|charged|indicated|refused,True
35,14,22,-0.010606406052124097,9,16,0.2573569587494198,0.0,60000.0,can't|couldn't|didn't|don't|hadn't|hasn't|haven't|he'd,False
35,15,34,-0.0006591508488995644,11,16,0.7859400176622557,0.0,60000.0,100|105|110|120|125|130|140|150,False
35,16,34,0.001994393328998325,11,16,0.09689577206521609,1.0,13102.5,stepped|chopped|snapped|kicked|tucked|tapped|popped|topped,False
35,17,49,0.005309913719015763,14,16,0.0002709617823968683,1.0,6607.0,ultimately|barely|unfortunately|strongly|occasionally|quietly|roughly|gently,True
35,18,27,0.0027140743153571704,14,16,0.002713924615047051,1.0,15539.0,led|settled|peeled|chuckled|circled|startled|curled|growled,False
35,20,55,0.0008074891855380203,11,16,0.09870358177922788,1.0,5109.0,joining|raising|pushing|pulling|continuing|returning|reaching|letting,False
35,21,107,-0.026235586869946214,2,16,0.009405902710889836,0.9813084112149533,748.0,have|know|like|think|get|see|go|say,False
35,22,112,0.00843306821344083,13,16,0.006204098440142898,1.0,6254.5,remained|suggested|conducted|joined|entered|remembered|arrested|supported,False
35,23,45,-0.002495725691839186,5,16,0.2727346789684204,0.9555555555555556,649.0,well|good|right|big|old|small|little|black,False
35,24,86,0.0038081158814105287,11,16,0.06884372275811833,0.6627906976744186,317.0,just|also|because|very|only|even|still|too,False
35,25,83,-0.002780551911628133,5,16,0.3148641194835824,0.9879518072289156,4508.0,stop|cut|stand|step|arm|bit|rock|fall,False
35,26,15,-0.016971927393705753,6,16,0.33216875225906817,0.0,115.0,would|can|will|did|could|does|may|should,False
35,27,65,-0.006391376320486092,3,16,0.03802339604907834,0.9846153846153847,2338.0,sense|love|rest|fire|sun|hope|guess|heat,False
35,28,18,-0.00046843888979613174,6,16,0.7102518529747573,0.9444444444444444,5502.0,broke|shook|drove|wore|wave|smoke|hide|hire,False
35,30,46,0.00020174896054118616,8,16,0.8020757692616627,0.9347826086956522,951.0,going|being|doing|trying|making|looking|having|getting,False
35,31,110,-0.03250538501943122,6,16,0.2547376193484585,0.20909090909090908,68.0,the|and|of|a|in|to|i|it,False
35,32,60,8.840419945941821e-06,8,16,0.9959917081355123,0.0,60000.0,33|34|35|36|37|38|39|41,False
35,33,64,0.002341524779203608,11,16,0.12075254125611974,1.0,13965.5,nodded|laid|buried|shrugged|fought|hired|rushed|frowned,False
35,34,61,-0.0051461108668554596,5,16,0.720876191496569,0.9672131147540983,818.0,had|said|been|come|came|got|went|made,False
50,0,28,-0.000604190057929054,6,16,0.49222091508949123,1.0,14888.0,shrugged|kicked|tucked|shed|punched|tugged|sucked|ducked,False
50,1,70,0.00819117523721977,16,16,2.2391926117447904e-08,1.0,1335.5,state|number|point|news|research|question|study|police,True
50,2,14,-0.0010020185818706622,6,16,0.27318869077470265,0.9285714285714286,14918.5,cried|laid|denied|prayed|sued|bleed|glued|emptied,False
50,3,52,0.005478431183447964,15,16,0.0023366061094686158,1.0,14719.0,led|named|settled|aimed|slammed|peeled|blamed|chuckled,False
50,4,34,0.002725530971381421,10,16,0.4252808685453705,0.8823529411764706,13061.0,died|smiled|stared|fired|rolled|slipped|dried|yelled,False
50,5,21,0.0010820578399213807,14,16,0.04858187410611146,0.3333333333333333,309.0,something|things|every|yes|ever|nothing|anything|yeah,False
50,6,50,0.0025169240396589587,10,16,0.25697893130541116,0.98,561.5,just|also|very|even|still|really|never|again,False
50,9,38,0.003907534933839177,14,16,0.0010698574249742132,1.0,5850.5,barely|strongly|quietly|roughly|gently|naturally|publicly|successfully,True
50,10,65,-0.014399750720935231,2,16,0.0014660911062870665,0.5846153846153846,226.0,a|i|be|do|an|all|so|one,False
50,11,108,0.009900104279072331,12,16,0.018244677716832573,1.0,10950.5,nodded|occurred|stepped|glanced|buried|accused|referred|saved,False
50,12,99,-0.0020491647805064347,6,16,0.30851220796726686,1.0,4077.0,stop|rest|break|step|fall|pick|pull|fight,False
50,13,54,0.009656722064624063,6,16,0.41881686393227335,0.9814814814814815,885.5,said|been|says|came|went|thought|knew|told,False
50,14,80,-0.013045470133893945,4,16,0.037693888371864145,0.95,5288.0,onto|grew|forest|shoulder|neck|chest|thick|shook,False
50,15,45,0.0002474238389096682,8,16,0.7535940358803337,0.9333333333333333,948.0,going|being|doing|trying|making|looking|having|getting,False
50,16,14,-0.0013997777370671487,10,16,0.5599947737802095,0.0,60000.0,100|125|150|200|250|300|350|400,False
50,17,24,-0.0007112253944382167,7,16,0.3809426579526931,0.0,60000.0,35|36|37|38|39|41|42|43,False
50,18,40,0.00044310562088979455,9,16,0.23706668723209792,0.975,2945.5,thus|trees|remains|legs|streets|suggests|officers|walls,False
50,20,41,0.0091483671939832,16,16,2.937426313357604e-06,1.0,1838.0,use|provide|open|include|create|allow|answer|follow,True
50,21,54,-0.017879423847947645,5,16,0.20673877039633418,0.9629629629629629,1407.5,know|like|think|say|feel|believe|try|care,False
50,22,60,0.012466618746916071,10,16,0.05655556407682217,1.0,1783.5,made|called|found|used|given|kept|needed|held,False
50,23,76,-0.020993852746645288,2,16,0.0011970427905645556,1.0,765.5,get|see|go|make|take|come|look|work,False
50,24,70,0.003737583537117887,12,16,0.00727843818471833,1.0,6989.0,lose|broke|nose|drove|wore|wave|smoke|hide,False
50,25,120,0.008995064268963043,13,16,0.003947339018791552,1.0,6416.0,remained|suggested|conducted|joined|wondered|noted|entered|remembered,False
50,28,34,-0.0010348680536241038,7,16,0.9537457379993746,0.08823529411764706,42.5,the|it|is|that|you|he|this|they,False
50,29,39,0.0021526353395952633,11,16,0.01657991394839338,0.0,60000.0,105|110|120|130|140|160|170|175,False
50,31,12,-0.0030077169329756795,9,16,0.3178751377503024,0.0,60000.0,can't|couldn't|didn't|don't|hadn't|hasn't|haven't|i'll,False
50,32,31,0.004734578101911413,14,16,0.0006279002969653451,1.0,14032.0,estimated|shouted|admitted|distributed|calculated|hesitated|spotted|patted,True
50,33,60,0.0008931292342071679,12,16,0.123552909160573,1.0,5097.5,joining|raising|pushing|pulling|continuing|returning|reaching|letting,False
50,34,54,-0.016030669474924458,6,16,0.12966245261301065,0.16666666666666666,119.0,and|of|in|to|for|with|on|at,False
50,35,37,-0.004835445250386573,5,16,0.3796105107718247,1.0,2353.0,left|cut|sat|lost|ran|fell|met|killed,False
50,36,24,0.004465663135117861,16,16,7.1479125950454495e-09,1.0,3859.5,protect|pass|accept|respond|respect|attend|appeal|deliver,True
50,37,140,0.017453844341532132,14,16,0.0032716242762612377,1.0,11166.0,talked|laughed|pointed|dressed|waited|headed|stayed|pushed,False
50,38,93,0.014836619711666808,15,16,4.60368488027502e-06,1.0,5477.0,presented|determined|charged|indicated|refused|introduced|accepted|recognized,True
50,39,29,-0.019514192498701878,6,16,0.1719975033837054,0.3448275862068966,174.0,was|have|had|has|would|can|will|did,False
50,40,17,-0.00042962346493255444,8,16,0.504445712317399,1.0,2394.0,considered|compared|identified|described|returned|treated|explained|taught,False
50,41,47,9.721260847659865e-05,6,16,0.8563413252899,1.0,524.0,people|world|children|house|students|family|city|place,False
50,42,30,-0.014089889223967639,2,16,0.06231721599073545,0.0,60000.0,1|10|11|12|13|14|15|16,False
50,43,93,-0.0019399380994367791,2,16,0.1975101808028756,0.956989247311828,1353.0,back|down|right|water|room|black|white|door,False
50,46,62,0.009834708188379726,16,16,3.934268410612681e-07,1.0,3423.0,continue|consider|agree|remain|avoid|suggest|reduce|determine,True
50,47,16,-0.0012484090823977243,7,16,0.19648315790365226,1.0,15999.0,dropped|wrapped|wiped|gasped|stripped|dumped|leaped|grasped,False
50,48,29,-0.0003909225581304188,4,16,0.5085880017160631,1.0,859.0,head|hand|eyes|face|body|car|hands|voice,False
50,49,96,0.006643517213231797,14,16,0.001719064055511409,0.9791666666666666,8078.0,ancient|neither|seek|argue|tears|jacket|ceiling|tongue,False
75,0,19,0.00011630168724668531,9,16,0.8680984461103741,0.0,60000.0,53|54|55|56|57|58|59|60,False
75,2,44,-0.0008608133433454462,4,16,0.30434258162631395,0.9545454545454546,1291.5,back|down|side|face|body|feet|phone|ground,False
75,3,35,0.0006287714813518496,5,16,0.8201421429207613,1.0,862.0,work|tell|give|talk|care|ask|thank|show,False
75,4,103,0.008302813729916762,13,16,0.0032322132726256454,1.0,6365.0,remained|suggested|conducted|joined|entered|remembered|arrested|supported,False
75,5,42,0.0004768025435274774,9,16,0.2074591125145081,0.9761904761904762,2945.5,thus|trees|remains|legs|streets|suggests|officers|walls,False
75,7,13,0.0005812163958964121,14,16,0.0008785287822884817,1.0,8825.0,barely|repeatedly|allegedly|loudly|comply|swiftly|eagerly|angrily,False
75,8,28,0.0057441384495888585,9,16,0.3992139057632004,0.21428571428571427,193.0,from|by|about|then|first|through|after|over,False
75,9,37,-0.003376712649603285,5,16,0.333906067238816,1.0,940.0,make|take|let|keep|put|try|call|become,False
75,10,48,0.0011795184072286471,10,16,0.28843461623286204,0.9791666666666666,6989.0,lose|broke|nose|argue|drove|wore|wave|smoke,False
75,12,69,-0.00021744231908902022,6,16,0.783823531080637,1.0,675.0,people|children|house|students|family|city|money|water,False
75,13,20,0.0030161642945515737,16,16,2.0369868574562632e-07,1.0,2397.5,question|issue|answer|credit|challenge|surprise|respect|demand,True
75,14,33,0.01459994046080588,13,16,8.578857490767953e-05,1.0,2102.0,asked|needed|considered|involved|expected|compared|watched|continued,True
75,15,22,0.0014537867012128862,12,16,0.15367682929539192,1.0,11529.0,stepped|chopped|snapped|tapped|popped|topped|flipped|ripped,False
75,16,17,0.0009427268728456484,12,16,0.08828624068681108,1.0,10728.0,collapse|confront|reject|rebuild|discharge|dismiss|disclose|remarked,False
75,18,17,-0.003663285693424919,2,16,0.00024114688819869712,0.0,60000.0,14|15|16|17|18|19|20|21,True
75,19,32,0.0048422759621911705,14,16,0.000526674058134061,1.0,13947.0,estimated|shouted|admitted|distributed|calculated|hesitated|spotted|patted,True
75,20,50,-0.011520638267734324,3,16,0.02325209368546473,1.0,2543.0,live|start|stop|cut|win|bill|break|bit,False
75,21,16,-0.0020649734581753973,6,16,0.08436468598750328,0.3125,194.5,all|only|even|never|something|things|every|each,False
75,22,32,0.005050829853892555,14,16,0.0003579803842758234,1.0,866.5,state|place|number|point|table|book|name|line,True
75,23,42,0.0006768187068650548,11,16,0.09176648895883124,1.0,5136.5,joining|raising|pushing|pulling|continuing|returning|reaching|heading,False
75,24,53,0.005765948167763183,15,16,0.0011218995518862123,1.0,12543.0,nodded|glanced|sought|shrugged|fought|frowned|acted|dragged,False
75,25,25,-0.005421296833317617,2,16,0.05436479803495322,0.76,724.0,said|says|say|yes|sure|yeah|oh|sense,False
75,26,32,0.0046133876127904,14,16,0.0003402778181489893,1.0,5504.0,strongly|occasionally|quietly|roughly|gently|naturally|publicly|successfully,True
75,27,59,-0.012420418083839573,5,16,0.2853540477836196,0.9661016949152542,956.0,had|been|come|came|got|went|made|took,False
75,28,16,-0.0012484090823977243,7,16,0.19648315790365226,1.0,15999.0,dropped|wrapped|wiped|gasped|stripped|dumped|leaped|grasped,False
75,29,41,-0.0008047699468620997,6,16,0.583564534279693,0.9512195121951219,1541.0,right|black|white|hard|clear|light|ok|hot,False
75,31,123,0.01915934149358413,14,16,0.0004686244591704324,1.0,7225.0,died|smiled|presented|determined|stared|charged|indicated|refused,True
75,32,100,0.003156965771220185,8,16,0.35952781360488256,1.0,8526.5,talked|laughed|pointed|dressed|waited|headed|stayed|pushed,False
75,33,22,-0.010606406052124097,9,16,0.2573569587494198,0.0,60000.0,can't|couldn't|didn't|don't|hadn't|hasn't|haven't|he'd,False
75,35,33,0.005377707001155691,16,16,1.7540870914981658e-06,1.0,2522.0,research|study|experience|support|approach|develop|present|review,True
75,36,14,-0.010486613114797788,2,16,0.14586574799813856,0.0,60000.0,1|10|11|12|13|2|3|4,False
75,40,12,0.0005406066277854387,10,16,0.1308872544667939,1.0,15783.0,kicked|tucked|sucked|ducked|licked|flicked|plucked|smacked,False
75,41,52,-0.0019841115675613033,5,16,0.1351453028841834,1.0,4571.5,glass|step|rock|plant|bar|smile|stone|block,False
75,42,28,0.002140249875588262,16,16,4.520386821372716e-07,1.0,8286.5,demonstrate|ate|eliminate|investigate|communicate|evaluate|breathe|negotiate,True
75,44,62,0.008819609708584015,15,16,0.0197519057475976,1.0,3272.5,understand|continue|begin|consider|agree|expect|explain|imagine,False
75,45,48,0.0015376070630158107,8,16,0.6555677640664515,1.0,2086.5,given|ready|opened|built|required|reported|allowed|created,False
75,46,22,0.0019497779563401943,13,16,0.18459767827056783,1.0,10182.0,struck|sighed|wrist|swung|slice|shaft|scream|thigh,False
75,47,19,0.0023528422187100726,15,16,3.578219207684192e-05,1.0,9627.0,red|occurred|buried|referred|hired|injured|transferred|restored,True
75,48,16,-0.00020129829783974365,6,16,0.7723651406201502,0.0,60000.0,37|38|39|40|41|42|43|44,False
75,49,18,-0.0061752284312579465,6,16,0.2073105910237495,0.5,324.0,just|out|like|against|off|without|away|around,False
75,50,38,0.00023564109275029527,7,16,0.751909650764519,0.9210526315789473,824.0,going|being|doing|trying|making|having|getting|coming,False
75,51,15,0.002411667523488437,14,16,0.000697987685273889,1.0,9903.0,ancient|emphasized|clarify|seized|outline|verify|praised|apologized,True
75,52,23,0.0008109118005742994,9,16,0.1459234573235878,0.0,60000.0,70|74|75|76|77|78|79|80,False
75,53,42,-0.034791262993540954,4,16,0.06156439801368554,0.16666666666666666,30.0,and|of|a|in|i|it|is|for,False
75,54,46,0.001092049936614704,9,16,0.5475577249160567,1.0,13837.5,accused|saved|warned|waved|kissed|grinned|rushed|tossed,False
75,56,41,0.002832365432510201,15,16,0.0003729672651134784,1.0,3308.0,stay|remain|protect|avoid|attack|quiet|murder|worry,True
75,57,22,-0.0007623522898145811,9,16,0.7816664635277886,0.5909090909090909,130.0,this|there|one|now|other|two|also|more,False
75,58,27,0.0027140743153571704,14,16,0.002713924615047051,1.0,15539.0,led|settled|peeled|chuckled|circled|startled|curled|growled,False
75,59,30,0.0017161612096995482,12,16,0.7071971111942074,0.43333333333333335,101.5,the|you|they|their|my|them|your|some,False
75,60,24,-0.0010911848376025648,10,16,0.6551469432742292,0.0,60000.0,100|105|110|120|125|130|140|150,False
75,62,25,0.002211794021688321,13,16,0.0145977910595194,1.0,1201.0,time|need|help|use|control|plan|change|force,False
75,63,26,-0.020092884358167876,7,16,0.22411168313881044,0.15384615384615385,103.0,that|what|who|would|can|will|when|which,False
75,64,69,0.015391790559387945,14,16,0.00024543091400944066,0.9855072463768116,14815.0,wondered|noted|leaned|cried|whispered|gathered|threatened|denied,True
75,65,36,0.006896188810978112,14,16,0.0002617293315787111,0.9444444444444444,617.0,really|always|often|almost|already|maybe|actually|himself,True
75,66,26,-0.0030851527708553447,8,16,0.5178234279234983,1.0,663.5,know|think|see|want|thought|believe|knew|saw,False
75,67,19,0.00020928592658268848,10,16,0.3230089774012804,1.0,5086.0,letting|ceiling|passing|burning|entering|dropping|stopping|closing,False
75,70,14,-0.00026658640877298505,4,16,0.40891651783842387,1.0,555.0,world|head|hand|eyes|hands|voice|heart|earth,False
75,73,17,-0.005983854802701175,4,16,0.03918575425975906,0.9411764705882353,1251.0,end|add|set|sit|spend|send|sell|share,False
75,74,106,-0.015085547692262936,4,16,0.056163100250174576,0.9528301886792453,5718.0,grew|forest|shoulder|chest|shook|forth|meat|tears,False
100,1,54,0.004374217958616143,12,16,0.10362652493137098,1.0,10514.0,named|nodded|accused|aimed|saved|warned|waved|kissed,False
100,2,51,0.011089382201303333,16,16,7.887491104111136e-08,1.0,2110.0,talk|understand|become|experience|support|learn|approach|speak,True
100,3,30,0.00038548427378645375,8,16,0.8679626508698487,1.0,2026.5,left|ready|opened|continued|complete|stopped|reached|passed,False
100,5,22,0.002431260957672692,16,16,9.222790419200123e-06,1.0,14807.5,ate|eliminate|investigate|communicate|emphasize|negotiate|bite|apologize,True
100,6,89,0.01440301051537279,14,16,7.509202066125239e-06,1.0,5276.0,presented|determined|charged|indicated|refused|introduced|accepted|recognized,True
100,7,25,-0.008999612036506732,6,16,0.32992103767928477,0.28,31.0,and|of|in|to|for|with|on|at,False
100,8,12,0.0019336390210990934,16,16,9.098299834526756e-05,1.0,11347.0,credit|clarify|discharge|cite|disclose|verify|notify|verified,True
100,10,22,0.0014537867012128862,12,16,0.15367682929539192,1.0,11529.0,stepped|chopped|snapped|tapped|popped|topped|flipped|ripped,False
100,12,49,0.005309913719015763,14,16,0.0002709617823968683,1.0,6607.0,ultimately|barely|unfortunately|strongly|occasionally|quietly|roughly|gently,True
100,13,16,0.0015082793505028635,13,16,0.00023196224191783586,1.0,9774.5,red|occurred|referred|hired|injured|transferred|restored|gestured,True
100,14,43,-0.005178078988396906,6,16,0.2842316707549543,1.0,3898.0,lower|build|kill|protect|attack|carry|construction|join,False
100,15,60,0.0008898924486241442,12,16,0.12329501581460911,1.0,5097.5,joining|raising|pushing|pulling|continuing|returning|reaching|letting,False
100,17,15,-0.0017424545068516059,9,16,0.4741030635369993,0.0,60000.0,100|150|175|180|200|240|250|300,False
100,18,14,-0.0107752855876289,2,16,0.13507197199428078,0.0,60000.0,1|10|11|12|15|16|2|3,False
100,20,16,-0.0030567165943581383,6,16,0.31004956332542644,1.0,999.5,look|work|looking|looked|turned|turn|ran|worked,False
100,21,28,-0.0008330294976714614,8,16,0.9024767815226339,0.10714285714285714,81.0,the|you|they|his|their|all|one|them,False
100,23,15,0.0007518781583780614,8,16,0.09851311824109622,1.0,14871.0,shrugged|kicked|tucked|tugged|sucked|ducked|licked|flicked,False
100,24,14,-0.0009634751894645822,4,16,0.06899374687905374,1.0,7444.0,coat|dirt|pants|shut|chin|quit|slept|spit,False
100,25,14,-0.0024816325451543376,8,16,0.2987141514787567,0.9285714285714286,242.0,good|big|old|small|little|black|long|young,False
100,26,110,0.008706802612435897,13,16,0.0017490912073233808,1.0,6578.5,remained|suggested|conducted|joined|wondered|entered|remembered|arrested,False
100,27,44,-0.00575327873661662,7,16,0.33166726534193997,0.8636363636363636,3390.0,thus|trees|remains|legs|streets|suggests|officers|walls,False
100,28,21,-0.0003037933313835812,4,16,0.346441870800704,0.9523809523809523,1658.0,water|door|ground|window|wall|pain|foot|wine,False
100,29,14,0.0008126699638730862,5,16,0.8527734011014074,1.0,756.5,said|says|say|saw|words|read|wrote|write,False
100,31,25,0.00063842643441637,8,16,0.5343173089048117,0.96,6879.0,broke|drove|wore|wave|smoke|hide|fence|hire,False
100,36,17,-0.0005205789563364243,5,14,0.27393453536131457,0.0,60000.0,77|78|79|81|82|83|84|85,False
100,37,26,-0.015088858768534911,4,16,0.1604571753706546,0.23076923076923078,168.0,a|i|he|she|an|her|my|me,False
100,38,33,0.013339628170223017,12,16,0.002921790885682232,1.0,1331.0,came|knew|began|became|started|seemed|happened|heard,False
100,40,13,-0.0027867634457344535,8,16,0.3450960603615153,0.0,60000.0,can't|couldn't|didn't|don't|hadn't|hasn't|haven't|i'll,False
100,42,42,-0.0066425674038238045,3,16,0.007097918549095863,1.0,2481.0,run|cut|deal|stand|break|step|bit|lead,False
100,43,30,-0.003352525730583608,3,16,0.051417532259476026,0.36666666666666664,199.0,about|up|out|back|through|down|after|over,False
100,44,36,-0.0029123153055908863,7,16,0.2693875702913747,1.0,1225.5,help|use|try|care|call|control|play|plan,False
100,46,28,0.0005916186753850467,11,16,0.2903657809509191,0.9285714285714286,1030.5,being|trying|making|having|getting|coming|saying|taking,False
100,48,12,0.0006129253673884604,12,16,0.00140579414192976,1.0,14408.0,argue|tongue|collapse|ankle|stumble|throttle|crumble|tremble,False
100,50,12,-0.017186189538482156,6,16,0.3266291966696836,0.0,132.0,would|can|will|could|may|should|might|must,False
100,51,29,-0.003385770022322769,6,16,0.19725607146211713,0.8620689655172413,338.0,because|even|still|never|again|today|always|yes,False
100,52,16,-0.0012484090823977243,7,16,0.19648315790365226,1.0,15999.0,dropped|wrapped|wiped|gasped|stripped|dumped|leaped|grasped,False
100,53,23,0.00015149686050711783,7,16,0.7292548207196611,1.0,409.0,time|way|world|house|city|place|days|home,False
100,54,32,0.0005599446795398649,11,16,0.34786491311613643,1.0,3207.5,end|open|hold|act|offer|arm|return|pass,False
100,55,40,0.0017544601357750607,9,16,0.6081613765859891,0.9,13061.0,died|smiled|stared|laid|fired|rolled|slipped|dried,False
100,56,61,-0.0012006548504519365,4,16,0.16488934330732777,0.9836065573770492,664.0,children|students|family|money|mother|head|hand|father,False
100,57,24,0.0019076024106848073,8,16,0.09440467606183589,1.0,2210.0,keep|start|leave|stay|stop|rest|wait|sit,False
100,58,15,0.0001520837407307811,9,16,0.7818110240138548,0.0,60000.0,61|62|63|64|65|66|67|68,False
100,59,69,-0.007328778670269357,12,16,0.40142343983325757,0.9420289855072463,6850.0,onto|forest|shoulder|chest|ancient|neither|forth|wooden,False
100,61,34,0.003388897451294267,14,16,0.0009974307811825964,1.0,17911.0,led|settled|peeled|chuckled|circled|startled|curled|growled,False
100,62,27,-0.0036400192664156217,3,16,0.028936816576801343,1.0,4965.0,grew|meat|tears|lay|threw|throat|knee|flew,False
100,64,27,-0.0003684744965239405,5,16,0.45143115096547093,1.0,1353.0,white|free|hard|clear|light|hot|cold|heat,False
100,66,28,0.009945651168425832,16,16,2.144456403332481e-06,1.0,3444.0,begin|risk|consider|spend|expect|explain|suggest|review,True
100,69,15,0.0003389146365258935,8,16,0.7952285570952491,1.0,775.0,talking|building|running|moving|living|sitting|waiting|standing,False
100,71,32,0.0048422759621911705,14,16,0.000526674058134061,1.0,13947.0,estimated|shouted|admitted|distributed|calculated|hesitated|spotted|patted,True
100,72,15,0.00260342927337067,15,16,9.694322126948124e-06,1.0,3728.0,listen|respond|demand|appeal|engage|defend|feed|contest,True
100,73,27,-0.004963163154271621,5,16,0.019130376367027885,1.0,585.0,get|make|take|find|tell|give|let|ask,False
100,74,31,0.0007136218721628582,11,16,0.01762748994374091,1.0,6571.0,lose|nose|entrance|demonstrate|settle|rape|evaluate|breathe,False
100,76,13,5.7142666846691814e-05,5,16,0.7625246073181619,1.0,1187.0,room|wife|floor|kitchen|mouth|surface|beach|bedroom,False
