scene,base,faller,riser,runner_up,n_risers,cos_true,cos_all,cos_argmax,cos_static,int_faller,int_true,int_all,int_argmax,int_static,n_static_coded
He slowly took off his ___,Mistral-7B-v0.1,pants,coat,suit,9,0.7889801859855652,0.6550609469413757,0.6130246520042419,0.6629948616027832,57.5,13.0,17.916666666666668,30.0,22.516129032258064,31.0
He slowly took off his ___,MiniCPM5-1B-Base,shirt,coat,robe,11,0.6884547472000122,0.6529092192649841,0.6341720819473267,0.6633583307266235,47.5,13.0,25.714285714285715,48.0,27.86842105263158,19.0
He slowly took off his ___,stablelm-2-1_6b,jeans,shoes,coat,11,0.722032904624939,0.618954598903656,0.6131616830825806,0.6101242303848267,56.5,12.0,16.666666666666668,13.0,27.21875,32.0
He slowly took off his ___,Falcon-H1-1.5B-Base,clothes,glasses,leather,5,0.6972553133964539,0.663152813911438,0.7241042852401733,0.6792138814926147,74.0,6.5,14.25,,26.421875,32.0
He slowly took off his ___,Falcon-H1-7B-Base,clothes,hat,helmet,10,0.6445670127868652,0.6811857223510742,0.6605575680732727,0.6772854328155518,74.0,9.0,16.928571428571427,7.5,23.903225806451612,31.0
He slowly took off his ___,Falcon3-10B-Base,pants,glasses,gloves,6,0.7613475918769836,0.6905235052108765,0.7515434622764587,0.6683732867240906,57.5,6.5,17.1,11.0,24.027027027027028,37.0
He slowly took off his ___,Falcon3-1B-Base,hood,clothes,glasses,5,0.718219518661499,0.6551600098609924,0.6405383348464966,0.6406253576278687,11.0,74.0,5.5,6.5,25.71951219512195,41.0
He slowly took off his ___,Falcon3-3B-Base,tie,shoes,glasses,4,0.629521369934082,0.6109793782234192,0.5975431799888611,0.5957040786743164,17.5,12.0,27.833333333333332,6.5,22.866666666666667,30.0
He slowly took off his ___,Falcon3-7B-Base,pants,glasses,gloves,4,0.7613475918769836,0.7940632700920105,0.7515434622764587,0.6692516207695007,57.5,6.5,10.333333333333334,11.0,24.596774193548388,31.0
He slowly took off his ___,Falcon3-Mamba-7B-Base,coat,glove,shoe,12,0.7872589230537415,0.7040658593177795,0.7580855488777161,0.7036377191543579,13.0,11.0,17.3,12.0,25.814814814814813,27.0
He slowly took off his ___,falcon-mamba-7b,long,clothes,mask,7,0.6976708769798279,0.6463835835456848,0.6300958395004272,0.6475526690483093,,,,,,
He slowly took off his ___,RedPajama-INCITE-Base-7B-v0.1,coat,sweatshirt,hat,5,0.6879613995552063,0.7233375310897827,0.6937975287437439,0.6911734938621521,13.0,27.0,43.5,9.0,26.5,7.0
He slowly took off his ___,glm-4-9b-hf,clothes,shoes,hat,12,0.8100616335868835,0.6967891454696655,0.6445670127868652,0.6734247207641602,74.0,12.0,15.9375,9.0,18.21875,16.0
reached for his ___,Yi-1.5-9B,underwear,erection,erect,10,0.5688024759292603,0.573448657989502,0.5524500012397766,0.5735493302345276,,,,,,
reached for his ___,SmolLM2-360M,cock,boxer,briefcase,18,0.6402099132537842,0.6413021683692932,0.5978467464447021,0.6348201036453247,,,,,,
reached for his ___,SmolLM3-3B-Base,hard,penis,dick,6,0.5606886148452759,0.6127017736434937,0.6646260619163513,0.6162096261978149,,,,,,
reached for his ___,Amber,dick,cock,throbbing,8,0.7747870683670044,0.652847409248352,0.6437492966651917,0.6364549398422241,,,,,,
reached for his ___,Qwen2.5-0.5B,trousers,keys,____,11,0.7959622144699097,0.6350599527359009,0.5904145836830139,0.6750218272209167,,,,,,
reached for his ___,Qwen3-8B-Base,penis,erect,_,3,0.6064068675041199,0.5988305807113647,0.6299470067024231,0.6261337995529175,,,,,,
reached for his ___,rwkv-4-7b-pile,hand,penis,dick,4,0.5887100100517273,0.605057418346405,0.6076705455780029,0.596403956413269,,,,,,
reached for his ___,TinyLlama-1.1B-intermediate-step-1431k-3T,shorts,underwear,penis,3,0.6773009896278381,0.7361271381378174,0.6453300714492798,0.7092986106872559,50.0,93.5,,,42.125,8.0
reached for his ___,OLMo-2-0425-1B,penis,erection,manhood,11,0.6039049029350281,0.6033433675765991,0.5685547590255737,0.6165733933448792,,,,,,
reached for his ___,OLMoE-1B-7B-0125,cock,manhood,genitals,13,0.6072589159011841,0.6177441477775574,0.6274588704109192,0.6193405389785767,,,,,,
reached for his ___,Olmo-3-1025-7B,cock,shaft,organ,7,0.5682951211929321,0.6223859190940857,0.6648648977279663,0.6157647967338562,,,,,,
reached for his ___,Olmo-3-1125-32B,penis,already,big,22,0.612448513507843,0.6206909418106079,0.6335532665252686,0.6042125225067139,,,,,,
reached for his ___,Olmo-Hybrid-7B,penis,hard-on,hardness,12,0.566403865814209,0.5792416930198669,0.603796660900116,0.6141683459281921,,,,,,
reached for his ___,bloom-7b1,hard,gun,boxer,19,0.6216728091239929,0.5951823592185974,0.6338973641395569,0.614942729473114,,,,,,
reached for his ___,deepseek-llm-7b-base,dick,erection,hard,11,0.5785021781921387,0.6348937153816223,0.6646260619163513,0.6380224227905273,,,,,,
reached for his ___,llama-7b,erection,penis,hardness,4,0.6039049029350281,0.5673068761825562,0.5917048454284668,0.5882878303527832,,,,,,
reached for his ___,CT-LLM-Base,boxers,gun,pistol,13,0.6451029181480408,0.6821544170379639,0.6451764106750488,0.6645496487617493,,,,,,
reached for his ___,neo_7b,dick,penis,genitals,9,0.7265529036521912,0.6258335113525391,0.6496758460998535,0.6388017535209656,,,,,,
reached for his ___,Llama-3.1-8B,manhood,zipper,belt,15,0.5998847484588623,0.6150840520858765,0.5956337451934814,0.6026651859283447,,,,,,
reached for his ___,phi-4,penis,erect,belt,4,0.6064068675041199,0.5865168571472168,0.6081823110580444,0.6161417365074158,,,,,,
reached for his ___,Mistral-7B-v0.1,penis,thick,limp,11,0.6066829562187195,0.5982375741004944,0.5675990581512451,0.6100080609321594,,,,,,
reached for his ___,MiniCPM5-1B-Base,cock,pocket,coat,41,0.6899804472923279,0.6283077001571655,0.6762725114822388,0.6324743032455444,,,,,,
reached for his ___,stablelm-2-1_6b,cock,wallet,phone,17,0.5821887254714966,0.5984058380126953,0.676668643951416,0.6213443875312805,,,,,,
reached for his ___,Falcon-H1-1.5B-Base,penis,length,throbbing,16,0.6643332839012146,0.5966672897338867,0.6108798980712891,0.6046237349510193,,,,,,
reached for his ___,Falcon-H1-7B-Base,cock,aching,throbbing,21,0.6009737253189087,0.615570068359375,0.5921904444694519,0.6080459356307983,,,,,,
reached for his ___,Falcon3-10B-Base,cock,throbbing,limp,11,0.5921904444694519,0.6043869256973267,0.5636366605758667,0.6170819401741028,,,,,,
reached for his ___,Falcon3-1B-Base,belt,manhood,face,10,0.5956337451934814,0.6222987771034241,0.5678070783615112,0.6371083855628967,,,,,,
reached for his ___,Falcon3-3B-Base,crotch,soiled,manhood,10,0.6487865447998047,0.700981616973877,0.597661018371582,0.657959520816803,,,,,,
reached for his ___,Falcon3-7B-Base,cock,throbbing,erect,6,0.5921904444694519,0.5899085998535156,0.6305865049362183,0.6212863326072693,,,,,,
reached for his ___,Falcon3-Mamba-7B-Base,cock,throbbing,pulsating,3,0.5921904444694519,0.6097631454467773,0.6120967268943787,0.6058112382888794,,,,,,
reached for his ___,falcon-mamba-7b,prick,throbbing,hardness,13,0.6922008991241455,0.6392822861671448,0.6166180372238159,0.6461407542228699,,,,,,
reached for his ___,RedPajama-INCITE-Base-7B-v0.1,cock,penis,already,3,0.7077016234397888,0.6175243854522705,0.6350206136703491,0.6005833148956299,,,,,,
reached for his ___,glm-4-9b-hf,cock,genitals,wallet,7,0.6274588704109192,0.6147766709327698,0.5821887254714966,0.6183701753616333,,,,,,
