frm,to,fwd,rev,e_fwd,e_rev,p,bonf
threw,held,1347,203,36,28,3.864482466868458e-207,True
threw,stepped,1150,127,35,17,1.343062353473684e-206,True
went,stared,1214,152,34,21,6.781730604953369e-206,True
told,stared,1247,165,35,21,9.191709279366128e-206,True
in,it,1377,219,35,32,3.6812925685462455e-205,True
a,laughed,1168,136,32,21,5.7122103601979125e-205,True
he,locked,965,67,35,15,1.182328763495014e-204,True
the,glanced,1306,191,34,21,2.6630196686221892e-204,True
have,inform,827,29,37,13,3.324351518719905e-204,True
went,glanced,956,65,32,14,5.575211574251531e-204,True
waited,sighed,927,57,34,14,2.4530095806138844e-203,True
was,let,1797,418,36,33,7.911527077347193e-203,True
told,gave,1541,296,38,28,1.1667955011916658e-202,True
it,stared,1433,249,32,23,5.938251706590942e-202,True
opened,whispered,793,23,36,8,1.2410066987793128e-201,True
put,examined,870,43,31,12,3.675681079169413e-201,True
he,glanced,994,82,34,11,9.683554838322553e-200,True
he,immediately,1078,111,35,19,1.659609656360998e-199,True
put,continued,1141,134,36,21,1.7125614931556617e-199,True
threw,felt,1009,88,37,15,6.654070593088825e-199,True
a,left,1475,274,37,33,1.084033023023027e-198,True
put,muttered,736,13,32,7,2.321581435919856e-198,True
it,grinned,888,51,27,17,2.9800708690050612e-198,True
she,found,1288,194,37,27,3.345726418967041e-198,True
threw,made,1468,272,37,24,4.14160467000831e-198,True
a,didn't,1164,145,25,24,5.784394435770649e-198,True
have,provide,816,32,38,11,1.1917685153244737e-197,True
have,prepare,723,11,37,6,1.739621883898241e-197,True
was,made,2165,626,36,36,5.319011372550979e-197,True
go,provide,719,11,35,5,2.6201534417579024e-196,True
he,placed,1538,308,36,33,3.4988991276795405e-196,True
got,grinned,792,28,28,9,2.3561095283198266e-195,True
we,it,1181,156,37,25,3.97650342286486e-195,True
she,began,1791,434,37,34,6.358338714694717e-195,True
have,follow,932,68,37,27,7.889220667144682e-195,True
the,felt,1883,482,32,29,1.383314362930724e-194,True
was,looked,2200,653,36,36,2.3590204262394806e-194,True
he,closed,1259,189,36,26,3.820789201152903e-194,True
went,found,1441,268,38,34,5.432147496838433e-194,True
be,consult,695,8,36,7,6.834693468045486e-194,True
put,quickly,1035,104,35,13,1.7075682946443433e-193,True
his,began,1608,347,36,31,1.8008185347132429e-193,True
he,turned,2066,583,38,35,3.8763380455987564e-193,True
they,sighed,804,33,32,12,3.89719164622633e-193,True
say,provide,713,12,37,4,4.630268374968166e-193,True
put,consider,727,15,36,9,6.660394669237104e-193,True
put,laughed,933,71,33,18,1.5618229273461352e-192,True
he,gently,978,86,34,23,2.7807302451626373e-192,True
told,carefully,780,28,34,10,6.345813414782197e-192,True
ran,stepped,1161,157,34,23,1.4414023308106288e-189,True
he,set,1538,324,36,32,1.0458985024823283e-188,True
add,consider,791,34,36,16,2.291826967300736e-188,True
have,take,1398,260,37,33,2.963845189694088e-188,True
threw,carefully,927,75,35,9,1.387591799986634e-187,True
be,address,776,31,37,18,2.148230454544103e-187,True
put,immediately,875,59,33,16,2.9171587450836164e-187,True
got,began,1685,402,36,32,4.34903249957771e-186,True
ran,grinned,767,30,28,8,5.9906884689734376e-186,True
put,started,1827,476,37,30,1.2526081514468265e-185,True
the,noticed,1045,119,37,22,2.2049802323827534e-185,True
began,whispered,1049,121,35,15,4.9992198557063097e-185,True
opened,began,1087,136,36,21,1.375575612807201e-184,True
pay,consider,725,21,35,11,1.7424625075014433e-184,True
they,now,1004,106,34,28,5.0259994604501e-184,True
she,stared,1153,163,32,26,6.307961160870359e-184,True
i,made,1584,357,38,29,6.666987342227485e-184,True
get,address,793,39,37,13,1.1174783189165329e-183,True
moved,whispered,751,28,33,10,1.204387503476015e-183,True
said,found,1747,440,37,34,1.7640259003056814e-183,True
put,discovered,780,36,37,14,3.899937378585691e-183,True
then,carefully,1159,167,31,19,5.5924466885544184e-183,True
get,provide,710,19,37,6,1.1638394871027418e-182,True
in,made,1082,138,36,19,4.8096191432799297e-182,True
he,it,2190,685,39,38,6.42253029433305e-182,True
was,gently,834,53,34,13,1.7237435517963228e-181,True
told,discovered,766,34,36,15,2.6466709259818723e-181,True
he,stood,1555,349,34,28,3.330252172354853e-181,True
then,grinned,1068,134,27,16,3.8268935552285144e-181,True
he,handed,1427,288,37,27,4.347371463817875e-181,True
he,didn't,1242,205,30,28,4.531386144521037e-181,True
when,she,1230,200,37,27,5.36060486678453e-181,True
told,left,1418,284,38,33,5.400951488683875e-181,True
leave,consider,694,17,37,11,1.337933552248594e-180,True
she,smiled,1333,246,35,27,1.5202402035346004e-180,True
told,looked,1613,381,38,31,8.428018123178296e-180,True
be,contact,894,74,38,23,1.358158455563968e-179,True
ran,sighed,887,72,31,16,2.325282622486531e-179,True
a,grinned,787,42,24,8,5.543054938893148e-179,True
it,felt,1522,339,34,29,1.5775932663235826e-178,True
in,began,1083,144,35,20,1.79097528652627e-178,True
have,speak,845,60,36,23,3.2425091647078765e-178,True
got,watched,1406,285,36,31,7.305008211234855e-178,True
pulled,whispered,1103,153,37,15,8.336802412419714e-178,True
he,offered,1209,197,35,30,1.0479018280774133e-177,True
in,left,942,93,34,22,1.7994268401049118e-177,True
got,stared,970,103,32,19,2.0100855407514514e-177,True
he,gazed,835,58,30,10,2.943744661205168e-177,True
say,inform,716,25,36,4,4.267801533986033e-177,True
told,the,2264,744,38,33,9.36618346322347e-177,True
on,the,883,74,40,19,1.1555588165133206e-176,True
be,seek,753,35,37,11,1.3847504414640169e-176,True
they,the,1597,381,38,27,1.8360531457329338e-176,True
had,found,1173,184,36,26,1.883699734180194e-176,True
told,handed,1118,162,36,28,5.0718649049664736e-176,True
said,noticed,963,103,34,23,1.2679305289616434e-175,True
they,began,1495,333,37,34,2.190922582791436e-175,True
a,stepped,884,76,33,20,2.5342889481955526e-175,True
he,discovered,933,93,35,14,3.93872725781791e-175,True
have,talk,987,114,38,28,4.422880501417385e-174,True
opened,stepped,793,49,32,20,6.295397622362164e-174,True
just,inform,673,18,38,12,3.223453400934032e-173,True
said,sighed,1301,247,32,20,8.600597674108265e-173,True
the,smiled,2021,618,34,34,1.2663436206662001e-172,True
put,walked,1738,464,37,36,1.9927136289799703e-172,True
she,noticed,756,40,34,12,2.4933782307440044e-172,True
she,watched,1352,272,37,34,4.5439804545069023e-172,True
he,paused,718,30,32,8,4.85859512831851e-172,True
his,then,1840,520,37,35,6.264716218236454e-172,True
went,noticed,759,42,34,11,3.3918711367203317e-171,True
when,left,1139,180,36,27,1.2452115973769201e-170,True
he,spoke,1001,125,33,18,2.888831219689078e-170,True
stop,address,644,14,34,10,4.8650220816384355e-170,True
in,she,1329,266,36,30,7.998395002602484e-170,True
it,carefully,872,79,31,20,8.706874526870885e-170,True
also,consider,678,22,35,11,9.792589799315097e-170,True
a,sighed,1042,142,31,16,1.2663248253471127e-169,True
went,looked,1433,316,36,33,1.377934416940351e-169,True
when,found,938,103,34,15,3.2633690999476307e-169,True
he,quickly,1016,133,34,16,7.502552632987655e-169,True
slid,whispered,679,23,37,12,7.725616811757177e-169,True
was,gazed,767,47,33,9,1.2263742733150079e-168,True
a,smiled,1340,274,34,28,1.7875882472728866e-168,True
got,felt,1251,233,36,22,1.8242189793955289e-168,True
threw,let,1098,167,37,21,2.8783326699963535e-168,True
she,grinned,681,24,28,14,3.036036279232879e-168,True
he,saw,1173,199,36,25,3.5096933054802776e-168,True
was,shouted,1323,267,35,26,5.101591034705103e-168,True
when,laughed,714,33,31,14,1.05071403684155e-167,True
told,realized,732,38,37,13,1.2474995117279623e-167,True
laid,whispered,635,14,34,7,2.05073422661267e-167,True
make,consider,705,31,34,11,2.7692283479047268e-167,True
get,inform,700,30,37,10,6.050263077119094e-167,True
put,gave,1642,428,37,31,6.211620660606011e-167,True
he,tossed,1160,196,35,20,9.198767232552535e-167,True
sat,began,1367,291,35,32,1.550614378898081e-166,True
had,began,1383,299,35,28,2.1684927750584308e-166,True
cried,whispered,591,6,37,3,2.388399407371978e-166,True
she,shouted,896,92,36,19,2.8416535118827426e-166,True
when,shouted,748,44,32,10,3.179265416481012e-166,True
kept,whispered,701,31,37,7,3.72976154422314e-166,True
say,take,1098,171,37,21,5.6498337613844e-166,True
threw,stared,1086,166,33,12,5.706312290991832e-166,True
they,smiled,1059,155,35,26,6.754562120965646e-166,True
got,glanced,732,40,32,13,1.1933747538883065e-165,True
put,checked,853,78,33,21,1.4665099493997826e-165,True
they,felt,981,125,35,25,2.826373039949643e-165,True
tell,address,603,9,37,5,3.736933845481143e-165,True
he,scattered,636,16,31,7,4.64805951962457e-165,True
was,continued,1159,199,35,28,6.354035949254275e-165,True
the,pressed,1308,267,35,30,1.0496014928769838e-164,True
go,inform,639,17,35,8,1.209263433743066e-164,True
went,muttered,585,6,32,3,1.4384664281730624e-164,True
his,the,1430,328,37,30,9.929750953979083e-164,True
told,decided,813,68,36,15,6.959058318759581e-163,True
smiled,whispered,722,40,36,13,7.160860446338035e-163,True
i,felt,1172,209,35,25,1.1317224420206237e-162,True
got,leaned,862,85,33,19,1.325376655228537e-162,True
never,contact,623,15,38,7,1.374770581175317e-162,True
say,follow,699,34,36,14,1.8768684040189091e-162,True
was,pulled,1893,580,38,36,1.988395333433929e-161,True
threw,shouted,968,126,36,23,2.1015719462367034e-161,True
threw,laughed,737,46,34,14,2.5668416884586977e-161,True
we,made,923,109,37,26,2.8536351549308935e-161,True
told,took,1751,502,36,35,3.595599109793254e-161,True
went,handed,1298,270,36,27,4.140328043524312e-161,True
they,grinned,622,16,27,6,5.3620270849468375e-161,True
when,smiled,881,94,31,18,5.7987241784393676e-161,True
got,carefully,671,28,31,10,6.6487454639284155e-161,True
a,it,1909,591,37,35,8.781280183770911e-161,True
give,consider,693,34,35,12,9.028374493422655e-161,True
the,watched,1963,623,36,36,2.2656201474654886e-160,True
be,discuss,684,32,37,12,2.6060207482024177e-160,True
say,seek,684,32,32,8,2.6060207482024177e-160,True
it,muttered,705,38,32,13,4.1761900940982366e-160,True
say,consult,558,4,35,2,5.487485403615085e-160,True
ran,began,1514,380,36,28,9.211937864021118e-160,True
his,stepped,727,45,29,17,1.7004110277732367e-159,True
have,start,990,138,37,28,2.4309424054676127e-159,True
have,escalate,611,15,35,7,4.223890069888337e-159,True
have,look,985,137,37,29,9.940097896037993e-159,True
told,immediately,794,67,34,20,1.2317517979177873e-158,True
all,consider,547,3,37,3,1.504791719029514e-158,True
went,held,1327,290,35,24,2.4765950879621597e-158,True
i,began,1493,373,36,30,2.9475032800119717e-158,True
she,carefully,669,30,32,12,3.4468828635496717e-158,True
a,stared,1116,193,33,23,3.9427987047157654e-158,True
the,found,1714,491,37,36,6.11751586219426e-158,True
his,sighed,951,125,30,14,7.931483396754068e-158,True
told,offered,849,87,35,17,9.312841813115178e-158,True
had,sighed,717,44,29,15,1.1232744770263553e-157,True
call,address,662,29,34,11,2.8071485200272493e-157,True
put,gazed,758,57,34,9,2.836870461636988e-157,True
told,started,1471,365,37,33,5.976468206113142e-157,True
went,examined,608,16,34,8,6.137204101623229e-157,True
shoved,whispered,689,37,36,10,1.224096343213844e-156,True
told,let,1277,270,36,28,1.6025807395907009e-156,True
a,walked,1362,312,36,33,3.3824926492188234e-156,True
was,offered,987,142,32,30,3.424790662230736e-156,True
went,quickly,840,86,33,12,3.704585374848479e-156,True
went,took,1403,333,37,29,6.00721759313886e-156,True
not,consult,625,21,31,8,1.0334471180132273e-155,True
went,laughed,760,60,31,24,2.752485032428663e-155,True
turned,sighed,796,72,28,17,3.3034674988838094e-155,True
went,let,1479,374,37,33,5.228277293893763e-155,True
know,contact,728,51,38,19,2.405367602589262e-154,True
have,respond,629,24,37,17,2.1119748819893126e-153,True
when,caused,616,21,31,8,3.924500151491303e-153,True
be,follow,767,65,37,23,4.562153490317653e-153,True
have,proceed,597,17,33,13,1.705454620759598e-152,True
told,glanced,700,45,34,11,4.392451312081992e-152,True
was,laughed,994,152,34,34,5.205574878140407e-152,True
got,found,1288,286,35,31,9.951380078896129e-152,True
a,continued,980,147,35,21,1.510160472068286e-151,True
they,watched,1064,183,37,32,2.2560948626931975e-151,True
was,handed,1457,372,35,32,2.4898004198820082e-151,True
he,replaced,739,58,37,14,2.5451108913283317e-151,True
that,now,927,126,36,24,2.7880581898858374e-151,True
sue,consider,565,11,37,9,4.34538667012209e-151,True
threw,examined,669,37,35,7,4.45227479066817e-151,True
put,decided,746,61,34,19,1.0236045992733322e-150,True
called,whispered,720,53,36,8,1.9417203185854333e-150,True
opened,sighed,628,27,32,12,8.147104809824574e-150,True
not,prepare,570,13,30,7,8.154785356431516e-150,True
put,scanned,595,19,30,11,1.7806435246897286e-149,True
told,walked,1441,369,36,35,2.900182882765847e-149,True
drew,whispered,549,9,35,5,2.9189505747616217e-149,True
a,muttered,614,24,26,8,3.925666507093237e-149,True
say,prepare,548,9,35,3,5.743914841289647e-149,True
put,closed,964,145,36,22,7.248256382244143e-149,True
ask,consider,691,46,35,18,1.0276125208730812e-148,True
just,address,660,37,38,19,1.4013745402680799e-148,True
i,it,1578,445,36,34,4.8768110420422356e-148,True
it,smiled,1455,380,34,34,7.802367446747576e-148,True
know,address,567,14,38,8,1.267428088796057e-147,True
said,began,2387,923,37,35,1.2844048681181358e-147,True
was,paused,608,24,30,14,1.995038166698506e-147,True
told,quickly,772,74,34,15,2.2417431805770772e-147,True
said,felt,1876,615,36,32,3.158172265666959e-147,True
put,locked,704,52,32,15,5.654674127268832e-147,True
got,smiled,1102,209,35,24,1.0060420892837634e-146,True
was,closed,1045,184,35,29,1.9003871137825229e-146,True
have,discuss,669,42,35,18,2.46124457640371e-146,True
really,consider,528,7,37,2,4.3120685134011e-146,True
in,watched,897,123,35,18,9.05515283452218e-146,True
called,sighed,693,50,31,15,1.0047160315198204e-145,True
put,offered,929,136,34,27,1.0366188764210083e-145,True
a,carefully,672,44,30,12,2.5040951743469063e-145,True
he,shattered,608,26,33,9,3.0899764888466356e-145,True
stood,whispered,740,66,37,10,4.0281767927710715e-145,True
be,inform,657,40,38,15,6.800129422290724e-145,True
point,consider,621,30,37,13,1.0990566189625784e-144,True
went,placed,1304,312,36,34,4.9930001544760267e-144,True
told,said,1134,230,38,25,1.0291916609491728e-143,True
say,address,628,33,34,8,1.3145826971695595e-143,True
dropped,carefully,664,44,34,10,3.8528753749328037e-143,True
was,tucked,699,55,31,19,4.3142472014561085e-143,True
was,spoke,865,115,31,29,7.130639674878348e-143,True
the,quickly,1170,249,34,23,8.31036256778155e-143,True
watched,whispered,703,57,36,14,1.651851270001395e-142,True
say,talk,681,50,36,19,1.7746564775900223e-142,True
threw,grinned,558,16,28,3,1.789572613951106e-142,True
a,accidentally,540,12,32,8,2.055114931240471e-142,True
be,speak,735,68,37,23,2.9791255434238356e-142,True
was,quickly,917,137,33,18,3.152217306423881e-142,True
the,scanned,654,42,30,8,3.210197727378865e-142,True
go,prepare,520,8,33,7,3.2832925596209554e-142,True
she,immediately,694,55,36,15,9.449189771528097e-142,True
put,approached,576,21,30,9,1.0833383549925415e-141,True
just,provide,563,18,38,11,1.7781110194597907e-141,True
was,murmured,531,11,30,3,3.804582341786013e-141,True
the,examined,739,71,32,17,5.133738236111305e-141,True
a,gave,1660,511,37,31,5.435417632939099e-141,True
put,spoke,756,77,35,20,5.531286086884632e-141,True
just,consult,544,14,36,7,6.006740382374365e-141,True
threw,sighed,665,47,31,8,9.529687684005977e-141,True
got,quickly,711,62,33,16,1.323732916059033e-140,True
sat,carefully,610,31,32,9,1.3828728873245648e-140,True
the,locked,875,123,31,21,2.186860536128959e-140,True
was,examined,650,43,33,15,3.231571074542071e-140,True
he,declared,639,40,34,13,6.080311486174815e-140,True
tell,consult,517,9,31,6,7.34636793509151e-140,True
sat,stepped,850,114,33,18,8.4519785891934e-140,True
put,saw,962,161,37,26,2.0778814671494844e-139,True
move,consider,583,25,38,11,3.0442033061556402e-139,True
i,sighed,790,92,29,15,3.9639750658790586e-139,True
turned,felt,1035,194,36,28,4.804651823559737e-139,True
brought,carefully,528,12,33,7,6.452150673146461e-139,True
be,provide,604,31,38,14,6.569055232856733e-139,True
say,speak,618,35,34,11,7.219768524075687e-139,True
never,do,658,47,38,19,7.552977823286381e-139,True
told,checked,689,57,35,22,9.01322515381404e-139,True
a,found,1122,235,36,27,9.540412392855488e-139,True
it,began,2275,888,37,34,1.1122948045142257e-138,True
when,didn't,830,108,24,23,1.222803018043176e-138,True
be,prepare,497,6,36,5,1.6876112578789504e-138,True
the,paused,637,41,27,13,1.7841832888382077e-138,True
he,accidentally,591,28,36,10,2.5028712947419467e-138,True
his,grinned,699,61,28,11,3.2154412838584247e-138,True
would,she,1262,305,38,32,3.4457805911859036e-138,True
sue,contact,559,20,35,12,5.542820062845635e-138,True
i,watched,1203,276,36,27,5.600382964940467e-138,True
she,stepped,673,53,33,22,8.760539890994961e-138,True
threw,caused,550,18,35,9,9.640800722835595e-138,True
it,stepped,1169,260,34,30,1.1164857155434448e-137,True
they,stared,767,86,31,21,2.1127905575517627e-137,True
got,made,1493,429,36,29,2.4329815880908357e-137,True
they,leaned,722,70,34,18,2.494472616025094e-137,True
the,gently,955,162,34,30,3.1025808045085243e-137,True
that,it,1147,251,37,22,6.218099394265522e-137,True
a,noticed,688,59,34,13,6.800489168553496e-137,True
kill,make,567,23,37,12,6.913636699433751e-137,True
know,inform,546,18,38,9,1.3559590193449159e-136,True
pushed,leaned,774,90,33,17,1.960851439979891e-136,True
threw,pulled,1068,215,37,32,3.293747427785711e-136,True
tried,shouted,870,128,34,24,3.519538611827426e-136,True
turned,carefully,706,66,34,18,3.57180476993612e-136,True
with,whispered,540,17,31,6,4.597568345378927e-136,True
put,address,527,14,35,9,5.083189721169321e-136,True
was,locked,775,91,34,23,5.213561509325573e-136,True
told,leaned,977,174,35,23,5.390171340824545e-136,True
gave,carefully,681,58,29,19,7.779342622063935e-136,True
