labeling,frm,to,dominant,reverse,stems_fwd,stems_rev,p,bonferroni,testable,holds
framenet,Perception_experience,Intentionally_create,17,1,12.0,1.0,0.00341796875,False,True,False
framenet,Performers_and_roles,Intentionally_create,24,0,20.0,0.0,1.9073486328125e-06,True,True,True
framenet,Removing,Intentionally_create,12,0,,,,,False,False
framenet,Request,Intentionally_create,12,0,11.0,0.0,0.0009765625,True,True,True
framenet,Self_motion,Intentionally_create,20,4,17.0,4.0,0.007197380065917969,False,True,False
framenet,Statement,Intentionally_create,16,0,15.0,0.0,6.103515625e-05,True,True,True
framenet,Waiting,Perception_active,18,1,15.0,1.0,0.000518798828125,True,True,True
induced,grammatical_function,perception_cognition,263,49,124.0,43.0,2.6714396498593266e-10,True,True,True
induced,locomotion_posture,perception_cognition,75,10,54.0,10.0,1.9964982237862146e-08,True,True,True
induced,object_handling,perception_cognition,78,12,58.0,10.0,2.361627111046021e-09,True,True,True
induced,speech_act,perception_cognition,76,12,55.0,10.0,1.1753602809018608e-08,True,True,True
induced,person_reference,perception_cognition,71,10,50.0,9.0,5.264832102225281e-08,True,True,True
induced,person_reference,locomotion_posture,75,12,52.0,9.0,1.802802378388091e-08,True,True,True
induced,bodily_violence,speech_act,38,1,29.0,1.0,5.774199962615967e-08,True,True,True
induced,person_reference,object_handling,59,14,47.0,12.0,5.1256292496887346e-06,True,True,True
induced,transfer_possession,perception_cognition,49,11,33.0,10.0,0.0006061066312668117,True,True,True
induced,bodily_violence,object_handling,34,6,25.0,6.0,0.0008779102936387062,True,True,True
induced,contact_care,speech_act,28,4,22.0,3.0,0.00015652179718017578,True,True,True
induced,grammatical_function,transfer_possession,103,50,68.0,42.0,0.01674502147823378,False,True,False
induced,contact_care,perception_cognition,16,0,11.0,0.0,0.0009765625,False,True,False
induced,bodily_violence,grammatical_function,41,11,30.0,8.0,0.0004719867429230362,True,True,True
induced,property_damage,grammatical_function,40,11,30.0,11.0,0.00432400493446039,False,True,False
induced,property_damage,perception_cognition,13,0,11.0,0.0,0.0009765625,False,True,False
induced,bodily_violence,locomotion_posture,18,2,16.0,2.0,0.001312255859375,False,True,False
induced,person_reference,transfer_possession,26,6,18.0,6.0,0.022655844688415527,False,True,False
wordnet,unassigned,possession,210,45,117.0,40.0,5.948252208807447e-10,True,True,True
wordnet,unassigned,perception,133,21,73.0,20.0,2.9201448769714557e-08,True,True,True
wordnet,unassigned,motion,252,124,157.0,90.0,2.4034543240151384e-05,True,True,True
wordnet,unassigned,change,97,30,69.0,29.0,6.572240952992274e-05,True,True,True
wordnet,contact,change,59,12,45.0,12.0,1.3127443164284712e-05,True,True,True
wordnet,contact,perception,48,9,39.0,8.0,5.539621596994947e-06,True,True,True
wordnet,perception,possession,41,6,27.0,6.0,0.0003240634687244892,True,True,True
wordnet,communication,change,30,2,24.0,2.0,1.049041748046875e-05,True,True,True
wordnet,contact,possession,88,32,59.0,27.0,0.0007317100653124087,True,True,True
wordnet,communication,possession,50,12,40.0,11.0,5.703811637403078e-05,True,True,True
wordnet,contact,stative,52,14,38.0,13.0,0.0006210434562277101,True,True,True
wordnet,unassigned,body,37,7,30.0,7.0,0.00019107642583549023,True,True,True
wordnet,stative,perception,30,4,24.0,4.0,0.00017999112606048584,True,True,True
wordnet,contact,communication,95,42,69.0,29.0,6.572240952992274e-05,True,True,True
wordnet,unassigned,cognition,27,4,21.0,3.0,0.0002771615982055664,True,True,True
wordnet,unassigned,stative,131,72,76.0,55.0,0.08016994071057773,False,True,False
wordnet,motion,possession,63,25,41.0,22.0,0.022574972673257185,False,True,False
wordnet,contact,cognition,17,1,13.0,1.0,0.0018310546875,False,True,False
