stratum,labeling,frm,to,fwd,rev,e_fwd,e_rev,reciprocal,p,bonferroni,frm_name,to_name
ALL,TOKEN,covered,listened,36,7,16,6,True,0.052478790283203125,False,,
ALL,TOKEN,covered,stared,165,20,27,11,True,0.013852965261321515,False,,
ALL,TOKEN,the,covered,237,203,28,26,True,0.8919231511047488,False,,
ALL,TOKEN,covered,thought,47,9,19,7,True,0.028959274291992188,False,,
ALL,TOKEN,covered,watched,164,46,29,23,True,0.48845566937989204,False,,
ALL,TOKEN,cried,closed,200,29,30,14,True,0.022628841205914796,False,,
ALL,TOKEN,cried,couldn't,71,5,14,4,True,0.0308837890625,False,,
ALL,TOKEN,cried,felt,363,38,34,9,True,0.00017015517460094998,False,,
ALL,TOKEN,cried,gazed,233,17,33,6,True,1.429926123819314e-05,False,,
ALL,TOKEN,cried,heard,98,40,27,11,True,0.013852965261321515,False,,
ALL,TOKEN,cried,let,349,49,37,15,True,0.003185253447776759,False,,
ALL,TOKEN,cried,listened,118,28,35,9,True,0.00010604466626773501,False,,
ALL,TOKEN,cried,pondered,61,1,18,1,True,7.62939453125e-05,False,,
ALL,TOKEN,cried,stared,350,28,31,8,True,0.0002940768754342571,False,,
ALL,TOKEN,cried,the,298,222,34,24,True,0.23704711476271959,False,,
ALL,TOKEN,cried,thought,118,32,31,14,True,0.016094360031274842,False,,
ALL,TOKEN,cried,watched,281,62,36,18,True,0.01983432672806828,False,,
ALL,TOKEN,did,closed,258,67,32,18,True,0.06490864707227217,False,,
ALL,TOKEN,did,couldn,128,5,14,5,True,0.063568115234375,False,,
ALL,TOKEN,did,couldn't,162,31,22,13,True,0.175465248990804,False,,
ALL,TOKEN,did,felt,555,88,34,16,True,0.015346677832630107,False,,
ALL,TOKEN,did,gazed,199,13,29,3,True,2.5560148060321808e-06,False,,
ALL,TOKEN,did,heard,104,37,24,16,True,0.26818725105476915,False,,
ALL,TOKEN,did,let,331,201,32,30,True,0.8990763136528589,False,,
ALL,TOKEN,did,listened,124,23,29,8,True,0.0007528970600105822,False,,
ALL,TOKEN,did,pondered,68,1,15,1,True,0.000518798828125,False,,
ALL,TOKEN,did,stared,379,56,30,10,True,0.0022214337732293643,False,,
ALL,TOKEN,did,the,948,442,37,33,True,0.7202027723528612,False,,
ALL,TOKEN,did,thought,190,91,31,27,True,0.6940040940761318,False,,
ALL,TOKEN,did,watched,446,146,32,27,True,0.6029232012571504,False,,
ALL,TOKEN,had,closed,480,94,31,21,True,0.21160856876151612,False,,
ALL,TOKEN,had,couldn,229,7,12,4,True,0.076812744140625,False,,
ALL,TOKEN,had,couldn't,285,32,22,15,True,0.3240086000878364,False,,
ALL,TOKEN,had,felt,1049,82,33,22,True,0.1770013647703581,False,,
ALL,TOKEN,had,gazed,227,16,25,4,True,0.00010371580719947815,False,,
ALL,TOKEN,had,heard,180,46,23,18,True,0.5327092552361137,False,,
ALL,TOKEN,had,let,630,195,34,27,True,0.4426260049464714,False,,
ALL,TOKEN,had,listened,198,35,27,16,True,0.12628947438543037,False,,
ALL,TOKEN,had,pondered,82,3,14,2,True,0.004180908203125,False,,
ALL,TOKEN,had,stared,681,91,29,18,True,0.14386508844054896,False,,
ALL,TOKEN,had,the,1040,396,38,34,True,0.7239481457469141,False,,
ALL,TOKEN,had,thought,287,79,29,28,True,1.0,False,,
ALL,TOKEN,had,watched,927,182,34,32,True,0.9021585000966994,False,,
ALL,TOKEN,he,closed,1259,189,36,26,True,0.25285439418811073,False,,
ALL,TOKEN,he,couldn,306,6,13,5,True,0.09625244140625,False,,
ALL,TOKEN,he,couldn't,624,63,27,14,True,0.05958388801809633,False,,
ALL,TOKEN,he,felt,2753,270,36,28,True,0.3817327947933377,False,,
ALL,TOKEN,he,gazed,835,58,30,10,True,0.0022214337732293643,False,,
ALL,TOKEN,he,heard,522,94,33,21,True,0.13367423536410522,False,,
ALL,TOKEN,he,let,2214,453,37,29,True,0.3890524605477928,False,,
ALL,TOKEN,he,listened,509,73,33,15,True,0.01328328156224501,False,,
ALL,TOKEN,he,pondered,168,4,19,1,True,4.00543212890625e-05,False,,
ALL,TOKEN,he,stared,2478,233,33,19,True,0.07039422106706228,False,,
ALL,TOKEN,he,the,3021,594,38,34,True,0.7239481457469141,False,,
ALL,TOKEN,he,thought,768,107,33,22,True,0.1770013647703581,False,,
ALL,TOKEN,he,watched,2671,339,36,32,True,0.716300760154337,False,,
ALL,TOKEN,held,closed,286,224,33,31,True,0.9006532462520334,False,,
ALL,TOKEN,held,couldn't,61,3,16,3,True,0.004425048828125,False,,
ALL,TOKEN,felt,held,263,476,30,29,True,1.0,False,,
ALL,TOKEN,held,gazed,292,68,29,11,True,0.006426576095691416,False,,
ALL,TOKEN,held,heard,141,98,23,18,True,0.5327092552361137,False,,
ALL,TOKEN,held,let,686,542,34,33,True,1.0,False,,
ALL,TOKEN,listened,held,117,136,28,22,True,0.47988766169832786,False,,
ALL,TOKEN,held,pondered,71,2,13,2,True,0.00738525390625,False,,
ALL,TOKEN,held,stared,571,304,30,28,True,0.8956832138895906,False,,
ALL,TOKEN,held,the,827,2017,36,35,True,1.0,False,,
ALL,TOKEN,held,thought,211,91,27,25,True,0.8898839652765371,False,,
ALL,TOKEN,held,watched,664,375,35,33,True,0.9035973456835127,False,,
ALL,TOKEN,his,closed,438,103,30,25,True,0.5900533317766354,False,,
ALL,TOKEN,his,couldn,92,3,10,1,True,0.01171875,False,,
ALL,TOKEN,his,couldn't,268,60,21,17,True,0.6271025701571489,False,,
ALL,TOKEN,his,felt,1045,275,33,24,True,0.2892437471090205,False,,
ALL,TOKEN,his,gazed,382,26,29,12,True,0.011507789735333063,False,,
ALL,TOKEN,his,heard,229,68,31,21,True,0.21160856876151612,False,,
ALL,TOKEN,his,let,992,182,33,29,True,0.7035366713552733,False,,
ALL,TOKEN,his,listened,236,44,27,17,True,0.17417114727072658,False,,
ALL,TOKEN,his,pondered,95,12,14,4,True,0.0308837890625,False,,
ALL,TOKEN,his,stared,961,191,32,22,True,0.22032849417661093,False,,
ALL,TOKEN,his,the,1430,328,37,30,True,0.46381761789686937,False,,
ALL,TOKEN,his,thought,397,115,29,23,True,0.48845566937989204,False,,
ALL,TOKEN,his,watched,1229,316,34,33,True,1.0,False,,
ALL,TOKEN,in,closed,305,62,29,12,True,0.011507789735333063,False,,
ALL,TOKEN,in,couldn,107,12,14,2,True,0.004180908203125,False,,
ALL,TOKEN,in,couldn't,204,8,21,5,True,0.002493917942047119,False,,
ALL,TOKEN,in,felt,990,67,34,16,True,0.015346677832630107,False,,
ALL,TOKEN,in,gazed,225,16,25,6,True,0.0008779102936387062,False,,
ALL,TOKEN,in,heard,171,28,26,12,True,0.03355243967962451,False,,
ALL,TOKEN,in,let,628,79,34,16,True,0.015346677832630107,False,,
ALL,TOKEN,in,listened,198,21,30,8,True,0.0004719867429230362,False,,
ALL,TOKEN,in,pondered,59,5,12,2,True,0.012939453125,False,,
ALL,TOKEN,in,stared,515,65,30,11,True,0.00432400493446039,False,,
ALL,TOKEN,in,the,1762,209,36,33,True,0.8099490529189248,False,,
ALL,TOKEN,in,thought,341,33,31,15,True,0.02589608179323477,False,,
ALL,TOKEN,in,watched,897,123,35,18,True,0.027008317653722358,False,,
ALL,TOKEN,it,closed,606,208,34,27,True,0.4426260049464714,False,,
ALL,TOKEN,it,couldn,159,22,14,6,True,0.11531829833984375,False,,
ALL,TOKEN,it,couldn't,408,82,24,16,True,0.26818725105476915,False,,
ALL,TOKEN,it,felt,1522,339,34,29,True,0.6146550157654618,False,,
ALL,TOKEN,it,gazed,463,27,30,8,True,0.0004719867429230362,False,,
ALL,TOKEN,it,heard,223,159,31,26,True,0.5966417603730826,False,,
ALL,TOKEN,it,let,1166,527,36,32,True,0.716300760154337,False,,
ALL,TOKEN,it,listened,275,102,31,25,True,0.5044037600228255,False,,
ALL,TOKEN,it,pondered,117,2,19,2,True,0.00022125244140625,False,,
ALL,TOKEN,it,stared,1433,249,32,23,True,0.2806097176983541,False,,
ALL,TOKEN,it,the,1539,640,38,32,True,0.5504125118224712,False,,
ALL,TOKEN,it,thought,408,185,32,29,True,0.7981526273057179,False,,
ALL,TOKEN,it,watched,1442,494,35,34,True,1.0,False,,
ALL,TOKEN,closed,made,392,285,36,27,True,0.31350305329645284,False,,
ALL,TOKEN,made,couldn,90,14,13,6,True,0.1670684814453125,False,,
ALL,TOKEN,made,couldn't,198,49,24,17,True,0.34888887944907765,False,,
ALL,TOKEN,made,felt,720,302,33,31,True,0.9006532462520334,False,,
ALL,TOKEN,made,gazed,254,63,26,14,True,0.0806904677519924,False,,
ALL,TOKEN,heard,made,167,185,28,25,True,0.7838463022094988,False,,
ALL,TOKEN,let,made,640,674,35,32,True,0.8071946913670247,False,,
ALL,TOKEN,made,listened,155,121,26,26,True,1.0,False,,
ALL,TOKEN,made,pondered,49,3,15,3,True,0.007537841796875,False,,
ALL,TOKEN,stared,made,436,791,30,28,True,0.8956832138895906,False,,
ALL,TOKEN,the,made,2393,1038,37,35,True,0.906294324703081,False,,
ALL,TOKEN,thought,made,277,226,29,26,True,0.7877061896700431,False,,
ALL,TOKEN,watched,made,600,818,35,33,True,0.9035973456835127,False,,
ALL,TOKEN,remembered,closed,24,10,10,8,True,0.8145294189453125,False,,
ALL,TOKEN,remembered,couldn't,22,7,8,4,True,0.3876953125,False,,
ALL,TOKEN,remembered,felt,54,18,19,6,True,0.01463329792022705,False,,
ALL,TOKEN,remembered,gazed,24,9,15,7,True,0.13380050659179688,False,,
ALL,TOKEN,heard,remembered,12,4,7,3,True,0.34375,False,,
ALL,TOKEN,remembered,let,34,10,11,7,True,0.480682373046875,False,,
ALL,TOKEN,listened,remembered,19,5,10,3,True,0.09228515625,False,,
ALL,TOKEN,remembered,pondered,15,4,8,4,True,0.3876953125,False,,
ALL,TOKEN,remembered,stared,33,21,14,9,True,0.4048728942871094,False,,
ALL,TOKEN,the,remembered,74,37,19,16,True,0.735878800856881,False,,
ALL,TOKEN,remembered,thought,18,12,11,11,True,1.0,False,,
ALL,TOKEN,watched,remembered,34,14,14,9,True,0.4048728942871094,False,,
ALL,TOKEN,slept,closed,92,14,27,7,True,0.0008213953115046024,False,,
ALL,TOKEN,slept,couldn't,28,0,15,0,False,6.103515625e-05,False,,
ALL,TOKEN,slept,felt,127,9,30,6,True,6.960169412195683e-05,False,,
ALL,TOKEN,slept,gazed,44,4,20,4,True,0.001543879508972168,False,,
ALL,TOKEN,slept,heard,19,7,12,4,True,0.076812744140625,False,,
ALL,TOKEN,slept,let,52,15,23,8,True,0.010673840530216694,False,,
ALL,TOKEN,slept,listened,41,4,19,4,True,0.002599477767944336,False,,
ALL,TOKEN,slept,stared,86,14,26,7,True,0.0013187271542847157,False,,
ALL,TOKEN,slept,the,62,32,21,15,True,0.4050322461407632,False,,
ALL,TOKEN,slept,thought,34,10,19,8,True,0.052238985896110535,False,,
ALL,TOKEN,slept,watched,54,13,25,10,True,0.016673847800120715,False,,
ALL,TOKEN,closed,smiled,218,222,28,27,True,1.0,False,,
ALL,TOKEN,smiled,couldn,79,2,14,1,True,0.0009765625,False,,
ALL,TOKEN,smiled,couldn't,113,30,19,12,True,0.28104151505976915,False,,
ALL,TOKEN,smiled,felt,445,224,34,23,True,0.18485048241641844,False,,
ALL,TOKEN,smiled,gazed,196,59,25,12,True,0.04703102743951604,False,,
ALL,TOKEN,heard,smiled,123,90,27,23,True,0.6718110337653656,False,,
ALL,TOKEN,smiled,let,482,391,36,29,True,0.45702078541058977,False,,
ALL,TOKEN,listened,smiled,104,111,26,25,True,1.0,False,,
ALL,TOKEN,smiled,pondered,53,1,13,1,True,0.0018310546875,False,,
ALL,TOKEN,smiled,stared,321,256,27,23,True,0.6718110337653656,False,,
ALL,TOKEN,smiled,the,618,2021,34,34,True,1.0,False,,
ALL,TOKEN,thought,smiled,209,195,31,27,True,0.6940040940761318,False,,
ALL,TOKEN,watched,smiled,339,309,32,30,True,0.8990763136528589,False,,
ALL,TOKEN,stroked,closed,75,34,27,12,True,0.023702702470473014,False,,
ALL,TOKEN,stroked,felt,145,31,31,10,True,0.0014504910141113214,False,,
ALL,TOKEN,stroked,gazed,64,9,21,5,True,0.002493917942047119,False,,
ALL,TOKEN,stroked,let,131,40,31,11,True,0.002887247974285856,False,,
ALL,TOKEN,stroked,listened,51,5,18,3,True,0.0014896392822265625,False,,
ALL,TOKEN,stroked,stared,146,15,29,9,True,0.0016580525261815637,False,,
ALL,TOKEN,stroked,the,131,175,24,18,True,0.44079906734259566,False,,
ALL,TOKEN,stroked,thought,26,8,11,6,True,0.332305908203125,False,,
ALL,TOKEN,stroked,watched,113,32,24,10,True,0.024306510109454393,False,,
ALL,TOKEN,then,closed,810,574,31,31,True,1.0,False,,
ALL,TOKEN,then,couldn,280,13,13,6,True,0.1670684814453125,False,,
ALL,TOKEN,then,couldn't,454,109,25,19,True,0.4513808323961257,False,,
ALL,TOKEN,then,felt,1786,805,35,30,True,0.6201447650813029,False,,
ALL,TOKEN,then,gazed,649,172,29,17,True,0.10380535550410741,False,,
ALL,TOKEN,then,heard,335,294,29,25,True,0.6834892282353371,False,,
ALL,TOKEN,then,let,1269,1028,36,33,True,0.8099490529189248,False,,
ALL,TOKEN,then,listened,361,253,26,26,True,1.0,False,,
ALL,TOKEN,then,pondered,101,21,16,5,True,0.02660369873046875,False,,
ALL,TOKEN,then,stared,1721,792,31,31,True,1.0,False,,
ALL,TOKEN,the,then,1774,1236,37,36,True,1.0,False,,
ALL,TOKEN,thought,then,321,353,31,29,True,0.8974218269914307,False,,
ALL,TOKEN,watched,then,1101,1488,35,33,True,0.9035973456835127,False,,
ALL,TOKEN,waited,closed,541,145,35,21,True,0.08142681460950618,False,,
ALL,TOKEN,waited,couldn,80,1,12,1,True,0.00341796875,False,,
ALL,TOKEN,waited,couldn't,124,16,21,9,True,0.042773945257067694,False,,
ALL,TOKEN,waited,felt,801,138,35,23,True,0.14800580076020603,False,,
ALL,TOKEN,waited,gazed,503,25,33,8,True,0.00011222142620681552,False,,
ALL,TOKEN,waited,heard,157,52,23,16,True,0.3367836351899315,False,,
ALL,TOKEN,waited,let,698,167,33,26,True,0.43499280512215344,False,,
ALL,TOKEN,waited,listened,139,50,30,15,True,0.035697803555194696,False,,
ALL,TOKEN,waited,pondered,124,12,22,6,True,0.0037191659212112427,False,,
ALL,TOKEN,waited,stared,810,129,33,20,True,0.09837064844049181,False,,
ALL,TOKEN,waited,the,714,677,38,29,True,0.3284320626971897,False,,
ALL,TOKEN,waited,thought,377,80,33,20,True,0.09837064844049181,False,,
ALL,TOKEN,waited,watched,760,132,34,19,True,0.053438810537711046,False,,
ALL,TOKEN,was,closed,1045,184,35,29,True,0.5323087760278422,False,,
ALL,TOKEN,was,couldn,186,10,14,3,True,0.012725830078125,False,,
ALL,TOKEN,was,couldn't,292,59,20,16,True,0.617719317029696,False,,
ALL,TOKEN,was,felt,1575,173,32,28,True,0.6988834276200058,False,,
ALL,TOKEN,was,gazed,767,47,33,9,True,0.0002715392342906853,False,,
ALL,TOKEN,heard,was,127,290,31,27,True,0.6940040940761318,False,,
ALL,TOKEN,was,let,1797,418,36,33,True,0.8099490529189248,False,,
ALL,TOKEN,was,listened,376,103,30,28,True,0.8956832138895906,False,,
ALL,TOKEN,was,pondered,150,4,20,2,True,0.00012111663818359375,False,,
ALL,TOKEN,was,stared,2098,218,36,25,True,0.20003136851310313,False,,
ALL,TOKEN,was,the,2215,908,38,36,True,0.9075606176124984,False,,
ALL,TOKEN,was,thought,459,184,33,32,True,1.0,False,,
ALL,TOKEN,was,watched,2239,438,36,34,True,0.9049745264594622,False,,
ALL,TOKEN,wept,closed,86,16,25,9,True,0.00904118549078703,False,,
ALL,TOKEN,wept,couldn't,41,6,16,5,True,0.02660369873046875,False,,
ALL,TOKEN,wept,felt,137,27,29,9,True,0.0016580525261815637,False,,
ALL,TOKEN,wept,gazed,110,23,26,10,True,0.011330984183587134,False,,
ALL,TOKEN,wept,heard,14,11,8,8,True,1.0,False,,
ALL,TOKEN,wept,let,79,12,21,9,True,0.042773945257067694,False,,
ALL,TOKEN,wept,listened,39,26,19,11,True,0.20048842206597334,False,,
ALL,TOKEN,wept,pondered,34,11,14,5,True,0.063568115234375,False,,
ALL,TOKEN,wept,stared,141,47,22,13,True,0.175465248990804,False,,
ALL,TOKEN,the,wept,75,37,22,17,True,0.5223973804968411,False,,
ALL,TOKEN,wept,thought,39,16,19,10,True,0.13604594767093658,False,,
ALL,TOKEN,wept,watched,76,43,22,19,True,0.755228657504631,False,,
ALL,TOKEN,with,closed,147,65,25,11,True,0.028816719655878845,False,,
ALL,TOKEN,with,couldn,30,5,9,1,True,0.021484375,False,,
ALL,TOKEN,with,couldn't,41,6,12,4,True,0.076812744140625,False,,
ALL,TOKEN,with,felt,357,72,31,20,True,0.16077960181198847,False,,
ALL,TOKEN,with,gazed,169,15,21,8,True,0.0241195447742939,False,,
ALL,TOKEN,with,heard,72,22,19,13,True,0.37708558747544885,False,,
ALL,TOKEN,with,let,332,91,33,19,True,0.07039422106706228,False,,
ALL,TOKEN,with,listened,92,19,21,9,True,0.042773945257067694,False,,
ALL,TOKEN,with,stared,429,51,27,14,True,0.05958388801809633,False,,
ALL,TOKEN,with,the,396,166,36,23,True,0.11747735024505848,False,,
ALL,TOKEN,with,thought,85,26,21,15,True,0.4050322461407632,False,,
ALL,TOKEN,with,watched,330,111,30,24,True,0.49661743531793345,False,,
ALL,TOKEN,ask,apologize,107,13,22,7,True,0.008130058646202087,False,,
ALL,TOKEN,ask,end,45,57,21,18,True,0.7492586247608418,False,,
ALL,TOKEN,ask,leave,177,235,32,31,True,1.0,False,,
ALL,TOKEN,spend,ask,91,52,24,23,True,1.0,False,,
ALL,TOKEN,ask,take,572,239,36,23,True,0.11747735024505848,False,,
ALL,TOKEN,ask,talk,337,63,33,23,True,0.2288055412343561,False,,
ALL,TOKEN,ask,watch,14,17,10,8,True,0.8145294189453125,False,,
ALL,TOKEN,call,apologize,101,11,19,6,True,0.01463329792022705,False,,
ALL,TOKEN,end,call,46,40,21,15,True,0.4050322461407632,False,,
ALL,TOKEN,call,leave,255,183,33,33,True,1.0,False,,
ALL,TOKEN,call,spend,51,60,22,22,True,1.0,False,,
ALL,TOKEN,call,take,653,124,35,28,True,0.44996253629022254,False,,
ALL,TOKEN,call,talk,460,34,35,21,True,0.08142681460950618,False,,
ALL,TOKEN,call,watch,14,4,7,4,True,0.548828125,False,,
ALL,TOKEN,check,apologize,19,11,10,4,True,0.1795654296875,False,,
ALL,TOKEN,end,check,52,13,18,12,True,0.36159460805356514,False,,
ALL,TOKEN,leave,check,256,51,34,23,True,0.18485048241641844,False,,
ALL,TOKEN,spend,check,86,12,20,10,True,0.09873714670538905,False,,
ALL,TOKEN,check,take,140,178,29,24,True,0.5831321542611763,False,,
ALL,TOKEN,check,talk,96,81,25,21,True,0.6587380770236564,False,,
ALL,TOKEN,watch,check,10,6,7,5,True,0.7744140625,False,,
ALL,TOKEN,end,clean,8,4,6,4,True,0.75390625,False,,
ALL,TOKEN,clean,leave,16,21,10,10,True,1.0,False,,
ALL,TOKEN,take,clean,44,9,15,8,True,0.21003961563110352,False,,
ALL,TOKEN,talk,clean,36,15,13,5,True,0.09625244140625,False,,
ALL,TOKEN,come,apologize,29,0,14,0,False,0.0001220703125,False,,
ALL,TOKEN,come,end,26,13,15,10,True,0.42435622215270996,False,,
ALL,TOKEN,come,leave,193,54,33,19,True,0.07039422106706228,False,,
ALL,TOKEN,come,spend,45,20,17,12,True,0.45825831964612007,False,,
ALL,TOKEN,come,take,239,42,35,16,True,0.010973562899720513,False,,
ALL,TOKEN,come,talk,102,22,24,15,True,0.19959086691960698,False,,
ALL,TOKEN,come,watch,16,5,11,4,True,0.11846923828124999,False,,
ALL,TOKEN,cry,end,52,13,20,9,True,0.06142834573984146,False,,
ALL,TOKEN,cry,leave,104,78,26,20,True,0.4613911821367651,False,,
ALL,TOKEN,cry,spend,22,13,11,9,True,0.8238029479980469,False,,
ALL,TOKEN,cry,take,162,128,28,22,True,0.47988766169832786,False,,
ALL,TOKEN,cry,talk,94,84,27,21,True,0.470879013621712,False,,
ALL,TOKEN,cry,watch,15,16,10,10,True,1.0,False,,
ALL,TOKEN,die,apologize,39,2,9,2,True,0.0654296875,False,,
ALL,TOKEN,die,end,72,10,21,6,True,0.005924612283706665,False,,
ALL,TOKEN,die,leave,272,47,35,17,True,0.017533235299084904,False,,
ALL,TOKEN,die,spend,85,30,21,9,True,0.042773945257067694,False,,
ALL,TOKEN,die,take,298,86,33,23,True,0.2288055412343561,False,,
ALL,TOKEN,die,talk,121,45,30,15,True,0.035697803555194696,False,,
ALL,TOKEN,die,watch,33,9,14,7,True,0.18924713134765625,False,,
ALL,TOKEN,do,apologize,96,14,17,6,True,0.03468966484069824,False,,
ALL,TOKEN,end,do,93,81,29,21,True,0.3222363203575469,False,,
ALL,TOKEN,leave,do,501,306,36,32,True,0.716300760154337,False,,
ALL,TOKEN,spend,do,135,84,29,22,True,0.4010619910279374,False,,
ALL,TOKEN,do,take,448,257,36,26,True,0.25285439418811073,False,,
ALL,TOKEN,do,talk,315,133,28,25,True,0.7838463022094988,False,,
ALL,TOKEN,watch,do,26,25,17,12,True,0.45825831964612007,False,,
ALL,TOKEN,eat,apologize,23,0,10,0,False,0.001953125,False,,
ALL,TOKEN,eat,end,27,9,11,4,True,0.11846923828124999,False,,
ALL,TOKEN,eat,leave,95,70,24,16,True,0.26818725105476915,False,,
ALL,TOKEN,eat,spend,42,6,13,5,True,0.09625244140625,False,,
ALL,TOKEN,eat,take,149,28,26,11,True,0.020073851919732988,False,,
ALL,TOKEN,eat,talk,68,23,22,13,True,0.175465248990804,False,,
ALL,TOKEN,watch,eat,26,15,12,7,True,0.359283447265625,False,,
ALL,TOKEN,feel,apologize,86,7,19,4,True,0.002599477767944336,False,,
ALL,TOKEN,feel,end,17,16,11,9,True,0.8238029479980469,False,,
ALL,TOKEN,feel,leave,89,75,28,24,True,0.6778086391424605,False,,
ALL,TOKEN,spend,feel,30,27,16,14,True,0.8555355519056321,False,,
ALL,TOKEN,feel,take,296,127,36,25,True,0.20003136851310313,False,,
ALL,TOKEN,feel,talk,228,190,33,32,True,1.0,False,,
ALL,TOKEN,watch,feel,19,10,11,6,True,0.332305908203125,False,,
ALL,TOKEN,get,apologize,225,13,24,8,True,0.0070003666914999485,False,,
ALL,TOKEN,end,get,60,127,25,24,True,1.0,False,,
ALL,TOKEN,leave,get,280,408,32,31,True,1.0,False,,
ALL,TOKEN,get,spend,107,111,24,24,True,1.0,False,,
ALL,TOKEN,get,take,905,156,37,27,True,0.26043547657665356,False,,
ALL,TOKEN,get,talk,518,84,37,27,True,0.26043547657665356,False,,
ALL,TOKEN,get,watch,33,21,13,11,True,0.8388197422027588,False,,
ALL,TOKEN,give,apologize,88,9,21,7,True,0.012540951371192932,False,,
ALL,TOKEN,end,give,97,79,30,22,True,0.3317497633694906,False,,
ALL,TOKEN,leave,give,202,237,34,32,True,0.9021585000966994,False,,
ALL,TOKEN,give,spend,52,54,22,22,True,1.0,False,,
ALL,TOKEN,give,take,566,225,35,30,True,0.6201447650813029,False,,
ALL,TOKEN,give,talk,420,108,35,27,True,0.37415171240479483,False,,
ALL,TOKEN,give,watch,21,18,12,9,True,0.6636238098144531,False,,
ALL,TOKEN,hear,end,30,1,14,1,True,0.0009765625,False,,
ALL,TOKEN,hear,leave,51,23,21,13,True,0.22948101302608848,False,,
ALL,TOKEN,hear,spend,14,4,8,2,True,0.109375,False,,
ALL,TOKEN,hear,take,191,20,36,12,True,0.0007172696733945829,False,,
ALL,TOKEN,hear,talk,135,23,28,11,True,0.009475304279476404,False,,
ALL,TOKEN,help,end,37,19,18,10,True,0.1849333420395851,False,,
ALL,TOKEN,help,leave,70,84,23,23,True,1.0,False,,
ALL,TOKEN,spend,help,50,17,15,10,True,0.42435622215270996,False,,
ALL,TOKEN,help,take,135,79,27,16,True,0.12628947438543037,False,,
ALL,TOKEN,help,talk,49,45,20,13,True,0.296206368599087,False,,
ALL,TOKEN,watch,help,28,9,10,6,True,0.454498291015625,False,,
ALL,TOKEN,keep,apologize,61,6,16,4,True,0.01181793212890625,False,,
ALL,TOKEN,keep,end,52,41,22,15,True,0.3240086000878364,False,,
ALL,TOKEN,keep,leave,129,143,26,24,True,0.887724827340783,False,,
ALL,TOKEN,keep,spend,55,57,21,17,True,0.6271025701571489,False,,
ALL,TOKEN,keep,take,391,91,36,23,True,0.11747735024505848,False,,
ALL,TOKEN,keep,talk,355,70,35,22,True,0.11116111910399346,False,,
ALL,TOKEN,watch,keep,24,21,11,8,True,0.6476058959960938,False,,
ALL,TOKEN,kill,apologize,66,2,15,1,True,0.000518798828125,False,,
ALL,TOKEN,kill,end,133,8,23,5,True,0.0009122341871261597,False,,
ALL,TOKEN,kill,leave,332,35,35,10,True,0.00024708778460080794,False,,
ALL,TOKEN,kill,spend,116,13,22,7,True,0.008130058646202087,False,,
ALL,TOKEN,kill,take,444,16,37,10,True,9.848878492846323e-05,False,,
ALL,TOKEN,kill,talk,149,15,32,8,True,0.0001821658297558315,False,,
ALL,TOKEN,kill,watch,43,8,16,6,True,0.052478790283203125,False,,
