labeling,frm,to,stems_fwd,stems_rev,pairs_fwd,pairs_rev,p,bonferroni
wordnet,motion,possession,41,22,63,25,0.022574972673257185,False
wordnet,unassigned,change,69,29,97,30,6.572240952992274e-05,True
wordnet,perception,possession,27,6,41,6,0.0003240634687244892,True
wordnet,unassigned,stative,76,55,131,72,0.08016994071057773,False
wordnet,contact,stative,38,13,52,14,0.0006210434562277101,True
wordnet,unassigned,consumption,12,9,19,13,0.6636238098144531,False
wordnet,contact,possession,59,27,88,32,0.0007317100653124087,True
wordnet,communication,possession,40,11,50,12,5.703811637403078e-05,True
wordnet,unassigned,possession,117,40,210,45,5.948252208807447e-10,True
wordnet,unassigned,contact,119,115,180,167,0.8445721639622716,False
wordnet,unassigned,cognition,21,3,27,4,0.0002771615982055664,True
wordnet,contact,cognition,13,1,17,1,0.0018310546875,False
wordnet,motion,social,14,9,15,10,0.4048728942871094,False
wordnet,unassigned,motion,157,90,252,124,2.4034543240151384e-05,True
wordnet,contact,perception,39,8,48,9,5.539621596994947e-06,True
wordnet,stative,communication,27,25,28,29,0.8898839652765371,False
wordnet,contact,communication,69,29,95,42,6.572240952992274e-05,True
wordnet,motion,change,21,8,27,8,0.0241195447742939,False
wordnet,communication,cognition,10,1,10,1,0.01171875,False
wordnet,contact,motion,81,52,104,70,0.01487259709264209,False
wordnet,social,possession,15,7,18,9,0.13380050659179688,False
wordnet,motion,perception,20,11,27,11,0.14961278438568115,False
wordnet,unassigned,creation,25,15,38,17,0.1538599441628321,False
wordnet,communication,unassigned,167,158,328,287,0.6572824395846532,False
wordnet,unassigned,social,33,18,37,18,0.04887389231827033,False
wordnet,communication,perception,28,10,34,13,0.0050976432976312935,False
wordnet,contact,social,22,12,28,16,0.12144948495551944,False
wordnet,stative,motion,16,9,19,9,0.2295229434967041,False
wordnet,unassigned,body,30,7,37,7,0.00019107642583549023,True
wordnet,possession,change,10,10,10,10,1.0,False
wordnet,contact,change,45,12,59,12,1.3127443164284712e-05,True
wordnet,stative,change,7,3,7,3,0.34375,False
wordnet,motion,communication,40,24,52,26,0.05994118956699923,False
wordnet,communication,emotion,11,3,11,3,0.057373046875,False
wordnet,communication,change,24,2,30,2,1.049041748046875e-05,True
wordnet,unassigned,emotion,16,14,25,16,0.8555355519056321,False
wordnet,communication,body,13,6,15,7,0.1670684814453125,False
wordnet,social,communication,14,11,15,12,0.6900379657745361,False
wordnet,competition,communication,12,4,21,5,0.076812744140625,False
wordnet,unassigned,competition,10,4,12,6,0.1795654296875,False
wordnet,stative,social,10,4,13,4,0.1795654296875,False
wordnet,stative,possession,36,16,40,17,0.0077874363057435225,False
wordnet,motion,body,8,2,9,2,0.109375,False
wordnet,contact,creation,12,6,14,7,0.237884521484375,False
wordnet,perception,change,7,4,7,4,0.548828125,False
wordnet,perception,body,8,4,10,6,0.3876953125,False
wordnet,cognition,possession,8,3,12,3,0.2265625,False
usas,Z8m,X3.4,8,3,9,3,0.2265625,False
usas,N4,X3.4,25,6,31,6,0.0008779102936387062,False
usas,M1,B1,10,5,17,5,0.30175781249999994,False
usas,M2,B1,25,13,36,13,0.07295138851623051,False
usas,A9,A10,14,0,18,0,0.0001220703125,True
usas,Q2.1,A10,20,1,26,1,2.09808349609375e-05,True
usas,N4,A10,28,5,35,5,6.618769839406013e-05,True
usas,Z5,M2,51,25,53,31,0.0038362357516146263,False
usas,Z5,A9,25,8,29,8,0.004551384132355452,False
usas,N4,A1.1.1,10,4,11,4,0.1795654296875,False
usas,Z5,N4,37,36,39,40,1.0,False
usas,N4,M1,21,18,25,18,0.7492586247608418,False
usas,M2,Y2,12,1,12,1,0.00341796875,False
usas,M2,M1,31,20,32,23,0.16077960181198847,False
usas,Z5,X3.4,26,0,35,0,2.9802322387695312e-08,True
usas,N4,A9,13,6,14,6,0.1670684814453125,False
usas,M2,Q2.2,10,2,11,2,0.03857421875,False
usas,M2,N4,25,19,27,20,0.4513808323961257,False
usas,Z5,M1,61,15,78,20,9.842847414734726e-08,True
usas,Z8m,A9,20,3,21,3,0.00048828125,True
usas,M1,X3.4,12,0,16,0,0.00048828125,True
usas,M1,Y2,15,7,17,7,0.13380050659179688,False
usas,Q2.1,Y2,10,1,10,1,0.01171875,False
usas,Z5,A1.1.1,18,11,18,11,0.26493089646101,False
usas,Z5,Y2,32,24,34,29,0.34968195298368476,False
usas,N4,Z8f,17,11,22,12,0.34492845088243484,False
usas,Q2.1,X3.4,14,5,16,6,0.063568115234375,False
usas,Q2.1,N4,19,19,20,20,1.0,False
usas,Q2.1,Z5,39,37,53,45,0.9087769252754927,False
usas,N4,B1,10,6,13,6,0.454498291015625,False
usas,X3.4,A10,13,7,20,7,0.26317596435546875,False
usas,Z5,A10,27,2,36,2,1.6242265701293945e-06,True
usas,Y2,A10,10,0,11,0,0.001953125,False
usas,N4,Y2,8,6,8,6,0.79052734375,False
usas,Z8m,Q2.1,17,8,25,11,0.10775214433670044,False
usas,Z8m,Z5,96,43,145,68,8.118471675145188e-06,True
usas,Z8m,Q2.2,16,5,17,5,0.02660369873046875,False
usas,Z8m,N4,19,7,20,9,0.028959274291992188,False
usas,Y2,X3.4,12,0,14,0,0.00048828125,True
usas,S3.2,M2,8,2,9,2,0.109375,False
usas,Z8f,M2,6,4,7,4,0.75390625,False
usas,S3.2,Q2.1,21,2,25,2,6.604194641113281e-05,True
usas,M2,Q2.1,22,15,32,20,0.3240086000878364,False
usas,Q2.1,Z8f,20,17,25,20,0.7428293587290682,False
usas,S3.2,Z8f,5,5,7,5,1.0,False
usas,M1,Q2.1,14,11,16,12,0.6900379657745361,False
usas,Q2.1,X2.1,9,3,9,3,0.14599609375,False
usas,Z8mfn,Z8m,10,6,11,7,0.454498291015625,False
usas,M8,N4,6,4,7,4,0.75390625,False
usas,Z8f,M1,9,2,10,2,0.0654296875,False
usas,Q2.1,T2,10,1,12,1,0.01171875,False
usas,Q2.1,Q2.2,10,9,10,10,1.0,False
usas,M1,A10,19,2,26,2,0.00022125244140625,True
usas,Z8m,Z8f,40,14,53,17,0.0005354355028570622,False
usas,M2,T2,10,1,10,1,0.01171875,False
usas,Z5,Z8f,69,55,153,78,0.24292283198051148,False
usas,Z8m,M2,8,3,8,3,0.2265625,False
usas,Z5,M8,8,2,9,2,0.109375,False
usas,M2,A1.1.1,12,8,14,12,0.5034446716308594,False
usas,Z5,T2,22,1,24,1,5.7220458984375e-06,True
usas,Q2.2,A10,9,2,9,2,0.0654296875,False
usas,Z8f,A10,12,1,17,1,0.00341796875,False
usas,Z8m,A3,23,6,33,6,0.002315700054168701,False
usas,Z5,A3,22,15,30,19,0.3240086000878364,False
usas,Z8m,M1,23,3,30,3,8.797645568847656e-05,True
usas,Z8mf,Z5,38,3,51,3,1.0479197953827679e-08,True
usas,Z8m,A10,16,0,19,0,3.0517578125e-05,True
usas,M1,T2,10,1,12,1,0.01171875,False
usas,Z5,M6,9,5,9,5,0.4239501953125,False
usas,A3,Z8f,7,7,9,9,1.0,False
usas,Z5,Z8mfn,22,10,36,11,0.050102459732443094,False
usas,Z8m,Y2,18,5,20,6,0.010622024536132812,False
usas,E3,M2,9,3,9,3,0.14599609375,False
usas,Z5,E3,8,3,8,3,0.2265625,False
usas,M1,A1.1.1,11,7,12,7,0.480682373046875,False
usas,A7,A1.1.1,8,5,8,5,0.5810546875,False
usas,A7,Z5,40,5,80,5,7.878384167270269e-08,True
usas,A3,A10,20,4,25,4,0.001543879508972168,False
usas,A3,A9,8,6,8,6,0.79052734375,False
usas,G2.1,A10,18,3,21,3,0.0014896392822265625,False
usas,M2,A10,15,0,20,0,6.103515625e-05,True
usas,M2,S7.1,6,4,8,4,0.75390625,False
usas,A9,M2,19,10,20,12,0.13604594767093658,False
usas,Z5,Q2.2,31,7,34,8,0.00011616700794547796,True
usas,N4,Q2.2,7,3,7,3,0.34375,False
usas,A9,B1,11,2,11,2,0.0224609375,False
usas,Q1.2,M1,8,5,9,6,0.5810546875,False
usas,F3,A1.1.2,10,0,10,0,0.001953125,False
usas,M1,A9,14,4,14,4,0.0308837890625,False
usas,Z5,Q1.2,19,9,21,11,0.08715855330228806,False
usas,Q1.2,N4,16,4,20,5,0.01181793212890625,False
usas,A3,N4,12,4,12,4,0.076812744140625,False
usas,Z8mf,Z8f,23,0,29,0,2.384185791015625e-07,True
usas,Z8,Z8f,8,2,9,2,0.109375,False
usas,A7,Z8f,24,0,37,0,1.1920928955078125e-07,True
usas,Z7,Z5,24,4,27,5,0.00017999112606048584,True
usas,Y2,Z8f,13,3,14,4,0.021270751953125,False
usas,Z8,Z5,8,4,9,4,0.3876953125,False
usas,M2,Q1.2,9,1,9,1,0.021484375,False
usas,M2,A3,7,4,7,4,0.548828125,False
usas,Z5,B1,18,6,20,6,0.022655844688415527,False
verbnet,exist,search,9,1,9,1,0.021484375,False
verbnet,escape,send,8,3,12,3,0.2265625,False
verbnet,put,send,23,10,27,11,0.03508203336969018,False
verbnet,escape,run,11,1,14,1,0.00634765625,False
verbnet,indicate,declare,13,0,14,0,0.000244140625,True
verbnet,cut,declare,12,1,17,1,0.00341796875,False
verbnet,indicate,conjecture,12,2,12,2,0.012939453125,False
verbnet,marry,manner_speaking,18,0,19,0,7.62939453125e-06,True
verbnet,indicate,carry,8,7,10,9,1.0,False
verbnet,indicate,manner_speaking,13,1,14,1,0.0018310546875,True
verbnet,indicate,nonverbal_expression,6,4,7,4,0.75390625,False
verbnet,amuse,carry,11,2,12,2,0.0224609375,False
verbnet,tell,indicate,9,1,10,1,0.021484375,False
verbnet,indicate,cut,8,3,8,3,0.2265625,False
verbnet,appear,declare,18,3,24,3,0.0014896392822265625,True
verbnet,conjecture,declare,12,0,15,0,0.00048828125,True
framenet,Waiting,Perception_active,15,1,18,1,0.000518798828125,True
framenet,Encoding,Giving,20,7,23,8,0.0191572904586792,False
framenet,Request,Intentionally_create,11,0,12,0,0.0009765625,True
framenet,Motion,Self_motion,8,4,10,6,0.3876953125,False
framenet,Statement,Perception_active,16,4,18,4,0.01181793212890625,False
framenet,Statement,Intentionally_create,15,0,16,0,6.103515625e-05,True
framenet,Perception_experience,Intentionally_create,12,1,17,1,0.00341796875,False
framenet,Manipulation,Communication_manner,20,0,23,0,1.9073486328125e-06,True
framenet,Statement,Manipulation,10,10,13,11,1.0,False
framenet,Request,Communication_manner,11,0,14,0,0.0009765625,True
framenet,Manipulation,Process_start,9,2,9,2,0.0654296875,False
framenet,Statement,Communication_manner,14,2,16,2,0.004180908203125,False
framenet,Self_motion,Intentionally_create,17,4,20,4,0.007197380065917969,False
framenet,Giving,Placing,10,6,11,6,0.454498291015625,False
framenet,Cause_harm,Body_movement,9,2,12,2,0.0654296875,False
framenet,Cause_harm,Self_motion,10,4,11,4,0.1795654296875,False
framenet,Statement,Self_motion,8,5,8,5,0.5810546875,False
framenet,Likelihood,Intentionally_affect,8,5,8,5,0.5810546875,False
framenet,Performers_and_roles,Intentionally_create,20,0,24,0,1.9073486328125e-06,True
framenet,Request,Statement,10,2,15,4,0.03857421875,False
framenet,Body_movement,Statement,7,4,7,4,0.548828125,False
framenet,Statement,Perception_experience,8,2,8,2,0.109375,False
framenet,Statement,Performers_and_roles,10,1,11,1,0.01171875,False
framenet,Body_movement,Placing,14,0,15,0,0.0001220703125,True
framenet,Encoding,Placing,9,4,11,4,0.266845703125,False
rid,temporal_references,sensation,40,10,49,10,2.3861331676755526e-05,True
rid,regressive_cognition,sensation,13,8,13,9,0.38331031799316406,False
rid,need,sensation,26,0,29,0,2.9802322387695312e-08,True
rid,regressive_cognition,instrumental_behavior,10,7,12,7,0.629058837890625,False
rid,social_behavior,instrumental_behavior,25,3,31,3,2.744048833847046e-05,True
rid,temporal_references,instrumental_behavior,29,8,36,9,0.0007528970600105822,True
rid,icarian_imagery,temporal_references,9,8,9,8,1.0,False
rid,regressive_cognition,temporal_references,23,20,28,27,0.7607916425613439,False
rid,sensation,instrumental_behavior,19,6,28,7,0.01463329792022705,False
rid,social_behavior,sensation,35,6,49,6,4.873598300036974e-06,True
rid,social_behavior,temporal_references,24,14,27,14,0.14330665429588407,False
rid,icarian_imagery,sensation,11,1,11,1,0.00634765625,False
rid,need,social_behavior,8,4,8,4,0.3876953125,False
rid,social_behavior,icarian_imagery,11,9,11,10,0.8238029479980469,False
rid,social_behavior,regressive_cognition,9,5,10,6,0.4239501953125,False
rid,aggression,need,12,0,13,0,0.00048828125,True
rid,aggression,icarian_imagery,9,6,9,6,0.6072387695312499,False
rid,aggression,instrumental_behavior,21,4,25,4,0.0009105205535888672,True
rid,aggression,social_behavior,15,1,16,1,0.000518798828125,True
rid,icarian_imagery,regressive_cognition,13,3,15,3,0.021270751953125,False
rid,aggression,temporal_references,13,3,19,3,0.021270751953125,False
rid,icarian_imagery,instrumental_behavior,13,0,13,0,0.000244140625,True
rid,sensation,expressive_behavior,8,5,9,5,0.5810546875,False
