cell,prompt,usas,mean_excess,n_obs
UNMARKED,He signed his own name on the report card and,Z4,0.7945293478260871,46
UNMARKED,He signed his own name on the report card and,B5,-0.11037790540540539,148
UNMARKED,He signed his own name on the report card and,A5.1,0.2302146783625731,342
UNMARKED,He signed his own name on the report card and,A2.2,-1.0098299999999998,27
UNMARKED,He signed his own name on the report card and,A4.2,-0.4632917307692308,52
UNMARKED,He signed his own name on the report card and,S1.2.4,-0.8722703703703706,54
UNMARKED,He signed his own name on the report card and,X3,1.1421775,20
UNMARKED,He signed his own name on the report card and,I2.1,0.08905237762237762,143
UNMARKED,He signed his own name on the report card and,X9.2,0.6274406060606061,33
UNMARKED,He signed his own name on the report card and,S7.1,0.2898649433962264,265
UNMARKED,He signed his own name on the report card and,A1.7,0.1060161764705883,34
UNMARKED,He signed his own name on the report card and,S7.4,0.646041052631579,38
UNMARKED,He signed his own name on the report card and,Z8mfc,1.7013471999999998,25
UNMARKED,He signed his own name on the report card and,A5.3,1.3249974999999998,20
UNMARKED,He signed his own name on the report card and,H5,0.24573076023391816,171
UNMARKED,He signed his own name on the report card and,N5,0.4424588235294119,102
UNMARKED,He signed his own name on the report card and,N5.2,0.4739698823529413,85
UNMARKED,He signed his own name on the report card and,A2.1,0.5273528571428571,35
UNMARKED,He signed his own name on the report card and,N1,0.6741826086956522,23
UNMARKED,He signed his own name on the report card and,G2.2,1.4568390740740744,54
UNMARKED,He signed his own name on the report card and,N5.1,0.5167007070707071,99
UNMARKED,He signed his own name on the report card and,H2,0.21356340425531917,47
UNMARKED,He signed his own name on the report card and,S4f,1.2095684615384614,52
UNMARKED,He signed his own name on the report card and,N3.2,0.26059066037735856,106
UNMARKED,He signed his own name on the report card and,S2.2m,0.2691217391304348,23
UNMARKED,He signed his own name on the report card and,G2.1,0.3900228571428571,28
UNMARKED,He signed his own name on the report card and,Z3,0.16064016393442626,122
UNMARKED,He signed his own name on the report card and,A1.5.1,0.21450136363636355,22
UNMARKED,He signed his own name on the report card and,O2,1.3014868965517246,29
UNMARKED,He signed his own name on the report card and,O4.1,-0.21161064220183506,109
UNMARKED,He signed his own name on the report card and,Z1mf,1.5734338235294119,68
UNMARKED,He signed his own name on the report card and,T2,0.6344757142857144,28
UNMARKED,He signed his own name on the report card and,A4.1,0.34560092592592606,54
UNMARKED,He signed his own name on the report card and,Z6,2.7467662184873953,119
UNMARKED,He signed his own name on the report card and,T4,0.12339090909090912,22
UNMARKED,He signed his own name on the report card and,F1,0.5684657575757577,33
UNMARKED,He signed his own name on the report card and,N3.7,3.2892799999999998,22
UNMARKED,He signed his own name on the report card and,S6,2.3035829591836743,98
UNMARKED,He signed his own name on the report card and,X8,0.39321540540540545,74
UNMARKED,He signed his own name on the report card and,A7,0.1273268965517242,29
UNMARKED,He signed his own name on the report card and,X3.2,-0.013839268292682932,41
UNMARKED,He signed his own name on the report card and,A5.4,0.07069347826086964,46
UNMARKED,He signed his own name on the report card and,T3,0.04173878787878771,33
UNMARKED,He signed his own name on the report card and,E2,-0.25238724137931035,29
MARKED,He smashed the medicine wheel stones and,A1.1.1,0.017364432081594786,2157
MARKED,He smashed the medicine wheel stones and,Z8mfn,0.08284969376391982,5388
MARKED,He smashed the medicine wheel stones and,Z5,0.12385350379015762,16622
MARKED,He smashed the medicine wheel stones and,B4,0.06038870370370369,594
MARKED,He smashed the medicine wheel stones and,N4,-0.12249205479452058,730
MARKED,He smashed the medicine wheel stones and,A6.3,0.6179870776255707,219
MARKED,He smashed the medicine wheel stones and,Z8m,0.13459618551822053,2113
MARKED,He smashed the medicine wheel stones and,F4,0.28266171428571435,105
MARKED,He smashed the medicine wheel stones and,B3,-0.31321057894736837,570
MARKED,He smashed the medicine wheel stones and,Y2,0.2205455631399318,293
MARKED,He smashed the medicine wheel stones and,G2.1,0.8026607029478459,441
MARKED,He smashed the medicine wheel stones and,M2,0.030926968730057427,4701
MARKED,He smashed the medicine wheel stones and,M1,0.13230427056827818,2358
MARKED,He smashed the medicine wheel stones and,A13.4,0.7197563636363636,33
MARKED,He smashed the medicine wheel stones and,I3.1,0.06117347222222224,360
MARKED,He smashed the medicine wheel stones and,T2,-0.025674655172413744,58
MARKED,He smashed the medicine wheel stones and,Z3c,0.7609707758620688,232
MARKED,He smashed the medicine wheel stones and,O1.1,0.30766808988764044,89
MARKED,He smashed the medicine wheel stones and,W3,0.3683200907187718,1433
MARKED,He smashed the medicine wheel stones and,Q2.1,0.12988356545961,359
MARKED,He smashed the medicine wheel stones and,M6,0.4595806798029557,1015
MARKED,He smashed the medicine wheel stones and,N5,0.23181549450549452,182
MARKED,He smashed the medicine wheel stones and,A13,0.2758421818181819,165
MARKED,He smashed the medicine wheel stones and,Q1.2,0.2638418181818183,33
MARKED,He smashed the medicine wheel stones and,A1.1.2,0.30551907975460124,326
MARKED,He smashed the medicine wheel stones and,A6.2,1.4288595,20
MARKED,He smashed the medicine wheel stones and,A9,0.18080604545454546,660
MARKED,He smashed the medicine wheel stones and,O2,0.08509403846153853,52
MARKED,He smashed the medicine wheel stones and,N5.1,0.18486042444821735,589
MARKED,He smashed the medicine wheel stones and,N5.2,-0.05175143902439025,410
MARKED,He smashed the medicine wheel stones and,H4,0.25022234567901236,81
MARKED,He smashed the medicine wheel stones and,A3,0.2076567202572347,622
MARKED,He smashed the medicine wheel stones and,F1,-0.013432592592592593,270
MARKED,He smashed the medicine wheel stones and,O4.3,2.1552628571428576,84
MARKED,He smashed the medicine wheel stones and,A2.2,0.4173235294117648,34
MARKED,He smashed the medicine wheel stones and,A6.1,0.21187677966101695,59
MARKED,He smashed the medicine wheel stones and,X7,0.2349143971631206,141
MARKED,He smashed the medicine wheel stones and,A7,0.3991983505154638,97
MARKED,He smashed the medicine wheel stones and,A10,0.8755245454545454,99
MARKED,He smashed the medicine wheel stones and,Q2.2,1.7795053583617744,293
MARKED,He smashed the medicine wheel stones and,F3,-0.26634494623655913,186
MARKED,He smashed the medicine wheel stones and,N1,-0.13122362704918034,976
MARKED,He smashed the medicine wheel stones and,Q3,0.38724207547169814,53
MARKED,He smashed the medicine wheel stones and,Z2,1.3617821052631582,76
MARKED,He smashed the medicine wheel stones and,G3,1.1588017948717948,39
MARKED,He smashed the medicine wheel stones and,M5,-0.04678,43
MARKED,He smashed the medicine wheel stones and,W1,-0.09428169014084506,142
MARKED,He smashed the medicine wheel stones and,O3,0.13620356521739133,230
MARKED,He smashed the medicine wheel stones and,Z6,1.7741837209302327,86
MARKED,He smashed the medicine wheel stones and,A1.7,0.6321141176470588,34
MARKED,He smashed the medicine wheel stones and,E2,0.3239587804878048,41
MARKED,He smashed the medicine wheel stones and,B1,0.39610676806083644,263
MARKED,He smashed the medicine wheel stones and,O4.6,0.253825871559633,109
MARKED,He smashed the medicine wheel stones and,S9,1.2319547741935484,155
MARKED,He smashed the medicine wheel stones and,G2.2,1.852053333333333,27
MARKED,He smashed the medicine wheel stones and,Z8,0.2572917548076923,416
MARKED,He smashed the medicine wheel stones and,S4,0.46775336538461537,104
MARKED,He smashed the medicine wheel stones and,X8,0.21361307692307685,26
MARKED,He smashed the medicine wheel stones and,S3.2,-0.2624004166666667,72
MARKED,He smashed the medicine wheel stones and,L1,0.1069812328767124,73
MARKED,He smashed the medicine wheel stones and,Q4.3,0.4825399999999999,26
MARKED,He smashed the medicine wheel stones and,A13.3,1.1541238,50
MARKED,He smashed the medicine wheel stones and,H2,-0.9558933333333333,93
MARKED,He smashed the medicine wheel stones and,O4.1,0.43829,110
MARKED,He smashed the medicine wheel stones and,Z3,2.0932870000000006,30
MARKED,He smashed the medicine wheel stones and,S5,-0.9006933749999998,80
MARKED,He smashed the medicine wheel stones and,M3,0.09957861538461536,65
MARKED,He smashed the medicine wheel stones and,S8,0.5475998148148146,54
MARKED,He smashed the medicine wheel stones and,Z8mf,-0.054938844621513966,502
MARKED,He smashed the medicine wheel stones and,A1.5.1,0.27002914285714286,70
MARKED,He smashed the medicine wheel stones and,A5.1,1.2223256410256407,39
MARKED,He smashed the medicine wheel stones and,A8,1.5605775999999998,25
MARKED,He smashed the medicine wheel stones and,X9.2,-0.0033411874999999423,160
MARKED,He smashed the medicine wheel stones and,E3,0.323702549019608,51
MARKED,He smashed the medicine wheel stones and,T1.3,0.09405576923076923,26
MARKED,He smashed the medicine wheel stones and,A2.1,0.17024590163934422,61
MARKED,He smashed the medicine wheel stones and,N3.3,0.9332761538461539,26
MARKED,He smashed the medicine wheel stones and,I2.2,0.040398709677419355,31
MARKED,He smashed the medicine wheel stones and,H1,0.17081447368421052,38
MARKED,He smashed the medicine wheel stones and,X2.1,0.8910610000000002,40
MARKED,He smashed the medicine wheel stones and,C1,0.21207024793388435,121
MARKED,He smashed the medicine wheel stones and,S7.4,-0.0435173076923077,26
MARKED,He smashed the medicine wheel stones and,M3fn,0.19436500000000004,20
MARKED,He smashed the medicine wheel stones and,K4,0.04355727272727268,22
MARKED,He smashed the medicine wheel stones and,X3.2,-0.357921746031746,63
MARKED,He smashed the medicine wheel stones and,X3.4,0.3244890476190476,21
MARKED,He smashed the medicine wheel stones and,K1,0.12370289473684215,38
MARKED,He smashed the medicine wheel stones and,A12,2.2482014285714285,28
MARKED,He smashed the medicine wheel stones and,Z8mfc,2.0091058333333334,24
MARKED,He smashed the medicine wheel stones and,S6,0.21430266666666667,60
MARKED,He smashed the medicine wheel stones and,Z1mf,-2.675358936170213,47
MARKED,He smashed the medicine wheel stones and,N3.7,0.08924736842105267,38
MARKED,He smashed the medicine wheel stones and,Z4,1.2878038095238096,42
MARKED,He smashed the medicine wheel stones and,O4.5,0.6164340740740741,27
MARKED,She opened the shoebox hidden at the back of his closet and,M2,0.0726942296148074,3998
MARKED,She opened the shoebox hidden at the back of his closet and,S3.2,0.05072119919719016,3986
MARKED,She opened the shoebox hidden at the back of his closet and,Z5,0.16328241241526936,14015
MARKED,She opened the shoebox hidden at the back of his closet and,A1.1.1,0.28142876160990715,969
MARKED,She opened the shoebox hidden at the back of his closet and,N5.1,0.0032178744493392302,908
MARKED,She opened the shoebox hidden at the back of his closet and,H5,0.08568052631578947,741
MARKED,She opened the shoebox hidden at the back of his closet and,Z8,0.2691846433041301,799
MARKED,She opened the shoebox hidden at the back of his closet and,A1.8,0.06792574011299435,885
MARKED,She opened the shoebox hidden at the back of his closet and,Z8f,-0.15869274862568714,2001
MARKED,She opened the shoebox hidden at the back of his closet and,N3.2,1.111271971830986,568
MARKED,She opened the shoebox hidden at the back of his closet and,A9,0.09111456214689265,1416
MARKED,She opened the shoebox hidden at the back of his closet and,T3,0.717905704809287,603
MARKED,She opened the shoebox hidden at the back of his closet and,Q4.2,1.1474800938967138,213
MARKED,She opened the shoebox hidden at the back of his closet and,N3.7,0.6921207352941176,68
MARKED,She opened the shoebox hidden at the back of his closet and,O4.2,0.7023611111111111,135
MARKED,She opened the shoebox hidden at the back of his closet and,B1,0.14786651629072678,399
MARKED,She opened the shoebox hidden at the back of his closet and,Y2,-0.1426505603230691,1981
MARKED,She opened the shoebox hidden at the back of his closet and,Z8m,-0.07954158793969845,995
MARKED,She opened the shoebox hidden at the back of his closet and,A3,0.05876327566320646,1734
MARKED,She opened the shoebox hidden at the back of his closet and,M6,0.3134441538461539,455
MARKED,She opened the shoebox hidden at the back of his closet and,O1.1,0.6043563157894737,380
MARKED,She opened the shoebox hidden at the back of his closet and,K5.1,-0.15029882352941176,323
MARKED,She opened the shoebox hidden at the back of his closet and,T1.3,0.3492605813953488,86
MARKED,She opened the shoebox hidden at the back of his closet and,T2,0.0072891856677524715,307
MARKED,She opened the shoebox hidden at the back of his closet and,X2.4,0.18794645833333332,240
MARKED,She opened the shoebox hidden at the back of his closet and,Q1.2,0.46687372950819667,488
MARKED,She opened the shoebox hidden at the back of his closet and,Q3,-0.31088380952380956,84
MARKED,She opened the shoebox hidden at the back of his closet and,Z8mf,-0.3108112658227847,158
MARKED,She opened the shoebox hidden at the back of his closet and,M1,-0.04873525490196079,255
MARKED,She opened the shoebox hidden at the back of his closet and,A5.1,-0.23215915309446256,307
MARKED,She opened the shoebox hidden at the back of his closet and,X3.4,0.20849836734693877,294
MARKED,She opened the shoebox hidden at the back of his closet and,O4.3,0.48395008032128517,747
MARKED,She opened the shoebox hidden at the back of his closet and,Z1mf,-0.08119960937500009,128
MARKED,She opened the shoebox hidden at the back of his closet and,C1,0.8584054436860069,586
MARKED,She opened the shoebox hidden at the back of his closet and,E4.1,0.04917790540540532,148
MARKED,She opened the shoebox hidden at the back of his closet and,N5,0.39780513991163474,1358
MARKED,She opened the shoebox hidden at the back of his closet and,N1,0.1577625324675325,154
MARKED,She opened the shoebox hidden at the back of his closet and,N4,0.4219184297520661,121
MARKED,She opened the shoebox hidden at the back of his closet and,A10,0.15469697115384615,1248
MARKED,She opened the shoebox hidden at the back of his closet and,Q2.1,0.7083672413793104,29
MARKED,She opened the shoebox hidden at the back of his closet and,O2,0.6756736923076924,130
MARKED,She opened the shoebox hidden at the back of his closet and,A8,-0.041146573705179275,251
MARKED,She opened the shoebox hidden at the back of his closet and,X9.2,0.11289421686746985,83
MARKED,She opened the shoebox hidden at the back of his closet and,B5,0.32153503916449083,1149
MARKED,She opened the shoebox hidden at the back of his closet and,S1.1.3,0.15967249999999997,28
MARKED,She opened the shoebox hidden at the back of his closet and,Z8mfn,0.6191274501992031,251
MARKED,She opened the shoebox hidden at the back of his closet and,N5.2,0.2671272727272726,22
MARKED,She opened the shoebox hidden at the back of his closet and,A13,1.016694264705882,68
MARKED,She opened the shoebox hidden at the back of his closet and,A4.2,1.6081706249999999,32
MARKED,She opened the shoebox hidden at the back of his closet and,E3,0.50357475,240
MARKED,She opened the shoebox hidden at the back of his closet and,A4.1,0.002717209302325468,43
MARKED,She opened the shoebox hidden at the back of his closet and,Q1.1,0.4717957142857144,35
MARKED,She opened the shoebox hidden at the back of his closet and,A6.1,0.8130674074074073,27
MARKED,She opened the shoebox hidden at the back of his closet and,X2.1,0.1854699537037037,216
MARKED,She opened the shoebox hidden at the back of his closet and,A13.4,-0.6136504545454545,88
MARKED,She opened the shoebox hidden at the back of his closet and,S7.4,0.00429402439024393,82
MARKED,She opened the shoebox hidden at the back of his closet and,Q2.2,1.2293906603773583,106
MARKED,She opened the shoebox hidden at the back of his closet and,N3.8,0.8264042857142858,28
MARKED,She opened the shoebox hidden at the back of his closet and,Q1.3,-0.1937216129032259,31
MARKED,She opened the shoebox hidden at the back of his closet and,E2,0.9219697857142856,140
MARKED,She opened the shoebox hidden at the back of his closet and,O4.1,1.1072095454545456,66
MARKED,She opened the shoebox hidden at the back of his closet and,A1.3,0.41022327586206897,58
MARKED,She opened the shoebox hidden at the back of his closet and,M8,0.0999727906976744,43
MARKED,She opened the shoebox hidden at the back of his closet and,A2.2,0.3361918367346938,49
MARKED,She opened the shoebox hidden at the back of his closet and,S1.2.6,-0.3584150000000001,24
MARKED,She opened the shoebox hidden at the back of his closet and,I1.2,1.2067884615384612,52
MARKED,She opened the shoebox hidden at the back of his closet and,Z3c,0.5446204615384616,65
MARKED,She opened the shoebox hidden at the back of his closet and,A7,2.219554827586207,29
MARKED,She opened the shoebox hidden at the back of his closet and,A6.2,0.26423136363636357,22
MARKED,She opened the shoebox hidden at the back of his closet and,X2.2,0.9173187999999999,25
MARKED,She opened the shoebox hidden at the back of his closet and,X2.6,0.2946072727272726,77
MARKED,She opened the shoebox hidden at the back of his closet and,L3,0.2881157222222222,180
MARKED,She opened the shoebox hidden at the back of his closet and,K2,2.8570086111111115,36
MARKED,She opened the shoebox hidden at the back of his closet and,X7,-0.2471713698630136,146
MARKED,She opened the shoebox hidden at the back of his closet and,E5,0.5207690909090908,55
MARKED,She opened the shoebox hidden at the back of his closet and,X3.5,1.24396,76
MARKED,She opened the shoebox hidden at the back of his closet and,Z4,0.5080216666666667,30
MARKED,She opened the shoebox hidden at the back of his closet and,W2,-0.24913999999999997,40
MARKED,She opened the shoebox hidden at the back of his closet and,P1,-0.03822708333333321,24
MARKED,She opened the shoebox hidden at the back of his closet and,O3,-0.47150840000000005,25
MARKED,She opened the shoebox hidden at the back of his closet and,E1,0.3230292592592592,27
MARKED,She opened the shoebox hidden at the back of his closet and,X8,0.07865952380952392,21
MARKED,He slid his hand along their back under the table and,E3,0.2679776822916667,1536
MARKED,He slid his hand along their back under the table and,Y2,0.028375183946488303,1495
MARKED,He slid his hand along their back under the table and,Z5,0.15455247776701594,11357
MARKED,He slid his hand along their back under the table and,N3.2,0.3230058549222798,772
MARKED,He slid his hand along their back under the table and,Z8,0.20844580759046777,2266
MARKED,He slid his hand along their back under the table and,S8,-0.10372321064996086,1277
MARKED,He slid his hand along their back under the table and,Z8m,-0.05608848954578226,2774
MARKED,He slid his hand along their back under the table and,Z8f,-0.06790263664188892,2287
MARKED,He slid his hand along their back under the table and,Z8mfn,0.06372574850299403,1002
MARKED,He slid his hand along their back under the table and,Q2.1,0.32546218498659524,746
MARKED,He slid his hand along their back under the table and,B1,0.25564661785545584,2117
MARKED,He slid his hand along their back under the table and,M1,0.2174705991902834,1235
MARKED,He slid his hand along their back under the table and,F1,0.34590275434243173,403
MARKED,He slid his hand along their back under the table and,A7,0.5346879611650486,103
MARKED,He slid his hand along their back under the table and,X2.1,0.29402152207001525,657
MARKED,He slid his hand along their back under the table and,M2,0.13973478091528724,2054
MARKED,He slid his hand along their back under the table and,N3.3,-0.05055432258064515,155
MARKED,He slid his hand along their back under the table and,O4.4,0.874189191919192,99
MARKED,He slid his hand along their back under the table and,Z8mf,-0.019462158908507197,1246
MARKED,He slid his hand along their back under the table and,X7,0.1750853846153846,117
MARKED,He slid his hand along their back under the table and,E2,0.3637485496183206,131
MARKED,He slid his hand along their back under the table and,A9,0.1180749319971367,1397
MARKED,He slid his hand along their back under the table and,A5.1,0.36475093959731536,149
MARKED,He slid his hand along their back under the table and,M6,0.9463607569721116,251
MARKED,He slid his hand along their back under the table and,T1.2,0.06432108108108106,74
MARKED,He slid his hand along their back under the table and,N5,-0.14253962655601662,482
MARKED,He slid his hand along their back under the table and,Z4,0.7190043846153847,130
MARKED,He slid his hand along their back under the table and,A13,0.15707247619047618,105
MARKED,He slid his hand along their back under the table and,S1.2.6,-0.5083369613259668,181
MARKED,He slid his hand along their back under the table and,O4.6,0.8368559638554216,166
MARKED,He slid his hand along their back under the table and,A1.1.1,0.11699998496240602,1330
MARKED,He slid his hand along their back under the table and,A10,0.2200299212598426,254
MARKED,He slid his hand along their back under the table and,E4.2,0.4768420689655173,29
MARKED,He slid his hand along their back under the table and,A3,0.23597875576036867,217
MARKED,He slid his hand along their back under the table and,N4,0.4398522727272728,110
MARKED,He slid his hand along their back under the table and,O4.2,1.018361836734694,49
MARKED,He slid his hand along their back under the table and,Z6,0.8507128,75
MARKED,He slid his hand along their back under the table and,X2.2,0.4274327272727272,154
MARKED,He slid his hand along their back under the table and,G3,-0.4746484090909091,88
MARKED,He slid his hand along their back under the table and,S3.2,0.13613151093439366,1006
MARKED,He slid his hand along their back under the table and,N5.1,-0.8566151020408161,49
MARKED,He slid his hand along their back under the table and,N6,0.29873883333333334,60
MARKED,He slid his hand along their back under the table and,S7.1,-0.0875590645879733,449
MARKED,He slid his hand along their back under the table and,N1,-0.14051024096385545,83
MARKED,He slid his hand along their back under the table and,E1,0.8019097959183674,49
MARKED,He slid his hand along their back under the table and,S1.2.4,0.19908944444444446,36
MARKED,He slid his hand along their back under the table and,S7.4,0.13393312741312746,259
MARKED,He slid his hand along their back under the table and,A13.4,0.06583255230125523,239
MARKED,He slid his hand along their back under the table and,B5,0.6826793209876542,162
MARKED,He slid his hand along their back under the table and,T2,0.5693881460674158,178
MARKED,He slid his hand along their back under the table and,E4.1,0.55059425,120
MARKED,He slid his hand along their back under the table and,M3,0.03630599999999995,20
MARKED,He slid his hand along their back under the table and,O3,0.7984239130434784,23
MARKED,He slid his hand along their back under the table and,A8,0.13686613636363643,88
MARKED,He slid his hand along their back under the table and,N5.2,-0.1484438297872341,47
MARKED,He slid his hand along their back under the table and,N3.8,1.0261926562500001,64
MARKED,He slid his hand along their back under the table and,S3.1,0.24409185185185175,27
MARKED,He slid his hand along their back under the table and,X8,0.0801109523809523,21
MARKED,He slid his hand along their back under the table and,M8,0.8071025531914893,47
MARKED,He slid his hand along their back under the table and,T1.1.1,0.23495000000000016,20
MARKED,He slid his hand along their back under the table and,A1.7,0.9021681632653058,98
MARKED,He slid his hand along their back under the table and,O4.5,0.18442218978102193,137
MARKED,He slid his hand along their back under the table and,Q2.2,1.1777498596491227,285
MARKED,He slid his hand along their back under the table and,A6.1,0.575928431372549,102
MARKED,He slid his hand along their back under the table and,A11.1,-0.18090199999999998,170
MARKED,He slid his hand along their back under the table and,Z1m,0.04810809523809529,21
MARKED,He slid his hand along their back under the table and,X3.3,-0.21970836734693883,98
MARKED,He slid his hand along their back under the table and,X3.4,0.5666704195804196,143
MARKED,He slid his hand along their back under the table and,O4.1,-0.007102162162162204,37
MARKED,He slid his hand along their back under the table and,A2.2,0.3683514285714286,28
MARKED,He slid his hand along their back under the table and,S5,0.16143281249999997,64
MARKED,He slid his hand along their back under the table and,L3,-0.5088639285714285,28
MARKED,He slid his hand along their back under the table and,E6,0.727588706896552,116
MARKED,He slid his hand along their back under the table and,G2.1,2.4115746511627907,43
MARKED,He slid his hand along their back under the table and,Q1.2,1.7823966666666669,24
MARKED,He slid his hand along their back under the table and,L2,0.7262665573770495,61
MARKED,He slid his hand along their back under the table and,X3.2,4.550913953488372,43
MARKED,He slid his hand along their back under the table and,N3.7,0.3150686111111111,288
MARKED,He slid his hand along their back under the table and,X4.2,0.6545790322580645,31
MARKED,He slid his hand along their back under the table and,Z2,0.8246445454545456,22
MARKED,He slid his hand along their back under the table and,O1.1,1.1854699999999998,20
MARKED,He slid his hand along their back under the table and,B4,1.074533846153846,26
MARKED,He threw the Quran onto the prayer rug and,Q2.2,0.9748678004713277,1273
MARKED,He threw the Quran onto the prayer rug and,S9,0.21308232604373759,1006
MARKED,He threw the Quran onto the prayer rug and,Q2.1,0.1445929758522727,1408
MARKED,He threw the Quran onto the prayer rug and,M6,0.15283623678646932,1419
MARKED,He threw the Quran onto the prayer rug and,A3,0.10689035787321063,978
MARKED,He threw the Quran onto the prayer rug and,Z6,0.08021063926940636,219
MARKED,He threw the Quran onto the prayer rug and,Z5,0.11225374173826835,12104
MARKED,He threw the Quran onto the prayer rug and,Z1,-0.08935490506329115,316
MARKED,He threw the Quran onto the prayer rug and,Y2,0.12742430798004986,3208
MARKED,He threw the Quran onto the prayer rug and,A1.1.2,0.014750583941605866,137
MARKED,He threw the Quran onto the prayer rug and,N5.1,0.4281456,150
MARKED,He threw the Quran onto the prayer rug and,Z8m,-0.10391150203825651,3189
MARKED,He threw the Quran onto the prayer rug and,A10,0.19116456140350876,570
MARKED,He threw the Quran onto the prayer rug and,B1,0.18631322404371584,549
MARKED,He threw the Quran onto the prayer rug and,X7,-0.009268726591760321,267
MARKED,He threw the Quran onto the prayer rug and,N5,0.3436391020408163,245
MARKED,He threw the Quran onto the prayer rug and,Z8mf,-0.21867337868480727,882
MARKED,He threw the Quran onto the prayer rug and,N4,0.22864161983471074,605
MARKED,He threw the Quran onto the prayer rug and,M2,0.07303107195301026,681
MARKED,He threw the Quran onto the prayer rug and,X2.1,-0.015178490566037714,159
MARKED,He threw the Quran onto the prayer rug and,A9,0.20845812865497074,684
MARKED,He threw the Quran onto the prayer rug and,M1,0.10429058470764616,1334
MARKED,He threw the Quran onto the prayer rug and,S3.2,0.016615570469798665,745
MARKED,He threw the Quran onto the prayer rug and,Z4,0.44894172413793104,29
MARKED,He threw the Quran onto the prayer rug and,A1.1.1,0.1014703419689119,965
MARKED,He threw the Quran onto the prayer rug and,S6,0.3327945801526717,131
MARKED,He threw the Quran onto the prayer rug and,I1.2,-0.013048883495145647,206
MARKED,He threw the Quran onto the prayer rug and,Z3c,0.3778507262569832,179
MARKED,He threw the Quran onto the prayer rug and,E6,0.07003387096774191,31
MARKED,He threw the Quran onto the prayer rug and,Z7,7.868381343283584,67
MARKED,He threw the Quran onto the prayer rug and,G2.1,0.983622564102564,39
MARKED,He threw the Quran onto the prayer rug and,Z8,0.07901020231213873,346
MARKED,He threw the Quran onto the prayer rug and,A5.1,0.4461035789473686,95
MARKED,He threw the Quran onto the prayer rug and,M8,-0.08762311059907835,434
MARKED,He threw the Quran onto the prayer rug and,F1,0.4306725221238939,452
MARKED,He threw the Quran onto the prayer rug and,S8,3.2397201204819277,83
MARKED,He threw the Quran onto the prayer rug and,T2,0.0859141385948027,1039
MARKED,He threw the Quran onto the prayer rug and,X3.4,0.2108954054054054,222
MARKED,He threw the Quran onto the prayer rug and,Q1.2,0.13945559585492232,193
MARKED,He threw the Quran onto the prayer rug and,Q1.3,0.3837936538461539,52
MARKED,He threw the Quran onto the prayer rug and,X9.2,0.4888574,200
