cluster,n_fields,n_resources,tightness,n_words,members,n_comp_tested,n_comp_sig,comp_sig_pos,comp_sig_neg,delta,edges_pos,n_edges,p,bonferroni,verdict
23,2,2,0.10344827586206896,29,usas:K1|verbnet:meet,2,0,0,0,0.0006221176076924849,35,43,2.301228511930994e-05,True,COHERENT
24,1,1,1.0,35,usas:S1.1.1,1,1,1,0,0.000439993637304311,34,43,9.93843128492731e-07,True,COHERENT
25,3,3,0.13893459481694775,63,framenet:Performers_and_roles|usas:A3|wordnet:stative,3,0,0,0,0.006236304628607649,21,43,0.10735784650934908,False,QUIET
26,1,1,1.0,9,framenet:Amounting_to,1,0,0,0,-9.467980333655196e-05,19,43,0.03832417337056785,False,QUIET
27,1,1,1.0,5,framenet:Surviving,1,0,0,0,3.751613986055213e-05,17,26,0.003098403242457212,False,QUIET
28,1,1,1.0,7,usas:W1,1,0,0,0,-1.5427552810396014e-05,23,41,0.6516998333608889,False,QUIET
29,1,1,1.0,7,verbnet:keep,1,0,0,0,-0.0014624971319215667,14,43,0.004083820128330762,False,QUIET
30,1,1,1.0,55,usas:T1.3,1,0,0,0,-0.00040723520439992823,15,43,0.050589869112689576,False,QUIET
31,1,1,1.0,7,verbnet:weekend,1,0,0,0,-4.601520327113259e-06,14,29,0.6641466812322306,False,QUIET
32,1,1,1.0,126,rid:temporal_references,1,0,0,0,0.011758700114101328,30,43,0.0014984097861422102,False,QUIET
33,1,1,1.0,43,usas:N3.8,1,0,0,0,0.0027550932683445967,34,43,0.0005564230768388237,False,QUIET
34,1,1,1.0,16,usas:T1.1.2,1,1,1,0,0.00032886861056216784,32,43,0.00015361722854709695,False,DILUTED
35,1,1,1.0,23,usas:N6,1,0,0,0,-0.001833310474497807,16,43,0.017822637710563142,False,QUIET
36,1,1,1.0,13,usas:T1.1.1,1,0,0,0,1.7125997868545507e-05,24,43,0.7793441868478551,False,QUIET
37,1,1,1.0,12,usas:T1.2,1,1,1,0,5.453221468754822e-05,32,41,0.00010824574293986825,False,DILUTED
38,2,2,0.13333333333333333,15,framenet:Giving_birth|verbnet:calve,2,0,0,0,-0.00010907311120573106,17,43,0.2482870621467657,False,QUIET
39,1,1,1.0,32,usas:L2mfn,1,0,0,0,1.3696460400452294e-05,19,42,0.5339276131625069,False,QUIET
40,1,1,1.0,9,usas:S2mf,1,0,0,0,0.00020094326396375567,31,43,0.003266737219337639,False,QUIET
41,1,1,1.0,33,induced:person_reference,1,1,0,1,-0.018672509279518957,11,43,0.008265515873208543,False,DILUTED
42,1,1,1.0,27,usas:Z8,1,0,0,0,-0.0020231316570500355,18,43,0.06640112519073182,False,QUIET
43,3,3,0.20107719964713197,249,induced:grammatical_function|usas:Z5|wordnet:unassigned,2,0,0,0,-0.033787528951885186,17,43,0.09723623941370306,False,QUIET
44,1,1,1.0,69,induced:entity_noun,1,0,0,0,-0.002012586820432115,10,43,0.007054845417105409,False,QUIET
45,1,1,1.0,21,usas:S4f,1,0,0,0,-0.00017001844002412567,15,43,0.03312157149120458,False,QUIET
46,1,1,1.0,8,usas:M3fn,1,0,0,0,7.546926760891272e-06,22,40,0.6719423296829018,False,QUIET
47,1,1,1.0,5,usas:Z6,1,0,0,0,-0.001642717164616201,18,43,0.17843023772913424,False,QUIET
48,1,1,1.0,6,usas:S2.2m,1,0,0,0,-9.061402451685603e-05,19,42,0.33874610278280715,False,QUIET
49,1,1,1.0,8,usas:S4mf,1,0,0,0,3.747487738676288e-05,28,39,0.0012940360731468674,False,QUIET
50,1,1,1.0,13,usas:S2.1f,1,0,0,0,-0.0003909905340343377,18,43,0.014645332824378882,False,QUIET
51,2,2,0.26666666666666666,15,framenet:Success_or_failure|verbnet:neglect,2,2,2,0,0.0007885687223082656,39,43,2.7126526199201413e-08,True,COHERENT
52,2,2,0.2727272727272727,11,framenet:Surpassing|verbnet:exceed,2,0,0,0,1.2951088340212402e-05,22,41,0.5029151902983299,False,QUIET
53,1,1,1.0,6,framenet:Conquering,1,1,1,0,0.0002010543260637308,33,38,2.633677506566538e-10,True,COHERENT
54,1,1,1.0,45,usas:X9.2,1,0,0,0,-0.0006881564582977254,11,43,0.0019980316934169154,False,QUIET
55,1,1,1.0,50,rid:moral_imperative,1,0,0,0,-9.710165861521472e-05,25,43,0.7864068077893004,False,QUIET
56,1,1,1.0,22,usas:A5.3,1,0,0,0,0.00032087966828665083,34,43,0.012596010793015353,False,QUIET
57,2,2,0.13636363636363635,22,framenet:Resolve_problem|verbnet:cope,2,0,0,0,0.0005471308601807281,30,43,0.00028376098395551107,False,QUIET
58,1,1,1.0,14,usas:X6,1,0,0,0,0.0013209342620211146,29,43,0.00438364384242775,False,QUIET
59,1,1,1.0,17,usas:S4m,1,0,0,0,-8.452299590732829e-05,17,43,0.2199456163575361,False,QUIET
60,1,1,1.0,22,framenet:Compliance,1,1,1,0,0.0009291920540893432,37,43,4.585250690011725e-10,True,COHERENT
61,1,1,1.0,6,verbnet:cling,1,0,0,0,5.179484991163731e-05,25,33,0.0024579055579051394,False,QUIET
62,3,3,0.37693548387096776,31,framenet:Avoiding|usas:A1.9|verbnet:avoid,3,3,3,0,0.0006963674067858702,40,43,1.7992486375023125e-08,True,COHERENT
63,1,1,1.0,5,framenet:Evading,1,0,0,0,0.0002643189672202644,26,39,0.22140833091419643,False,QUIET
64,2,2,0.15384615384615385,13,framenet:Suasion|verbnet:urge,2,0,0,0,0.00022991266821257962,28,41,0.0038167320655252924,False,QUIET
65,1,1,1.0,6,framenet:Desirability,1,0,0,0,-0.0006071285366176739,9,43,0.0006835978911970914,False,QUIET
66,1,1,1.0,31,verbnet:body_internal_motion,1,0,0,0,-0.0013831536010348977,16,43,0.0050640764916570664,False,QUIET
67,2,2,0.15789473684210525,19,framenet:Fire_burning|verbnet:entity_specific_modes_being,2,0,0,0,3.744675450665065e-05,27,43,0.46905929185582235,False,QUIET
68,1,1,1.0,11,usas:F3,1,0,0,0,-0.0013432904934794834,15,43,0.004447001902305115,False,QUIET
69,3,3,0.2172222222222222,31,framenet:Ingest_substance|usas:A1.5.1|verbnet:consume,3,0,0,0,0.0001611059173726986,18,43,0.8059509238114045,False,QUIET
70,2,2,0.10526315789473684,19,framenet:Frugality|usas:N5.2,2,0,0,0,-0.0018282595011781307,7,43,0.016109110362945045,False,QUIET
71,2,2,0.10256410256410256,39,framenet:Choosing|verbnet:chew,2,1,0,1,-0.0010443055717439833,10,43,0.000843459505428288,False,DILUTED
72,1,1,1.0,9,framenet:Grinding,1,0,0,0,7.650557849482465e-05,27,39,0.012039290243877676,False,QUIET
73,2,2,0.14795008912655971,561,rid:need|usas:F1,2,1,0,1,-0.00576504238695926,12,43,0.0023054606687101585,False,DILUTED
74,2,2,0.16981132075471697,53,framenet:Ingestion|verbnet:dine,2,0,0,0,-0.0011541530251882683,10,43,0.007985109904860909,False,QUIET
75,3,3,0.17724867724867724,29,induced:process_event|verbnet:eat|wordnet:consumption,3,0,0,0,0.0006219276254142856,20,43,0.4350118068673718,False,QUIET
76,1,1,1.0,41,usas:F2,1,0,0,0,-0.00021593604176551326,14,43,0.10593617848960922,False,QUIET
77,1,1,1.0,6,verbnet:feeding,1,0,0,0,-0.001592929237426568,10,43,0.1545016819153773,False,QUIET
78,1,1,1.0,7,framenet:Using,1,0,0,0,0.00040868137885691566,30,43,0.0006405661625721319,False,QUIET
79,3,2,0.25789813023855573,47,framenet:Cotheme|verbnet:accompany|verbnet:chase,3,2,2,0,0.0026855324583045185,36,43,1.5699164163795627e-06,True,COHERENT
80,1,1,1.0,15,usas:S3.1,1,0,0,0,0.000413241190343015,30,43,0.001091135064815349,False,QUIET
81,1,1,1.0,31,usas:N4,1,0,0,0,0.008966409112417717,26,43,0.01863922614548683,False,QUIET
82,2,2,0.17647058823529413,17,framenet:Suitability|usas:A1.2,2,0,0,0,0.0003209322863020406,29,43,0.01236356849263131,False,QUIET
83,2,2,0.6666666666666666,12,framenet:Sleep|verbnet:snooze,2,1,0,1,-0.0005577406733271418,5,39,5.518967222410752e-07,True,COHERENT
84,2,2,0.19047619047619047,21,framenet:Storing|verbnet:fit,2,0,0,0,-0.00013210827662573762,18,43,0.26200089271547483,False,QUIET
85,1,1,1.0,6,framenet:Containing,1,0,0,0,-6.30092034758855e-05,11,42,0.006276434993659964,False,QUIET
86,2,2,0.6363636363636364,11,framenet:Assistance|verbnet:help,2,0,0,0,0.0009917169650676023,29,43,0.0001987611975165218,False,QUIET
87,1,1,1.0,99,usas:S8,1,1,1,0,0.0024204223772600186,33,43,2.8950546238253555e-05,True,COHERENT
88,1,1,1.0,20,induced:contact_care,1,0,0,0,-0.001230102167936803,16,43,0.1953217827780662,False,QUIET
89,2,2,0.13333333333333333,15,framenet:Justifying|verbnet:defend,2,1,1,0,0.0004123184749823383,34,43,9.38179720629514e-06,True,COHERENT
90,1,1,1.0,11,framenet:Protecting,1,1,1,0,0.00037980594725523946,31,43,4.84071438793405e-06,True,COHERENT
91,2,2,0.16216216216216217,37,framenet:Kidnapping|verbnet:steal,2,0,0,0,0.00029798622752567303,31,42,0.0003467015131339837,False,QUIET
92,1,1,1.0,10,framenet:Theft,1,0,0,0,8.655639210686843e-05,24,26,0.000159185342141416,False,QUIET
93,3,3,0.16481481481481483,45,framenet:Billing|usas:I1.3|verbnet:bill,3,0,0,0,0.00017381473308605218,24,43,0.3092325006063782,False,QUIET
94,1,1,1.0,5,framenet:Fining,1,0,0,0,1.0575934867891667e-05,25,37,0.6131085404693719,False,QUIET
95,1,1,1.0,5,verbnet:cost,1,0,0,0,-3.170799701516199e-05,17,37,0.02273519009797006,False,QUIET
96,1,1,1.0,7,framenet:Funding,1,0,0,0,5.407975206556503e-05,12,14,0.005967945143705763,False,QUIET
97,1,1,1.0,49,usas:I1.1,1,0,0,0,0.0002382820530411027,31,43,0.009376685233650603,False,QUIET
98,1,1,1.0,6,framenet:Rescuing,1,0,0,0,5.637860880182825e-05,25,43,0.4870321765012982,False,QUIET
99,1,1,1.0,32,usas:I1,1,0,0,0,-0.0015246013193919745,24,43,0.10215983452101757,False,QUIET
100,2,2,0.5,22,framenet:Process_start|verbnet:begin,2,2,2,0,0.009954969226256865,34,43,3.1463109414240273e-06,True,COHERENT
101,1,1,1.0,123,usas:T2,1,1,1,0,0.011600384305472305,30,43,3.352878972339762e-06,True,COHERENT
102,2,2,0.25,16,framenet:Process_end|verbnet:stop,2,1,1,0,0.0009530554237241625,31,43,0.005581289133501458,False,DILUTED
103,3,2,0.1435897435897436,20,framenet:Activity_finish|framenet:Process_stop|verbnet:complete,3,0,0,0,-0.0005672337606955882,15,43,0.3479222642541989,False,QUIET
104,3,3,0.15593826463391683,46,framenet:Inclusion|usas:A1.8|verbnet:admit,3,1,1,0,0.0007645711095392991,30,43,0.0006025966522112303,False,DILUTED
105,3,3,0.19990994033547224,49,framenet:Prohibiting_or_licensing|usas:S7.4|verbnet:forbid,3,0,0,0,0.0018479702011178504,28,43,0.04460792313801329,False,QUIET
106,1,1,1.0,7,framenet:Deny_or_grant_permission,1,0,0,0,2.5839625413698343e-05,19,32,0.6816098554842448,False,QUIET
107,1,1,1.0,15,framenet:Preventing_or_letting,1,0,0,0,0.003461665685585459,33,43,0.0005675311338279717,False,QUIET
108,1,1,1.0,193,rid:restraint,1,0,0,0,0.0019557431665481115,30,43,0.017204003119882294,False,QUIET
109,1,1,1.0,121,usas:G2.1,1,0,0,0,-0.0019228747452012728,17,43,0.01975838304206427,False,QUIET
110,2,2,0.18518518518518517,27,framenet:Gesture|verbnet:wink,2,0,0,0,0.0012500616815837183,28,43,0.03126476225803294,False,QUIET
111,4,3,0.15714624881291547,51,framenet:Communication_means|framenet:Contacting|usas:Q1.3|verbnet:instr_communication,4,0,0,0,-0.0008131545952142609,17,43,0.3404574994382866,False,QUIET
112,1,1,1.0,31,usas:Y2,1,0,0,0,0.002012667696651184,22,43,0.16541582204940872,False,QUIET
113,3,2,0.18666666666666668,27,framenet:Cause_to_perceive|framenet:Supply|verbnet:fulfilling,3,3,3,0,0.00307944581337826,42,43,3.268272666611978e-12,True,COHERENT
114,2,2,0.16666666666666666,18,framenet:Reveal_secret|verbnet:confess,2,1,1,0,0.0005925683538745177,32,43,9.658767199489925e-05,True,COHERENT
115,2,2,0.11538461538461539,26,framenet:Encoding|verbnet:reflexive_appearance,2,1,0,1,-0.006910008236818251,7,43,5.932409620510447e-07,True,COHERENT
116,1,1,1.0,25,usas:Q1.1,1,0,0,0,0.0003083169654780117,27,43,0.4103211734403363,False,QUIET
117,2,2,0.4666666666666667,30,framenet:Eclipse|verbnet:concealment,2,0,0,0,-3.754795393843517e-05,27,43,0.8553132976641452,False,QUIET
118,1,1,1.0,160,usas:A10,1,1,1,0,0.006039575136010711,32,43,1.187235822714006e-05,True,COHERENT
119,1,1,1.0,44,usas:M7,1,0,0,0,9.956630405632419e-05,25,43,0.025511614940304673,False,QUIET
120,1,1,1.0,26,usas:A5.2,1,1,1,0,0.0009709173665633301,37,43,8.29826932956605e-07,True,COHERENT
121,1,1,1.0,9,verbnet:declare,1,0,0,0,0.003972553915849044,30,43,2.5802698534741296e-05,True,COHERENT
122,2,2,0.18518518518518517,54,framenet:Evidence|verbnet:indicate,2,1,1,0,0.0027680839604867715,16,43,0.30466857384679924,False,DILUTED
123,1,1,1.0,9,framenet:Intentionally_create,1,1,1,0,0.005017996681357668,37,43,7.378990804778235e-09,True,COHERENT
124,1,1,1.0,6,framenet:Certainty,1,1,1,0,0.00026767175579738126,39,43,4.110461875376949e-09,True,COHERENT
125,1,1,1.0,64,usas:A7,1,0,0,0,0.004430494549525176,34,43,0.00040247926508564334,False,QUIET
126,1,1,1.0,32,framenet:Becoming_aware,1,0,0,0,0.003881130724891303,35,43,2.181085500446692e-06,True,COHERENT
127,1,1,1.0,57,verbnet:conjecture,1,1,1,0,0.010744879637533282,36,43,2.4106374775024324e-07,True,COHERENT
128,1,1,1.0,5,framenet:Detaining,1,0,0,0,0.0025111146894538977,27,43,0.00846241411761752,False,QUIET
129,2,2,0.16666666666666666,54,framenet:Cogitation|verbnet:marvel,2,2,2,0,0.003208432440556232,40,43,5.303439971867013e-13,True,COHERENT
130,1,1,1.0,8,verbnet:care,1,0,0,0,-0.000548241755954266,14,43,0.009484242624778896,False,QUIET
131,2,2,0.1686746987951807,83,framenet:Awareness|usas:X2.1,2,0,0,0,0.0047973102170520456,31,43,0.01608156133227252,False,QUIET
132,2,2,0.13333333333333333,15,framenet:Opinion|verbnet:consider,2,0,0,0,0.001184837253385884,30,43,0.15494815315073196,False,QUIET
133,1,1,1.0,263,rid:abstraction,1,1,1,0,0.011406834013423049,37,43,3.824429885300535e-08,True,COHERENT
134,1,1,1.0,31,usas:X2.5,1,1,1,0,0.0018045649247416071,32,43,2.526402407432482e-05,True,COHERENT
135,3,3,0.1708333333333333,20,framenet:Give_impression|usas:A8|verbnet:sound_existence,3,1,1,0,0.002314710817618703,25,43,0.023191814501775314,False,DILUTED
136,4,3,0.2175355508688842,28,framenet:Coming_to_believe|framenet:Hearsay|usas:X2.3|verbnet:discover,4,0,0,0,0.0005324420498698212,20,43,0.4099350555826093,False,QUIET
137,1,1,1.0,21,usas:Q3,1,0,0,0,8.265168131911052e-06,18,43,0.9790711310763953,False,QUIET
138,2,2,0.17391304347826086,23,usas:X3.5|verbnet:see,2,1,1,0,0.0022280255897333184,42,43,3.7776298700165654e-12,True,COHERENT
139,1,1,1.0,14,usas:X3.1,1,0,0,0,0.00010473866110587138,33,42,0.009595623974594363,False,QUIET
140,1,1,1.0,13,framenet:Perception_experience,1,0,0,0,0.00036242864258969975,21,43,0.6036131883358009,False,QUIET
141,1,1,1.0,46,verbnet:captain,1,0,0,0,-1.2582957176200167e-05,23,43,0.8880372789148443,False,QUIET
142,1,1,1.0,5,usas:X3,1,0,0,0,-2.8494974486972448e-05,15,38,0.16296310836332334,False,QUIET
143,1,1,1.0,20,verbnet:sight,1,1,1,0,0.0002790934538876588,32,42,2.2149118562019026e-05,True,COHERENT
144,3,3,0.21236542589651083,114,framenet:Scrutiny|usas:X2.4|verbnet:investigate,3,2,2,0,0.01015214243463748,37,43,1.2470622602748963e-09,True,COHERENT
145,1,1,1.0,28,verbnet:search,1,0,0,0,0.0026770145882126424,32,43,0.0003836598373178128,False,QUIET
146,3,3,0.1837069650828594,110,framenet:Perception_active|usas:X3.4|verbnet:peer,3,3,3,0,0.020059307553904046,35,43,2.949089050135451e-08,True,COHERENT
147,3,2,0.1851179673321234,66,induced:perception_cognition|wordnet:cognition|wordnet:perception,3,2,2,0,0.029734222979159494,36,43,3.0640017134528655e-08,True,COHERENT
148,1,1,1.0,6,framenet:Accomplishment,1,0,0,0,4.0973542227232416e-05,18,24,0.027944922067845556,False,QUIET
149,1,1,1.0,17,usas:X9.1,1,1,1,0,0.00010348884920350699,31,38,5.7319199564150596e-05,True,COHERENT
150,2,2,0.18181818181818182,55,framenet:Education_teaching|usas:P1,2,0,0,0,0.0005321575059222856,29,43,0.01969245133026955,False,QUIET
151,1,1,1.0,5,framenet:Speak_on_topic,1,0,0,0,3.467892053069392e-05,24,33,0.01405748881386369,False,QUIET
152,1,1,1.0,19,verbnet:transfer_mesg,1,0,0,0,8.75590710825214e-06,25,43,0.9130346664130584,False,QUIET
153,1,1,1.0,8,framenet:Contingency,1,0,0,0,0.00017371948135572573,29,41,0.00013923224379507626,False,QUIET
154,2,2,0.18181818181818182,11,usas:N3.5|verbnet:register,2,0,0,0,0.00013625057617153724,33,39,0.00011597272023566872,False,QUIET
155,2,2,0.15789473684210525,19,framenet:Rewards_and_punishments|verbnet:equip,2,0,0,0,0.00011330119522193297,22,43,0.24016083661734627,False,QUIET
156,2,2,0.22727272727272727,22,framenet:Assessing|verbnet:assessment,2,2,2,0,0.0014732064512607346,40,43,2.5180266958281746e-09,True,COHERENT
157,1,1,1.0,79,usas:A5.1,1,0,0,0,-0.0008459744881477383,10,43,0.01178458131181743,False,QUIET
158,1,1,1.0,15,usas:I2.1,1,0,0,0,9.074070808186681e-06,20,38,0.682665390428615,False,QUIET
159,3,3,0.3053571428571428,17,framenet:Attempt|usas:X8|verbnet:try,3,0,0,0,-0.0007982339438397749,18,43,0.3877674631320762,False,QUIET
160,2,2,0.22857142857142856,35,framenet:Expectation|usas:X2.6,2,0,0,0,-0.001701606240747535,13,42,0.02849920119303697,False,QUIET
161,2,2,0.4,20,framenet:Purpose|verbnet:wish,2,2,2,0,0.0007324499864678036,33,43,6.38238539373055e-05,True,COHERENT
162,1,1,1.0,7,usas:X2,1,1,1,0,8.549894839262974e-05,31,39,2.686598033524463e-05,True,COHERENT
163,3,3,0.24579279471958915,116,framenet:Desiring|usas:X7|verbnet:long,3,1,1,0,0.0004799795091133332,25,43,0.5326965283902583,False,DILUTED
164,2,2,0.21739130434782608,23,framenet:Perception_body|verbnet:tingle,2,0,0,0,0.0006732790932145721,33,43,4.630608202347576e-05,True,COHERENT
165,1,1,1.0,109,usas:B2,1,0,0,0,0.0007242792481131853,30,43,0.0013727770097066198,False,QUIET
166,1,1,1.0,7,usas:S1.2.2,1,0,0,0,2.0562506418052976e-06,15,27,0.8799333351856392,False,QUIET
167,1,1,1.0,8,framenet:Forgiveness,1,0,0,0,9.254476804884147e-05,35,39,0.0029350806758503406,False,QUIET
168,1,1,1.0,48,usas:Z4,1,0,0,0,-5.842089672424748e-05,18,43,0.46983056243388405,False,QUIET
169,1,1,1.0,26,framenet:Judgment_communication,1,0,0,0,-0.0005716436770949759,15,40,0.0018096272313214343,False,QUIET
170,1,1,1.0,31,verbnet:funnel,1,0,0,0,0.0005198796972345606,26,43,0.2846328816980463,False,QUIET
171,2,2,0.15555555555555556,45,framenet:Judgment|usas:S7.2,2,2,2,0,0.0009807508549790967,40,43,9.783304153675991e-08,True,COHERENT
172,1,1,1.0,72,rid:glory,1,0,0,0,-8.447104855612458e-06,35,43,0.9874824761763444,False,QUIET
173,2,2,0.17,100,framenet:Judgment_direct_address|verbnet:judgement,2,0,0,0,0.0008795266831132104,27,43,0.036986045949560266,False,QUIET
174,1,1,1.0,13,usas:S1.2.4,1,0,0,0,-3.57851727927538e-05,20,43,0.64797144114092,False,QUIET
175,1,1,1.0,11,framenet:Rite,1,0,0,0,3.544893420404528e-05,23,43,0.9044043867802486,False,QUIET
176,1,1,1.0,88,usas:S9,1,0,0,0,-0.0008145697715498524,19,43,0.10632375768613166,False,QUIET
177,2,2,0.14814814814814814,27,framenet:Leadership|verbnet:dub,2,0,0,0,-0.0006763060065342,14,43,0.15951790624835976,False,QUIET
178,1,1,1.0,8,framenet:Name_conferral,1,0,0,0,-4.782563616437473e-05,19,42,0.3261836726333544,False,QUIET
179,1,1,1.0,114,usas:S7.1,1,0,0,0,0.0006170531767999807,26,43,0.2897207697567393,False,QUIET
180,1,1,1.0,5,framenet:Labeling,1,0,0,0,5.032625926307373e-05,20,31,0.0023362734095730537,False,QUIET
181,1,1,1.0,10,usas:A11.2,1,1,1,0,0.00014033540757402797,33,41,6.964883253271492e-05,True,COHERENT
182,1,1,1.0,12,verbnet:poke,1,0,0,0,-0.0008614826942076999,11,41,0.001298787162745606,False,QUIET
183,1,1,1.0,18,framenet:Possession,1,0,0,0,-0.003263314824543817,18,43,0.14926008122380516,False,QUIET
184,1,1,1.0,7,wordnet:emotion,1,1,1,0,0.003944525750315369,38,43,3.917256619282205e-05,True,COHERENT
185,2,2,0.15151515151515152,33,framenet:Change_of_leadership|verbnet:appoint,2,0,0,0,-0.0007831230382071378,35,43,0.45620980992583987,False,QUIET
186,1,1,1.0,10,framenet:Sign,1,0,0,0,-0.0013846628391564117,28,42,0.08759359667358747,False,QUIET
187,1,1,1.0,21,usas:G1.2,1,0,0,0,-1.1052490796017947e-05,21,42,0.7611116778569329,False,QUIET
188,1,1,1.0,11,framenet:Subjective_influence,1,1,1,0,9.358878133970607e-05,31,36,3.7621418301876325e-07,True,COHERENT
189,1,1,1.0,57,usas:X5.2,1,1,1,0,0.0002547758519445256,39,43,1.3038467940567216e-06,True,COHERENT
190,2,2,0.125,80,framenet:Manipulate_into_doing|verbnet:force,2,2,2,0,0.0031404682258458993,34,43,4.095461850165024e-05,True,COHERENT
191,1,1,1.0,38,usas:G2.2,1,1,1,0,0.0005880137450444896,39,43,5.8796707217522206e-08,True,COHERENT
192,2,2,0.14285714285714285,21,framenet:Moving_in_place|verbnet:body_internal_states,2,0,0,0,0.0003858266041199338,31,43,0.0033670580865231858,False,QUIET
193,2,2,0.11627906976744186,43,framenet:Emotion_active|usas:E6,2,0,0,0,0.0003558710031770253,30,42,0.0009435101026063948,False,QUIET
194,2,2,0.3784722222222222,288,framenet:Experiencer_obj|verbnet:amuse,2,1,1,0,-0.005620650714562172,9,43,0.0018234948909175732,False,DILUTED
195,2,2,0.25,100,rid:anxiety|usas:E5,2,2,2,0,0.001346782809828157,38,43,9.288989267836961e-10,True,COHERENT
196,1,1,1.0,29,usas:E4.2,1,0,0,0,0.00013064913082775912,30,41,0.002894127903326607,False,QUIET
197,3,3,0.21939721097615836,84,framenet:Communication_manner|usas:K2|verbnet:manner_speaking,3,2,2,0,0.01125830883113741,37,43,2.7111688667461783e-09,True,COHERENT
198,1,1,1.0,108,rid:expressive_behavior,1,0,0,0,0.005262496027608758,34,43,0.00416733413959169,False,QUIET
199,3,3,0.21093699528814033,147,framenet:Motion_noise|usas:X3.2|verbnet:sound_emission,3,1,1,0,0.0008370304305398729,26,43,0.1579221160313822,False,DILUTED
200,2,2,0.4805194805194805,154,framenet:Communication_noise|verbnet:animal_sounds,2,0,0,0,0.00048178008992376213,24,43,0.692550433306398,False,QUIET
201,1,1,1.0,60,framenet:Make_noise,1,0,0,0,0.0020576506446667777,35,43,0.0006838142967195727,False,QUIET
202,2,2,0.20125786163522014,159,rid:sadness|usas:E4.1,2,1,1,0,0.001483051381933472,29,43,0.11605043801750906,False,DILUTED
203,2,2,0.3225806451612903,31,induced:nonverbal_expression|wordnet:body,2,2,2,0,0.008378454842161667,32,43,0.002497120652333484,False,DILUTED
204,2,2,0.3090909090909091,55,framenet:Making_faces|verbnet:nonverbal_expression,2,1,1,0,0.009649227196543708,34,43,3.0302439648151342e-05,True,COHERENT
205,1,1,1.0,84,rid:positive_affect,1,1,1,0,0.004774570175086125,34,43,0.0011192634555581683,False,DILUTED
206,3,3,0.2299446353570065,124,framenet:Experiencer_focus|usas:E2|verbnet:admire,3,0,0,0,-0.0053352895862406316,25,43,0.11545206905378028,False,QUIET
207,1,1,1.0,95,rid:affection,1,0,0,0,-0.007650522577722917,10,43,0.027562965415767422,False,QUIET
