,as_faller,as_riser,total,lean,vv
pushed,15,1,16,-0.875,True
ms,15,0,15,-1.0,False
once,15,0,15,-1.0,False
used,0,15,15,1.0,True
sign,3,12,15,0.6,False
included,7,8,15,0.06666666666666667,True
killed,13,2,15,-0.7333333333333333,True
so,14,0,14,-1.0,False
realized,6,8,14,0.14285714285714285,True
shattered,0,14,14,1.0,True
disappeared,1,13,14,0.8571428571428571,True
discovered,12,2,14,-0.7142857142857143,True
what,6,7,13,0.07692307692307693,False
struck,4,9,13,0.38461538461538464,True
plugged,11,2,13,-0.6923076923076923,True
painted,6,7,13,0.07692307692307693,True
ate,8,4,12,-0.3333333333333333,True
knocked,10,2,12,-0.6666666666666666,True
let,3,9,12,0.5,True
posted,8,4,12,-0.3333333333333333,True
examined,0,12,12,1.0,True
poured,11,1,12,-0.8333333333333334,True
clicked,4,7,11,0.2727272727272727,True
didn't,2,9,11,0.6363636363636364,False
walking,0,11,11,1.0,False
won,9,2,11,-0.6363636363636364,True
him,6,5,11,-0.09090909090909091,False
tried,8,3,11,-0.45454545454545453,True
parked,3,8,11,0.45454545454545453,True
about,11,0,11,-1.0,False
returned,6,4,10,-0.2,True
twisted,2,8,10,0.6,False
sang,6,4,10,-0.2,True
came,9,1,10,-0.8,True
continued,1,9,10,0.8,True
leaving,0,10,10,1.0,True
carried,1,9,10,0.8,True
long,10,0,10,-1.0,False
submitted,0,10,10,1.0,True
climbed,6,4,10,-0.2,True
pointed,3,6,9,0.3333333333333333,True
kicked,8,1,9,-0.7777777777777778,True
everyone,1,8,9,0.7777777777777778,False
laid,9,0,9,-1.0,True
fled,2,7,9,0.5555555555555556,True
performed,0,9,9,1.0,True
cried,8,1,9,-0.7777777777777778,True
could,5,4,9,-0.1111111111111111,False
brought,4,5,9,0.1111111111111111,True
cursed,6,3,9,-0.3333333333333333,True
attacked,9,0,9,-1.0,True
burned,9,0,9,-1.0,True
raped,7,1,8,-0.75,True
decided,4,4,8,0.0,True
not,4,4,8,0.0,False
beat,6,2,8,-0.5,True
stuffed,1,7,8,0.75,True
checked,0,8,8,1.0,True
ready,2,6,8,0.5,False
amounted,8,0,8,-1.0,True
tied,4,4,8,0.0,True
spent,2,6,8,0.5,True
recited,1,7,8,0.75,True
fed,5,3,8,-0.25,True
ordered,4,4,8,0.0,True
forgot,0,7,7,1.0,True
built,7,0,7,-1.0,True
stormed,2,5,7,0.42857142857142855,True
just,2,5,7,0.42857142857142855,False
tagged,0,7,7,1.0,True
ducks,7,0,7,-1.0,False
applied,0,7,7,1.0,True
as,3,4,7,0.14285714285714285,False
erected,7,0,7,-1.0,True
shook,3,4,7,0.14285714285714285,True
grabbed,1,6,7,0.7142857142857143,True
ruined,6,0,6,-1.0,True
at,6,0,6,-1.0,False
from,6,0,6,-1.0,False
drinks,3,3,6,0.0,False
installed,0,6,6,1.0,True
scanned,0,6,6,1.0,True
heard,3,3,6,0.0,True
forced,2,4,6,0.3333333333333333,True
tucked,0,6,6,1.0,True
days,1,5,6,0.6666666666666666,False
more,1,5,6,0.6666666666666666,False
served,0,6,6,1.0,True
followed,3,3,6,0.0,True
kept,4,2,6,-0.3333333333333333,True
blew,4,2,6,-0.3333333333333333,True
ended,0,6,6,1.0,True
down,3,3,6,0.0,False
listened,3,3,6,0.0,True
spoke,3,3,6,0.0,True
sold,1,5,6,0.6666666666666666,True
deposited,4,2,6,-0.3333333333333333,True
spat,0,6,6,1.0,True
there,5,0,5,-1.0,False
snapped,1,4,5,0.6,True
rubbed,5,0,5,-1.0,True
stamp,4,1,5,-0.6,False
pinned,2,3,5,0.2,True
lay,3,2,5,-0.2,True
washed,4,1,5,-0.6,True
slid,3,2,5,-0.2,True
touched,4,1,5,-0.6,True
cleaned,1,4,5,0.6,True
counted,2,3,5,0.2,True
received,1,4,5,0.6,True
swept,3,2,5,-0.2,True
hid,2,3,5,0.2,True
accidentally,0,5,5,1.0,False
switched,5,0,5,-1.0,True
deleted,1,4,5,0.6,True
out,3,2,5,-0.2,False
send,3,2,5,-0.2,True
frowned,0,5,5,1.0,True
stopped,4,1,5,-0.6,True
wiped,2,3,5,0.2,True
flipped,3,2,5,-0.2,True
moved,3,2,5,-0.2,True
food,2,3,5,0.2,False
its,0,5,5,1.0,False
showed,5,0,5,-1.0,True
far,5,0,5,-1.0,False
shut,3,2,5,-0.2,True
why,5,0,5,-1.0,False
removed,4,1,5,-0.6,True
sticks,1,4,5,0.6,False
stroked,5,0,5,-1.0,True
wrecked,5,0,5,-1.0,True
gently,0,5,5,1.0,False
released,0,5,5,1.0,True
realised,4,0,4,-1.0,True
captioned,3,1,4,-0.5,True
meant,4,0,4,-1.0,True
indicates,4,0,4,-1.0,True
realizing,0,4,4,1.0,True
leave,0,4,4,1.0,True
hurled,2,2,4,0.0,True
legs,0,4,4,1.0,False
instead,4,0,4,-1.0,False
rang,1,3,4,0.5,True
being,1,3,4,0.5,False
wallpaper,1,3,4,0.5,False
scrolled,1,3,4,0.5,True
tracked,0,4,4,1.0,True
wanted,2,2,4,0.0,True
for,4,0,4,-1.0,False
anyone,2,2,4,0.0,False
funeral,4,0,4,-1.0,False
stamped,4,0,4,-1.0,True
yelled,2,2,4,0.0,True
copied,4,0,4,-1.0,True
forged,0,4,4,1.0,True
she'd,4,0,4,-1.0,False
dumped,4,0,4,-1.0,True
slashed,4,0,4,-1.0,True
police,3,1,4,-0.5,False
also,4,0,4,-1.0,False
fell,2,2,4,0.0,True
shoved,3,1,4,-0.5,True
only,3,1,4,-0.5,False
nodded,0,4,4,1.0,True
grinned,0,4,4,1.0,True
hay,1,3,4,0.5,False
ground,1,3,4,0.5,False
helped,0,4,4,1.0,True
sued,4,0,4,-1.0,True
you,4,0,4,-1.0,False
phone,1,3,4,0.5,False
heading,2,2,4,0.0,True
approve,0,4,4,1.0,True
desecrated,0,4,4,1.0,True
drank,3,1,4,-0.5,True
screamed,1,3,4,0.5,True
handcuffed,2,2,4,0.0,True
screwed,4,0,4,-1.0,True
crept,1,3,4,0.5,True
speaking,0,4,4,1.0,True
leg,3,0,3,-1.0,False
wrapped,0,3,3,1.0,True
worshipped,3,0,3,-1.0,True
were,1,2,3,0.3333333333333333,False
wore,1,2,3,0.3333333333333333,True
wondered,2,1,3,-0.3333333333333333,True
better,2,1,3,-0.3333333333333333,False
became,0,3,3,1.0,True
noted,2,1,3,-0.3333333333333333,True
towards,0,3,3,1.0,False
never,0,3,3,1.0,False
raised,2,1,3,-0.3333333333333333,True
neck,2,1,3,-0.3333333333333333,False
punching,3,0,3,-1.0,True
promptly,0,3,3,1.0,False
squeezed,1,2,3,0.3333333333333333,True
zipped,1,2,3,0.3333333333333333,True
borrowed,1,2,3,0.3333333333333333,True
father,2,1,3,-0.3333333333333333,False
take,0,3,3,1.0,True
covered,2,1,3,-0.3333333333333333,True
guided,0,3,3,1.0,True
shared,0,3,3,1.0,False
friends,1,2,3,0.3333333333333333,False
stopping,0,3,3,1.0,True
dates,0,3,3,1.0,False
stones,1,2,3,0.3333333333333333,False
faster,3,0,3,-1.0,False
text,3,0,3,-1.0,False
paused,0,3,3,1.0,True
still,2,1,3,-0.3333333333333333,False
slapped,3,0,3,-1.0,True
stepping,0,3,3,1.0,True
dialed,1,2,3,0.3333333333333333,True
entered,0,3,3,1.0,True
dressed,3,0,3,-1.0,True
drive,0,3,3,1.0,True
hurried,0,3,3,1.0,True
submit,0,3,3,1.0,True
that's,3,0,3,-1.0,False
changed,2,1,3,-0.3333333333333333,True
release,0,3,3,1.0,False
rode,3,0,3,-1.0,True
tore,0,3,3,1.0,True
carved,1,2,3,0.3333333333333333,True
carefully,1,2,3,0.3333333333333333,False
injected,3,0,3,-1.0,True
jerked,3,0,3,-1.0,True
restored,0,2,2,1.0,True
rifled,0,2,2,1.0,True
with,1,1,2,0.0,False
without,2,0,2,-1.0,False
throwing,1,1,2,0.0,True
thrust,2,0,2,-1.0,False
rested,1,1,2,0.0,True
polished,0,2,2,1.0,False
planted,1,1,2,0.0,True
slit,2,0,2,-1.0,False
some,1,1,2,0.0,False
trampled,0,2,2,1.0,True
sprayed,2,0,2,-1.0,True
your,2,0,2,-1.0,False
shielded,0,2,2,1.0,True
ripped,1,1,2,0.0,True
she's,2,0,2,-1.0,False
records,1,1,2,0.0,False
tested,0,2,2,1.0,True
taking,1,1,2,0.0,False
published,0,2,2,1.0,True
saved,0,2,2,1.0,True
provide,0,2,2,1.0,True
up,2,0,2,-1.0,False
saying,1,1,2,0.0,False
says,2,0,2,-1.0,True
presented,2,0,2,-1.0,True
verify,0,2,2,1.0,True
scribbled,0,2,2,1.0,True
prepared,0,2,2,1.0,True
rope,0,2,2,1.0,False
sealed,0,2,2,1.0,True
sell,2,0,2,-1.0,True
thought,1,1,2,0.0,True
stories,0,2,2,1.0,False
typed,2,0,2,-1.0,True
sailed,2,0,2,-1.0,True
___,2,0,2,-1.0,False
either,2,0,2,-1.0,False
glared,0,2,2,1.0,True
entering,2,0,2,-1.0,True
escorted,2,0,2,-1.0,True
evict,1,1,2,0.0,True
explained,1,1,2,0.0,True
exposed,0,2,2,1.0,True
eyes,2,0,2,-1.0,False
flicked,1,1,2,0.0,True
forth,1,1,2,0.0,False
gazed,0,2,2,1.0,True
give,1,1,2,0.0,True
glanced,0,2,2,1.0,True
gravy,1,1,2,0.0,False
later,0,2,2,1.0,False
has,2,0,2,-1.0,False
have,2,0,2,-1.0,False
he'd,2,0,2,-1.0,False
head,2,0,2,-1.0,False
heat,0,2,2,1.0,False
immediately,0,2,2,1.0,False
inserted,0,2,2,1.0,True
instructed,0,2,2,1.0,True
invested,1,1,2,0.0,True
invited,2,0,2,-1.0,True
kick,2,0,2,-1.0,True
dug,2,0,2,-1.0,True
drowned,1,1,2,0.0,True
drew,1,1,2,0.0,True
disappearing,0,2,2,1.0,True
across,2,0,2,-1.0,False
adjusted,1,1,2,0.0,True
aimed,0,2,2,1.0,True
and,2,0,2,-1.0,False
announced,2,0,2,-1.0,True
apologize,0,2,2,1.0,True
apply,2,0,2,-1.0,True
approached,0,2,2,1.0,True
arranged,0,2,2,1.0,True
arrest,1,1,2,0.0,False
asking,1,1,2,0.0,True
bench,0,2,2,1.0,False
bent,0,2,2,1.0,True
boarded,0,2,2,1.0,True
brushed,2,0,2,-1.0,True
buried,0,2,2,1.0,True
combed,2,0,2,-1.0,True
couldn't,0,2,2,1.0,False
cradled,0,2,2,1.0,True
crumpled,0,2,2,1.0,False
delivered,1,1,2,0.0,True
diagnosed,1,1,2,0.0,True
died,2,0,2,-1.0,True
knelt,0,2,2,1.0,True
my,1,1,2,0.0,False
locking,2,0,2,-1.0,True
number,0,2,2,1.0,False
make,0,2,2,1.0,True
of,1,1,2,0.0,False
marched,0,2,2,1.0,True
nights,1,1,2,0.0,False
mouth,1,1,2,0.0,False
____,2,0,2,-1.0,False
open,2,0,2,-1.0,False
chairs,0,1,1,1.0,False
calmly,0,1,1,1.0,False
cashed,1,0,1,-1.0,True
carrots,1,0,1,-1.0,False
change,1,0,1,-1.0,False
throttle,0,1,1,1.0,False
carb,1,0,1,-1.0,False
chanted,1,0,1,-1.0,True
car,1,0,1,-1.0,False
children,0,1,1,1.0,False
lived,1,0,1,-1.0,True
burnt,1,0,1,-1.0,False
tightened,1,0,1,-1.0,True
calling,1,0,1,-1.0,False
claimed,0,1,1,1.0,True
burial,1,0,1,-1.0,False
one,1,0,1,-1.0,False
brother-in-law,1,0,1,-1.0,False
toward,0,1,1,1.0,False
bolted,0,1,1,1.0,True
traced,0,1,1,1.0,True
boarding,0,1,1,1.0,False
pocket,1,0,1,-1.0,False
trousers,0,1,1,1.0,False
opening,1,0,1,-1.0,False
choked,0,1,1,1.0,True
texted,1,0,1,-1.0,True
close,0,1,1,1.0,False
sweep,0,1,1,1.0,False
declined,1,0,1,-1.0,True
daughter,1,0,1,-1.0,False
dated,0,1,1,1.0,True
danced,0,1,1,1.0,True
cupped,1,0,1,-1.0,True
cuffed,0,1,1,1.0,True
stuck,1,0,1,-1.0,True
created,0,1,1,1.0,True
create,0,1,1,1.0,True
numbers,0,1,1,1.0,False
post,1,0,1,-1.0,False
swam,1,0,1,-1.0,True
couldn,0,1,1,1.0,False
cold,1,0,1,-1.0,False
cornered,0,1,1,1.0,True
contributed,0,1,1,1.0,True
symbols,0,1,1,1.0,False
contradicted,0,1,1,1.0,True
connected,0,1,1,1.0,True
confirmed,0,1,1,1.0,True
talked,1,0,1,-1.0,True
temple,1,0,1,-1.0,False
testament,1,0,1,-1.0,False
occurred,1,0,1,-1.0,True
collapsed,0,1,1,1.0,True
begged,0,1,1,1.0,True
turn,1,0,1,-1.0,True
away,0,1,1,1.0,False
back,1,0,1,-1.0,False
all,0,1,1,1.0,False
ankle,1,0,1,-1.0,False
passed,0,1,1,1.0,True
an,1,0,1,-1.0,False
wife,1,0,1,-1.0,False
will,1,0,1,-1.0,False
window,0,1,1,1.0,False
windows,1,0,1,-1.0,False
winked,0,1,1,1.0,True
altars,1,0,1,-1.0,False
allegedly,1,0,1,-1.0,False
withdrew,1,0,1,-1.0,True
alleged,1,0,1,-1.0,False
woke,1,0,1,-1.0,True
people,1,0,1,-1.0,False
delete,1,0,1,-1.0,True
agreed,0,1,1,1.0,True
again,1,0,1,-1.0,False
after,0,1,1,1.0,False
wound,1,0,1,-1.0,False
admired,0,1,1,1.0,True
peered,0,1,1,1.0,True
wrestled,1,0,1,-1.0,True
write,1,0,1,-1.0,True
addresses,1,0,1,-1.0,True
yanked,0,1,1,1.0,True
actually,1,0,1,-1.0,False
pay,1,0,1,-1.0,True
accept,0,1,1,1.0,True
packed,0,1,1,1.0,True
answering,0,1,1,1.0,False
wept,1,0,1,-1.0,True
picked,1,0,1,-1.0,True
attended,1,0,1,-1.0,True
uncovered,0,1,1,1.0,True
under,1,0,1,-1.0,False
undid,1,0,1,-1.0,True
unearthed,0,1,1,1.0,True
unlocked,1,0,1,-1.0,True
attached,1,0,1,-1.0,True
urinal,1,0,1,-1.0,False
urinated,0,1,1,1.0,True
use,0,1,1,1.0,True
assisted,0,1,1,1.0,True
vehicle,0,1,1,1.0,False
other,0,1,1,1.0,False
vote,1,0,1,-1.0,False
plans,0,1,1,1.0,False
planned,0,1,1,1.0,True
arm,1,0,1,-1.0,False
argued,0,1,1,1.0,True
are,1,0,1,-1.0,False
warmth,0,1,1,1.0,False
warned,0,1,1,1.0,True
approaching,1,0,1,-1.0,True
others,0,1,1,1.0,False
over,1,0,1,-1.0,False
water,1,0,1,-1.0,False
apologized,0,1,1,1.0,True
weeks,1,0,1,-1.0,False
defecated,0,1,1,1.0,True
descended,0,1,1,1.0,True
nose,1,0,1,-1.0,False
shaved,1,0,1,-1.0,True
sanded,1,0,1,-1.0,True
raises,0,1,1,1.0,True
ignored,0,1,1,1.0,True
hugged,1,0,1,-1.0,True
hidden,0,1,1,1.0,True
massaged,0,1,1,1.0,True
rain,0,1,1,1.0,False
raced,1,0,1,-1.0,True
quiet,0,1,1,1.0,False
quickly,0,1,1,1.0,False
screensaver,1,0,1,-1.0,False
half,0,1,1,1.0,False
hacked,1,0,1,-1.0,True
groped,1,0,1,-1.0,True
putting,1,0,1,-1.0,True
searched,1,0,1,-1.0,True
security,1,0,1,-1.0,False
seeing,1,0,1,-1.0,True
me,1,0,1,-1.0,False
means,1,0,1,-1.0,True
miss,1,0,1,-1.0,True
serve,0,1,1,1.0,True
getting,0,1,1,1.0,True
monitored,0,1,1,1.0,True
settled,0,1,1,1.0,True
shaking,0,1,1,1.0,True
gasped,0,1,1,1.0,True
saluted,1,0,1,-1.0,True
implies,0,1,1,1.0,True
indicated,1,0,1,-1.0,True
replied,0,1,1,1.0,True
really,1,0,1,-1.0,False
reapply,0,1,1,1.0,True
recalculate,0,1,1,1.0,True
learned,1,0,1,-1.0,True
leaped,0,1,1,1.0,True
leaning,0,1,1,1.0,True
refilled,0,1,1,1.0,True
reflected,0,1,1,1.0,True
landed,0,1,1,1.0,True
lunged,0,1,1,1.0,True
renew,0,1,1,1.0,True
kill,1,0,1,-1.0,True
required,1,0,1,-1.0,True
running,1,0,1,-1.0,False
residents,1,0,1,-1.0,False
jumped,1,0,1,-1.0,True
resulted,1,0,1,-1.0,True
return,0,1,1,1.0,True
it's,1,0,1,-1.0,False
returning,1,0,1,-1.0,True
review,0,1,1,1.0,False
re,0,1,1,1.0,False
married,1,0,1,-1.0,False
marry,1,0,1,-1.0,True
inscription,1,0,1,-1.0,False
inscribed,1,0,1,-1.0,True
fresh,1,0,1,-1.0,False
pumped,1,0,1,-1.0,True
departing,0,1,1,1.0,True
flung,1,0,1,-1.0,True
eating,1,0,1,-1.0,True
easier,1,0,1,-1.0,False
sorted,0,1,1,1.0,True
sparks,0,1,1,1.0,False
promoted,1,0,1,-1.0,True
duck,1,0,1,-1.0,False
sped,0,1,1,1.0,True
dryer,1,0,1,-1.0,False
name,1,0,1,-1.0,False
spooned,1,0,1,-1.0,True
drop,0,1,1,1.0,True
spread,0,1,1,1.0,True
sprinkled,1,0,1,-1.0,True
sprinted,0,1,1,1.0,True
named,1,0,1,-1.0,True
squinted,0,1,1,1.0,True
draped,0,1,1,1.0,True
stalking,0,1,1,1.0,True
downloaded,1,0,1,-1.0,True
neighbours,1,0,1,-1.0,False
prescribed,0,1,1,1.0,True
stated,1,0,1,-1.0,True
steal,0,1,1,1.0,True
dhoti,1,0,1,-1.0,False
determined,0,1,1,1.0,True
destroyed,0,1,1,1.0,True
lifted,1,0,1,-1.0,True
pausing,0,1,1,1.0,True
snuggled,0,1,1,1.0,True
snorted,1,0,1,-1.0,True
siblings,0,1,1,1.0,False
mother,1,0,1,-1.0,False
fire,1,0,1,-1.0,False
shone,0,1,1,1.0,True
finishing,0,1,1,1.0,True
shoot,1,0,1,-1.0,True
finally,1,0,1,-1.0,False
shoulder,1,0,1,-1.0,False
files,0,1,1,1.0,False
feet,1,0,1,-1.0,False
shoving,1,0,1,-1.0,True
fax,1,0,1,-1.0,False
failed,0,1,1,1.0,True
faces,0,1,1,1.0,False
elbow,1,0,1,-1.0,False
facebook,1,0,1,-1.0,False
pull,0,1,1,1.0,True
sipped,1,0,1,-1.0,True
sister,0,1,1,1.0,False
provided,0,1,1,1.0,True
mr,1,0,1,-1.0,False
sliced,1,0,1,-1.0,False
eventually,0,1,1,1.0,False
even,1,0,1,-1.0,False
proudly,0,1,1,1.0,False
smashing,1,0,1,-1.0,False
emerged,0,1,1,1.0,True
patted,0,1,1,1.0,True
