stratum,pair,overall,fr,rf,diff,min_cell,p,rank,bonferroni,bh,sparse_cells
UNMARKED,strong x generic,-3.804656482347077,-2.6182382507660034,-4.170556918484868,1.5523186677188647,2,0.057788442311537694,47,False,False,True
UNMARKED,strong x speech,-1.2652689599686369,0.2781737089601884,-1.8736911030553887,2.151864812015577,3,0.0647870425914817,48,False,False,True
MARKED,punish x speech,-1.4592149233005556,-2.1394956092651753,-0.878399641456881,-1.2610959678082945,3,0.0649870025994801,49,False,False,True
MARKED,speech x bare,-0.3015645913525897,-0.5428042548143297,0.11609971444673495,-0.6589039692610646,33,0.0655868826234753,50,False,False,False
MARKED,strong x subst,-2.553038509548292,-1.507843879571751,-2.9585724777360625,1.4507285981643114,3,0.06898620275944811,51,False,False,True
MARKED,strong x generic,-4.1514656997664146,-3.024534264457697,-4.618334096599401,1.5937998321417042,4,0.07078584283143372,52,False,False,True
MARKED,continues x subst,-0.6756013031117465,-0.48558152988684283,-0.8670076345862016,0.3814261046993587,87,0.07578484303139373,53,False,False,False
MARKED,generic x subst,0.7747168909578259,0.5869125949060747,0.966062280349872,-0.37914968544379724,87,0.07798440311937613,54,False,False,False
ALL,continues x subst,-0.37681512635334746,-0.20585501046819302,-0.5576512597417589,0.3517962492735659,121,0.08258348330333934,55,False,False,False
MARKED,continues x speech,0.37756164391691743,0.7222680852792757,-0.06028753907212213,0.7825556243513978,39,0.08818236352729454,56,False,False,False
MARKED,strong x diff_reg,-0.015384918839479456,-1.6454022318958696,0.33217936848912133,-1.9775816003849909,0,0.08858228354329134,57,False,False,True
UNMARKED,strong x bare,-1.5848413798102179,-0.921601178792777,-1.7711863707654312,0.8495851919726541,6,0.10157968406318736,58,False,False,True
MARKED,strong x speech,-1.0363453773421427,-1.8005903224621507,-0.4599853276250297,-1.340604994837121,2,0.10377924415116976,59,False,False,True
UNMARKED,diff_reg x bare,-0.6541975495242794,-1.519770210111088,-0.5582952080857151,-0.9614750020253728,1,0.11237752449510098,60,False,False,True
MARKED,mild x punish,-3.660847251601651,-2.7068489582060984,-4.762663993614621,2.0558150354085223,0,0.11317736452709458,61,False,False,True
UNMARKED,continues x subst,-0.16794724824934576,0.10545161675853454,-0.4756752882575348,0.5811269050160693,34,0.11377724455108978,62,False,False,False
UNMARKED,same_pitch x diff_reg,-1.8830006743933991,-0.8559447753717656,-2.0452985619693456,1.18935378659758,2,0.11817636472705459,63,False,False,True
UNMARKED,diff_reg x speech,-0.08881481825984477,1.0449081096962487,-0.4316072144341762,1.476515324130425,2,0.125374925014997,64,False,False,True
UNMARKED,generic x speech,-0.16796095680037612,-0.43340220365941845,0.02283799797388694,-0.45624020163330536,77,0.1367726454709058,65,False,False,False
ALL,diff_reg x punish,0.30726331985826494,-0.8082324665520964,0.23834120494245428,-1.0465736714945506,1,0.16876624675064986,66,False,False,True
ALL,speech x subst,-5.098282443367807,-4.516708320242628,-4.291201791567166,-0.22550652867546273,0,0.17616476704659068,67,False,False,True
ALL,strong x subst,-2.1551025512717725,-1.4235889009703728,-2.353773108515652,0.9301842075452791,3,0.20575884823035392,68,False,False,True
MARKED,generic x bare,1.213532001295576,1.0847550956357004,1.3720659530533723,-0.2873108574176719,197,0.25154969006198763,69,False,False,False
MARKED,bare x subst,-1.1918765400717521,-1.070013536769482,-1.3243145086301005,0.2543009718606184,22,0.2585482903419316,70,False,False,False
UNMARKED,continues x speech,0.1856779864164167,0.4059834146928167,0.05142765435180955,0.3545557603410071,79,0.26034793041391724,71,False,False,False
UNMARKED,same_pitch x continues,0.9834120000877763,1.079912030976902,0.8771462560862946,0.20276577489060732,296,0.28074385122975404,72,False,False,False
MARKED,diff_reg x punish,-0.2309805090926184,-1.185889718113493,0.12129023131495854,-1.3071799494284517,1,0.3037392521495701,73,False,False,True
MARKED,continues x bare,-1.1811941302584243,-1.0671716028337779,-1.3217735830800084,0.2546019802462305,187,0.31333733253349333,74,False,False,False
MARKED,mild x subst,-1.1189951599353103,-1.386487227217843,-0.5940006551003477,-0.7924865721174953,7,0.3197360527894421,75,False,False,True
UNMARKED,punish x bare,-1.3912083254400716,-1.049714176393204,-1.50464008636514,0.4549259099719358,6,0.34273145370925817,76,False,False,True
ALL,mild x subst,-0.9094332706872043,-1.0922755763298608,-0.5187514336692427,-0.5735241426606181,9,0.35112977404519097,77,False,False,True
UNMARKED,continues x punish,2.3684846558793446,2.089983980123912,2.551662441047556,-0.4616784609236442,4,0.38452309538092383,78,False,False,True
MARKED,same_pitch x bare,-1.474041966320613,-1.5410509905012049,-1.4028376578796635,-0.13821333262154134,99,0.393121375724855,79,False,False,False
ALL,punish x speech,-1.7477056203074408,-2.109426263888907,-1.6253855231217509,-0.4840407407671563,3,0.43331333733253347,80,False,False,True
MARKED,mild x speech,1.5213955105321513,1.281863783306174,1.6588084853982161,-0.3769447020920422,23,0.4505098980203959,81,False,False,False
MARKED,punish x subst,-3.1884707271852797,-2.5455183480065915,-3.4365498746853222,0.8910315266787308,2,0.46910617876424715,82,False,False,True
MARKED,diff_reg x subst,-3.0154694647544797,-2.450750266936593,-2.2027308841546893,-0.24801938278190372,0,0.490501899620076,83,False,False,True
UNMARKED,same_pitch x speech,0.21530528542030133,0.33365683591862033,0.14642462366415612,0.1872322122544642,81,0.4931013797240552,84,False,False,False
ALL,generic x bare,1.3124065401166436,1.2599347537334074,1.3709333637151453,-0.11099860998173794,390,0.5172965406918616,85,False,False,False
ALL,punish x subst,-2.8314469115281082,-2.3347404116768495,-2.9627702257062785,0.6280298140294289,2,0.524495100979804,86,False,False,True
MARKED,same_pitch x subst,2.917875125512501,2.771870354702107,3.060465683042976,-0.2885953283408691,17,0.530493901219756,87,False,False,False
ALL,mild x diff_reg,0.5886880704556015,1.0799500787191605,0.6990728987276692,0.3808771799914913,9,0.5516896620675865,88,False,False,True
ALL,same_pitch x subst,2.9377093402651635,2.833087893779165,3.0330452608451446,-0.19995736706597977,27,0.5780843831233753,89,False,False,False
ALL,continues x bare,-1.278504263988264,-1.2316986986837581,-1.327073904142496,0.09537520545873779,379,0.5796840631873625,90,False,False,False
MARKED,diff_reg x speech,1.184187568182877,1.3734803082474134,0.8716543652784292,0.5018259429689842,4,0.5802839432113577,91,False,False,True
UNMARKED,continues x bare,-1.2706058057515768,-1.3267771570098772,-1.2122795397937323,-0.11449761721614493,179,0.6102779444111178,92,False,False,False
ALL,bare x subst,-1.1129642291639927,-1.0649235116070463,-1.1577197027272927,0.0927961911202464,51,0.6300739852029594,93,False,False,False
ALL,diff_reg x bare,-0.47940385009071995,-0.635337667327641,-0.40648115438511107,-0.2288565129425299,11,0.6312737452509498,94,False,False,False
UNMARKED,same_pitch x bare,-1.8850612003997052,-1.8530477794118037,-1.915761465175297,0.06271368576349334,116,0.634873025394921,95,False,False,False
UNMARKED,generic x bare,1.307639797102834,1.3550938753456256,1.2582648334138908,0.0968290419317348,193,0.667866426714657,96,False,False,False
UNMARKED,mild x subst,-0.7412811049595724,-0.7822451750537358,-0.48167938757016093,-0.3005657874835749,2,0.7202559488102379,97,False,False,True
ALL,same_pitch x bare,-1.6784049815221802,-1.6927890718166456,-1.6625979617237845,-0.03019111009286113,215,0.7596480703859229,98,False,False,False
ALL,same_pitch x diff_reg,-2.1445354890408197,-1.977649547486269,-2.151239713975281,0.17359016648901204,4,0.7718456308738252,99,False,False,True
ALL,mild x speech,1.0489623178637608,1.0948619596032734,0.982237860633105,0.11262409897016834,35,0.7822435512897421,100,False,False,False
MARKED,strong x continues,3.3343934009515612,3.117615312988942,3.365743034643413,-0.24812772165447106,4,0.8022395520895821,101,False,False,True
MARKED,same_pitch x diff_reg,-2.3920430249325886,-2.404480178425208,-2.1795233035947277,-0.2249568748304802,2,0.8052389522095581,102,False,False,True
MARKED,diff_reg x bare,-0.27856370311494316,-0.19034930666628752,-0.3414981512609712,0.1511488445946837,8,0.8116376724655069,103,False,False,True
UNMARKED,mild x speech,0.5141238760956685,0.6861427917227508,0.5879516269612195,0.09819116476153134,12,0.8884223155368927,104,False,False,False
ALL,strong x continues,3.102916869549804,3.1259949492039825,3.190834658822774,-0.06483970961879137,6,0.8962207558488302,105,False,False,True
MARKED,mild x diff_reg,0.8008485409212666,0.8711733511395783,0.7688761461030418,0.1022972050365365,4,0.9032193561287742,106,False,False,True
UNMARKED,bare x subst,-0.8754158917883272,-0.8862723023883063,-0.8529261076751888,-0.033346194713117505,28,0.9120175964807039,107,False,False,False
ALL,strong x speech,-1.1699320848959964,-1.0688768228259171,-1.169303847843803,0.10042702501788581,5,0.9262147570485902,108,False,False,True
UNMARKED,strong x diff_reg,1.5744980045392374,1.0715149491099374,1.1537776007951286,-0.0822626516851912,0,0.9280143971205759,109,False,False,True
UNMARKED,mild x diff_reg,0.3125645342665215,0.9011211548786536,0.9590940682252672,-0.057972913346613586,2,0.9408118376324736,110,False,False,True
UNMARKED,diff_reg x punish,1.403725647497858,0.9697132770718184,1.0317149581934966,-0.06200168112167814,0,0.9502099580083984,111,False,False,True
UNMARKED,punish x subst,-2.1657157820407185,-1.5267472507846593,-1.9962839060217683,0.46953665523710897,0,0.9650069986002799,112,False,False,True
MARKED,same_pitch x speech,-0.20134476478811106,-0.22831064594969155,-0.21101864928526393,-0.017291996664427628,35,0.9668066386722656,113,False,False,False
UNMARKED,strong x subst,-1.4615723083899543,-1.4248311710672463,-1.3401896144174155,-0.08464155664983086,0,0.9734053189362127,114,False,False,True
UNMARKED,strong x continues,2.512373273820546,2.641405622995484,2.65539561680711,-0.013989993811625911,2,0.9794041191761648,115,False,False,True
ALL,same_pitch x speech,0.02950229090299689,0.029628721912219873,0.022915383440662903,0.00671333847155697,132,0.9802039592081584,116,False,False,False
UNMARKED,same_pitch x subst,2.9990113744582727,2.9815423808607444,2.9733238128703356,0.008218567990408765,9,0.9874025194961008,117,False,False,True
