a,b,cos,jaccard,n_a,n_b,open_a,open_b
verbnet:run,wordnet:motion,0.0102386474609375,0.09821428571428571,34,89,1.0,1.0
framenet:Statement,verbnet:say,0.010334789752960205,0.1791044776119403,54,25,1.0,1.0
framenet:Communication_noise,verbnet:animal_sounds,0.010335028171539307,0.5,27,18,1.0,1.0
framenet:Body_movement,usas:M2,0.010387122631072998,0.11475409836065574,47,89,1.0,1.0
framenet:Placing,induced:object_handling,0.010437846183776855,0.061068702290076333,34,105,1.0,1.0
usas:M1,verbnet:escape,0.010539054870605469,0.21367521367521367,113,29,0.9911504424778761,1.0
rid:instrumental_behavior,usas:A1.1.1,0.010577559471130371,0.05202312138728324,92,90,0.9891304347826086,0.9444444444444444
framenet:Self_motion,rid:defensive_symbolization,0.010593891143798828,0.024193548387096774,68,59,1.0,1.0
rid:icarian_imagery,usas:A1.1.1,0.010673046112060547,0.032432432432432434,101,90,0.9900990099009901,0.9444444444444444
framenet:Self_motion,induced:object_handling,0.01069784164428711,0.0,68,105,1.0,1.0
rid:sensation,usas:A1.1.1,0.010708391666412354,0.01507537688442211,112,90,1.0,0.9444444444444444
framenet:Self_motion,rid:sensation,0.010733246803283691,0.0,68,112,1.0,1.0
induced:object_handling,wordnet:communication,0.010735034942626953,0.0,105,68,1.0,0.9705882352941176
framenet:Statement,usas:Q2.1,0.010875403881072998,0.24285714285714285,54,33,1.0,1.0
rid:sensation,verbnet:other_cos,0.011000096797943115,0.02027027027027027,112,39,1.0,1.0
induced:procedural_operation,usas:Q1.2,0.011011719703674316,0.15492957746478872,52,30,1.0,1.0
usas:A9,wordnet:possession,0.011042296886444092,0.14606741573033707,70,32,0.9285714285714286,0.90625
rid:sensation,verbnet:crane,0.011058628559112549,0.03007518796992481,112,25,1.0,1.0
rid:icarian_imagery,verbnet:other_cos,0.011101186275482178,0.04477611940298507,101,39,0.9900990099009901,1.0
rid:aggression,wordnet:contact,0.011129438877105713,0.06878306878306878,83,119,0.9879518072289156,1.0
framenet:Cause_harm,usas:A1.1.2,0.011143922805786133,0.14925373134328357,45,32,1.0,1.0
rid:sensation,wordnet:motion,0.011181175708770752,0.0,112,89,1.0,1.0
induced:object_handling,usas:A1.1.1,0.011198937892913818,0.10795454545454546,105,90,1.0,0.9444444444444444
rid:instrumental_behavior,verbnet:get,0.011216402053833008,0.08928571428571429,92,30,0.9891304347826086,1.0
framenet:Body_movement,wordnet:contact,0.011268258094787598,0.05063291139240506,47,119,1.0,1.0
induced:procedural_operation,wordnet:communication,0.011295557022094727,0.08108108108108109,52,68,1.0,0.9705882352941176
induced:locomotion_posture,usas:M1,0.011326074600219727,0.2,67,113,1.0,0.9911504424778761
framenet:Placing,wordnet:motion,0.01137697696685791,0.0,34,89,1.0,1.0
usas:A1.1.1,verbnet:build,0.01139986515045166,0.09433962264150944,90,26,0.9444444444444444,1.0
framenet:Perception_active,rid:sensation,0.011407673358917236,0.10569105691056911,24,112,1.0,1.0
framenet:Body_movement,wordnet:motion,0.011412382125854492,0.07086614173228346,47,89,1.0,1.0
rid:sensation,wordnet:contact,0.011457383632659912,0.03125,112,119,1.0,1.0
framenet:Self_motion,rid:aggression,0.011490464210510254,0.013422818791946308,68,83,1.0,0.9879518072289156
induced:object_handling,verbnet:crane,0.011738181114196777,0.04,105,25,1.0,1.0
induced:perception_cognition,wordnet:change,0.011782526969909668,0.012048192771084338,49,35,1.0,0.9714285714285714
rid:defensive_symbolization,verbnet:amuse,0.011785387992858887,0.05714285714285714,59,52,1.0,0.9807692307692307
rid:icarian_imagery,wordnet:motion,0.011799454689025879,0.07954545454545454,101,89,0.9900990099009901,1.0
rid:icarian_imagery,verbnet:amuse,0.0118485689163208,0.026845637583892617,101,52,0.9900990099009901,0.9807692307692307
rid:defensive_symbolization,usas:M2,0.011876463890075684,0.04225352112676056,59,89,1.0,1.0
rid:defensive_symbolization,wordnet:motion,0.011913836002349854,0.03496503496503497,59,89,1.0,1.0
rid:defensive_symbolization,usas:M1,0.0119171142578125,0.05521472392638037,59,113,1.0,0.9911504424778761
verbnet:run,wordnet:contact,0.011966466903686523,0.0,34,119,1.0,1.0
induced:object_handling,rid:sensation,0.012044131755828857,0.004629629629629629,105,112,1.0,1.0
rid:aggression,usas:M2,0.01205533742904663,0.01775147928994083,83,89,0.9879518072289156,1.0
rid:aggression,verbnet:other_cos,0.012226581573486328,0.0,83,39,0.9879518072289156,1.0
framenet:Body_movement,verbnet:crane,0.012270569801330566,0.1076923076923077,47,25,1.0,1.0
induced:bodily_violence,rid:aggression,0.01227492094039917,0.13541666666666666,26,83,1.0,0.9879518072289156
induced:locomotion_posture,verbnet:run,0.01228111982345581,0.12222222222222222,67,34,1.0,1.0
framenet:Self_motion,verbnet:crane,0.012352406978607178,0.0,68,25,1.0,1.0
induced:locomotion_posture,wordnet:communication,0.012352705001831055,0.0,67,68,1.0,0.9705882352941176
framenet:Self_motion,usas:A1.1.1,0.012357115745544434,0.01282051282051282,68,90,1.0,0.9444444444444444
rid:aggression,verbnet:crane,0.01240915060043335,0.009345794392523364,83,25,0.9879518072289156,1.0
rid:regressive_cognition,usas:M1,0.012458086013793945,0.03125,118,113,0.8813559322033898,0.9911504424778761
framenet:Placing,induced:locomotion_posture,0.012458205223083496,0.030612244897959183,34,67,1.0,1.0
framenet:Body_movement,rid:sensation,0.012461543083190918,0.019230769230769232,47,112,1.0,1.0
framenet:Body_movement,rid:aggression,0.012481093406677246,0.0,47,83,1.0,0.9879518072289156
framenet:Attaching,verbnet:tape,0.01249086856842041,0.2727272727272727,14,14,1.0,1.0
usas:A1.1.1,verbnet:amuse,0.012494266033172607,0.02158273381294964,90,52,0.9444444444444444,0.9807692307692307
induced:property_damage,wordnet:contact,0.012531399726867676,0.07142857142857142,16,119,1.0,1.0
usas:Q2.2,wordnet:communication,0.012550830841064453,0.11764705882352941,103,68,1.0,0.9705882352941176
usas:A1.1.1,wordnet:contact,0.012561321258544922,0.08290155440414508,90,119,0.9444444444444444,1.0
rid:sensation,verbnet:amuse,0.012599825859069824,0.031446540880503145,112,52,1.0,0.9807692307692307
rid:defensive_symbolization,wordnet:contact,0.012602388858795166,0.03488372093023256,59,119,1.0,1.0
rid:sensation,wordnet:change,0.012640833854675293,0.0,112,35,1.0,0.9714285714285714
verbnet:crane,wordnet:motion,0.012669086456298828,0.02702702702702703,25,89,1.0,1.0
rid:social_behavior,usas:A9,0.012676537036895752,0.03553299492385787,134,70,1.0,0.9285714285714286
induced:object_handling,rid:defensive_symbolization,0.012744903564453125,0.0379746835443038,105,59,1.0,1.0
rid:sensation,usas:M1,0.012766838073730469,0.008968609865470852,112,113,1.0,0.9911504424778761
usas:A1.1.1,verbnet:other_cos,0.01279360055923462,0.023809523809523808,90,39,0.9444444444444444,1.0
induced:object_handling,wordnet:perception,0.012829899787902832,0.015267175572519083,105,28,1.0,1.0
framenet:Body_movement,rid:defensive_symbolization,0.012914776802062988,0.08163265306122448,47,59,1.0,1.0
usas:M1,verbnet:amuse,0.012924492359161377,0.012269938650306749,113,52,0.9911504424778761,0.9807692307692307
usas:X2.4,verbnet:investigate,0.012947261333465576,0.2962962962962963,23,12,1.0,1.0
rid:regressive_cognition,usas:A1.1.1,0.012963950634002686,0.03482587064676617,118,90,0.8813559322033898,0.9444444444444444
rid:restraint,usas:Q2.2,0.012968301773071289,0.014492753623188406,37,103,0.972972972972973,1.0
framenet:Self_motion,verbnet:other_cos,0.01296907663345337,0.0,68,39,1.0,1.0
induced:procedural_operation,rid:social_behavior,0.012984514236450195,0.02197802197802198,52,134,1.0,1.0
rid:restraint,usas:A1.1.1,0.01301431655883789,0.0,37,90,0.972972972972973,0.9444444444444444
framenet:Communication_noise,verbnet:nonverbal_expression,0.013035595417022705,0.08888888888888889,27,22,1.0,1.0
usas:A1.1.1,wordnet:motion,0.013049781322479248,0.017045454545454544,90,89,0.9444444444444444,1.0
rid:social_behavior,wordnet:communication,0.01310431957244873,0.11602209944751381,134,68,1.0,0.9705882352941176
usas:M2,wordnet:motion,0.013114094734191895,0.07228915662650602,89,89,1.0,1.0
induced:perception_cognition,wordnet:cognition,0.013137221336364746,0.2222222222222222,49,17,1.0,1.0
verbnet:other_cos,wordnet:change,0.013156592845916748,0.027777777777777776,39,35,1.0,0.9714285714285714
induced:procedural_operation,usas:Q2.2,0.013185560703277588,0.019736842105263157,52,103,1.0,1.0
verbnet:other_cos,wordnet:contact,0.013192951679229736,0.01282051282051282,39,119,1.0,1.0
usas:Z5,wordnet:unassigned,0.013277173042297363,0.1619718309859155,45,120,0.2222222222222222,0.4583333333333333
rid:aggression,usas:M1,0.013302206993103027,0.0,83,113,0.9879518072289156,0.9911504424778761
usas:M2,verbnet:carry,0.013334214687347412,0.17777777777777778,89,17,1.0,1.0
framenet:Body_movement,induced:object_handling,0.013359665870666504,0.07801418439716312,47,105,1.0,1.0
gi_primary:Quan,wordnet:unassigned,0.013457298278808594,0.0975609756097561,60,120,0.6166666666666667,0.4583333333333333
induced:object_handling,rid:aggression,0.013488829135894775,0.0053475935828877,105,83,1.0,0.9879518072289156
rid:sensation,wordnet:perception,0.013524234294891357,0.09375,112,28,1.0,1.0
rid:aggression,usas:E3,0.013532280921936035,0.14563106796116504,83,35,0.9879518072289156,1.0
rid:instrumental_behavior,usas:Q2.2,0.013578176498413086,0.020942408376963352,92,103,0.9891304347826086,1.0
induced:transfer_possession,usas:A9,0.013629555702209473,0.11235955056179775,29,70,1.0,0.9285714285714286
induced:object_handling,usas:M2,0.013643741607666016,0.1411764705882353,105,89,1.0,1.0
framenet:Self_motion,usas:A1.1.2,0.013654232025146484,0.0,68,32,1.0,1.0
rid:icarian_imagery,wordnet:contact,0.013678431510925293,0.04265402843601896,101,119,0.9900990099009901,1.0
rid:icarian_imagery,verbnet:crane,0.01368016004562378,0.008,101,25,0.9900990099009901,1.0
usas:Q2.2,verbnet:judgement,0.013687431812286377,0.059322033898305086,103,22,1.0,1.0
framenet:Filling,induced:object_handling,0.01369398832321167,0.08771929824561403,19,105,1.0,1.0
induced:object_handling,verbnet:other_cos,0.013696074485778809,0.02127659574468085,105,39,1.0,1.0
usas:A1.1.1,verbnet:crane,0.013758063316345215,0.036036036036036036,90,25,0.9444444444444444,1.0
induced:locomotion_posture,rid:sensation,0.013774514198303223,0.0,67,112,1.0,1.0
usas:A1.1.2,verbnet:crane,0.013780355453491211,0.0,32,25,1.0,1.0
framenet:Posture,verbnet:assuming_position,0.013801813125610352,0.5,14,19,1.0,1.0
usas:A1.1.2,verbnet:break,0.013803541660308838,0.2972972972972973,32,16,1.0,1.0
rid:instrumental_behavior,usas:M2,0.013828456401824951,0.022598870056497175,92,89,0.9891304347826086,1.0
framenet:Body_movement,usas:A1.1.1,0.013850212097167969,0.014814814814814815,47,90,1.0,0.9444444444444444
induced:nonverbal_expression,verbnet:nonverbal_expression,0.013862371444702148,0.21212121212121213,18,22,1.0,1.0
rid:restraint,usas:A10,0.013875842094421387,0.05555555555555555,37,39,0.972972972972973,1.0
framenet:Placing,rid:sensation,0.01388317346572876,0.02097902097902098,34,112,1.0,1.0
framenet:Communication_manner,rid:expressive_behavior,0.013941347599029541,0.25,12,23,1.0,1.0
rid:expressive_behavior,verbnet:manner_speaking,0.013972222805023193,0.28125,23,18,1.0,1.0
rid:sensation,usas:A10,0.013982772827148438,0.0,112,39,1.0,1.0
framenet:Body_movement,usas:M1,0.0140114426612854,0.05263157894736842,47,113,1.0,0.9911504424778761
rid:aggression,wordnet:motion,0.014024555683135986,0.011764705882352941,83,89,0.9879518072289156,1.0
rid:sensation,usas:M2,0.014056205749511719,0.0,112,89,1.0,1.0
framenet:Manipulation,verbnet:crane,0.014058530330657959,0.0,38,25,1.0,1.0
usas:M1,verbnet:calibratable_cos,0.014078080654144287,0.08130081300813008,113,20,0.9911504424778761,1.0
rid:defensive_symbolization,usas:A10,0.014103889465332031,0.0,59,39,1.0,1.0
rid:icarian_imagery,verbnet:butter,0.01411283016204834,0.04310344827586207,101,20,0.9900990099009901,1.0
verbnet:judgement,wordnet:communication,0.014156341552734375,0.022727272727272728,22,68,1.0,0.9705882352941176
usas:A1.1.2,wordnet:contact,0.014175713062286377,0.027210884353741496,32,119,1.0,1.0
gi_primary:TimeSpc,induced:grammatical_function,0.014179706573486328,0.12738853503184713,77,100,0.6363636363636364,0.42
framenet:Self_motion,wordnet:change,0.014245748519897461,0.0,68,35,1.0,0.9714285714285714
framenet:Self_motion,usas:M2,0.014274656772613525,0.0,68,89,1.0,1.0
induced:object_handling,rid:icarian_imagery,0.014295458793640137,0.07853403141361257,105,101,1.0,0.9900990099009901
framenet:Cause_harm,verbnet:crane,0.014343202114105225,0.04477611940298507,45,25,1.0,1.0
framenet:Manipulation,induced:object_handling,0.014393985271453857,0.036231884057971016,38,105,1.0,1.0
usas:M2,verbnet:build,0.014399886131286621,0.008771929824561403,89,26,1.0,1.0
usas:A1.7,wordnet:contact,0.014407157897949219,0.05303030303030303,20,119,1.0,1.0
rid:aggression,usas:Q2.2,0.014433860778808594,0.0449438202247191,83,103,0.9879518072289156,1.0
induced:procedural_operation,wordnet:change,0.014441132545471191,0.023529411764705882,52,35,1.0,0.9714285714285714
gi_primary:Quan,usas:N5,0.0144500732421875,0.2028985507246377,60,23,0.6166666666666667,0.782608695652174
rid:instrumental_behavior,usas:A10,0.01446378231048584,0.0234375,92,39,0.9891304347826086,1.0
rid:regressive_cognition,usas:M6,0.014465093612670898,0.07462686567164178,118,26,0.8813559322033898,0.6923076923076923
induced:speech_act,rid:social_behavior,0.014468252658843994,0.13815789473684212,39,134,1.0,1.0
framenet:Body_movement,rid:need,0.014504194259643555,0.0,47,70,1.0,1.0
induced:object_handling,usas:A1.7,0.014557600021362305,0.041666666666666664,105,20,1.0,1.0
verbnet:tape,wordnet:contact,0.014557719230651855,0.05555555555555555,14,119,1.0,1.0
rid:defensive_symbolization,wordnet:change,0.014599084854125977,0.010752688172043012,59,35,1.0,0.9714285714285714
framenet:Placing,verbnet:crane,0.014626026153564453,0.03508771929824561,34,25,1.0,1.0
verbnet:other_cos,wordnet:motion,0.014646470546722412,0.007874015748031496,39,89,1.0,1.0
framenet:Manipulation,rid:aggression,0.014648258686065674,0.008333333333333333,38,83,1.0,0.9879518072289156
rid:aggression,usas:A10,0.014705657958984375,0.0,83,39,0.9879518072289156,1.0
usas:O4.1,wordnet:contact,0.014714717864990234,0.046875,15,119,1.0,1.0
induced:locomotion_posture,rid:defensive_symbolization,0.014746129512786865,0.03278688524590164,67,59,1.0,1.0
framenet:Communication_noise,verbnet:manner_speaking,0.014775991439819336,0.125,27,18,1.0,1.0
induced:contact_care,wordnet:contact,0.014799058437347412,0.0873015873015873,18,119,1.0,1.0
rid:instrumental_behavior,wordnet:social,0.01480478048324585,0.02564102564102564,92,28,0.9891304347826086,0.9642857142857143
usas:X2.4,verbnet:assessment,0.014816880226135254,0.19230769230769232,23,8,1.0,1.0
induced:contact_care,usas:O4.1,0.01481693983078003,0.0,18,15,1.0,1.0
rid:defensive_symbolization,verbnet:crane,0.014835178852081299,0.0,59,25,1.0,1.0
rid:defensive_symbolization,usas:Q2.2,0.014843285083770752,0.0,59,103,1.0,1.0
gi_primary:TimeSpc,wordnet:unassigned,0.014857172966003418,0.09444444444444444,77,120,0.6363636363636364,0.4583333333333333
rid:need,usas:A1.1.1,0.014867067337036133,0.006289308176100629,70,90,1.0,0.9444444444444444
rid:need,verbnet:other_cos,0.01489025354385376,0.0,70,39,1.0,1.0
rid:social_behavior,usas:Q2.1,0.014906883239746094,0.12837837837837837,134,33,1.0,1.0
framenet:Communication_noise,induced:nonverbal_expression,0.01490694284439087,0.0975609756097561,27,18,1.0,1.0
induced:speech_act,wordnet:change,0.014913499355316162,0.0,39,35,1.0,0.9714285714285714
induced:property_damage,usas:O4.1,0.014923453330993652,0.03333333333333333,16,15,1.0,1.0
rid:instrumental_behavior,usas:M1,0.01492762565612793,0.009852216748768473,92,113,0.9891304347826086,0.9911504424778761
framenet:Body_movement,verbnet:other_cos,0.014928758144378662,0.011764705882352941,47,39,1.0,1.0
framenet:Cause_harm,rid:icarian_imagery,0.014931023120880127,0.0,45,101,1.0,0.9900990099009901
induced:speech_act,usas:Q2.2,0.014965295791625977,0.136,39,103,1.0,1.0
usas:M2,wordnet:contact,0.014990448951721191,0.12432432432432433,89,119,1.0,1.0
induced:procedural_operation,wordnet:contact,0.015010416507720947,0.05555555555555555,52,119,1.0,1.0
framenet:Placing,rid:defensive_symbolization,0.015015184879302979,0.0449438202247191,34,59,1.0,1.0
framenet:Manipulation,induced:bodily_violence,0.015032052993774414,0.015873015873015872,38,26,1.0,1.0
induced:locomotion_posture,rid:icarian_imagery,0.015039563179016113,0.05660377358490566,67,101,1.0,0.9900990099009901
induced:object_handling,verbnet:run,0.015051126480102539,0.0,105,34,1.0,1.0
usas:A1.1.1,wordnet:change,0.01505964994430542,0.008064516129032258,90,35,0.9444444444444444,0.9714285714285714
usas:A1.1.1,wordnet:social,0.015061557292938232,0.02608695652173913,90,28,0.9444444444444444,0.9642857142857143
rid:restraint,usas:S7.1,0.015108466148376465,0.08928571428571429,37,24,0.972972972972973,0.9583333333333334
framenet:Body_movement,verbnet:run,0.015153050422668457,0.0,47,34,1.0,1.0
usas:A9,verbnet:get,0.015160679817199707,0.07526881720430108,70,30,0.9285714285714286,1.0
framenet:Filling,wordnet:contact,0.015213608741760254,0.06153846153846154,19,119,1.0,1.0
framenet:Scrutiny,rid:sensation,0.015217781066894531,0.04838709677419355,18,112,1.0,1.0
framenet:Path_shape,usas:M1,0.015217840671539307,0.09166666666666666,18,113,1.0,0.9911504424778761
induced:speech_act,wordnet:perception,0.015234172344207764,0.015151515151515152,39,28,1.0,1.0
rid:regressive_cognition,usas:M2,0.015238940715789795,0.029850746268656716,118,89,0.8813559322033898,1.0
gi_primary:Quan,induced:grammatical_function,0.01524198055267334,0.10344827586206896,60,100,0.6166666666666667,0.42
framenet:Manipulation,wordnet:motion,0.015254974365234375,0.007936507936507936,38,89,1.0,1.0
induced:transfer_possession,rid:instrumental_behavior,0.01529306173324585,0.07079646017699115,29,92,1.0,0.9891304347826086
rid:sensation,usas:A1.1.2,0.015297472476959229,0.014084507042253521,112,32,1.0,1.0
framenet:Cause_harm,induced:bodily_violence,0.015326201915740967,0.14516129032258066,45,26,1.0,1.0
rid:instrumental_behavior,usas:X7,0.015356481075286865,0.04310344827586207,92,29,0.9891304347826086,0.9655172413793104
framenet:Make_noise,verbnet:nonverbal_expression,0.015365242958068848,0.25,13,22,1.0,1.0
framenet:Manipulation,rid:icarian_imagery,0.015368759632110596,0.0,38,101,1.0,0.9900990099009901
induced:speech_act,wordnet:motion,0.015387773513793945,0.0,39,89,1.0,1.0
rid:restraint,usas:M1,0.015422224998474121,0.0,37,113,0.972972972972973,0.9911504424778761
framenet:Communication_noise,wordnet:contact,0.015432357788085938,0.0,27,119,1.0,1.0
gi_primary:Ovrst,wordnet:unassigned,0.015462398529052734,0.08426966292134831,73,120,0.7534246575342466,0.4583333333333333
framenet:Manipulation,rid:sensation,0.015464484691619873,0.04895104895104895,38,112,1.0,1.0
framenet:Experiencer_obj,verbnet:amuse,0.015466749668121338,0.2222222222222222,14,52,0.9285714285714286,0.9807692307692307
rid:sensation,wordnet:communication,0.0154762864112854,0.011235955056179775,112,68,1.0,0.9705882352941176
framenet:Cause_harm,rid:need,0.015491724014282227,0.0,45,70,1.0,1.0
induced:object_handling,verbnet:put,0.015507519245147705,0.043478260869565216,105,15,1.0,1.0
framenet:Request,rid:social_behavior,0.015521049499511719,0.0821917808219178,24,134,1.0,1.0
framenet:Request,usas:Q2.2,0.015543937683105469,0.14414414414414414,24,103,1.0,1.0
usas:M1,verbnet:crane,0.015590190887451172,0.0072992700729927005,113,25,0.9911504424778761,1.0
usas:M1,verbnet:other_cos,0.015594065189361572,0.013333333333333334,113,39,0.9911504424778761,1.0
induced:perception_cognition,wordnet:motion,0.015596985816955566,0.0072992700729927005,49,89,1.0,1.0
usas:M2,verbnet:crane,0.015616893768310547,0.02702702702702703,89,25,1.0,1.0
rid:regressive_cognition,usas:A10,0.015622317790985107,0.03289473684210526,118,39,0.8813559322033898,1.0
framenet:Placing,wordnet:change,0.015623509883880615,0.0,34,35,1.0,0.9714285714285714
verbnet:crane,wordnet:change,0.01572197675704956,0.034482758620689655,25,35,1.0,0.9714285714285714
framenet:Cotheme,verbnet:accompany,0.01574099063873291,0.3888888888888889,17,8,1.0,1.0
rid:need,usas:E3,0.015748977661132812,0.0,70,35,1.0,1.0
rid:instrumental_behavior,usas:S7.1,0.015755116939544678,0.008695652173913044,92,24,0.9891304347826086,0.9583333333333334
rid:restraint,usas:M2,0.015770316123962402,0.0,37,89,0.972972972972973,1.0
usas:M2,verbnet:get,0.015776872634887695,0.0,89,30,1.0,1.0
framenet:Body_movement,usas:A1.1.2,0.01578730344772339,0.0,47,32,1.0,1.0
verbnet:braid,wordnet:contact,0.015791475772857666,0.015503875968992248,12,119,1.0,1.0
rid:sensation,usas:Q2.2,0.015795409679412842,0.014150943396226415,112,103,1.0,1.0
framenet:Cause_harm,usas:E3,0.015813589096069336,0.21212121212121213,45,35,1.0,1.0
rid:instrumental_behavior,wordnet:possession,0.015817582607269287,0.05084745762711865,92,32,0.9891304347826086,0.90625
rid:defensive_symbolization,usas:E3,0.015825510025024414,0.044444444444444446,59,35,1.0,1.0
rid:icarian_imagery,verbnet:calibratable_cos,0.01583266258239746,0.1308411214953271,101,20,0.9900990099009901,1.0
usas:A1.1.2,verbnet:other_cos,0.015844523906707764,0.04411764705882353,32,39,1.0,1.0
framenet:Communication_noise,verbnet:run,0.01586204767227173,0.0,27,34,1.0,1.0
usas:A10,verbnet:other_cos,0.01587069034576416,0.02631578947368421,39,39,1.0,1.0
rid:social_behavior,wordnet:cognition,0.01588618755340576,0.013422818791946308,134,17,1.0,1.0
framenet:Manipulation,usas:M2,0.015888690948486328,0.08547008547008547,38,89,1.0,1.0
rid:instrumental_behavior,verbnet:build,0.015899717807769775,0.05357142857142857,92,26,0.9891304347826086,1.0
induced:locomotion_posture,verbnet:crane,0.015905678272247314,0.0,67,25,1.0,1.0
induced:procedural_operation,usas:A1.1.1,0.015921831130981445,0.0070921985815602835,52,90,1.0,0.9444444444444444
framenet:Attaching,induced:contact_care,0.01592475175857544,0.0,14,18,1.0,1.0
induced:perception_cognition,wordnet:contact,0.01592862606048584,0.005988023952095809,49,119,1.0,1.0
usas:A1.1.1,verbnet:get,0.01593196392059326,0.0,90,30,0.9444444444444444,1.0
rid:sensation,usas:X3.2,0.01596653461456299,0.049586776859504134,112,15,1.0,1.0
induced:speech_act,wordnet:contact,0.01598501205444336,0.0,39,119,1.0,1.0
rid:icarian_imagery,wordnet:change,0.016038894653320312,0.03816793893129771,101,35,0.9900990099009901,0.9714285714285714
usas:E3,verbnet:amuse,0.0160486102104187,0.07407407407407407,35,52,1.0,0.9807692307692307
rid:sensation,usas:E3,0.01605045795440674,0.013793103448275862,112,35,1.0,1.0
framenet:Communication_noise,wordnet:motion,0.016071677207946777,0.0,27,89,1.0,1.0
usas:M1,verbnet:get,0.016135215759277344,0.014184397163120567,113,30,0.9911504424778761,1.0
framenet:Placing,rid:icarian_imagery,0.016159534454345703,0.007462686567164179,34,101,1.0,0.9900990099009901
usas:M1,wordnet:change,0.01615995168685913,0.0,113,35,0.9911504424778761,0.9714285714285714
