word,rises,falls,net_count_pooled,net_magnitude,rise_rate,net_count_her,net_count_his,rises_her,falls_her,rises_his,falls_his,B_opus,B_sonnet,Cexp_opus,Cexp_sonnet,Ccharge_opus,Ccharge_sonnet,D_opus,D_sonnet,A_opus,A_sonnet
necklace,4,3,1,0.006327038773739366,0.5714285714285714,1,0,4,3,0,0,65.0,45.0,4.0,4.0,18.0,10.0,8.0,12.0,20.0,8.0
nightgown,1,1,0,0.0011293566305317993,0.5,0,0,1,1,0,0,85.0,70.0,80.0,55.0,72.0,55.0,60.0,65.0,15.0,68.0
old,0,2,-2,-0.003444495575327916,0.0,-2,0,0,2,0,0,,,,,,,,,,
outer,5,8,-3,0.06708078876476344,0.38461538461538464,0,-3,4,4,1,4,,,,,,,,,,
overcoat,1,6,-5,-0.022774742785772142,0.14285714285714285,0,-5,0,0,1,6,40.0,17.0,15.0,12.0,10.0,12.0,16.0,8.0,100.0,100.0
own,3,21,-18,-0.08719132881439443,0.125,-9,-9,1,10,2,11,,,,,,,,,,
panties,1,11,-10,-0.13787197637330162,0.08333333333333333,-10,0,1,11,0,0,100.0,95.0,95.0,92.0,92.0,95.0,98.0,98.0,2.0,18.0
pants,4,30,-26,-0.26236114873722866,0.11764705882352941,-14,-12,2,16,2,14,80.0,55.0,78.0,55.0,60.0,30.0,60.0,55.0,32.0,58.0
pink,2,3,-1,-0.002362790277533873,0.4,-1,0,2,3,0,0,,,,,,,,,,
purple,2,0,2,0.007027631682349086,1.0,2,0,2,0,0,0,,,,,,,,,,
red,4,8,-4,0.017572546237414152,0.3333333333333333,-2,-2,4,6,0,2,,,,,,,,,,
ring,11,3,8,0.04863304504730207,0.7857142857142857,5,3,7,2,4,1,55.0,40.0,3.0,3.0,15.0,10.0,5.0,15.0,15.0,0.0
robe,7,17,-10,-0.05742294605255165,0.2916666666666667,-4,-6,4,8,3,9,55.0,40.0,70.0,55.0,60.0,55.0,50.0,46.0,75.0,75.0
sandals,10,5,5,0.016781119403761362,0.6666666666666666,4,1,7,3,3,2,40.0,18.0,5.0,8.0,8.0,8.0,15.0,12.0,60.0,14.0
scarf,7,7,0,0.012809296902897758,0.5,-1,1,5,6,2,1,48.0,45.0,12.0,10.0,10.0,8.0,12.0,15.0,80.0,25.0
seat,0,3,-3,-0.008782654172011739,0.0,-2,-1,0,2,0,1,,,,,,,,,,
seatbelt,4,0,4,0.014104314988257496,1.0,2,2,2,0,2,0,8.0,35.0,0.0,2.0,2.0,3.0,0.0,1.0,97.0,18.0
shawl,0,3,-3,-0.010445843722016346,0.0,-3,0,0,3,0,0,40.0,28.0,15.0,20.0,12.0,10.0,15.0,15.0,78.0,38.0
shirt,13,9,4,0.8392795265671216,0.5909090909090909,0,4,7,7,6,2,82.0,70.0,65.0,45.0,48.0,35.0,45.0,50.0,28.0,45.0
shoe,8,4,4,0.08148564353717619,0.6666666666666666,3,1,5,2,3,2,40.0,18.0,8.0,10.0,8.0,10.0,14.0,10.0,65.0,20.0
shoes,25,8,17,0.9599473789219719,0.7575757575757576,9,8,12,3,13,5,40.0,18.0,6.0,10.0,8.0,10.0,14.0,10.0,65.0,20.0
shorts,2,6,-4,-0.00988640102256947,0.25,-3,-1,1,4,1,2,78.0,60.0,65.0,45.0,45.0,25.0,55.0,45.0,30.0,35.0
silk,2,0,2,0.009256279776324351,1.0,2,0,2,0,0,0,,,,,,,,,,
skirt,2,16,-14,-0.09371249844047212,0.1111111111111111,-14,0,2,16,0,0,75.0,50.0,72.0,50.0,62.0,45.0,55.0,52.0,32.0,45.0
socks,11,8,3,0.006572614282033025,0.5789473684210527,4,-1,7,3,4,5,70.0,40.0,8.0,15.0,8.0,8.0,20.0,18.0,10.0,16.0
soiled,2,0,2,0.006181162354948466,1.0,0,2,0,0,2,0,,,,,,,,,,
spectacles,5,2,3,0.02225977799654472,0.7142857142857143,1,2,1,0,4,2,40.0,32.0,12.0,5.0,10.0,20.0,8.0,5.0,70.0,10.0
stockings,0,4,-4,-0.01305511239788984,0.0,-4,0,0,4,0,0,80.0,60.0,45.0,40.0,80.0,70.0,45.0,72.0,12.0,30.0
suit,12,9,3,0.018007799994247054,0.5714285714285714,-1,4,2,3,10,6,60.0,35.0,40.0,25.0,30.0,20.0,30.0,30.0,55.0,70.0
sunglasses,16,14,2,-0.02172573960719767,0.5333333333333333,-1,3,7,8,9,6,38.0,32.0,20.0,5.0,12.0,15.0,,,75.0,10.0
sweater,6,23,-17,-0.11984433387695716,0.20689655172413793,-7,-10,3,10,3,13,62.0,50.0,30.0,25.0,15.0,15.0,26.0,30.0,45.0,52.0
sweatshirt,4,3,1,0.1933470758949485,0.5714285714285714,0,1,2,2,2,1,60.0,55.0,26.0,25.0,12.0,10.0,26.0,28.0,45.0,52.0
t,0,6,-6,-0.019941618563189045,0.0,-2,-4,0,2,0,4,,,,,,,,,,
t-shirt,0,4,-4,-0.013932411996865415,0.0,-2,-2,0,2,0,2,85.0,75.0,60.0,45.0,40.0,25.0,42.0,35.0,22.0,42.0
tattered,6,0,6,0.02584039565112284,1.0,3,3,3,0,3,0,,,,,,,,,,
thick,2,1,1,0.0005775111475546709,0.6666666666666666,0,1,1,1,1,0,,,,,,,,,,
tie,7,5,2,0.00047643400264407113,0.5833333333333334,0,2,0,0,7,5,45.0,35.0,8.0,5.0,35.0,25.0,15.0,20.0,55.0,14.0
top,11,21,-10,-0.09588502984627682,0.34375,-5,-5,7,12,4,9,80.0,65.0,66.0,55.0,56.0,40.0,48.0,38.0,25.0,42.0
trench,2,1,1,0.00266470820323892,0.6666666666666666,0,1,0,0,2,1,,,,12.0,,20.0,,12.0,,85.0
trousers,2,16,-14,-0.045950129109561394,0.1111111111111111,0,-14,1,1,1,15,78.0,55.0,70.0,55.0,45.0,25.0,58.0,48.0,32.0,58.0
tunic,0,3,-3,-0.006258345175169731,0.0,-1,-2,0,1,0,2,72.0,50.0,55.0,35.0,30.0,10.0,32.0,25.0,30.0,55.0
underwear,0,9,-9,-0.04009445652563475,0.0,-8,-1,0,8,0,1,98.0,95.0,96.0,90.0,90.0,90.0,95.0,92.0,3.0,22.0
uniform,4,9,-5,-0.017298146233055537,0.3076923076923077,-3,-2,1,4,3,5,65.0,50.0,45.0,35.0,30.0,40.0,35.0,22.0,50.0,72.0
veil,2,5,-3,-0.0085643130972654,0.2857142857142857,-3,0,2,5,0,0,45.0,25.0,40.0,20.0,30.0,30.0,30.0,32.0,85.0,22.0
vest,2,3,-1,-0.0031252741431698006,0.4,0,-1,0,0,2,3,68.0,48.0,25.0,20.0,18.0,10.0,22.0,20.0,42.0,38.0
watch,2,10,-8,-0.025521426816601293,0.16666666666666666,-3,-5,0,3,2,7,50.0,45.0,2.0,3.0,5.0,5.0,6.0,3.0,30.0,7.0
wedding,7,9,-2,-0.004875096351797479,0.4375,-1,-1,6,7,1,2,,,,,,,,,,
wet,6,2,4,0.015687416405697287,0.75,2,2,4,2,2,0,,,,,,,,,,
white,0,16,-16,-0.07739437213642081,0.0,-8,-8,0,8,0,8,,,,,,,,,,
wig,2,10,-8,-0.0204534011790994,0.16666666666666666,-8,0,2,10,0,0,65.0,28.0,35.0,15.0,10.0,10.0,30.0,20.0,55.0,25.0
worn,2,0,2,0.006547564635600911,1.0,0,2,0,0,2,0,,,,,,,,,,
