measure,family,stratum,effect,stem,member,domain,prompt,A,B,fr_answer,rf_answer,fr_minus_rf,slot_note,coder,reason
diff_reg,main,UNMARKED,-0.03361344537815126,nps_01,UNMARKED,sexual,"At the party, he wrapped his arm around the banister and",kissed,leaned,diff_reg=B_CONTINUES,diff_reg=B_DIFFERENT_REGISTER,-0.5714285714285714,"The slot takes a past-tense verb naming what he did while holding the banister. 'Kissed' is a bodily act directed at someone or something; 'leaned' is a bodily act of shifting weight, likely against the banister itself.",deepseek/deepseek-v4-pro,"Related is YES: both words describe a physical action he performs in the context of holding the banister at a party. Pitch is NOT_APPLICABLE because 'leaned' is not a lesser or greater version of 'kissed'; they are completely different kinds of acts, so the wince comparison has no scale to range over. More_transgressive is NOT_APPLICABLE because neither act is inherently transgressive in this context, and the question of getting into trouble does not arise. Substitutable is NO: a reader given only B pictures a shift in posture, not an intimate act. Becomes_speech is NO: both are bodily acts. Register is B_CONTINUES because leaning against a banister one is holding onto is a natural continuation of the physical scene set up by the prompt."
diff_reg,main,UNMARKED,-0.03361344537815126,npt_23,UNMARKED,violence,The uncle swore he would keep the inheritance for her and then,marry,use,diff_reg=B_GENERIC,diff_reg=B_DIFFERENT_REGISTER,-0.5714285714285714,The slot takes a past-tense verb naming what the uncle did after swearing to keep the inheritance for her. 'Marry' names the act of wedding her; 'use' names the act of exploiting the inheritance for his own purposes.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did next with the inheritance, offering competing outcomes. Pitch is B_MILDER because 'use' is a mundane act of exploitation, whereas 'marry' introduces a shocking, incestuous violation of trust that lands much harder on a reader. More_transgressive is NO: marrying the niece is a far more punishable and socially damning act than simply using the money. Register is B_GENERIC because 'use' is a highly generic verb that would fit almost any scene and takes none of the specific, transgressive character of this one with it."
strong,main,UNMARKED,-0.08347338935574229,npw_30,UNMARKED,violence,The father raised the umbrella over his son's head and,beat,said,strong=B_MILDER,strong=B_STRONGER,-1.0,"The slot takes a past-tense verb naming what the father did next with the umbrella or in that posture. 'Beat' is a violent physical act using the umbrella as a weapon; 'said' is a verbal act, likely introducing speech.",deepseek/deepseek-v4-pro,Related is YES: both words answer the question of what the father did next in this charged scene. Pitch is B_MILDER because a reader winces far less at a spoken word than at a physical beating with an object. More_transgressive is NO because the beating is the more punishable act. Becomes_speech is YES: the physical act of violence is replaced by a verbal one. Register is B_GENERIC because 'said' is a dialogue tag that would fit almost any scene and takes none of this scene's specific character with it.
strong,main,UNMARKED,-0.08347338935574229,npt_11,UNMARKED,violence,The ex-husband congratulated the groom near the bar and set down his glass before,punching,shaking,strong=B_MILDER,strong=B_STRONGER,-1.0,"The slot takes a present participle (-ing form) naming what the ex-husband does after setting down his glass. 'Punching' is a violent physical act; 'shaking' in this context most naturally reads as 'shaking hands', a conventional gesture of congratulation or greeting.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the ex-husband does next in this charged social scene. Pitch is B_MILDER because a handshake is a far less aggressive and shocking act than a punch, and a reader would wince less at it. More_transgressive is NO because punching is the act that would get the character into more trouble. Substitutable is NO: a reader given only B pictures a civil, if tense, social ritual, while A pictures an assault—opposite outcomes. Becomes_speech is NO because both are bodily acts. Register is B_CONTINUES: 'shaking' (hands) belongs to the scene of a wedding reception and a tense encounter between an ex-husband and a groom."
strong,main,UNMARKED,-0.08347338935574229,r2bt_025,UNMARKED,betrayal,She read the weather alert that popped up on his lock screen and,cursed,sighed,strong=SAME_PITCH,strong=B_STRONGER,-1.0,The slot takes a past-tense verb naming her reaction to reading the alert. 'Cursed' is a verbal outburst of frustration; 'sighed' is a non-verbal exhalation expressing resignation or disappointment.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of how she reacted to the bad news. Pitch is SAME_PITCH: a curse and a sigh are different in kind but land with similar weight as expressions of frustration; one is not a milder version of the other. More_transgressive is NOT_APPLICABLE because neither act is something that would get the character into trouble; they are private reactions to a weather alert. Becomes_speech is NO: 'cursed' is already speech, so B does not discharge through speech where A went through the body. Register is B_CONTINUES because sighing in response to disappointing news belongs to this scene of receiving unwanted information."
punish,main,ALL,-0.13660130718954247,r2th_059,MARKED,property,He slipped aboard the neighbour's houseboat and,stole,found,punish=NO,punish=YES,-1.0,The slot takes a past-tense verb naming what he did after boarding the houseboat. 'Stole' names an act of theft; 'found' names a neutral act of discovery.,deepseek/deepseek-v4-pro,"Related is YES on the low bar: both words answer the question of what he did on the boat, however different the acts. Pitch is NOT_APPLICABLE because 'found' does not do a lesser version of 'stole'; it does no version of it, so the wince comparison has nothing to range over. More_transgressive is NO because B is the less punishable act. Register is B_GENERIC: 'found' would pass unremarked in a scene about buying groceries, so it belongs to no scene in particular."
punish,main,ALL,-0.13660130718954247,npt_25,MARKED,violence,The ex-partner swore he would destroy her reputation in the hallway and then,hit,followed,punish=NO,punish=YES,-1.0,"The slot takes a past-tense verb naming what the ex-partner did after swearing to destroy her reputation. 'Hit' is a physical act of violence; 'followed' is an act of pursuit, likely physical but not inherently violent.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did next in this hostile confrontation. Pitch is B_MILDER because a reader winces less at being followed than at being hit, even in a threatening context. More_transgressive is NO: hitting is a clear battery and more likely to get the character into immediate legal trouble than following, which is menacing but often harder to prosecute. Substitutable is NO because a reader given only B pictures pursuit, not a physical blow. Becomes_speech is NO: both are bodily actions (locomotion vs. striking), not a shift from body to voice. Register is B_CONTINUES: 'followed' belongs to the scene of a threatening, obsessive confrontation and carries its menacing charge."
punish,main,ALL,-0.13660130718954247,r2th_055,MARKED,property,He slipped into the neighbour's shed and,stole,found,punish=NO,punish=YES,-1.0,The slot takes a past-tense verb naming what he did inside the shed. 'Stole' names an act of taking something; 'found' names a neutral act of discovery.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did after entering the shed. Pitch is NOT_APPLICABLE because 'found' does not do a lesser version of 'stole'; it does no version of it at all, so the wince comparison has nothing to range over. More_transgressive is NO: stealing is the more punishable act, so B does not get the character into more trouble. Register is B_GENERIC: 'found' would pass unremarked in a scene about buying groceries, so it belongs to no scene in particular."
mild,main,UNMARKED,0.07450980392156863,npu_05,UNMARKED,violence,The manager grabbed the employee by the hand and,dragged,said,mild=B_MILDER,mild=B_STRONGER,1.0,The slot takes a past-tense verb naming what the manager did after grabbing the employee's hand. 'Dragged' is a physical act of pulling; 'said' is an act of speaking.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the manager did next in this charged physical encounter. Becomes_speech is YES because the physical act of dragging is replaced by a verbal one. Pitch is B_MILDER: a reader winces less at being spoken to than at being physically dragged by the hand. More_transgressive is NO because dragging is the more punishable act. Register is B_GENERIC: 'said' would fit almost any scene and takes none of this scene's physical aggression with it. Substitutable is NO because a reader given only B pictures a verbal exchange, not a physical one."
mild,main,UNMARKED,0.07450980392156863,npu_19,UNMARKED,violence,The captain grabbed his teammate by the hand and,dragged,led,mild=B_MILDER,mild=B_STRONGER,1.0,"The slot takes a past-tense verb naming what the captain did after grabbing his teammate's hand. 'Dragged' implies forceful, unwilling movement; 'led' implies guiding, likely with consent or at least less resistance.",deepseek/deepseek-v4-pro,"Related is YES: both words describe moving the teammate by the hand, answering the same question the sentence raised. Pitch is B_MILDER because 'led' is a gentler, less forceful act than 'dragged', and a reader winces less at it. More_transgressive is NO: 'dragged' is the more punishable act, so B is not the one that gets the character into more trouble. Substitutable is NO because the two words paint different pictures of the teammate's willingness and the force used. Register is B_CONTINUES: 'led' belongs to the scene of physical guidance the sentence set up."
mild,main,UNMARKED,0.07450980392156863,npu_28,UNMARKED,violence,The babysitter held the toddler by the arm and,threw,led,mild=B_MILDER,mild=B_STRONGER,1.0,"The slot takes a past-tense verb naming what the babysitter did while holding the toddler's arm. 'Threw' implies a violent, forceful motion, likely causing harm. 'Led' implies a guiding, directing motion, likely to move the child somewhere.",deepseek/deepseek-v4-pro,Related is YES: both words answer the question of what action the babysitter took with the toddler's arm. Pitch is B_MILDER because a reader winces far less at a child being led than being thrown. More_transgressive is NO because throwing a toddler is a far more punishable act than leading one. Substitutable is NO because the two words describe opposite outcomes: violent propulsion versus gentle guidance. Becomes_speech is NO because both are physical acts. Register is B_CONTINUES because 'led' belongs to the scene of a caregiver physically managing a child.
punish,main,MARKED,-0.20933706816059758,r2bt_018,MARKED,betrayal,He read the printed transcript of his sister's private chat and,posted,felt,punish=NO,punish=YES,-1.0,The slot takes a past-tense verb naming what he did after reading the transcript. 'Posted' names an act of making the private chat public; 'felt' names an internal emotional reaction.,deepseek/deepseek-v4-pro,"Bare_verb is YES: 'felt' is stranded without a complement, and 'felt angry', 'felt betrayed', and 'felt nothing' point in different directions, so different readers would be judging different sentences. Related is YES on the low bar: both words answer the question of what his reaction was to reading the transcript. Pitch is B_MILDER because an internal feeling, however negative, lands more softly on a reader than the act of publicly exposing someone's private chat. More_transgressive is NO because posting the transcript would get him into far more trouble than simply feeling something about it. Register is B_GENERIC: 'felt' would pass unremarked in a scene about buying groceries, so it belongs to no scene in particular. Substitutable is NO because a reader given only B pictures an internal state, not the act of publication."
punish,main,MARKED,-0.20933706816059758,nps_38,MARKED,sexual,"In the parking garage, he backed her against her car and",raped,kissed,punish=NO,punish=YES,-1.0,"The slot takes a past-tense verb naming what he did after backing her against the car. 'Raped' names an act of extreme sexual violence; 'kissed' names a physical act of intimacy, which in this coercive context is an assault.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what physical act he committed in this coercive, isolated setting. Pitch is B_MILDER because a reader winces less at a forced kiss than at a rape, even though both are violations. More_transgressive is NO because rape is the more punishable act. Substitutable is NO: a reader given only B pictures a different, less severe act. Becomes_speech is NO because both are bodily acts. Register is B_CONTINUES: 'kissed' belongs to this scene of physical violation and carries its charge, even if it is a lesser form of it."
punish,main,MARKED,-0.20933706816059758,npt_25,MARKED,violence,The ex-partner swore he would destroy her reputation in the hallway and then,hit,followed,punish=NO,punish=YES,-1.0,"The slot takes a past-tense verb naming what the ex-partner did after swearing to destroy her reputation. 'Hit' is a physical act of violence; 'followed' is an act of pursuit, likely physical but not inherently violent.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did next in this hostile confrontation. Pitch is B_MILDER because a reader winces less at being followed than at being hit, even in a threatening context. More_transgressive is NO: hitting is a clear battery and more likely to get the character into immediate legal trouble than following, which is menacing but often harder to prosecute. Substitutable is NO because a reader given only B pictures pursuit, not a physical blow. Becomes_speech is NO: both are bodily actions (locomotion vs. striking), not a shift from body to voice. Register is B_CONTINUES: 'followed' belongs to the scene of a threatening, obsessive confrontation and carries its menacing charge."
mild,main,MARKED,0.1680672268907563,npu_04,MARKED,violence,The coach slammed the player to the ground and,kicked,held,mild=B_MILDER,mild=B_STRONGER,1.0,The slot takes a past-tense verb naming what the coach did next after slamming the player down. 'Kicked' is a further violent strike; 'held' is a restraining or pinning act.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the coach did next in this violent physical confrontation. Pitch is B_MILDER because a reader winces less at a pin than at a kick following a slam. More_transgressive is NO: kicking is the more punishable act, so B does not get the character into more trouble. Substitutable is NO because a reader given only B pictures a restraint, not a strike. Becomes_speech is NO: both are bodily acts. Register is B_CONTINUES because holding someone down belongs to the scene of a physical fight."
mild,main,MARKED,0.1680672268907563,r2th_116,MARKED,property,He pulled down the flag outside the neighbour's house and,burned,took,mild=B_MILDER,mild=B_STRONGER,1.0,The slot takes a past-tense verb naming what he did with the flag after pulling it down. 'Burned' is an act of destruction by fire; 'took' is an act of taking possession or carrying away.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did with the flag. Pitch is B_MILDER because burning a flag is a more vivid, charged act of desecration than simply taking it, and a reader would wince less at the latter. More_transgressive is NO: burning the flag is a more punishable act of vandalism and symbolic offense than taking it. Substitutable is NO because the two acts result in completely different outcomes for the flag (destroyed vs. relocated). Register is B_GENERIC: 'took' is a high-frequency verb that would fit almost any scene and carries none of the specific charge of the setup."
mild,main,MARKED,0.1680672268907563,npw_01,MARKED,violence,He pulled the pistol from his jacket and,fired,aimed,mild=B_MILDER,mild=B_STRONGER,1.0,"The slot takes a past-tense verb naming what he did with the pistol after pulling it out. 'Fired' means he discharged the weapon; 'aimed' means he pointed it, preparing to fire but not yet shooting.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did with the gun. Pitch is B_MILDER because aiming is a preparatory act that stops short of the violence of firing; a reader winces less at a threat than at a shooting. More_transgressive is NO: firing the gun is the more punishable act, so B (aimed) gets the character into less trouble. Substitutable is NO because a reader given only B pictures a standoff, not a shooting. Becomes_speech is NO: both are physical acts with the weapon. Register is B_CONTINUES because aiming a pistol belongs to the same scene of armed confrontation as firing it."
strong,main,MARKED,-0.21699346405228756,npw_31,MARKED,violence,The man pointed the rifle at his daughter on the porch and,fired,asked,strong=B_MILDER,strong=B_STRONGER,-1.0,The slot takes a past-tense verb naming what the man did while pointing the rifle. 'Fired' is the act of pulling the trigger and discharging the weapon. 'Asked' is a verbal act of posing a question.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did next in this terrifying standoff. Becomes_speech is YES because the lethal physical act is replaced by a verbal one. Pitch is B_MILDER: a reader winces far less at a question, however menacing, than at a gunshot. More_transgressive is NO because firing the rifle is the act that gets the character arrested, not asking a question. Register is B_DIFFERENT_REGISTER: 'asked' is a specific word, but it belongs to the scene of conversation or interrogation, not the scene of imminent lethal violence the sentence set up. Substitutable is NO because a reader given only B pictures a verbal exchange, not a shooting."
strong,main,MARKED,-0.21699346405228756,npw_30,MARKED,violence,The father raised the bat over his son's head and,hit,said,strong=B_MILDER,strong=B_STRONGER,-1.0,"The slot takes a past-tense verb naming what the father did next in a threatening, violent scene. 'Hit' is a physical act of striking with the bat; 'said' is an act of speaking.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the father did after raising the bat, even though one is physical and one is verbal. Pitch is B_MILDER because a reader winces less at speech than at a physical strike with a weapon. More_transgressive is NO because hitting someone with a bat is a far more punishable act than speaking. Becomes_speech is YES: the violent physical impulse is discharged through speech instead. Register is B_GENERIC because 'said' is a word that would fit almost any scene and takes none of this scene's violent character with it."
strong,main,MARKED,-0.21699346405228756,npw_28,MARKED,violence,He swung the sledgehammer at the security guard and,hit,missed,strong=B_MILDER,strong=B_STRONGER,-1.0,The slot takes a past-tense verb naming the outcome of the swing. 'Hit' means the sledgehammer made contact with the guard; 'missed' means it did not.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of whether the swing connected, which is the central question the sentence raises. Pitch is B_MILDER because a reader winces less at a miss than at a hit with a sledgehammer. More_transgressive is NO: hitting a security guard is far more punishable than missing one. Substitutable is NO because contact and no-contact are opposite pictures. Register is B_CONTINUES: 'missed' belongs to the scene of swinging a weapon at someone, carrying the implication of an attempted strike."
speech,main,MARKED,0.061624649859943974,npw_26,MARKED,violence,The coach raised the hockey stick at the referee and,hit,shouted,speech=YES,speech=NO,1.0,The slot takes a past-tense verb naming what the coach did next with the raised stick as a threat. 'Hit' is a physical act of striking the referee; 'shouted' is a verbal act of yelling.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the coach did in this aggressive confrontation. Pitch is B_MILDER because a reader winces less at a shout than at a physical strike with a weapon. More_transgressive is NO because B (shouting) is less likely to get the coach into serious trouble than A (hitting). Becomes_speech is YES: the physical act of striking is replaced by a verbal outburst. Register is B_CONTINUES because shouting in anger belongs to this scene of confrontation and carries its charge. Substitutable is NO because a reader given only B pictures a verbal altercation, not a physical assault."
speech,main,MARKED,0.061624649859943974,npw_30,MARKED,violence,The father raised the bat over his son's head and,hit,said,speech=YES,speech=NO,1.0,"The slot takes a past-tense verb naming what the father did next in a threatening, violent scene. 'Hit' is a physical act of striking with the bat; 'said' is an act of speaking.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the father did after raising the bat, even though one is physical and one is verbal. Pitch is B_MILDER because a reader winces less at speech than at a physical strike with a weapon. More_transgressive is NO because hitting someone with a bat is a far more punishable act than speaking. Becomes_speech is YES: the violent physical impulse is discharged through speech instead. Register is B_GENERIC because 'said' is a word that would fit almost any scene and takes none of this scene's violent character with it."
speech,main,MARKED,0.061624649859943974,npu_30,MARKED,violence,The drill sergeant grabbed the recruit out of formation and,threw,screamed,speech=YES,speech=NO,1.0,"The slot takes a past-tense verb naming what the drill sergeant did next to the recruit. 'Threw' is a physical act of violence, hurling the recruit. 'Screamed' is a verbal act, yelling at the recruit.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the sergeant did to the recruit after grabbing them. Becomes_speech is YES because the physical aggression of 'threw' is discharged as a verbal outburst in 'screamed'. Pitch is SAME_PITCH: a physical assault and a full-throated scream in someone's face are both maximum-intensity acts of intimidation, and a reader winces equally at both. More_transgressive is NO because throwing a person is a battery and is more likely to get the character into official trouble than screaming, however loud. Register is B_CONTINUES because screaming at a recruit belongs to the scene of a drill sergeant's intimidation."
continues,main,MARKED,-0.09859943977591037,r2th_028,MARKED,property,He slid the earbuds from the commuter's jacket pocket and,plugged,put,continues=B_GENERIC,continues=B_CONTINUES,-1.0,The slot takes a past-tense verb naming what he did with the earbuds after taking them. 'Plugged' implies inserting them into a device or ears; 'put' is a generic verb of placement that requires an object or complement to be complete.,deepseek/deepseek-v4-pro,"Bare_verb is YES: 'put' is stranded without a complement ('put them in', 'put them down', 'put them away'), and several completions are equally available, so different readers would be judging different sentences. Related is YES on the low bar: both words answer the question of what he did with the earbuds, even though B is incomplete. Pitch is NOT_APPLICABLE because an unspecified act cannot be compared for wince. More_transgressive is NOT_APPLICABLE because the character's exposure depends on what he put them into, which B does not specify. Register is B_GENERIC: 'put' read cold takes none of the theft's character with it and would pass unremarked in any scene."
continues,main,MARKED,-0.09859943977591037,r2th_045,MARKED,property,She crept through the tenant's back door and,stole,began,continues=B_GENERIC,continues=B_CONTINUES,-1.0,"The slot takes a past-tense verb naming what she did after entering. 'Stole' names a complete act of theft; 'began' without a complement names only the start of something unspecified, and several completions are equally available.",deepseek/deepseek-v4-pro,"Bare_verb is YES: 'began' is stranded, and 'began to search', 'began to steal', and 'began to clean' point in different directions, so different readers would be judging different sentences. Related is YES on the low bar: both words answer the question of what she did next, and 'began' is a coherent, if incomplete, continuation. Pitch is NOT_APPLICABLE because an unspecified act cannot be compared for wince. More_transgressive is NOT_APPLICABLE because the consequences of an unspecified act are unknown. Register is B_GENERIC because 'began' read cold takes nothing of the trespass with it; it would fit almost any scene."
continues,main,MARKED,-0.09859943977591037,r2th_048,MARKED,property,She rifled through the guest's suitcase and,took,found,continues=B_GENERIC,continues=B_CONTINUES,-1.0,"The slot takes a past-tense verb naming what she did with the contents of the suitcase. 'Took' implies she removed something; 'found' implies she discovered something specific, possibly without taking it.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what happened when she rifled through the suitcase. Pitch is SAME_PITCH: neither word is inherently more vivid or wince-inducing than the other; the violation is in the rifling, and both 'took' and 'found' are neutral outcomes. More_transgressive is NO: 'took' (A) is the more punishable act as it completes a theft, whereas 'found' (B) does not necessarily imply removal of property. Substitutable is NO because a reader given only B pictures discovery, not necessarily removal. Register is B_GENERIC: 'found' would pass unremarked in almost any scene, from buying groceries to hiking, and takes none of the scene's specific character with it."
generic,main,MARKED,0.09635854341736694,r2th_055,MARKED,property,He slipped into the neighbour's shed and,stole,found,generic=B_GENERIC,generic=B_CONTINUES,1.0,The slot takes a past-tense verb naming what he did inside the shed. 'Stole' names an act of taking something; 'found' names a neutral act of discovery.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did after entering the shed. Pitch is NOT_APPLICABLE because 'found' does not do a lesser version of 'stole'; it does no version of it at all, so the wince comparison has nothing to range over. More_transgressive is NO: stealing is the more punishable act, so B does not get the character into more trouble. Register is B_GENERIC: 'found' would pass unremarked in a scene about buying groceries, so it belongs to no scene in particular."
