word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
crying	verb	0.6902	0.3998	89	0.000163	0.000166
sparkling	verb	0.6897	0.4329	70	0.000113	0.000140
refuse	verb	0.6897	0.4223	68	0.000188	0.000327
jolt	noun	0.6890	0.4421	91	0.000294	0.000313
type	verb	0.6888	0.4759	92	0.000177	0.000182
dish	noun	0.6883	0.5021	54	0.000078	0.000120
propose	verb	0.6881	0.4097	31	0.000032	0.000140
settled	verb	0.6879	0.4924	80	0.000270	0.000413
verified	verb	0.6879	0.5243	71	0.000142	0.000240
bushes	noun	0.6874	0.4478	88	0.000163	0.000167
cause	verb	0.6874	0.4627	30	0.000032	0.000140
stepping	verb	0.6874	0.5260	83	0.000240	0.000360
lecture	verb	0.6874	0.4459	86	0.000155	0.000159
giggled	verb	0.6869	0.4064	34	0.000035	0.000159
glanced	verb	0.6864	0.4485	74	0.000340	0.000632
answer	verb	0.6862	0.4364	85	0.000160	0.000232
clarify	verb	0.6850	0.4662	71	0.000199	0.000469
crumple	adjective	0.6850	0.4504	77	0.000134	0.000145
demanded	verb	0.6843	0.4088	92	0.000851	0.001268
paint	verb	0.6843	0.3861	82	0.000339	0.000560
partly	adverb	0.6841	0.4586	55	0.000081	0.000122
leaned	verb	0.6838	0.4830	92	0.002346	0.002844
released	verb	0.6838	0.3972	84	0.000284	0.000398
actually	adverb	0.6836	0.5300	65	0.000142	0.000234
explain	verb	0.6834	0.4679	92	0.000772	0.001143
grinned	verb	0.6829	0.4371	67	0.000187	0.000512
stir	verb	0.6829	0.4816	86	0.000195	0.000269
reported	verb	0.6827	0.4846	89	0.000236	0.000285
showed	verb	0.6827	0.4768	71	0.000211	0.000354
beer	noun	0.6827	0.4615	90	0.000166	0.000164
screaming	verb	0.6822	0.3757	87	0.000159	0.000158
spread	verb	0.6819	0.5529	50	0.000094	0.000221
wreckage	noun	0.6819	0.4147	90	0.000185	0.000201
bake	verb	0.6815	0.4792	35	0.000044	0.000134
paused	verb	0.6815	0.4823	76	0.000207	0.000380
allowed	verb	0.6815	0.5265	43	0.000060	0.000119
Trump	noun	0.6812	0.4934	87	0.000159	0.000156
bring	verb	0.6808	0.4591	87	0.000530	0.000810
trapped	verb	0.6808	0.4537	68	0.000110	0.000145
realize	verb	0.6801	0.4962	92	0.001205	0.001644
rummaged	verb	0.6798	0.5078	42	0.000053	0.000142
snarled	verb	0.6796	0.4234	27	0.000035	0.000211
followed	verb	0.6793	0.4289	82	0.000272	0.000414
end	verb	0.6791	0.5404	90	0.000852	0.001228
split	verb	0.6791	0.4698	35	0.000053	0.000135
applause	noun	0.6789	0.4088	34	0.000035	0.000088
space	noun	0.6789	0.4234	75	0.000150	0.000178
draft	verb	0.6784	0.4965	22	0.000011	0.000099
appeal	verb	0.6784	0.4643	63	0.000197	0.000343
secured	verb	0.6782	0.4560	79	0.000290	0.000412
scooped	verb	0.6782	0.4182	29	0.000042	0.000172
confirmed	verb	0.6779	0.4974	90	0.000479	0.000568
close	verb	0.6777	0.4681	70	0.000131	0.000187
effectively	adverb	0.6777	0.4589	29	0.000025	0.000101
am	verb	0.6777	0.4657	88	0.000159	0.000159
struggling	verb	0.6777	0.4071	83	0.000173	0.000196
replaced	verb	0.6775	0.5156	91	0.000582	0.000740
administered	verb	0.6772	0.4445	60	0.000134	0.000219
abyss	noun	0.6767	0.4849	43	0.000053	0.000104
dust	noun	0.6765	0.4950	80	0.000142	0.000158
couldn	noun	0.6765	0.4483	29	0.000037	0.000177
settling	verb	0.6763	0.4057	72	0.000142	0.000186
candidates	noun	0.6763	0.4386	34	0.000036	0.000090
beautiful	adjective	0.6758	0.4726	89	0.000180	0.000193
announced	verb	0.6758	0.4563	54	0.000103	0.000224
proceed	verb	0.6756	0.4076	61	0.000167	0.000417
evacuate	verb	0.6751	0.4405	83	0.000149	0.000151
graveside	noun	0.6751	0.4825	87	0.000159	0.000157
breathed	verb	0.6746	0.4029	87	0.000376	0.000576
stage	verb	0.6746	0.4811	38	0.000046	0.000109
demand	verb	0.6746	0.4872	84	0.000167	0.000204
disappeared	verb	0.6744	0.4995	85	0.000405	0.000578
studied	verb	0.6741	0.4537	36	0.000051	0.000160
might	verb	0.6739	0.4948	32	0.000035	0.000105
caused	verb	0.6737	0.4534	78	0.000320	0.000532
accept	verb	0.6734	0.3804	90	0.000713	0.001157
nodded	verb	0.6734	0.5165	71	0.000266	0.000457
instructed	verb	0.6734	0.4974	75	0.000176	0.000305
seasonings	noun	0.6732	0.4442	73	0.000127	0.000137
suspect	verb	0.6730	0.4610	64	0.000268	0.000515
pump	verb	0.6730	0.4624	81	0.000148	0.000164
together	adverb	0.6730	0.4596	70	0.000151	0.000204
defy	verb	0.6727	0.4716	64	0.000153	0.000248
slump	verb	0.6723	0.4237	78	0.000137	0.000144
history	noun	0.6720	0.3696	76	0.000169	0.000221
curses	noun	0.6720	0.4303	86	0.000323	0.000378
jawline	noun	0.6708	0.4676	42	0.000059	0.000096
join	verb	0.6708	0.3589	92	0.001489	0.001920
refused	verb	0.6706	0.5071	61	0.000153	0.000306
exclaimed	verb	0.6706	0.4787	43	0.000098	0.000288
struggled	verb	0.6697	0.4698	92	0.000220	0.000253
glared	verb	0.6697	0.4976	33	0.000050	0.000251
doubt	verb	0.6697	0.4241	86	0.000435	0.000653
harm	verb	0.6694	0.4123	64	0.000173	0.000299
remind	verb	0.6694	0.4419	52	0.000131	0.000319
satisfaction	noun	0.6690	0.4556	89	0.000191	0.000203
making	verb	0.6690	0.4336	91	0.000450	0.000599
chant	verb	0.6687	0.4830	89	0.000441	0.000610
rob	verb	0.6685	0.5203	56	0.000120	0.000206
nice	adjective	0.6680	0.5274	85	0.000156	0.000168
gardening	noun	0.6673	0.4012	33	0.000035	0.000086
flipped	verb	0.6666	0.3776	24	0.000018	0.000152
grew	verb	0.6666	0.4449	80	0.000142	0.000148
thank	verb	0.6666	0.5572	91	0.000395	0.000542
first	adverb	0.6659	0.4348	61	0.000154	0.000355
pizza	noun	0.6659	0.4955	66	0.000110	0.000131
reveal	verb	0.6656	0.4842	34	0.000050	0.000181
stumble	adjective	0.6656	0.4518	73	0.000130	0.000133
caught	verb	0.6654	0.5005	86	0.000419	0.000606
mixed	adjective	0.6654	0.5246	89	0.000398	0.000511
develop	verb	0.6652	0.4433	28	0.000046	0.000179
forget	verb	0.6649	0.4962	59	0.000209	0.000395
surf	verb	0.6645	0.4473	79	0.000144	0.000142
introduce	verb	0.6645	0.4816	81	0.000171	0.000212
sharpen	verb	0.6642	0.3729	52	0.000096	0.000175
confess	verb	0.6642	0.5461	84	0.000224	0.000297
erupted	verb	0.6640	0.4452	67	0.000135	0.000184
claimed	verb	0.6640	0.4853	33	0.000070	0.000158
listen	verb	0.6640	0.4828	84	0.000219	0.000295
cool	adjective	0.6638	0.3996	69	0.000123	0.000156
experience	verb	0.6635	0.5586	57	0.000262	0.000598
break	noun	0.6633	0.4842	88	0.000163	0.000156
tomorrow	noun	0.6628	0.4648	65	0.000103	0.000133
ignore	verb	0.6626	0.5137	91	0.000633	0.000852
tied	verb	0.6621	0.5664	85	0.000210	0.000270
forgive	verb	0.6619	0.4419	24	0.000018	0.000148
murmured	verb	0.6619	0.4345	85	0.000264	0.000434
hoped	verb	0.6616	0.4201	23	0.000023	0.000085
changed	verb	0.6616	0.4988	68	0.000167	0.000252
aimed	verb	0.6614	0.5017	91	0.000469	0.000620
line	noun	0.6614	0.4419	87	0.000163	0.000160
responding	verb	0.6612	0.4712	27	0.000025	0.000109
fought	verb	0.6612	0.4442	91	0.000201	0.000226
apply	verb	0.6607	0.4612	67	0.000207	0.000355
inserted	verb	0.6607	0.4924	43	0.000070	0.000159
sunny	adjective	0.6604	0.4683	91	0.000273	0.000294
slowly	adverb	0.6604	0.5770	92	0.001100	0.001551
exploded	verb	0.6602	0.4856	78	0.000141	0.000147
lock	verb	0.6602	0.4920	35	0.000050	0.000118
date	noun	0.6602	0.4173	59	0.000146	0.000266
showing	verb	0.6600	0.5031	30	0.000032	0.000079
approach	verb	0.6595	0.4379	43	0.000089	0.000259
credit	noun	0.6590	0.4381	84	0.000155	0.000147
resist	verb	0.6590	0.3868	56	0.000140	0.000264
stormed	verb	0.6588	0.3984	56	0.000129	0.000263
scrub	verb	0.6586	0.4504	30	0.000039	0.000157
plan	verb	0.6583	0.4558	22	0.000021	0.000148
toast	verb	0.6583	0.4544	40	0.000053	0.000093
recite	verb	0.6581	0.4894	88	0.000326	0.000477
pretended	verb	0.6578	0.4877	29	0.000040	0.000154
let	verb	0.6569	0.4395	92	0.006106	0.007074
filled	verb	0.6569	0.4549	79	0.000242	0.000383
steak	noun	0.6567	0.4738	74	0.000131	0.000137
test	verb	0.6567	0.5466	72	0.000287	0.000422
stretched	verb	0.6564	0.4286	38	0.000053	0.000136
located	verb	0.6562	0.4348	86	0.000159	0.000155
trust	verb	0.6560	0.4905	90	0.000723	0.000864
unionize	verb	0.6560	0.5250	35	0.000042	0.000105
promises	noun	0.6555	0.4376	34	0.000037	0.000091
honor	verb	0.6555	0.4336	40	0.000081	0.000197
warmth	noun	0.6550	0.4319	90	0.000261	0.000287
finally	adverb	0.6548	0.4558	92	0.000491	0.000622
philosophy	noun	0.6545	0.4943	29	0.000029	0.000079
warned	verb	0.6545	0.5286	50	0.000100	0.000189
rescue	verb	0.6545	0.5144	73	0.000128	0.000137
pepper	noun	0.6545	0.4731	82	0.000149	0.000150
wept	verb	0.6545	0.4501	79	0.000149	0.000166
clicked	verb	0.6541	0.4237	73	0.000178	0.000255
person	noun	0.6541	0.3960	37	0.000047	0.000107
nothing	noun	0.6536	0.4872	92	0.000348	0.000412
created	verb	0.6536	0.4088	27	0.000028	0.000087
swings	noun	0.6534	0.5369	66	0.000117	0.000125
vegetables	noun	0.6534	0.4804	87	0.000237	0.000261
narrowly	adverb	0.6531	0.4716	39	0.000075	0.000225
loud	adjective	0.6531	0.4220	78	0.000149	0.000173
stranded	verb	0.6531	0.4204	76	0.000134	0.000140
plant	verb	0.6526	0.4395	62	0.000126	0.000189
broth	adjective	0.6522	0.3830	82	0.000152	0.000145
pure	adjective	0.6519	0.4719	81	0.000169	0.000180
choke	verb	0.6519	0.5657	75	0.000208	0.000398
swam	verb	0.6517	0.4012	84	0.000168	0.000159
wiped	verb	0.6515	0.3845	66	0.000188	0.000359
sank	verb	0.6508	0.4435	84	0.000237	0.000321
carve	verb	0.6508	0.4513	86	0.000291	0.000344
installed	verb	0.6505	0.4842	75	0.000142	0.000151
crumble	verb	0.6505	0.4010	69	0.000175	0.000221
crawl	verb	0.6503	0.4643	76	0.000253	0.000403
next	adjective	0.6503	0.4005	92	0.000198	0.000204
tested	verb	0.6500	0.5026	53	0.000131	0.000261
uncertain	adjective	0.6498	0.4856	32	0.000036	0.000083
yank	verb	0.6493	0.5028	77	0.000141	0.000138
observed	verb	0.6493	0.4662	76	0.000208	0.000327
ended	verb	0.6493	0.4568	92	0.000533	0.000610
pocket	noun	0.6489	0.4783	84	0.000156	0.000148
confide	verb	0.6489	0.4364	36	0.000060	0.000150
taste	verb	0.6489	0.5284	41	0.000084	0.000151
file	verb	0.6486	0.4371	92	0.001535	0.001916
child	noun	0.6484	0.4582	77	0.000141	0.000146
passengers	noun	0.6484	0.4383	73	0.000127	0.000138
flee	verb	0.6484	0.4636	90	0.000678	0.000935
raises	verb	0.6482	0.4393	24	0.000028	0.000089
retch	verb	0.6479	0.5047	50	0.000120	0.000225
collapse	verb	0.6479	0.4402	91	0.000329	0.000344
intervene	verb	0.6479	0.5314	60	0.000110	0.000142
unease	noun	0.6474	0.3989	57	0.000092	0.000115
swept	verb	0.6472	0.4506	30	0.000039	0.000106
resisting	verb	0.6467	0.3989	77	0.000138	0.000141
assign	verb	0.6465	0.5095	51	0.000101	0.000157
longing	noun	0.6460	0.4570	23	0.000018	0.000070
scroll	verb	0.6456	0.4095	62	0.000109	0.000132
spin	verb	0.6456	0.4877	43	0.000067	0.000228
swore	noun	0.6456	0.4804	20	0.000014	0.000074
victory	noun	0.6453	0.4877	85	0.000156	0.000150
enough	adjective	0.6453	0.4050	85	0.000159	0.000152
dinosaurs	noun	0.6451	0.5314	73	0.000146	0.000164
cancel	verb	0.6451	0.5473	37	0.000070	0.000138
watch	verb	0.6451	0.4783	90	0.000330	0.000430
speaking	verb	0.6448	0.3998	77	0.000237	0.000310
increase	verb	0.6448	0.4908	91	0.000391	0.000494
growled	verb	0.6446	0.4643	44	0.000119	0.000296
fumbled	verb	0.6446	0.4527	20	0.000014	0.000086
wear	verb	0.6446	0.4820	75	0.000338	0.000529
devil	noun	0.6439	0.4258	76	0.000138	0.000138
greeted	verb	0.6434	0.4397	45	0.000082	0.000150
served	verb	0.6434	0.5111	91	0.000291	0.000338
already	adverb	0.6432	0.5305	77	0.000156	0.000156
clean	verb	0.6427	0.5201	91	0.000638	0.000812
betray	verb	0.6427	0.5083	34	0.000050	0.000138
rim	noun	0.6427	0.5269	61	0.000114	0.000151
time	noun	0.6422	0.4159	29	0.000032	0.000104
fighting	verb	0.6422	0.3632	87	0.000163	0.000151
partner	noun	0.6420	0.4147	51	0.000078	0.000108
shift	noun	0.6420	0.4806	85	0.000188	0.000191
purpose	noun	0.6420	0.5198	26	0.000025	0.000069
embraced	verb	0.6420	0.4532	44	0.000074	0.000115
explained	verb	0.6420	0.4828	58	0.000137	0.000270
apologize	verb	0.6418	0.4995	24	0.000029	0.000192
rooftop	noun	0.6413	0.5083	28	0.000029	0.000077
couldn't	adverb	0.6406	0.4733	82	0.000249	0.000321
pasta	noun	0.6406	0.4714	66	0.000117	0.000131
legs	noun	0.6406	0.4726	91	0.000199	0.000180
wander	verb	0.6404	0.4773	33	0.000075	0.000215
popped	verb	0.6404	0.4839	31	0.000042	0.000111
heat	verb	0.6404	0.4211	68	0.000117	0.000133
exhaustion	noun	0.6404	0.4735	67	0.000132	0.000185
didn	noun	0.6399	0.4395	33	0.000087	0.000267
squeezed	verb	0.6399	0.4698	92	0.001235	0.001563
find	verb	0.6399	0.5350	92	0.002746	0.003345
continued	verb	0.6399	0.5690	91	0.001426	0.001817
photosynthesis	noun	0.6399	0.4979	53	0.000089	0.000108
Alex	noun	0.6399	0.4742	24	0.000032	0.000124
burst	noun	0.6399	0.4790	81	0.000276	0.000288
emphasize	verb	0.6397	0.4263	22	0.000018	0.000131
fear	verb	0.6394	0.4419	75	0.000414	0.000623
last	adjective	0.6394	0.5132	45	0.000071	0.000106
determined	verb	0.6389	0.5059	89	0.000266	0.000325
words	noun	0.6389	0.4494	92	0.000674	0.000766
save	verb	0.6385	0.5123	91	0.000893	0.001118
clash	verb	0.6385	0.4570	20	0.000014	0.000062
captured	verb	0.6382	0.4927	63	0.000110	0.000149
cheek	noun	0.6380	0.4631	72	0.000127	0.000134
slumped	verb	0.6380	0.4740	23	0.000021	0.000110
attached	verb	0.6371	0.4707	64	0.000132	0.000185
old	adjective	0.6366	0.4939	65	0.000157	0.000260
fiercely	adverb	0.6361	0.4627	21	0.000017	0.000060
ruin	verb	0.6361	0.5466	48	0.000105	0.000229
check	verb	0.6359	0.4369	91	0.000550	0.000788
crack	verb	0.6359	0.3908	81	0.000212	0.000266
double	adjective	0.6356	0.4650	35	0.000046	0.000113
heard	verb	0.6356	0.4494	91	0.000678	0.000902
mostly	adverb	0.6356	0.3516	42	0.000060	0.000096
Monday	noun	0.6354	0.4249	85	0.000159	0.000148
known	verb	0.6349	0.3757	83	0.000156	0.000148
ruins	noun	0.6349	0.4986	87	0.000170	0.000162
quicken	verb	0.6347	0.4617	80	0.000145	0.000142
great	adjective	0.6345	0.4612	89	0.000340	0.000404
jagged	adjective	0.6342	0.5024	53	0.000103	0.000156
