word	proj	n_cells
捅	1.271004	27
搭	1.269094	2
割腕	1.267050	8
堵住	1.266170	1
到	1.262514	200
冲	1.257134	73
豁	1.256886	2
送医	1.256011	2
怕	1.253450	1
报销	1.252204	15
冲入	1.251492	1
拎	1.248129	2
有罪	1.244768	2
睡觉	1.239840	26
搂	1.238873	26
迷	1.237106	2
无罪	1.231104	1
饿死	1.223719	1
打车	1.222400	2
挨揍	1.221459	2
昏睡	1.218624	1
没有	1.216980	84
会	1.215871	92
恨	1.215788	82
垮塌	1.210483	1
诉	1.209801	1
治	1.208897	7
叫	1.208256	113
留给	1.203468	1
磕头	1.202098	5
还有	1.200502	2
不立	1.198511	1
保留	1.195152	38
抢	1.191692	17
酗酒	1.189843	5
捶	1.182974	22
破产	1.182324	2
不想	1.180965	21
嫁给	1.177052	67
搬离	1.174896	1
诅咒	1.168768	1
啃	1.167882	7
付给	1.167073	6
不吃	1.166192	2
上诉	1.165264	14
肯	1.164327	9
舔	1.163712	32
谩骂	1.163016	2
鼓掌	1.159925	8
叫卖	1.159271	1
点头	1.154643	1
咬	1.149373	45
通知	1.147315	34
支付	1.145580	92
花	1.142585	38
睡着	1.142575	11
放进去	1.140763	1
扭打	1.139180	1
撩起	1.138263	2
切换	1.134820	3
塌	1.134484	2
加班	1.133537	1
知道	1.125963	546
关闭	1.125919	9
吃	1.125203	100
蹭	1.122119	1
上瘾	1.119625	1
指出	1.112751	12
摆弄	1.110177	1
安装	1.105414	1
喊	1.104296	28
吓唬	1.101828	9
凑	1.101804	2
跑	1.100905	136
记得	1.100136	4
煮熟	1.097521	2
痛恨	1.095046	11
没事	1.093670	2
投诉	1.091096	53
翻开	1.090525	1
盯	1.089814	2
浮	1.087708	6
允许	1.086975	23
喝完	1.081803	7
裁减	1.081606	5
砍	1.080947	80
悔恨	1.079742	5
转车	1.070688	4
好像	1.068298	26
停靠	1.065757	1
俯冲	1.063694	1
拧开	1.063657	2
跺脚	1.063291	1
怠工	1.062790	1
演	1.060619	2
害	1.056505	26
掰	1.056130	3
进殡	1.056083	1
率	1.055825	4
昏	1.051732	7
斩	1.047276	9
开恩	1.046450	1
做爱	1.045131	18
宣传	1.043648	1
撕打	1.042615	1
报了名	1.041998	1
荒	1.041480	1
到达	1.032730	8
弄死	1.031336	19
舔着	1.029310	2
感谢	1.028060	97
取消	1.027863	24
免疫	1.027288	1
哭叫	1.026366	2
收到	1.025295	25
扭动	1.024195	24
厌弃	1.022056	2
换成	1.020928	2
勾	1.015036	1
斫	1.013368	1
滚	1.013164	5
摇	1.011987	6
休假	1.010744	1
开心	1.009042	5
扔进	1.008493	6
蔑视	1.007701	1
悔改	1.007246	1
淹没	1.002695	1
抽插	0.999437	7
发车	0.998574	1
该死	0.991379	1
跟进	0.991235	1
拔刀	0.988819	1
伤	0.987922	12
厌恶	0.986464	59
忍	0.984423	8
驱逐	0.984040	8
强调	0.982953	2
像	0.980981	455
投奔	0.980791	1
摸	0.979379	54
跟着	0.979206	31
咬住	0.977735	11
报修	0.977236	2
操	0.975510	3
瘫软	0.972543	5
瘫	0.972151	15
囔	0.969716	1
扬起	0.967796	1
挂	0.966528	1
听	0.965889	64
悔	0.960705	4
活命	0.958009	16
移情别恋	0.957987	1
像是	0.956944	13
嫌弃	0.952127	5
起立	0.951097	4
说	0.948074	876
收	0.947568	11
削减	0.945689	25
生锈	0.944206	1
厮打	0.943864	3
看	0.942101	111
掀开	0.940837	6
摆摊	0.937304	1
捞	0.934208	2
嚎叫	0.933536	2
奔跑	0.930474	4
能够	0.929836	58
起诉	0.929362	121
挑	0.927766	8
举手	0.927197	1
要求	0.926969	200
醉	0.925366	1
刮	0.921414	4
蹲	0.921189	16
称	0.920890	3
认识	0.920287	11
发疯	0.919827	6
拉开	0.919308	25
养育	0.919096	2
眩晕	0.918343	3
欣慰	0.916687	4
认输	0.912981	1
演讲	0.912481	1
怨恨	0.910045	15
举	0.909183	50
憎恨	0.906365	57
上网	0.904918	10
留下	0.904895	19
懂	0.903741	1
死死	0.900789	4
就义	0.900132	1
抡	0.899082	2
把头	0.897836	44
收取	0.897668	10
加	0.895577	17
喜欢	0.892899	87
后悔	0.891502	95
砍死	0.890842	8
把手	0.888506	171
请假	0.886284	1
大吵	0.886174	1
遗传	0.884105	1
办	0.883705	1
吃药	0.883566	1
干	0.883116	23
打死	0.878363	46
攥	0.878215	3
挨打	0.876521	7
翻	0.876220	10
吓	0.874555	3
答应	0.873694	28
想念	0.873338	46
抓	0.871881	71
修	0.871873	3
拿走	0.870809	1
听从	0.866373	28
乘	0.862035	9
翻滚	0.861135	1
骗	0.860815	1
熬夜	0.860727	1
擦	0.857929	1
挑逗	0.854006	5
掌心	0.853283	2
拼	0.852361	1
走上台	0.851797	1
鄙视	0.851352	1
用来	0.847892	1
剥	0.847709	19
离职	0.847455	13
修理	0.845634	2
提起	0.843965	9
刺	0.843678	89
堆积	0.843255	1
插进	0.842525	4
挨	0.842524	3
用布	0.841349	1
杀	0.841000	275
送	0.840504	36
趁	0.835445	15
瞒	0.834137	4
愿意	0.833643	10
随	0.833163	3
认罪	0.833009	1
解雇	0.832040	49
哭闹	0.831224	8
铺	0.831131	1
补	0.828230	1
上空	0.828221	1
毁	0.826829	48
怒骂	0.823989	4
宠	0.823830	3
谈恋爱	0.822898	2
传到	0.822718	5
搬家	0.822488	18
不了	0.821124	4
痛骂	0.819715	3
宣布	0.816527	4
记住	0.815640	9
存活	0.813236	18
每隔	0.812478	2
锁	0.812085	5
立	0.811062	1
牵	0.806615	7
令	0.806182	1
坚持	0.804885	58
闭	0.803708	16
喊叫	0.803510	7
活活	0.802476	1
急	0.799459	1
守	0.799115	2
死	0.798445	192
堕落	0.796585	3
开刀	0.795829	1
开	0.795729	78
下岗	0.794424	1
装填	0.792974	2
只能	0.790756	4
惧怕	0.790641	1
邻居	0.788546	4
禁欲	0.786796	1
点着	0.784727	4
埋头	0.783833	1
嘲笑	0.783693	4
打	0.783497	304
投	0.782829	2
放进	0.780746	25
坐车	0.780315	1
喝酒	0.780078	12
锁上	0.778453	1
炒鱿鱼	0.777646	5
说完	0.777587	3
无	0.775414	16
挽留	0.773548	2
拦	0.771551	8
看过	0.771283	1
工作	0.769832	52
控告	0.769279	4
奚落	0.762774	1
送给	0.762658	2
如	0.761880	4
熟透	0.759105	1
愿望	0.759060	8
扒	0.756861	19
占	0.755289	1
传给	0.753246	3
执法	0.752396	3
告诉	0.751203	515
咽下去	0.750646	1
申诉	0.748988	3
射死	0.748893	10
听见	0.748453	20
不行	0.747733	18
擦拭	0.745823	4
蘸	0.745609	1
改乘	0.743199	1
好看	0.738549	3
进屋	0.738128	11
被判	0.736873	3
送往	0.735541	1
撕成	0.735534	1
着火	0.735076	4
咒骂	0.734776	7
灭	0.734733	1
写信	0.734590	5
委屈	0.734530	1
看电视	0.731080	7
呆	0.731049	3
爬	0.730498	10
不用	0.729852	11
活	0.729504	48
哼哼	0.729267	1
摁	0.728030	12
观看	0.727096	1
选择	0.724897	196
没错	0.723832	1
伪装	0.723173	2
雇用	0.722327	13
请	0.720312	39
呛	0.720258	1
痛揍	0.720088	4
表	0.719536	1
安葬	0.718787	5
哭	0.718372	169
把酒	0.718307	17
陪葬	0.718097	1
煮	0.717811	13
摆动	0.716525	2
赶	0.715682	11
兴	0.715466	2
搞	0.715368	1
得到	0.715358	399
想来	0.715104	2
拼命	0.714859	29
憎恶	0.714124	3
抵制	0.714081	11
揉	0.713781	19
来	0.712880	88
看一看	0.710410	1
调用	0.710346	1
服老	0.710018	1
感恩	0.709347	1
钻	0.706802	1
插手	0.706592	1
出自	0.704558	2
入	0.704224	1
咬牙	0.703474	1
镇压	0.702865	5
归宿	0.699585	1
守住	0.698794	2
煮饭	0.697283	4
翻看	0.694903	4
哭喊	0.693342	3
挤	0.692685	3
冲刺	0.691055	1
分	0.690867	2
仰	0.690308	1
削弱	0.690106	1
念	0.688174	9
读	0.687852	13
滚开	0.686703	1
拍手	0.686316	2
是	0.685246	474
鼓起	0.685245	2
播放	0.682503	1
做饭	0.682474	1
赢得	0.681555	11
装作	0.681195	4
退还	0.680232	7
把玩	0.680160	2
出于	0.678591	8
肯定	0.675948	1
整	0.671411	2
扎进	0.671320	1
听到	0.671131	60
看见	0.671075	65
躲闪	0.670936	3
露	0.670849	6
投降	0.670548	11
包	0.669766	18
带	0.669737	101
打嗝	0.667974	1
跨	0.667480	2
播种	0.666056	1
假发	0.663990	1
备	0.662648	4
让	0.660215	882
不知	0.659695	3
靠	0.659027	36
劈	0.657868	25
灭火	0.657517	5
冲上去	0.654328	29
转	0.653152	21
为止	0.653063	3
买好	0.653043	1
断	0.650691	9
害怕	0.650033	135
抓起	0.647739	10
回过	0.647042	3
飘	0.646529	2
卖唱	0.645988	1
拔腿	0.645782	1
发送	0.645417	1
拥	0.645290	25
发自	0.644139	8
穿越	0.643742	1
想着	0.641690	6
分裂	0.641668	1
签	0.639694	2
决定	0.638129	38
塞	0.638092	4
扶	0.635793	29
丧命	0.634609	1
下楼	0.634372	2
驱赶	0.633989	3
涂	0.633558	1
上火	0.633271	1
扼	0.630768	1
缴纳	0.630076	6
闻到	0.628803	3
删除	0.627106	8
漆	0.627009	1
相信	0.626914	229
下落	0.626780	2
扑	0.625757	29
驱散	0.622333	8
停工	0.621282	4
断掉	0.621132	1
玩弄	0.621045	20
治病	0.620783	2
陷	0.620619	3
滴	0.620373	1
摇动	0.618868	6
活下	0.615239	6
捣	0.614053	6
说谎	0.612398	3
划	0.610996	12
不记	0.608735	1
开除	0.607585	27
迷恋	0.607054	20
泼	0.604690	1
节课	0.604445	2
熬	0.604040	5
发明	0.603875	2
买	0.603406	141
分给	0.601697	1
喝	0.600376	80
闹	0.597998	1
兴奋	0.596689	25
吻上了	0.594982	16
埋葬	0.593335	4
折断	0.592145	7
想见	0.590434	3
不能	0.588891	30
打开	0.587984	138
捶打	0.587704	5
交往	0.587112	1
折	0.585606	4
毁掉	0.584381	83
在手	0.584152	2
告知	0.584067	4
捡	0.583467	6
蹲下	0.583309	16
使劲	0.583275	64
派	0.582034	7
填写	0.580171	4
手淫	0.578483	7
抬手	0.578327	5
僵直	0.576269	11
拔掉	0.575505	2
砍杀	0.575503	6
痉挛	0.573017	3
批斗	0.571857	1
辞工	0.571798	1
撒谎	0.571344	3
扔	0.570498	44
救治	0.569841	3
走动	0.569259	2
叫唤	0.569191	1
念完	0.569107	1
煎	0.568458	7
敢	0.566801	24
涌	0.566319	3
围成	0.566108	8
下雪	0.565019	2
承认	0.562829	32
尝	0.562553	1
养	0.562397	2
带给	0.561858	1
摔	0.561762	23
迟到	0.561338	3
吃饭	0.561253	2
拔	0.559662	12
挥砍	0.556960	1
付款	0.556097	10
获得	0.556051	82
加热	0.555626	4
发	0.555609	51
冲出去	0.555498	19
揪	0.554305	8
痴迷	0.554038	2
昏迷	0.552380	21
卖	0.552322	11
满意	0.551015	4
吩咐	0.547401	1
用强	0.546713	1
防护	0.546135	2
裂	0.543361	16
杀掉	0.542680	99
做	0.540171	842
帮	0.536362	70
投靠	0.535930	1
甩	0.533775	4
输掉	0.533090	1
拽	0.532630	22
闭嘴	0.532231	3
仰起	0.531858	3
跳楼	0.530637	3
吸	0.528925	31
留	0.528202	11
吼	0.524892	12
爱	0.523689	257
放到	0.522683	16
玩	0.521753	41
饿	0.521370	7
破空	0.519939	1
厌倦	0.518276	29
斥责	0.515466	4
吮吸	0.515014	26
跳进	0.514257	1
抓狂	0.512758	1
进	0.512736	13
烧	0.511321	14
裁判	0.511126	9
自决	0.510383	1
挡住	0.509980	3
丢掉	0.509864	2
晴	0.507614	4
晕	0.506874	14
置	0.505927	15
信封	0.505920	2
叫喊	0.504389	10
活着	0.502941	28
屠杀	0.502921	8
杀死	0.502287	291
拒绝	0.500432	133
抽	0.498711	59
读完	0.498200	2
服从	0.497319	42
指挥	0.497172	1
送到	0.496955	6
无助	0.496851	8
熟悉	0.495543	4
得意	0.495377	6
凉	0.495056	2
运动	0.493827	3
扣	0.493394	47
看看	0.493365	85
放在	0.493331	74
命中	0.492464	1
空荡	0.491845	3
回答	0.491491	49
隐藏	0.491417	8
瞥见	0.491385	1
气绝	0.490952	2
喝掉	0.490044	2
啼哭	0.488325	2
施放	0.487959	1
飞奔	0.484679	2
接吻	0.483374	6
通	0.483214	3
割	0.483094	48
踢打	0.482662	1
发脾气	0.482308	14
隐居	0.482040	9
躲	0.480549	38
心悸	0.479932	2
问起	0.479252	1
揽	0.478575	1
喝下去	0.477332	15
提前	0.476834	36
离别	0.473332	1
搀扶	0.472586	7
装进	0.472361	8
弄懂	0.472314	1
发呆	0.471701	1
才能	0.471604	1
保住	0.471017	2
锻炼	0.470604	4
玩耍	0.470292	3
看书	0.469620	4
大选	0.469523	1
注射	0.468255	12
躺	0.467268	51
训	0.465837	3
乱打	0.463067	1
跳上去	0.460794	1
争取	0.457716	19
装	0.457646	10
冲过去	0.454491	16
扭头	0.453032	6
踢腿	0.452334	1
旋转	0.451634	11
记恨	0.448194	1
惨叫	0.446905	1
趴在	0.445763	4
无比	0.444705	18
射	0.443957	51
拦截	0.443226	2
找	0.443111	542
搜查	0.443025	11
下班	0.442504	1
劳工	0.439999	1
扳	0.439639	5
刺伤	0.438916	1
举起	0.438766	67
发火	0.438508	29
昏倒	0.437439	7
吵架	0.436409	5
喝彩	0.436271	1
揉捏	0.434764	19
答	0.434744	2
出去	0.432411	95
偷窃	0.431828	1
凑上去	0.431350	1
打字	0.431188	5
炒	0.430274	32
承诺	0.429408	2
处死	0.427328	4
动摇	0.425393	8
出门	0.425212	24
下身	0.424675	10
配合	0.424544	1
位置	0.423464	4
砸	0.423139	50
打鼾	0.423063	1
洗	0.421522	13
晃动	0.420583	1
厮杀	0.419347	1
自责	0.419178	13
隐瞒	0.418750	8
扯	0.418698	15
致命	0.418622	1
想要	0.414521	86
挽	0.412824	4
缩短	0.412802	1
踮	0.411249	1
争吵	0.409790	1
翻阅	0.408864	5
不让	0.408707	4
放慢	0.408523	1
返	0.407644	1
放	0.407161	72
死去	0.406664	127
吃掉	0.406172	5
刺破	0.404650	1
行驶	0.404482	1
搂住	0.403604	13
偷	0.401229	2
造	0.399781	3
砸车	0.399455	1
示意	0.398721	7
剥掉	0.397567	1
调节	0.396046	1
预热	0.395252	2
逃命	0.394012	2
喊道	0.393690	3
尝一尝	0.393256	1
扎	0.392178	4
打下	0.392063	1
预付	0.392057	1
负	0.391894	2
耳鸣	0.389694	1
遗产	0.388159	1
呼吁	0.388139	3
离	0.387055	93
挽回	0.386877	22
打算	0.385659	2
念道	0.385147	1
撕扯	0.384797	37
迎合	0.384534	1
治愈	0.384316	13
漂到	0.383757	1
睁	0.383024	1
欺骗	0.382991	17
扫射	0.381494	1
贩卖	0.381127	1
服务	0.380578	2
下车	0.380264	10
踮脚	0.380141	1
自慰	0.379799	23
挖	0.379210	2
虚脱	0.378888	1
攻	0.377639	16
用到	0.376282	2
透露	0.375570	2
勃起	0.375166	12
依赖	0.375063	6
想	0.374810	181
留下来	0.373816	17
着想	0.373382	1
唱	0.373026	36
漂	0.372985	4
扣掉	0.372074	4
发不出	0.370980	7
无能	0.370341	1
避孕	0.369917	1
坐	0.369841	102
说不出	0.366965	2
敬意	0.365698	1
签署	0.364678	3
痛哭	0.361476	1
悟	0.360588	1
呜咽	0.360006	3
骑上去	0.359554	1
厌食	0.358531	1
咽	0.358189	3
坚守	0.356012	6
扮演	0.355974	2
拖	0.355804	16
熄	0.354291	1
开水	0.352133	2
喂给	0.350465	2
伸手	0.349762	103
举报	0.348857	11
奋起	0.348615	2
安详	0.347395	1
返还	0.347030	1
弹	0.346444	5
行走	0.344834	2
习	0.343995	1
动	0.341579	23
欺负	0.340266	3
哭泣	0.339869	135
跪下	0.338401	3
关押	0.337998	1
重视	0.337697	1
洗澡	0.337606	8
走	0.336472	228
刺杀	0.334161	16
来自	0.332499	10
发誓	0.332193	1
咋办	0.332019	8
谈	0.330688	2
凑近	0.329873	4
碾碎	0.328582	1
看到	0.327358	225
订	0.324467	1
掏出	0.324238	26
受	0.323909	7
下雨	0.322746	10
泡	0.320947	1
分身	0.320205	1
表演	0.319742	9
扔掉	0.319514	11
满足	0.319294	16
冲出	0.318447	8
丢下	0.318377	1
喘气	0.316870	5
待	0.316714	3
抱怨	0.315396	39
预防	0.315141	2
发声	0.314832	1
不理	0.313684	4
打哈欠	0.312677	1
辱骂	0.311715	10
戳	0.311644	12
交给	0.310544	14
跪	0.310061	63
收拾	0.309973	29
救出	0.309278	4
回	0.307929	100
赢	0.305784	10
留在	0.304096	45
走遍	0.303914	1
瞥	0.302287	1
揉搓	0.299495	18
有生	0.299251	1
骑	0.297870	7
发抖	0.297182	21
咳	0.295706	1
反感	0.294951	7
裸露	0.294309	1
摸摸	0.292778	2
吼叫	0.291822	6
更换	0.291806	6
折腾	0.291593	1
退	0.291243	9
调试	0.290360	1
祷告	0.290344	7
消磨	0.289698	1
担心	0.288903	133
复习	0.287463	1
递	0.286097	63
调	0.284020	4
逃出去	0.283155	7
救救	0.280791	7
感冒	0.280468	1
懂得	0.280281	9
叫醒	0.279636	1
无视	0.276656	3
缩减	0.276638	2
开往	0.276440	2
滑动	0.274560	4
安	0.274333	2
宣读	0.273803	1
踢	0.273004	60
暴打	0.272978	10
来到	0.272887	19
坍塌	0.272817	15
开设	0.272719	2
漂来	0.271850	1
答道	0.270681	9
照顾	0.270012	41
缩	0.268606	2
背	0.268231	43
谴责	0.267484	1
动弹不得	0.267351	1
欣赏	0.267195	20
裂开	0.264279	11
抽泣	0.264265	15
捐钱	0.264116	2
赐予	0.263715	1
解锁	0.263566	1
瞄准	0.260231	67
无限	0.259701	6
开车	0.259641	13
没命	0.259459	2
安排	0.259011	1
抗拒	0.257755	13
钦佩	0.257393	1
希望	0.257313	34
跳入	0.256894	4
制定	0.255505	9
拨打	0.255445	3
忍不住	0.254521	7
抢救	0.254381	1
放纵	0.254252	6
邻近	0.253120	1
吻	0.251100	228
着手	0.246480	19
吞	0.245018	3
越狱	0.244263	1
知	0.241638	2
调味料	0.241148	7
诉诸	0.241127	1
大哭	0.237496	8
屈辱	0.237025	2
拦住	0.236923	6
浏览	0.234349	8
责骂	0.233838	4
跌	0.233623	8
发热	0.232898	2
自残	0.230835	6
捍卫	0.229949	2
摇摆	0.227767	1
鞭打	0.227128	10
抢走	0.227024	1
见	0.226898	37
扔下	0.226524	2
提出	0.226240	70
爆	0.226131	20
斩杀	0.225791	2
抱抱	0.223607	11
打压	0.223560	1
干掉	0.223254	33
直到	0.222876	1
售卖	0.222308	2
自动	0.217439	4
升空	0.217364	2
疼	0.216343	19
再婚	0.216084	2
扣下	0.215701	26
看不到	0.214658	1
踮起	0.214541	2
卖掉	0.213379	29
争论	0.211443	1
毫无	0.211063	5
捡拾	0.210610	2
索赔	0.208704	2
递给	0.206826	63
移动	0.206430	16
怀念	0.206270	32
遵守	0.204481	5
捏	0.203968	17
回来	0.203218	37
跳	0.202622	79
滥用	0.202608	1
勾引	0.202458	1
转动	0.201626	5
推搡	0.201150	3
停	0.200487	38
栽倒	0.198544	1
拍打	0.198340	2
触	0.197740	3
感激	0.196902	33
透明	0.196680	7
开门	0.196524	14
醒	0.194862	18
剥夺	0.193811	3
呵护	0.193696	5
映	0.193695	2
先付	0.193500	4
戏弄	0.193058	1
娶	0.192882	106
施展	0.192298	3
哼	0.192114	28
蹲下来	0.191612	9
接	0.191590	35
抽动	0.191420	17
装入	0.189856	6
围攻	0.189708	6
买下	0.189377	11
报怨	0.186290	3
守护	0.186130	46
是否	0.184667	13
制造	0.184575	19
揪住	0.183481	2
聊	0.182673	1
再起	0.182041	1
沉睡	0.181227	1
请辞	0.180978	1
投掷	0.180771	2
醒来	0.179557	32
喝水	0.179203	17
诵读	0.178897	3
吸着	0.176996	1
反应	0.176232	3
散	0.176121	10
施法	0.175875	1
熄灭	0.175815	1
雇佣	0.174937	8
回忆	0.174881	36
等待	0.174413	34
进来	0.174235	19
登上	0.174089	1
紧身	0.173800	3
走开	0.173522	9
清洗	0.173014	4
打扰	0.172135	2
赦	0.171787	1
赔偿	0.171113	13
提醒	0.170934	27
愤怒	0.169920	26
蜕变	0.167469	1
尖叫	0.165785	87
晕倒	0.162587	13
取	0.161073	25
发烧	0.161025	2
掩护	0.160515	1
签下	0.159665	2
倒塌	0.159386	18
扫	0.158772	2
跳舞	0.156642	28
分离	0.156173	1
碰	0.155749	19
选用	0.154461	2
回复	0.154100	15
解答	0.150051	1
瘫痪	0.149067	1
发作	0.148779	5
寻死	0.148336	2
祈求	0.146694	4
逃兵	0.145374	2
救	0.145156	90
提交	0.144602	9
报废	0.144446	2
捐	0.141600	4
抽打	0.140685	9
笑	0.140545	21
生疼	0.139987	1
睡不着	0.139498	2
看着	0.139293	255
撕开	0.138378	1
保卫	0.138124	5
回去	0.135742	43
使命	0.135204	1
隐忍	0.135069	1
赞扬	0.134876	2
叛逆	0.134748	31
呼叫	0.130657	1
冷落	0.129792	4
辞掉	0.128335	9
出来	0.128218	26
抬头	0.128198	49
喜	0.127973	1
崩溃	0.126809	10
留住	0.126579	34
介绍	0.126132	1
驶离	0.126013	1
逼	0.123969	7
喂	0.122151	3
告别	0.121121	9
蹂躏	0.120932	1
辞去	0.120776	6
施加	0.119726	2
念诵	0.118857	1
挥手	0.118254	6
脱	0.118023	71
审查	0.116067	1
下载	0.115177	5
吮	0.114592	4
保护	0.114118	295
躲藏	0.113607	2
进去	0.111983	13
提桶	0.111872	1
写	0.111295	147
入伍	0.110987	3
联合	0.109595	31
捡起	0.107550	19
穿过	0.106895	9
喝杯	0.106028	7
亮	0.105225	2
鞭挞	0.104825	1
俯身	0.104197	27
属于	0.103696	14
同性恋	0.102772	1
进食	0.102417	1
摊开	0.102221	1
赶走	0.102111	9
完	0.101642	6
放心	0.101486	6
处决	0.101329	6
解脱	0.100998	10
大喊	0.100933	28
躲开	0.099104	22
抽搐	0.098788	26
带走	0.096552	1
妥协	0.095862	18
树	0.095712	21
点火	0.095515	5
沉没	0.095417	1
想起	0.094560	69
辞职	0.094047	86
弄清	0.093715	1
输入	0.093235	5
死亡	0.092190	181
自杀	0.092059	208
侧	0.090945	18
承担	0.090259	34
脱掉	0.088979	40
下手	0.087618	3
错过	0.086888	4
吸烟	0.086345	3
通道	0.086016	2
炖	0.085498	4
讲完	0.083636	5
占有	0.083228	69
呻吟	0.082915	18
拔出	0.081302	22
割伤	0.081247	5
倒下	0.080248	76
抽出	0.079011	15
挑选	0.078483	5
应声	0.077325	22
骚扰	0.073626	2
吐血	0.073096	6
分开	0.070405	6
再见	0.069752	4
冲破	0.069299	4
开办	0.068764	1
褪	0.067432	7
抱	0.067282	50
握	0.066730	37
听听	0.065725	3
垂	0.064922	2
分装	0.063337	2
下令	0.061477	2
教育	0.061042	4
怦怦直跳	0.060823	10
塌陷	0.060180	3
跳变	0.059247	2
扣发	0.058189	4
毁灭	0.058015	129
解开	0.056590	81
吞吐	0.056126	3
牺牲	0.055802	44
抽烟	0.055116	7
转头	0.054060	5
生活	0.053921	40
割开	0.053913	9
辍学	0.053034	1
取出	0.052580	27
挤压	0.052118	4
逃生	0.051318	7
吞下去	0.049278	1
排斥	0.048408	15
得救	0.047986	1
追	0.047843	30
服用	0.046062	12
绞死	0.045963	1
吸吮	0.044986	17
谈起	0.044113	2
继续	0.043507	508
装扮	0.043293	1
点亮	0.042981	3
遇见	0.042290	1
囚禁	0.039748	22
支持	0.039615	59
抬起	0.039237	44
收下	0.037012	3
放手	0.036994	22
自卫	0.035117	10
冲向	0.034663	7
悸	0.033842	1
懊悔	0.032180	1
聆听	0.031850	3
舞	0.029342	11
挥拳	0.029203	3
滑	0.029140	3
站立	0.027897	4
讲	0.024654	16
拿下	0.024592	1
撒	0.023760	10
顶	0.022385	3
坐下	0.021032	33
伸进	0.019506	13
翻找	0.018784	1
打中	0.017815	3
出现	0.017352	32
消灭	0.016855	14
咳血	0.015838	3
收割	0.014606	4
拉	0.014037	95
忘	0.012050	8
喊破	0.011847	2
助理	0.011093	1
管	0.010653	1
施以	0.010556	2
触摸	0.008877	18
扳动	0.008535	3
使	0.007983	31
学好	0.007824	1
创办	0.006271	7
自发	0.006107	1
发威	0.005461	1
杀害	0.005383	25
褪下	0.005193	3
想想	0.002171	2
收起	0.001658	2
提供	0.001475	51
颤抖	0.001392	43
坐在	0.000670	153
挣开	-0.000074	1
击毙	-0.000646	21
达到	-0.000851	3
观察	-0.000901	23
想到	-0.001003	33
甩掉	-0.001300	11
刺痛	-0.001370	20
组织	-0.001713	24
羞辱	-0.001931	12
站	-0.003043	136
阅读	-0.004773	27
聘请	-0.005656	6
划过	-0.005799	2
转过	-0.005909	1
辞	-0.006047	1
抚摸	-0.006294	103
轰	-0.006404	6
设置	-0.006784	1
接受	-0.007570	293
沉迷	-0.007767	3
鞭笞	-0.008606	4
破	-0.009154	12
逃婚	-0.009731	1
先救	-0.010984	1
分手	-0.011026	37
拍	-0.012224	46
减薪	-0.012785	3
漏	-0.013299	5
见到	-0.013989	20
打骂	-0.014025	1
牵住	-0.014769	1
救命	-0.015481	24
要害	-0.015668	1
